"nombreestablecimiento","direccion","nit","telefono","telefax","municipio","departamento","fechaconcepto","conceptocapacidadproduccion"
"DISTRIBUCIONES AMBIFLORES","KR 25 NO 0 - 15 BARRIO LAS BRISAS","18926856","5652255","NO REGISTRA","VALLEDUPAR","CESAR","2004-10-20T00:00:00.000","FABRICACION DE PRODUCTOS DE ASEO HIGIENE Y LIMPIEZA DE USO DOMESTICO COMO JABON INDUSTRIAL AMBIENTADOR MULTIUSO DESINFECTANTE LIMPIDO ACIDO MURUATICO CERA LIQUIDA Y LIMPIA VIDRIOS EL PRODUCTO VARSOL LO COMPRAN"
"DISTRIBUCIONES AMBIFLORES","KR 25 # 0-16","18926856","5652255","NO REGISTRA","AGUACHICA","CESAR","2015-09-08T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES SUAVIZANTES Y PRODUCTOS PARA EL PRELAVADO Y PREPLANCHADO DE ROPA BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"DISTRIBUCIONES EL GRAN FENIX DEL ASEO SAS","KR 12 # 6 -11","900924076-1","3108081458","6567275","LEBRIJA","SANTANDER","2016-10-04T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS QUITAMANCHAS Y LIMPIADORES DE SUPERFICIES"
"DISTRIBUCIONES FIERA","KILOMETRO 60 DE TUMACO","14259396-5","NO REGISTRA","NO REGISTRA","TUMACO","NARIÑO","2008-09-11T00:00:00.000","CONCEPTO FAVORABLE PARA LA MANUFACTURA DEL PRODUCTO DETERGENTE EN POLVO PARA LAVADO DE ROPA"
"DISTRIBUCIONES HERSAN","CL 1 NO 3-74","51867827","3153927474","NO REGISTRA","MARIQUITA","TOLIMA","2006-06-16T00:00:00.000","LOS SUSCRITOS FUNCIONARIOS DE LA SECRETARIA DE SALUD DE TOLIMA EMITEN CONCEPTO TECNICO FAVORABLE YA QUE CUMPLE CON LAS CONDICIONES HIGIENICAS TECNICAS LOCATIVAS Y DE CC PARA LA ELABORACION DE LIMPIADOR AROLIM CERA EMULSIONADA AROLIM"
"DISTRIBUCIONES Y REPRESENTACIONS TECNICAS ANDINAS LTDA DISTEANDINAS LTDA","CL 128 NO 50-23","860513978-1","2589388","2581401","BOGOTA DC","CUNDINAMARCA","2018-04-09T00:00:00.000","AMPLIA SU CAPACIDAD DE PRODUCCION PARA LA FABRICACION ENVASE Y ACONDISIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS AMBIENTADORES Y PARA EL ENVASADO Y ACONDICIONAMIENTO EN FORMA DE SOLIDOS PROPDUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD SDESINFECTANTE"
"DISTRIBUIDORA BEAUTY SAS","KR 55 # 76-31","900096011-8","3137225949-4488923","NO REGISTRA","ITAGUI","ANTIOQUIA","2016-07-28T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIÉNICAS TÉCNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LÍQUIDOS JABONES Y DETERGENTES SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE LIMPIADORES DE SUPERFICIES DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES"
"DISTRIBUIDORA BELA CLEAN","AVENIDA 3 N° 18-41 BARRIO SAN LUIS","88189754-7","5497008","NO REGISTRA","CUCUTA","NORTE DE SANTANDER","2019-02-15T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIE"
"DISTRIMAXX TOTAL S.A.S","CARRERA 89 NO 77 AD 20","900408916-9","3113090643- 3206871147","NO REGISTRA","MEDELLIN","ANTIOQUIA","2022-02-04T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIÉNICAS TÉCNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LIQUIDOS: JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS (BLANQUEADORES SIN CLORO) PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"DISTRISERVICES S.A.","KR 106 # 15 - 25 MANZANA 22 BODEGA 134 C","830076368-2","5897501","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2017-04-20T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA EL ACONDICIONAMIENTO SECUNDARIO CODIFICACION DESETIQUETADO ETIQUETADO DESESTUCHADO ESTUCHADO TERMOSELLADO DE SEGURIDAD TERMOENCOGIDO Y COLOCACIÓN DE STICKER INSERTOS O PIN DE SEGURIDAD DE PRODUCTOS DE HIGIENE DOMESTICA EN TODAS LAS FORMAS DE ACUERDO A LO CONTEMPLADO EN LA DECISION 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES"
"DISTRISERVICES S.A.","KM 8 VIA BARRANQUILLA TUBARA ZONA FRANCA LA CAYENA LOTE 42 MANZANA J","830076368-2","5897501","5897501","BARRANQUILLA","ATLANTICO","2019-09-24T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA EL ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA Y PRODUCTOS ABSORBENTES DE HIGIENE PERSONAL EN LAS ACTIVIDADES DE COLOCACION DE STICKERS ESTUCHADO DESESTUCHADO ETIQUETADO DESETIQUETADO COLOCACION DE INSERTOS Y PIN DE SEGURIDAD EN TODAS LAS FORMAS"
"DIXON NIÑO VESGA - RWFED","DIAGONAL 105 # 31-16 LOCAL 1029 PLAZA SATELITE DEL SUR","13542172-1","6362856   3164648999","NO REGISTRA","BUCARAMANGA","SANTANDER","2020-03-03T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIÉNICAS TÉCNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LIQUIDOS BLANQUEADORES Y QUITAMANCHAS Y LIMPIADORES DE SUPERFICIES DE ACUERDO CON LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES"
"DR. BE-ECO S.A.S.","CALLE 23 # 20 - 100 BARRIO LA PRADERA","901408637-2","3218536173","NO REGISTRA","DOSQUEBRADAS","RISARALDA","2021-07-14T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LÍQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES DE ROPA, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES,"
"DROGUERIAS JULIAO SA","CL 29 NO 40-31","890101063-7","3512032","NO REGISTRA","BARRANQUILLA","ATLANTICO","2007-12-06T00:00:00.000","CUMPLE CON LAS CONDICIONES HIGIENICO TECNICO LOCATIVAS Y DE CONTROL DE CALIDAD PARA FABRICAR Y ENVASAR PRODUCTOS DE ASEO HIGIENE Y LIMPIEZA DE USO DOMESTICO SUAVIZANTES PARA ROPA AMBIENTADORES BLANQUEADORES DESMANCHADORES LIMPIADORES DESINFECTANTES DE USO DOMESTICO EN GENERAL Y PRODUCTOS DE ASEO Y LIMPIEZA DE USO INDUSTRIAL"
"DROGUERIAS JULIAO SA","VI 40 # 51-163","890101063-7","3678700","NO REGISTRA","BARRANQUILLA","ATLANTICO","2014-03-26T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLA Y PULIDORES DE COCINA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"DRY COMFORT CORP S.A.S.","BODEGA 11 MZ ZF-A SECTOR AGUAS PRIETAS ZONA FRANCA PARQUE CENTRAL","901031953-5","3233602406","NO REGISTRA","TURBACO","BOLIVAR","2021-04-13T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS ABSORBENTES DE HIGIENE PERSONAL (TOALLAS HIGIÉNICAS, PAÑALES DESECHABLES Y PROTECTORES DE FLUJOS ÍNTIMOS)"
"DRYPERS ANDINA S A","KM 2 VI SAN JULIAN PARQUE INDUSTRIAL EL PARAISO","817002753-0","8293989","NO REGISTRA","SANTANDER DE QUILICHAO","CAUCA","2017-02-02T00:00:00.000","MANTIENE Y CUMPLE LAS CONDICIONES HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS ABSORBENTES DE HIGIENE PERSONAL PAÑALES DESECHABLES PARA BEBES"
"DSV SOLUTIONS S.A.S.","DG 24 C NO. 96B-65","860046509-5","6016057777","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2022-03-09T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA EL ACONDICIONAMIENTO (ETIQUETADO, ESTUCHADO, DESESTUCHADO) DE PRODUCTOS DE HIGIENE DOMESTICA EN TODAS LAS FORMAS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, PULIDORES DE COCINA, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, AMBIENTADORES, BLANQUEADORES, QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE, LIMPIADORES DE SUPERFICIE, DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y DECISIÓN 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES."
"ECALATAM S.A.S.","VIA 40 # 71-197 CENTRO INDUSTRIAL MARYSOL / BODEGA 420","901048374-5","3157277780   3184519567   3013900512","NO REGISTRA","BARRANQUILLA","ATLANTICO","2021-04-22T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS: PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIE, DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y DECISIÓN 721 DE 2009, DE LA COMUNIDAD ANDINA DE NACIONES; Y CONFORME A LOS ANTECEDENTES RELACIONADOS EN LA PRESENTE ACTA."
"ECCOCLEAN S A S","CALLE 43 NO 4W – 44","901260145-2","3003448697","NO REGISTRA","MONTERIA","CORDOBA","2020-07-14T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIÉNICAS TÉCNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA LÍQUIDA JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES"
"ECO INDUSTRIA DE INNOVACIÓN DESARROLLO Y GESTIÓN AMBIENTAL SAS BIC","LOTE 5 PARCELACION INDUSTRIAL DEL CAUCA ETAPA 3","901416617-9","3132903907","NO REGISTRA","GUACHENE","CAUCA","2022-03-15T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA LÍQUIDA: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE, LIMPIADORES DE SUPERFICIES"
"ECOFLORA LTDA","CALLE 80 SUR # 47 D -65 INTERIOR 103","811015620-4","5614433","5618227","SABANETA","ANTIOQUIA","2010-03-12T00:00:00.000","FABRICACION DE PRODUCTOS DE ASEO HIGIENE Y LIMPIEZA DE USO DOMESTICO EN FORMA LIQUIDA LIMPIADOR CUMPLE CON LAS CONDICIONES HIGIENICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LLA ELABORACION DE PLAGUICIDAS DE USO DOMESTICO"
"ECOFRIENDLY DE COLOMBIA ESTABLECIMIENTO DE COMERCIO PROPIEDAD DE GLORIA CRISTINA DUARTE MORENO","CARRERA108 NO. 23B-16","52979975-7","3123562701","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2022-06-01T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LIQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES, BLANQUEADORES Y QUITAMANCHAS, AMBIENTADORES, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"ECOLAB COLOMBIA S A","AK 60 # 22 -75 INTERIOR 5-6-7","830039854-3","4142394","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2019-05-02T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIE"
"ECOLAB SIBERIA 100 ESTABLECIMIENTO DE COMERCIO PROPIEDAD DE ECOLAB COLOMBIA S A","PARQUE EMPRESARIAL SIBERIA BODEGA 1-10 VEREDA LA PUNTA KM 0 + 750 M DEL ROUD POINT DE SIBERIA VIA FUNZA Y 450 M AL INTERIOR DEL CAMELLON DEL ASERRIO SAN JOSE ( VIA LOGIKA)","830039854-3","4142394","NO REGISTRA","TENJO","CUNDINAMARCA","2021-10-19T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA EL ACONDICIONAMIENTO SECUNDARIO (ETIQUETADO, ELABORACIÓN Y COLOCACIÓN DE STICKER) DE PRODUCTOS DE HIGIENE DOMÉSTICA EN TODAS SUS FORMAS, DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y DECISIÓN 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES"
"ECOPROJECT M&S SAS","CARRERA 72M SUR # 38B-09 PRIMER PISO","901157807-1","3115733878","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2019-05-20T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES DE ACUERDO A LO CONTEMPLADO EN LA DECISION 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA"
"ECOQUIM SAS","KR 14 # 73 B -90 SUR","900314642-1","2004391-7611354","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2016-02-24T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PRE PLANCHADO DE ROPA PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS LIMPIADOR DE SUPERFICIES"
"ECO-SHINE SAS","CL 8 A # 36-45 ZONA INDUSTRIAL LA PAZ","901066024-9","3168832570","8820051","ZIPAQUIRA","CUNDINAMARCA","2018-01-15T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIÉNICAS TÉCNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS AMBIENTADORES QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES SEMISOLIDOS AMBIENTADORES (GEL)"
"ECO-SHINE SAS","CALLE 8A 36-65 ZONA INDUSTRIAL LA PAZ ZIPAQUIRA","901066024-9","3168832570","NO REGISTRA","ZIPAQUIRA","CUNDINAMARCA","2019-06-26T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES SEMISOLIDOS AMBIENTADORES"
"EFEGO PHARMACEUTICA EU","KR 58B # 129B - 23","830108277-1","3176386869","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2018-01-23T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIÉNICAS TÉCNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LIQUIDOS LIMPIADORES DE SUPERFICIES"
"EFFERTABS SAS","KR 9 # 17-49","900521198-1","4230248","NO REGISTRA","SANTA MARTA","MAGDALENA","2017-02-02T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASADO Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE SOLIDOS PRODUCTOS LAVAVAJILLAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES SEMISOLIDOS PRODUCTOS LAVAVAJILLAS SE AMPLIA LA CAPACIDAD INSTALADA PARA LA FABRICACION ENVASADO Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDOS AMBIENTADORES SEMISOLIDOS ESFERAS DE HIDROGEL AMBIENTADORES Y SOLIDOS AMBIENTADORES"
"EL COCINERO Y CIA LTDA","KR 1N NO 1B-28 OESTE","900077631-3","6695307","NO REGISTRA","YUMBO","VALLE DEL CAUCA","2011-11-06T00:00:00.000","PRODUCTOS DE ASEO HIGIENE Y LIMPIEZA EN FORMA SOLIDA FORMA SOLIDA JABONES LAVALOZA"
"EL JAZMIN","KR 32 NO 9B-105","10064364-7","6382674","NO REGISTRA","AGUAZUL","CASANARE","2004-11-04T00:00:00.000","CONCEPTO FAVORABLE PARA FABRICACION DE PRODUCTOS DE ASEO HIGIENE Y LIMPIEZA DE USO DOMESTICO JABONES Y DETERGENTES SUAVIZANTES PRODUCTOS DE PRELAVADO Y PREPLANCHADO AMBIENTADORES DESMANCHADORES BLANQUEADORES DESINFECTANTES DE USO DOMESTICO LIMPIADORES Y CERAS"
"ELDA CABARIQUE SANCHEZ PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO FABRICA GLOSS LIMPIEZA PROFUNDA EFICAZ PROTECCIÓN","CALLE 16 # 3 - 27 BARRIO JUAN VARGAS","32701029-8","3004755332","NO REGISTRA","BARBOSA","SANTANDER","2021-06-01T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIE"
"ELECTROQUIMICA WEST SA","KR 50 NO 76D SUR -52","890917780-2","3720303","3720317","MEDELLIN","ANTIOQUIA","2007-03-28T00:00:00.000","FAVORABLE POR CUANTO REUNE LAS CONDICIONES HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL D CALIDAD PARA FABRICAR PRODUCTOS DE ASEO HIGIENE Y LIMPIEZA DE USO DOMESTICO EN FORMA LIQUIDA LIMPIADORES DESINFECTANTES DE USO DOMESTICO BLANQUEADORES Y DESMANCHADORES JABONES Y DETERGENTES NO COSMETICOS PRODUCTOS LAVALOZA PRODUCTOS PARA PRE-LAVADO DE ROPA SHAMPOO PARA ALFOMBRAS LIMPIAVIDRIOS SHAMPOO PARA AUTOS Y AMBIENTADORES"
"EMPACADORA Y DISTRIBUIDORA GUSQUIRRO","KR 33 NO 51 B - 39","7476893-9","3518895","3793481","BARRANQUILLA","ATLANTICO","2008-11-24T00:00:00.000","FABRICACION Y COMERCIALIZACION DE PRODUCTOS DE ASEO HIGIENE Y LIMPIEZA DE USO DOMESTICO JABONES Y DETERGENTES NO COSMETICOS LIMPIADORES SUAVIZANTES Y PRODUCTOS PARA EL PRELAVADO Y PREPLANCHADO DESINFGECTANTES DE USO DOMESTICO AMBIENTADORES PRODUCTOS DE LAVALOZA BLANQUEADORES Y DESMANCHADORES"
"EMPAQUES DE COLOMBIA EMPACANDO SAS","KR 42 NO 20B-58","860530492-4","3377099","3680230","BOGOTA DC","CUNDINAMARCA","2018-09-17T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA REALIZAR LAS ACTIVIDADES DE ENVASADO ACONDICIONAMIENTO Y CODIFICADO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA Y SOLIDA JABONES Y DETERGENTE PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIE"
"EMPAQUES Y SERVICIOS SUPERIORES SAS SUPERPACK","CALLE 6 # 22-34","811016478-9","2890333-2899332","3095241","GIRARDOTA","ANTIOQUIA","2019-07-16T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA EL ACONDICIONAMIENTO SECUNDARIO DE PRODUCTOS DE HIGIENE DOMESTICA Y ABSORBENTES DE HIGIENE PERSONAL EN TODAS LAS FORMAS ETIQUETADO DESETIQUETADO CODIFICADO TERMOENCOGIDO EMPAQUE Y/O REEMPAQUE"
"EMPRENDIMIENTOS AMBIENTALES SAS - EMPREAM S A S","CL 31 A # 1 N -31 BARRIO FATIMA","900593328-9","4487606","NO REGISTRA","CALI","VALLE DEL CAUCA","2016-10-25T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS PRODUCTOS LAVAVAJILLAS Y SEMISOLIDOS PRODUCTOS LAVAVAJILLAS"
