"entidad","municipio","nit","nombre","cargo","direcci_n","tel_fono","correo_electr_nico"
"INFIHUILA","NEIVA","891.180213-6","LUIS ALFREDO ORTEGA MORENO","Gerente","Calle 10 No. 5-05 piso 3","8711194-8711168-8711234
3112511880","contacto@infihuila.gov.co, gerencia@infihuila.gov.co, infihuila@yahoo.com"
"INSTITUTO DE TRANSITO Y TRANSPORTES  DEL HUILA","RIVERA","800.115.005-3","EDGAR TOVAR RAMIREZ","Director","Calle 4 No. 7-20","8387123 - 8387477","juridica@transito-huila.gov.co"
"EMPRESA DE LOTERIA Y JUEGO DE APUESTAS PERMANENTES DEL DPTO.","NEIVA","800.244.699-7","VLADIMIR CABALLERO MEDINA","Gerente","Carrera 4 No. 9-25","8712066-8710594","servicios@loteriadelhuila.co, gerencia@loteriadelhuila.com, financiera@loteriadelhuila.com"
"ASOCIACION DE MUNICIPIOS DEL OCCIDENTE DEL HUILA Y ORIENTE CAUCANO ""ASOMSURCA"" (ANTES AGROCCIDENTE)","LA PLATA","830.504.319-1","CARLOS EFREN MEDINA PALOMA","Representante Legal","Carrera 7 No. 1-36","8370000 - 3174946620","asomsurca@hotmail.com"
"CORPORACION CENTRO PROVINCIAL DE GESTION AGROEMPRESARIAL DEL NOROCCIDENTE DEL HUILA - ""NOROCEAGRO""","PALERMO","900.025.594","ANGEL MARIA TIERRADENTRO ARRIGUI","Gerente","Calle 9 No. 7-35","8784011 - 3214957760","noroceagro@yahoo.es"
"CORPORACION CENTRO PROVINCIAL DE GESTION AGROEMPRESARIAL DEL SUR DEL DEPARTAMENTO DEL HUILA - ""AGROSUR""","PITALITO","813.013.649-5","LUIS ARMANDO MAMIAN MESA","Gerente","Carrera 3 No. 9-11 piso 2","8369939 - 3124508927","cpgagrosur@yahoo.es"
"CPGA CORPOAGROCENTRO","GARZON","900.010.050","CARLOS ALBERTO ROJAS PASCUAS","Gerente","Centro Comercial Paseo del Rosario
Local 2-032","8331165-3209522779","corpoagrocentro@yahoo.com"
"CORPORACIÓN CENTRO PROVINCIAL DE GESTIÓN AGROEMPRESARIAL DEL NORTE DEL HUILA - ""NOROPITA""","NEIVA","830.501.244-1","TOMÁS EMILIO GARCÍA","Gerente","Carrera 7 No. 7-06 Oficina 303","8723148","noropita@gmail.com"
"CORPORACION CENTRO PROVINCIAL DE GESTION AGROEMPRESARIAL DEL CENTRO - ""ECOSISTEMA LA SIBERIA""","NEIVA","900.057.486-6","LUIS ALBERTO SUZA HURTADO","Gerente","Calle 7 No. 5-91","8723508","ecosistemalasiberia@gmail.com"
"INSTITUTO MUNICIPAL DE TRANSITO Y TRANSPORTE DE CAMPOALEGRE EN LIQUIDACIÓN","CAMPOALEGRE","900.275.841-2","ALIRIO PINTO YARA","Director","Calle 17 No. 8 -13","8380088-3168860823","itimttch762@gmail.com, fabiancho8812@hotmail.com"
"INSTITUTO MUNICIPAL DE TRANSITO Y TRANSPORTE DE CAMPOALEGRE","CAMPOALEGRE","901.135.647-3","ALIRIO PINTO YARA","Director","Calle 17 No. 8 -13","8380088-3168860823","itimttch762@gmail.com, fabiancho8812@hotmail.com"
"JUNTA MUNICIPAL DE DEPORTES Y RECREACION","RIVERA","813.001.390-1","SERGIO EDUARDO VEGA BALAGUERA","Director","Calle 5 No. 6-55","8386621-8386866-8387140","andrescov14@hotmail.com"
"INSTITUTO DE TRANSITO Y TRANSPORTES MUNICIPAL DE PITALITO","PITALITO","900.522.279.5","EDGAR DANIEL REYES CAMACHO","Director","Edificio Terminal de Transporte Lc
207","8369520 - 8363655","contactenos@intrapitalito-huila.gov.co"
"TERMINAL DE TRANSPORTE DE LA PLATA S.A.","LA PLATA","900.061.525-0","LUIS EDUARDO RAMIREZ CEBALLOS","Representante Legal","Km 1 Vía La Plata-Neiva","8376774 -3174388985
3188134604","terminallaplata2012@hotmail.com"
"TERMINAL DE TRANSPORTES DE PITALITO S.A.","PITALITO","800.130.464-3","JORGE ANTONIO PEÑA SÁNCHEZ","Representante Legal","Carrera 4 No. 31-15","8363718","terminalpitalito@yahoo.es"
"TRIBUNAL DE ETICA MEDICA","NEIVA","900.459.408-7","RICARDO PERDOMO PERDOMO","Representante Legal","Carrera 5 No. 10-38 Oficina 703","8722848","tribunaldeeticadelhuila@gmail.com, especialistaimpuestos@gmail.com, asistentemre@gmail.com"
"TERMINAL DE TRANSPORTES DE NEIVA","NEIVA","891.102.824-3","RADHA HERMOSA CAMACHO","Gerente","Transversal 5 No. 5-312 Modulo
Centenario Piso 3","8731232 - 8730576","gerencia@elterminalneiva.com"
"SPA TERMALES DE RIVERA","RIVERA","900.125.924","ARMANDO CUELLAR ARTEAGA","Representante Legal","Calle 2 Sur No. 7-30 Complejo
Empresarial Coomotor Piso 2","8724900 Ext. 146 - 3164545217","spariveratermales@yahoo.es"
"TRANSITO DE PALERMO S.A.","PALERMO","900.325.325-9","EDNA ROCÍO CHINCHILLA ARDILA","Gerente","Calle 33 No. 5P-10 Amborco - Palermo","8758392 - 8753489","transitoytransporte@palermo-huila.gov.co"
"TERMINAL DE TRANSPORTES DE GARZÓN S.A.","GARZÓN","900.068.578-2","BELLANEDA DELGADO CRUZ","Gerente","Transversal 21 No. 3B-49","8332247 - 3222283599","terminaldetransportedegarzon@gmail.com"
"EMPRESA FORESTAL DEL HUILA S.A.","NEIVA","900.125.902-0","FREDY ANDRADE BETANCOUR","Gerente","Carrera 1 No. 60-79","3176589598","empresaforestaldelhuila@gmail.com"
"FONDO MIXTO DE CULTURA Y TURISMO DEL HUILA","NEIVA","800.236.777-1","ENTIQUE DIAZ ESCANDON","Gerente","Centro Cultural José Eustacio Rivera Carrera 5 No. 21-81","8759786 - 3123281175","fomculturahuila@gmail.com"
"INSTITUTO DE CULTURA, RECREACIÓN Y DEPORTE DEL MUNICIPIO DE PITALITO","PITALITO","900.809.150-5","JORGE ELIECER CRUZ ORTIZ","Directora","Carrera 7 No. 6-41","3213706175 - 3124793438","maleja1083@gmail.com; alguepe41@hotmail.com"
