"nombre_establecimiento","tipo_de_establecimiento","tipo_de_productos_que","direccion","barrio","telefono","correo_electronico","municipo","fecha_ltima_visita_ivc","concepto"
"DROGUERIA FAMISALUD","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 8 N 6-3","NO SE PUDO VER","NT","claudiacadena2015gmail.com","CHIMICHAGUA","NUEVO","NUEVO"
"DROGUERIA FARMASERVICIOS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 10 con CRA 9 ESQUINA","SAN MARTIN","NT","elianethfragoso10 @hotmail.com","CHIMICHAGUA","NUEVO","NUEVO"
"DROGUERIA MEDIDROG S.AS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 7 # 7-131","CUBA","NT","yadis1317@hotmail.com","CHIMICHAGUA","27/09/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA PRINCIPAL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 8-42 Local 1","CUBA","NT","yolirosa2009@hotmail.com, droprincipal@hotmail.com","CHIMICHAGUA","26/09/2017","FAVORABLE"
"DROGUERIA SARELA  YS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 5 # 5-61","CENTRO","NT","yolirosa2009@hotmail.com","CHIMICHAGUA","26/09/2017","FAVORABLE"
"DROGUERIA URGENCIA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CR 8 # 8-50","SAN JOSE","NT","NT","CHIMICHAGUA","28/09/2017","DESFAVORABLE"
"LA ECONOMIA DROGUERIA MINI MARKET No. 5006","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 3-99","CENTRO","NT","recepcionvp@eticos.com","CHIMICHAGUA","27/09/2017","FAVORABLE"
"DROGUERIA LIGIA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 6A # 6-21","EL CARMEN","NT","rafael.vega.daza@hotmail.com","CHIRIGUANA","17/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA MARY","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 6 # 6-54","SAN ANTONIO","NT","meneses80_6@hotmail.com","CHIRIGUANA","17/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA MARY No. 2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 8 # 4-72","CENTRO","NT","meneses80_6@hotmail.com","CHIRIGUANA","17/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA MEDICAL EXPRESS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 7 # 6-02","CLL BOLIVAR","NT","alexsalazar2011@yahoo.es","CHIRIGUANA","17/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA PHARMA MEDICALL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 5 # 6-09","CENTRO","NT","elizabethangulo90@hotmail.com","CHIRIGUANA","18/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA PHARMA SALUD","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 8 # 5A-20","CALLE CENTRAL","NT","alexsalazar2011@yahoo.es","CHIRIGUANA","18/08/2017","DESFAVORABLE"
"FARMACIA CHIRIGUANA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 7 # 6-75 FTE AL HOSPITAL","CENTRO","NT","ximen3@hotmail.com","CHIRIGUANA","17/08/2017","N/A"
"LA ECONOMIA DROGUERIA MINI MARKET No. 5001","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 5 # 4-107","CALLE CENTRAL","NT","recepcionvp@eticos.com","CHIRIGUANA","17/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA BETO No. 1","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 16 # 11B-78","CENTRO","3157475977","betoduarteacosta@hotmail.com, danielperdomo@hotmail.com","CODAZZI","06/09/2017","FAVORABLE"
"DROGUERIA BETO No. 2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 16 # 21-54 APTO 3","CENTRO","3157475977","betoduarteacosta@hotmail.com","CODAZZI","04/09/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA CENTRAL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 16 # 12-118","CENTRO","NT","betoduarteacosta@hotmail.com","CODAZZI","07/04/2014","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA COMFACESAR MINI MARKET No.803","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 16 # 14-01","CENTRO","NT","recepcionvp@eticos.com","CODAZZI","05/09/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA INGLESA No 29","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CARRERA 16 # 14-12","CENTRO","NT","asiscontabmanga@unidrogas.net.co","CODAZZI","05/09/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA JAIR","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CARRERA 16 # 23-05","CODAZZI","NT","chichilin2009@hotmail.com","CODAZZI","04/09/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA LA 20 H.M.","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 20 # 21-38","LA PISTA","NT","ehemo2009@hotmail.com","CODAZZI","07/09/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA LA FE W.S.","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 17 # 23-68","CENTRO","NT","NT","CODAZZI","07/09/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA RUIZ LA DE CHEPE # 2 (ANTES DROGUERIA LA PASTORA)","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 16 # 25-99 LC 6","LA DIVINA PASTORA","3163127538","juancarlos.ruizgarcia@hotmail.com","CODAZZI","17/12/2017","DESFAVORABLE"
"DROGUERIA RUIZ","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 16 # 11-110","CENTRO","NT","maria314@hotmail.com","CODAZZI","06/09/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA SALUD Y VIGOR","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 14 # 10-01","SANTA RITA","3178812746","carlosbeto-1128@hotmail.com","CODAZZI","13/12/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA Y PERFUMERIA SANTA CRUZ","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 16 # 12-112","CENTRO","5765090-3006119576","javierortega632008@hotmail.com","CODAZZI","05/09/2017","FAVORABLE CON REQUERIMIENTOS"
"FARMACIA  NUEVA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 16 # 12-76","CENTRO","NT","NT","CODAZZI","28/12/2011","N/A"
"FARMACIA DROGUERIA SORACA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 16 # 20-63 ESQ","CENTRO","NT","cjrodriguezs@hotmail.com","CODAZZI","04/09/2017","FAVORABLE CON REQUERIMIENTOS"
"LA BOTICA DROGUERIA DE CODAZZI","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 16 #16-04 ESQUINA","CENTRO","NT","alfaresgerencia@gmail.com","CODAZZI","05/09/2017","FAVORABLE CON REQUERIMIENTOS"
"LA ECONOMIA DROGUERIA No.653-D7004 y/o  Drogas la Economia N°  653","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 16 # 12-81","CENTRO","NT","recepcionvp@eticos.com","CODAZZI","06/09/2017","FAVORABLE"
"LA REBAJA DROGUERIA No.1 CODAZZI","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 16 # 20-06","CENTRO","NT","rebaja_1_codazzi@coopservir.com, german_cardona@copservir.com","CODAZZI","04/09/2017","FAVORABLE CON REQUERIMIENTOS"
"LA REBAJA DROGUERIA No.2 CODAZZI","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CR 16 # 12-04 ESQ","CENTRO","NT","rebaja_2_codazzi@coopservir.com","CODAZZI","06/09/2017","FAVORABLE CON REQUERIMIENTOS"
"LA REBAJA PLUS MINIMARKET DROGUERIA # 1","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CARRERA 16 # 16-13","CODAZZI","NT","copservir@copservir.com","CODAZZI","04/09/2017","FAVORABLE CON REQUERIMIENTOS"
"SUPERTIENDAS OLIMPICA 253 CODAZZI","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 18 # 20-35","LA PISTA","5766150","asao253@olimpica.com.co","CODAZZI","12/12/2017","FAVORABLE"
"DROGUERIA MEDIC ECONOMIA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 16 # 23-29","FATIMA","NT","paredes.victor @hotmail","CODAZZI","07/09/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGAS CENTRAL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 8 # 15-09","CENTRO","NT","drogas.central.curumani@copidrogas.org","CURUMANI","03/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGAS LA BOTICA DE CURUMANI","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 14 # 14-93","CENTRO","NT","alfaresgerencia@gmail.com","CURUMANI","03/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA CASTILLO SPREX","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 8 # 16-51","CENTRO","NT","federman15@gmail.com","CURUMANI","03/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA FARMACUR","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 9A # 15-125","CENTRO","NT","fidian17@hotmail.com","CURUMANI","04/08/2017","FAVORABLE"
"DROGUERIA FARMACUR No. 2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 8 # 16-29 Local 2","CENTRO","NT","fidian17@hotmail.com","CURUMANI","04/08/2017","FAVORABLE"
"DROGUERIA FARMARUTH","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 15 # 8-26","CENTRO","NT","ruquita93@hotmail.com","CURUMANI","NUEVO","N/A"
"DROGUERIA SALUD INTEGRAL GISEMA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 17 # 9A-25","EL PARAISO","NT","avivalalh_88@hotmail.es","CURUMANI","04/08/2017","FAVORABLE CON REQUERIMIENTOS"
"FARMACIA CRUZ AZUL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 9 # 14-94","CENTRO","NT","yaksalma@hotmail.com","CURUMANI","03/08/2017","FAVORABLE CON REQUERIMIENTOS"
"LA ECONOMIA DROGUERIA MINIMARKET No. 5004","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 9 # 15-49","CENTRO","NT","recepcionvp@eticos.com","CURUMANI","03/08/2017","FAVORABLE"
"LA ECONOMIA DROGUERIA MINIMARKET No. 629 Y/O DROGAS LA ECONOMIA No. 629","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 8 CRA 17 LOCAL 1","CENTRO","NT","recepcionvp@eticos.com","CURUMANI","04/08/2017","FAVORABLE CON REQUERIMIENTOS"
"LA REBAJA DROGUERIA CURUMANI No.1","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","DIAG 2 # 15-41","CENTRO","NT","rebaja_1_curumani@copidrogas.com","CURUMANI","03/08/2017","FAVORABLE CON REQUERIMIENTOS"
"SUPER DROGAS Y VARIEDADES LA PRIMERA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 10 # 16-41","EL PARAISO","NT","delia.ascanio@hotmail.com","CURUMANI","05/05/2014","FAVORABLE CON REQUERIMIENTOS"
"SUPERTIENDA Y DROGUERIA OLIMPICA 259","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 7 # 17-61","CENTRO","NT","asaez@olimpica.com.co","CURUMANI","04/08/2017","FAVORABLE"
"DROGAS LA SALUD","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CR 14 # 10-45","SAN ROQUE","NT","rmiramarulanda@hotmail.com","EL COPEY","21/07/2017","FAVORABLE"
"DROGUERIA CENTRAL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 14 # 8-05","CENTRO","NT","demetriorafaelvergara@hotmail.com","EL COPEY","21/07/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA LAS DELICIAS D.E.","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 19 # 11-07","LAS DELICIAS","NT","feder1847@gmail.com, dairosierra3@gmail.com","EL COPEY","21/07/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA SOCIAL DEL COPEY","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 23 # 10-13","SAN CARLOS","NT","hersipe88@hotmail.com","EL COPEY","21/07/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA SOCIAL DEL COPEY No 2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 8 # 14-105","SAN ROQUE","NT","hercipe88@hotmail.com","EL COPEY","20/06/2017","DESFAVORABLE"
"DROGUERIA SOCIAL DEL COPEY No2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 8 # 14-105","SAN ROQUE","NT","HERCIPE88@HOTMAIL.COM","EL COPEY","21/06/2017","DESFAVORABLE"
"LA ECONOMIA DROGUERIA MINIMARKET No. 417","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 14 # 8A-06","CENTRO","NT","recepcionvp@eticos.com","EL COPEY","21/07/2017","FAVORABLE"
"DROGUERIA KAROL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 6 # 3-35","CEREZO","NT","delmablanco@gmail.com","EL PASO","18/04/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA SAN MARCOS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 6 # 3-75","CEREZO","NT","analuzman@hotmail.com, drogueriasanmarcos@hotmail.com","EL PASO","18/04/2018","FAVORABLE CON REQUERIMIENTO"
"LA ECONOMIA DROGUERIA 796 y/o DROGAS LA ECONOMIA 796","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 3 # 5-32","CENTRO","NT","recepcionvp@eticos.com","EL PASO","18/04/2018","FAVORABLE CON REQUERIMIENTO"
"BENDITA PLUS DROGUERIA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 6 # 8 - 04","ARAUJO","NT","jose27_4109@hotmail.com, yabago23@hotmail.com","GAMARRA","03/10/2017","FAVORABLE"
"DROGUERIA B Y G S.A.S","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 6 # 2-30","EL COMERCIO","NT","alexbadillo1971@gmail.com","GAMARRA","01/10/2017","DESFAVORABLE"
"DROGUERIA KAYRUZ","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 11 # 11-05","EL CARMEN","NT","drogueriakairuz@hotmail.com","GAMARRA","03/10/2017","FAVORABLE CON REQUERIMIENTOS"
"PHARMASAN","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 9 No 11-72 LC 1","SAN JORGE","3138205028","ditosa42@hotmail.com, directoradministrativo@pharmasan.co","GAMARRA","02/05/2018","FAVORABLE"
"LA ECONOMIA DROGUERIA MINI MARKET No. 5011","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL6 # 7-05","CENTRO","NT","recepcionvp@eticos.com","GAMARRA","03/10/2017","FAVORABLE CON REQUERIMIENTOS"
"CENTRA DROGAS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 2 # 8-90","HOSPIBOLSILLO","3215359073","rubendario1310@hotmail.com","LA GLORIA","13/06/2018","FAVORABLE"
"DROGUERIA CENTRAL No. 1","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 2 # 4-39","CENTRO","NT","NT","LA GLORIA","27/11/2013","N/A"
"DROGAS LA BOTICA DE LA JAGUA DE IBIRICO","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","DIAG 1 TRANS 10 ESQ","COMUNERO","NT","alfaresgerencia@gmail.com","LA JAGUA","23/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA COLOMBIA LA JAGUA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","DIAG 1 TRANS 10-62","LOS COMUNEROS","NT","leobaldomejia@hotmail.com","LA JAGUA","23/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA COMFACESAR 816 (CONCESIONARIO 6)","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","DIAG 1 # 1-198","CENTRO","NT","recepcionvp@eticos.com","LA JAGUA","02/05/2018","FAVORABLE"
"DROGUERIA FARMA OFERTAS LENOR","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 6 # 2-8 APTO 1","LAS MALVINAS","NT","farmaofertas1@hotmail.com","LA JAGUA","04/05/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA INGLESA 74 LA JAGUA DE IBIRICO","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 3A-44","CENTRO","NT","asiscontabmanga@unidrogas.net.co","LA JAGUA","04/05/2018","DESFAVORABLE CON REQUERIMIENTO"
"DROGUERIA LA JAGUA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","DIAG 1 # 4-139","5 DE MARZO","NT","garzon-miguel@hotmail.com","LA JAGUA","22/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA LA MAYORIA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 4 # 7-50","OVELIO JIMENEZ","NT","ehide-johanna@hotmail.com","LA JAGUA","23/08/2017","DESFAVORABLE"
"DROGUERIA LA MIA N.J.","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 7 # 6-05","OVELIO JIMENEZ","NT","droguerialamia_nj@hotmail.com","LA JAGUA","28/05/2014","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA LA SELECTA FC","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","TRANSVERSAL 12 No 7-59","JUAN RAMON","30188859735","caralfonri@hotmail.com","LA JAGUA","11/12/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA MI TIERRA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 7 # 5-08","OVELIO JIMENEZ","NT","roman1003@hotmail.com","LA JAGUA","23/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA PAGUE MENOS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 8 # 6-92","OVELIO JIMENEZ","30166164596","farmaoferta1@hotmail.com","LA JAGUA","11/12/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA PRINCIPAL DE LA JAGUA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","DIAG 1 # 6-21","OVELIO JIMENEZ","NT","denirisv79@gmail.com","LA JAGUA","02/05/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA Y VARIEDADES CRISTO REY AMOR","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 7 # 7-35 Local 1/ DIAG 1 # 4-04","OVELIO JIMENEZ","NT","duvysvillalavo@hotmail.com","LA JAGUA","21/10/2014","FAVORABLE CON REQUERIMIENTOS"
"FARMY DROGAS LA BARATA 2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","TRANSV 7 # 1-06 ESQ","LA FLORIDA","3145004467-3175555032","ubaque1975@gmail.com","LA JAGUA","22/08/2017","FAVORABLE CON REQUERIMIENTOS"
"LA ECONOMIA DROGUERIA MINI MARKET No. 5010 (antes LIDER No. 10)","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 7 # 8-32","OVELIO JIMENEZ","NT","NT","LA JAGUA","03/05/2018","FAVORABLE CON REQUERIMIENTOS"
"LA REBAJA PLUS Nº 1 LA JAGUA DE IBIRICO ALMACEN DE CADENA Y DROGUERIA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","DIAG 1 # 3A-143","LA YE","3212135432","rebaja_plus_1_la_jagua_de_ibirico@copservir.com","LA JAGUA","02/05/2018","FAVORABLE CON REQUERIMIENTO"
"VARIEDADES Y DROGUERIA SAN MIGUEL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CARRERA 4 No 4-07","CENTRO","NT","mary.saca211@gmail.com","LA JAGUA","22/08/2017","FAVORABLE"
"DROGAS DOÑA CLEMEN'S","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 10 # 12-16","LA LOMA","NT","clemen_torres@hotmail.es","LA LOMA","17/04/2018","FAVORABLE CON REQUERIMIENTO"
"DROGUERIA ALEMANA No. 71","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 4 # 3-153","LA LOMA","NT","asiscontabmanga@unidrogas.net.co","LA LOMA","16/04/2018","DESFAVORABLE"
"DROGUERIA BUENOS AIRES A.R.","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 4 # 5-35 AP 3","LA LOMA","NT","dioshemel1@hotmail.com","LA LOMA","16/04/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA COMFACESAR MINIMARKET CONCESIONARIO No.805","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CARRERA 1 1 # 10-98 PLAZA CENTRAL PRICIPAL","LA LOMA","NT","recepcionvp@eticos.com","LA LOMA","16/04/2018","FAVORABLE"
"DROGUERIA FARMA MEDICALL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 4 # 6-15","LA LOMA","NT","yoky1105@hotmail.com","LA LOMA","25/07/2014","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA FARMA ROJA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","KRA 10 # 10A 20","LA LOMA","NT","yerocali@hotmail.com","LA LOMA","17/04/2018","DESFAVORABLE"
"DROGUERIA LA MAGDALENA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 10 # 11-07","LA LOMA","NT","amsanchez9@hotmail.com","LA LOMA","16/04/2018","FAVORABLE"
