"_","t_tulo","autor","a_o","isbn","serie","ciudad","editor"
"163","Cuadernos de la Maestría en Estudios Editoriales,",,"2020","tendrán ISSN","Sin definir serie","Bogotá","Instituto Caro y Cuervo"
"164","Crítica literaria I, II y III. Hernando Téllez (Reimpresión)",,"2020","Primera reimpresión","Serie Páramo","Bogotá","Instituto Caro y Cuervo"
"165","(Antología poética)Alfabeto de otros días - Luz Mary Giraldo",,"2020","Propuestas","Fuera de serie","Bogotá","Instituto Caro y Cuervo"
"166","Oficios y afines, diccionario de colombianismos",,"2020","978-958-611-393-9","Serie Lexicográfica","Bogotá","Instituto Caro y Cuervo"
"167","El procesamiento lingüístico de textos de opinión",,"2020","978-958-611-392-2","Serie Lexicográfica","Bogotá","Instituto Caro y Cuervo"
"168","Tipos heroicos,  Letras, orlas y rayas de la Imprenta Patriótica (Reimpresión)",,"2020","978-958-611-391-5","Fuera de serie","Bogotá","Instituto Caro y Cuervo"
"169","Léxico de la violencia en Colombia",,"2020","978-958-611-389-2","Serie Lexicográfica","Bogotá","Instituto Caro y Cuervo"
"170","Seriedad, risa y cultura en la poesía hispana de la Nueva Granada",,"2020","978-958-611-388-5","Serie Páramo","Bogotá","Instituto Caro y Cuervo"
"171","Tradición oral del sur del Tolima",,"2020","978-958-611-387-8","Serie Montes","Bogotá","Instituto Caro y Cuervo"
,,,,,,"Bogotá","Instituto Caro y Cuervo"
,,,,,,"Bogotá","Instituto Caro y Cuervo"
,,,,,,"Bogotá","Instituto Caro y Cuervo"
,,,,,,"Bogotá","Instituto Caro y Cuervo"
,,,,,,"Bogotá","Instituto Caro y Cuervo"
,,,,,,"Bogotá","Instituto Caro y Cuervo"
,,,,,,"Bogotá","Instituto Caro y Cuervo"
,,,,,,"Bogotá","Instituto Caro y Cuervo"
,,,,,,"Bogotá","Instituto Caro y Cuervo"
,,,,,,"Bogotá","Instituto Caro y Cuervo"
,,,,,,"Bogotá","Instituto Caro y Cuervo"
