"geographic_area","geographic_name","gender","age","ethnicity","year","time_period","time_period_dates","hiv_incidence_rate","hiv_incidence_rate_description","newly_diagnosed_hiv_count","newly_diagnosed_hiv_count_1","population_estimate","population_estimate_1","population_estimate_notes","county_code_number","county_code_text","state_fips_code","county_fips_code","latitude_longitude","longitude","geocoded_column"
"State","Commonwealth","All","All (0 to 99 years)","Asian/Pacific","2020","2020 Annual","1/1/2020-12/31/2020","1.78","Rate of new HIV diagnoses per 100,000 individuals","8","New HIV diagnoses","448693","Pennsylvania population estimate from Census Bureau's American Community Survey","Not displayed when total number of individuals estimated is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","Female","All (0 to 99 years)","All","2020","2020 Q3","7/1/2020-9/30/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","All","35 to 39 years","All","2019","2019 Q2","4/1/2019-6/30/2019",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","6","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Cameron","All","All (0 to 99 years)","All","2020","2020 Q1","1/1/2020-3/31/2020",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","12","12","42","23","41.43880265","-78.20916932","POINT (-78.20916932 41.43880265)"
"State","Commonwealth","All","0 to 11 years","All","2018","2018 Q3","7/1/2018-9/30/2018",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Montgomery","All","All (0 to 99 years)","All","2016","2016 Annual","1/1/2016-12/31/2016","4.17","Rate of new HIV diagnoses per 100,000 individuals","34","New HIV diagnoses","815876","Pennsylvania population estimate from Census Bureau's American Community Survey","Not displayed when total number of individuals estimated is less than 11","46","46","42","91","40.20989874","-75.37252001","POINT (-75.37252001 40.20989874)"
"County","Carbon","All","All (0 to 99 years)","All","2018","2018 Q2","4/1/2018-6/30/2018",,"Rate of new HIV diagnoses per 100,000 individuals","1","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","13","13","42","25","40.91936701","-75.71107039","POINT (-75.71107039 40.91936701)"
"County","Wyoming","All","All (0 to 99 years)","All","2016","2016 Q2","4/1/2016-6/30/2016",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","66","66","42","131","41.51892488","-76.01813003","POINT (-76.01813003 41.51892488)"
"County","Philadelphia","All","All (0 to 99 years)","All","2019","2019 Q3","7/1/2019-9/30/2019",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","15","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","51","51","42","101","40.00444354","-75.140236","POINT (-75.140236 40.00444354)"
"State","Commonwealth","All","30 to 34 years","All","2018","2018 Annual","1/1/2018-12/31/2018",,"Rate of new HIV diagnoses per 100,000 individuals","155","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Clarion","All","All (0 to 99 years)","All","2020","2020 Q2","4/1/2020-6/30/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","16","16","42","31","41.19279129","-79.42483608","POINT (-79.42483608 41.19279129)"
"State","Commonwealth","All","30 to 34 years","All","2017","2017 Q2","4/1/2017-6/30/2017",,"Rate of new HIV diagnoses per 100,000 individuals","35","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Washington","All","All (0 to 99 years)","All","2020","2020 Q2","4/1/2020-6/30/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","63","63","42","125","40.19109664","-80.25180083","POINT (-80.25180083 40.19109664)"
"County","Dauphin","All","All (0 to 99 years)","All","2018","2018 Q4","10/1/2018-12/31/2018",,"Rate of new HIV diagnoses per 100,000 individuals","6","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","22","22","42","43","40.41974636","-76.77960568","POINT (-76.77960568 40.41974636)"
"County","Snyder","All","All (0 to 99 years)","All","2016","2016 Q2","4/1/2016-6/30/2016",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","55","55","42","109","40.77113737","-77.07255968","POINT (-77.07255968 40.77113737)"
"State","Commonwealth","All","All (0 to 99 years)","White (non-Hispanic)","2016","2016 Annual","1/1/2016-12/31/2016",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","48","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Northampton","All","All (0 to 99 years)","All","2017","2017 Q2","4/1/2017-6/30/2017",,"Rate of new HIV diagnoses per 100,000 individuals","6","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","48","48","42","95","40.7545954","-75.31263726","POINT (-75.31263726 40.7545954)"
"County","Juniata","All","All (0 to 99 years)","All","2017","2017 Annual","1/1/2017-12/31/2017",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","34","34","42","67","40.53433008","-77.405775","POINT (-77.405775 40.53433008)"
"County","Somerset","All","All (0 to 99 years)","All","2017","2017 Q4","10/1/2017-12/31/2017",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","56","56","42","111","39.97146299","-79.03100206","POINT (-79.03100206 39.97146299)"
"County","Mifflin","All","All (0 to 99 years)","All","2018","2018 Q1","1/1/2018-3/31/2018",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","44","44","42","87","40.61274928","-77.62003089","POINT (-77.62003089 40.61274928)"
"County","Centre","All","All (0 to 99 years)","All","2020","2020 Q3","7/1/2020-9/30/2020",,"Rate of new HIV diagnoses per 100,000 individuals","2","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","14","14","42","27","40.9193135","-77.82500112","POINT (-77.82500112 40.9193135)"
"County","Lycoming","All","All (0 to 99 years)","All","2018","2018 Q2","4/1/2018-6/30/2018",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","41","41","42","81","41.34459792","-77.06942457","POINT (-77.06942457 41.34459792)"
"County","McKean","All","All (0 to 99 years)","All","2016","2016 Q1","1/1/2016-3/31/2016",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","42","42","42","83","41.81037074","-78.5712202","POINT (-78.5712202 41.81037074)"
"County","Lackawanna","All","All (0 to 99 years)","All","2020","2020 Annual","1/1/2020-12/31/2020","5.23","Rate of new HIV diagnoses per 100,000 individuals","11","New HIV diagnoses","210162","Pennsylvania population estimate from Census Bureau's American Community Survey","Not displayed when total number of individuals estimated is less than 11","35","35","42","69","41.43910064","-75.61218345","POINT (-75.61218345 41.43910064)"
"County","Clinton","All","All (0 to 99 years)","All","2018","2018 Q3","7/1/2018-9/30/2018",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","18","18","42","35","41.23286274","-77.6428376","POINT (-77.6428376 41.23286274)"
"State","Commonwealth","All","All (0 to 99 years)","Multiple race","2017","2017 Annual","1/1/2017-12/31/2017",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","3","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Greene","All","All (0 to 99 years)","All","2019","2019 Q4","10/1/2019-12/31/2019",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","30","30","42","59","39.85480393","-80.22943817","POINT (-80.22943817 39.85480393)"
"County","Cameron","All","All (0 to 99 years)","All","2019","2019 Q2","4/1/2019-6/30/2019",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","12","12","42","23","41.43880265","-78.20916932","POINT (-78.20916932 41.43880265)"
"County","Cambria","All","All (0 to 99 years)","All","2016","2016 Q2","4/1/2016-6/30/2016",,"Rate of new HIV diagnoses per 100,000 individuals","1","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","11","11","42","21","40.49127491","-78.71894174","POINT (-78.71894174 40.49127491)"
"County","Dauphin","All","All (0 to 99 years)","All","2020","2020 Annual","1/1/2020-12/31/2020","10.47","Rate of new HIV diagnoses per 100,000 individuals","29","New HIV diagnoses","277071","Pennsylvania population estimate from Census Bureau's American Community Survey","Not displayed when total number of individuals estimated is less than 11","22","22","42","43","40.41974636","-76.77960568","POINT (-76.77960568 40.41974636)"
"County","Huntingdon","All","All (0 to 99 years)","All","2018","2018 Q4","10/1/2018-12/31/2018",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","31","31","42","61","40.416105","-77.9827661","POINT (-77.9827661 40.416105)"
"State","Commonwealth","All","55 to 99 years","All","2020","2020 Annual","1/1/2020-12/31/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","12","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Washington","All","All (0 to 99 years)","All","2017","2017 Q3","7/1/2017-9/30/2017",,"Rate of new HIV diagnoses per 100,000 individuals","3","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","63","63","42","125","40.19109664","-80.25180083","POINT (-80.25180083 40.19109664)"
"County","Elk","All","All (0 to 99 years)","All","2017","2017 Q4","10/1/2017-12/31/2017",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","24","24","42","47","41.42819416","-78.64947713","POINT (-78.64947713 41.42819416)"
"County","Chester","All","All (0 to 99 years)","All","2020","2020 Q3","7/1/2020-9/30/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","2","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","15","15","42","29","39.97487056","-75.75626498","POINT (-75.75626498 39.97487056)"
"State","Commonwealth","All","All (0 to 99 years)","All","2019","2019 Q1","1/1/2019-3/31/2019",,"Rate of new HIV diagnoses per 100,000 individuals","264","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Susquehanna","All","All (0 to 99 years)","All","2020","2020 Q2","4/1/2020-6/30/2020",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","58","58","42","115","41.8205686","-75.80250303","POINT (-75.80250303 41.8205686)"
"County","Forest","All","All (0 to 99 years)","All","2016","2016 Q3","7/1/2016-9/30/2016",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","27","27","42","53","41.51357876","-79.23780995","POINT (-79.23780995 41.51357876)"
"State","Commonwealth","All","All (0 to 99 years)","White (non-Hispanic)","2016","2016 Q4","10/1/2016-12/31/2016",,"Rate of new HIV diagnoses per 100,000 individuals","79","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Washington","All","All (0 to 99 years)","All","2016","2016 Q1","1/1/2016-3/31/2016",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","63","63","42","125","40.19109664","-80.25180083","POINT (-80.25180083 40.19109664)"
"County","Elk","All","All (0 to 99 years)","All","2017","2017 Q1","1/1/2017-3/31/2017",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","24","24","42","47","41.42819416","-78.64947713","POINT (-78.64947713 41.42819416)"
"County","Somerset","All","All (0 to 99 years)","All","2019","2019 Annual","1/1/2019-12/31/2019","81.17","Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","1","New HIV diagnoses among individuals using injection drugs","1232","Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","56","56","42","111","39.97146299","-79.03100206","POINT (-79.03100206 39.97146299)"
"County","Lebanon","All","All (0 to 99 years)","All","2017","2017 Q3","7/1/2017-9/30/2017",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","38","38","42","75","40.367597","-76.46182575","POINT (-76.46182575 40.367597)"
"County","Clearfield","All","All (0 to 99 years)","All","2020","2020 Q1","1/1/2020-3/31/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","17","17","42","33","41.000429","-78.47558343","POINT (-78.47558343 41.000429)"
"County","McKean","All","All (0 to 99 years)","All","2019","2019 Q3","7/1/2019-9/30/2019",,"Rate of new HIV diagnoses per 100,000 individuals","1","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","42","42","42","83","41.81037074","-78.5712202","POINT (-78.5712202 41.81037074)"
"County","Montgomery","All","All (0 to 99 years)","All","2019","2019 Q4","10/1/2019-12/31/2019",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","1","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","46","46","42","91","40.20989874","-75.37252001","POINT (-75.37252001 40.20989874)"
"County","Montgomery","All","All (0 to 99 years)","All","2017","2017 Q1","1/1/2017-3/31/2017",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","1","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","46","46","42","91","40.20989874","-75.37252001","POINT (-75.37252001 40.20989874)"
"County","Cambria","All","All (0 to 99 years)","All","2019","2019 Annual","1/1/2019-12/31/2019","22.93","Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","1","New HIV diagnoses among individuals using injection drugs","4361","Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","11","11","42","21","40.49127491","-78.71894174","POINT (-78.71894174 40.49127491)"
"State","Commonwealth","Female","All (0 to 99 years)","All","2016","2016 Annual","1/1/2016-12/31/2016","25.5","Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","23","New HIV diagnoses among individuals using injection drugs","90211","Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Greene","All","All (0 to 99 years)","All","2018","2018 Q3","7/1/2018-9/30/2018",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","30","30","42","59","39.85480393","-80.22943817","POINT (-80.22943817 39.85480393)"
"County","Lycoming","All","All (0 to 99 years)","All","2016","2016 Q3","7/1/2016-9/30/2016",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","41","41","42","81","41.34459792","-77.06942457","POINT (-77.06942457 41.34459792)"
"County","Snyder","All","All (0 to 99 years)","All","2016","2016 Q3","7/1/2016-9/30/2016",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","55","55","42","109","40.77113737","-77.07255968","POINT (-77.07255968 40.77113737)"
"County","Pike","All","All (0 to 99 years)","All","2017","2017 Q4","10/1/2017-12/31/2017",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","52","52","42","103","41.332572","-75.03270924","POINT (-75.03270924 41.332572)"
"County","Wyoming","All","All (0 to 99 years)","All","2020","2020 Q4","10/1/2020-12/31/2020",,"Rate of new HIV diagnoses per 100,000 individuals","1","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","66","66","42","131","41.51892488","-76.01813003","POINT (-76.01813003 41.51892488)"
"County","Bedford","All","All (0 to 99 years)","All","2019","2019 Q2","4/1/2019-6/30/2019",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","5","5","42","9","40.00737536","-78.49116474","POINT (-78.49116474 40.00737536)"
"County","Northumberland","All","All (0 to 99 years)","All","2019","2019 Q2","4/1/2019-6/30/2019",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","49","49","42","97","40.85150926","-76.71188423","POINT (-76.71188423 40.85150926)"
"County","Berks","All","All (0 to 99 years)","All","2017","2017 Q3","7/1/2017-9/30/2017",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","6","6","42","11","40.41939635","-75.93077327","POINT (-75.93077327 40.41939635)"
"State","Commonwealth","Male","All (0 to 99 years)","All","2020","2020 Q2","4/1/2020-6/30/2020",,"Rate of new HIV diagnoses per 100,000 individuals","124","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Venango","All","All (0 to 99 years)","All","2017","2017 Q1","1/1/2017-3/31/2017",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","1","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","61","61","42","121","41.40341259","-79.76286561","POINT (-79.76286561 41.40341259)"
"County","Monroe","All","All (0 to 99 years)","All","2018","2018 Annual","1/1/2018-12/31/2018","41.61","Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","1","New HIV diagnoses among individuals using injection drugs","2403","Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","45","45","42","89","41.06091787","-75.34083603","POINT (-75.34083603 41.06091787)"
"County","Philadelphia","All","All (0 to 99 years)","All","2019","2019 Q1","1/1/2019-3/31/2019",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","26","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","51","51","42","101","40.00444354","-75.140236","POINT (-75.140236 40.00444354)"
"County","Pike","All","All (0 to 99 years)","All","2019","2019 Q4","10/1/2019-12/31/2019",,"Rate of new HIV diagnoses per 100,000 individuals","1","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","52","52","42","103","41.332572","-75.03270924","POINT (-75.03270924 41.332572)"
"State","Commonwealth","All","All (0 to 99 years)","Native American","2018","2018 Q4","10/1/2018-12/31/2018",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Bedford","All","All (0 to 99 years)","All","2018","2018 Annual","1/1/2018-12/31/2018","0","Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs","791","Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","5","5","42","9","40.00737536","-78.49116474","POINT (-78.49116474 40.00737536)"
"County","Greene","All","All (0 to 99 years)","All","2018","2018 Q2","4/1/2018-6/30/2018",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","30","30","42","59","39.85480393","-80.22943817","POINT (-80.22943817 39.85480393)"
"County","Chester","All","All (0 to 99 years)","All","2016","2016 Annual","1/1/2016-12/31/2016","26.9","Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","2","New HIV diagnoses among individuals using injection drugs","7434","Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","15","15","42","29","39.97487056","-75.75626498","POINT (-75.75626498 39.97487056)"
"County","Cameron","All","All (0 to 99 years)","All","2018","2018 Q1","1/1/2018-3/31/2018",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","12","12","42","23","41.43880265","-78.20916932","POINT (-78.20916932 41.43880265)"
"County","Lehigh","All","All (0 to 99 years)","All","2018","2018 Q2","4/1/2018-6/30/2018",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","39","39","42","77","40.61464794","-75.60099481","POINT (-75.60099481 40.61464794)"
"County","Cambria","All","All (0 to 99 years)","All","2017","2017 Annual","1/1/2017-12/31/2017","0","Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs","4909","Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","11","11","42","21","40.49127491","-78.71894174","POINT (-78.71894174 40.49127491)"
"State","Commonwealth","All","45 to 49 years","All","2017","2017 Q1","1/1/2017-3/31/2017",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","3","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Blair","All","All (0 to 99 years)","All","2019","2019 Q2","4/1/2019-6/30/2019",,"Rate of new HIV diagnoses per 100,000 individuals","1","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","7","7","42","13","40.48555024","-78.34907687","POINT (-78.34907687 40.48555024)"
"County","Allegheny","All","All (0 to 99 years)","All","2019","2019 Q1","1/1/2019-3/31/2019",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","3","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","2","2","42","3","40.46735543","-79.98619843","POINT (-79.98619843 40.46735543)"
