"geographic_area","geographic_name","gender","age","year","time_period","time_period_dates","court_of_common_pleas_opioid","court_of_common_pleas_opioid_1","court_of_common_pleas_cases","court_of_common_pleas_cases_1","rate_of_court_of_common_pleas","type_of_rate","percent_of_court_of_common","percent_of_court_of_common_1","drug_court_cases","drug_court_cases_description","successfully_completed_drug","successfully_completed_drug_1","opioid_drug_court_cases","opioid_drug_court_cases_1","successfully_completed_opioid","successfully_completed_opioid_1","percent_of_drug_court_cases","percent_of_drug_court_cases_1","percent_of_drug_court_cases_2","percent_of_drug_court_cases_3","percent_of_drug_court_cases_4","percent_of_drug_court_cases_5","county_code_number","county_code_text","state_fips_code","county_fips_code","latitude","longitude","geocoded_column"
"County","Cumberland","All","All (18+ years)","2018","2018 Q3","7/1/2018-9/30/2018","2","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","21","21","42","041","40.16759838800","-77.26866270500","POINT (-77.268662705 40.167598388)"
"County","Northampton","All","All (18+ years)","2019","2019 Annual","1/1/2019-12/31/2019","36","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","3994","Total number of annual Court of Common Pleas cases","9.01","Rate of Court of Common Pleas opioid cases per 1,000 total court cases",,"Percent of Court of Common Pleas cases with opioid use not available","29","Count of discharged drug court cases","15","Count of successfully completed discharged drug court cases","15","Count of discharged drug court cases with an opioid as the drug of choice","5","Count of successfully completed discharged drug court cases with an opioid as the drug of choice","0.5172413793103449","Percent of drug court cases list an opioid as the drug of choice","0.5172413793103449","Percent of drug court cases discharged graduating successfully from the program","0.3333333333333333","Percent of drug court cases with an opioid as the drug of choice discharged and graduated successfully from the program","48","48","42","095","40.75459540400","-75.31263725760","POINT (-75.3126372576 40.754595404)"
"County","Potter","All","All (18+ years)","2017","2017 Q4","10/1/2017-12/31/2017","2","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","53","53","42","105","41.74420643820","-77.89879229390","POINT (-77.8987922939 41.7442064382)"
"County","Westmoreland","All","All (18+ years)","2019","2019 Q1","1/1/2019-3/31/2019","26","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","65","65","42","129","40.31031499850","-79.47134117600","POINT (-79.471341176 40.3103149985)"
"State","Commonwealth","All","30 to 34 years","2019","2019 Q2","4/1/2019-6/30/2019","133","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","613","Total Court of Common Pleas cases are not available",,"Rates by age are not available","0.21700","Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Allegheny","All","All (18+ years)","2018","2018 Q2","4/1/2018-6/30/2018","46","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","2","02","42","003","40.46735542980","-79.98619842820","POINT (-79.9861984282 40.4673554298)"
"County","Lycoming","All","All (18+ years)","2017","2017 Q3","7/1/2017-9/30/2017","9","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","41","41","42","081","41.34459792260","-77.06942456800","POINT (-77.069424568 41.3445979226)"
"County","Centre","All","All (18+ years)","2016","2016 Q3","7/1/2016-9/30/2016","4","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","14","14","42","027","40.91931350080","-77.82500112120","POINT (-77.8250011212 40.9193135008)"
"County","Tioga","All","All (18+ years)","2017","2017 Q1","1/1/2017-3/31/2017","1","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","59","59","42","117","41.77333833580","-77.25788075790","POINT (-77.2578807579 41.7733383358)"
"County","Butler","All","All (18+ years)","2018","2018 Q3","7/1/2018-9/30/2018","7","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","10","10","42","019","40.91083184830","-79.91711778890","POINT (-79.9171177889 40.9108318483)"
"County","Butler","All","All (18+ years)","2019","2019 Q3","7/1/2019-9/30/2019","4","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","10","10","42","019","40.91083184830","-79.91711778890","POINT (-79.9171177889 40.9108318483)"
"County","Clarion","All","All (18+ years)","2017","2017 Annual","1/1/2017-12/31/2017","16","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","548","Total number of annual Court of Common Pleas cases","29.2","Rate of Court of Common Pleas opioid cases per 1,000 total court cases",,"Percent of Court of Common Pleas cases with opioid use not available","7","Count of discharged drug court cases","5","Count of successfully completed discharged drug court cases","4","Count of discharged drug court cases with an opioid as the drug of choice","3","Count of successfully completed discharged drug court cases with an opioid as the drug of choice","0.5714285714285714","Percent of drug court cases list an opioid as the drug of choice","0.7142857142857143","Percent of drug court cases discharged graduating successfully from the program","0.75","Percent of drug court cases with an opioid as the drug of choice discharged and graduated successfully from the program","16","16","42","031","41.19279128770","-79.42483607690","POINT (-79.4248360769 41.1927912877)"
"County","Bedford","All","All (18+ years)","2017","2017 Q1","1/1/2017-3/31/2017","1","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","5","05","42","009","40.00737536430","-78.49116473810","POINT (-78.4911647381 40.0073753643)"
"County","Adams","All","All (18+ years)","2016","2016 Q2","4/1/2016-6/30/2016","1","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","1","01","42","001","39.87209565030","-77.22224270760","POINT (-77.2222427076 39.8720956503)"
"County","Bedford","All","All (18+ years)","2017","2017 Q3","7/1/2017-9/30/2017","1","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","5","05","42","009","40.00737536430","-78.49116473810","POINT (-78.4911647381 40.0073753643)"
"State","Commonwealth","All","35 to 39 years","2017","2017 Q1","1/1/2017-3/31/2017","130","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","987","Total Court of Common Pleas cases are not available",,"Rates by age are not available","0.13200","Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Dauphin","All","All (18+ years)","2018","2018 Annual","1/1/2018-12/31/2018","107","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","5535","Total number of annual Court of Common Pleas cases","19.33","Rate of Court of Common Pleas opioid cases per 1,000 total court cases",,"Percent of Court of Common Pleas cases with opioid use not available","11","Count of discharged drug court cases","6","Count of successfully completed discharged drug court cases","6","Count of discharged drug court cases with an opioid as the drug of choice","4","Count of successfully completed discharged drug court cases with an opioid as the drug of choice","0.5454545454545454","Percent of drug court cases list an opioid as the drug of choice","0.5454545454545454","Percent of drug court cases discharged graduating successfully from the program","0.6666666666666666","Percent of drug court cases with an opioid as the drug of choice discharged and graduated successfully from the program","22","22","42","043","40.41974635970","-76.77960568020","POINT (-76.7796056802 40.4197463597)"
"County","Cambria","All","All (18+ years)","2016","2016 Q2","4/1/2016-6/30/2016","11","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","11","11","42","021","40.49127490670","-78.71894173850","POINT (-78.7189417385 40.4912749067)"
"County","Crawford","All","All (18+ years)","2019","2019 Annual","1/1/2019-12/31/2019","6","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","1132","Total number of annual Court of Common Pleas cases","5.3","Rate of Court of Common Pleas opioid cases per 1,000 total court cases",,"Percent of Court of Common Pleas cases with opioid use not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","20","20","42","039","41.68546906920","-80.11321082950","POINT (-80.1132108295 41.6854690692)"
"County","Beaver","All","All (18+ years)","2017","2017 Q2","4/1/2017-6/30/2017","19","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","4","04","42","007","40.68349245480","-80.35107356480","POINT (-80.3510735648 40.6834924548)"
"County","Schuylkill","All","All (18+ years)","2019","2019 Q1","1/1/2019-3/31/2019","2","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","54","54","42","107","40.70751243100","-76.22332385100","POINT (-76.223323851 40.707512431000005)"
"County","Pike","All","All (18+ years)","2018","2018 Annual","1/1/2018-12/31/2018","11","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","549","Total number of annual Court of Common Pleas cases","20.04","Rate of Court of Common Pleas opioid cases per 1,000 total court cases",,"Percent of Court of Common Pleas cases with opioid use not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","52","52","42","103","41.33257199500","-75.03270924480","POINT (-75.0327092448 41.332571995)"
"County","Perry","All","All (18+ years)","2016","2016 Q2","4/1/2016-6/30/2016","4","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","50","50","42","099","40.40415317440","-77.25907384960","POINT (-77.2590738496 40.4041531744)"
"County","Armstrong","All","All (18+ years)","2018","2018 Q4","10/1/2018-12/31/2018","2","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","3","03","42","005","40.81509525550","-79.47316898930","POINT (-79.4731689893 40.8150952555)"
"County","Lackawanna","All","All (18+ years)","2016","2016 Q2","4/1/2016-6/30/2016","24","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","35","35","42","069","41.43910064280","-75.61218345240","POINT (-75.6121834524 41.4391006428)"
"County","Bucks","All","All (18+ years)","2017","2017 Q2","4/1/2017-6/30/2017","3","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","9","09","42","017","40.33501133100","-75.11291241110","POINT (-75.1129124111 40.335011331)"
"County","Bradford","All","All (18+ years)","2018","2018 Q4","10/1/2018-12/31/2018","1","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","8","08","42","015","41.79117814010","-76.51825623840","POINT (-76.5182562384 41.7911781401)"
"State","Commonwealth","All","18 to 19 years","2018","2018 Q1","1/1/2018-3/31/2018","26","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","800","Total Court of Common Pleas cases are not available",,"Rates by age are not available","0.03200","Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","All","18 to 19 years","2016","2016 Q1","1/1/2016-3/31/2016","43","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","1034","Total Court of Common Pleas cases are not available",,"Rates by age are not available","0.04200","Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Chester","All","All (18+ years)","2018","2018 Q2","4/1/2018-6/30/2018","18","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","15","15","42","029","39.97487055660","-75.75626498180","POINT (-75.7562649818 39.9748705566)"
"County","Wyoming","All","All (18+ years)","2017","2017 Q4","10/1/2017-12/31/2017","2","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","66","66","42","131","41.51892488030","-76.01813003380","POINT (-76.0181300338 41.5189248803)"
"State","Commonwealth","All","25 to 29 years","2019","2019 Q3","7/1/2019-9/30/2019","97","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","552","Total Court of Common Pleas cases are not available",,"Rates by age are not available","0.1760000000000000200","Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Perry","All","All (18+ years)","2017","2017 Annual","1/1/2017-12/31/2017","6","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","460","Total number of annual Court of Common Pleas cases","13.04","Rate of Court of Common Pleas opioid cases per 1,000 total court cases",,"Percent of Court of Common Pleas cases with opioid use not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","50","50","42","099","40.40415317440","-77.25907384960","POINT (-77.2590738496 40.4041531744)"
"County","Warren","All","All (18+ years)","2016","2016 Q2","4/1/2016-6/30/2016","1","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","62","62","42","123","41.81675236520","-79.27858157800","POINT (-79.278581578 41.8167523652)"
"County","Lebanon","All","All (18+ years)","2019","2019 Q1","1/1/2019-3/31/2019","5","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","38","38","42","075","40.36759700240","-76.46182574860","POINT (-76.4618257486 40.3675970024)"
"County","Cumberland","All","All (18+ years)","2016","2016 Annual","1/1/2016-12/31/2016","21","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","3776","Total number of annual Court of Common Pleas cases","5.56","Rate of Court of Common Pleas opioid cases per 1,000 total court cases",,"Percent of Court of Common Pleas cases with opioid use not available","25","Count of discharged drug court cases","14","Count of successfully completed discharged drug court cases","4","Count of discharged drug court cases with an opioid as the drug of choice","2","Count of successfully completed discharged drug court cases with an opioid as the drug of choice","0.16","Percent of drug court cases list an opioid as the drug of choice","0.56","Percent of drug court cases discharged graduating successfully from the program","0.5","Percent of drug court cases with an opioid as the drug of choice discharged and graduated successfully from the program","21","21","42","041","40.16759838800","-77.26866270500","POINT (-77.268662705 40.167598388)"
"County","Pike","All","All (18+ years)","2019","2019 Q3","7/1/2019-9/30/2019","1","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","52","52","42","103","41.33257199500","-75.03270924480","POINT (-75.0327092448 41.332571995)"
"County","Bucks","All","All (18+ years)","2018","2018 Q4","10/1/2018-12/31/2018","4","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","9","09","42","017","40.33501133100","-75.11291241110","POINT (-75.1129124111 40.335011331)"
"State","Commonwealth","All","30 to 34 years","2018","2018 Annual","1/1/2018-12/31/2018","484","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","2729","Total Court of Common Pleas cases are not available",,"Rates by age are not available","0.17700","Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Mifflin","All","All (18+ years)","2016","2016 Q1","1/1/2016-3/31/2016","1","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","44","44","42","087","40.61274928040","-77.62003089010","POINT (-77.6200308901 40.6127492804)"
"County","Chester","All","All (18+ years)","2016","2016 Q2","4/1/2016-6/30/2016","12","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","15","15","42","029","39.97487055660","-75.75626498180","POINT (-75.7562649818 39.9748705566)"
"County","Dauphin","All","All (18+ years)","2017","2017 Q2","4/1/2017-6/30/2017","25","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","22","22","42","043","40.41974635970","-76.77960568020","POINT (-76.7796056802 40.4197463597)"
"County","Bucks","All","All (18+ years)","2018","2018 Annual","1/1/2018-12/31/2018","12","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","6033","Total number of annual Court of Common Pleas cases","1.99","Rate of Court of Common Pleas opioid cases per 1,000 total court cases",,"Percent of Court of Common Pleas cases with opioid use not available","44","Count of discharged drug court cases","29","Count of successfully completed discharged drug court cases","38","Count of discharged drug court cases with an opioid as the drug of choice","26","Count of successfully completed discharged drug court cases with an opioid as the drug of choice","0.8636363636363636","Percent of drug court cases list an opioid as the drug of choice","0.6590909090909091","Percent of drug court cases discharged graduating successfully from the program","0.6842105263157895","Percent of drug court cases with an opioid as the drug of choice discharged and graduated successfully from the program","9","09","42","017","40.33501133100","-75.11291241110","POINT (-75.1129124111 40.335011331)"
"County","Somerset","All","All (18+ years)","2018","2018 Q4","10/1/2018-12/31/2018","4","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","56","56","42","111","39.97146299010","-79.03100206110","POINT (-79.0310020611 39.9714629901)"
"County","Blair","All","All (18+ years)","2019","2019 Q4","10/1/2019-12/31/2019","9","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","7","07","42","013","40.48555023840","-78.34907687100","POINT (-78.349076871 40.4855502384)"
"County","Union","All","All (18+ years)","2019","2019 Q2","4/1/2019-6/30/2019","4","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","60","60","42","119","40.96473130960","-77.06415803080","POINT (-77.0641580308 40.9647313096)"
"County","Clarion","All","All (18+ years)","2018","2018 Q3","7/1/2018-9/30/2018","3","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","16","16","42","031","41.19279128770","-79.42483607690","POINT (-79.4248360769 41.1927912877)"
"County","Northumberland","All","All (18+ years)","2018","2018 Q4","10/1/2018-12/31/2018","7","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","49","49","42","097","40.85150925720","-76.71188422730","POINT (-76.7118842273 40.8515092572)"
"County","Northumberland","All","All (18+ years)","2017","2017 Q3","7/1/2017-9/30/2017","9","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","49","49","42","097","40.85150925720","-76.71188422730","POINT (-76.7118842273 40.8515092572)"
"County","Dauphin","All","All (18+ years)","2017","2017 Q3","7/1/2017-9/30/2017","22","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","22","22","42","043","40.41974635970","-76.77960568020","POINT (-76.7796056802 40.4197463597)"
"State","Commonwealth","All","18 to 19 years","2019","2019 Q2","4/1/2019-6/30/2019","22","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","613","Total Court of Common Pleas cases are not available",,"Rates by age are not available","0.03600000000000000400","Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","All","45 to 49 years","2016","2016 Q3","7/1/2016-9/30/2016","51","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","1076","Total Court of Common Pleas cases are not available",,"Rates by age are not available","0.04700","Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
