"geographic_area","geographic_name","gender","age","year","time_period","time_period_dates","number_of_days_hospitalized","number_of_days_hospitalized_1","number_of_days_hospitalized_notes","estimated_lost_wages","estimated_lost_wages_desc","estimated_lost_state_income_tax","estimated_lost_state_income_tax_desc","county_code_number","county_code_text","state_fips_code","county_fips_code","latitude_longitude","geocoded_column","latitude","longitude"
"County","Greene","All","All (21 to 64 years)","2018","2018 Q2","4/1/2018-6/30/2018",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","30","30","42","059","(39.8548039342, -80.2294381655)","POINT (-80.2294381655 39.8548039342)","39.85480393","-80.22943817"
"County","Franklin","All","All (21 to 64 years)","2019","2019 Annual","1/1/2019-12/31/2019","429","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","52836.86","Lost wages dues to hospitalization for opioid use","1622.09","Estimated state income tax revenue lost during hospitalizations due to opioid use","28","28","42","055","(39.9278619704, -77.7239884483)","POINT (-77.7239884483 39.9278619704)","39.92786197","-77.72398845"
"County","Potter","All","All (21 to 64 years)","2016","2016 Q3","7/1/2016-9/30/2016",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","53","53","42","105","(41.7442064382, -77.8987922939)","POINT (-77.8987922939 41.7442064382)","41.74420644","-77.89879229"
"County","Clearfield","All","All (21 to 64 years)","2017","2017 Q3","7/1/2017-9/30/2017",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","17","17","42","033","(41.0004290024, -78.4755834299)","POINT (-78.4755834299 41.0004290024)","41.000429","-78.47558343"
"State","Commonwealth","All","21 to 34 years","2017","2017 Q1","1/1/2017-3/31/2017","6580","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","1022383.00","Lost wages dues to hospitalization for opioid use","31387.16","Estimated state income tax revenue lost during hospitalizations due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)","39.346129","-75.167756"
"County","Jefferson","All","All (21 to 64 years)","2019","2019 Annual","1/1/2019-12/31/2019","14","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","1533.00","Lost wages dues to hospitalization for opioid use","47.06","Estimated state income tax revenue lost during hospitalizations due to opioid use","33","33","42","065","(41.1313909115, -79.0010181419)","POINT (-79.0010181419 41.1313909115)","41.13139091","-79.00101814"
"County","Mercer","All","All (21 to 64 years)","2018","2018 Q1","1/1/2018-3/31/2018","68","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","7771.43","Lost wages dues to hospitalization for opioid use","238.58","Estimated state income tax revenue lost during hospitalizations due to opioid use","43","43","42","085","(41.302377765, -80.2600941079)","POINT (-80.26009410790002 41.302377765)","41.30237777","-80.26009411"
"County","Tioga","All","All (21 to 64 years)","2018","2018 Q4","10/1/2018-12/31/2018",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","59","59","42","117","(41.7733383358, -77.2578807579)","POINT (-77.2578807579 41.7733383358)","41.77333834","-77.25788076"
"County","Erie","All","All (21 to 64 years)","2019","2019 Q2","4/1/2019-6/30/2019","226","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","26732.57","Lost wages dues to hospitalization for opioid use","820.69","Estimated state income tax revenue lost during hospitalizations due to opioid use","25","25","42","049","(41.9941378702, -80.0407591036)","POINT (-80.0407591036 41.9941378702)","41.99413787","-80.0407591"
"County","Venango","All","All (21 to 64 years)","2018","2018 Q2","4/1/2018-6/30/2018","24","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","2622.86","Lost wages dues to hospitalization for opioid use","80.52","Estimated state income tax revenue lost during hospitalizations due to opioid use","61","61","42","121","(41.4034125863, -79.7628656104)","POINT (-79.7628656104 41.4034125863)","41.40341259","-79.76286561"
"County","Indiana","All","All (21 to 64 years)","2017","2017 Q3","7/1/2017-9/30/2017","16","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","1979.43","Lost wages dues to hospitalization for opioid use","60.77","Estimated state income tax revenue lost during hospitalizations due to opioid use","32","32","42","063","(40.6529549748, -79.0933349286)","POINT (-79.0933349286 40.6529549748)","40.65295497","-79.09333493"
"County","Northumberland","All","All (21 to 64 years)","2017","2017 Q4","10/1/2017-12/31/2017","120","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","13628.57","Lost wages dues to hospitalization for opioid use","418.40","Estimated state income tax revenue lost during hospitalizations due to opioid use","49","49","42","097","(40.8515092572, -76.7118842273)","POINT (-76.7118842273 40.8515092572)","40.85150926","-76.71188423"
"County","Fayette","All","All (21 to 64 years)","2016","2016 Q2","4/1/2016-6/30/2016","96","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","9394.29","Lost wages dues to hospitalization for opioid use","288.40","Estimated state income tax revenue lost during hospitalizations due to opioid use","26","26","42","051","(39.919447803, -79.6518963464)","POINT (-79.6518963464 39.919447803)","39.9194478","-79.65189635"
"County","Centre","All","All (21 to 64 years)","2016","2016 Q4","10/1/2016-12/31/2016","140","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","18640.00","Lost wages dues to hospitalization for opioid use","572.25","Estimated state income tax revenue lost during hospitalizations due to opioid use","14","14","42","027","(40.9193135008, -77.8250011212)","POINT (-77.8250011212 40.9193135008)","40.9193135","-77.82500112"
"County","Susquehanna","All","All (21 to 64 years)","2018","2018 Q1","1/1/2018-3/31/2018",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","58","58","42","115","(41.8205685982, -75.8025030296)","POINT (-75.8025030296 41.8205685982)","41.8205686","-75.80250303"
"County","Mifflin","All","All (21 to 64 years)","2017","2017 Q2","4/1/2017-6/30/2017","13","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","1363.14","Lost wages dues to hospitalization for opioid use","41.85","Estimated state income tax revenue lost during hospitalizations due to opioid use","44","44","42","087","(40.6127492804, -77.6200308901)","POINT (-77.6200308901 40.6127492804)","40.61274928","-77.62003089"
"County","Franklin","All","All (21 to 64 years)","2016","2016 Annual","1/1/2016-12/31/2016","773","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","87388.14","Lost wages dues to hospitalization for opioid use","2682.82","Estimated state income tax revenue lost during hospitalizations due to opioid use","28","28","42","055","(39.9278619704, -77.7239884483)","POINT (-77.7239884483 39.9278619704)","39.92786197","-77.72398845"
"County","Monroe","All","All (21 to 64 years)","2018","2018 Q4","10/1/2018-12/31/2018","125","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","14857.14","Lost wages dues to hospitalization for opioid use","456.11","Estimated state income tax revenue lost during hospitalizations due to opioid use","45","45","42","089","(41.0609178653, -75.3408360302)","POINT (-75.3408360302 41.0609178653)","41.06091787","-75.34083603"
"County","Butler","All","All (21 to 64 years)","2016","2016 Q1","1/1/2016-3/31/2016","278","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","35822.29","Lost wages dues to hospitalization for opioid use","1099.74","Estimated state income tax revenue lost during hospitalizations due to opioid use","10","10","42","019","(40.9108318483, -79.9171177889)","POINT (-79.9171177889 40.9108318483)","40.91083185","-79.91711779"
"County","Indiana","All","All (21 to 64 years)","2017","2017 Q1","1/1/2017-3/31/2017","19","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","2391.29","Lost wages dues to hospitalization for opioid use","73.41","Estimated state income tax revenue lost during hospitalizations due to opioid use","32","32","42","063","(40.6529549748, -79.0933349286)","POINT (-79.0933349286 40.6529549748)","40.65295497","-79.09333493"
"County","Pike","All","All (21 to 64 years)","2019","2019 Q3","7/1/2019-9/30/2019","13","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","1170.00","Lost wages dues to hospitalization for opioid use","35.92","Estimated state income tax revenue lost during hospitalizations due to opioid use","52","52","42","103","(41.332571995, -75.0327092448)","POINT (-75.0327092448 41.332571995)","41.332572","-75.03270924"
"County","Forest","All","All (21 to 64 years)","2018","2018 Annual","1/1/2018-12/31/2018",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","27","27","42","053","(41.5135787577, -79.2378099483)","POINT (-79.2378099483 41.5135787577)","41.51357876","-79.23780995"
"County","Elk","All","All (21 to 64 years)","2019","2019 Q1","1/1/2019-3/31/2019","12","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","1469.14","Lost wages dues to hospitalization for opioid use","45.10","Estimated state income tax revenue lost during hospitalizations due to opioid use","24","24","42","047","(41.4281941606, -78.6494771322)","POINT (-78.6494771322 41.4281941606)","41.42819416","-78.64947713"
"State","Commonwealth","All","35 to 49 years","2016","2016 Annual","1/1/2016-12/31/2016","18716","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","2734836.57","Lost wages dues to hospitalization for opioid use","83959.48","Estimated state income tax revenue lost during hospitalizations due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)","39.346129","-75.167756"
"County","Montgomery","All","All (21 to 64 years)","2016","2016 Q4","10/1/2016-12/31/2016","983","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","180872.00","Lost wages dues to hospitalization for opioid use","5552.77","Estimated state income tax revenue lost during hospitalizations due to opioid use","46","46","42","091","(40.209898739, -75.3725200072)","POINT (-75.3725200072 40.209898739)","40.20989874","-75.37252001"
"County","Cumberland","All","All (21 to 64 years)","2017","2017 Q4","10/1/2017-12/31/2017","189","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","26217.00","Lost wages dues to hospitalization for opioid use","804.86","Estimated state income tax revenue lost during hospitalizations due to opioid use","21","21","42","041","(40.167598388, -77.268662705)","POINT (-77.268662705 40.167598388)","40.16759839","-77.26866271"
"County","Lawrence","All","All (21 to 64 years)","2017","2017 Q1","1/1/2017-3/31/2017","113","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","12026.43","Lost wages dues to hospitalization for opioid use","369.21","Estimated state income tax revenue lost during hospitalizations due to opioid use","37","37","42","073","(40.9932503514, -80.3375411446)","POINT (-80.3375411446 40.9932503514)","40.99325035","-80.33754114"
"County","Cameron","All","All (21 to 64 years)","2017","2017 Q2","4/1/2017-6/30/2017",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","12","12","42","023","(41.4388026531, -78.2091693241)","POINT (-78.2091693241 41.4388026531)","41.43880265","-78.20916932"
"County","Lackawanna","All","All (21 to 64 years)","2017","2017 Annual","1/1/2017-12/31/2017","193","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","21518.14","Lost wages dues to hospitalization for opioid use","660.61","Estimated state income tax revenue lost during hospitalizations due to opioid use","35","35","42","069","(41.4391006428, -75.6121834524)","POINT (-75.6121834524 41.4391006428)","41.43910064","-75.61218345"
"County","Snyder","All","All (21 to 64 years)","2019","2019 Q4","10/1/2019-12/31/2019","26","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","2655.71","Lost wages dues to hospitalization for opioid use","81.53","Estimated state income tax revenue lost during hospitalizations due to opioid use","55","55","42","109","(40.7711373692, -77.0725596804)","POINT (-77.0725596804 40.7711373692)","40.77113737","-77.07255968"
"County","Luzerne","All","All (21 to 64 years)","2018","2018 Annual","1/1/2018-12/31/2018","420","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","50791.14","Lost wages dues to hospitalization for opioid use","1559.29","Estimated state income tax revenue lost during hospitalizations due to opioid use","40","40","42","079","(41.1783643884, -75.991996098)","POINT (-75.991996098 41.178364388400006)","41.17836439","-75.9919961"
"County","Jefferson","All","All (21 to 64 years)","2018","2018 Q1","1/1/2018-3/31/2018",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","33","33","42","065","(41.1313909115, -79.0010181419)","POINT (-79.0010181419 41.1313909115)","41.13139091","-79.00101814"
"County","Butler","All","All (21 to 64 years)","2017","2017 Q4","10/1/2017-12/31/2017","84","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","12084.00","Lost wages dues to hospitalization for opioid use","370.98","Estimated state income tax revenue lost during hospitalizations due to opioid use","10","10","42","019","(40.9108318483, -79.9171177889)","POINT (-79.9171177889 40.9108318483)","40.91083185","-79.91711779"
"County","Chester","All","All (21 to 64 years)","2018","2018 Q3","7/1/2018-9/30/2018","395","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","70930.71","Lost wages dues to hospitalization for opioid use","2177.57","Estimated state income tax revenue lost during hospitalizations due to opioid use","15","15","42","029","(39.9748705566, -75.7562649818)","POINT (-75.7562649818 39.9748705566)","39.97487056","-75.75626498"
"County","Wyoming","All","All (21 to 64 years)","2016","2016 Q1","1/1/2016-3/31/2016","15","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","1791.43","Lost wages dues to hospitalization for opioid use","55.00","Estimated state income tax revenue lost during hospitalizations due to opioid use","66","66","42","131","(41.5189248803, -76.0181300338)","POINT (-76.0181300338 41.5189248803)","41.51892488","-76.01813003"
"County","Warren","All","All (21 to 64 years)","2018","2018 Q3","7/1/2018-9/30/2018","56","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","6088.00","Lost wages dues to hospitalization for opioid use","186.90","Estimated state income tax revenue lost during hospitalizations due to opioid use","62","62","42","123","(41.8167523652, -79.278581578)","POINT (-79.278581578 41.8167523652)","41.81675237","-79.27858158"
"County","Carbon","All","All (21 to 64 years)","2016","2016 Annual","1/1/2016-12/31/2016","179","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","16661.14","Lost wages dues to hospitalization for opioid use","511.50","Estimated state income tax revenue lost during hospitalizations due to opioid use","13","13","42","025","(40.9193670081, -75.7110703866)","POINT (-75.7110703866 40.9193670081)","40.91936701","-75.71107039"
"County","Pike","All","All (21 to 64 years)","2017","2017 Q2","4/1/2017-6/30/2017","19","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","1691.00","Lost wages dues to hospitalization for opioid use","51.91","Estimated state income tax revenue lost during hospitalizations due to opioid use","52","52","42","103","(41.332571995, -75.0327092448)","POINT (-75.0327092448 41.332571995)","41.332572","-75.03270924"
"County","Allegheny","All","All (21 to 64 years)","2019","2019 Q4","10/1/2019-12/31/2019","1299","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","232892.14","Lost wages dues to hospitalization for opioid use","7149.79","Estimated state income tax revenue lost during hospitalizations due to opioid use","2","02","42","003","(40.4673554298, -79.9861984282)","POINT (-79.9861984282 40.4673554298)","40.46735543","-79.98619843"
"County","Bucks","All","All (21 to 64 years)","2016","2016 Q1","1/1/2016-3/31/2016","899","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","119310.14","Lost wages dues to hospitalization for opioid use","3662.82","Estimated state income tax revenue lost during hospitalizations due to opioid use","9","09","42","017","(40.335011331, -75.1129124111)","POINT (-75.1129124111 40.335011331)","40.33501133","-75.11291241"
"State","Commonwealth","All","50 to 64 years","2017","2017 Q2","4/1/2017-6/30/2017","3781","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","560229.29","Lost wages dues to hospitalization for opioid use","17199.04","Estimated state income tax revenue lost during hospitalizations due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)","39.346129","-75.167756"
"County","Fayette","All","All (21 to 64 years)","2019","2019 Q3","7/1/2019-9/30/2019","54","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","6171.43","Lost wages dues to hospitalization for opioid use","189.46","Estimated state income tax revenue lost during hospitalizations due to opioid use","26","26","42","051","(39.919447803, -79.6518963464)","POINT (-79.6518963464 39.919447803)","39.9194478","-79.65189635"
"County","Centre","All","All (21 to 64 years)","2016","2016 Annual","1/1/2016-12/31/2016","290","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","38277.86","Lost wages dues to hospitalization for opioid use","1175.13","Estimated state income tax revenue lost during hospitalizations due to opioid use","14","14","42","027","(40.9193135008, -77.8250011212)","POINT (-77.8250011212 40.9193135008)","40.9193135","-77.82500112"
"County","Bedford","All","All (21 to 64 years)","2017","2017 Q1","1/1/2017-3/31/2017",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","5","05","42","009","(40.0073753643, -78.4911647381)","POINT (-78.4911647381 40.0073753643)","40.00737536","-78.49116474"
"County","Bradford","All","All (21 to 64 years)","2018","2018 Q2","4/1/2018-6/30/2018","37","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","4667.29","Lost wages dues to hospitalization for opioid use","143.29","Estimated state income tax revenue lost during hospitalizations due to opioid use","8","08","42","015","(41.7911781401, -76.5182562384)","POINT (-76.5182562384 41.7911781401)","41.79117814","-76.51825624"
"County","Elk","All","All (21 to 64 years)","2016","2016 Q1","1/1/2016-3/31/2016",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","24","24","42","047","(41.4281941606, -78.6494771322)","POINT (-78.6494771322 41.4281941606)","41.42819416","-78.64947713"
"County","Crawford","All","All (21 to 64 years)","2019","2019 Q3","7/1/2019-9/30/2019","183","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","20313.00","Lost wages dues to hospitalization for opioid use","623.61","Estimated state income tax revenue lost during hospitalizations due to opioid use","20","20","42","039","(41.6854690692, -80.1132108295)","POINT (-80.1132108295 41.6854690692)","41.68546907","-80.11321083"
"County","Westmoreland","All","All (21 to 64 years)","2018","2018 Q1","1/1/2018-3/31/2018","166","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","20868.57","Lost wages dues to hospitalization for opioid use","640.67","Estimated state income tax revenue lost during hospitalizations due to opioid use","65","65","42","129","(40.3103149985, -79.471341176)","POINT (-79.471341176 40.3103149985)","40.310315","-79.47134118"
"County","Lycoming","All","All (21 to 64 years)","2019","2019 Q4","10/1/2019-12/31/2019",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","41","41","42","081","(41.3445979226, -77.069424568)","POINT (-77.069424568 41.3445979226)","41.34459792","-77.06942457"
"State","Commonwealth","All","50 to 64 years","2019","2019 Q3","7/1/2019-9/30/2019","3360","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","547894.14","Lost wages dues to hospitalization for opioid use","16820.35","Estimated state income tax revenue lost during hospitalizations due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)","39.346129","-75.167756"
"County","Sullivan","All","All (21 to 64 years)","2017","2017 Annual","1/1/2017-12/31/2017",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","57","57","42","113","(41.4480993958, -76.5147922046)","POINT (-76.5147922046 41.4480993958)","41.4480994","-76.5147922"
"County","Carbon","All","All (21 to 64 years)","2019","2019 Q4","10/1/2019-12/31/2019","22","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","2306.86","Lost wages dues to hospitalization for opioid use","70.82","Estimated state income tax revenue lost during hospitalizations due to opioid use","13","13","42","025","(40.9193670081, -75.7110703866)","POINT (-75.7110703866 40.9193670081)","40.91936701","-75.71107039"
"County","Lycoming","All","All (21 to 64 years)","2016","2016 Q1","1/1/2016-3/31/2016","36","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","3872.57","Lost wages dues to hospitalization for opioid use","118.89","Estimated state income tax revenue lost during hospitalizations due to opioid use","41","41","42","081","(41.3445979226, -77.069424568)","POINT (-77.069424568 41.3445979226)","41.34459792","-77.06942457"
"County","Butler","All","All (21 to 64 years)","2019","2019 Q1","1/1/2019-3/31/2019","159","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","23441.14","Lost wages dues to hospitalization for opioid use","719.64","Estimated state income tax revenue lost during hospitalizations due to opioid use","10","10","42","019","(40.9108318483, -79.9171177889)","POINT (-79.9171177889 40.9108318483)","40.91083185","-79.91711779"
"State","Commonwealth","All","All (21 to 64 years)","2017","2017 Annual","1/1/2017-12/31/2017","61449","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","9419315.57","Lost wages dues to hospitalization for opioid use","289172.99","Estimated state income tax revenue lost during hospitalizations due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)","39.346129","-75.167756"
"County","Montour","All","All (21 to 64 years)","2018","2018 Q3","7/1/2018-9/30/2018",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","47","47","42","093","(41.0280182438, -76.6647052668)","POINT (-76.6647052668 41.0280182438)","41.02801824","-76.66470527"
"County","Philadelphia","All","All (21 to 64 years)","2019","2019 Q1","1/1/2019-3/31/2019","4092","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","803201.14","Lost wages dues to hospitalization for opioid use","24658.28","Estimated state income tax revenue lost during hospitalizations due to opioid use","51","51","42","101","(40.0044435384, -75.140236002)","POINT (-75.140236002 40.0044435384)","40.00444354","-75.140236"
"County","Cameron","All","All (21 to 64 years)","2018","2018 Annual","1/1/2018-12/31/2018","26","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","2811.43","Lost wages dues to hospitalization for opioid use","86.31","Estimated state income tax revenue lost during hospitalizations due to opioid use","12","12","42","023","(41.4388026531, -78.2091693241)","POINT (-78.2091693241 41.4388026531)","41.43880265","-78.20916932"
"County","Union","All","All (21 to 64 years)","2017","2017 Q3","7/1/2017-9/30/2017",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","60","60","42","119","(40.9647313096, -77.0641580308)","POINT (-77.0641580308 40.9647313096)","40.96473131","-77.06415803"
"County","Potter","All","All (21 to 64 years)","2016","2016 Q2","4/1/2016-6/30/2016",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","53","53","42","105","(41.7442064382, -77.8987922939)","POINT (-77.8987922939 41.7442064382)","41.74420644","-77.89879229"
"County","Berks","All","All (21 to 64 years)","2016","2016 Q3","7/1/2016-9/30/2016","314","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","42479.71","Lost wages dues to hospitalization for opioid use","1304.13","Estimated state income tax revenue lost during hospitalizations due to opioid use","6","06","42","011","(40.4193963513, -75.9307732705)","POINT (-75.93077327050001 40.4193963513)","40.41939635","-75.93077327"
"County","Tioga","All","All (21 to 64 years)","2018","2018 Annual","1/1/2018-12/31/2018","12","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","1384.86","Lost wages dues to hospitalization for opioid use","42.52","Estimated state income tax revenue lost during hospitalizations due to opioid use","59","59","42","117","(41.7733383358, -77.2578807579)","POINT (-77.2578807579 41.7733383358)","41.77333834","-77.25788076"
"State","Commonwealth","All","50 to 64 years","2016","2016 Q1","1/1/2016-3/31/2016","3408","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","500342.14","Lost wages dues to hospitalization for opioid use","15360.50","Estimated state income tax revenue lost during hospitalizations due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)","39.346129","-75.167756"
"County","Pike","All","All (21 to 64 years)","2016","2016 Q1","1/1/2016-3/31/2016",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","52","52","42","103","(41.332571995, -75.0327092448)","POINT (-75.0327092448 41.332571995)","41.332572","-75.03270924"
"County","Crawford","All","All (21 to 64 years)","2017","2017 Annual","1/1/2017-12/31/2017","666","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","71759.57","Lost wages dues to hospitalization for opioid use","2203.02","Estimated state income tax revenue lost during hospitalizations due to opioid use","20","20","42","039","(41.6854690692, -80.1132108295)","POINT (-80.1132108295 41.6854690692)","41.68546907","-80.11321083"
"County","Schuylkill","All","All (21 to 64 years)","2018","2018 Annual","1/1/2018-12/31/2018","431","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","50533.14","Lost wages dues to hospitalization for opioid use","1551.37","Estimated state income tax revenue lost during hospitalizations due to opioid use","54","54","42","107","(40.707512431, -76.223323851)","POINT (-76.223323851 40.707512431000005)","40.70751243","-76.22332385"
"County","Clearfield","All","All (21 to 64 years)","2018","2018 Q3","7/1/2018-9/30/2018",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","17","17","42","033","(41.0004290024, -78.4755834299)","POINT (-78.4755834299 41.0004290024)","41.000429","-78.47558343"
"County","Lehigh","All","All (21 to 64 years)","2018","2018 Annual","1/1/2018-12/31/2018","948","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","140089.29","Lost wages dues to hospitalization for opioid use","4300.74","Estimated state income tax revenue lost during hospitalizations due to opioid use","39","39","42","077","(40.6146479416, -75.6009948118)","POINT (-75.6009948118 40.6146479416)","40.61464794","-75.60099481"
"County","Chester","All","All (21 to 64 years)","2019","2019 Q1","1/1/2019-3/31/2019","211","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","45274.57","Lost wages dues to hospitalization for opioid use","1389.93","Estimated state income tax revenue lost during hospitalizations due to opioid use","15","15","42","029","(39.9748705566, -75.7562649818)","POINT (-75.7562649818 39.9748705566)","39.97487056","-75.75626498"
"County","Montour","All","All (21 to 64 years)","2017","2017 Annual","1/1/2017-12/31/2017","45","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","8094.14","Lost wages dues to hospitalization for opioid use","248.49","Estimated state income tax revenue lost during hospitalizations due to opioid use","47","47","42","093","(41.0280182438, -76.6647052668)","POINT (-76.6647052668 41.0280182438)","41.02801824","-76.66470527"
"County","Westmoreland","All","All (21 to 64 years)","2016","2016 Q1","1/1/2016-3/31/2016","200","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","22600.00","Lost wages dues to hospitalization for opioid use","693.82","Estimated state income tax revenue lost during hospitalizations due to opioid use","65","65","42","129","(40.3103149985, -79.471341176)","POINT (-79.471341176 40.3103149985)","40.310315","-79.47134118"
