"observationname","label","relatedsampleuri","otherid","sampledepth","measurementunits","sitelocationname","localityterms","county","latdegreewgs84","longdegreewgs84","srs","locationuncertaintystatement","samplecollectiondate","samplemeasurementdate","sampletype","sampleshape","sampledimensionsheight","sampledimensionswidth","sampledimensionslength","sampledimensionsunits","sampledensity","uncertaintydensity","sampledensityunits","laboratory","measurementdevice","measurementprocedure","measurementpressure","measurementpressureunits","sampletemperature","sampletemperatureunits","measurementduration","measurementdirection","measurementrun","bulkmixingformula","saturationfluid","saturatedsampleconductivity","drysampleconductivity","averagethermalconductivity","uncertaintytc","correctiontc","correctiondescription","unitstc","specificheat","uncertaintyspecificheat","specificheatunits","thermaldiffusivity","uncertaintythermaldiffusivity","unitsthermaldiffusivity","geologicformationname","geologicformationuri","geologicformationtype","datumelevation","elevation","permeability","unitspermeability","porosity","notes","metadatauri","source","location_1"
"ROZEL-1 NP Depth Interval 588-598","ROZEL-1 NP Depth Interval 588-598",,,"598","Feet","UGS/USGS Rozel-1 Thermal Gradient Well","North Great Salt Lake Area-Rozel Flat","Box Elder","41.529919999999997","-112.654","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:27:00.000","1970-01-01T04:28:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.42","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Marl | Comglomerate","MSL","4343",,,,"Predominantly  Unconsolidated Sediments",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-7A NP Depth Interval 80-90","PA-7A NP Depth Interval 80-90",,,"90","Feet","UGS Pavant Area-7A Thermal Gradient Well","Black Rock Desert","Millard","38.864069999999998","-112.70699999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:26:00.000","1970-01-01T04:26:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.3919999999999999","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4779",,,,"Hydrated Clay/Pea Gravel",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"P-2A DB Depth Interval 560-570","P-2A DB Depth Interval 560-570",,,"570","Feet","UGS Pavant-2A Thermal Gradient Well","Black Rock Desert","Millard","39.034120000000001","-112.54900000000001","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:17:00.000","1970-01-01T04:20:00.000","Cuttings","Cylinder","1.8","3.9969999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.",,,"12.5",,"2",,"Tap Water","3.1065",,"1.427","±10%",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4684",,,"0.47327000000000002","Predominantly Hydrated Clay | Sample Measurement Date Estimated",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"Hole-in-Rock 1 EXP DB Depth Interval 10960-10970","Hole-in-Rock 1 EXP DB Depth Interval 10960-10970",,,"10970","Feet","Arco Hole-in-Rock Oil Exploration Well","Black Rock Desert","Millard","38.864690000000003","-112.684","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:15:00.000","1970-01-01T04:21:00.000","Cuttings","Cylinder","1.8","3.9969999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84124","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.",,,"12.5",,"1",,"Tap Water",,,"2.8","±10%",,,"W/(m·K)",,,,,,,"N/A",,"N/A","MSL","4479",,,,"Sample Collection Date Approximate | Sample Measurement Date Approximate | Cell Dimensions Approximate | Sample Temperature Not Available | Saturated Sample Conductivity Not Available | Porosity Not Available",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-6 NP Depth Interval 370-380","PA-6 NP Depth Interval 370-380",,,"380","Feet","UGS Pavant Area-6 Thermal Gradient Well","Black Rock Desert","Millard","38.945270000000001","-112.77","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:26:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.278","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4687",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"ROZEL-1 NP Depth Interval 310-320","ROZEL-1 NP Depth Interval 310-320",,,"320","Feet","UGS/USGS Rozel-1 Thermal Gradient Well","North Great Salt Lake Area-Rozel Flat","Box Elder","41.529919999999997","-112.654","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:27:00.000","1970-01-01T04:28:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.292","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale | Conglomerate","MSL","4343",,,,"Predominantly  Unconsolidated Sediments",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-6 NP Depth Interval 360-370","PA-6 NP Depth Interval 360-370",,,"370","Feet","UGS Pavant Area-6 Thermal Gradient Well","Black Rock Desert","Millard","38.945270000000001","-112.77","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:26:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.2430000000000001","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4687",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-5A NP Core Depth 221.67","PA-5A NP Core Depth 221.67",,,"221.67","Feet","UGS Pavant Area-5A Thermal Gradient Well","Black Rock Desert","Millard","38.950310000000002","-112.596","EPSG:4326","Location obtained with hand-held GPS device","2012-09-20T17:45:00.000","1970-01-01T04:27:00.000","Rock Core","Cylinder","12.7","7.6",,"Centimeters",,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted  into pre-drilled axial hole in hydrated clay sample contained in 5-inch segments of steel core liner.",,,,,"2","Parallel to Layering","2",,,,,"1.3839999999999999","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4681",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-4 NP Depth Interval 220-230","PA-4 NP Depth Interval 220-230",,,"230","Feet","UGS Pavant Area-4 Thermal Gradient Well","Black Rock Desert","Millard","39.185720000000003","-112.718","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","2012-11-09T13:16:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.3069999999999999","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4649",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-3 NP Depth Interval 350-360","PA-3 NP Depth Interval 350-360",,,"360","Feet","UGS Pavant Area-3 Thermal Gradient Well","Black Rock Desert","Millard","39.271830000000001","-112.636","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:25:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"10",,"1",,,,,"1.266","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4588",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"Hole-in-Rock 1 EXP DB Depth Interval 4020-4050","Hole-in-Rock 1 EXP DB Depth Interval 4020-4050",,,"4050","Feet","Arco Hole-in-Rock Oil Exploration Well","Black Rock Desert","Millard","38.864690000000003","-112.684","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:15:00.000","1970-01-01T04:28:00.000","Cuttings","Cylinder","1.778","3.9769999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84120","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.","9.750159","C","12.5",,"1",,"Tap Water","1.63",,"4.4400000000000004","±10%",,,"W/(m·K)",,,,,,,"Middle-Tertiary Sediments",,"Shale","MSL","4479",,,,"Sample Collection Date Approximate",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"Gronning-1 EXP DB Depth Interval 7560-7600","Gronning-1 EXP DB Depth Interval 7560-7600",,,"7600","Feet","Gulf Oil Gronning-1 Oil Exploration Well","Black Rock Desert","Millard","39.416640000000001","-112.69199999999999","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1969-12-31T22:48:00.000","1970-01-01T04:24:00.000","Cuttings","Cylinder","1.8","3.9969999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84225","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.",,,"12.5",,"1",,"Tap Water",,,"3.3650000000000002","±10%",,,"W/(m·K)",,,,,,,"Lower Tertiary  Sediments and Volcanics",,"Sandstone | Siltstone |Claystone | Conglomerate","MSL","4590",,,,"Sample Collection Date Approximate | Sample Measurement Date Approximate | Cell Dimensions Approximate | Sample Temperature Not Available | Saturated Sample Conductivity Not Available | Porosity Not Available",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"Gronning-1 EXP DB Depth Interval 7050-7085","Gronning-1 EXP DB Depth Interval 7050-7085",,,"7085","Feet","Gulf Oil Gronning-1 Oil Exploration Well","Black Rock Desert","Millard","39.416640000000001","-112.69199999999999","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1969-12-31T22:48:00.000","1970-01-01T04:24:00.000","Cuttings","Cylinder","1.8","3.9969999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84225","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.",,,"12.5",,"1",,"Tap Water",,,"3.87","±10%",,,"W/(m·K)",,,,,,,"Lower Tertiary  Sediments and Volcanics",,"Sandstone | Siltstone |Claystone | Conglomerate","MSL","4590",,,,"Sample Collection Date Approximate | Sample Measurement Date Approximate | Cell Dimensions Approximate | Sample Temperature Not Available | Saturated Sample Conductivity Not Available | Porosity Not Available",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"P-2A NP Depth Interval 470-480","P-2A NP Depth Interval 470-480",,,"480","Feet","UGS Pavant-2A Thermal Gradient Well","Black Rock Desert","Millard","39.034120000000001","-112.54900000000001","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:17:00.000","1970-01-01T04:19:00.000","Cuttings","Fine Material",,,,,,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"10",,"1",,,,,"1.474","±10% based on instrument specifications",,,"W/(m·K)","2.96","±10% based on instrument specifications","MJ/(m³·K)","0.498","±10% based on instrument specifications","mm²/s","Plio-Quaternary Sediments",,"Shale","MSL","4684",,,,"Predominantly Hydrated Clay | Sample Measurement Date Estimated",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-3 NP Depth Interval 130-140","PA-3 NP Depth Interval 130-140",,,"140","Feet","UGS Pavant Area-3 Thermal Gradient Well","Black Rock Desert","Millard","39.271830000000001","-112.636","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:26:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.325","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4588",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-2 NP Depth Interval 460-470","PA-2 NP Depth Interval 460-470",,,"470","Feet","UGS Pavant Area-2 Thermal Gradient Well","Black Rock Desert","Millard","39.348289999999999","-112.69499999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:25:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"10",,"1",,,,,"1.331","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4599",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"Gronning-1 EXP DB Depth Interval 2650-2710","Gronning-1 EXP DB Depth Interval 2650-2710",,,"2710","Feet","Gulf Oil Gronning-1 Oil Exploration Well","Black Rock Desert","Millard","39.416640000000001","-112.69199999999999","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1969-12-31T22:48:00.000","1970-01-01T04:24:00.000","Cuttings","Cylinder","1.8","3.9969999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84225","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.",,,"12.5",,"1",,"Tap Water",,,"2.294","±10%",,,"W/(m·K)",,,,,,,"Miocene Sediments",,"Sandstone | Claystone","MSL","4590",,,,"Sample Collection Date Approximate | Sample Measurement Date Approximate | Cell Dimensions Approximate | Sample Temperature Not Available | Saturated Sample Conductivity Not Available | Porosity Not Available",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"P-2A NP Depth Interval 740-750","P-2A NP Depth Interval 740-750",,,"750","Feet","UGS Pavant-2A Thermal Gradient Well","Black Rock Desert","Millard","39.034120000000001","-112.54900000000001","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:17:00.000","1970-01-01T04:19:00.000","Cuttings","Fine Material",,,,,,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"10",,"1",,,,,"1.617","±10% based on instrument specifications",,,"W/(m·K)","2.927","±10% based on instrument specifications","MJ/(m³·K)","0.55300000000000005","±10% based on instrument specifications","mm²/s","Plio-Quaternary Sediments",,"Shale","MSL","4684",,,,"Predominantly Hydrated Clay | Sample Measurement Date Estimated",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-4 NP Depth Interval 40-50","PA-4 NP Depth Interval 40-50",,,"50","Feet","UGS Pavant Area-4 Thermal Gradient Well","Black Rock Desert","Millard","39.185720000000003","-112.718","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","2012-11-09T10:48:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.1739999999999999","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4649",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"Gronning-1 EXP DB Depth Interval 3690-3740","Gronning-1 EXP DB Depth Interval 3690-3740",,,"3740","Feet","Gulf Oil Gronning-1 Oil Exploration Well","Black Rock Desert","Millard","39.416640000000001","-112.69199999999999","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1969-12-31T22:48:00.000","1970-01-01T04:29:00.000","Cuttings","Cylinder","1.883","4.0019999999999998",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84225","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.","9.9812700000000003","C","12.5",,"1",,"Tap Water","1.4325000000000001",,"2.7029000000000001","±10%",,,"W/(m·K)",,,,,,,"Oligocene Volcanics",,"Agglomerate","MSL","4590",,,,"Sample Collection Date Approximate",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"Gronning-1 EXP DB Depth Interval 2970-3060","Gronning-1 EXP DB Depth Interval 2970-3060",,,"3060","Feet","Gulf Oil Gronning-1 Oil Exploration Well","Black Rock Desert","Millard","39.416640000000001","-112.69199999999999","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1969-12-31T22:48:00.000","1970-01-01T04:28:00.000","Cuttings","Cylinder","1.67","3.9929999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84225","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.","9.798254","C","12.5",,"1",,"Tap Water","1.3106",,"2.6819999999999999","±10%",,,"W/(m·K)",,,,,,,"Miocene Sediments",,"Claystone | Sandstone | Limestone","MSL","4590",,,,"Sample Collection Date Approximate",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-6 DB Depth Interval 430-440","PA-6 DB Depth Interval 430-440",,,"440","Feet","UGS Pavant Area-6 Thermal Gradient Well","Black Rock Desert","Millard","38.945270000000001","-112.77","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:26:00.000","Cuttings","Cylinder","1.8","3.9620000000000002",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Divided Bar","Polycarbonate test cell was filled with well-mixed unconsolidated cuttings and placed in divided bar equipment for measurement.","100","p.s.i.","8.5017460000000007","C","12.5",,"1",,,"1.2020999999999999",,"1.2020999999999999","±10%",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4687",,,,"Predominantly Hydrated Clay",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-5A DB Depth Interval 180-190","PA-5A DB Depth Interval 180-190",,,"190","Feet","UGS Pavant Area-5A Thermal Gradient Well","Black Rock Desert","Millard","38.950310000000002","-112.596","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:26:00.000","1970-01-01T04:28:00.000","Cuttings","Cylinder","1.83","3.9870000000000001",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Divided Bar","Polycarbonate test cell was filled with well-mixed unconsolidated cuttings and placed in divided bar equipment for measurement.","100","p.s.i.","9.7995239999999999","C","12.5",,"1",,,"1.0911",,"2.2576999999999998","±10%",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4681",,,,"Predominantly Hydrated Clay",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-6 DB Depth Interval 380-390","PA-6 DB Depth Interval 380-390",,,"390","Feet","UGS Pavant Area-6 Thermal Gradient Well","Black Rock Desert","Millard","38.945270000000001","-112.77","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:26:00.000","Cuttings","Cylinder","1.633","4.0019999999999998",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Divided Bar","Polycarbonate test cell was filled with well-mixed unconsolidated cuttings and placed in divided bar equipment for measurement.","100","p.s.i.","8.3839679999999994","C","12.5",,"1",,,"1.1950000000000001",,"1.1950000000000001","±10%",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4687",,,,"Predominantly Hydrated Clay",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-7A NP Depth Interval 300-310","PA-7A NP Depth Interval 300-310",,,"310","Feet","UGS Pavant Area-7A Thermal Gradient Well","Black Rock Desert","Millard","38.864069999999998","-112.70699999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:26:00.000","1970-01-01T04:26:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.1379999999999999","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4779",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-1 NP Depth Interval 280-290","PA-1 NP Depth Interval 280-290",,,"290","Feet","UGS Pavant Area-1 Thermal Gradient Well","Black Rock Desert","Millard","39.500050000000002","-112.68899999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:25:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.21","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4579",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-1 NP Depth Interval 60-70","PA-1 NP Depth Interval 60-70",,,"70","Feet","UGS Pavant Area-1 Thermal Gradient Well","Black Rock Desert","Millard","39.500050000000002","-112.68899999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:25:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.288","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4579",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-4 NP Depth Interval 400-410","PA-4 NP Depth Interval 400-410",,,"410","Feet","UGS Pavant Area-4 Thermal Gradient Well","Black Rock Desert","Millard","39.185720000000003","-112.718","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","2012-11-09T15:20:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.325","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4649",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
