"type","name","po_box","phone","contact","title","location_1"
"Holding Companies","BMW Financial Services NA LLC",,"614-789-7464","Heriona Graham","Senior Accountant Analyst","5550 BRITTON PKWY
HILLIARD, OH 43026
(40.06728736700006, -83.13766691099994)"
"Holding Companies","Community Bancorporation",,"801-492-0106","Tim Davies","CFO","1376 N STATE ST
OREM, UT 84057
(40.322614001000034, -111.70615973799994)"
"Holding Companies","UBS Americas Inc.",,"203-719-4737","John Connor","Executive Director & Secretary","677 WASHINGTON BLVD 8TH FL
STAMFORD, CT 6910
(41.049104965000026, -73.54296968799997)"
"State Credit Unions","Health Care Credit Union",,"801-322-2252","Scot Baumgartner","President","769 E S TEMPLE
SALT LAKE CITY, UT 84102
(40.76938822900007, -111.86887114899997)"
"State Industrial Banks","Merrick Bank Corporation",,"801-545-6600","Richard Lake","President","10705 S JORDAN GATEWAY STE 200
SOUTH JORDAN, UT 84095
(40.55748145100006, -111.90268179999998)"
"Federal Credit Unions","Granite Credit Union",,"801-288-3000","Lynn R. Kuhne","President","3675 S 900 E
SALT LAKE CITY, UT 84106-1964
(40.69137068400005, -111.86547422199999)"
"Federal Savings Associations","Franklin Templeton Bank & Trust",,"801-952-3300","Wendy Harrington","President","47 W 200 S STE 500
SALT LAKE CITY, UT 84101
(40.76498305600006, -111.89254016899997)"
"State Credit Unions","P & S Credit Union",,"801-973-0575","Stewart Moritsen","President","2250 S REDWOOD RD
SALT LAKE CITY, UT 84119
(40.72224031400003, -111.93902667499998)"
"State Banks","Rock Canyon Bank",,"801-426-0150","Tod Monsen","President","215 W 2230 N
PROVO, UT 84604
(40.26342358900007, -111.66178190899996)"
"Federal Credit Unions","Weber State Federal Credit Union",,"801-399-9728","Vickie Van Der Have","President","4140 HARRISON BLVD
OGDEN, UT 84408-4140
(41.187644714000044, -111.94895507899997)"
"State Credit Unions","Hi-Land Credit Union",,"801-261-8909","Blair Asay","President","965 E WOODOAK LN
MURRAY, UT 84117
(40.653317730000026, -111.86396012299997)"
"State Credit Unions","Sunnyside Credit Union","PO BOX 519","435-888-4433","Linda Drury","President","W MARKET ST
SUNNYSIDE, UT 84539
(39.55161145500006, -110.38582190199998)"
"Holding Companies","Southern Utah Bancorporation","PO BOX 340","435-865-2318","John R. Westwood","Secretary","377 N MAIN
CEDAR CITY, UT 84721
(37.68375674600003, -113.06188439099998)"
"National Banks","Key Bank, N.A.",,"801-535-1000","Jill M. Taylor","District President","50 S MAIN ST STE 2000
SALT LAKE CITY, UT 84130-0815
(40.76855319200007, -111.89117906799999)"
"State Credit Unions","Meadow Gold Employees Credit Union",,"801-908-7113","Lynn Nelson","President","3691 W 1987 S
SALT LAKE CITY, UT 84104
(40.727736374000074, -111.97940017899998)"
"Financial Associations","Utah Credit Union Association","PO BOX 27277","801-972-3400","Scott Simpson","President","1805 S REDWOOD RD
SALT LAKE CITY, UT 84127
(40.73084811700005, -111.938986651)"
"Federal Credit Unions","Wasatch Peaks Federal CU","PO BOX 68","801-627-8700","Blake Burrel","President","2780 ADAMS AVE
OGDEN, UT 84402-0068
(41.21466311800003, -111.96774835699995)"
"State Credit Unions","TransWest Credit Union","PO BOX 65218","801-487-1692","Marc Mikkelson","President","39 W 2100 S
SALT LAKE CITY, UT 84165-0218
(40.72541588300004, -111.89236453099994)"
"State Credit Unions","Nebo Credit Union",,"801-491-3691","Dale Phelps","President","730 E 300 S
SPRINGVILLE, UT 84663
(40.162823625000044, -111.59823010999997)"
"Federal Credit Unions","Deseret First Federal Credit Union","PO BOX 45046","801-456-7000","Shane London","President","2480 S 3850 W STE C
SALT LAKE CITY, UT 84145
(40.71673719000006, -111.98202982399994)"
"Holding Companies","WEX Inc.",,"207-523-6421","Gregory Wiessner","Associate General Counsel","97 DARLING AVE
SOUTH PORTLAND, ME 4106
(43.64176026900003, -70.33060116199994)"
"Federal Credit Unions","Utah Federal Credit Union",,"801-328-1521","Doug C. Huntsman","President","564 E 300 S
SALT LAKE CITY, UT 84102-4021
(40.76280293800005, -111.87452078599995)"
"Holding Companies","Target Corporation",,"612-696-6648","Timothy R. Baer","EVP","1000 NICOLLET MALL TPS-2670
MINNEAPOLIS, MN 55403
(44.97328102000006, -93.27529457399999)"
"State Banks","Brighton Bank",,"801-943-6500","Robert M. Bowen","President","7101 HIGHLAND DR
SALT LAKE CITY, UT 84121-3703
(40.62229322200005, -111.83425315099998)"
"Holding Companies","NHB Holdings, Inc.",,"888-680-6841","Steve Chapton","CFO","6985 S UNION PARK CTR STE 150
COTTONWOOD HEIGHTS, UT 84047-5039
(40.623861103000024, -111.85808215799995)"
"Holding Companies","Grand Valley Corporation","PO BOX 848","970-263-2516","Jill Rathke","President","
GRAND JUNCTION, CO 81502
(39.06867937700008, -108.56613787799995)"
"State Credit Unions","Millard County Credit Union","PO BOX 230","435-743-6545","Steve Shiner","President","44 S 100 W
FILLMORE, UT 84631
(38.96793572400003, -112.32651559599998)"
