"location_1","county","geoid","unemployment_rate","median_household_income","gini_index","below_poverty_level","below_poverty_level_male","below_poverty_level_male_under_5_years","below_poverty_level_male_5_years","below_poverty_level_male_6_to_11_years","below_poverty_level_male_12_to_14_years","below_poverty_level_male_15_years","below_poverty_level_male_16_and_17_years","below_poverty_level_male_18_to_24_years","below_poverty_level_male_25_to_34_years","below_poverty_level_male_35_to_44_years","below_poverty_level_male_45_to_54_years","below_poverty_level_male_55_to_64_years","below_poverty_level_male_65_to_74_years","below_poverty_level_male_75_years_and_over","below_poverty_level_female","below_poverty_level_female_under_5_years","below_poverty_level_female_5_years","below_poverty_level_female_6_to_11_years","below_poverty_level_female_12_to_14_years","below_poverty_level_female_15_years","below_poverty_level_female_16_and_17_years","below_poverty_level_female_18_to_24_years","below_poverty_level_female_25_to_34_years","below_poverty_level_female_35_to_44_years","below_poverty_level_female_45_to_54_years","below_poverty_level_female_55_to_64_years","below_poverty_level_female_65_to_74_years","below_poverty_level_female_75_years_and_over","at_or_above_poverty_level","at_or_above_poverty_level_male","at_or_above_poverty_level_male_under_5_years","at_or_above_poverty_level_male_5_years","at_or_above_poverty_level_male_6_to_11_years","at_or_above_poverty_level_male_12_to_14_years","at_or_above_poverty_level_male_15_years","at_or_above_poverty_level_male_16_and_17_years","at_or_above_poverty_level_male_18_to_24_years","at_or_above_poverty_level_male_25_to_34_years","at_or_above_poverty_level_male_35_to_44_years","at_or_above_poverty_level_male_45_to_54_years","at_or_above_poverty_level_male_55_to_64_years","at_or_above_poverty_level_male_65_to_74_years","at_or_above_poverty_level_male_75_years_and_over","at_or_above_poverty_level_female","at_or_above_poverty_level_female_under_5_years","at_or_above_poverty_level_female_5_years","at_or_above_poverty_level_female_6_to_11_years","at_or_above_poverty_level_female_12_to_14_years","at_or_above_poverty_level_female_15_years","at_or_above_poverty_level_female_16_and_17_years","at_or_above_poverty_level_female_18_to_24_years","at_or_above_poverty_level_female_25_to_34_years","at_or_above_poverty_level_female_35_to_44_years","at_or_above_poverty_level_female_45_to_54_years","at_or_above_poverty_level_female_55_to_64_years","at_or_above_poverty_level_female_65_to_74_years","at_or_above_poverty_level_female_75_years_and_over"
"
Garden City, Utah 
(41.946639, -111.393433)","Rich","16000US4927930",,"36406","0.41249999999999998","102","44","0","0","32","0","0","0","4","0","0","8","0","0","0","58","16","0","10","3","0","0","3","16","8","0","2","0","0","393","173","15","11","21","2","2","0","7","26","24","15","11","22","17","220","31","6","33","0","4","9","7","19","35","14","17","42","3"
"
Central Valley, Utah 
(38.703147, -112.099028)","Sevier","16000US4912260",,"49063","0.45390000000000003","91","47","0","0","18","0","0","2","1","13","0","0","5","0","8","44","0","0","5","8","0","0","0","8","0","4","6","8","5","436","232","11","4","37","11","0","10","13","15","31","22","23","24","31","204","15","6","17","5","0","7","10","22","16","20","34","31","21"
"
Riverdale, Utah 
(41.182613, -112.006723)","Weber","16000US4964010",,"52961","0.3674","1021","449","152","0","22","8","12","9","32","82","21","73","0","30","8","572","129","0","38","0","11","12","108","119","22","22","39","50","22","7443","3817","247","0","345","140","61","63","689","477","565","462","423","254","91","3626","187","42","237","207","74","133","332","483","554","495","359","210","313"
"
Clear Creek, Utah 
(39.643385, -111.153696)","Carbon","16000US4913740",,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"
Cedar Fort, Utah 
(40.325505, -112.102348)","Utah","16000US4911430",,"67500","0.33329999999999999","8","2","0","0","0","0","0","0","0","0","0","0","0","0","2","6","0","0","0","0","0","0","0","0","2","2","0","0","2","313","178","13","0","19","9","5","5","21","30","19","19","16","13","9","135","3","2","8","4","2","12","17","18","15","15","14","12","13"
"
Paragonah, Utah 
(37.885993, -112.775018)","Iron","16000US4957960",,"42054","0.4037","72","34","0","0","2","0","0","0","3","7","8","4","3","7","0","38","0","1","2","2","2","0","0","7","0","4","18","1","1","438","229","19","9","10","5","4","3","21","19","11","36","36","18","38","209","15","2","18","14","1","1","11","20","19","38","22","23","25"
"
Erda, Utah 
(40.601661, -112.313568)","Tooele","16000US4923640",,"62214","0.34799999999999998","197","73","10","0","18","0","0","0","0","23","4","6","12","0","0","124","0","0","0","12","0","0","39","0","12","11","45","0","5","5139","2752","163","150","352","229","92","114","244","260","502","349","172","90","35","2387","208","14","374","289","38","33","107","307","465","283","105","155","9"
"
Santaquin, Utah 
(39.97558, -111.785249)","Utah","16000US4967770",,"59428","0.34810000000000002","942","433","45","0","18","23","15","36","130","37","39","56","34","0","0","509","29","0","174","72","0","22","24","45","45","48","12","23","15","8435","4252","509","76","713","284","96","149","307","623","568","409","244","183","91","4183","510","127","684","284","64","169","267","616","608","325","256","163","110"
"
La Verkin, Utah 
(37.207142, -113.272173)","Washington","16000US4943440",,"42649","0.3609","843","451","26","30","47","37","4","40","89","30","77","50","21","0","0","392","63","7","14","25","0","30","74","34","57","25","32","31","0","3289","1547","195","15","42","101","76","30","160","243","146","155","142","121","121","1742","324","65","138","41","19","8","109","247","210","185","121","160","115"
"
Montezuma Creek, Utah 
(37.262428, -109.305756)","San Juan","16000US4951470",,"28750","0.49769999999999998","102","63","6","0","13","8","0","0","12","0","0","8","8","8","0","39","0","0","0","0","0","0","0","9","5","9","10","3","3","313","157","7","9","13","8","0","7","45","12","14","24","16","2","0","156","57","0","16","5","0","8","7","26","10","20","0","7","0"
"
Castle Dale, Utah 
(39.211695, -111.019679)","Emery","16000US4910660",,"49311","0.37730000000000002","120","58","0","12","11","0","0","12","0","11","0","2","7","3","0","62","0","0","11","0","0","10","0","10","0","15","13","3","0","1681","906","95","13","77","88","10","21","40","151","132","94","107","39","39","775","66","13","58","78","0","38","32","134","63","83","105","56","49"
"
Wellsville, Utah 
(41.638707, -111.934347)","Cache","16000US4982620",,"59458","0.40500000000000003","380","215","18","19","80","30","17","0","0","20","13","18","0","0","0","165","13","0","41","6","0","7","22","18","58","0","0","0","0","3047","1589","129","20","147","96","25","62","151","243","210","190","161","87","68","1458","110","44","152","58","25","65","161","160","197","181","145","102","58"
"
Fayette, Utah 
(39.225449, -111.854742)","Sanpete","16000US4925070",,"65625","0.35010000000000002","54","30","6","0","3","0","7","0","0","3","3","8","0","0","0","24","0","0","10","0","0","0","5","1","0","8","0","0","0","215","109","6","2","7","9","2","2","26","5","14","4","17","3","12","106","12","10","2","5","0","4","15","6","18","9","16","6","3"
"
Rockville, Utah 
(37.16098, -113.045448)","Washington","16000US4964560",,"50625","0.40870000000000001","36","24","0","0","6","0","6","0","0","0","6","6","0","0","0","12","0","0","0","0","0","0","0","0","0","6","6","0","0","256","119","2","0","8","9","7","3","0","11","8","25","17","16","13","137","8","0","6","0","0","0","0","11","15","31","37","18","11"
"
Wendover, Utah 
(40.736501, -114.0402)","Tooele","16000US4982730",,"29565","0.38679999999999998","336","129","33","0","3","18","0","0","21","10","13","25","6","0","0","207","41","0","13","37","0","7","48","9","31","18","3","0","0","836","441","11","11","19","13","13","15","84","62","36","83","83","8","3","395","30","0","45","11","4","11","43","36","69","41","55","35","15"
"
Ferron, Utah 
(39.093349, -111.132145)","Emery","16000US4925180",,"55172","0.29449999999999998","139","80","10","10","19","10","0","0","13","0","0","10","8","0","0","59","0","0","9","8","0","0","0","16","9","13","0","4","0","1527","737","77","20","51","33","17","26","64","92","72","96","91","63","35","790","67","9","104","35","10","54","56","90","77","92","69","58","69"
"
Kearns, Utah 
(40.651205, -112.005632)","Salt Lake","16000US4940470",,"56807","0.3135","6034","2702","555","15","645","89","71","180","175","282","281","263","146","0","0","3332","526","136","492","455","71","12","263","433","383","316","152","75","18","29499","14923","1412","242","1924","491","129","401","1388","3018","1834","1897","1438","439","310","14576","1135","228","1603","755","125","547","1521","2591","1642","1750","1635","507","537"
"
Enterprise, Utah 
(37.575276, -113.716896)","Washington","16000US4923310",,"104830","0.20830000000000001","23","23","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","701","377","44","0","72","20","16","27","37","20","30","42","24","22","23","324","75","8","50","18","0","0","22","7","79","31","9","25","0"
"
Logan, Utah 
(41.735211, -111.834857)","Cache","16000US4945860","3.6","35770","0.46100000000000002","12396","5450","677","186","465","231","33","109","2121","997","384","99","60","77","11","6946","624","106","721","58","48","94","3353","906","547","183","187","48","71","32578","16327","1438","381","1123","446","158","497","3152","3976","1605","1291","984","655","621","16251","1831","197","1217","529","196","471","3315","2997","1573","1259","1253","632","781"
"
Monticello, Utah 
(37.874002, -109.342899)","San Juan","16000US4951580",,"46406","0.37930000000000003","272","141","21","0","45","7","0","11","32","0","0","9","12","0","4","131","15","7","0","4","0","0","11","30","45","3","13","0","3","1901","919","44","34","155","43","9","29","71","152","92","68","48","99","75","982","130","29","99","62","4","26","55","141","92","75","90","84","95"
"
Holladay, Utah 
(40.666615, -111.829228)","Salt Lake","16000US4936070","3.8","69779","0.50719999999999998","1572","689","0","0","113","17","18","48","33","112","50","191","45","0","62","883","0","0","107","39","0","0","37","37","250","162","118","67","66","24933","12029","729","106","1161","596","160","210","726","1844","1434","1422","1637","1163","841","12904","695","119","1108","384","211","188","916","1937","1396","1450","1772","1259","1469"
"
Cache, Utah 
(41.832474, -112.002914)","Cache","16000US4909725",,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"
Bicknell, Utah 
(38.340556, -111.544234)","Wayne","16000US4905490",,"53068","0.36270000000000002","21","7","0","0","0","0","0","0","0","0","3","0","0","4","0","14","0","0","0","0","0","0","0","0","0","3","5","6","0","328","157","8","0","20","9","2","7","4","13","31","14","10","25","14","171","17","0","21","0","0","0","4","22","24","14","26","27","16"
"
Park City, Utah 
(40.66036, -111.509385)","Summit","16000US4958070",,"81548","0.52859999999999996","1375","732","133","0","69","0","17","0","175","159","147","5","0","27","0","643","142","0","97","0","6","4","108","92","15","86","3","90","0","6368","3135","41","32","86","161","17","104","226","507","375","531","690","332","33","3233","209","22","155","186","126","80","149","415","405","590","668","171","57"
"
Price, Utah 
(39.599506, -110.811215)","Carbon","16000US4962030",,"40233","0.42","1528","685","70","0","63","55","18","31","114","95","101","24","104","2","8","843","110","0","34","44","11","12","138","81","91","111","139","53","19","6372","3005","258","47","291","137","21","51","296","427","316","412","355","195","199","3367","380","20","196","223","43","112","307","462","377","368","325","256","298"
"
Bonanza, Utah 
(40.023781, -109.175284)","Uintah","16000US4906920",,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"
Panguitch, Utah 
(37.822722, -112.43563)","Garfield","16000US4957740",,"46917","0.45100000000000001","263","79","0","6","18","0","0","3","2","0","14","16","6","11","3","184","14","9","11","21","4","0","10","22","9","47","13","5","19","1522","845","43","8","81","49","12","34","138","105","84","56","152","62","21","677","67","11","40","19","11","28","58","51","90","62","121","67","52"
"
Dutch John, Utah 
(40.929076, -109.390914)","Daggett","16000US4920780",,"59286","0.31190000000000001","9","5","0","0","0","0","0","0","0","0","0","0","5","0","0","4","0","0","0","0","0","0","0","0","0","0","4","0","0","129","74","0","0","8","0","10","0","0","24","12","12","8","0","0","55","9","3","0","0","0","2","0","7","2","15","17","0","0"
"
Woodland, Utah 
(40.582012, -111.230378)","Summit","16000US4985040",,"78056","0.23549999999999999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","429","266","40","0","76","7","0","0","11","36","9","20","47","0","20","163","33","0","0","0","10","0","0","43","0","32","35","0","10"
"
Woodland Hills, Utah 
(40.017602, -111.64549)","Utah","16000US4985050",,"106071","0.33410000000000001","103","37","0","0","10","0","0","0","0","3","11","11","0","2","0","66","12","0","0","20","0","0","4","0","10","15","2","3","0","1383","729","26","10","99","99","30","35","76","30","78","87","79","50","30","654","28","13","64","45","22","28","65","63","69","115","47","64","31"
"
Eagle Mountain, Utah 
(40.310874, -112.012591)","Utah","16000US4920810",,"70697","0.28310000000000002","845","428","45","0","52","0","63","0","102","35","15","33","62","7","14","417","0","0","132","0","0","0","70","96","48","0","63","8","0","22479","11532","2155","475","1721","713","223","398","567","2331","1808","623","300","175","43","10947","1218","318","2171","803","59","197","1171","2383","1492","583","202","252","98"
"
Marriott-Slaterville, Utah 
(41.252459, -112.021497)","Weber","16000US4948300",,"70450","0.39960000000000001","85","41","0","2","11","0","0","0","0","3","11","3","3","8","0","44","19","0","0","0","2","0","10","0","0","0","3","4","6","1377","723","42","7","75","13","5","23","71","105","82","91","103","73","33","654","29","18","32","32","8","16","44","111","68","92","105","52","47"
"
Centerville, Utah 
(40.921499, -111.878961)","Davis","16000US4911980",,"75524","0.37859999999999999","637","354","42","0","61","0","0","0","18","85","25","82","31","10","0","283","22","0","0","9","0","9","11","67","10","38","36","31","50","15114","7695","698","126","705","532","145","263","631","947","866","1041","872","585","284","7419","528","75","752","289","188","234","494","948","854","1103","961","594","399"
"
Castle Valley, Utah 
(38.647399, -109.417428)","Grand","16000US4911000",,"20000","0.54559999999999997","69","38","0","0","0","0","0","0","0","0","8","7","3","17","3","31","0","0","0","0","0","0","0","0","0","14","0","8","9","234","134","7","0","2","0","0","2","0","14","7","20","23","56","3","100","4","0","0","0","0","0","8","17","0","20","26","23","2"
"
Jensen, Utah 
(40.369811, -109.34557)","Uintah","16000US4939040",,"129022","0.46589999999999998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","330","167","17","15","0","16","13","0","33","30","14","18","11","0","0","163","40","0","0","14","0","0","14","59","0","23","13","0","0"
"
Halchita, Utah 
(37.125321, -109.888916)","San Juan","16000US4933002",,"20417","0.41089999999999999","154","82","13","0","13","13","4","6","0","18","6","0","0","9","0","72","7","0","12","0","0","6","19","0","16","0","4","0","8","112","61","0","0","0","0","0","0","7","21","6","12","6","7","2","51","0","5","11","0","0","0","7","0","4","4","4","10","6"
"
Amalga, Utah 
(41.859875, -111.895906)","Cache","16000US4901090",,"67292","0.2591","25","13","2","0","2","0","0","1","2","0","2","3","1","0","0","12","3","0","0","1","0","1","0","3","0","4","0","0","0","541","263","14","9","39","18","7","8","30","23","37","45","12","10","11","278","11","1","40","38","2","14","38","25","39","37","10","11","12"
"
Roy, Utah 
(41.167379, -112.033827)","Weber","16000US4965110","5.2","59468","0.33179999999999998","4244","1961","428","66","307","228","8","102","39","205","232","274","62","0","10","2283","285","104","213","50","85","111","292","438","285","260","73","25","62","32787","16514","1087","186","1483","1104","210","552","1339","2822","2920","1849","1372","824","766","16273","1315","343","1948","702","196","409","1236","2487","2082","1977","1507","1260","811"
"
Millcreek, Utah 
(40.685351, -111.871404)","Salt Lake","16000US4950150",,"56285","0.45929999999999999","6469","3177","283","26","320","224","64","197","726","448","314","170","204","98","103","3292","320","44","220","138","104","55","458","637","318","330","214","236","218","55127","27192","1642","362","1588","1112","473","317","2309","4894","4042","3673","3275","1686","1819","27935","1914","384","1779","694","305","626","2672","4480","3288","4061","2745","2370","2617"
"
Lewiston, Utah 
(41.975858, -111.856649)","Cache","16000US4944760",,"49375","0.3952","172","79","3","3","8","4","0","15","23","3","7","4","0","4","5","93","6","0","0","0","12","13","6","14","18","13","3","4","4","1768","948","78","29","138","51","24","12","81","112","138","96","91","51","47","820","83","11","54","52","15","5","72","137","98","116","65","51","61"
"
Clarkston, Utah 
(41.919961, -112.044991)","Cache","16000US4913190",,"70083","0.24579999999999999","25","12","0","0","4","3","2","0","0","0","3","0","0","0","0","13","0","0","5","0","0","0","0","3","2","0","0","3","0","739","400","22","0","56","40","6","12","33","66","50","28","47","22","18","339","41","0","42","24","8","11","18","48","43","18","41","20","25"
"
Rush Valley, Utah 
(40.336595, -112.454494)","Tooele","16000US4965240",,"62500","0.30370000000000003","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","3","0","0","0","5","4","1","0","521","262","17","0","14","5","6","7","27","19","15","55","41","42","14","259","3","3","17","19","8","10","26","11","23","71","25","32","11"
"
Stansbury Park, Utah 
(40.64021, -112.304763)","Tooele","16000US4972720",,"92771","0.33489999999999998","245","94","0","0","52","0","0","17","0","0","25","0","0","0","0","151","0","17","0","0","0","52","0","0","61","21","0","0","0","4624","2561","269","38","481","158","61","91","159","260","445","262","140","123","74","2063","223","0","264","125","0","45","98","368","379","183","211","83","84"
"
Cannonville, Utah 
(37.566725, -112.053972)","Garfield","16000US4910330",,"52188","0.30690000000000001","4","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","3","179","100","6","3","9","6","4","13","0","8","10","23","5","3","10","79","4","2","3","3","0","7","7","8","15","9","5","10","6"
"
Roosevelt, Utah 
(40.302103, -109.995205)","Duchesne","16000US4964670",,"58512","0.38069999999999998","873","249","30","25","58","9","7","6","18","21","17","43","9","0","6","624","143","9","49","57","0","23","104","58","97","50","17","3","14","5336","2688","268","69","348","132","30","109","259","600","297","244","181","103","48","2648","413","66","370","98","11","100","283","451","304","204","172","115","61"
"
Hurricane, Utah 
(37.176457, -113.300562)","Washington","16000US4937170",,"46635","0.4133","1835","545","97","0","151","0","44","12","0","80","57","66","9","14","15","1290","93","12","245","191","0","83","91","156","154","44","115","34","72","11774","5727","511","147","711","285","58","44","306","688","536","708","591","661","481","6047","460","100","595","119","186","173","647","699","486","623","672","749","538"
"
Glenwood, Utah 
(38.763163, -111.988684)","Sevier","16000US4929580",,"63750","0.48649999999999999","31","11","0","0","0","1","0","6","0","2","0","0","2","0","0","20","1","0","2","0","0","0","0","0","7","4","0","6","0","431","243","19","7","34","16","2","19","12","8","29","24","27","18","28","188","14","0","24","2","6","12","9","11","21","35","20","10","24"
"
Deseret, Utah 
(39.286815, -112.652712)","Millard","16000US4919020",,"57667","0.32200000000000001","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","266","152","0","0","16","27","0","0","0","0","20","10","49","0","30","114","13","0","18","0","7","16","0","0","13","38","9","0","0"
"
Marysvale, Utah 
(38.450284, -112.230415)","Piute","16000US4948610",,"29583","0.45350000000000001","91","44","0","0","7","0","0","0","0","4","0","5","6","17","5","47","0","7","7","0","0","0","0","4","0","6","6","10","7","297","142","4","0","4","2","5","6","11","9","5","21","37","19","19","155","11","0","12","7","4","0","3","7","3","22","38","21","27"
"
Vernon, Utah 
(40.092086, -112.43085)","Tooele","16000US4980200",,"44792","0.3886","42","16","0","0","3","0","6","0","5","0","2","0","0","0","0","26","13","2","1","2","0","0","0","8","0","0","0","0","0","191","112","6","4","12","4","3","6","14","8","12","13","18","0","12","79","8","0","6","3","0","1","6","8","16","10","6","4","11"
"
Provo, Utah 
(40.233677, -111.663926)","Utah","16000US4962470","4.2","38877","0.51559999999999895","32146","15507","1838","714","499","268","0","315","8266","2321","811","232","149","94","0","16639","1359","0","1036","369","168","379","9319","2394","517","52","154","562","330","76613","38231","3860","586","3270","1244","540","716","8165","8013","3835","2512","2433","1403","1654","38382","3645","775","3008","1181","723","1046","9209","7000","3436","2810","2712","1217","1620"
"
White City, Utah 
(40.565011, -111.866732)","Salt Lake ","16000US4984050",,"59207","0.35210000000000002","483","212","8","0","35","0","0","32","7","36","52","19","12","0","11","271","27","0","43","52","0","0","3","11","80","11","18","26","0","4667","2280","154","19","168","90","48","42","259","440","272","222","231","192","143","2387","225","8","233","98","20","82","155","377","273","238","314","190","174"
"
Kanab, Utah 
(37.055828, -112.526329)","Kane","16000US4939920",,"49149","0.37269999999999998","191","143","0","0","0","14","0","25","0","17","60","14","7","6","0","48","0","0","10","0","0","0","0","0","10","0","16","0","12","4085","1935","136","21","202","134","20","58","107","200","171","215","242","289","140","2150","154","13","148","81","36","34","61","263","223","284","420","251","182"
"
Huntsville, Utah 
(41.260512, -111.776965)","Morgan","16000US4937060",,"85278","0.35780000000000001","48","27","0","0","4","4","2","0","2","0","8","4","3","0","0","21","4","0","0","0","0","0","2","2","4","3","2","4","0","742","414","10","9","12","9","12","17","67","58","20","71","42","39","48","328","32","5","19","6","4","5","36","24","15","76","39","52","15"
"
Vernal, Utah 
(40.455599, -109.538022)","Uintah","16000US4980090",,"53230","0.44769999999999999","1544","653","141","12","63","0","24","46","70","137","45","73","34","0","8","891","97","39","37","11","0","39","218","153","106","101","0","15","75","7715","4073","419","127","359","91","33","125","473","1010","356","398","303","184","195","3642","420","75","237","152","62","103","363","627","434","295","374","218","282"
"
Echo, Utah 
(40.977688, -111.443486)","Summit","16000US4921880",,"39821","0.38869999999999999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57","34","0","0","0","0","0","0","7","0","0","17","0","0","10","23","0","0","0","0","0","0","7","0","0","16","0","0","0"
"
Woodruff, Utah 
(41.52186, -111.162933)","Rich","16000US4985260",,"67778","0.27950000000000003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","309","171","5","0","26","15","1","8","6","3","34","7","49","15","2","138","4","0","29","5","3","2","5","7","35","7","20","19","2"
"
Pleasant Grove, Utah 
(40.363923, -111.738868)","Utah","16000US4960930","4.3","62178","0.37569999999999998","3540","1670","355","163","213","168","36","71","42","281","243","17","73","8","0","1870","371","28","293","45","0","109","209","427","126","95","71","73","23","30617","15300","1464","351","1805","1130","389","672","1841","2138","1967","1611","1038","533","361","15317","1678","180","1853","1053","195","371","2075","1978","2322","1499","888","711","514"
"
Peter, Utah 
(41.768243, -111.98142)","Cache","16000US4959555",,"68229","0.38940000000000002","28","19","0","0","0","9","0","0","0","0","0","10","0","0","0","9","0","0","0","0","0","0","0","0","0","9","0","0","0","270","145","7","22","33","0","11","0","0","10","19","12","7","11","13","125","21","7","0","0","0","15","0","18","18","26","8","12","0"
"
Salem, Utah 
(40.053078, -111.67343)","Utah","16000US4965770",,"72394","0.35880000000000001","543","258","70","13","13","11","0","10","77","12","24","0","21","7","0","285","58","0","9","0","7","0","107","16","33","7","11","11","26","6051","3216","235","37","460","243","131","137","255","415","387","354","273","195","94","2835","255","43","398","132","46","101","168","400","372","310","302","217","91"
"
Washington, Utah 
(37.130242, -113.509895)","Washington","16000US4981960",,"46030","0.39429999999999998","3523","2016","557","310","174","94","18","122","269","26","287","16","0","56","87","1507","76","0","446","57","0","40","217","310","209","41","34","39","38","17226","8814","814","56","632","322","94","93","755","1912","776","471","1031","909","949","8412","487","242","768","265","34","188","519","1342","912","855","1170","826","804"
"
Summit Park, Utah 
(40.747506, -111.573429)","Summit","16000US4974095",,"115281","0.42099999999999999","414","375","52","0","70","13","8","0","125","36","8","18","45","0","0","39","0","0","0","0","0","0","0","17","0","5","17","0","0","7357","3706","230","37","511","174","86","116","196","224","595","677","550","201","109","3651","148","43","337","175","42","223","136","244","691","845","525","195","47"
"
Benjamin, Utah 
(40.09118, -111.730916)","Utah","16000US4904720",,"75380","0.27829999999999999","134","82","6","0","0","0","13","0","35","6","0","13","9","0","0","52","12","0","0","0","0","0","20","0","0","12","0","8","0","1128","579","27","0","67","29","0","24","63","58","66","73","100","46","26","549","8","29","81","15","15","33","12","34","79","101","78","30","34"
"
Hoytsville, Utah 
(40.874313, -111.380585)","Summit","16000US4936730",,"51429","0.35320000000000001","168","112","0","0","50","0","0","0","25","0","33","4","0","0","0","56","8","0","8","0","0","0","0","0","37","3","0","0","0","555","244","0","17","49","15","0","0","0","44","17","9","74","9","10","311","11","0","48","13","0","0","18","53","43","11","65","9","40"
"
Wanship, Utah 
(40.810743, -111.40764)","Summit","16000US4981190",,"46818","0.48080000000000001","79","42","0","0","14","0","0","0","0","0","0","17","0","0","11","37","0","0","16","0","0","0","21","0","0","0","0","0","0","313","177","8","5","27","7","0","11","48","8","15","25","6","6","11","136","5","10","18","0","0","0","12","37","0","24","11","0","19"
"
Alpine, Utah 
(40.45572, -111.777781)","Utah","16000US4900540",,"92443","0.46820000000000001","298","154","0","0","6","28","16","24","50","9","7","14","0","0","0","144","6","0","12","6","6","13","26","5","6","64","0","0","0","9406","4699","446","89","554","329","184","281","346","375","470","717","429","269","210","4707","132","136","756","451","103","208","401","483","554","516","513","218","236"
"
Summit, Utah 
(37.801069, -112.93399)","Iron","16000US4974040",,"35917","0.1101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103","56","0","0","0","0","0","0","0","0","0","0","0","9","47","47","0","0","0","0","0","0","7","0","0","0","0","10","30"
"
Nibley, Utah 
(41.674857, -111.849392)","Cache","16000US4954660",,"64613","0.31130000000000002","438","164","36","8","33","16","0","7","0","46","18","0","0","0","0","274","72","38","37","0","0","0","37","52","28","0","0","0","10","5203","2541","447","50","471","112","60","43","121","428","341","164","228","45","31","2662","439","67","393","217","45","106","172","510","313","185","137","62","16"
"
Koosharem, Utah 
(38.510111, -111.881336)","Sevier","16000US4941680",,"60893","0.29330000000000001","10","5","1","0","0","0","0","0","0","2","0","2","0","0","0","5","1","0","0","0","0","0","0","2","0","0","0","2","0","190","89","7","0","2","2","2","6","0","7","12","23","6","12","10","101","7","2","6","8","2","4","6","5","9","25","6","17","4"
"
Antimony, Utah 
(38.116534, -112.000371)","Garfield","16000US4901860",,"53125","0.53110000000000002","3","2","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","114","60","0","0","0","0","0","0","0","0","9","12","15","12","12","54","9","0","4","3","0","0","0","9","0","3","9","9","8"
"
Henrieville, Utah 
(37.562513, -111.994526)","Garfield","16000US4934750",,"51250","0.30280000000000001","16","7","0","0","0","0","0","0","0","0","0","7","0","0","0","9","0","0","0","0","0","0","0","0","0","0","7","0","2","248","134","17","2","11","5","6","9","6","18","15","7","27","8","3","114","6","5","9","5","3","5","1","10","18","9","24","8","11"
"
Veyo, Utah 
(37.338034, -113.696024)","Washington","16000US4980310",,"31715","0.27900000000000003","136","46","0","0","13","0","0","0","0","0","0","15","0","0","18","90","0","0","27","0","0","0","0","0","14","0","29","0","20","298","204","16","0","34","17","0","0","15","0","18","27","12","46","19","94","0","0","0","0","0","0","11","0","11","0","29","43","0"
"
Willard, Utah 
(41.408824, -112.036241)","Box Elder","16000US4984710",,"58917","0.36209999999999998","119","32","0","0","0","0","5","0","6","13","0","0","3","3","2","87","22","0","37","0","0","0","5","16","0","0","0","2","5","1675","849","67","15","115","41","7","37","59","65","102","152","95","57","37","826","56","7","71","59","19","38","59","74","159","107","88","52","37"
"
Hyde Park, Utah 
(41.799022, -111.816736)","Cache","16000US4937390",,"72917","0.33950000000000002","179","104","15","0","5","12","0","4","21","10","7","25","5","0","0","75","11","0","4","0","0","0","27","8","0","18","3","0","4","3773","1896","234","47","211","93","58","64","173","223","203","224","218","77","71","1877","169","36","261","132","22","87","133","252","194","267","141","146","37"
"
Orderville, Utah 
(37.275969, -112.63868)","Emery","16000US4957080",,"50938","0.3332","17","8","0","0","0","1","0","0","0","1","0","4","0","2","0","9","0","1","0","1","0","1","0","0","0","1","5","0","0","606","264","16","1","18","8","11","3","15","52","13","34","34","33","26","342","20","2","32","5","1","11","63","35","14","38","38","52","31"
