"entity","contact","title","zipcode","phone","location_1"
"Saratoga Springs City","Mark Christensen","City Manager","84045","(801) 766-9793","1307 N Commerce Dr STE 200
Saratoga Springs, UT 
(40.386067856000466, -111.91277884799968)"
"Loa City","Jeffery Olsen","Mayor","84747","(435) 836-2160","80 West Center
Loa, UT 
(38.402197567000485, -111.64446311999967)"
"Wellington City","Karl Houskeeper","Mayor","84542","(435) 637-5213","150 West Main St.
Wellington, UT 
(39.542518060000475, -110.7383351959997)"
"Sterling City","Steven Thomas",,"84665","(435) 835-6333","
Sterling, UT 
(39.19419375300049, -111.6925297149997)"
"Springdale City","Pat Cluff","Mayor","84767","(435) 772-3434","118 Lion Blvd
Springdale, UT 
(37.194687400000475, -112.99762221699967)"
"Marysvale City","Gary James",,"84750","(435) 326-4204","475 West 40 South
Marysvale, UT 
(38.44850076300048, -112.24005874199969)"
"American Fork City","Richard M. Colborn","City Recorder/Risk Manager","84003","(801) 763-3000","51 East Main
American Fork, UT 
(40.37682932000047, -111.79719687999972)"
"Manti City","Natasha Madsen","Mayor","84642","(435) 835-5863","50 South Main Street
Manti, UT 
(39.26470249100049, -111.6370507899997)"
"Annabella City","Dale Albrecht","Mayor","84711","(435) 896-6571","90 North Main Street
Annabella, UT 
(38.70812453700046, -112.06090083099969)"
"Parowan City","Ronald K. Smith","Mayor","84761","(435) 477-3331","5 S Main Street
Parowan, UT 
(37.84204147300045, -112.82757199799971)"
"Tropic City","Lowell J. Mecham","Mayor","84776","(435) 670-8713","40 North 300 West
Tropic, UT 
(37.62437677100047, -112.0875335929997)"
"Sandy City","Molly Spira","City Recorder","84070","(801) 568-7136","10000 S Centennial Parkway
Sandy City, UT 
(40.570148333000475, -111.89521691999971)"
"Brigham City","Mary Kate Christensen","City Recorder","84302","(435) 734-6621","20 N Main
Brigham City, UT 
(41.51092413700047, -112.0157276279997)"
"Clinton City","L. Mitch Adams","Mayor","84015","(801) 774-2600","1906 West 1800 North
Clinton, UT 
(41.139907904000495, -112.06308018199968)"
"Wendover City","Mike Crawford","Mayor","84083","(435) 665-7030","920 East Wendover Blvd.
Wendover, UT 
(40.73775345600046, -114.03012835299967)"
"Torrey City","Fred Hansen","Mayor","84775","(435) 425-3721","195 E 400 N
Torrey, UT 
(38.30637271000046, -111.4248554779997)"
"Cedar City","Renon Savage","Recorder","84720","(435) 586-2953","10 N Main St
Cedar City, UT 
(37.677577736000444, -113.0617204129997)"
"Duchesne City","Diane Miller","City Recorder","84021","(435) 738-2464","165 South Center
Duchesne, UT 
(40.1615163030005, -110.4014062389997)"
"Logan City","Teresa Harris","City Recorder","84321","(435) 716-9002","290 North 100 West
Logan, UT 
(41.7369208020005, -111.83739713799969)"
"Castle Dale City","Neal Peacock","mayor","84513","(435) 381-2115 -","61 East 100 North
Castle Dale, UT 
(39.213176434000445, -111.01856438799967)"
"Lindon City","Lindon City Recorder",,"84042","(801) 785-5043","100 N State
Lindon, UT 
(40.33969081700047, -111.71838659999969)"
"Antimony City","Shannon Allen","Mayor","84712","(435) 624-3285","135 N Highway 22
Antimony, UT 
(38.164203175000466, -112.0142841059997)"
"Vineyard City","J Rulon Gammon","Mayor","84058","(801) 226-1929","240 E Gammon Road
Vineyard, UT 
(40.297063241000444, -111.74339096599971)"
"Wales City","Byron Davis",,"84667","(435) 436-8716","98 West 100 South
Wales, UT 
(39.484050495000474, -111.63684153599968)"
"St. George City","Christina Fernandez","City Recorder","84770","(435) 627-4003","175 East 200 North
St. George, UT 
(37.11159751000048, -113.57967087299971)"
"Sunset City","Beverly Macfarlane","Mayor","84015","(801) 614-9101","200 West 1300 North
Sunset City, UT 
(41.13260618600049, -112.02988379999971)"
"Heber City","David R. Phillips","Mayor","84032","(435) 654-0757","75 North Main Street
Heber City, UT 
(40.50853121500046, -111.41349628899968)"
"Huntsville City","James McKay","Mayor","84317","(801) 745-3420","7309 East 200 South--P.O.Box 267
Huntsville, UT 
(41.26063069000048, -111.77211997299969)"
"Price City","Joe Piccolo","Mayor","84501","(435) 637-5010","185 East Main
Price, UT 
(39.59957989700047, -110.80762871499968)"
"Bicknell City","SHERWOOD ALBRECHT","MAYOR","84715","(435) 425-3861","96 WEST 1STNORTH
BICKNELL, UT 
(38.34058263500049, -111.54185961999968)"
"Alpine City","Hunt Willoughby","Mayor","84004","(801) 756-6347 108","20 North Main
Alpine, UT 
(40.453590326000494, -111.7778010019997)"
"Elmo City","Darrell Wilcox",,"84521","(435) 653-2694","
Elmo, UT 
(39.38959235800047, -110.81826711199972)"
"Toquerville City","Renee Garner","City Recorder/Clerk","84774","(435) 635-1094","212 Toquer Blvd.
Toquerville, UT 
(37.25487397700044, -113.2851895819997)"
"Koosharem Town","Pat Bagley","Clerk","84744","(435) 638-7598","45 North Main Street P.O. Box 440199
Koosharem, UT 
(38.51081034200047, -111.8813928349997)"
"Escalante City","Lenza Wilson","Mayor","84726","(435) 826-4644","56 N. 100 W.
Escalante, UT 
(37.77120643000046, -111.6021759459997)"
"Springville City","Venla Gubler","City Recorder","84663","(801) 489-2700","110 S. Main Street
Springville, UT 
(40.164920778000464, -111.61075656499969)"
"Genola City","Penny Thompson","Recorder","84655","(801) 754-5300","74 West 800 South
Genola, UT 
(39.982090593000464, -111.84462305499972)"
"Clarkston City","Mervin Thompson",,"84305","(435) 563-9090","10250 North 8800 West
Clarkston, UT 
(41.90138103400045, -112.0494462529997)"
"Midvale City","Rori L Clark","City Recorder","84047","(801) 567-7207","655 W Center Street
Midvale City, UT 
(40.610723143000484, -111.90887558199967)"
"Cornish City","John Dyer Pitcher",,"84308","(435) 258-2805","12575 North 4800 West
Cornish, UT 
(41.9606598040005, -111.95404782099968)"
"West Bountiful City","Duane Huffman","City Administrator","84087","(801) 292-4486","550 North 800 West
West Bountiful, UT 
(40.89564503200046, -111.90201577899967)"
"Richmond City","Michael E. Hall","Mayor","84333","(435) 258-2092","6 West Main St
Richmond, UT 
(41.922642114000496, -111.8089335089997)"
"Joseph City","Robert E. Owen","Mayor","84739","(435) 527-1099","185 East Main
Joseph, UT 
(38.62424854900047, -112.2145211239997)"
"Milford City","Monica D. Seifers","City Recorder","84751","(435) 387-2711","26 South 100 West
Milford, UT 
(38.3969916370005, -113.01193510699972)"
