"service_type","agency_name","health_needs_targeted","location","phone","fax","website","e_mail","hours","description_of_services","fees","eligibility_requirements","area_served","non_english_languages","wheelchair_accessibility"
,"Planned Parenthood Association of Utah  West Valley  ","Reproductive health care services ","1906 W 3600 S     West Valley City UT 84119","801-973-9675",,"www.plannedparenthood.com/utah","Access on web site","M-H 9:00am - 8:00pm; F 10:30am - 5:00pm; Sat 11:00am - 5:00pm","Birth Control and Pregnancy, Reproductive and Sexual health care,  Family Planning,  Education and Information resources and referrals","Sliding Scale, insurance accepted",,"West Valley Area","Yes","x"
,"Pregnancy Resource Center","Pregnancy Support Services","644 S 900 E           Salt Lake City UT 84102","801-363-5433","801-944-4980","http://www.pregnancycenter.net/","Access on web site","M-F 9:30am - 4:30pm By appointment","Counseling, Pregnancy Tests, referrals for adoption and foster care. Resource referrals, supplies.","none",,"Statewide",,"x"
"Senior Citizens","Salt Lake County Aging Services","Services for Seniors, disabled adults and their caregivers","2001 S State #S1500 Salt Lake City UT 84190-2300","801-468-2480 or 801-468-2454","801-468-2852","www.slcoagingservices.org","Access on web site","M-F 8:00am - 5:00pm","In-Home Service, Senior Companion Program, Health Insurance Info, Senior Centers, Senior Resource Guide, Caregiver Support, Information & Referral, Ombudsman",,"Residence of Salt Lake County","Salt Lake county","yes","x"
"STD/HIV ","Utah AIDS Foundation","HIV Programs and Services ","1408 S 1100 E      Salt Lake City UT 84106","801-487-2323 or toll free 1-800-865-5004","801-486-3478","www.utahaids.org","Access on web site","M-F 9:00am - 6:00pm","HIV testing, counseling, and education. Support services for those living with HIV/AIDS.","none",,,"Spanish","x"
,"Utah Pride Center","HIV Programs and Services ","361 N 300 W 1st Floor Salt Lake City UT 84103","801-539-8800","801-521-5218","www.utahpridecenter.org","Access on web site","M-F 10:00am - 6:00pm","HIV testing, counseling, and education.","none",,,"Spanish",
"Substance Abuse","Alcohol and Drug Abuse Clinic","Outpatient substance abuse services","30 N 1900 E 1R52 SOM                     Salt Lake City UT 84132","801-581-6228","801-585-5757",,,"M-F 8:00am - 5:00pm","Outpatient evaluation and treatment for alcohol and drug abuse for adults. Group, individual counseling. Education and referral.","Dependant on Services Provided","Must have at least 5 days clean and sober prior to intake",,"yes","x"
,"Alcoholics Anonymous (AA) ","Group meetings for alcohol dependency","2480 S Main St #112 Salt Lake City UT 84115","801-484-7871",,"www.saltlakeaa.org","Access on web site","M-F 9:30am - 5:30pm; Sat 10:00am - 2:00pm","Conduct Open and Closed Group Sessions in a 12 Step Program, help locate local meetings and times.",,,"Statewide","yes",
,"First Step House","Residential and outpatient Substance Abuse Treatment center","411 N Grant St       Salt Lake City UT 84116","801-359-8862","801-359-8510","http://www.firststephouse.org/","Access on web site","M-F 7:00am - 5:00pm","Residential treatment facility for men only. Outpatient treatment program for men and women. DUI classes available.","Sliding fee scale","Eligibility determined at intake procedure","Wasatch Front","yes","x"
,"The Haven","Inpatient, residential substance abuse treatment","974 E South Temple  Salt Lake City UT 84102","801-533-0070","801-596-2240","http://www.havenslc.org/","Access on web site","M-F 9:00am - 5:00pm","Residential treatment facility for adult men and women. Group and individual therapy, rehabilitation, education alcohol and drug abuse/addiction.","Sliding fee scale, accepts private pay","Must attend intake orientation. Must have at least 5 days clean and sober prior to intake",,,
,"House of Hope","Substance Abuse and Mental Health services for Women with children","857 S 200 E           Salt Lake City UT 84102","801-487-3276","801-467-3725","www.uafut.org/","Access on web site","M-F 8:00am- 5:00pm ","Substance abuse and mental health services; residential and day treatment for women who are pregnant, have children, or are working to get children back.   ","Sliding fee scale. Self pay, Private insurance, Medicaid accepted","Eligibility requirements outlined on web site","Statewide","Spanish","x"
,"Odyssey House","Residential and outpatient Substance Abuse and Mental Health services in several locations","344 E 100 S #301   Salt Lake City UT 84111","801-322-4257","801-322-2831","www.odysseyhouse.org","Access on web site","M-F 9:00am - 5:00pm business hours, 24 hours a day available","Outpatient Prevention Services 322-3222; Adolescent treatment and Residential Odyssey Academy 363-0203; Adult treatment program 322-1001; Women and Children program 596-1990; Children's services 532-4184; Main and Administration services 322-4257","Sliding fee scale","Intake by appointment","Intermountain west","Spanish","x"
,"Project Reality","Comprehensive outpatient substance abuse treatment","150 E 700 S           Salt Lake City UT 84111","801-364-8080","801-364-8098","http://www.projectreality.net/","Access on web site",,"Outpatient individualized psychosocial and medical services for opiate dependent adults. Urinalysis Lab open to public for drug screening. Methadone Clinic. HIV testing and counseling.","Dependent on services provided, sliding fee scale","Varies according to service, call for intake appointment","Salt Lake County","Spanish","x"
