"reference_period","type_of_service","aggregation_level","county","state_fips","county_fips","number_of_fee_for_service_beneficiaries","number_of_providers","average_number_of_users_per_provider","percentage_of_users_out_of_ffs_beneficiaries","average_number_of_providers_per_county","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_0_to_2_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_3_to_4_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_5_to_9_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_10_to_19_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_20_or_more_providers","location_1"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Summit","49","43","3806","3","48.67","3.84","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Cache","49","5","7662","7","26.86","2.45","7","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Emery","49","15","1890","3","51","8.10","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Utah","49","49","32462","34","86.74","9.08","34","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Box Elder","49","3","5334","8","50.13","7.52","8","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Millard","49","27","2247","1","145","6.50","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Tooele","49","45","5569","15","180","48.50","15","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Daggett","49","9","195","0",,"7.18","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Morgan","49","29","1049","1","28","2.67","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Emery","49","15","1916","4","28.5","5.90","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Davis","49","11","25990","11","98.73","4.18","11","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Box Elder","49","3","5326","15","196.1","55.20","15","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Cache","49","5","7561","15","282.89999999999998","56.10","15","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Grand","49","19","1906","2","45.5","4.77","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Washington","49","53","25523","10","177.1","6.94","10","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Washington","49","53","24937","10","169","6.80","10","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Summit","49","43","3760","13","164.8","57","13","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Garfield","49","17","1082","5","144.80000000000001","66.90","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Juab","49","23","1510","1","25","1.66","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Rich","49","33","319","1","24","7.52","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Salt Lake","49","35","83412","44","904.98","47.74","44","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Beaver","49","1","1089","1","19","1.74","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Tooele","49","45","5619","2","181","6.44","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Wayne","49","55","599","5","55.2","46.08","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Weber","49","57","23684","12","60.6","3.10","12","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Wayne","49","55","593","7","38.700000000000003","45.70","7","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Summit","49","43","3760","4","16.3","1.70","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Summit","49","43","3760","4","53.8","5.70","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","Iron","49","21","5719","2","25.5","0.90","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Emery","49","15","1916","2","15.5","1.60","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Iron","49","21","5719","8","48.3","6.70","8","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Rich","49","33","319","5","34.4","53.92","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Weber","49","57","23685","23","33.74","3.28","23","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Emery","49","15","1936","1","146","7.54","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Morgan","49","29","1028","1","34","3.30","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","COUNTY","Emery","49","15","1936","3","9.67","1.50","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Carbon","49","7","3989","7","31.86","5.59","7","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Juab","49","23","1557","2","50","6.42","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Millard","49","27","2247","1","113","5","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Uintah","49","47","3041","2","78","5.10","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Salt Lake","49","35","83412","44","57.27","3.02","44","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","Sanpete","49","39","4270","5","9.1999999999999993","1.10","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Iron","49","21","5719","3","35.67","1.87","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Davis","49","11","25990","13","63","3.15","13","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Emery","49","15","1936","3","52.33","8.11","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Weber","49","57","23541","11","178.7","8.40","11","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Piute","49","31","413","0",,"7.50","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Grand","49","19","1852","1","115","6.20","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","Sevier","49","41","3856","1","90","2.30","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Tooele","49","45","5619","2","213","7.58","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Salt Lake","49","35","82580","21","301.10000000000002","7.70","21","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Kane","49","25","1801","4","166.5","36.98","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Carbon","49","7","3989","4","93","9.33","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","San Juan","49","37","1980","1","70","3.50","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Grand","49","19","1888","2","43","4.60","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Utah","49","49","32366","25","34.4","2.66","25","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Washington","49","53","24950","10","18.3","0.70","10","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Grand","49","19","1906","2","17","1.78","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Juab","49","23","1510","2","65","8.60","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Beaver","49","1","1089","1","28","2.60","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Iron","49","21","5729","2","95.5","3.30","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Tooele","49","45","5533","4","33.5","2.42","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Uintah","49","47","3162","11","179.27","62.37","11","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Rich","49","33","327","5","34.799999999999997","53.20","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Sevier","49","41","3640","1","238","6.50","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Daggett","49","9","189","0",,"6.30","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Sevier","49","41","3664","4","71.5","7.81","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","Juab","49","23","1510","2","24","3.20","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Sevier","49","41","3856","1","223","5.80","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","COUNTY","San Juan","49","37","2015","4","12.75","2.53","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Utah","49","49","32112","35","85.8","9.40","35","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Box Elder","49","3","5334","5","78.599999999999994","7.37","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Wayne","49","55","593","1","23","3.88","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","COUNTY","Box Elder","49","3","5334","5","11","1.03","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Duchesne","49","13","2415","1","70","2.90","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Beaver","49","1","1089","2","35","6.40","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Sevier","49","41","3640","10","228.2","62.70","10","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Emery","49","15","1936","2","37.5","3.87","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Garfield","49","17","1092","5","149","68.20","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Juab","49","23","1537","1","30","1.95","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Weber","49","57","23684","16","61.1","4.10","16","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Wayne","49","55","580","0",,"2.90","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Carbon","49","7","3965","3","101","7.60","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Sanpete","49","39","4128","3","80.67","5.86","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Iron","49","21","5729","3","38.67","2.02","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Morgan","49","29","1015","1","81","8","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Salt Lake","49","35","83658","18","339.7","7.30","18","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Utah","49","49","32112","10","118","3.70","10","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Rich","49","33","320","0",,"5.90","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Cache","49","5","7662","3","112.7","4.40","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Box Elder","49","3","5334","6","25.17","2.83","6","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Duchesne","49","13","2482","0",,"1.57","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Uintah","49","47","3041","2","90.5","6","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Grand","49","19","1888","1","87","4.60","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Sanpete","49","39","4128","11","83.45","22.24","11","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","STATE","--ALL--","49",,"255344","60","2122.4299999999998","49.87","28.11","0","1.19","5.94","27.31","65.55","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","COUNTY","Utah","49","49","32462","15","32.729999999999997","1.51","15","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","COUNTY","Cache","49","5","7657","3","24.67","0.97","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Juab","49","23","1537","1","44","2.90","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Piute","49","31","422","0",,"8.06","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Rich","49","33","319","0",,"5.33","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Daggett","49","9","189","4","21.5","45.50","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Wasatch","49","51","2329","3","60","7.73","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Emery","49","15","1936","3","53.33","8.26","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Salt Lake","49","35","83412","63","112.02","8.46","63","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Davis","49","11","25699","13","122.7","6.20","13","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Washington","49","53","24937","10","102.6","4.10","10","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Millard","49","27","2247","1","11","0.50","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Millard","49","27","2268","1","61","2.69","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Sanpete","49","39","4128","5","56","6.78","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","STATE","--ALL--","49",,"252292","100","208.7","8.30","34.299999999999997","7.10","8.50","6.60","12.90","65","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Morgan","49","29","1028","4","125.5","48.80","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","STATE","--ALL--","49",,"255149","33","302.08999999999997","3.91","13.62","3.15","9.97","11.99","42.19","32.69","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Duchesne","49","13","2415","11","123","56","11","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Utah","49","49","32366","15","131.9","6.10","15","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Summit","49","43","3806","2","37","1.94","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Piute","49","31","413","5","58.4","70.70","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Garfield","49","17","1092","1","16","1.50","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Morgan","49","29","1049","1","30","2.86","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Morgan","49","29","1015","5","102.4","50.40","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Morgan","49","29","1049","0",,"3.15","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Salt Lake","49","35","83658","64","112.9","8.60","64","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Grand","49","19","1852","2","43","4.60","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Grand","49","19","1906","5","78.2","20.51","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Uintah","49","47","3041","1","78","2.56","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Davis","49","11","25822","13","117.6","5.90","13","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Garfield","49","17","1092","1","71","6.50","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Washington","49","53","24937","13","144.80000000000001","7.50","13","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Daggett","49","9","195","4","21.5","44.10","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Box Elder","49","3","5279","4","96","7.30","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Utah","49","49","32462","12","98.17","3.63","12","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Cache","49","5","7561","3","115","4.60","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Millard","49","27","2268","1","150","6.61","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Grand","49","19","1852","1","101","5.50","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Millard","49","27","2268","1","112","4.94","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Sevier","49","41","3856","10","225.3","58.40","10","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Utah","49","49","32112","15","142.30000000000001","6.60","15","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","Kane","49","25","1766","1","12","0.70","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Wasatch","49","51","2308","2","34","2.90","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Uintah","49","47","3041","2","17","1.10","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Millard","49","27","2247","1","150","6.70","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","STATE","--ALL--","49",,"255149","74","230.12","6.67","11.87","19.12","5.99","10","64.88","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","Garfield","49","17","1082","1","15","1.40","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","COUNTY","Wasatch","49","51","2329","3","12.67","1.63","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Piute","49","31","422","1","17","4.03","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","COUNTY","Piute","49","31","422","1","13","3.08","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Box Elder","49","3","5279","5","41","3.90","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","STATE","--ALL--","49",,"252292","60","2081.9","49.50","29.2","0","1.20","5.80","18.10","74.90","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","San Juan","49","37","1991","4","32","6.40","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Juab","49","23","1557","4","22.75","5.84","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","STATE","--ALL--","49",,"254069","98","211.2","8.10","34","7.60","7.90","6.50","12.80","65.20","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Box Elder","49","3","5279","14","208.8","55.40","14","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
