"fiscal_year","resident_district","event_district","discipline","race_code","contractor","sponsored_project","type_of_contract","award","city_facility","total_audience"
"2017",,"1","Music","Hispanic/Latino","Easter Seals Central Texas, Inc.",,"Core Funding","28400","1,900",
"2017",,"8","Music","White","Ensemble VIII",,"Core Funding","26000","870",
"2017",,"3","Dance",,"Esquina Tango Cultural Society of Ausitn",,"Core Funding","4500","490",
"2017",,"7","Music","White","Fast Forward Austin",,"Core Funding","5624","86",
"2017",,"9","Media Arts","White","Film Society of Austin, Inc (dba Austin Film Society)","Anne Lewis","Core Funding","13375","235",
"2017",,"9","Media Arts","Hispanic/Latino","Film Society of Austin, Inc (dba Austin Film Society)","Chelsea Hernandez","Core Funding","9100","15",
"2017",,"9","Media Arts","White","Film Society of Austin, Inc (dba Austin Film Society)","John Moore","Core Funding","7300","139",
"2017",,"9","Media Arts","Hispanic/Latino","Film Society of Austin, Inc (dba Austin Film Society)","Juan Pablo González","Core Funding","3094","24",
"2017",,"9","Media Arts","White","Film Society of Austin, Inc (dba Austin Film Society)","Karen Kocher","Core Funding","17400","270",
"2017",,"9","Media Arts","White","Film Society of Austin, Inc (dba Austin Film Society)","Karen Skloss","Core Funding","15775","250",
"2017",,"9","Media Arts","White","Film Society of Austin, Inc (dba Austin Film Society)","Keith Maitland","Core Funding","8200","0",
"2017",,"9","Media Arts",,"Film Society of Austin, Inc (dba Austin Film Society)","Michel Orion Scott","Core Funding","5781","16",
"2017",,"9","Media Arts","Native (unspecified)","Film Society of Austin, Inc (dba Austin Film Society)","PJ Raval","Core Funding","8800","55",
"2017",,"9","Media Arts","White","Film Society of Austin, Inc (dba Austin Film Society)","Sandra Adair","Core Funding","7600","253",
"2017",,"9","Media Arts",,"Film Society of Austin, Inc (dba Austin Film Society)","Susanne Mason","Core Funding","7900","41",
"2017",,"9","Media Arts",,"Film Society of Austin, Inc (dba Austin Film Society)","Tracy Frazier","Core Funding","1183",,
"2017",,"9","Media Arts",,"Film Society of Austin, Inc (dba Austin Film Society)",,"Core Funding","210000","34,205",
"2017",,"3","Visual Art","White","Fisterra Projects",,"Core Funding","9585","5,996",
"2017",,"10","Visual Art","White","Fluent Collaborative","Elizabeth Chiles","Core Funding","11166","3,500",
"2017",,"1","Dance","Hispanic/Latino","Folklore y Ritmos de Panama",,"Core Funding","6733","520",
"2017",,"3","Music","White","Fuse Box Austin","Andrew Brown (Exploded Drawing)","Core Funding","18700","2,500",
"2017",,"3","Multidisciplinary","White","Fuse Box Austin",,"Core Funding","107400","10,297",
"2017",,"3","Visual Art","White","Generous Art","Generous Art","Core Funding","12288","166",
"2017",,"9","Theatre","White","Gilbert & Sullivan Society of Austin, Inc.",,"Core Funding","25500","3,113",
"2017",,"9","Music","White","Girls Rock Austin",,"Core Funding","17950","100",
"2017",,"1","Music","White","Golden Hornet Project, Inc",,"Core Funding","14035","400",
"2017",,"9","Multidisciplinary","Native (unspecified)","Great Promise for American Indians",,"Core Funding","89579","35,000",
"2017",,"3","Theatre","White","Ground Floor Theatre",,"Core Funding","3000","228",
"2017",,"9","Music","White","Groundwork Music Project",,"Core Funding","25500","2,475",
"2017",,"2","Music","Hispanic/Latino","Hispanic Alliance for the Performing Arts",,"Core Funding","62000","1,327",
"2017",,"7","Music","White","HONK!TX",,"Core Funding","17252","10,620",
"2017",,"9","Visual Art",,"HOPE Events Inc.",,"Core Funding","71000","200,000",
"2017",,"9","Theatre","White","Hyde Park Theatre","Capital T Theatre","Core Funding","25950","2,561",
"2017",,"9","Theatre","White","Hyde Park Theatre",,"Core Funding","74600","17,600",
"2017",,"1","Visual Art",,"Imagine Art",,"Core Funding","97000","4,800",
"2017",,"10","Multidisciplinary","Asian","India Fine Arts, Inc",,"Core Funding","50602","5,500",
"2017",,"10","Multidisciplinary","Asian","Indian Classical Music Circle of Austin (ICMCA)",,"Core Funding","27300","7,000",
"2017",,"10","Media Arts","Asian","Indie Meme","MOVED TO CI","Core Funding","2813",,
"2017",,"5","Music","White","Inside Out Steelband",,"Core Funding","19083","1,885",
"2017",,"10","Multidisciplinary","White","Jewish Community Association of Austin (AKA Shalom Austin)",,"Core Funding","9100","5,300",
"2017",,"10","Media Arts","White","Jewish Community Association of Austin / Shalom Austin","Austin Jewish Film Festival","Core Funding","8800","1,978",
"2017",,"8","Dance","White","Kathy Dunn Hamrick Dance Company, Inc.",,"Core Funding","20684","800",
"2017",,"1","Theatre",,"kidsActing Foundation",,"Core Funding","32867","3,619",
"2017",,"4","Multidisciplinary",,"Knowbility",,"Core Funding","26800","318",
"2017",,"2","Theatre","White","La Fenice",,"Core Funding","10325","465",
"2017",,"10","Music","White","La Follia Austin Baroque",,"Core Funding","26838","9,480",
"2017",,"9","Multidisciplinary","Hispanic/Latino","La Peña  Latino Arts",,"Core Funding","76998","60,000",
"2017",,"1","Multidisciplinary",,"Lannaya Drum & Dance",,"Core Funding","12527","3,347",
"2017",,"3","Multidisciplinary","Black/African American","Latinas Unidas Por El Arte (LUPE Arte)","Austin Culture Fest 2017","Core Funding","4900","317",
"2017",,"3","Media Arts",,"Latinas Unidas Por El Arte (LUPE Arte)","Cut & Deliver Writers Cram Jam Lab","Core Funding","8500","117",
"2017",,"3","Media Arts","Hispanic/Latino","Latinas Unidas Por El Arte (LUPE Arte)","Daniel Reyes (La Perla Documentary)","Core Funding","7600","60",
"2017",,"3","Multidisciplinary","Hispanic/Latino","Latinas Unidas Por El Arte (LUPE Arte)",,"Core Funding","26992","4,553",
"2017",,"3","Media Arts","Hispanic/Latino","Latinitas",,"Core Funding","69800","1,365",
"2017",,"8","Dance",,"Leap of Joy",,"Core Funding","27957","420",
"2017",,"3","Music","White","line upon line percussion",,"Core Funding","20327","621",
"2017",,"4","Theatre","White","LOLA Local Opera Local Artists","LOLA projects 2017","Core Funding","7600","247",
"2017",,"9","Theatre",,"Long Center for the Performing Arts",,"Core Funding","195500","102,099",
"2017",,"3","Visual Art",,"MASS Gallery",,"Core Funding","13377","2,735",
"2017",,"3","Music","Hispanic/Latino","Mexic-Arte Museum","Austin Conjunto Festival","Core Funding","18700","6,000",
"2017",,"9","Visual Art","Hispanic/Latino","Mexic-Arte Museum",,"Core Funding","182200","61,100",
"2017",,"10","Multidisciplinary","White","MINDPOP",,"Core Funding","7900","443",
"2017",,"9","Media Arts","White","Moving Image Arts & Education",,"Core Funding","26093","298",
"2017",,"9","Music","White","Musical Connections","Nina McIntire - Ivory Fantasy","Core Funding","6700","255",
"2017",,"9","Music","White","Musical Connections","Sarkis Petrosyan","Core Funding","6100","100",
"2017",,"9","Music","White","Musical Connections",,"Core Funding","35863","300",
"2017",,"10","Music","White","New School of Music",,"Core Funding","9700","300",
"2017",,,"Music","White","One World","Austin Troubadours","Core Funding","8734","1,150",
"2017",,,"Music",,"One World","Mohammad Firoozi","Core Funding","19025","4,200",
"2017",,,"Music","White","One World","Nada Stearns","Core Funding","17075","2,400",
"2017",,,"Music","Asian","One World","Oliver Rajamani fy17 shows","Core Funding","19025","1,500",
"2017",,"9","Music","White","One World","Sergey Vashchenko","Core Funding","13175","5,000",
"2017",,,"Multidisciplinary",,"One World","Sevylla del Mazo (Roots & Rhythms)","Core Funding","12118","452",
"2017",,,"Dance","Asian","One World","The Love of China AKA Emily Dedear","Core Funding","18050","4,500",
"2017",,,"Music","White","One World",,"Core Funding","195500","33,000",
"2017",,"3","Theatre",,"Out Of Bounds Comedy Festival",,"Core Funding","32086","3,846",
"2017",,"9","Multidisciplinary",,"OUTsider Film & Arts Festival",,"Core Funding","18267","1,258",
"2017",,"9","Visual Art","White","Pastelegram","Returned funds","Core Funding","5112",,
"2017",,"1","Theatre",,"Pollyanna Theatre Company",,"Core Funding","49549","9,950",
"2017",,"9","Multidisciplinary",,"Protos Festival (FFS by ACA and CWTW)",,"Core Funding","17400","495",
"2017",,"3","Dance","Hispanic/Latino","Puerto Rican Folkloric Dance, Inc.",,"Core Funding","52358","2,700",
"2017",,"3","Visual Art",,"Pump Project aka Shady Tree Studios",,"Core Funding","68281","8,500",
"2017",,"3","Multidisciplinary","Hispanic/Latino","Red Salmon Arts","Daniel Llanes - Earth, Sky, and You 17","Core Funding","12850","3,000",
"2017",,"3","Literature","Hispanic/Latino","Red Salmon Arts",,"Core Funding","20038","479",
"2017",,"5","Music","White","Ritenuto Foundation Inc.",,"Core Funding","7900","150",
"2017",,"10","Music","White","River City Pops, Inc.",,"Core Funding","17750","1,500",
"2017",,"1","Dance","Hispanic/Latino","Roy Lozano's Ballet Folklorico de Texas",,"Core Funding","53772","25,000",
"2017",,"3","Theatre","White","Rude Mechanicals - A Theatre Collective (aka Rude Mechs)",,"Core Funding","102200","15,000",
"2017",,"9","Music","White","Russian Speakers Society of Austin",,"Core Funding","18200","460",
"2017",,"7","Music","White","Salon Concerts, Inc.",,"Core Funding","26850","1,000",
"2017",,"1","Music","White","Salvage Vanguard Theater","Church of the Friendly Ghost","Core Funding","30000","2,000",
"2017",,"9","Theatre",,"Salvage Vanguard Theater","Heckle Her","Core Funding","3095","356",
"2017",,"1","Theatre","White","Salvage Vanguard Theater","Trouble Puppet Theater TPT","Core Funding","23000","672",
"2017",,"1","Theatre","White","Salvage Vanguard Theater",,"Core Funding","91853","1,464",
"2017",,"9","Multidisciplinary","White","Save Barton Creek Association","Mother Earth & Lady Bird Lake Fest's","Core Funding","11100","599",
"2017",,"6","Multidisciplinary","Asian","School of Indian Percussion and Music","SIPM Cultural and Educational Showcase","Core Funding","14400","415",
"2017",,"5","Visual Art","White","South Austin Museum of Popular Culture",,"Core Funding","23000","50,000",
"2017",,"3","Multidisciplinary","Hispanic/Latino","Southwest Key Programs, Inc.","Latino Arts Preservation Project","Core Funding","15000","389",
"2017",,,"Multidisciplinary","Black/African American","Srv2Thrv Foundation",,"Core Funding","4452","400",
"2017",,"9","Music","White","Tapestry Singers",,"Core Funding","10050","1,210",
"2017",,"9","Theatre","Hispanic/Latino","Teatro Vivo",,"Core Funding","25620","2,450",
"2017",,"3","Music","Hispanic/Latino","Tejano Music Alliance of Texas",,"Core Funding","6400","400",
"2017",,"4","Multidisciplinary",,"Texas Accountants and Lawyers for the Arts",,"Core Funding","28200","522",
"2017",,"10","Music","White","Texas Choral Consort",,"Core Funding","48689",,
"2017",,"9","Music","White","Texas Early Music Project",,"Core Funding","51814","2,179",
"2017",,"1","Media Arts","White","Texas Education Broadcasting Co-Operative, Inc.",,"Core Funding","28400","50,000",
"2017",,"7","Media Arts","White","Texas Folklife","Andrew Garrison","Core Funding","18050","72",
"2017",,"7","Multidisciplinary",,"Texas Folklife",,"Core Funding","99600","10,105",
"2017",,"1","Multidisciplinary","White","Texas Music Museum",,"Core Funding","11200","4,000",
"2017",,"6","Literature","White","Texas Nafas",,"Core Funding","11000","300,000",
"2017",,"7","Visual Art","White","The Arc of the Capital Area",,"Core Funding","29600","1,510",
"2017",,"10","Visual Art","White","The Contemporary Austin",,"Core Funding","207100","54,735",
"2017",,,"Theatre","White","The Hidden Room Theatre",,"Core Funding","8559","1,595",
"2017",,"9","Literature","White","The Texas Observer (aka Texas Democracy Foundation)",,"Core Funding","29600","912",
"2017",,"1","Multidisciplinary","White","Theatre Action Project DBA Creative Action",,"Core Funding","210000","22,482",
"2017",,"10","Theatre","White","TILT",,"Core Funding","8226","474",
"2017",,"9","Visual Art","White","Travis Heights Art Trail",,"Core Funding","1000","500",
"2017",,"5","Visual Art","White","UMLAUF Sculpture Garden & Museum",,"Core Funding","107400","41,950",
"2017",,"3","Multidisciplinary","Hispanic/Latino","Unlisted Projects",,"Core Funding","8200","1,000",
"2017",,"3","Dance",,"Violet Crown Players","Diverse Dance","Core Funding","7813","217",
"2017",,"5","Music","White","Visions in Rhythm dba Tapestry Dance Company","Minor Mishap Marching Band","Core Funding","9400","1,049",
"2017",,"8","Dance","White","Visions in Rhythm dba Tapestry Dance Company",,"Core Funding","185000","30,766",
"2017",,"1","Multidisciplinary",,"VORTEX Repertory Company","Electronic Planet Ensemble","Core Funding","15237","1,280",
"2017",,"1","Music","Hispanic/Latino","VORTEX Repertory Company","Epistrophy Arts","Core Funding","18050","1,600",
"2017",,"1","Multidisciplinary",,"VORTEX Repertory Company","Ethos","Core Funding","18050","1,143",
"2017",,"1","Theatre",,"VORTEX Repertory Company","Gale Theatre Company","Core Funding","8429","750",
"2017",,"1","Music","White","VORTEX Repertory Company","Ingebrigt Haker Flaten","Core Funding","17725","395",
"2017",,"1","Theatre","White","VORTEX Repertory Company","Lorella Loftus","Core Funding","14799","441",
"2017",,"1","Theatre","White","VORTEX Repertory Company","Tyler Mabry","Core Funding","3594","111",
"2017",,"1","Theatre",,"VORTEX Repertory Company",,"Core Funding","179400","35,000",
"2017",,"9","Music","White","VSA arts of Texas","AllRhythms Youth Ensemble","Core Funding","8500","724",
"2017",,"9","Dance","Hispanic/Latino","VSA arts of Texas","Sharon Marroquin","Core Funding","9100","307",
"2017",,"9","Multidisciplinary","White","VSA arts of Texas",,"Core Funding","104800","14,126",
"2017",,"1","Music","Black/African American","Women in Jazz Association, Inc.",,"Core Funding","28200","1,025",
"2017",,"9","Visual Art",,"Women's Community Center of Central Texas",,"Core Funding","10000","179",
"2017",,"9","Literature","White","Writers' League of Texas","Claiming Space, Making Space: Healing Through Art","Core Funding","87400","11,859",
"2017",,"5","Theatre","White","ZACH Theatre",,"Core Funding","210000","125,659",
"2017",,"8","Theatre","White","Zilker Theatre Productions",,"Core Funding","99600","50,000",
