"the_geom","objectid","ancillaryrole","enabled","drainage_id","jtx_jobid","rotation","comments","date_built","year_built","year_source","year_abandoned","created_by","created_date","modified_by","modified_date","checked_by","watershed","map_index","mapsco","place_id","ownership","maintenance","dimen_source","elev_source","location_source","gps_x","gps_y","gps_source","gps_quality","top_elevation","surface_elevation","at_grade","material","sump","curb_op","height","depressed","depression_a","st_length","st_width","width","inlet_loc","depth_to_bottom","manhole","inlet_type","marked","globalid","edit_status","fme_date","status","observation","modeled","collected_by","last_date_visited","measured_by","photolink","gutter_break","gps_pdop","gps_satqual","marked_date","catch_basket","gps_date","gps_time","unit","dem_calculated_sump","maximo_asset_number","maximo_site_id"
"POINT (-97.744786283229 30.272662986176)","4940989","0","1","63723","2109330","18","No field evidence.","1928-08-17T00:00:00.000Z","1928","PLANNOEL",,"DLEWIS","2009-04-23T00:00:00.000Z","MAMARAL","2019-07-03T14:02:34.000Z","GDELANO","SHL","J22","585S","5425215","CITY","CITY","NO_SOURCE","NO_SOURCE","SSM",,,"NOGPS","NOGPS",,"537.79998779","N","NODATA",,,,"N",,,,,"NODATA",,"NODATA","NODATA","NODATA","27cf9090-9c99-4755-acd5-7b9820dfc7b0","ENTERED","2022-03-08T21:02:51.000Z","REMOVED","0","N",,,,,,,,,"0",,,,,,
"POINT (-97.826256051986 30.230081374985)","4972058","0","1","1778583","1965667","300",,"2015-04-23T00:00:00.000Z","2015","APPLANEL",,"DWARDEN","2018-06-22T18:09:06.000Z","DWARDEN","2018-06-22T19:06:20.000Z","SJOHNSON","WMS","E19","613W","159086","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","NODATA",,,,"N",,"60",,,"NODATA",,"NODATA","NODATA","NODATA","b3f91c51-ac89-4d66-b497-d7ae65660dda","ENTERED","2022-02-08T14:52:55.000Z","ACTIVE","0",,,,,,,,,,"0",,,,,,
"POINT (-97.66842728747 30.389844657598)","4960528","0","1","1024336","1205971","186",,"2011-11-10T00:00:00.000Z","2011","ASBLTEL",,"VVINCENT","2015-11-19T16:03:15.000Z","CGORE","2016-01-11T11:09:02.000Z","CGORE","WLN","M32","496M","3502272","CITY","CITY","ASBLTEL","ASBLTEL","ASBLTEL",,,"NOGPS","NOGPS","629.65997314","633.40002441","N","NODATA","625.25",,,"N",,"120",,,"NODATA",,"PRESENT","NODATA","NODATA","1b45090e-8287-427d-93b5-d1e3e46496ae","ENTERED","2022-03-08T21:02:52.000Z","ACTIVE","0",,,,,,,,,,"0",,,,,,
"POINT (-97.754326458393 30.498766457949)","4964970","0","1","1788466","1968885","250",,"2015-09-08T00:00:00.000Z","2015","APPLANEL",,"MMARKOWSKI","2018-06-29T16:25:49.000Z","SJOHNSON","2018-08-02T18:02:22.000Z","SJOHNSON","SBR","H42","404H","5253324","CITY","CITY","APPLANEL","APPLANEL","APPLANEL",,,"NOGPS","NOGPS","888.11999512","888.66998291","N","NODATA","883.95001221",,,"N",,"120",,,"NODATA",,"PRESENT","NODATA","NODATA","3a099cb5-a6ad-419e-b766-60d69bcfac10","ENTERED","2022-03-08T21:02:54.000Z","ACTIVE","0",,,,,,,,,,"0",,,,,,
"POINT (-97.785061769744 30.305764850599)","4967983","0","1","218845","939410","242",,"1985-02-04T00:00:00.000Z","1985","APPLANEL",,"MBRANNAN","2010-01-01T00:00:00.000Z","PCAMPMAN","2015-03-20T15:38:03.000Z","LPUGH","LKA","G25","554S","136691","OTHER","OTHER","APPLANEL","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"543.34997559","N","NODATA","539.25",,,"N",,"120",,,"NODATA",,"NODATA","NODATA","NODATA","3216ff6e-c7f2-4b82-b390-cd0e3e2676c6","ENTERED","2022-02-08T14:52:49.000Z","ACTIVE","0","N",,,,,,,,,"0",,,,,,
"POINT (-97.888594942277 30.188758710583)","4938324","0","1","198759","626152","185",,"1988-11-29T00:00:00.000Z","1988","APPLANEL",,"NPULLIAS","2013-06-03T16:02:05.000Z","NPULLIAS","2013-06-05T08:58:29.000Z","DDAVIS","SLA","B15","671C","111403","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3068935.7194","10040873.4156","DIG08","SUB-M","876.95001221","876.34997559","N","CONCRETE","872.79998779","122","7","T","6","120","31","36","GRADE","49","PRESENT","G1R","MARKED","06e48a2e-1104-409b-b735-cfafc16bb56e","ENTERED","2022-02-08T14:52:51.000Z","ACTIVE","2","N","JENNIFER WOERTZ",,,"03042009_2_006.jpg","19",,,,"0",,,,,"1098394","WPD"
"POINT (-97.718945569432 30.366574946702)","4964320","0","1","528698","698455","168",,"1994-06-28T00:00:00.000Z","1994","ASBLTEL",,"GDELANO","2013-08-15T11:07:37.000Z","GDELANO","2013-08-15T11:14:11.000Z","SBURZYNSKI","LWA","K30","525D","126478","CITY","CITY","ASBLTEL","ASBLTEL","ASBLTEL",,,"NOGPS","NOGPS","750.5300293","750.70001221","N","CONCRETE","746.7199707",,,"N",,"120",,,"NODATA",,"PRESENT","NODATA","NODATA","b0690b51-e090-490e-a558-1f24aa499446","ENTERED","2022-03-08T21:02:53.000Z","ACTIVE","0","N",,,,,,,,,"0",,,,,,
"POINT (-97.791776306078 30.494204845296)","4939095","0","1","188589","1556370","165",,"2003-06-25T00:00:00.000Z","2003","ASBLTEL",,"MMCDONALD","2016-10-25T14:16:41.000Z","MMCDONALD","2016-10-26T12:11:09.000Z","DWARDEN","SBR","G41","404J","3079472","CITY","CITY","PHYS_INSP","ASBLTEL","GPS","3096979.9375","10152617.2325","DIG08","SUB-M","905.53997803","905.46002197","N","CONCRETE","901.53997803","120","7","T","6","120","31","19","GRADE","52","PRESENT","G1","GOOD","4ee8d2b4-0c00-4603-8066-2585428921c2","ENTERED","2022-02-08T14:52:54.000Z","ACTIVE","2",,"HEATHER DAVIS",,,"10152008_2_023.jpg","0",,,"2018-03-15T00:00:00.000Z","0",,,,,"1088624","WPD"
"POINT (-97.849216534797 30.197379026371)","4951983","0","1","194900","657854","204",,"1986-02-20T00:00:00.000Z","1986","APPLANEL",,"ARESOVSKY","2013-07-02T14:38:15.000Z","PCAMPMAN","2017-04-21T11:09:16.000Z","RODAVILA","WMS","D16","642Y","339682","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3081297.475","10044287.6106","DIG08","SUB-M","803.10998535","803.34002686","N","CONCRETE","799.10998535","197","7","T","5","199","44","34","GRADE","41","PRESENT","G1R","NOTMARKED","a8ef6428-1f62-4107-8485-fc6f943e3493","ENTERED","2022-02-08T14:52:51.000Z","ACTIVE","2","N","JENNIFER WOERTZ",,,"01072009_4_040.jpg","17",,,,"0",,,,,"1096785","WPD"
"POINT (-97.680487504754 30.334157637113)","4949951","0","1","74227","129615","349",,"1981-02-05T00:00:00.000Z","1981","APPLANEL",,"SBURZYNSKI","2010-11-08T00:00:00.000Z","SBURZYNSKI","2010-11-08T00:00:00.000Z","SJOHNSON","LWA","M28","526Y","753657","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3133410.1145","10095246.355","DIG07","SUB-M","599.76000977","599","N","CONCRETE","595.20001221","121","7","T","6","120","32","22","GRADE","50","PRESENT","G1R","GOOD","22e18956-6b41-4ec5-b44e-6a6fc701d8e4","ENTERED","2022-02-08T14:52:49.000Z","ACTIVE","2","N","DLEWIS","2008-10-27T00:00:00.000Z",,"06212007_2_037.jpg","14",,,"2016-02-15T00:00:00.000Z","0",,,,,"1075282","WPD"
"POINT (-97.729764669753 30.278439444078)","4975703","0","1","44786","856211","345",,,,"NO_SOURCE","1976","DDAVIS","2007-10-22T00:00:00.000Z","TBARRINGTON","2014-04-21T15:43:39.000Z","SJOHNSON","WLR","J23","585P","3095185","OTHER","TXDOT","ESM","NO_SOURCE","ESM",,,"NOGPS","NOGPS",,,"N","NODATA",,,,"N",,"60",,,"NODATA",,"NODATA","NODATA","NODATA","84b1748d-0acf-4903-b176-a60e2ff7a709","ENTERED","2022-02-08T14:52:55.000Z","REMOVED","0","N",,,,,,,,,"0",,,,,,
"POINT (-97.686279296477 30.32611771612)","4977697","0","1","74023",,,,,,"NO_SOURCE",,"RMOELLMER","2008-10-15T00:00:00.000Z","PCAMPMAN","2018-03-07T09:52:41.000Z","J.T. STEWART","LWA","M27","556G","731176","OTHER","OTHER","PHYS_INSP","DEM","GPS_AERIAL","3131643.3462","10092269.089","DIG07","SUB-M",,"631.89001465","N","CONCRETE","625.30999756","130","6","F","0","122","24","18","SAG","79","PRESENT","S1","NOTMARKED","0d99cd0b-d744-4345-a0d4-af256e31a452","ENTERED","2022-02-08T14:52:55.000Z","ACTIVE","2","N",,,,"06112007_2_008.jpg","0",,,,"0",,,,,"1075072","WPD"
"POINT (-97.771388269334 30.233540394651)","4965599","0","1","78098","2218787","297",,,,"NO_SOURCE","2012","RPARKER","2007-08-02T00:00:00.000Z","MAMARAL","2021-03-10T11:59:20.000Z","DDAVIS","WBO","G19","614T","826046","CITY","CITY","PHYS_INSP","DEM","GPS_AERIAL","3105564.0912","10058009.507","DIG07","SUB-M",,"597.88000488","N","CONCRETE","593.71002197","129","6","T","6","120","24","18","GRADE","50","COVERED","G1","NOTMARKED","d4c6b6e5-b6e6-490f-bf9e-d71515b5df23","ENTERED","2022-02-08T14:52:48.000Z","REMOVED","2","N","LPUGH","2008-10-27T00:00:00.000Z",,"07182007_4_023.jpg","0",,,,"0",,,,,"1079536","WPD"
"POINT (-97.648858189834 30.399212044777)","4959529","0","1","190623","740744","270",,"1997-01-08T00:00:00.000Z","1997","ASBLTEL",,"MPACHECO","2013-10-17T16:25:13.000Z","MPACHECO","2013-10-22T16:21:02.000Z","DDAVIS","HRS","N33","497B","208602","CITY","CITY","PHYS_INSP","ASBLTEL","GPS","3142813.2163","10119136.8581","DIG08","SUB-M",,"700.89001465","N","CONCRETE","697.04998779","127","6","T","5","122","45","18","GRADE","38","PRESENT","G1","MARKED","216c2e2f-40fa-4d1d-9a80-07a5ed68a356","ENTERED","2022-02-08T14:52:51.000Z","ACTIVE","2","N","JULIA PRESAS",,,"11062008_4_030.jpg","0",,,,"0",,,,,"1096004","WPD"
"POINT (-97.729095261435 30.262323536466)","4940671","0","1","774188","1077026","106",,"1993-05-27T00:00:00.000Z","1993","APPLANEL",,"JHOLDER","2011-05-31T16:37:17.000Z","DDAVIS","2015-04-07T09:34:59.000Z","DDAVIS","LBL","K22","585Y","5107505","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3118695.7151","10068776.6366","FIELD","SUB-M",,"466.23999023","N","CONCRETE","460.3999939","48","4","F","0","48","48","17","SAG","56","PRESENT","S4","GOOD","cbc0c112-c085-477b-bbf0-1a98713fe301","ENTERED","2022-02-08T14:52:50.000Z","ACTIVE","2","N","SBURZYNSKI","2014-07-29T11:49:17.000Z","DDAVIS","07292014_5_600.jpg","17","2.3","1","2014-10-15T00:00:00.000Z","0","2014-07-29T11:49:18.000Z","11:49:18 AM","5",,"401347466","WPD"
"POINT (-97.756315839128 30.15413601177)","4946925","0","1","1950011","2168530","355",,"2018-06-12T00:00:00.000Z","2018","APPLANEL",,"KGALLUSCIO","2020-04-24T14:13:37.000Z","KGALLUSCIO","2020-05-01T13:05:35.000Z","GDELANO","ONI","H12","704D","5418632","CITY","CITY","APPLANEL","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"581.51000977","N","CONCRETE","576.60998535",,,"N",,"120",,,"NODATA",,"PRESENT","NODATA","NODATA","bf04da58-fcf9-4a4f-a178-59181233ae38","ENTERED","2022-03-08T21:02:51.000Z","ACTIVE","0",,,,,,,,,,"0",,,,,,
"POINT (-97.685884191011 30.420242256222)","4955988","0","1","186160","1311266","91",,"1984-09-18T00:00:00.000Z","1984","APPLANEL",,"MAMARAL","2016-04-07T13:30:56.000Z","MAMARAL","2016-05-03T15:02:40.000Z","DDAVIS","WLN","M35","466L","606082","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3130961.7175","10126503.3931","DIG08","SUB-M","739.53997803","739.77001953","N","CONCRETE","735.22998047","180","7","T","6","172","30","18","GRADE","52","PRESENT","G1","GOOD","d39cee4d-0fa9-4f69-b93e-db0b1734b18d","ENTERED","2022-02-08T14:52:54.000Z","ACTIVE","2",,"JESSE MARTINEZ",,,"09082008_4_018.jpg","0",,,"2017-09-15T00:00:00.000Z","0",,,,,"1087176","WPD"
"POINT (-97.683031925213 30.261718631532)","4965872","0","1","468729","1778162","333",,"1988-12-01T00:00:00.000Z","1988","ASBLTEL",,"TBARRINGTON","2013-02-19T14:35:23.000Z","PSTARKEL","2017-09-12T07:39:17.000Z","SBURZYNSKI","BOG","M21","616C","236844","CITY","CITY","ASBLTEL","ASBLTEL","ASBLTEL",,,"NOGPS","NOGPS","439.5","440.6000061","N","NODATA","433.5",,,"N",,"56","56",,"NODATA",,"PRESENT","S4","NODATA","8e1e3022-8a39-4b7e-bb26-2dc905695209","ENTERED","2022-03-08T21:02:54.000Z","ACTIVE","0","N",,,,,,,,,"0",,,,,,
"POINT (-97.729818689871 30.197708279329)","4960588","0","1","194650","368652","89",,"2003-09-18T00:00:00.000Z","2003","ASBLTEL",,"RODAVILA","2012-05-30T13:27:53.000Z","RODAVILA","2012-07-02T13:59:30.000Z","SJOHNSON","WMS","J16","645T","3133183","CITY","CITY","PHYS_INSP","ASBLTEL","GPS","3119011.7831","10045265.5894","DIG08","SUB-M","584.08001709","583.17999268","N","CONCRETE","580.08001709","122","6","T","6","120","32","17","GRADE","49","PRESENT","G1","GOOD","2ff3a421-0705-4a34-a0df-c3b83edca023","ENTERED","2022-02-08T14:52:50.000Z","ACTIVE","2","N","EZIO AMBROSETTI",,,"01062009_2_039.jpg","0",,,"2012-04-15T00:00:00.000Z","0",,,,,"1103346","WPD"
"POINT (-97.886309351403 30.16738283161)","4935183","0","1","1015033","1917666","245",,"2015-08-26T00:00:00.000Z","2015","APPLANEL",,"DREYESLARRIVA","2015-10-21T16:56:23.000Z","JAMARTINEZ","2018-04-18T10:59:31.000Z","ACOLEMAN","SLA","B13","671U","5113241","CITY","CITY","APPLANEL","APPLANEL","APPLANEL",,,"NOGPS","NOGPS","842.67999268","843.66998291","N","CONCRETE","838.5300293",,,"N",,"120",,,"NODATA",,"PRESENT","NODATA","NODATA","6c1ab98e-afb4-417a-9834-b4313c7867b7","ENTERED","2022-03-08T21:02:50.000Z","ACTIVE","0",,,,,,,,,,"0",,,,,,
"POINT (-97.768757871501 30.216778305852)","4967212","0","1","2095884","2207267","300",,"2018-10-18T00:00:00.000Z","2018","APPLANEL",,"JBALDERAS","2020-12-18T16:12:45.000Z","JBALDERAS","2020-12-28T13:11:10.000Z",,"WMS","H18","644G","795140","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","NODATA",,,,"N",,"120",,,"NODATA",,"NODATA","NODATA","NODATA","4324a1a4-481a-481f-93ba-bbac21c01470","ENTERED","2022-02-08T14:52:55.000Z","ACTIVE","0",,,,,,,,,,"0",,,,,,
"POINT (-97.754126643074 30.252087834127)","4940618","0","1","101037","380400","121",,,,"NO_SOURCE",,"CARMIJO","2012-06-01T07:56:07.000Z","DDAVIS","2015-01-22T08:16:10.000Z",,"EBO","H21","614H","219152","CITY","CITY","PHYS_INSP","DEM","GPS","3110875.9958","10064858.775","DIG06","SUB-M",,"490.42001343","N","CONCRETE","488.42001343","128","6","T","5","121","24","17","SAG","24","PRESENT","S1","GOOD","2d2bbcbc-8ea0-491d-9c55-f95fd455e94c","ENTERED","2022-02-08T14:52:50.000Z","ACTIVE","2","N",,"2006-05-22T00:00:00.000Z",,"A_052206_0065.jpg","0",,,"2016-11-15T00:00:00.000Z","0",,,,,"1085532","WPD"
"POINT (-97.616602186319 30.404060262882)","4966249","0","1","2095629","2206627","209",,"2019-10-21T00:00:00.000Z","2019","APPLANEL",,"GLOCKWOOD","2020-12-16T18:14:23.000Z","GLOCKWOOD","2020-12-25T14:24:54.000Z",,"GIL","Q34","468W","5767844","CITY","CITY","APPLANEL","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"665.40002441","N","CONCRETE","659.80999756",,,"N",,"120",,,"NODATA",,"PRESENT","NODATA","NODATA","d98cd439-ad2c-43c5-90b4-97b8409f83fc","ENTERED","2022-03-08T21:02:54.000Z","ACTIVE","0",,,,,,,,,,"0",,,,,,
"POINT (-97.848513219074 30.390832638825)","4971297","0","1","1100961","1368210","59",,"2007-08-27T00:00:00.000Z","2007","APPLANEL",,"VVINCENT","2016-05-13T08:52:01.000Z","VVINCENT","2016-05-13T08:58:53.000Z",,"PAN","D32","492L","424564","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","NODATA",,,,"N",,"120",,,"NODATA",,"NODATA","NODATA","NODATA","aaf85799-9c78-4423-b849-a171c809ea57","ENTERED","2022-02-08T14:52:55.000Z","ACTIVE","0",,,,,,,,,,"0",,,,,,
"POINT (-97.845597498758 30.155018616048)","4951532","0","1","198344","1263250","90",,"2006-10-31T00:00:00.000Z","2006","ASBLTEL",,"VVINCENT","2016-02-26T10:29:04.000Z","VVINCENT","2016-03-14T14:14:08.000Z","SJOHNSON","SLA","D12","702C","5292907","CITY","CITY","PHYS_INSP","ASBLTEL","GPS","3082797.6475","10028911.6569","DIG08","SUB-M","761.92999268","761.96002197","N","CONCRETE","757.92999268","127","6","T","5","119","42","18","GRADE","43","PRESENT","G1","NOTMARKED","4aa9e7e4-2552-4ea9-9ff4-0be81df82bdf","ENTERED","2022-02-08T14:52:54.000Z","ACTIVE","2",,"JENNIFER WOERTZ",,,"02252009_1_060.jpg","0",,,,"0",,,,,"1101311","WPD"
"POINT (-97.742878019696 30.280810520012)","4963823","0","1","2115965","2186162","14",,"2019-08-01T00:00:00.000Z","2019","APPLANEL",,"DWARDEN","2021-04-07T18:36:56.000Z","KGALLUSCIO","2021-04-09T14:49:35.000Z",,"SHL","J23","585J","5115759","CITY","CITY","APPLANEL","APPLANEL","APPLANEL",,,"NOGPS","NOGPS","538.70001221","538.65002441","N","CONCRETE","533.01000977",,,"N",,"120",,,"NODATA",,"PRESENT","NODATA","NODATA","fa7997e9-8225-4063-b3bf-ffee6b4ed87c","ENTERED","2022-03-08T21:02:53.000Z","ACTIVE","0",,,,,,,,,,"0",,,,,,
"POINT (-97.755907117262 30.267174732402)","4946448","0","1","64964","815333","108",,"1958-09-25T00:00:00.000Z","1958","APPLANEL","2003","RPARKER","2007-12-14T00:00:00.000Z","MLEACH","2014-02-17T12:14:31.000Z","SBURZYNSKI","TWN","H22","584Z","3371832","CITY","CITY","APPLANEL","APPLANEL","CROSS_SEC",,,"NOGPS","NOGPS",,"453.89001465","N","CONCRETE","451.83999634",,,"N",,"60",,,"NODATA",,"PRESENT","NODATA","NODATA","57ecf168-5e79-4f09-b7f9-52cfd78d910d","ENTERED","2022-03-08T21:02:51.000Z","REMOVED","0","N",,,,,,,,,"0",,,,,,
"POINT (-97.727803215594 30.290439150022)","4955731","0","1","37750","19389","298","No field evidence",,,"NO_SOURCE",,"RODAVILA","2008-12-17T00:00:00.000Z","PCAMPMAN","2014-02-14T14:36:39.000Z","DDAVIS","WLR","K24","585G","163106","CITY","CITY","NO_SOURCE","NO_SOURCE","ESM",,,"NOGPS","NOGPS",,"568.29998779","N","NODATA",,,,"N",,,,,"NODATA",,"NODATA","NODATA","NODATA","44c319fd-a0f4-4a18-bed9-8973e720ae77","ENTERED","2022-03-08T21:02:52.000Z","REMOVED","0","N",,,,,,,,,"0",,,,,,
"POINT (-97.766485626438 30.308239917567)","4967327","0","1","82200","1672866","260",,,,"NO_SOURCE",,"DDAVIS","2007-09-21T00:00:00.000Z","DWARDEN","2022-01-05T08:37:54.000Z","GDELANO","TYS","H25","554U","695912","CITY","CITY","PHYS_INSP","DEM","GPS","3106501.1819","10085190.339","DIG07","SUB-M",,"555.02001953","N","CONCRETE","552.59997559","68","5","T","5","60","25","18","GRADE","29","COVERED","G1","GOOD","8b004de3-2ea0-4d8f-a651-b9a63cc05663","ENTERED","2022-02-08T14:52:48.000Z","ACTIVE","2","N","DLEWIS","2008-10-13T00:00:00.000Z",,"08152007_4_063.jpg","0",,,"2021-10-15T00:00:00.000Z","0",,,,,"1083269","WPD"
"POINT (-97.742289443022 30.268842297443)","4934716","0","1","59856","908066","16",,,"1953","SSM","1982","DLEWIS","2009-04-24T00:00:00.000Z","SBURZYNSKI","2014-07-18T09:47:45.000Z","DDAVIS","LBL","J22","585S","3554393","CITY","CITY","NO_SOURCE","NO_SOURCE","SSM",,,"NOGPS","NOGPS",,"496","N","NODATA",,,,"N",,,,,"NODATA",,"NODATA","NODATA","NODATA","419fcd33-b193-4355-b9d1-e2c5be502c74","ENTERED","2022-03-08T21:02:50.000Z","REMOVED","0","N",,,,,,,,,"0",,,,,,
"POINT (-97.750981901255 30.249252152197)","4965960","0","1","2139178","2261970","197",,"2021-02-02T00:00:00.000Z","2021","APPLANEL",,"MAMARAL","2022-01-12T09:30:29.000Z","MAMARAL","2022-01-12T13:11:25.000Z","JAMARTINEZ","EBO","H20","614M","5399157","CITY","CITY","APPLANEL","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"533.90997314","N","CONCRETE","530.52001953",,,"N",,"120",,,"NODATA",,"PRESENT","NODATA","NODATA","91984762-a302-46d6-b4cc-4f0b61047f16","ENTERED","2022-03-08T21:02:54.000Z","UNDERCON","0",,,,,,,,,,"0",,,,,,
"POINT (-97.752437467175 30.335109011901)","4961920","0","1","80284","2062610","303",,"1970-08-10T00:00:00.000Z","1970","APPLANEL",,"MPACHECO","2014-03-04T13:23:36.000Z","MAMARAL","2019-02-08T16:57:39.000Z","DDAVIS","SHL","H28","524Z","3431017","CITY","CITY","PHYS_INSP","APPLANEL","GPS_AERIAL","3110704.8523","10095059.5","DIG07","SUB-M",,"683.39001465","N","CONCRETE","675","121","3","T","2","121","44","18","GRADE","61","PRESENT","G1","GOOD","9354c8fd-8c3b-4190-b0bf-65cedbd91f6c","ENTERED","2022-02-08T14:52:52.000Z","ACTIVE","2","N","SJOHNSON","2008-10-27T00:00:00.000Z",,"08032007_3_001.jpg","0",,,"2015-06-15T00:00:00.000Z","0",,,,,"1082873","WPD"
"POINT (-97.689820743117 30.349709300082)","4961489","0","1","74156","2084051","26","inlet on top of pipe, pipe depth 90""","1973-12-10T00:00:00.000Z","1973","ASBLTEL",,"RODAVILA","2007-11-27T00:00:00.000Z","MAMARAL","2019-04-09T10:48:21.000Z","SJOHNSON","LWA","L29","526P","94804","CITY","CITY","PHYS_INSP","ASBLTEL","GPS_AERIAL","3130329.1795","10100827.158","DIG07","SUB-M","635.15002441","635.63000488","N","CONCRETE","628.28997803","122","6","T","6","120","25","15","GRADE","42","PRESENT","G1","NOTMARKED","43941d2b-f743-4ffb-956a-6a2669a98730","ENTERED","2022-02-08T14:52:49.000Z","ACTIVE","2","N","SJOHNSON","2008-10-23T00:00:00.000Z",,"06142007_1_038.jpg","0",,,,"0",,,,,"1075312","WPD"
"POINT (-97.69944737527 30.275938554382)","4931043","0","1","76136","850131","228","inlet recessed from street but not on curb",,,"NO_SOURCE",,"TBARRINGTON","2014-04-17T12:33:18.000Z","TBARRINGTON","2014-04-17T12:33:38.000Z","GDELANO","BOG","L23","586N","3349945","CITY","CITY","PHYS_INSP","DEM","GPS","3127930.4198","10073935.105","DIG07","SUB-M",,"516.34997559","N","CONCRETE","512.84997559","70","6","F","0","60","26","97","GRADE","42","PRESENT","G1R","NODATA","d8dc3e49-1e63-4a9e-95fd-cc8e2d3d7981","ENTERED","2022-02-08T14:52:52.000Z","ACTIVE","2","N","RMOELLMER","2008-10-31T00:00:00.000Z",,"07092007_1_022.jpg","0",,,,"0",,,,,"1077696","WPD"
"POINT (-97.845444806258 30.374765928654)","4948485","0","1","188906","1708050","228",,"1993-05-03T00:00:00.000Z","1993","APPLANEL",,"REVANS","2015-04-24T13:06:22.000Z","GDELANO","2017-12-21T14:34:20.000Z","CGORE","WBL","D31","492U","1143129","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3081052.7688","10108807.6175","DIG08","SUB-M","1056.51000977","1056.06005859","N","CONCRETE","1052.51000977","121","6","T","6","120","34","18","GRADE","46","PRESENT","G1","NOTMARKED","21c3631c-4e79-4a1f-a011-c8da97523dbd","ENTERED","2022-02-08T14:52:53.000Z","ACTIVE","2",,"EDWARD GALBAVY",,,"10212008_4_038.jpg","0",,,,"0",,,,,"1092309","WPD"
"POINT (-97.619970238115 30.385851281403)","4930587","0","1","2110947","2222323","206",,"2020-07-30T00:00:00.000Z","2020","APPLANEL",,"GLOCKWOOD","2021-03-24T12:17:08.000Z","GLOCKWOOD","2021-03-28T16:04:55.000Z",,"HRS","Q32","498J","5940469","CITY","CITY","APPLANEL","APPLANEL","APPLANEL",,,"NOGPS","NOGPS","638.5","636.21002197","N","CONCRETE","634.5",,,"N",,"120",,,"NODATA",,"PRESENT","NODATA","NODATA","8a656338-ceee-45e2-8f95-bab246d0c95e","ENTERED","2022-03-30T21:07:55.000Z","ACTIVE","0",,,,,,,,,,"0",,,,,,
"POINT (-97.728772629114 30.155119238336)","4931569","0","1","2123152","2230930","28",,"2021-02-02T00:00:00.000Z","2021","APPLANEL",,"GLOCKWOOD","2021-05-21T17:23:00.000Z","GLOCKWOOD","2021-06-03T14:29:00.000Z","JAMARTINEZ","CTM","K12","705C","5794900","CITY","CITY","APPLANEL","APPLANEL","APPLANEL",,,"NOGPS","NOGPS","626.85998535","627.20001221","N","CONCRETE","622.83001709",,,"N",,"120",,,"NODATA",,"PRESENT","NODATA","NODATA","d554b8e6-499d-4ca5-ad64-33f32da0ae69","ENTERED","2022-05-11T05:22:58.000Z","ACTIVE","0",,,,,,,,,,"0",,,,,,
"POINT (-97.69375530235 30.314841942173)","4946964","0","1","79891","408537","123",,"1955-09-27T00:00:00.000Z","1955","SSM",,"RODAVILA","2009-02-09T00:00:00.000Z","CGORE","2012-07-25T10:47:24.000Z","DLEWIS","FOR","L26","556K","774446","CITY","CITY","PHYS_INSP","DEM","GPS_AERIAL","3129394.181","10088131.658","DIG07","SUB-M","620.51000977","620.5300293","N","CONCRETE","617.2800293","120","5","T","5","120","24","16","GRADE","39","PRESENT","G1","GOOD","b05bf26b-c821-4c85-a455-ad2d81cbaab5","ENTERED","2022-02-08T14:52:48.000Z","ACTIVE","2","N","LPUGH","2008-10-09T00:00:00.000Z",,"08022007_4_043.jpg","0",,,"2011-11-15T00:00:00.000Z","0",,,,,"1081410","WPD"
"POINT (-97.787657291816 30.150350193787)","4967081","0","1","199133","2253653","110",,"2005-09-19T00:00:00.000Z","2005","APPLANEL",,"BRASMITH","2015-03-16T09:48:08.000Z","KGALLUSCIO","2021-10-29T14:46:29.000Z","DDAVIS","SLA","G12","704E","3152281","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3101132.0563","10027626.435","DIG08","SUB-M","589.52001953","590.20001221","N","CONCRETE","585.52001953","120","6","T","5","120","32","18","GRADE","37","PRESENT","G1","NOTMARKED","bebf86af-90cc-47c9-a943-8f337e5aeb0f","ENTERED","2022-02-08T14:52:53.000Z","ACTIVE","2",,"BILL BUTLER",,,"03092009_2_039.jpg","0",,,,"0",,,,,"1098249","WPD"
