"term","definition","language"
"Artes, entretenimiento y recreación (71)","Este sector abarca una amplia gama de establecimientos que operan instalaciones o prestan servicios para atender los variados intereses culturales, de entretenimiento y recreativos de sus clientes. Este sector comprende: (1) establecimientos que se ocupan de producir, promover o participar en las presentaciones en vivo, en los eventos o en las exhibiciones abiertas al público; (2) establecimientos que preservan y exhiben objetos y sitios de interés histórico, cultural o educativo, y (3) establecimientos que operan instalaciones o prestan servicios que permiten a sus clientes participar en actividades recreativas o tienen intereses de diversión, pasatiempos y tiempo de esparcimiento.","Español"
"Fabricación de bebidas (3121)","Este grupo industrial consta de los establecimientos que se encargan fundamentalmente de la elaboración de bebidas no alcohólicas y hielo, la purificación y el embotellamiento de agua, y la elaboración de productos de cervecería, vinos y destilería.","Español"
"Comerciantes de materiales de construcción y de equipos y suministros de jardinería (444)","Las industrias en el subsector de comerciantes de materiales de construcción y de equipos y suministros de jardinería con puntos de venta en ubicaciones fijas. Los establecimientos en este subsector cuentan con equipos diseñados para manipular madera aserrada y productos conexos y equipos y suministros de jardinería que pueden mantenerse adentro o afuera en espacios cubiertos. El personal suele tener conocimiento en el empleo de los productos específicos que se venden al detal para la construcción, la reparación y el mantenimiento de viviendas y terrenos asociados.","Español"
"Tiendas de prendas de vestir y de accesorios para la ropa (448)","Las industrias en el subsector de tiendas de prendas de vestir y de accesorios para la ropa venden al detal estos rubros nuevos desde ubicaciones fijas con punto de venta. Los establecimientos en este subsector tienen en exhibición tales artículos y cuentan con personal que está al tanto de las tendencias en la moda y la combinación apropiada de estilos, colores y combinaciones de ropa y accesorios según las características y los gustos del cliente.","Español"
"Fabricación de prendas de vestir y de textiles (313-316)","El sector de fabricación (31) comprende aquellos establecimientos que se dedican a la transformación mecánica, física o química de materiales, sustancias o componentes en nuevos productos. El ensamblaje de las piezas componentes de los productos manufacturados se considera fabricación, salvo en los casos donde la actividad se clasifique apropiadamente en el Sector 23, Construcción.","Español"
"Fabricación de computadoras y equipos electrónicos (334)","Las industrias en el subsector de computadoras y equipos electrónicos agrupan los establecimientos que fabrican computadoras, periféricos, equipos de comunicaciones y productos electrónicos semejantes, así como los establecimientos que fabrican los componentes para dichos productos.","Español"
"Construcción (23)","El sector de la construcción consta de los establecimientos que se ocupan primordialmente de la construcción de edificios o proyectos de ingeniería (carreteras y sistemas de servicios públicos). Los establecimientos que se encargan fundamentalmente de la preparación del terreno para la construcción y también aquellos que dedicados a la parcelación de terrenos para la venta como sitios para la construcción se incluyen en este sector.","Español"
"Intermediación crediticia y actividades conexas (522)","Las industrias en el subsector de intermediación crediticia y actividades conexas agrupan aquellos establecimientos que: (1) prestan los fondos captados de los depositantes; (2) prestan los fondos captados de los empréstitos en el mercado de créditos o (3) facilitan el empréstito de fondos o la emisión de créditos al llevar a cabo las actividades tales como correduría de préstamos e hipotecas, cámara de compensación y servicios de reserva, así como de canje de cheques en efectivo.","Español"
"Servicios educativos (611)","Las industrias en el subsector de servicios educativos imparten instrucción y formación en una amplia gama de temas. La instrucción y formación se imparten en establecimientos especializados, como es el caso de escuelas, institutos de educación superior, universidades y centros de capacitación.","Español"
"Fabricación de equipos, artefactos y componentes eléctricos (335)","Las industrias en el subsector de fabricación de equipos, artefactos y componentes eléctricos fabrican productos que generan, distribuyen y utilizan la energía eléctrica. Las fábricas de equipos de iluminación producen bombillos para lámparas elécricas, así como sistemas, accesorios y piezas de iluminación. Las fábricas de electrodomésticos elaboran electrodomésticos pequeños y grandes y sus piezas. Las fábricas de equipos eléctricos elaboran artículos tales como motores eléctricos, generadores, transformadores e interruptores. Otras fábricas de equipos y componentes eléctricos elaboran dispositivos para almacenar energía eléctrica (baterías, por ejemplo), transmitir electricidad (cables aislados) y dispositivos para el cableado (toma de corriente, cajetines de fusibles e interruptores de luz).","Español"
"Tiendas de equipos y accesorios electrónicos (443)","Las industrias en el subsector de tiendas de equipos y accesorios electrónicos venden al detal artículos nuevos desde ubicaciones con punto de venta. Los establecimientos en este subsector operan desde ubicaciones que tienen disposiciones especiales para la exhibición en el piso con la capacidad eléctrica especial para la demostración adecuada de los productos. El personal está conformado por un equipo de ventas que conoce las características y garantías de la línea de productos que se comercializan al detal y también puede incluir a personas entrenadas que se ocupan del mantenimiento y de la reparación de los equipos y accesorios electrónicos. Las clasificaciones dentro de este subsector se hacen principalmente de acuerdo con el tipo de producto y el conocimiento que se requiere para operar cada tipo de tienda.","Español"
"Fabricación de productos metálicos (332)","Las industrias en el subsector de fabricación de productos metálicos transforman los metales en productos semiacabados o finales, aparte de maquinaria, computadoras y artefactos electrónicos, y muebles de metal, o tratan los metales y los productos a base de metal que se fabrican en otra parte. Los procesos importantes de metal fabricado son el forjado, el estampado, el doblado, la formatura y el maquinado, que se utilizan para moldear cada una de las piezas de metal, y demás procesos, tales como soldadura y ensamblado, que se utilizan para unir las piezas. Los establecimientos en este subsector pueden emplear uno de estos procesos o una combinación de estos procesos.","Español"
"Finanzas y seguros (52)","El sector de finanzas y seguros abarca los establecimientos que se encargan principalmente de las transacciones financieras (aquellas que implican la creación, la liquidación o el cambio en la propiedad de los activos financieros) o de facilitarlas.","Español"
"Tiendas de alimentos y bebidas (445)","Las industrias en el subsector de alimentos y bebidas usualmente venden esta mercancía al detal desde puntos de venta fijos. Los establecimientos en este subsector cuentan con equipo especial (congeladores, vitrinas refrigeradas, refrigeradoras) para exhibir los alimentos y las bebidas. Cuentan con personal capacitado en el procesamiento de productos alimenticios para garantizar las condiciones apropiadas de almacenamiento y de sanidad que exige la autoridad competente.","Español"
"Elaboración de alimentos (311)","Las industrias en el subsector de la elaboración de alimentos transforman los productos agrícolas y de la ganadería en productos para el consumo intermedio o final. Los grupos en esta industria se distinguen por la materia prima (generalmente de origen animal o vegetal) que se procesa en productos alimenticios.","Español"
"Lugares donde se sirven alimentos y bebidas (722)","Las industrias en este subsector preparan comidas, refrigerios y bebidas a pedido del cliente para su consumo inmediato dentro o fuera del establecimiento. Hay toda una gama de establecimientos en estas industrias. Algunos ofrecen solamente comidas y bebidas, mientras que otros disponen de distintas combinaciones de espacios para sentarse, servicio de camareros y una que otra diversión, tal como entretenimiento limitado. Las industrias en este subsector se agrupan según el tipo y el nivel de los servicios que se prestan. Los grupos industriales son los servicios especiales de alimentos, tales como los contratistas para el servicio de alimentos, los servicios de banquetes y los servicios móviles de alimentos, lugares para beber (bebidas alcohólicas), restaurantes y demás lugares para comer.","Español"
"Mueblerías y tiendas de accesorios para el hogar (442)","Las industrias en el subsector de mueblerías y tiendas de accesorios para el hogar venden al detal con puntos de venta fijos. Los establecimientos en este subsector operan desde salas de exposición y cuentan con un espacio sustancial para la presentación de sus productos. Muchos ofrecen servicios de decoración de interiores, además de la venta de productos.","Español"
"Fabricación de muebles y productos relacionados (337)","Las industrias en el subsector de muebles y productos relacionados fabrican muebles y artículos relacionados, como colchones, persianas, gabinetes y mobiliario. Los procesos que se utilizan en la fabricación de muebles comprenden el cortado, doblado, moldeado, laminado y ensamblaje de materiales como madera, metal, vidrio, plástico y ratán. No obstante, la fabricación de muebles no se limita a doblar metales, cortar y moldear madera o extraer y moldear plástico. El diseño y las tendencias de moda desempeñan una función importante en la producción de muebles. El diseño integrado del artículo para calidades tanto estéticas como funcionales también forma parte primordial en la fabricación de muebles. Los servicios de diseño pueden proporcionarlos los empleados de la mueblería o contratarse de diseñadores industriales.","Español"
"Industrias de juegos de azar (7132)","Este grupo industrial comprende los establecimientos (excepto los hoteles casino) que se dedican primordialmente a la operación de instalaciones de juegos de azar, salones de bingo y terminales de videojuegos, o a la prestación de los servicios de envite y azar, como las loterías y los sitios de apuestas. Los hoteles casino se clasifican en Industria 72112, Hoteles casino.","Español"
"Estaciones de gasolina (447)","Las industrias en el subsector de estaciones de gasolina venden al detal combustible para vehículos (gasolina, diésel, gasoil y otros combustibles) y aceites para vehículos o venden al detal estos productos en combinación con los artículos que se expenden en los abastos. Estos establecimientos cuentan con equipos especializados para guardar y dispensar el combustible automotor.","Español"
"Tiendas de mercancías en general (452)","Las industrias en el subsector de tiendas de mercancías en general venden al detal desde puntos de venta fijos. Los establecimientos en este subsector son únicos en el sentido de que tienen los equipos y el personal con capacidad para vender al detal una amplia variedad de bienes desde una sola ubicación. Esto incluye una variedad de equipos en exhibición y personal capacitado para suministrar información sobre muchas líneas de productos.","Español"
"Tiendas de productos para la salud y artículos para el cuidado personal (446)","Las industrias en el subsector de tiendas de productos para la salud y de artículos para el cuidado personal venden al detal esta mercancía desde puntos de venta fijos. Los establecimientos en este subsector se caracterizan principalmente por los productos que venden al detal; algunas de estas tiendas pueden tener personal especializado para comercializar los productos. El personal puede incluir a farmaceutas, optómetras y demás profesionales dedicados a la venta al detal, el asesoramiento a los clientes y la adaptación del producto que se vende a las necesidades del cliente.","Español"
"Atención sanitaria y asistencia social (62)","Este sector comprende aquellos establecimientos que brindan atención sanitaria y asistencia social a las personas. El sector abarca tanto la atención sanitaria como la asistencia social porque a veces es difícil distinguir las fronteras entre estas dos actividades. Las industrias en este sector están agrupadas en una serie que comienza con los establecimientos que brindan atención médica exclusivamente, continúa con aquellos que brindan atención sanitaria y asistencia social, y termina con aquellos que ofrecen únicamente asistencia social. Los establecimientos en este subsector cuentan con profesionales calificados que prestan estos servicios. Todas las industrias en el sector comparten estos procesos comunes, a saber, la asesoría laboral por parte de médicos o trabajadores sociales con la experiencia necesaria. Muchas de las industrias en este sector se definen según el grado de instrucción de los profesionales incluidos en la industria.","Español"
"Artistas, escritores e intérpretes independientes  (711510)","Esta industria está conformada por aquellas personas independientes (que trabajan por cuenta propia) que se dedican principalmente a actuar en las producciones artísticas, crear obras o producciones artísticas y culturales o aportar el conocimiento técnico necesario para estas producciones. Esta industria incluye además a los atletas y demás celebridades que se ocupan exclusivamente de apoyar productos y dictar charlas o realizar apariciones en público, por lo cual reciben honorarios.","Español"
"Información (51)","El sector de la información comprende los establecimientos que participan en los siguientes procesos: (a) producir o distribuir información y productos culturales, (b) proporcionar los medios para transmitir o distribuir estos productos, así como datos o comunicaciones, y (c) procesar datos.","Español"
"Servicios legales (5411)","Esta industria comprende los establecimientos que se encargan primordialmente de ofrecer servicios legales, tales como los que brindan las oficinas de abogados, de notarios y oficinas de catastro de inmuebles y de liquidación, y los servicios paralegales.","Español"
"Fabricación de maquinaria (333)","Las industrias en el subsector de la fabricación de maquinaria crean productos finales donde se aplica la fuerza mecánica, por ejemplo, la aplicación de frenos y palancas, para realizar trabajos. Algunos procesos importantes en la fabricación de maquinaria son el forjado, el estampado, la flexión, la formatura y el maquinado, que se utilizan para moldear cada una de las piezas metálicas. Los procesos como la soldadura y el ensamblado se utilizan para unir las piezas. Aunque estos procesos se parecen a los que se utilizan en los establecimientos donde se fabrican metales, la fabricación de maquinaria es diferente porque emplea típicamente varios procesos para la formatura del metal en la fabricación de las diversas piezas de la máquina. Además, las operaciones complejas de ensamblado son inherentes en el proceso de producción.","Español"
"Administración de compañías y empresas (55)","El sector de la administración de compañías y empresas comprende: (1) los establecimientos tenedores de los títulos valores (u otro tipo de participación) en compañías y empresas a los efectos de poseer una participación mayoritaria o influir en toma de decisiones con respecto a la dirección, o (2) los establecimientos (excepto los organismos gubernamentales) que administran, supervisan y dirigen los establecimientos de la compañía o empresa y que normalmente asumen el papel de planificación estratégica u organizativa y de toma de decisiones de la compañía o empresa. Los establecimientos que administran, supervisan y administran pueden tener los títulos valores de la compañía o empresa.","Español"
"Servicios de consultoría administrativa, científica y técnica (5416)","Este grupo industrial consta de los establecimientos que se dedican primordialmente a brindar asesoría y asistencia a los negocios y demás organizaciones en materia administrativa, ambiental, científica y técnica.","Español"
"Fabricación (31-33)","El sector de fabricación está conformado por aquellos establecimientos que se ocupan de la transformación mecánica, física o química de materiales, substancias o componentes en nuevos productos. El ensamblaje de las piezas componentes de los productos manufacturados se considera fabricación, salvo en los casos donde la actividad se clasifique apropiadamente en el Sector 23, Construcción.","Español"
"Minería, explotación de canteras y extracción de petróleo y gas (21)","El sector de minería, explotación de canteras y extracción de petróleo y gas comprende los establecimientos que extraen minerales sólidos de origen natural, como el carbón y las menas; los minerales líquidos como el petróleo crudo, y los gases como el gas natural. El término “minería” se emplea en el sentido amplio para incluir la explotación de canteras, las operaciones de perforación de pozos, el tratamiento de minerales para mejorar sus propiedades fisicoquímicas (trituración, cribado, lavado y flotación) y demás preparaciones que se realizan en la mina o como parte de la actividad minera.","Español"
"Ventas al detal en tiendas de mercancías diversas (453)","Las industrias en este subsector venden mercancías al detal desde ubicaciones fijas con punto de venta (excepto los vehículos automotores nuevos o usados y sus piezas; muebles y accesorios nuevos para el hogar; electrodomésticos y artefactos electrónicos nuevos, material para la construcción y equipos y suministros nuevos de jardinería, alimentos y bebidas, artículos para la salud y el cuidado personal, gasolina, prendas y accesorios de vestir nuevos y artículos deportivos nuevos, artículos para pasatiempos, libros y música). Los establecimientos en este sector constan de tiendas con características únicas, como las floristerías, las tiendas de mercancías usadas y las tiendas de mascotas y de suministros para las mascotas.","Español"
"Industrias de películas y videos (5121)","Este grupo industrial comprende los establecimientos que se encargan primordialmente de la producción o distribución de películas, videos, programas televisivos o comerciales, la exhibición de películas o la prestación de servicios de posproducción y afines.","Español"
"Concesionarios de vehículos automotores y piezas automotrices (441)","Las industrias en este subsector venden vehículos automotores y piezas automotrices desde puntos de venta fijos. Los establecimientos en este subsector funcionan típicamente desde una sala de exhibiciones o en un espacio abierto, donde se exhiben los vehículos. La exhibición de los vehículos y de sus piezas requiere poco en cuanto a la exhibición de los equipos. El personal generalmente incluye tanto a los vendedores y los empleados de apoyo a las ventas que están familiarizados con los requisitos para registrar y financiar un vehículo, así como expertos en piezas y mecánicos capacitados para prestar los servicios de reparación y mantenimiento de los vehículos. Las industrias específicas que se incluyen en este subsector identifican el tipo de vehículo que se vende al detal.","Español"
"Museos, sitios históricos e instituciones semejantes (712)","Las industrias en el subsector de museos, sitios históricos e instituciones semejantes se encargan de la preservación y exhibición de objetos, sitios y maravillas naturales de valor histórico, cultural o educativo.","Español"
"Editores de diarios, publicaciones periódicas, libros y directorios (5111)","Esta industria comprende aquellos establecimientos que se dedican principalmente a la publicación de diarios, revistas, otras publicaciones periódicas, libros, directorios y listas de correos, y otras obras tales como calendarios, tarjetas de felicitaciones y mapas. Estas obras se caracterizan por la creatividad intelectual que se requiere para su desarrollo y suelen estar protegidas con los derechos de autor. Los editores distribuyen o disponen la distribución de estas obras.","Español"
"Ventas al detal fuera de tiendas (454)","Las industrias en el subsector de ventas al detal fuera de tiendas venden mercancías al detal por métodos tales como la difusión de infomerciales y el contenido promocional con respuesta directa, la publicación de catálogos en físico y electrónicos, la oferta casa por casa, la exhibición a domicilio, la venta desde puestos portátiles y la distribución a través de máquinas expendedoras. Los establecimientos en este subsector comprenden los centros de órdenes por correo, los operadores de máquinas expendedoras, las ventas con reparto a domicilio, las reuniones de venta y demostración, las ventas electrónicas y las ventas a través de puestos portátiles (vendedores informales, excepto de alimentos). Los establecimientos que participan en la venta directa de productos (aparte de la venta en tiendas), tales como vendedores de combustible para la calefacción y los servicios de entrega de periódicos a domicilio, pertenecen a este subsector.","Español"
"Otras industrias de diversión y recreación (7139)","Este grupo industrial comprende los establecimientos que se ocupan primordialmente de la operación de campos de golf y clubes campestres, instalaciones de esquí, centros de acondicionamiento físico y de deportes recreativos, salas de boliche, y los que prestan otros servicios de esparcimiento y recreación.","Español"
"Otros servicios profesionales, científicos y técnicos (5419)","Este grupo industrial comprende aquellos establecimientos que prestan servicios profesionales, científicos y técnicos (salvo los servicios legales, de contabilidad, de preparación de impuestos, de contabilidad y afines; servicios de arquitectura, de ingeniería y afines; servicios de diseño especializado; servicios de diseño de sistemas y afines; servicios de asesoría administrativa, científica y técnica; servicios de investigación y desarrollo científico, y servicios de publicidad, de relaciones públicas y afines).","Español"
"Otros servicios (excepto la administración pública) (81)","Este sector consta de aquellos establecimientos que prestan servicios que no se indican específicamente en otro lugar dentro del sistema de clasificación. Los establecimientos en este sector realizan principalmente tareas como reparación de maquinaria y equipos, promoción o administración de actividades religiosas, subvenciones, asesoría, tintorería y lavandería, cuidado personal, funerarias, cuidado de mascotas, revelado de fotos, estacionamiento temporal y citas.","Español"
"Otras telecomunicaciones (51791)","Esta industria está conformada por aquellos establecimientos que llevan a cabo principalmente las siguientes actividades: (1) comprar acceso y capacidad de red de propietarios y operadores de redes de comunicaciones y revender los servicios de telecomunicaciones por cable e inalámbricas (excepto satélite) a negocios y residencias; (2) prestar servicios especializados de telecomunicaciones, tales como rastreo satelital, telemetría y operación de estaciones de radares; (3) proporcionar terminales satelitales e instalaciones afines, conectadas con uno o más sistemas terrestres y capaces de transmitir y recibir telecomunicaciones de sistemas satelitales o (4) prestar servicios de acceso a internet o de voz sobre protocolo de internet (VoIP) a través de las conexiones de telecomunicaciones suministradas por el cliente. Los establecimientos en esta industria no operan en calidad de proveedores de telecomunicaciones. Se incluyen en esta industria los operadores de red virtual móvil (MVNO).","Español"
"Compañías de artes escénicas (7111)","Este grupo industrial comprende aquellos establecimientos que se encargan principalmente de producir presentaciones en vivo, que incluyen las interpretaciones de actores y actrices, cantantes, bailarines, grupos y artistas musicales y demás intérpretes y ejecutantes.","Español"
"Servicios personales y de lavandería (812)","Las industrias en el subsector de servicios personales y de lavandería agrupan aquellos establecimientos que prestan dichos servicios a personas, residencias y negocios. Estos servicios abarcan: cuidado personal, funeraria, tintorería y lavandería, y una amplia gama de otros servicios personales, como el cuidado de mascotas, el revelado de fotos, el estacionamiento temporal y las citas.","Español"
"Fabricación de metales primarios (331)","Las industrias en el subsector de fabricación de metales primarios se ocupan de soldar o refinar metales ferrosos y no ferrosos a partir de la mena, los lingotes de hierro en primera fundición o la chatarra a través de la electrometalurgia y mediante otros procesos y técnicas de metalurgia. Los establecimientos en este subsector también fabrican aleaciones y superaleaciones de metales al introducir otros elementos en los metales puros. El producto de la soldadura y la refinería, usualmente en forma de lingotes, se utiliza en las actividades de cilindreo, dibujo y extrusión o estiramiento por presión para hacer láminas, flejes, barras, varillas o cables, y en fundición para hacer vaciado y otros productos de metales básicos.","Español"
"Residencias privadas (814)","Las industrias en este subsector abarcan las residencias privadas que emplean a trabajadores dentro en o alrededor de sus predios para que lleven a cabo las actividades que tienen que ver con el funcionamiento de la residencia. Estas residencias privadas pueden emplear a personas en calidad de cocineros, servicio doméstico, mayordomos, y trabajadores en exteriores, tales como jardineros, caseros y demás empleados de mantenimiento.","Español"
"Servicios profesionales, científicos y técnicos (541)","Las industrias en el subsector de servicios profesionales, científicos y técnicos agrupan aquellos establecimientos que participan en los procesos donde el capital humano es el activo principal. Estos establecimientos ponen a la disposición el conocimiento y las destrezas de sus empleados, a menudo por asignación, donde una persona o un equipo se encarga de prestar los servicios al cliente. Cada una de las industrias en este subsector se define sobre la base del conocimiento técnico y formación en particular del prestador de los servicios.","Español"
"Promotores de artes escénicas, deportes y eventos semejantes (7113)","Este grupo industrial comprende aquellos establecimientos que se encargan principalmente de organizar, promover o gestionar las producciones en vivo de artes escénicas, los eventos deportivos y las actividades similares, que tienen lugar en instalaciones que estos u otros administran y operan.","Español"
"Administración pública (92)","El sector de la administración pública está conformado por establecimientos de los organismos del gobierno federal, estatal y local que administran, supervisan y gestionan programas públicos y tienen potestad ejecutiva, legislativa o judicial sobre las demás instituciones dentro de un área determinada. Igualmente, estos organismos establecen políticas, crean leyes, adjudican casos civiles y penales y disponen la seguridad pública y la defensa nacional. En general, los organismos gubernamentales en el sector de la administración pública supervisan los programas y las actividades de gobierno que no compete realizar a las instituciones privadas. Los organismos en este sector participan en la organización y el financiamiento de la producción de bienes y servicios públicos, muchos de los cuales se proveen gratuitamente o a precios económicamente insignificantes.","Español"
"Radio y televisión (5151)","Esta industria abarca aquellos establecimientos que se ocupan principalmente de operar estudios e instalaciones de difusión para la transmisión por aire o vía satélite de programas de radio y televisión. Igualmente, estos establecimientos participan en la producción o adquisición de programas o generan ingresos a partir de la venta de tiempo en el aire a los publicistas, de donaciones y subsidios o de la venta de programas.","Español"
"Renta y alquiler de bienes raíces (53)","El sector de renta y alquiler de bienes raíces comprende aquellos establecimientos que se encargan principalmente de alquilar, arrendar o permitir de otra manera el uso de activos tangibles o intangibles, y los establecimientos que prestan servicios relacionados. Gran parte de este sector está conformado por los establecimientos que rentan, alquilan o permiten de otra manera el uso de sus propios activos por parte de terceros. Los activos pueden ser tangibles, como el caso de bienes raíces y equipos, o intangibles, como en el caso de las patentes y marcas registradas.","Español"
"Organizaciones religiosas, subvencionadoras, cívicas, profesionales y similares (813)","Las industrias en este subsector agrupan los establecimientos que organizan y promueven actividades religiosas, apoyan diversas causas a través de las subvenciones, abogan por variadas causas sociales y políticas y propugnan los intereses de sus integrantes.","Español"
"Reparación y mantenimiento (811)","Las industrias en el subsector de reparación y mantenimiento restauran maquinaria, equipos y demás productos con miras a su funcionamiento. Igualmente, estos establecimientos hacen mantenimiento, es decir, servicio, general o de rutina a tales productos para garantizar que funcionen eficientemente y prevenir averías y reparaciones innecesarias.","Español"
"Comercio al detal (44-45)","El sector de comercio al detal consta de los establecimientos que venden mercancía al detal, generalmente sin transformación, y prestan los servicios correspondientes a la venta de esta mercancía.","Español"
"Servicios de investigación y desarrollo científico (5417)","Este grupo industrial comprende los establecimientos que se dedican sistemáticamente al estudio original para obtener conocimiento (investigación) o a la aplicación de los hallazgos de la investigación u otro conocimiento científico en la creación de productos o procesos nuevos o mejorados significativamente (desarrollo experimental). Entre las técnicas se encuentran el modelado y la simulación. Las industrias dentro de este grupo industrial se definen según su ámbito de la investigación, es decir, conforme al conocimiento científico del establecimiento.","Español"
"Servicios de diseño especializado (5414)","Este grupo industrial está conformado por aquellos establecimientos que prestan servicios de diseño especializado (excepto el diseño arquitectónico, de ingeniería y de sistemas de computación).","Español"
"Contratistas de especialidades (238)","El subsector de contratistas de especialidades abarca aquellos establecimientos cuya actividad principal consiste en llevar a cabo actividades específicas (vertido de concreto, preparación del terreno, plomería, pintura y electricidad, por ejemplo) en el sector de la construcción u otras actividades semejantes para todo tipo de construcción, pero que no son responsables por todo el proyecto. La labor que se realiza puede incluir el trabajo desde cero, adiciones, alteraciones, mantenimiento y reparaciones. El trabajo de producción que realizan los establecimientos en este subsector suele subcontratarse de establecimientos del tipo de contratista general o de constructores a consignación, pero especialmente en la construcción de remodelación y reparación. Este tipo de labor también puede realizarse directamente para el dueño del inmueble. Los contratistas de especialidades suelen llevar a cabo la mayor parte de su labor en el emplazamiento, aunque también es posible que cuenten con talleres donde realizan el trabajo de prefabricación o de otro tipo. Los establecimientos que se dedican primordialmente a la preparación del terreno para una nueva construcción también se indican en este subsector.","Español"
"Deportes para espectadores (71121)","Esta industria comprende: (1) equipos o clubes deportivos que participan fundamentalmente en eventos deportivos en vivo ante un público que paga por verlos; (2) establecimientos que se dedican principalmente a operar hipódromos; (3) atletas independientes que participan en eventos deportivos o de carreras en vivo ante un público que paga por verlos; (4) dueños de los participantes en las carreras, como automóviles, perros y caballos, dedicados principalmente a inscribirlos en las carreras o en otros eventos de deportes para espectadores, y (5) establecimientos, tales como de entrenamiento deportivo, que se dedican primordialmente a prestar servicios especializados en apoyo de los participantes en eventos o competencias deportivas. Los equipos y clubes deportivos que se incluyen en esta industria pueden o no operar su propia pista, estadio u otra instalación para presentar sus juegos u otros eventos de deportes para espectadores.","Español"
"Tiendas de artículos deportivos, pasatiempos, instrumentos musicales y librerías (451)","Las industrias en este subsector venden al detal y brindan su conocimiento técnico en el empleo de equipos deportivos o suministros para otras actividades de esparcimiento, tales como bordado y tejido e instrumentos musicales. Se incluyen en este subsector las librerías.","Español"
"Transporte y almacenamiento (48-49)","El sector de transporte y almacenamiento está conformado por las industrias que brindan transporte de pasajeros y de carga, almacenamiento y depósito de bienes, transporte para excursiones turísticas y actividades de apoyo relacionadas con las modalidades de transporte. Los establecimientos en estas industrias utilizan equipos de transporte o instalaciones para el transporte como un activo productivo. El tipo de equipos depende de la modalidad de transporte. Las modalidades de transporte son por aire, tren, tierra y tuberías.","Español"
"Fabricación de equipos de transporte (336)","Las industrias en este subsector fabrican equipos para el transporte de pasajeros y de mercancías. Los equipos de transporte son un tipo de maquinaria. Todo un subsector está destinado a esta actividad dada su importante dimensión económica en los tres países de América del Norte.","Español"
"Servicios públicos (22)","El sector de servicios públicos consta de aquellos establecimientos que prestan los siguientes servicios: energía eléctrica, gas natural, suministro de vapor, suministro de agua y remoción de aguas negras. Dentro de este sector, las actividades específicas que se asocian con los servicios públicos varían de acuerdo a cada renglón: la energía eléctrica consta de la generación, transmisión y distribución; el gas natural consiste en la distribución; el suministro de vapor incluye la provisión y la distribución; el suministro de agua abarca el tratamiento y la distribución, y la remoción de aguas negras consiste en la recolección, el tratamiento y la disposición de desechos a través de sistemas de alcantarillado e instalaciones de tratamiento de aguas negras.","Español"
"Servicios de gestión de desechos y de rehabilitación (562)","Las industrias en este subsector agrupan aquellos establecimientos que participan en la recolección, el tratamiento y la disposición de material de desecho. Esto abarca los establecimientos que trabajan en el traslado de material de desecho, la operación de instalaciones de recuperación de materiales (aquellas que seleccionan el material reciclable de la corriente de desperdicios); prestan servicios de rehabilitación (los que disponen la limpieza de edificios contaminados, minas, suelo o aguas subterráneas); prestan servicios de achique de pozos sépticos y demás servicios varios de gestión de desechos. Hay tres grupos industriales dentro del subsector que separan estas actividades en recolección de desechos, tratamiento y disposición de desechos, y rehabilitación y otro tipo de gestión de desechos.","Español"
"Comercio mayorista (42)","El sector de comercio mayorista consta de los establecimientos que venden mercancía al mayor, generalmente sin transformación, y prestan los servicios correspondientes a la venta de esta mercancía. La mercancía que se señala en este sector incluye los productos de la agricultura, la minería, la manufactura y ciertas industrias de información, tales como las casas editoriales.","Español"
"Operadores de telecomunicaciones por cable e inalámbricas (51731)","Esta industria consta de los establecimientos que se encargan principalmente de operar, mantener y brindar acceso a instalaciones e infraestructura de conmutación y transmisión de su propiedad o que alquilan para la transmisión de voz, datos, texto, sonido y videos por medio de las redes de telecomunicaciones por cable o inalámbricas. Las instalaciones transmisoras pueden basarse en una sola tecnología o en una combinación. A modo de excepción, se incluyen en esta industria aquellos establecimientos que prestan servicios de televisión satelital con las instalaciones y la infraestructura que ellos mismos operan.","Español"
"Fabricación de productos madereros (321)","Los establecimientos en este subsector fabrican productos madereros, como madera aserrada, contrachapado, chapas, contenedores de madera, pisos de madera, armazones, casas fabricadas (casas rodantes) y edificios prefabricados de madera. Los procesos de producción en el subsector de la fabricación de productos madereros consisten en aserrado, cepillado, moldeado, laminado y ensamblado de productos madereros a partir de leños que se cortan en troncos o madera aserrada que puede cortarse más o moldearse por medio de tornos u otras herramientas de moldeado. La madera aserrada u otras formas transformadas de madera también pueden cepillarse posteriormente o alisarse y ensamblarse en productos acabados, tales como los contenedores de madera. El subsector de la fabricación de productos madereros comprende los establecimientos que hacen productos a partir de leños y troncos que se asierran y moldean, y los establecimientos que compran madera aserrada para transformarla en productos acabados. A excepción de los aserraderos y los establecimientos que se encargan de la preservación de la madera, los establecimientos se agrupan en industrias basadas fundamentalmente en la manufactura de determinados productos.","Español"
"مكان الإقامة (721)","توفر الصناعات في قطاع الإقامة الفرعي السكن أو الإقامة قصيرة الأجل للمسافرين والزوار وغيرهم. وهناك مجموعة واسعة من المؤسسات في هذه الصناعات. بعضها يوفر السكن فقط، بينما يقدم البعض الآخر وجبات الطعام وخدمات غسيل الملابس والمرافق الترفيهية، فضلاً عن السكن. وتُنظم مرافق الإقامة في هذا القطاع الفرعي حتى وإن كان توفير الخدمات التكميلية يدر المزيد من الإيرادات. وتختلف أنواع الخدمات التكميلية المقدمة من مؤسسة إلى أخرى.","عربى"
