"response_id","timestamp","how_likely_would_you_be_to_recommend_working_with_the_innovation_office_to_a_friend_or_colleague","feedback","how_would_you_rate_the_time_you_spent_on_this_project","how_satisfied_are_you_with_the_partnership_during_this_project","how_satisfied_are_you_with_the_final_results_of_this_project","did_you_come_to_the_innovation_office_for_the_presentation","respondent_s_organization_optional","engagement","description_of_project_or_event","link_to_more_information_about_the_project_or_event"
"95","2017-04-17T16:37:23.000","10","You all were incredibly well prepared, professional and supportive before the event. ",,,,,,"Light Bike Lane","Sprint process for the Light the Bike Lane project (April 2017)","https://ideaaccelerator.bloomfire.com/groups/36343/series/36143-light-the-bike-lane-sprint"
"96","2017-04-17T16:51:13.000","9","The experience for this particular project was awkward due to the lack of participation from the City's subject-matter experts. The process itself was very exciting and has potential for lots of applications around the City. Lance was amazing and a tireless facilitator.",,,,,"Public Works Engineering Services","Light Bike Lane","Sprint process for the Light the Bike Lane project (April 2017)","https://ideaaccelerator.bloomfire.com/groups/36343/series/36143-light-the-bike-lane-sprint"
"97","2017-04-18T10:13:05.000","10","I think having a larger group could have been beneficial. Towards the end, I think we were all losing steam. And while I enjoyed the Sprint process and thought it was very interesting and thorough, I think it takes true dedication, of  which, I wasn't sure I truly felt. For future Sprints, it would be beneficial for participants to  be really invested in the subject/idea (and have the time) to make it more successful. I blame myself for not being as informed about the process as I should have been and feel my contributions weren't as valuable as I would have liked, but that isn't a fault to the organizer or the Innovation Office. I loved seeing the idea come together at the end and working with other departments and the participants from around the City. It was really cool to see an idea transformed into something tangible and I'd definitely recommend the process to others. ",,,,,,"Light Bike Lane","Sprint process for the Light the Bike Lane project (April 2017)","https://ideaaccelerator.bloomfire.com/groups/36343/series/36143-light-the-bike-lane-sprint"
"98","2017-04-26T10:55:56.000","5","I love the sprint idea, but many details need to be worked out to make it effective, including appropriate leadership, the right people in the room, and appropriate expectations for the group.",,,,,,"Light Bike Lane","Sprint process for the Light the Bike Lane project (April 2017)","https://ideaaccelerator.bloomfire.com/groups/36343/series/36143-light-the-bike-lane-sprint"
"99","2017-03-10T09:07:53.000","10","Everyone seems super passionate and knowledgeable about what they are doing and create a great environment to collaborate to achieve shared goals. Interactive activities are always effective to see how all of our projects are progressing and to identify common goals on which we may want to work together. Definitely helps streamline projects that may overlap.",,,,,,"March 9 OGP Meeting","All teams meeting of Open Government Partnership commitments (March 9, 2017)","https://opengovpartnership.bloomfire.com/series/35733/posts/1360890"
"114","2017-01-11T08:15:56.000","8","The group brings a skill set related to design and UX that is not native to many departments.",,,,,"DSD","Permitting 01.10.17","Permitting Initiative strategic planning workshop (January 10, 2017)","http://projects.austintexas.io/permitting/"
"100","2017-03-10T09:07:59.000","10","Everyone seems super passionate and knowledgeable about what they are doing and create a great environment to collaborate to achieve shared goals. Interactive activities are always effective to see how all of our projects are progressing and to identify common goals on which we may want to work together. Definitely helps streamline projects that may overlap.",,,,,,"March 9 OGP Meeting","All teams meeting of Open Government Partnership commitments (March 9, 2017)","https://opengovpartnership.bloomfire.com/series/35733/posts/1360890"
"101","2017-03-10T10:15:01.000","10","The participation grid was really helpful and enlightening",,,,,,"March 9 OGP Meeting","All teams meeting of Open Government Partnership commitments (March 9, 2017)","https://opengovpartnership.bloomfire.com/series/35733/posts/1360890"
"102","2017-03-10T11:15:05.000","9","There was a comment made about the time of the meeting and keeping it to 60 minutes. I think it might be worth considering a 90 minute meeting rather than cramming so much content and depth into an hour. ",,,,,"Equity Office","March 9 OGP Meeting","All teams meeting of Open Government Partnership commitments (March 9, 2017)","https://opengovpartnership.bloomfire.com/series/35733/posts/1360890"
"103","2017-05-18T09:03:13.000","9",,,,,,,"May 10 OGP Meeting","All teams meeting of Open Government Partnership commitments (May 10, 2017)","https://opengovpartnership.bloomfire.com/series/35733/posts/1396701"
"104","2017-03-16T14:57:25.000","7","Recommend in future:  Earlier notification and better overview of event plan for startup participants (e.g. I would have come into town earlier and participated in more of the mayor's events had we known about the overall schedule sooner), continue to fund some travel costs (without my getting plane ticket on miles we would have lost $$ on participating), provide clearer judging criteria to mayors and participants, provide access to more informal networking opportunities.  Better integration with the standalone smart city day events? Host a civic tech/ govtech/ mayors social event during the conference? (maybe there was one and we just weren't included?) Great components:  day pass to SXSW (perhaps get comp passes for each startup to festival?), stipend for participation, access to new potential markets, Austin city team was great and was very helpful.",,,,,"Catherine/ CityGrows","Mayors Matchup-pitchers","Survey of startup companies that participated in the SXSW Mayors Matchup pitch competition (March 2017)","https://www.civicio.com/"
"105","2017-03-22T22:59:37.000","8","It was a positive experience once we were there. The format of the event was great. We received the (great) news that we would be pitching with pretty short notice. There were also disparities between the written communication about the prize amount(s) and what was announced at the event.",,,,,,"Mayors Matchup-pitchers","Survey of startup companies that participated in the SXSW Mayors Matchup pitch competition (March 2017)","https://www.civicio.com/"
"106","2017-03-10T09:30:29.000","8","I recommend that we interview more organizations from outside the city.   I remember that CapMetro was mentioned.   And I saw only Open Austin on one of the slides of non-CoA organizations interviewed.   It is essential to get the perspectives of the private sectors.   Both the folks selling stuff to CoA and our communities and those local residents who might innovate independently of government.   The interviews would, among other concerns I'm sure, ask how might the CoA processes be more transparent, less expensive in time and money and generally ""more"" responsive and ""less"" intrusive.",,,,,"CTM","OGOB 3/9 mtg","Meeting of the City of Austin Open Government Operating Board (March 9, 2017)","https://opengovpartnership.bloomfire.com/posts/1359986-march-2017-update-redesigning-open-governance"
"107","2017-03-10T10:00:03.000","10","Since I am most often the one putting together the agenda, it would be very helpful to me to always carve out at least 5 mins at the end of each meeting to agree on specific action items and next steps. ",,,,,"CTM","OGOB 3/9 mtg","Meeting of the City of Austin Open Government Operating Board (March 9, 2017)","https://opengovpartnership.bloomfire.com/posts/1359986-march-2017-update-redesigning-open-governance"
"108","2017-03-10T10:07:53.000","7","Chuckling over knowing what are the ranges of meaning for this 1-10 survey. Useful feedback: Appreciate when you take the time to define jargon. There are moments when I think we should break out the ""Buzz-word Bingo"" cards. ",,,,,,"OGOB 3/9 mtg","Meeting of the City of Austin Open Government Operating Board (March 9, 2017)","https://opengovpartnership.bloomfire.com/posts/1359986-march-2017-update-redesigning-open-governance"
"109","2017-03-13T09:25:32.000","8",,,,,,,"OGOB 3/9 mtg","Meeting of the City of Austin Open Government Operating Board (March 9, 2017)","https://opengovpartnership.bloomfire.com/posts/1359986-march-2017-update-redesigning-open-governance"
"110","2017-06-14T17:02:59.000","10","I know we're always pushing it with the time, but I think when there are two or more activities on the agenda, we should push the meeting to two hours. ",,,,,"Equity Office","OGP 6-14-17","All teams meeting of Open Government Partnership commitments (June 14, 2017)","https://opengovpartnership.bloomfire.com/posts/1427695-june-all-teams-meeting-notes-6-14-17"
"111","2017-06-14T19:35:06.000","10","Good structure- maybe some focus on identifying common challenges. ",,,,,"Digital Inclusion","OGP 6-14-17","All teams meeting of Open Government Partnership commitments (June 14, 2017)","https://opengovpartnership.bloomfire.com/posts/1427695-june-all-teams-meeting-notes-6-14-17"
"112","2017-06-16T12:42:10.000","8","I value the exercises you guys have us go through in these meetings, its really helpful. I also appreciate bringing us together to hear other people and their approaches. It really helps me find different paths or ways to reframe problems that I have encountered.

This meeting ran over a bit and its already a pretty big commitment, it would be awesome if we could try to stay in the meeting time frame! ",,,,,,"OGP 6-14-17","All teams meeting of Open Government Partnership commitments (June 14, 2017)","https://opengovpartnership.bloomfire.com/posts/1427695-june-all-teams-meeting-notes-6-14-17"
"113","2017-01-11T07:37:16.000","9","Very inspiring place and people. Open environment with opportunity to learn.",,,,,"CTM","Permitting 01.10.17","Permitting Initiative strategic planning workshop (January 10, 2017)","http://projects.austintexas.io/permitting/"
"115","2017-01-11T10:07:30.000","10","i have a crippling shyness but the environment was not overwhelming and made me feel comfortable and at ease with everyone.",,,,,"CTM","Permitting 01.10.17","Permitting Initiative strategic planning workshop (January 10, 2017)","http://projects.austintexas.io/permitting/"
"116","2017-01-11T11:33:35.000","10",,,,,,"DSD","Permitting 01.10.17","Permitting Initiative strategic planning workshop (January 10, 2017)","http://projects.austintexas.io/permitting/"
"117","2017-01-11T12:06:54.000","10","Continued genuine dedication to the effort to improve the customer's experience and efficiency of the process.",,,,,"DSD","Permitting 01.10.17","Permitting Initiative strategic planning workshop (January 10, 2017)","http://projects.austintexas.io/permitting/"
"118","2017-01-11T20:48:11.000","10","I enjoyed the team building aspect and the co-creation portion which included skits. ",,,,,"CTM","Permitting 01.10.17","Permitting Initiative strategic planning workshop (January 10, 2017)","http://projects.austintexas.io/permitting/"
"119","2017-01-04T08:43:11.000","9","Really appreciated responsiveness and willingness to act as a sounding board and partner.",,,,,,"Reverse pitch","Retrospective of [Re]verse Pitch project (2016)","http://reversepitch.org/"
"120","2017-05-02T11:20:54.000","10","Some of the questions for the coffee talks weren't as clear or seemed the same. May need to write them with more specificity ",,,,,,"Stack May 1st","Digital Services Discovery advisory team kickoff meeting (May 1, 2017)","http://projects.austintexas.io/austin-digital-services-discovery/"
"121","2017-05-02T11:47:12.000","8",,,,,,"CTM","Stack May 1st","Digital Services Discovery advisory team kickoff meeting (May 1, 2017)","http://projects.austintexas.io/austin-digital-services-discovery/"
"122","2017-05-02T13:47:49.000","9","Having more department representatives in each team to represent the point of view of the business unit.",,,,,"CTM","Stack May 1st","Digital Services Discovery advisory team kickoff meeting (May 1, 2017)","http://projects.austintexas.io/austin-digital-services-discovery/"
"123","2017-05-02T16:40:05.000","8","It was a good first meeting and will be looking forward to the discussions in the next. ",,,,,"CTM","Stack May 1st","Digital Services Discovery advisory team kickoff meeting (May 1, 2017)","http://projects.austintexas.io/austin-digital-services-discovery/"
"124","2017-03-16T14:51:10.000","10","Wonderful event, extremely well organized. My only mild disappointment was that the mayors weren't as plentiful or engaged as I might have hoped. Big applause for the team that pulled this together!",,,,,"Chris Doten / NDI","SXSW leader to leader","Speaker and networking event held for the U.S. Conference of Mayors during SXSW 2017 (March 2017)","https://www.civicio.com/"
"125","2017-03-16T16:49:10.000","7","Overall, I thought it was a good event. I would advise speakers to make their presentations as digestible as possible, especially since there are so many speakers in a row and it can be somewhat dizzying/hard to follow. I would also suggest that the organizers work to bring more diversity to the list of speakers. ",,,,,,"SXSW leader to leader","Speaker and networking event held for the U.S. Conference of Mayors during SXSW 2017 (March 2017)","https://www.civicio.com/"
"126","2017-03-16T18:09:25.000","10","I think possibly either more time, or a few less speakers, would be ideal. 8-10 minutes is hard to talk about a new technology or idea, and I think the general understanding would be better if it was approx 15 minutes max. :) Thanks!",,,,,,"SXSW leader to leader","Speaker and networking event held for the U.S. Conference of Mayors during SXSW 2017 (March 2017)","https://www.civicio.com/"
"127","2017-03-17T10:04:27.000","8","More opportunity to interact with the attendees. Great panel of speakers; nicely done.  great space, planning team well organized. ",,,,,,"SXSW leader to leader","Speaker and networking event held for the U.S. Conference of Mayors during SXSW 2017 (March 2017)","https://www.civicio.com/"
"128","2017-03-17T11:47:04.000","7","Shorter session and more relevant topics. Looked like some people were falling asleep ",,,,,,"SXSW leader to leader","Speaker and networking event held for the U.S. Conference of Mayors during SXSW 2017 (March 2017)","https://www.civicio.com/"
"129","2017-03-10T16:22:00.000","10",,,,,,,"US Ignite 3/10","Midway retrospective on the Innovation Office's involvement in U.S. Ignite (March 2017)","https://herox.com/GigaTECHSATX"
