"department","url","name","type","visits","last_update_date_data","frequency","category","keywords","owner","contact_email","license","data_provided_by","source_link","hasattachments","primary_priority","secondary_priority","primary_strategic_outcome","secondary_strategic_outcome","empty_fields"
"Austin Energy","https://data.austintexas.gov/d/hetr-8wqd","Carbon Intensity","dataset","821","2019-05-01T00:00:00.000","Annually","Utilities and City Services","carbon,carbon intensity,carbon dioxide,emissions","Austin Energy",,"Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"Green Infrastructure","Healthy Austin","Health","N/A","2"
"Office of Real Estate","https://data.austintexas.gov/d/3msr-mkgq","City Of Austin Properties handled by the Office of Real Estate Services","gis map","811","2019-05-01T00:00:00.000","As Needed","Locations and Maps","office of real estate services,ores,property,city-owned","Charles Boas",,"Public Domain","City of Austin Office of Real Estate Services","http://www.austintexas.gov",,,,,,"6"
"Telecom & Regulatory Affairs","https://data.austintexas.gov/d/3buj-7jze","Active Credit Access Business Licenses","dataset","796","2016-05-03T00:00:00.000","As Needed","City Government","credit access businesses,payday lenders,auto title lenders","John Speirs","CABcommunications@austintexas.gov","Public Domain","City of Austin, Office of Telecommunications & Regulatory Affairs","http://austintexas.gov/department/credit-access-business-registration",,,,,,"5"
"Communication and Technology Management","https://data.austintexas.gov/d/i2t2-i3uy","Austin Energy Electric Utility Service Area","gis map","790","2019-04-16T00:00:00.000","As Needed","Locations and Maps","energy,electric,utility,service,area,agoltosocrata","EGS Data Services",,"Public Domain","Austin Energy",,,"N/A",,"N/A",,"5"
,"https://data.austintexas.gov/d/amuv-wxzr","Jurisdiction History","gis map","781","2018-02-01T00:00:00.000",,"Locations and Maps","jurisdiction,history","EGS Data Services",,"Public Domain","Communications and Technology Management",,,,,,,"9"
"Development Services","https://data.austintexas.gov/d/j9y9-bvcw","Impacts to Austin's Urban Forest from Commercial Development","dataset","779","2018-12-03T00:00:00.000","Daily","Building and Development","city arborist","Chris Dolph",,"Public Domain","Christopher Dolph, Research Analyst",,,"Land Development Regulations (CodeNEXT)","Land Development Regulations (CodeNEXT)","Government that Works for All of Us","Government that Works for All of Us","3"
"Watershed Protection","https://data.austintexas.gov/d/n7cy-835m","Biologic Resource Buffers (CEF Setbacks)","gis map","778","2019-03-21T00:00:00.000","Monthly","Locations and Maps","brg,biological resource gis,critical environmental features,cef,buffers,development","Rob",,"Public Domain","City of Austin, Watershed Protection","https://www.austintexas.gov/department/watershed-protection/codes-and-regulations",,,,,,"6"
"Communication and Technology Management","https://data.austintexas.gov/d/vvuz-m3y4","Historical Landmarks","gis map","776","2019-05-01T00:00:00.000","Monthly","Locations and Maps","structure,historical landmarks,heritage,national register,moontowers","Aubrey Drescher",,"Public Domain","Planning and Development Review Department",,,,,,,"7"
"Public Information Office","https://data.austintexas.gov/d/3e38-4hji","Austintexas.gov  - Top 10 Searches","dataset","771","2018-06-08T00:00:00.000","Monthly","City Government","searchs,top 10,austintexas.gov,website","AustinGo","austingo@austintexas.gov","Public Domain","City of Austin, Texas","http://www.austintexas.gov",,,,,,"5"
"Austin Police","https://data.austintexas.gov/d/ei2n-fehk","RETIRED - APD Incident Extract 2009","dataset","770","2016-08-19T00:00:00.000","Daily","Public Safety",,"opendataatx",,"Public Domain","City of Austin",,,,,,,"8"
"City Clerk","https://data.austintexas.gov/d/gd3e-xut2","Campaign Finance - Expenditures Dataset","dataset","766","2019-05-02T00:00:00.000","As Needed","City Government","election,financial,campaign finance,expenditures,city clerk","City of Austin - Elections","elections@austintexas.gov","Public Domain","Office of the City Clerk",,,"N/A","N/A","Government that Works for All of Us","Government that Works for All of Us","2"
"Austin Energy","https://data.austintexas.gov/d/erps-465e","Austin Energy Operating Budget","dataset","765","2015-08-17T00:00:00.000","Annually","Utilities and City Services",,"Austin Energy",,"Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"N/A","N/A","Government that Works for All of Us","N/A","3"
"Communication and Technology Management","https://data.austintexas.gov/d/sswp-u5uh","AustinGO Keyword Search","dataset","764","2013-05-03T00:00:00.000","Monthly","City Government","google analytics,keywords,statistics","Divya Rathanlal","brad.mccarty@austintexas.gov","Public Domain",,,,,,,,"7"
"Municipal Court","https://data.austintexas.gov/d/uqe6-trgb","Municipal Court Caseload Information FY 2014","dataset","763","2019-04-18T00:00:00.000","Monthly","City Government","municipal,court,violation,traffic,tickets,cases,parking,criminal,ordinance","Jim Warren","jim.warren@austintexas.gov","Public Domain","Austin Municipal Court","https://www.austintexas.gov/AmcPublicInquiry/pubportal.aspx?ReturnUrl=%2fAmcPublicInquiry%2f",,"N/A","N/A","N/A","N/A","1"
"Austin Energy","https://data.austintexas.gov/d/c2a6-efzi","Renewable Resources","dataset","762","2019-01-10T00:00:00.000","Annually","Environment","climate protection plan,wind power,power,energy,solar","Austin Energy","Sarah.Lambert@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com/ae/",,"Green Infrastructure","N/A","Government that Works for All of Us","N/A","1"
"Austin Transportation","https://data.austintexas.gov/d/jqhg-imb3","Traffic Studies: Locations [BETA]","dataset","759","2019-05-07T00:00:00.000","Daily","Transportation and Mobility","transportation,traffic,speed,traffic counts,traffic studies,mobility,congestion,safety,vision zero","Austin Transportation","transportation.data@austintexas.gov","Public Domain","City of Austin Transportation Department",,,,,,,"6"
"Austin Energy","https://data.austintexas.gov/d/ad4p-xsn6","Plus 1 Fund","dataset","758","2018-02-26T00:00:00.000","As Needed","Utilities and City Services","plus 1,utility bill donation,utility bill,plus 1 fund","Austin Energy",,"Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"Household Affordability","Healthy Austin","Health","Government that Works for All of Us","2"
"Communication and Technology Management","https://data.austintexas.gov/d/ty45-9ayu","City Grid","gis map","468","2019-04-16T00:00:00.000","As Needed","Locations and Maps","austin,city,grid,200,location,agoltosocrata","EGS Data Services","geospatialdatadev@austintexas.gov","Public Domain","Communications and Technology Management",,,"N/A",,"N/A",,"4"
"Other","https://data.austintexas.gov/d/76qk-igxn","Community Survey 2015, 2016 & 2017","dataset","758","2018-04-03T00:00:00.000","Annually","City Government","community survey","Performance Office","performance@austintexas.gov","Public Domain","Office of Performance Management","https://www.austintexas.gov/financeonline/finance/financial_docs.cfm?ws=1&pg=6",,"Complete Communities (Imagine Austin vision)",,"Government that Works for All of Us",,"3"
"Communication and Technology Management","https://data.austintexas.gov/d/mkjr-t5r2","Addresses","gis map","753","2019-04-16T00:00:00.000","Daily","Locations and Maps","address,location,points,agoltosocrata","EGS Data Services",,"Public Domain","Communications and Technology Management/9-1-1 Addressing",,,,,,,"7"
"Communication and Technology Management","https://data.austintexas.gov/d/68hm-8k5p","Hydrography Manmade 2013","gis map","749","2019-05-01T00:00:00.000","Monthly","Locations and Maps","hydrography,manmade,2013","EGS Data Services","geospatialdatadev@austintexas.gov","Public Domain","Communications and Technology Management",,,"N/A","N/A","N/A","N/A","2"
"Watershed Protection","https://data.austintexas.gov/d/qzi7-nx8g","Recycle Drop Off Locations","dataset","746","2013-09-18T00:00:00.000","As Needed","Environment",,"Watershed Education","jessica.wilson@austintexas.gov","Open Database License","City of Austin Watershed Protection","http://www.austintexas.gov/department/watershed-protection",,,,,,"6"
"Communication and Technology Management","https://data.austintexas.gov/d/6b22-sm6w","Pools 2013","gis map","741","2019-05-01T00:00:00.000","As Needed","Locations and Maps","structure,swimming pool,planningcadastre,impervious cover,planimetrics","EGS Data Services",,"Public Domain","Communications and Technology Management",,,,,,,"7"
"Office of the City Auditor","https://data.austintexas.gov/d/acst-e5v8","Displacement and Gentrification Recommendation Inventory","dataset","737","2018-07-12T00:00:00.000","As Needed","City Government","gentrification,city manager,city council,affordability,housing,homelessness,displacement","Brad McCarty","austinauditor@austintexas.gov","Public Domain","City Manager's Office & Neighborhood Housing and Community Development",,,"Household Affordability","N/A","Economic Opportunity and Affordability","N/A","2"
"Neighborhood Housing and Community Development","https://data.austintexas.gov/d/xj3h-ppw2","Beneficiary Demographics Fiscal Year 2010-2011","dataset","734","2011-12-21T00:00:00.000","Annually","Building and Development","community,housing","Jonathan Tomko",,"Public Domain","City of Austin",,,,,,,"7"
"Austin Energy","https://data.austintexas.gov/d/vxq2-zjmn","Solar Program Current Incentive Levels and Available Capacity","dataset","729","2019-03-29T00:00:00.000","As Needed","Utilities and City Services","solar,rebate","Austin Energy","tim.harvey@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"Green Infrastructure","N/A","Government that Works for All of Us","N/A","1"
"Aviation","https://data.austintexas.gov/d/67kt-ykxh","Airport Monthly Operational Report","dataset","722","2019-03-21T00:00:00.000","Monthly","City Government","airport,operations,flights,statistics,mail,cargo,freight","Holly",,"Public Domain","Austin-Bergstrom International Airport",,,,,,,"7"
"Municipal Court","https://data.austintexas.gov/d/c69b-fkfx","Municipal Court Caseload Information FY 2010","dataset","713","2015-10-06T00:00:00.000","Monthly","City Government","municipal,court,violation,traffic,tickets,cases,parking,criminal,ordinance","Jim Warren","jim.warren@austintexas.gov","Public Domain","City of Austin","https://www.austintexas.gov/AmcPublicInquiry/pubportal.aspx?ReturnUrl=%2fAmcPublicInquiry%2fsearch%2fdocketsearch.aspx",,"N/A","N/A","N/A","N/A","1"
"Emergency Medical Services","https://data.austintexas.gov/d/bptg-ndvw","EMS - Ambulance Responses by Month","dataset","710","2019-05-01T00:00:00.000","Monthly","Public Safety","ems,responses,ambulance,atcems,workload,city,county,coa","Austin-Travis County EMS","EMSOpenData@austintexas.gov","Public Domain","Austin-Travis County EMS Field Operations","http://www.austintexas.gov/department/ems",,"N/A","N/A","N/A","N/A","1"
"Financial Services","https://data.austintexas.gov/d/8zxt-gcqu","2016 Annual Performance Report Key Indicators","dataset","710","2018-01-19T00:00:00.000","Annually","Budget and Finance","key indicator,kpi,measure,annual performance report","Performance Office","performance@austintexas.gov","Public Domain","Office of Performance Management","http://www.ci.austin.tx.us/budget/eperf/index.cfm",,"N/A","N/A","Government that Works for All of Us","N/A","1"
"Austin Resource Recovery","https://data.austintexas.gov/d/22wq-47zy","Brownfield Site List","dataset","704","2016-08-03T00:00:00.000","As Needed","Utilities and City Services","brownfields,arr,redevelopment,hazardous,contamination,revitalization,chemical","ARROpenData","ARROpenData@austintexas.gov","Public Domain","Austin Resource Recovery","https://www.austintexas.gov/department/austin-resource-recovery",,"Healthy Austin","N/A","Health","N/A","1"
"Watershed Protection","https://data.austintexas.gov/d/2jmf-2fa8","Springs and Seeps","gis map","704","2018-01-30T00:00:00.000","Monthly","Locations and Maps","biological resource gis,brg,critical environmental features,cefs,habitat,ecology,development","Rob",,"Public Domain","City of Austin, Watershed Protection","https://www.austintexas.gov/department/watershed-protection/codes-and-regulations",,,,,,"6"
"Austin Code Department","https://data.austintexas.gov/d/ttd7-isgm","Austin Code Task List","dataset","694","2019-05-08T00:00:00.000","Hourly","Public Safety","code,tasks,inspections,safety,service requests,complaints","Nate Brigmon","ACDITStaff@austintexas.gov","Public Domain","Austin Code Department",,,"N/A","N/A","Safety","Safety","2"
"Watershed Protection","https://data.austintexas.gov/d/9x9c-k5z2","Lake Bathymetry 2009","gis map","687","2019-03-13T00:00:00.000","As Needed","Locations and Maps","lake,bathymetry,2009","EGS Data Services","GeospatialDataDev@austintexas.gov","Public Domain","City of Austin, Watershed Protection Department",,,,,,,"6"
"Watershed Protection","https://data.austintexas.gov/d/2cgz-29c8","Austin's Small Scale Green Infrastructure","dataset","684","2016-04-11T00:00:00.000","Quarterly","Environment","garden bioswale,cistern,and green roofs,small scale green infrastructures","Watershed Education",,"Public Domain","Watershed Protection Education","http://www.austintexas.gov/department/watershed-protection",,,,,,"6"
"Watershed Protection","https://data.austintexas.gov/d/vk3r-6prc","Watershed Reach Index and Problem Scores","dataset","683","2017-12-06T00:00:00.000","Annually","Environment","water quality,watershed protection,creeks,eii,environmental integrity index,ali,austin lakes index","Rob","robert.clayton@austintexas.gov","Public Domain","City of Austin Watershed Protection Environmental Resource Management",,,,,,,"6"
"Neighborhood Housing and Community Development","https://data.austintexas.gov/d/3ns6-m3cy","Kirwan Opportunity Map GIS Shapefile","gis map","681","2017-09-21T00:00:00.000","As Needed","Locations and Maps","affordable,economic,mobility,kirwan,housing","Jonathan Tomko","jonathan.tomko@austintexas.gov","Public Domain","The Kirwan Institute","http://www.arcgis.com/home/webmap/viewer.html?webmap=5db08646b03547abab85aec0a3592fb7&extent=-99.5238,29.0922,-95.8049,31.4568",,,,,,"5"
"Austin Resource Recovery","https://data.austintexas.gov/d/y4h7-ti7f","Battery Drop Off Locations","dataset","671","2017-07-24T00:00:00.000","Biannually","Utilities and City Services","battery,drop off,location,arr","ARROpenData","ARROpenData@austintexas.gov","Public Domain","Austin Resource Recovery","http://www.austintexas.gov/department/austin-resource-recovery",,"Green Infrastructure","N/A","Government that Works for All of Us","N/A","1"
"Municipal Court","https://data.austintexas.gov/d/4gv8-96x2","Municipal Court Caseload Information FY 2013","dataset","665","2018-11-20T00:00:00.000","Monthly","City Government","municipal,court,violation,traffic,tickets,cases,parking,criminal,ordinance","Jim Warren","jim.warren@austintexas.gov","Public Domain","City of Austin, Municipal Court","http://www.austintexas.gov",,"N/A","N/A","N/A","N/A","1"
"Development Services","https://data.austintexas.gov/d/auyh-v9m2","Downtown Tree Inventory 2013","gis map","660","2017-09-21T00:00:00.000","As Needed","Locations and Maps","downtown,tree,inventory,central,business,district,cbd,arborist,urban,forest","Julia","Daniel.Krenzelok@austintexas.gov","Public Domain","City Arborist",,,,,,,"6"
"Austin Police","https://data.austintexas.gov/d/jmp6-p8e2","Austin Police Stations","dataset","659","2012-07-18T00:00:00.000","As Needed","Public Safety","police,apd,stations,police stations","opendataatx",,"Public Domain","City of Austin","http://www.austintexas.gov",,,,,,"6"
"Emergency Medical Services","https://data.austintexas.gov/d/hjne-yn95","EMS - Communications Measures","dataset","649","2019-05-04T00:00:00.000","Monthly","Public Safety","atcems,communications,ems,911,workload,performance,911 calls,mpds compliance,call processing,grade of service,ambulance,emergency medical services,austin,travis county","Austin-Travis County EMS","EMSOpenData@austintexas.gov","Public Domain","Austin-Travis County EMS Communications","http://www.atcems.org",,"N/A","N/A","N/A","N/A","1"
"Parks & Recreaction","https://data.austintexas.gov/d/42ix-g4e3","AARC Calendar","dataset","644","2016-12-20T00:00:00.000","Monthly","Recreation and Culture","aarc calendar","Michael",,"Public Domain",,,,,,,,"8"
"Telecom & Regulatory Affairs","https://data.austintexas.gov/d/h3kb-8atx","2016 Grant for Technology Opportunities Program Awardees","dataset","644","2016-04-15T00:00:00.000","Annually","City Government","grants,technology,digital inclusion,awards,programs,non-profit","John Speirs","digital.inclusion@austintexas.gov","Public Domain","Office of Telecommunications & Regulatory Affairs - Digital Inclusion Programs","http://gtops.org",,,,,,"5"
"Austin Water","https://data.austintexas.gov/d/wfm8-s7zc","Austin Water - Gallons of Water Pumped per Capita","dataset","642","2018-10-12T00:00:00.000","Annually","Utilities and City Services","aw,water,pumpage,capita","Patricia Genty Andrade",,"Public Domain","Austin Water","http://www.austintexas.gov/department/water",,"Sustainable Water",,"N/A",,"4"
"Austin Energy","https://data.austintexas.gov/d/cusd-m48y","Utility Payment Methods","dataset","641","2016-11-14T00:00:00.000","Annually","Utilities and City Services","payment,payment method,austin energy,customer,online,credit,debit","Austin Energy",,"Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"N/A","N/A","Government that Works for All of Us","N/A","2"
"Library","https://data.austintexas.gov/d/tc36-hn4j","Austin Public Library Locations","dataset","627","2018-09-24T00:00:00.000","As Needed","Recreation and Culture","library,books,meeting spaces,culture,computers,public","Bryce Benton","Bryce.Benton@austintexas.gov","Public Domain","Austin Public Library","http://library.austintexas.gov/",,"Workforce Development","Healthy Austin","Cultural and Learning Opportunities","Health","1"
"Austin Energy","https://data.austintexas.gov/d/bdrj-yu8a","Electric System Equipment","dataset","618","2016-11-01T00:00:00.000","Annually","Utilities and City Services","electric system,equipment,poles,man holes,service boxes,transmission lines,distributions","Austin Energy","Sarah.Lambert@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com/ae/",,"N/A","N/A","N/A","N/A","1"
"Communication and Technology Management","https://data.austintexas.gov/d/g4jr-h8r2","Core Transit Corridors","gis map","613","2019-04-16T00:00:00.000","Weekly","Locations and Maps","core,transit,corridors,development,code,transportation,mobility,agoltosocrata","EGS Data Services",,"Public Domain","Planning and Zoning",,,"N/A",,"N/A",,"5"
"Austin Energy","https://data.austintexas.gov/d/dpvb-c5fy","Green Building Aggregate Data","dataset","604","2018-01-18T00:00:00.000","Annually","Utilities and City Services","green building,sustainability,energy efficiency,energy,environment,community impact,innovation","Austin Energy",,"Public Domain","Austin Energy",,,,,,,"7"
"Telecom & Regulatory Affairs","https://data.austintexas.gov/d/92xm-uf99","Credit Access Businesses","dataset","599","2015-10-17T00:00:00.000","Monthly","City Government","cab,credit,access,business","Martha Hernandez",,"Public Domain","The State of Texas Office of Consumer Credit Commissioner","http://www.austintexas.gov",,,,,,"6"
"Development Services","https://data.austintexas.gov/d/mavg-96ck","Site Plan Cases","dataset","598","2019-05-08T00:00:00.000","Daily","Building and Development","site plan,site plan cases,development,city of austin,austin,development services department","DSD Open Data","dsdhelp@austintexas.gov","Public Domain","Development Services Department, City of Austin",,,"Land Development Regulations (CodeNEXT)",,"Government that Works for All of Us",,"4"
"Communication and Technology Management","https://data.austintexas.gov/d/ahuv-whai","Edwards Aquifer Recharge Zone","gis map","588","2019-04-16T00:00:00.000","Monthly","Locations and Maps","aquifer,recharge,zones,regulatory,agoltosocrata","EGS Data Services",,"Public Domain","TCEQ & Watershed Protection & Development Review",,,"N/A",,"N/A",,"5"
"Communication and Technology Management","https://data.austintexas.gov/d/73nu-3qnt","Urban Roadways","gis map","585","2019-04-17T00:00:00.000","As Needed","Locations and Maps","transportation,mobility,urban roadways,agoltosocrata","EGS Data Services",,"Public Domain","Planning and Zoning",,,"N/A",,"N/A",,"5"
"Capital Planning Office","https://data.austintexas.gov/d/nha4-9fvx","Mobility Talks: Find Us","dataset","584","2016-05-09T00:00:00.000","As Needed","City Infrastructure","mobility,cpo,atd,pwd,transportation","Ashley Parsons",,"Public Domain","City of Austin","http://www.austintexas.gov/mobilitytalks",,,,,,"6"
"Emergency Medical Services","https://data.austintexas.gov/d/cibe-gpzy","EMS - Patient Contacts by Month","dataset","579","2019-04-19T00:00:00.000","Monthly","Health and Community Services","ems,patient contacts,atcems,workload,patients,patient transports,patient transport rate,patient care,911,ambulance,austin,travis county,emergency medical services","Austin-Travis County EMS","EMSOpenData@austintexas.gov","Public Domain","Austin-Travis County EMS","http://www.austintexas.gov/department/ems",,"N/A","N/A","N/A","N/A","1"
"Watershed Protection","https://data.austintexas.gov/d/x2td-23yp","Hazardous Pipelines (Buffer)","gis map","575","2017-09-21T00:00:00.000","As Needed","Locations and Maps","planning cadastre,pipelines,hazardous features,zoning overlays,development","Rob",,"Public Domain","City of Austin, Watershed Protection","http://www.austintexas.gov/department/development-near-hazardous-liquids-pipelines",,,,,,"6"
"Austin Energy","https://data.austintexas.gov/d/jy83-ri8z","Green Building Commercial and Multifamily Ratings","dataset","573","2018-01-29T00:00:00.000","Annually","Utilities and City Services","green building,commercial buildings,multifamily ratings,energy,electricity,energy efficiency,leed","Austin Energy","Sarah.Lambert@austinenergy.com","Public Domain","Austin Energy","http://austinenergy.com/wps/portal/ae/about/reports-and-data-library/data-library/energy-efficiency-solar/",,"Green Infrastructure","N/A","N/A","N/A","1"
"Development Services","https://data.austintexas.gov/d/psx7-v95h","Tree Planting Prioritization 2014","gis map","572","2017-09-21T00:00:00.000","As Needed","Locations and Maps","tree,planting,prioritization,urban forestry,arborist,environment,urban,forest,master plan","Julia","alan.halter@austintexas.gov","Public Domain","City Arborist",,,,,,,"6"
"Austin Fire","https://data.austintexas.gov/d/cc8y-ws2x","AFD Standard of Cover","gis map","567","2017-09-21T00:00:00.000","Annually","Locations and Maps","response,afd,fire,cover,calls","opendataatx",,"Public Domain","Austin Fire Department",,,,,,,"7"
"Austin Transportation","https://data.austintexas.gov/d/et93-wr2y","Traffic Studies: Speed Reports [BETA]","dataset","562","2017-12-01T00:00:00.000","Daily","Transportation and Mobility","transportation,traffic,speed,traffic counts,traffic studies,mobility,congestion,safety,vision zero","Austin Transportation","transportation.data@austintexas.gov","Public Domain","City of Austin Transportation Department",,,,,,,"6"
"Austin Police","https://data.austintexas.gov/d/bcku-z9d8","Austin Police Forensics Quality Records","dataset","539","2015-01-20T00:00:00.000","Weekly","Public Safety","blood-alcohol,forensics,apd,austin police","Colleen Waters",,"Public Domain","Austin Police Department","http://www.austintexas.gov/police",,,,,,"6"
"Library","https://data.austintexas.gov/d/cr83-wy4q","Wireless Usage at Austin Public Library","dataset","533","2019-02-14T00:00:00.000","Monthly","Recreation and Culture","wifi,usage,library","Sarah","Sarah.Cronin@austintexas.gov","Public Domain","Austin Public Library","http://library.austintexas.gov/",,"Workforce Development","Healthy Austin","Cultural and Learning Opportunities","Health","1"
"Emergency Medical Services","https://data.austintexas.gov/d/5nys-nsyc","EMS - Fleet Maintenance","dataset","531","2019-04-04T00:00:00.000","Monthly","Public Safety","ems,atcems,fleet,911,ambulance,austin,emergency medical services,travis county","Austin-Travis County EMS","EMSOpenData@austintexas.gov","Public Domain","Austin-Travis County EMS Fleet & Facilities","http://www.austintexas.gov/department/ems",,"N/A","N/A","N/A","N/A","1"
"Austin Energy","https://data.austintexas.gov/d/e7fj-wxvd","Power Supply Adjustment/Fuel Charge","dataset","529","2019-01-31T00:00:00.000","Annually","Utilities and City Services","psa,power supply adjustment,fuel charge,austin energy,energy","Austin Energy",,"Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"N/A","N/A","Government that Works for All of Us","N/A","2"
"Telecom & Regulatory Affairs","https://data.austintexas.gov/d/nw8s-p3bj","Digital Inclusion Organization Inventory","dataset","521","2015-08-21T00:00:00.000","As Needed","City Government","computer lab,public access,digital inclusion","Sharla Chamberlain","sharla.chamberlain@austintexas.gov","Public Domain","City of AUstin",,,,,,,"6"
"Development Services","https://data.austintexas.gov/d/sjzt-gzvd","neigh_zoning_summary","dataset","520","2018-02-12T00:00:00.000","Daily","Building and Development","development,cases","DSD Open Data",,"Public Domain","City of Austin Development Services Department",,,"Healthy Austin","Household Affordability","Health","Safety","3"
"Communication and Technology Management","https://data.austintexas.gov/d/ak95-26gs","Creeks by Type","gis map","517","2019-04-16T00:00:00.000","Weekly","Locations and Maps","agoltosocrata","EGS Data Services","robert.clayton@austintexas.gov","Public Domain","City of Austin Watershed Protection","http://www.austintexas.gov/department/watershed-protection",,"Healthy Austin","N/A","Health","N/A","1"
"Parks & Recreation","https://data.austintexas.gov/d/876d-75ye","Austin Parks and Recreation Golf Clinics","dataset","517","2019-04-25T00:00:00.000","As Needed","Recreation and Culture","golf,golf instruction,golf course,golf swing","Betty","parksmarketing@austintexas.gov","Public Domain","City of Austin Park and Recreation","http://www.austintexas.gov/page/clinics-and-instruction",,"Complete Communities (Imagine Austin vision)","N/A","Cultural and Learning Opportunities","N/A","1"
"Austin Energy","https://data.austintexas.gov/d/ddh8-gyev","System Reliability","dataset","512","2019-01-09T00:00:00.000","As Needed","Utilities and City Services","system reliability,electric system reliability,energy,electric system,outage,electric outage,austin energy","Austin Energy","Sarah.Lambert@austinenergy.com","Public Domain","Austin energy","https://austinenergy.com/ae/",,"N/A","N/A","N/A","N/A","1"
"Fleet Services","https://data.austintexas.gov/d/98zg-jkqu","COA INFO BY MAKE AND MODEL","dataset","499","2019-05-07T00:00:00.000","As Needed","City Government",,"Fleet Services","fleettechnicalservices@austintexas.gov","Public Domain",,,,,,,,"8"
"Austin Energy","https://data.austintexas.gov/d/vwcu-h3qu","Utility Contact Center Total Contacts","dataset","498","2019-04-19T00:00:00.000","As Needed","Utilities and City Services","number of calls,calls,utility contact center,customer care,customer service","Thomas Thurber",,"Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"N/A","N/A","Government that Works for All of Us","N/A","2"
"Austin Public Health","https://data.austintexas.gov/d/cxhd-bvc3","Suicide Line Listing By Age Group And Gender 2012-2017","dataset","495","2018-08-22T00:00:00.000","Annually","Health and Community Services","suicide,deaths","Jeff","Jeff.Taylor@austintexas.gov","Public Domain","Office of Vital Records, Austin Public Health","http://www.austintexas.gov/birthcertificates",,"Healthy Austin",,"Health",,"3"
"Watershed Protection","https://data.austintexas.gov/d/czx3-fc8m","Grow Zones","gis map","485","2019-03-21T00:00:00.000","As Needed","Locations and Maps","vegetation,mowing,riparian,restoration,311,complaint,snake,rat,possum,raccoon,wildflowers,trees,regeneration,initiative,benefit,integrate nature,no mow","Rob",,"Public Domain","City of Austin, Watershed Protection Department, Parks and Recreation and Urban Forestry","http://www.austintexas.gov/creekside",,,,,,"6"
"Austin Energy","https://data.austintexas.gov/d/2b2e-w4kf","Budget Billing","dataset","475","2017-11-06T00:00:00.000","Annually","Budget and Finance","austin energy,budget billing","Austin Energy",,"Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"Household Affordability","N/A","Economic Opportunity and Affordability","N/A","2"
"Austin Energy","https://data.austintexas.gov/d/mpip-i8mq","Equivalent Availability Factor","dataset","475","2019-01-31T00:00:00.000","Annually","Utilities and City Services","equivalent availability factor,austin energy,energy","Austin Energy",,"Public Domain","Austin Energy",,,,,,,"7"
"Austin Energy","https://data.austintexas.gov/d/aw6n-x665","Customer Satisfaction","dataset","465","2018-12-05T00:00:00.000","Annually","Utilities and City Services","customer satisfaction,satisfaction,satisfied,austin energy,commercial,residential,key accounts","Austin Energy","Sarah.Lambert@austinenergy.com","Public Domain","Austin Energy",,,"Household Affordability","N/A","Government that Works for All of Us","N/A","2"
"Austin Energy","https://data.austintexas.gov/d/66kg-nz58","Power Supply Costs","dataset","462","2019-03-15T00:00:00.000","Annually","Utilities and City Services","coal,gas,nuclear,renewable,""fuel oil"",fuel","Austin Energy",,"Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"Green Infrastructure","N/A","N/A","N/A","2"
"Austin Transportation","https://data.austintexas.gov/d/x64f-gjq4","2015 Spring Festival Applications","dataset","456","2015-02-23T00:00:00.000","As Needed","Transportation and Mobility","temporary permit,temporary event permit,2015 spring,spring festival,special events,transportation,austin center for events,event,events","jhrncir",,"Public Domain","City of Austin, Austin Center for Events",,,,,,,"7"
"Communication and Technology Management","https://data.austintexas.gov/d/hqtp-6b78","Decks 2013","gis map","455","2019-05-01T00:00:00.000","As Needed","Locations and Maps","deck,impervious cover,structure,planimetrics","EGS Data Services",,"Public Domain","Communications and Technology Management",,,,,,,"7"
"Neighborhood Housing and Community Development","https://data.austintexas.gov/d/692b-xsit","Concentrations of Protected Classes from Analysis of Impediments","dataset","454","2015-09-04T00:00:00.000","As Needed","Building and Development","housing,poverty,minority,rcap,ecap,analysis of impediments,fair housing","Lauren","lauren.avioli@austintexas.gov","Public Domain","NHCD",,,,,,,"6"
"Watershed Protection","https://data.austintexas.gov/d/nvg2-p7k4","Rock Outcrops","gis map","454","2019-03-21T00:00:00.000","Monthly","Locations and Maps","biological resource gis,brg,critical environmental features,cefs,habitat,ecology,development","Rob",,"Public Domain","City of Austin, Watershed Protection","https://www.austintexas.gov/department/watershed-protection/codes-and-regulations",,,,,,"6"
