"bill_number","title","sponsor","final_status"
"SB 0567","Property Tax - Agricultural Accessory Use Improvements - Study and Report","Sarah Elfreth","Senate - Passed Enrolled"
"HB 1366","Zero""Emission Energy Resources and Carbon Capture, Use, and Sequestration - Renewable Energy Portfolio Standard and Study","Economic Matters","House - Hearing 3/10 at 1:00 p.m."
"SB 0031","Public Information Act - Inspection of Records From Body""Worn Digital Recording Devices","Charles Sydnor","House - Hearing canceled"
"SB 0910","Nondiscrimination - Courts and Other Governmental Entities - Prohibitions, Policy, and Training (Access to Justice for All Youth)","Jeff Waldstreicher","Senate - First Reading Senate Rules"
"SB 0081","Charter Counties - Enforcement of Local Building Performance Laws (Building Energy Performance Standards Act of 2022)","Brian Feldman","House - Referred Environment and Transportation"
"HB 0994","Public Utilities - Underground Facilities - One-Call System","Benjamin Brooks","House - Returned Passed"
"HB 0960","Natural Resources - Forest Mitigation Banks and the Forest Conservation Fund - Alterations","Ken Kerr","House - Hearing 3/02 at 1:00 p.m."
"HB 0736","Correctional Services - Inmate Release","Brenda Thiam","House - Withdrawn by Sponsor"
"HB 1373","Attorney General and State's Attorney - Law Enforcement - Conflict of Interest","Gabriel Acevero","House - Hearing 3/01 at 1:00 p.m."
"HB 1018","Public Safety and Behavioral Health Improvement Act","Ned Carey","House - Passed Enrolled"
"SB 0404","Working Marylanders Tax Relief Act of 2022","Jack Bailey","Senate - Hearing 2/09 at 1:00 p.m."
"SB 0588","Capital Projects - High Performance and Green Buildings","Shelly Hettleman","Senate - Hearing 2/15 at 1:00 p.m."
"HB 0042","Municipal Incorporation - County Commissioners or County Council - Required Consideration of Referendum Request","Mary Ann Lisanti","House - Hearing 1/18 at 1:00 p.m."
"HB 1226","Environment - Office of Recycling - Mattress Stewardship Program - Establishment","Terri Hill","House - Hearing 3/09 at 2:15 p.m. (Environment and Transportation)"
"HB 1372","Environment - Green Infrastructure Rebate Program - Establishment","Mary Lehman","House - Hearing 3/09 at 2:15 p.m."
"SB 1010","Motor Fuel Taxes - Tax-Free Period","Malcolm Augustine","Senate - Approved by the Governor - Chapter 2"
"SB 0751","First Responders and Emergency Responders - Definition - 9-1-1 Dispatchers Included","Bryan Simonaire","Senate - Hearing 3/08 at 1:00 p.m."
"SB 0197","Homestead Property Tax Credit Program - Retroactive Qualification and Calculation of the Credit","Budget and Taxation","Senate - Returned Passed"
"HB 0008","Labor and Employment - Family and Medical Leave Insurance Program - Establishment (Time to Care Act of 2022)","Kriselda Valderrama","House - Hearing 2/15 at 1:00 p.m."
"HB 0745","Election Law - Postelection Tabulation Audits - Risk-Limiting Audits","Anne Kaiser","Senate - Referred Education, Health, and Environmental Affairs"
"HB 1475","Legal Advertisement or Legal Notice - Publication in Newspaper or Newspaper in General Circulation - Online Newspapers","Dorchester County Delegation","House - First Reading House Rules and Executive Nominations"
"SB 0302","Legionnaires' Disease Prevention Act","Clarence Lam","Senate - Hearing 2/02 at 1:00 p.m."
"SB 0250","State Procurement - Payment Practices","Antonio Hayes","Senate - Passed Enrolled"
"SB 0062","Pharmacists - Nicotine Replacement Therapy Medication","Mary Washington","Senate - Passed Enrolled"
"HB 0246","Open Meetings Act - Notices, Closed Sessions, and Minutes - Retention Periods, Online Posting, and Public Inspection","Alfred Carr","House - Passed Enrolled"
"HB 0426","Vehicle Laws - Policies and Prohibition Against Discriminatory Traffic Stops","Samuel Rosenberg","House - Hearing 2/08 at 1:00 p.m."
"HB 1263","Environment - Office on Climate Change - Establishment","Pat Young","House - Withdrawn by Sponsor"
"HB 0381","Municipalities - Charter Amendments - Notice","Jared Solomon","Senate - Referred Education, Health, and Environmental Affairs"
"HB 1104","Affordable Housing Land Trusts - Funding and Property Tax Exemption","Nick Charles","House - Referred to interim study by Ways and Means"
"HB 0643","Health - Disclosure of Medical Records - Penalty","Heather Bagnall","House - Withdrawn by Sponsor"
"HB 0429","Public Safety - Law Enforcement Agencies - Body-Worn Cameras","Lesley Lopez","House - Hearing 3/01 at 1:00 p.m."
"HB 0274","Vehicle Laws - Manufacturers and Dealers - Prices Listed on Dealer Website","Lily Qi","House - Withdrawn by Sponsor"
"HB 0380","Montgomery County Board of Education - Election of Members MC 04""22","Montgomery County Delegation","House - Hearing 2/10 at 1:00 p.m."
"HB 0610","Public Health - Commission on Universal Health Care","Sheila Ruth","House - Hearing 3/10 at 1:30 p.m."
"SB 0158","Election Law - Voting Systems Costs and Polling Places - Requirements","Cheryl Kagan","Senate - Enacted under Article II, Section 17(b) of the Maryland Constitution - Chapter 35"
"HB 1004","Public Schools - Health Services - School Nurses","Geraldine Valentino-Smith","House - Hearing 3/04 at 1:00 p.m."
"SB 0298","Criminal Law - Threat Against Public Health Official or Hospital Staff Member","Ronald Young","Senate - Hearing 2/08 at 1:00 p.m."
"SB 0269","Open Meetings Act - Application and Enhanced Requirements (Maryland State Agency Transparency Act of 2022)","Cheryl Kagan","Senate - Passed Enrolled"
"HB 1094","Economic Development - Maryland Technology Infrastructure Pilot Program - Establishment","Jason Buckel","House - Hearing 3/02 at 1:00 p.m."
"HB 1318","Health Occupations - Mental Health Services - Cultural Competency and Diversity","Stephanie Smith","House - Hearing 3/03 at 1:30 p.m."
"SB 0662","Access to Counsel in Evictions Special Fund - Funding","Craig Zucker","Senate - Enacted under Article II, Section 17(b) of the Maryland Constitution - Chapter 40"
"HB 0508","Property Tax - Constant Yield Tax Rate - Notification Requirement","Mike Mckay","House - Hearing 2/15 at 1:00 p.m."
"HB 0166","Alzheimer's Disease and Dementia - Council and Coordination of Services (Dementia Services Act of 2022)","Sheree Sample-Hughes","House - Returned Passed"
"SB 0480","State Department of Education - Child Care Stabilization Grants","Katie Hester","House - Favorable Adopted Second Reading Passed"
"HB 0614","Workers"" Compensation - Medical Cannabis - Compensation and Benefits","Kriselda Valderrama","House - Withdrawn by Sponsor"
"SB 0684","Vehicle Laws - Drugged Driving - Oral Fluid Tests","Cheryl Kagan","Senate - Hearing 3/03 at 1:00 p.m."
"HB 0021","State Board for the Certification of Residential Child Care Program Professionals - Membership and Official Seal","Bonnie Cullison","House - Returned Passed"
"HB 1138","Homeowners' Property Tax Credit - Easy Application and Automatic Renewal","Jessica Feldmark","House - Hearing 3/01 at 1:00 p.m."
"SB 1002","Charter and Code Home Rule Counties - County Property Leases - Notice Exemptions","Adelaide Eckardt","Senate - Hearing 3/24 at 1:00 p.m."
"HB 0397","Maryland-National Capital Park and Planning Commission - Montgomery County - County Council and District Council - Voting Thresholds PG/MC 100-22","Prince George's County Delegation and Montgomery County Delegation","House - Returned Passed"
"SB 0856","Public Schools - Health Services - School Nurses","Adelaide Eckardt","Senate - Hearing 3/08 at 1:00 p.m."
"HB 0434","Motor Vehicles - Speed Limits - Establishment and Enforcement","Melissa Wells","Senate - Third Reading Passed (43-0)"
"HB 1450","Blueprint for Maryland's Future - Implementation Plans and Funds - Alterations","Maggie McIntosh","House - Enacted under Article II, Section 17(b) of the Maryland Constitution - Chapter 33"
"HB 0561","Child Custody - Cases Involving Child Abuse or Domestic Violence - Training for Judges","Wanika Fisher","Senate - Rereferred to Judicial Proceedings"
"HB 0158","Maryland New Start Act of 2022","Jazz Lewis","House - Passed Enrolled"
"HB 0710","Equitable and Inclusive Transit?Oriented Development Enhancement Act","Jazz Lewis","House - Hearing 2/17 at 1:00 p.m. (Environment and Transportation)"
"HB 0291","Election Law - Contested Elections","Anne Kaiser","House - Passed Enrolled"
"HB 0506","Constitutional Amendment - Beer and Wine Licenses - Retail Grocery Establishments","Lily Qi","House - Withdrawn by Sponsor"
"HB 0325","State Procurement - Payment Practices","Darryl Barnes","House - Passed Enrolled"
"HB 0517","Consumer Health Access Program for Mental Health and Addiction Care - Establishment","Robbyn Lewis","House - Hearing 2/23 at 1:30 p.m."
"SB 0493","Public Health - Commission on Universal Health Care","Paul Pinsky","Senate - Hearing 2/09 at 1:00 p.m."
"HB 0968","Health Occupations - Dental Assistants - Certification and Regulation","Nicholaus Kipke","House - Passed Enrolled"
"SB 0120","Acupuncture Licensure Requirements","Clarence Lam","Senate - Returned Passed"
"HB 0101","Landlord and Tenant - Repossession for Failure to Pay Rent - Lead Risk Reduction Compliance","Samuel Rosenberg","House - Hearing 1/18 at 1:00 p.m."
"HB 0456","Supplemental Nutrition Assistance Program - State Supplement","Geraldine Valentino-Smith","House - Returned Passed"
"SB 0851","Labor and Employment - User Name and Password Privacy - Law Enforcement Agencies","Jill Carter","House - Hearing canceled"
"SB 0999","Blue Ribbon Community Solar Land Use Commission","Stephen Hershey","Senate - First Reading Senate Rules"
"SB 0284","Election Law - Voter Registration Drive - High Schools","Mary Washington","Senate - Withdrawn by Sponsor"
"SB 0039","Task Force to Study the Feasibility of Returning to State Meat Processing Inspection (Farms Buy Local Act)","Bob Cassilly","Senate - Hearing 1/25 at 1:30 p.m."
"HB 0877","Juveniles Charged as Adults - Confinement","Judiciary","Senate - Hearing 3/24 at 1:00 p.m."
"HB 0324","Minority Participation in the Alcoholic Beverages Industry - Study","Darryl Barnes","House - Returned Passed"
"HB 1153","Vehicle Laws - Bicycles, Play Vehicles, and Unicycles - Riding on Sidewalks","Dana Jones","House - Hearing 3/03 at 1:00 p.m."
"SB 0736","Real Local Tax Relief for Working Families Act of 2022","Bryan Simonaire","Senate - Hearing 3/10 at 1:00 p.m."
"HB 0513","Infant and Early Childhood Mental Health Support Services Program - Established","Eric Ebersole","House - Passed Enrolled"
"SB 0345","Agriculture - Right to Engage in Equine Activities","J.B. Jennings","Senate - Hearing 2/08 at 1:00 p.m."
"SB 0027","Alzheimer's Disease and Dementia - Council and Coordination of Services (Dementia Services Act of 2022)","Malcolm Augustine","Senate - Passed Enrolled"
"HB 0241","Montgomery County - Damascus - Alcoholic Beverages - Class B Beer, Wine, and Liquor License Referendum MC 12-22","Montgomery County Delegation","House - Returned Passed"
"SB 0948","Public Utilities - Electric School Bus Pilot Program","Benjamin Kramer","Senate - Hearing 3/22 at 1:30 p.m."
"HB 0834","On""Site Sewage Disposal Systems - Outreach and Education (Septic Awareness Act of 2022)","Sara Love","Senate - Hearing 3/30 at 1:00 p.m."
"SB 0868","Developmental Disabilities Administration - Self""Directed Services (Self""Direction Act of 2022)","Susan Lee","House - Third Reading Passed (133-0)"
"HB 0141","Equity in Transportation Sector - Guidelines and Analyses","Sheila Ruth","House - Returned Passed"
"SB 0448","Education - Regional Resource Centers and Libraries - Funding","Nancy King","Senate - Passed Enrolled"
"HB 0179","Workgroup on Food Environments","Marlon Amprey","Senate - Hearing 3/31 at 1:00 p.m."
"SB 0216","Evidence - Approval of Breath and Blood Tests for Alcohol, Drugs, or Controlled Dangerous Substances","Judicial Proceedings","Senate - Returned Passed"
"HB 1170","Public Health - Sickle Cell Disease - Testing at a Community-Based Health Fair","Susan McComas","House - Hearing 3/07 at 2:00 p.m."
"HB 0153","Criminal Law - Sexual Crimes - Repeal of Spousal Defense","Charlotte Crutchfield","Senate - Motion Special Order until Later Today (Senator Ferguson) Adopted"
"HB 0264","Speed Monitoring Systems - School Zones - Nursery Schools","Michele Guyton","House - Hearing 2/03 at 1:00 p.m."
"HB 1069","Maryland Bedbug Detection and Treatment Act","Marvin Holmes","House - Withdrawn by Sponsor"
"HB 0988","Income Tax - Subtraction Modification for Classroom Supplies Purchased by Teachers - Alteration","Jay Walker","House - Hearing 3/02 at 1:00 p.m."
"SB 0246","Environment - Salt Applicator Certification Program - Establishment","Cheryl Kagan","Senate - Hearing 2/02 at 1:00 p.m."
"SB 0476","Alcoholic Beverages - Manufacturer's Licenses and Off-Site Permits - Sunset Extension","Katie Hester","House - Favorable Adopted Second Reading Passed"
"SB 0594","Winery and Vineyard Economic Development Grant Program","Guy Guzzone","Senate - Returned Passed"
"SB 0344","Retirement Tax Reduction Act of 2022","Stephen Hershey","Senate - Hearing 2/23 at 1:00 p.m."
"SB 0738","Secure Elections Act of 2022","Bryan Simonaire","Senate - Hearing 2/23 at 1:00 p.m."
"HB 0488","Local Public Campaign Financing - Expansion to Additional Offices","Jessica Feldmark","House - Hearing 2/08 at 1:00 p.m."
"SB 0007","Invasive and Native Plants - Classification, Listing, and Use","Sarah Elfreth","Senate - Returned Passed"
"HB 0092","Maryland General and Limited Power of Attorney Act - Assistance With Governmental Benefits and Programs","Terri Hill","Senate - Hearing 3/22 at 1:00 p.m."
"SB 0975","Property Tax Exemption - Disabled Veteran, Active Duty, and Surviving Spouse - Application Process","J.B. Jennings","House - Favorable Adopted Second Reading Passed"
"SB 0045","Income Tax - Credit for Energy Efficiency Upgrades - Passive Houses","Benjamin Kramer","Senate - Hearing 1/18 at 1:00 p.m."
"SB 0065","Cooperative Housing Corporations and Condominium Associations - Evidence of Insurance","Benjamin Kramer","Senate - Hearing 2/03 at 1:00 p.m."
"HB 0361","Mold Inspections and Remediation - Standards, Reporting, Penalties, and Tax Credit","Shaneka Henson","House - Withdrawn by Sponsor"
"HB 0524","Public Safety - Maryland Police Training and Standards Commission - Prohibition Against Certain Affiliation or Support by Police Officers","Gabriel Acevero","House - Hearing 3/01 at 1:00 p.m."
"SB 0640","Primary and Secondary Education - Maintenance of Effort Requirements - Alterations","Nancy King","Senate - Hearing 2/23 at 1:00 p.m."
"HB 0213","Health Information Exchanges - Definition and Privacy Regulations","Ariana Kelly","House - Returned Passed"
"SB 0655","Unemployment Insurance - Federal Extended Benefits for Long-Term Unemployment","Katherine Klausmeier","Senate - Returned Passed"
"SB 0134","Maryland Police Training and Standards Commission - Training Requirements - Electronic Stalking","Susan Lee","House - Favorable Adopted Second Reading Passed"
"HB 0889","Public Assistance Programs - Data Sharing and Review (Welfare Program Integrity Act of 2022)","Sid Saab","House - Hearing 3/10 at 1:00 p.m."
"HB 0110","Criminal Law - Stalking - Penalties","Emily Shetty","House - Withdrawn by Sponsor"
"HB 0124","Income Tax - Subtraction Modification for Veterans","Benjamin Brooks","House - Hearing 1/13 at 1:00 p.m."
"HB 0226","Public Schools - Self-Contained Special Education Classroom Video Recording Pilot Program","Michele Guyton","Senate - Referred Education, Health, and Environmental Affairs"
"SB 0564","Landlord and Tenant - Eviction Prevention Services","Susan Lee","House - Hearing 3/30 at 1:00 p.m. (Judiciary)"
"HB 0693","Courts - Surcharges and Payment to Special Funds","Luke Clippinger","House - Hearing 2/16 at 1:00 p.m."
"SB 0778","Maryland Medical Assistance Program - Children and Pregnant Women (Healthy Babies Equity Act)","Clarence Lam","House - Referred Rules and Executive Nominations"
"HB 0371","Environment - Salt Applicator Certification Program - Establishment","Lily Qi","House - Hearing 2/09 at 1:00 p.m."
"SB 0639","Consumer Protection - Security Questions and Measures","Cheryl Kagan","Senate - Hearing 3/09 at 1:00 p.m."
"SB 0023","Equity in Transportation Sector - Guidelines and Analyses","Jill Carter","House - Referred Rules and Executive Nominations"
"SB 0548","Local Health Officers - Removal - Process","Clarence Lam","Senate - Returned Passed"
"HB 0870","Vehicle Towing or Removal - Secured Parties - Electronic Notification","Linda Foley","House - Returned Passed"
"HB 1339","Cybersecurity - Critical Infrastructure and Public Service Companies (Critical Infrastructure Security Act of 2022)","Ken Kerr","House - Unfavorable Report by Economic Matters"
"HB 0550","Alcoholic Beverages - Manufacturer's Licenses and Off-Site Permits - Sunset Extension","Courtney Watson","House - Returned Passed"
"SB 0176","Vehicle Laws - Rear-Facing Child Safety Seats - Requirement","Judicial Proceedings","Senate - Returned Passed"
"SB 0334","Long-Term Power Purchase Agreements for Renewable Energy Workgroup and Minority-Owned and Women-Owned Businesses Study","Brian Feldman","House - Referred Economic Matters"
"HB 1391","Clean Cars Act of 2022","David Fraser-hidalgo","House - Passed Enrolled"
"HB 0441","Baltimore City - Pretrial Release of Defendant - Notice","Luke Clippinger","Senate - Referred Judicial Proceedings"
"HB 0107","Cooperative Housing Corporations, Condominiums, and Homeowners Associations - Reserve Studies - Statewide","Marvin Holmes","House - Passed Enrolled"
"HB 0069","State Department of Assessments and Taxation - Real Property Assessments and Appeals","Marlon Amprey","Senate - Third Reading Passed (47-0)"
"HB 0026","Real Property - Regulation of Common Ownership Community Managers","Marvin Holmes","House - Hearing 1/18 at 1:00 p.m."
"SB 0633","Public Safety - 9-1-1 Emergency Telephone System - Alterations","Cheryl Kagan","Senate - Passed Enrolled"
"HB 0894","Transportation Electrification and Modernization (TEAM) Act","Environment and Transportation","House - Hearing 2/25 at 1:00 p.m. (Environment and Transportation) and Hearing canceled (Economic Matters)"
"HB 1403","Maryland Department of Health - Waiver Programs - Waitlist and Registry Reduction (End the Wait Act)","Joseline Pena-Melnyk","House - Returned Passed"
"SB 0733","Community Solar Energy Generating Systems Pilot Program - Alterations","Benjamin Kramer","Senate - Hearing 3/01 at 1:00 p.m."
"SB 0893","Public Safety - Safer Communities Fund and Task Force - Establishment","William Smith","Senate - Hearing 3/15 at 1:00 p.m. (Judicial Proceedings)"
"SB 0433","Labor and Employment - Workers' Compensation Claims - Fees for Legal Services","Katherine Klausmeier","Senate - Hearing 3/08 at 1:00 p.m."
"SB 0846","Economic Development - Maryland Technology Infrastructure Pilot Program - Establishment","George Edwards","Senate - Hearing 3/01 at 1:00 p.m."
"SB 0028","Home- and Community-Based Services Waiver - Participation and Applications","Delores Kelley","Senate - Returned Passed"
"HB 0144","Motor Fuel Tax Rates - Consumer Price Index Adjustment - Repeal","Matt Morgan","House - Hearing 1/19 at 1:00 p.m."
"HB 0147","Maryland Farms and Families Fund, Maryland Food and Agricultural Resiliency Mechanism Grant Program, and Maryland Farm""to""School Meal Grant Pilot Program - Alterations and Establishment","Lorig Charkoudian","House - Third Reading Passed (130-3)"
"SB 0805","Income Tax - Child Tax Credit - Alterations and Sunset Extension","Nancy King","Senate - Hearing 3/09 at 2:00 p.m."
"HB 0766","Children - Residential Treatment Centers - Education Funding","Anne Kaiser","House - Passed Enrolled"
"HB 0288","Sales and Use Tax - Baby Products - Exemption","Brian Crosby","House - Approved by the Governor - Chapter 9"
"HB 0703","Real Property - Actions to Repossess - Judgment for Tenants and Proof of Rental Licensure","Mary Lehman","Senate - Referred Rules"
"HB 0103","Property Tax Credit for Disabled Veterans - Established","Benjamin Brooks","House - Hearing 1/13 at 1:00 p.m."
"SB 0726","Transportation - Highway User Revenues - Revenue and Distribution","Cory McCray","House - Rereferred to Environment and Transportation"
"HB 0044","Maryland Medical Assistance Program - Emergency Service Transporters - Reimbursement","Kevin Hornberger","Senate - Referred Rules"
"SB 0407","Health Occupations - Health Care Staffing Shortage Emergency - Declaration and Licensing and Practice Requirements (Health Care Heroes Act of 2022)","Jack Bailey","Senate - Hearing 2/09 at 1:00 p.m. (Finance)"
"SB 0613","Commercial Vehicles - Police-Initiated Towing - Requirements","Jeff Waldstreicher","House - Referred Rules and Executive Nominations"
"HB 0738","Property Tax - Credit for Longtime Residents to Offset Property Tax Rate Increase","Ric Metzgar","House - Hearing 2/22 at 1:00 p.m."
"HB 0268","Property Tax - Exemptions for Business Personal Property - Alterations","Shaneka Henson","House - Returned Passed"
"SB 0946","Transportation - Highway User Revenues - Distribution","Mary Washington","Senate - Hearing 3/15 at 1:00 p.m."
"SB 0991","Tax Sales - Foreclosure of Rights of Redemption","George Edwards","Senate - First Reading Senate Rules"
"SB 0282","Workgroup on Screening Related to Adverse Childhood Experiences","Malcolm Augustine","Senate - Hearing 2/08 at 1:00 p.m."
"SB 0491","Property Tax - Taxation of Business Property - Tax Rates, Exemptions, and Credits","Joanne Benson","Senate - Withdrawn by Sponsor"
"HB 0881","Landlord and Tenant - Residential Leases and Holdover Tenancies - Local Just Cause Termination Provisions","Jheanelle Wilkins","House - Hearing 2/22 at 1:00 p.m."
"HB 1084","COVID-19 Response Act of 2022","Joseline Pena-Melnyk","House - Hearing 3/14 at 2:00 p.m."
"HB 1100","Child Care Providers and Employees - Bonuses","Pamela Queen","House - Passed Enrolled"
"SB 0610","Commercial Law - Consumer Protection - Online Marketplace Disclosure Requirements (INFORM Consumers Act of 2022)","J.B. Jennings","Senate - Hearing 3/02 at 1:00 p.m."
"HB 0445","Property Tax - Constant Yield Tax Rate - Notice Requirements","Stephanie Smith","House - Referred to interim study by Ways and Means"
"HB 0674","Landlord and Tenant - Stay of Eviction Proceeding for Rental Assistance Determination","Vaughn Stewart","Senate - Referred Rules"
"SB 0115","Law Enforcement Officers - Compensation and Benefits - Study","Michael Jackson","House - Referred Rules and Executive Nominations"
"HB 1070","Solid Waste Disposal and Diversion and On?Farm Composting and Compost Use","Regina Boyce","House - Hearing 3/02 at 1:00 p.m."
"HB 0480","Homestead Property Tax Credit - Calculation of Credit for Dwelling Purchased by First-Time Homebuyer","Bob Long","House - Hearing 2/15 at 1:00 p.m."
"SB 0194","Property Tax - Deadline Extension for Homeowners to Redeem Property Involved in a Tax Sale","Budget and Taxation","Senate - Hearing 1/19 at 1:00 p.m."
"SB 0249","Baltimore City - Cigarettes, Other Tobacco Products, and Electronic Smoking Devices - Local Laws Authorization","Antonio Hayes","Senate - Withdrawn by Sponsor"
"HB 0651","Criminal Procedure - No""Knock Search Warrants - Repeal","Robin Grammer","House - Hearing 3/01 at 1:00 p.m."
"SB 0532","Election Law - Polling Places - Proof of Identity","Justin Ready","Senate - Hearing 2/23 at 1:00 p.m."
"HB 0245","Program for Preventing HIV Infection for Rape Victims - Alterations and Repeal of Sunset","Kirill Reznik","House - Returned Passed"
"HB 0157","Vehicle Laws - Plug-In Electric Drive Vehicles - Reserved Parking Spaces","Kumar Barve","House - Returned Passed"
"HB 0410","Transportation - Highway User Revenue - Distribution","Carl Anderton","House - Hearing 3/10 at 1:00 p.m."
"HB 1269","Family Law - Child Care - Volunteer Clearance","Haven Shoemaker","House - Hearing 3/03 at 1:00 p.m."
"SB 0486","Places of Public Accommodation and Public Buildings - Gender-Inclusive Signage","Cheryl Kagan","Senate - Hearing 2/15 at 1:00 p.m. (Judicial Proceedings)"
"HB 1411","Homeowners' Property Tax Credit - Eligibility and Calculation - Alterations","Nicholaus Kipke","House - First Reading House Rules and Executive Nominations"
"HB 0629","Election Law - Polling Places and Early Voting Centers - Electronic Devices","Julie Palakovich Carr","House - Hearing 2/15 at 1:00 p.m."
"SB 0123","Income Tax - Subtraction Modification - Retirement Income","Katherine Klausmeier","Senate - Hearing 2/23 at 1:00 p.m."
"HB 0134","Failure to Pay Rent Proceedings - Prohibition on Rent Increases and Sealing of Court Records","Terri Hill","House - Hearing 1/18 at 1:00 p.m. (Environment and Transportation)"
"SJ 0003","Maryland Citizens' Legislative Districting Plan of 2022","President","Senate - Hearing 1/18 at 3:00 p.m."
"HB 0918","Montgomery County - Landlord and Tenant - Tenant Access to Cable Television Systems and Equipment MC 01-22","Montgomery County Delegation","Senate - Hearing 3/31 at 1:00 p.m. (Judicial Proceedings) and Hearing canceled (Finance)"
"HB 0772","Maryland Energy Administration - Energy and Water Efficiency Standards - Alterations","Sheila Ruth","House - Returned Passed"
"HB 0019","Education - School Construction - Pedestrian Safety Plans (Safe Walk to School Act)","Jared Solomon","House - Passed Enrolled"
"HB 0653","Conservation Finance Act","Sara Love","House - Returned Passed"
"SB 0387","Public Safety - Untraceable Firearms","Susan Lee","Senate - Enacted under Article II, Section 17(b) of the Maryland Constitution - Chapter 19"
"SB 0133","State Board for the Certification of Residential Child Care Program Professionals - Membership and Official Seal","Mary Washington","Senate - Passed Enrolled"
"SB 0793","Alcoholic Beverage Tax - Ready-to-Drink Cocktails","Guy Guzzone","Senate - Hearing 3/10 at 1:00 p.m."
"SB 0782","Workgroup on the Post-COVID-19 Crisis Economic Transition","Katie Hester","House - Unfavorable Report by Economic Matters"
"SB 0544","Election Law - Casting General Election Ballot in Multiple States - Prohibition","Justin Ready","Senate - Hearing 2/23 at 1:00 p.m."
"SB 0056","Program Open Space - Local Plans and Programs - General Assembly Approval","Arthur Ellis","Senate - Hearing 1/25 at 1:30 p.m."
"HB 1446","Universities at Shady Grove Regional Higher Education Center - Workforce Development Programs - Funding","Jared Solomon","House - Passed Enrolled"
"SB 0033","Criminal Law - Sexual Crimes - Fourth-Degree Sexual Offense and Spousal Defense","Susan Lee","Senate - Senate Conference Committee Appointed (Senators Lee, Hettleman and West)"
"HB 0505","Montgomery County - Land Use Documents - Certification PG/MC 107-22","Prince George's County Delegation and Montgomery County Delegation","House - Withdrawn by Sponsor"
"HB 0284","Criminal Procedure - Out of Court Statements - Child Victims and Witnesses","Charlotte Crutchfield","House - Returned Passed"
"HB 0089","State Department of Education - Child Care Stabilization Grants","Pamela Queen","Senate - Third Reading Passed (46-0)"
"SB 0405","Income Tax - Retirement Income Subtraction Modifications and Senior Credit (Retirement Tax Elimination Act of 2022)","Jack Bailey","Senate - Approved by the Governor - Chapter 4"
"HB 1331","Coal Ash - Use, Recycling, and Management (Coal Ash Recycling Act of 2022)","Mike Mckay","House - Hearing 3/11 at 2:00 p.m. (Environment and Transportation)"
"HB 0695","Environment - Climate Crisis Plan - Requirement (Better Together to Save Our Weather Act of 2022)","David Fraser-hidalgo","House - Hearing 2/18 at 11:00 a.m."
"HB 0778","Transportation - Investment Program - MARC Rail Service (Maryland Regional Rail Transformation Act)","Jared Solomon","Senate - Gubernatorial Veto Override (Legislative date: 4/8/2022) - Chapter 54"
"SB 0046","Housing and Community Development - Programs and Projects - Requirements","Cory McCray","House - Hearing 3/29 at 1:00 p.m."
"SB 0719","Human Services - Office of Home Energy Programs - Power to the People Pilot Program Personnel and Uniform Redetermination Process","Joanne Benson","Senate - Returned Passed"
"HB 0198","Vehicle Laws - Towing - Clearing and Disposal of Debris","Eric Ebersole","House - Withdrawn by Sponsor"
"SB 0807","Frederick County - Mental Health Law - Assisted Outpatient Treatment Pilot Program","Michael Hough","Senate - Hearing 3/08 at 1:00 p.m."
"SB 0612","Street Racing, Exhibition Driving, and Noise Abatement - Prohibited Acts, Enforcement, and Penalties","Pamela Beidle","House - Second Reading Passed with Amendments"
"SB 0780","Cybersecurity Governance Act of 2022","Katie Hester","Senate - Hearing 3/03 at 1:00 p.m. (Education, Health, and Environmental Affairs)"
"SB 0085","Property Tax Credit for Disabled Veterans - Established","Michael Jackson","Senate - Hearing 2/09 at 1:00 p.m."
"HB 0028","Pharmacists - Nicotine Replacement Therapy Medication","Harry Bhandari","House - Passed Enrolled"
"HB 0298","Landlord and Tenant - Eviction Actions - Filing Surcharge and Prohibited Lease Provisions","Speaker","House - Hearing 2/16 at 1:00 p.m."
"HB 0858","Alcoholic Beverages - Class A Licenses - Retail Grocery Establishments","Regina Boyce","House - Unfavorable Report by Economic Matters"
"HB 1426","Primary and Secondary Education - Maintenance of Effort Requirements - Alterations","Eric Luedtke","House - Withdrawn by Sponsor"
"SB 0438","Young Readers Programs - Establishment (Young Readers Program Expansion Act)","Cory McCray","Senate - Returned Passed"
"HB 0934","Gasoline-Powered Leaf Blowers - Sale, Offering for Sale, and Use - Prohibition","Linda Foley","House - Withdrawn by Sponsor"
"HB 0137","Vehicle Laws - Intersections - Prohibited Acts","Alfred Carr","House - Hearing 1/13 at 1:00 p.m."
"HB 0383","Young Readers Programs - Establishment (Young Readers Program Expansion Act)","Marc Korman","House - Returned Passed"
"SB 0651","Natural Resources - Forest Mitigation Banks and the Forest Conservation Fund - Alterations","Ronald Young","Senate - Hearing 3/01 at 1:00 p.m."
"HB 1381","Environment - Fire-Fighting Training - Oriented Strand Board - Prohibition","Pat Young","Senate - Hearing 3/30 at 1:00 p.m."
"HB 0244","Civil Actions - Damages - Use of Race, Ethnicity, and Gender Data","David Moon","House - Returned Passed"
"HB 1071","Speed Monitoring Systems - Real-Time Posting of Vehicle Speed","William Wivell","House - Hearing 3/03 at 1:00 p.m."
"SB 0490","Maryland Recycling Act - Recyclable Materials and Solid Waste Stream - Alteration","Justin Ready","Senate - Withdrawn by Sponsor"
"HB 0172","Income Tax - Subtraction Modification - Union Dues","Eric Luedtke","House - Passed Enrolled"
