"bill_no","title","enacted_bill","sponsors","co_sponsors","introduction_date","expiration_date_of_pending_bills","public_hearing_date","action_date","effective_date","effective_date_2","sunset_date","mc_code_chapter","mc_code_section","lmc_chapter_no","status","yeas","nays","abstain","absent","final_vote","executive_action","lead_analyst","veto_override_date","veto_override_vote","disapprove_date","voted_to_disapprove_vote","withdrawn_date"
"20-18E","Special Capital Improvements Project - Bus Rapid Transit: US 29","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2573_1_252_Bill_20-18E_Signed_20180702.pdf","Council President at the Request of the County Executive",,"2018-05-24T00:00:00.000",,"2018-06-19T00:00:00.000","2018-06-19T00:00:00.000","2018-07-02T00:00:00.000",,,"Adding to LMC 2018",,"Ch. 15. LMC 2018","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 7/2/18","Glenn Orlin",,,,,
"48-20E","Human Rights and Civil Liberties � Building Maintenance Worker � Minimum Work Week � Effective Date","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2686_1_13162_Bill_48-20E_Signed_20201221.pdf","County Council",,"2020-12-01T00:00:00.000",,"2020-12-08T00:00:00.000","2020-12-08T00:00:00.000","2020-12-21T00:00:00.000",,,,,"Ch. 42. LMC 2020","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 12/21/2020",,,,,,
"35-12","Trees - Tree Canopy Conservation","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?845_1_2650_Bill_35-12_Signed_20140301.pdf","Council President at the Request of the County Executive",,"2012-11-27T00:00:00.000","2014-05-27T00:00:00.000","2013-01-17T00:00:00.000","2013-07-23T00:00:00.000","2014-03-01T00:00:00.000",,,"55","55-1,55-2,55-3, 55-4, 55-5, 55-6, 55-7, 55-8, 55-9, 55-10, 55-11, 55-12, 55-13 and 55-14","Ch. 21, LMC 2013","Enacted","Andrews, Berliner, Elrich, Ervin, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 07/31/2013","Michael Faden",,,,,
"36-12","Taxation - Hotel/Motel Tax - Use of Revenues","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?846_1_2632_Bill_36-12_Signed_20130701.pdf","Floreen, Rice, Berliner, Navarro",,"2012-11-27T00:00:00.000","2014-05-27T00:00:00.000","2013-01-15T00:00:00.000","2013-02-12T00:00:00.000","2013-07-01T00:00:00.000",,,"52","52-16","Ch. 6, LMC 2013","Enacted","Andrews, Berliner, Elrich, Ervin, Floreen, Leventhal, Navarro, Rice","Riemer",,,"8 Yeas - 1 Nays","Approved 2/25/2013","Michael Faden",,,,,
"30-20E","Administration - Executive Branch - Chief Digital Officer","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2669_1_10871_Bill_30-20E_Signed_20200807.pdf","Council President at the Request of the County Executive",,"2020-07-07T00:00:00.000",,"2020-07-21T00:00:00.000","2020-07-29T00:00:00.000","2020-08-07T00:00:00.000",,,,,"Ch. 25. LMC 2020","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 8/7/20",,,,,,
"8-22E","Fire and Rescue Services � Length of Service Awards Programs for Volunteers � Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2749_1_21372_Bill_8-22E_Signed_20220705.pdf","Council President at the Request of the County Executive",,"2022-04-19T00:00:00.000",,"2022-05-10T00:00:00.000","2022-06-21T00:00:00.000","2022-07-05T00:00:00.000",,,,,"Ch. 15, 2022","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Riemer",,,,"8 Yeas - 0 Nays","Approved 7/5/2022",,,,,,
"4-14","Streets and Roads - County Street Lights","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?889_1_2291_Bill_4-14_Signed_20140731.pdf","Berliner, Floreen, Riemer, Leventhal, Elrich, Andrews, Navarro",,"2014-01-28T00:00:00.000",,"2014-02-11T00:00:00.000","2014-04-22T00:00:00.000","2014-07-31T00:00:00.000",,,"49","49-19A","Ch. 7, LMC 2014","Enacted","Andrews, Berliner, Branson, Elrich, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 5/01/2014","Amanda Mihill",,,,,
"2-18","Ethics - Conflicts of Interest - Financial Disclosure - Lobbying - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1494_1_444_Bill_2-18_Signed_20180522.pdf","Council President at the request of the Ethics Commission",,"2018-02-06T00:00:00.000",,"2018-03-06T00:00:00.000","2018-04-17T00:00:00.000","2018-07-24T00:00:00.000",,,"Amending Ch. 5A; 8A; 19A","Sections: 5A-4; 8A-32; 19A-1 l, 19A-13, 19A-18, 19A-19, 19A-21, 19A-22, and 19A-23","Ch. 7. LMC 2018","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 4/24/18","Robert Drummer",,,,,
"36-17E","Taxation - Development Impact Tax - Exemptions - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1462_1_530_Bill_36-17E_Signed_20180215.pdf","Floreen","Katz","2017-10-31T00:00:00.000",,"2017-12-05T00:00:00.000","2018-02-06T00:00:00.000","2018-02-15T00:00:00.000",,,"Amending 2015 LMC Ch. 37",,"Ch. 2, LMC 2018","Enacted","Berliner, Elrich, Floreen,  Katz,  Navarro, Rice, Riemer","Hucker, Leventhal",,,"7 Yeas - 2 Nays","Approved 2/15/18","Jeffrey Zyontz",,,,,
"15-22E","Special Capital Improvements Project � Kennedy Shriver Aquatic Center Building Envelope Improvement (P721503)","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2756_1_22438_Bill_15-22E_Signed_20220725.pdf","Council President at the Request of the County Executive",,"2022-06-14T00:00:00.000",,"2022-06-21T00:00:00.000","2022-06-28T00:00:00.000","2022-10-24T00:00:00.000",,,,,"Ch. 20, 2022","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 7/25/2022",,,,,,
"17-15","Motor Vehicle Towing and Immobilization on Private Property - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?965_1_1598_Bill_17-15_Signed_20151130.pdf","Berliner","Rice, Katz, Navarro, Hucker, Riemer, Elrich, Floreen, Leventhal","2015-04-14T00:00:00.000",,"2015-06-16T00:00:00.000","2015-07-21T00:00:00.000","2015-11-30T00:00:00.000",,,"30C","30C-1, 30C-2, 30C-3, 30C-4, 30C-5, 30C-7, 30C-8, and 30C-11","Ch. 40, LMC 2015","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 7/31/2015","Josh Hamlin",,,,,
"10-16E","Taxation - Residential Real Property Tax Deferral - Senior Citizens","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1011_1_1212_Bill_10-16E_Signed_20160701.pdf","Berliner, Katz, Riemer","Floreen, Rice, Navarro, Elrich, Hucker","2016-04-05T00:00:00.000",,"2016-04-26T00:00:00.000","2016-05-18T00:00:00.000","2016-07-01T00:00:00.000",,,"Amending 52","52-18F","Ch. 17, LMC 2016","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 5/25/2016","Amanda Mihill",,,,,
"34-10","Finance - Public Facilities - Private Projects","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?743_1_3444_Bill_34-10_Signed_20110307.pdf","Leventhal","Knapp, Elrich","2010-05-18T00:00:00.000","2011-11-18T00:00:00.000","2010-06-22T00:00:00.000","2010-11-23T00:00:00.000","2011-03-07T00:00:00.000",,,"20","20-14","Ch. 48, LMC 2010","Enacted","Navarro, Knapp, Andrews, Berliner, Elrich, Leventhal","Ervin, Floreen",,"Trachtenberg","6 Yeas - 2 Nays","Approved 12/6/2010","Amanda Mihill",,,,,
"39-14","Ethics - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?924_1_2003_Bill_39-14_Signed_20151030.pdf","Council President at the request of the Ethics Commission",,"2014-07-29T00:00:00.000",,"2014-09-16T00:00:00.000","2015-07-21T00:00:00.000","2015-10-30T00:00:00.000",,,"19A","19A-4, 19A-16, 19A-17, 19A-18, 19A-19, and 19A-20","Ch. 38, LMC 2015","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 7/31/2015","Michael Faden",,,,,
"46-21","Environmental Sustainability � Commercial Property Assessed Clean Energy Program � Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2737_1_20137_Bill_46-21_Signed_20220328.pdf","Council President at the Request of the County Executive",,"2021-11-30T00:00:00.000",,"2022-01-11T00:00:00.000","2022-03-15T00:00:00.000","2022-06-27T00:00:00.000",,,,,"Ch. 9, 2022","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Riemer",,,"Rice","8 Yeas - 0 Nays","Approved 3/28/2022",,,,,,
"26-14E","Parking Lot Districts - Transfer of Funds","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?911_1_2098_Bill_26-14E_Signed_20140701.pdf","Berliner, Branson, Floreen, Riemer",,"2014-05-06T00:00:00.000",,"2014-05-13T00:00:00.000","2014-05-22T00:00:00.000","2014-07-01T00:00:00.000",,,"60","60-16","Ch. 14, LMC 2014","Enacted","Andrews, Berliner, Branson, Elrich, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 5/28/2014","Michael Faden",,,,,
"16-21","Environmental Sustainability - Building Energy Use Benchmarking and Performance Standards - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2707_1_20205_Bill_16-21_Signed_20220502.pdf","Council President at the Request of the County Executive",,"2021-05-04T00:00:00.000",,"2021-06-15T00:00:00.000","2022-04-19T00:00:00.000","2022-08-01T00:00:00.000",,,,,"Ch. 13, 2022","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 5/2/2022",,,,,,
"27-19","Administration - Human Rights - Office of Racial Equity and Social Justice - Racial Equity and Social Justice Committee - Established","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2623_1_10216_Bill_27-19_Signed_20191202.pdf","Navarro","Jawando, Rice, Hucker, Riemer, Katz, Albornoz, Friedson, Glass","2019-09-17T00:00:00.000",,"2019-10-22T00:00:00.000","2019-11-19T00:00:00.000","2020-03-02T00:00:00.000","2020-08-01T00:00:00.000",,"Amending Ch 1A;Ch 2;Ch 33A. Adding Ch 2; Article XIV; Ch 27","Amending Section 1A-201; Section 33A-14. Adding Section 2-81C; Section 27-83","Ch. 27. LMC 2019","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 12/2/19","Robert Drummer",,,,,
"35-14E","Weapons - Discharge of Bows - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?920_1_2035_Bill_35-14E_Signed_20140805.pdf","Leventhal, Berliner, Rice",,"2014-06-10T00:00:00.000",,"2014-07-15T00:00:00.000","2014-07-29T00:00:00.000","2014-08-05T00:00:00.000",,,"57","57-06","27 LMC 2014","Enacted","Andrews, Berliner, Branson, Elrich, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 8/05/2014","Robert Drummer",,,,,
"38-10E","Buildings - Adequate Public Facilities - Definitions","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?747_1_3411_Bill_38-10E_Signed_20100729.pdf","Floreen",,"2010-06-15T00:00:00.000","2011-12-15T00:00:00.000","2010-06-22T00:00:00.000","2010-07-20T00:00:00.000","2010-07-29T00:00:00.000",,,"8","8-30","Ch. 39, LMC 2010","Enacted","Knapp, Andrews, Floreen, Berliner, Elrich, Ervin, Leventhal, Trachtenberg",,,"Navarro","8 Yeas - 0 Nays","Approved 07/29/2010","Michael Faden",,,,,
"57-14E","Health - Montgomery Cares - Advisory Board - Continuation","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?943_1_1800_Bill_57-14E_Signed_20141217.pdf","Leventhal",,"2014-11-25T00:00:00.000",,"2014-12-02T00:00:00.000","2014-12-09T00:00:00.000","2014-12-17T00:00:00.000",,"2015-10-31T00:00:00.000","24","24-53","Ch. 39, LMC 2014","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 12/17/2014","Robert Drummer",,,,,
"22-18E","Special Capital Improvements Project - Clarksburg  Fire Station","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2575_1_239_Bill_22-18E_Signed_20180702.pdf","Council President at the request of the County Executive",,"2018-05-24T00:00:00.000",,"2018-06-19T00:00:00.000","2018-06-19T00:00:00.000","2018-07-02T00:00:00.000",,,"Adding to LMC 2018",,"Ch. 17. LMC 2018","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 7/2/18","Glenn Orlin",,,,,
"52-14","Pesticides - Notice Requirements - Cosmetic Pesticide Use Restrictions","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?937_1_1877_Bill_52-14_BecameLaw_20160119.pdf","Leventhal, Elrich, Hucker, Riemer, Navarro","Floreen","2014-10-28T00:00:00.000",,"2015-02-12T00:00:00.000","2015-10-06T00:00:00.000","2016-01-19T00:00:00.000",,,"Amending 33B; Adding 33B","33B-1, 33B-2, 33B-3, 33B-4, 33B-5, 33B-6, and 33B-7;  Articles 2,3,, and 5. Sections 33B-8, 33B-9, 33B-10, 33B-11, 33B-12, and 33B-13","Ch. 46, LMC 2015","Enacted","Elrich, Floreen, Hucker, Leventhal, Navarro, Riemer","Berliner, Rice, Katz",,,"6 Yeas - 3 Nays","Returned unsigned; becomes law 10/20/2015","Josh Hamlin",,,,,
"35-16E","Building Permits - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1038_1_1008_Bill_35-16E_Signed_20170213.pdf","Planning Housing and Economic Development Committee",,"2016-08-02T00:00:00.000",,"2016-09-13T00:00:00.000","2016-11-15T00:00:00.000","2017-02-13T00:00:00.000",,,"Amending 8","8-1, 8-8, 8-13, 8-14, 8-24, and 8-28","Ch. 35, LMC 2016","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 11/28/2016","Jeffrey Zyontz",,,,,
"39-15","Offenses - Purchase of Prostitution - Prohibited","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?988_1_1404_Bill_39-15_Signed_20160223.pdf","Hucker, Rice","Navarro, Riemer, Berliner, Elrich, Floreen, Katz","2015-09-29T00:00:00.000",,"2015-10-20T00:00:00.000","2015-11-17T00:00:00.000","2016-02-23T00:00:00.000",,,,"32-23A","Ch. 52, LMC 2015","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 11/24/2015","Robert Drummer",,,,,
"32-14E","Special Capital Improvements Project - Capital Crescent Trail","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?917_1_2054_Bill_32-14E_Signed_20140625.pdf","Council President at the Request of the County Executive",,"2014-05-22T00:00:00.000",,"2014-06-17T00:00:00.000","2014-06-17T00:00:00.000","2014-06-25T00:00:00.000",,,"Adding to the laws of Montgomery County 2014",,"Ch. 20, LMC 2014","Enacted","Andrews, Berliner, Branson, Floreen, Leventhal, Navarro, Rice, Riemer",,,"Elrich","8 Yeas - 0 Nays","Approved 6/25/2014","Isiah Leggett",,,,,
"6-10E","Noise Control - Arts and Entertainment Activities","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?715_1_3671_Bill_6-10E_Signed_20110531.pdf","Elrich, Floreen",,"2010-03-02T00:00:00.000","2011-09-02T00:00:00.000","2001-03-23T00:00:00.000","2011-05-18T00:00:00.000","2011-05-31T00:00:00.000",,,"Amending 31B; Adding 31B, 40","31B-2 and 31B-5;  31B-6A, 40-12D","Ch. 7, LMC 2011","Enacted","Ervin, Berliner, Navarro, Rice, Andrews, Elrich, Floreen, Leventhal, Riemer",,,,"9 Yeas - 0 Nays","Approved 5/31/2011","Michael Faden",,,,,
"33-16","Eating and Drinking Establishments - Food Allergen Awareness Training","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1036_1_1029_Bill_33-16_Signed_20170425.pdf","Riemer","Leventhal, Katz, Rice","2016-08-02T00:00:00.000",,"2016-09-20T00:00:00.000","2016-11-01T00:00:00.000","2017-07-01T00:00:00.000",,,"15","15-15B","Ch. 32, LMC 2016","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 11/9/2016","Amanda Mihill",,,,,
"25-16","Housing and Building Maintenance Standards - Neighborhood Action Team","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1025_1_1098_Bill_25-16_Signed_20170222.pdf","Leventhal, Navarro","Berliner, Elrich","2016-06-21T00:00:00.000",,"2016-07-12T00:00:00.000","2017-02-07T00:00:00.000","2017-05-18T00:00:00.000",,,"26","26-16","Ch. 1, LMC 2017","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 2/16/2017","Amanda Mihill",,,,,
"16-13E","Special Capital Improvements Project - Universities at Shady Grove Expansion","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?867_1_2460_Bill_16-13E_Signed_20130708.pdf","Council President at the Request of the County Executive",,"2013-06-11T00:00:00.000",,"2013-06-25T00:00:00.000","2013-06-25T00:00:00.000","2013-07-08T00:00:00.000",,,"Adding to the LMC 2013",,"Ch. 16, LMC 2013","Enacted","Andrews, Berliner, Elrich, Ervin, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 7/08/2013","Glenn Orlin",,,,,
"7-15E","Reorganization - Executive Branch - Procurement","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?955_1_1681_Bill_7-15E_Signed_20150326.pdf","Council President at the Request of the County Executive",,"2015-02-03T00:00:00.000",,"2015-02-24T00:00:00.000","2015-03-17T00:00:00.000","2015-03-26T00:00:00.000",,,"1A; 2; 11B; 19","1A-201; 2-30 and 2-64N; 11B-1; 19-29A","Ch. 13, LMC 2015","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 3/26/2015","Robert Drummer",,,,,
"61-14","Contracts and Procurement - Local Business Subcontracting Program","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?947_1_1763_Bill_61-14_Signed_20170101.pdf","Council President at the Request of the County Executive",,"2014-11-25T00:00:00.000",,"2015-01-13T00:00:00.000","2016-05-25T00:00:00.000","2017-01-01T00:00:00.000",,,"11B","Article XVII; Sections 11B-78 through 11B-83","Ch. 16, LMC 2016","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 5/25/16","Robert Drummer",,,,,
"23-17","Animal Control - Performance Animal - Violations","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1449_1_660_Bill_23-17_Signed_20171219.pdf","Rice, Leventhal","Katz, Navarro, Riemer, Elrich, Hucker, Berliner","2017-06-27T00:00:00.000",,"2017-07-18T00:00:00.000","2017-12-12T00:00:00.000","2018-03-19T00:00:00.000",,,"Amending 5","Sections 5-101, 5-102, and 5-201","Ch. 36, LMC 2017","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 12/18/17","Jeffrey Zyontz",,,,,
"14-13E","Historic Preservation - Tax Credit","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?865_1_2474_Bill_14-13E_Signed_20130729.pdf","Rice, Floreen, Elrich, Berliner",,"2013-06-11T00:00:00.000",,"2013-06-25T00:00:00.000","2013-07-16T00:00:00.000","2013-07-29T00:00:00.000",,,"52","52-43","Ch. 19 LMC 2013","Enacted","Andrews, Berliner, Elrich, Ervin, Floreen, Leventhal, Navarro, Rice",,"Riemer",,"8 Yeas - 0 Nays","Approved 7/29/2013","Jeffrey Zyontz",,,,,
"6-19","Landlord-Tenant Relations - Termination of Lease - Tenant Health and Safety","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2602_1_71_Bill_6-19_Signed_20190703.pdf","Hucker","Friedson, Navarro, Jawando, Katz, Riemer, Rice, Glass, Albornoz","2019-03-05T00:00:00.000",,"2019-03-26T00:00:00.000","2019-06-25T00:00:00.000","2019-10-02T00:00:00.000",,,"Amending Ch. 29","Section 29-27","Ch. 10. LMC 2019","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 7/3/19","Amanda Mihill",,,,,
"24-15E","Human Rights - Minimum Wage - Tipped Employee - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?974_1_1518_Bill_24-15E_Signed_20150701.pdf","Berliner","Katz, Floreen, Rice","2015-05-21T00:00:00.000",,"2015-06-09T00:00:00.000","2015-06-23T00:00:00.000","2015-07-01T00:00:00.000",,,"Amending 27","27-69","Ch. 30, LMC 2015","Enacted","Berliner, Elrich, Floreen, Katz, Leventhal, Navarro, Rice, Riemer","Hucker",,,"8 Yeas - 1 Nays","Approved 6/30/2015","Robert Drummer",,,,,
"23-16E","Special Capital Improvements Project - Kensington Fire Station 25 Addition","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1023_1_1110_Bill_23-16E_Signed_20160707.pdf","Council President at Request of County Executive",,"2016-06-14T00:00:00.000",,"2016-06-28T00:00:00.000","2016-06-28T00:00:00.000","2016-07-07T00:00:00.000",,,"Adding to the Laws of Montgomery County",,"Ch. 26, LMC 2016","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, (Riemer temporarily absent)",,,"Riemer","9 Yeas - 0 Nays","Approved 7/7/2016","Glenn Orlin",,,,,
"21-15","Finance - Renters Property Tax Relief Supplement","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?969_1_1553_Bill_21-15_Signed_20151106.pdf","Elrich","Navarro, Riemer","2015-05-05T00:00:00.000",,"2015-06-09T00:00:00.000","2015-07-28T00:00:00.000","2015-11-06T00:00:00.000",,,"20, Article XV","20-82","Ch. 42, LMC 2015","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 8/7/2015","Josh Hamlin",,,,,
"19-15","Landlord -Tenant Relations - Licensing of Rental Housing - Landlord - Tenant","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?967_1_1579_Bill_19-15_Signed_20170313.pdf","Elrich","Navarro, Hucker","2015-04-21T00:00:00.000",,"2015-06-18T00:00:00.000","2016-11-29T00:00:00.000","2017-03-13T00:00:00.000",,,"Amending 29; Adding 29","29-6, 29-22, 29-27, 29-28, 29-31, 29-47, 29-51, 29-53, and 29-54; 29-55 and 29-56","Ch. 39, LMC 2016","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Rieme",,,,"9 Yeas - 0 Nays","Approved 12/12/2016","Josh Hamlin",,,,,
"33-20","Solid Waste (Trash) - Food Service Products Packaging Materials -  Requirements","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2672_1_11018_Bill_33-20_Signed_20201029.pdf","Council President at the Request of the County Executive",,"2020-07-21T00:00:00.000",,"2020-09-15T00:00:00.000","2020-10-20T00:00:00.000","2021-01-28T00:00:00.000",,,,,"Ch. 34. LMC 2020","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 10/29/2020",,,,,,
"30-14","Streets and Roads - Right-of-way Permit - Fee - Exemption","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?915_1_2069_Bill_30-14_Signed_20141104.pdf","Berliner, Riemer, Elrich, Leventhal, Floreen, Andrews, Navarro",,"2014-05-06T00:00:00.000",,"2014-06-10T00:00:00.000","2014-07-29T00:00:00.000","2014-11-04T00:00:00.000",,,"49","49-35","Ch. 26, LMC 2014","Enacted","Andrews, Berliner, Branson, Elrich, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 8/05/2014","Michael Faden",,,,,
"13-17E","Taxation - Property Tax Credit for Retired Military Services Members - Eligibility","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1439_1_761_Bill_13-17E_Signed_20170701.pdf","Floreen","Berliner, Rice, Katz, Navarro","2017-05-02T00:00:00.000",,"2017-06-13T00:00:00.000","2017-06-27T00:00:00.000","2017-07-01T00:00:00.000",,,"Amending 52","52-110","Ch. 19, LMC 2017","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 7/7/17","Amanda Mihill",,,,,
"42-16","Taxation - Property Tax Credit - Elderly Individuals and Veterans","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1048_1_940_Bill_42-16_Signed_20170317.pdf","Floreen","Navarro, Rice, Katz","2016-10-18T00:00:00.000",,"2016-11-15T00:00:00.000","2017-03-07T00:00:00.000","2017-07-01T00:00:00.000",,,"Adding 52","52-110","Ch. 6, LMC 2017","Enacted","Berliner, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,"Elrich","8 Yeas - 0 Nays","Approved 3/15/2017","Amanda Mihill",,,,,
"12-15","Administration - Office of Community Use of Public Facilities - Vulnerable Youth and Low-Income Families","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?960_1_1635_Bill_12-15_Signed_20150708.pdf","Navarro, Elrich",,"2015-03-03T00:00:00.000",,"2015-03-17T00:00:00.000","2015-03-31T00:00:00.000","2015-07-08T00:00:00.000",,,"Amending 2","Division 19; Section 2-64M","Ch. 17, LMC 2015","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 4/8/2015","Josh Hamlin",,,,,
