"caseno","opendate","closedate","casedesc","caseyear","type","sub_type","street_no","street_name","city","zip","geolocation"
"20221017","2022-01-06T00:00:00.000","2022-01-13T00:00:00.000","Case Description From 311: Household furnishings dumped here approximately three weeks ago.  Liberty Mill Rd and Clopper Rd","2022","Solid Waste","Public Land",,"Clopper","GERMANTOWN","20874",
"20212671","2021-11-08T00:00:00.000","2022-01-10T00:00:00.000","Case Description From 311: New owner of this residential property has been dumping huge chunks of cement, piles of dirt and scrap metal in this residential area.  Over the past month trees have been chopped down and multiple rental trucks and dump trucks make noise.  Residential area NOT A COMMERCIAL DUMPING GROUND.  This needs to stop. I have pictures.","2021","Solid Waste","Residential","19110","CHANDLEE MILL","Sandy Spring","20860","POINT (-77.028961 39.170245)"
"20212794","2021-12-02T00:00:00.000","2022-01-06T00:00:00.000","Case Description From 311: Caller has witnessed illegal dumping inside the drainage in front of given location close to the intersection. Caller has the name and of the owner of this address.","2021","Solid Waste","Residential","711","LOWANDER","Silver Spring","20901","POINT (-76.996031 39.010449)"
"20212888","2021-12-23T00:00:00.000","2022-01-03T00:00:00.000","Case Description From 311: SR Open date :12/23/2021 11:1: theres a pile of tree debris and branches and bushes that were dumped in front of his driveway.","2021","Solid Waste","Residential","7905","DEEPWELL","Bethesda","20817","POINT (-77.164503 39.008603)"
"20212895","2021-12-27T00:00:00.000","2021-12-29T00:00:00.000","Case Description From 311: There is a large humber of huge black garbage bags that someone has dumped on Lyttonsville Road. They are on the right side of the road as you are heading toward Lyttonsville from East West Highway. I would appreciate their pickup as soon as possible. Thank you so much!, 

1479147872 : Hi, my request is actually for the County to install some ""dumping is illegal"" signs on Lyttonsville Road, between Grubb Road and the Rollingwood Apartments and ending at the the end of Lyttonsville Road. The street is always full of garbage on the sides of the road, and a lot of this garbage presumably comes from the large trucks that park there. I think that several ""no dumping"" signs would really help. There is only so much that neighborhood cleanup can do. Thank you so much!","2021","Solid Waste","Public Land",,"Lyttonsville","SILVER SPRING","20902",
"20212767","2021-11-24T00:00:00.000","2021-12-29T00:00:00.000","Case Description From 311: Reporting different types of trash being dumped on Lorain ave at end of street/dead end, off intersection of Lorain ave and Forest Glen rd, did not want sr.","2021","Solid Waste","Public Land",,"Lorain","SILVER SPRING","20901",
"20212830","2021-12-09T00:00:00.000","2021-12-29T00:00:00.000","Case Description From 311: Anonymous complaint.  Someone has illegally dump a door  at service location below","2021","Solid Waste","Residential","11341","Rambling","Gaithersburg","20879","POINT (-77.234117 39.168151)"
"20212811","2021-12-06T00:00:00.000","2021-12-27T00:00:00.000","Case Description From 311: Visible from the road in the block of Shakespeare between Germantown Rd and Neelsville Church Rd:
- on one side just off the sidewalk - a boxspring
- on the other side farther up the hill - a green upholstered chair","2021","Solid Waste","Public Land",,"SHAKESPEARE","GERMANTOWN","20876",
"20212770","2021-11-26T00:00:00.000","2021-12-27T00:00:00.000","Numerous trash bags  and debris observed on HOA common property.","2021","Solid Waste","Residential","20","Scarlet Sage","BURTONSVILLE","20866","POINT (-76.923817 39.104368)"
"20212822","2021-12-07T00:00:00.000","2021-12-27T00:00:00.000","Case Description From 311: Lots of furniture  on the side of  the road is being there for days","2021","Solid Waste","Public Land",,"Schubert","SILVER SPRING","20904",
"20212846","2021-12-14T00:00:00.000","2021-12-23T00:00:00.000","Case Description From 311: The owner of the  this single family home has dumped multiple rolls of area rugs inches from the curb in front of his property. They have been there for 2 weeks and are beginning to rot and kill the grass. I am unable to reach the owner of this property.","2021","Solid Waste","Public Land","10412","INSLEY","Silver Spring","20902","POINT (-77.05402 39.027941)"
"20212872","2021-12-20T00:00:00.000","2021-12-23T00:00:00.000","Case Description From 311: SR Open date :12/20/2021 10:5: Customer wants to report a big red couch that's been dumped in some trees across from plum gar rec center right beside Seneca  ridge townhomes behind  the big black fence Has been sitting for months and is an eyesore to the community","2021","Solid Waste","Public Land","19561","SCENERY","GERMANTOWN","20876","POINT (-77.233861 39.177047)"
"20212768","2021-11-24T00:00:00.000","2021-12-22T00:00:00.000","Case Description From 311: Reporting illegal dumping going on now, a leafing company is dropping piles of leaves on a empty lot right across the street from address provided, also there is a no dumping sign present  , Name of Company: English Garden Landscaping - 301-221-8126","2021","Solid Waste","Public Land","11477","CUSHMAN","Rockville","20852","POINT (-77.133914 39.043502)"
"20212806","2021-12-06T00:00:00.000","2021-12-22T00:00:00.000","Case Description From 311: SR Open date :12/03/2021 12:1: Anonymous- Caller said that Beautiful View Landscaping is  illegally dumping as we speak and there number is 301-6956676- stated that they are dumping by a county creek they can show where this is happening for the second year-","2021","Solid Waste","Public Land","23615","WHITE PEACH","GAITHERSBURG","20882","POINT (-77.18408 39.246497)"
"20212824","2021-12-08T00:00:00.000","2021-12-22T00:00:00.000","Case Description From 311: Anonymous Caller states that property owner is dumping their leaves into the end of the cul de sac., 1477527901 : Anonymous Requestor 
1477465294 dated 12-7 in fulfillment
The resident who made the complaint is now asking for the DEP investigator  to contact him regarding the illegal dumping by a neighbor","2021","Solid Waste","Public Land","14508","WHIRLAWAY","Gaithersburg","20878","POINT (-77.258387 39.094274)"
"20212865","2021-12-17T00:00:00.000","2021-12-22T00:00:00.000","Case Description From 311: SR Open date :12/15/2021 13:4: I reported trash bags being dumped in the water runoff stream 2 months ago 10/07/2021 requesting it be removed.  I am unable to reach it to get it removed.  There is now the smell of a dead animal/animals.

The steam is located on the side of my property in Greentree Road next to my driveway.  The smell is getting worse and worse.","2021","Solid Waste","Public Land","6825","NEWBOLD","BETHESDA","20817","POINT (-77.142216 39.0115)"
"20212851","2021-12-15T00:00:00.000","2021-12-20T00:00:00.000","Case Description From 311: SR Open date :12/15/2021 10:0: Customer wants to report  three tires someone dumped at his property . Please contact David at 301-758-3841 . He said its not his tires and doesn't feel he should be responsible to move them, 1478153482 : 3 tires were illegally dumped near my driveway entrance. They look like assorted passenger car tires. I would like them picked up and recycled, please.","2021","Solid Waste","Farm Land","26401","PURDUM","DAMASCUS","20872","POINT (-77.243796 39.290795)"
"20212505","2021-10-06T00:00:00.000","2021-12-14T00:00:00.000","Case Description From 311: SR Open date :10/05/2021 15:4: Caller is complaining about illegal dumping. Caller states that the owner of the address provided, continuously dumps wood, bricks and cinderblocks on neighboring property. Caller states the owner has been witnessed illegally dumping this material and would like DEP to investigate.","2021","Solid Waste","Residential","4910","Brookeville","BROOKEVILLE","20833","POINT (-77.098864 39.185026)"
"20212805","2021-12-06T00:00:00.000","2021-12-14T00:00:00.000","Case Description From 311: resident reporting illegal dumping in area- stated lots of bulk furniture items and trash bags","2021","Solid Waste","Public Land","2110","BELVEDERE","Silver Spring","20902",
"20212764","2021-11-24T00:00:00.000","2021-12-09T00:00:00.000","Case Description From 311: SR Open date :11/23/2021 14:1: Trash has been illegally dumped in front of our house twice now.  Unfortunately, we do not have details (license plate number of the vehicle, description of the vehicle and person(s) involved, 
date and time of the incident). We would like to request a No Dumping Sign, 1476236844 : Here are additional photos to include with service request number 1476236774","2021","Solid Waste","No Dumping Signage","3714","MUNSEY","Silver Spring","20906","POINT (-77.07506 39.071074)"
"20212729","2021-11-16T00:00:00.000","2021-12-09T00:00:00.000","Case Description From 311: Mattress on northbound Waring Station Rd after crossing Summer Oak Dr on the righthand curbside, please collect","2021","Solid Waste","Public Land",,"Waring Station","GERMANTOWN","20874",
"20212784","2021-12-01T00:00:00.000","2021-12-08T00:00:00.000","Case Description From 311: caller states that  someone illegally dump desk on the corner (on the grassy area) for the past week","2021","Solid Waste","Residential","7741","EPSILON","Derwood","20855","POINT (-77.161778 39.138217)"
"20212776","2021-11-29T00:00:00.000","2021-12-07T00:00:00.000","Case Description From 311: SR Open date :11/29/2021 07:4: Hello MoCo!
Someone dumped white picket fence materials on Arrowsmith Ct, approximately 200 feet from the corner of Game Preserve Rd.
Thank you for all you do...
Stay safe and well,
BJ on Arrowsmith Court","2021","Solid Waste","Public Land",,"ARROWSMITH","GAITHERSBURG","20879",
"20212820","2021-12-07T00:00:00.000","2021-12-07T00:00:00.000","Case Description From 311: Anonymous Caller states that resident at property address blew all their leaves onto street instead of putting them out for yard trim pick up. Would like to file a complaint.","2021","Solid Waste","Public Land","10755","MIST HAVEN","Rockville","20852","POINT (-77.119257 39.031747)"
"20212807","2021-12-06T00:00:00.000","2021-12-07T00:00:00.000","Case Description From 311: Lay hill road and georgia ave bags of trash in the street on the median","2021","Solid Waste","Public Land","12324","JUDSON","Silver Spring","20906","POINT (-77.05172 39.059734)"
"20212731","2021-11-16T00:00:00.000","2021-12-07T00:00:00.000","Case Description From 311: There is an abundance of trash and dumping at the Orchard  Shopping  Center. The requestor indicated that the illegal dumping is being done by the employee at the Sonoco Gas Station. Please investigate. The requestor?s name is David Spain and he can be reached at (301) 523-0722. He can provide you with further information.","2021","Solid Waste","Commercial","12008","CHERRY HILL","Silver Spring","20904",
"20212795","2021-12-02T00:00:00.000","2021-12-07T00:00:00.000","Case Description From 311: SR Open date :12/02/2021 10:1: Trash thrown on County easement near unit 17665 Shady Spring Dr needs to be cleaned up","2021","Solid Waste","Residential","17665","SHADY SPRING","GAITHERSBURG","20877","POINT (-77.164377 39.146069)"
"20212728","2021-11-16T00:00:00.000","2021-12-06T00:00:00.000","Case Description From 311: SR Open date :11/16/2021 07:1: mattress was left in front of this address at curbside westbound on Middlebrook Rd, Please collect","2021","Solid Waste","Public Land","12401","Middlebrook","GERMANTOWN","20874","POINT (-77.256095 39.175494)"
"20212498","2021-10-05T00:00:00.000","2021-12-03T00:00:00.000","Case Description From 311: while doing my weekly trash pick-up I found mail discarded in the bushes along Old Columbia Pike bridge.  They belong to:
Samueline Watkins
Apt. 602
11700 Old Columbia Pike
Silver Springs, MD  20904
     AND
Mohamed Bashir Janneh     (2 items)
11700 Old Columbia Pike Rd #1703
Silver Spring, MD  20904","2021","Solid Waste","Public Land","11772","CARRIAGE HOUSE","Silver Spring","20904","POINT (-76.978701 39.048971)"
"20212446","2021-09-24T00:00:00.000","2021-12-03T00:00:00.000","Case Description From 311: Caller is reporting illegal dumping one block away from the service location.  Caller is stating that there are two suspects information retrieved.  A document with the address of 11700 Old Columbia Pike unit 1301 under the name of Fatim Kamara.  Second documents with the address of 1700 Old Columbia Pike number 309 under the name Linda Bass was found.  Please investigate and resolve the issue","2021","Solid Waste","Public Land","11772","CARRIAGE HOUSE","Silver Spring","20904","POINT (-76.978701 39.048971)"
"20212777","2021-11-29T00:00:00.000","2021-12-02T00:00:00.000","Case Description From 311: SR Open date :11/29/2021 08:4: Caller  states someone has dump a mattress on  the sidewalk  as soon as you turn to Executive Blvd on Nicholson behind  address below","2021","Solid Waste","Public Land","5800","Nicholson","Kensington","20895",
"20212785","2021-12-01T00:00:00.000","2021-12-02T00:00:00.000","Case Description From 311: There were five tires dumped here.","2021","Solid Waste","Commercial","20301","FULKS FARM","MONTGOMERY VILLAGE","20886","POINT (-77.176563 39.18631)"
"20212374","2021-09-10T00:00:00.000","2021-12-02T00:00:00.000","Case Description From 311: SR Open date :09/09/2021 15:3: The neighbor just finished a deck installation and dumped the construction debris on the side of the road.","2021","Solid Waste","Public Land","19602","Twinflower","GERMANTOWN","20876","POINT (-77.243461 39.176681)"
"20212749","2021-11-22T00:00:00.000","2021-12-02T00:00:00.000","Case Description From 311: Someone dumped at large couch next to 11002 Kensington Blvd on Friday Nov. 19th, 1476237063 : A brown couch and poster were illegally dumped on to the county easement at the dead of Kensington Blvd and Geiger. The couch is blocking the storm drain","2021","Solid Waste","Public Land","11002","KENSINGTON","Kensington","20895","POINT (-77.06774 39.03654)"
"20212655","2021-11-02T00:00:00.000","2021-11-30T00:00:00.000","Case Description From 311: Stated that there is a creek that runs through the property and there is a lot of solid waste that has been deposited into the creek after the last storm that the county had. Requesting that the county come out and clean the items from the creek. *Closest KBA*, 1475566866 : Caller states that there is construction material  that illegally
is being dump  near a  creek that is  behind his house( caller states that  MC has permission to enter into his property to check) there is park his house","2021","Solid Waste","Residential","11705","IBSEN","Rockville","20852","POINT (-77.133871 39.048712)"
"20212551","2021-10-12T00:00:00.000","2021-11-30T00:00:00.000","Referral from City of Rockville.  Business at 15101 Southlawn Lane is allegedly dumping debris into a stormwater pond next to 30 Southlawn Ct.","2021","Solid Waste","Commercial","15101","Southlawn","Rockville","20850","POINT (-77.133504 39.104365)"
"20212603","2021-10-21T00:00:00.000","2021-11-30T00:00:00.000","Property Manager for three different apartment buildings (Penbridge Square, Amherst Square, and Amherst Garden) called requesting assistance on dealing with illegal dumping of bulk items at their properties.","2021","Solid Waste","Commercial","11440","Amherst","SILVER SPRING","20902","POINT (-77.047899 39.043139)"
"20212587","2021-10-19T00:00:00.000","2021-11-29T00:00:00.000","Case Description From 311: Caller states that someone illegally dump a sofa in front of service location below","2021","Solid Waste","Residential","49","SCARLET SAGE","Burtonsville","20866","POINT (-76.92329 39.104506)"
"20212765","2021-11-24T00:00:00.000","2021-11-29T00:00:00.000","Case Description From 311: Mattress was dumped between 13205 and 13207 Dairymaid Drive in Germantown","2021","Solid Waste","Residential","13205","DAIRYMAID","Germantown","20874","POINT (-77.274103 39.156753)"
"20212588","2021-10-19T00:00:00.000","2021-11-29T00:00:00.000","Case Description From 311: SR Open date :10/19/2021 08:2: Caller is Request a No Dumping Sign at service location below","2021","Solid Waste","No Dumping Signage","49","SCARLET SAGE","Burtonsville","20866","POINT (-76.92329 39.104506)"
"20212691","2021-11-10T00:00:00.000","2021-11-22T00:00:00.000","Case Description From 311: A used kitchen range hood (steel) needs to be picked up for disposal. It is kept in a packing container.","2021","Solid Waste","Residential","19300","TATTERSHALL","Germantown","20874","POINT (-77.293997 39.178738)"
"20212468","2021-09-30T00:00:00.000","2021-11-22T00:00:00.000","Case Description From 311: Some dumped ~8 large bags of construction debris on Grandview Ave. This is a common dumping area as there are no homes on this side of the street, but 12302 Grandview Ave, Silver Spring, MD 20902 is the best address to give for the location.","2021","Solid Waste","Public Land","12302","GRANDVIEW","Silver Spring","20902","POINT (-77.051435 39.056873)"
"20212686","2021-11-09T00:00:00.000","2021-11-19T00:00:00.000","Case Description From 311: SR Open date :11/08/2021 22:5: Constantly dumping items that are not trash or household recycling. Dumping many items that hibernate in their backyard until they decide to clean up, then it becomes the neighbors problem.","2021","Solid Waste","Residential","13208","TRIMFIELD","GERMANTOWN","20874","POINT (-77.272149 39.186834)"
"20212689","2021-11-09T00:00:00.000","2021-11-19T00:00:00.000","Case Description From 311: SR Open date :11/09/2021 08:2: Car parts, tires, baby swimming pool, bags of trash, dumped at the end of Miller Fall where it dead ends between the railing and the school. 2 barricades so you can't drive up to the school. This is a reoccurring situation and needs to be investigated.","2021","Solid Waste","Public Land",,"Miller Fall","DERWOOD","20855",
"20212716","2021-11-15T00:00:00.000","2021-11-19T00:00:00.000","Case Description From 311: SR Open date :11/13/2021 12:0: Someone dumped a white dining room chair, a white round table top, a rolled up carpet, and two TVs along the road near my house. This happened in the late afternoon of Friday, November 12. Would you please have someone come remove it? It?s frustrating that someone would do this and it?s makes it difficult  to pull into my driveway.","2021","Solid Waste","Residential","6120","RIVER","Bethesda","20817","POINT (-77.123714 38.974171)"
"20201286","2020-03-04T00:00:00.000","2021-11-18T00:00:00.000","Case Description From 311: SR Open date :03/03/2020 16:2: Red pickup truck with open trailer seen dumping yard and construction debris into apartment dumpster. Maryland plate number 8EA7382. Can provide photos.","2020","Solid Waste","Dumpster","402","BROWNING","TAKOMA PARK","20912","POINT (-77.000838 38.995954)"
"20201243","2020-02-25T00:00:00.000","2021-11-18T00:00:00.000","Case Description From 311: Watched a red pickup truck with (appeared to be) Maryland plate UTH-7130 dump construction debris into the dumpster of this building, then drive off at high speed. The dumpster is located across from the intersection of Browning Ave and Browning Ct.
I have photographs if required.","2020","Solid Waste","Dumpster","402","BROWNING","TAKOMA PARK","20912","POINT (-77.000838 38.995954)"
"20202017","2020-06-10T00:00:00.000","2021-11-18T00:00:00.000","Case Description From 311: SR Open date :06/10/2020 12:0: Caller is calling to report illegal dumping. Caller reports that last week, a county resident illegaly dumpted furniture on private property. The residenit pulled into the property and dumpted furniture and a mattresses. Caller confronted th resdident but the resident contiued to leave the items behind. Caller has video and photo evidence of hte altercation.","2020","Solid Waste","Commercial","12401","Middlebrook","GERMANTOWN","20874","POINT (-77.256095 39.175494)"
"20211404","2021-03-22T00:00:00.000","2021-11-18T00:00:00.000","Case Description From 311: Tires, car bench seat, mattress dumped in woods behind parking at this address. Visible from my backyard at 7410 Brenish dr, 1452622374 : Tires, car bench seat, mattress dumped in woods behind parking at this address. Visible from my backyard at 7410 Brenish dr","2021","Solid Waste","Public Land","7615","Rickenbacker","Gaithersburg","20879","POINT (-77.157985 39.17343)"
"20212726","2021-11-16T00:00:00.000","2021-11-18T00:00:00.000","Case Description From 311: Anonymous complaint Calling to report illegal dumping of a  broken desk close the curb","2021","Solid Waste","Public Land",,"Lewisberry","MONTGOMERY VILLAGE","20886",
"20211449","2021-03-26T00:00:00.000","2021-11-18T00:00:00.000","Case Description From 311: wheatfield dr.. maryland 355..Frederick rd... sign requested along the stretch of road way listed","2021","Solid Waste","No Dumping Signage",,"Frederick","GERMANTOWN","20876",
"20212509","2021-10-07T00:00:00.000","2021-11-18T00:00:00.000","Case Description From 311: Seems to be cardboard, dresser, couch dumped on the curb.  Has sat there for 3 weeks.","2021","Solid Waste","Residential","16106","HAYSHIRE","Gaithersburg","20878","POINT (-77.259805 39.122499)"
"20211484","2021-04-01T00:00:00.000","2021-11-18T00:00:00.000","Case Description From 311: trash accumulating in front of customers property, customer said working crews left debris in the past.  customer is finding many cans and bottles of beer. She mentions pedestians crossing her property dump trash and often  recycling crew as well by  being careless","2021","Solid Waste","No Dumping Signage","1144","LOXFORD","Silver Spring","20901","POINT (-77.017495 39.035809)"
"20212693","2021-11-10T00:00:00.000","2021-11-17T00:00:00.000","Case Description From 311: SR Open date :11/09/2021 14:4: Mattress on curb, been there over a month. Located on the right side of the home on Kerwin Road.","2021","Solid Waste","Public Land","519","Kerwin","SILVER SPRING","20901","POINT (-77.019859 39.027836)"
"20212606","2021-10-22T00:00:00.000","2021-11-17T00:00:00.000","Case Description From 311: SR Open date :10/21/2021 12:2: Anonymous Reporting illegal dumping at Poolesville Golf Course.  There is woodchips from tree removal are being dumping into ponds and creek at the gold course by the management of the golf course.","2021","Solid Waste","Commercial","16601","W WILLARD","POOLESVILLE","20837","POINT (-77.424335 39.127178)"
"20212658","2021-11-02T00:00:00.000","2021-11-16T00:00:00.000","Case Description From 311: Caller said that there is a truck working for a neighbor and illegally dumping -  Company name on truck- Legend Landscape, LLC- 46S7607 TAG number - 301-750-2700- stated they are dumping across from the school address given right now he wants an inspector out-","2021","Solid Waste","Public Land","3100","Medway","Wheaton","20902","POINT (-77.06304 39.051431)"
"20212680","2021-11-08T00:00:00.000","2021-11-15T00:00:00.000","Case Description From 311: SR Open date :11/08/2021 11:1: Caller wants to report illegal dumping at the kinder care daycare facility. caller states there are 3 mattresses and a1 couch left in front of the big dumpster at the kinder care. caller states they do not know who is doing the dumping but wants county to investigate. caller is requesting a call back. emailed SR # to caller.","2021","Solid Waste","Commercial","16723","CRABBS BRANCH","DERWOOD","20855","POINT (-77.16767 39.129115)"
"20212694","2021-11-10T00:00:00.000","2021-11-15T00:00:00.000","Case Description From 311: There is a mattress in the treed area a few feet in from Burning Tree Rd. Location is about 100 feet from the corner of Bradley Blvd and Burning Tree Rd.","2021","Solid Waste","Public Land",,"Bradley","BETHESDA","20817",
"20212098","2021-07-13T00:00:00.000","2021-11-12T00:00:00.000","Case Description From 311: SR Open date :07/13/2021 10:5: Piles of cut branches and garbage on the grounds of the Montgomery County Public Schools but piled up along the fence of 13320 Rippling Brook Dr.  
Had opened a previous service request (Service request number: 1453519364).  A letter was sent to Montgomery County Public Schools and the service request was closed(!) although nothing was done and nothing changed.  
A more strongly worded letter for Montgomery County Public Schools to clean up the mess may prompt them to act.","2021","Solid Waste","Public Land","13320","RIPPLING BROOK","SILVER SPRING","20906","POINT (-77.059503 39.075058)"
"20212256","2021-08-12T00:00:00.000","2021-11-09T00:00:00.000","Case Description From 311: SR Open date :08/11/2021 09:4: Caller would like a no dumping sign at the bottom of Stoney Creek RD.","2021","Solid Waste","No Dumping Signage","11800","Stoney Creek","Potomac","20854","POINT (-77.261022 39.049671)"
"20212649","2021-11-01T00:00:00.000","2021-11-09T00:00:00.000","Call from Carolyn Gupta, CT Ave Estates.  Construction debris has been dumped across from 11834 Valleywood Dr.  The association has a community clean up and DOT has already collected that debris.  The construction debris appeared in the last week.  The trash collection day for the neighborhood is Tuesday.","2021","Solid Waste","Public Land","11834","Valleywood","SILVER SPRING","20902","POINT (-77.069419 39.050773)"
"20212656","2021-11-02T00:00:00.000","2021-11-09T00:00:00.000","Case Description From 311: Over the weekend someone dumped four tires (with wheels) in the woods behind Key Middle School.  They are located on the school grounds between my house and the school's tennis courts.","2021","Solid Waste","Public Land","910","Schindler","SILVER SPRING","20903","POINT (-76.990835 39.027341)"
"20212557","2021-10-13T00:00:00.000","2021-11-08T00:00:00.000","Case Description From 311: The people, no name on the green pickup truck, were mowing the yard at 3420 Kilkenny Street, and mowed grass, leaves and debris into the street,  Then they cleaned out the gutter with a blower, blowing the mess into the middle of the street. Then they blew some of the mess across the street into my yard and on my driveway, then most of it about 50 feet up the street onto the neighbors property!
When I caught them and complained, they refused to clean their mess off my driveway, and one worker was really nasty to me, a senior of 70!
They are too lazy to clean up the mess from the yard that they made!","2021","Solid Waste","Residential","3420","KILKENNY","Silver Spring","20904","POINT (-76.941032 39.062682)"
"20212563","2021-10-14T00:00:00.000","2021-11-08T00:00:00.000","Case Description From 311: I witnessed a man (working at the home remodel at 12903 Grenoble Dr) pull his van over and throw his trash from his driver's window into the grass (technically Matthew Henson State Park).  After he dumped his trash, he pulled in front of 12903 Grenoble and parked.","2021","Solid Waste","Public Land","12930","Grenoble","Rockville","20853","POINT (-77.086794 39.069001)"
"20212467","2021-09-30T00:00:00.000","2021-11-05T00:00:00.000","Case Description From 311: SR Open date :09/29/2021 11:5: caller states that he believes resident 4817 Great Oak Rd name Nancy Mautone-Smith  keeps dumping bags of trash in front of his address given on several occasion. Bags are still @ curb for investigate","2021","Solid Waste","Residential","4507","PINETREE","ROCKVILLE","20853","POINT (-77.089943 39.121617)"
"20212652","2021-11-02T00:00:00.000","2021-11-04T00:00:00.000","Case Description From 311: SR Open date :11/01/2021 14:5: 1-22 bin and 1-65 cart has been sitting in front of the address for months now and people keep walking by and dropping stuff in it. Owner is unknown and they need to be taken away.","2021","Solid Waste","Public Land","15100","Red Cedar","Burtonsville","20866",
"20212384","2021-09-13T00:00:00.000","2021-11-04T00:00:00.000","Request for an Illegal Dumping  sign to be placed along County maintained section of Conn. Ave. just outside entrance to Leisure World.","2021","Solid Waste","No Dumping Signage","14560","Connecticut","SILVER SPRING","20906",
"20212604","2021-10-22T00:00:00.000","2021-11-04T00:00:00.000","Case Description From 311: Observed and photographed landscapers dragging a tarp of leaves from 13803 Ginkgo to the woods behind 13807 Ginkgo. Also a served landscapers blowing leaves into same woods.","2021","Solid Waste","Residential","13803","GINKGO","Rockville","20850","POINT (-77.202184 39.08415)"
"20212513","2021-10-07T00:00:00.000","2021-11-01T00:00:00.000","Case Description From 311: SR Open date :10/07/2021 08:3: -Caller is requesting a ""no  littering"" or ""no dumping"" sign. Caller is at the end of the road and states people constantly dump trash and litter on the common area here.","2021","Solid Waste","No Dumping Signage","520","Gilmoure","SILVER SPRING","20901","POINT (-77.018979 39.02356)"
"20212613","2021-10-25T00:00:00.000","2021-11-01T00:00:00.000","Case Description From 311: SR Open date :10/23/2021 01:2: People keep throwing trash and dog poop on our property alongside the road. We even found rusty razor blades and we have kids who we want to play freely on our yard without worry about hazardous materials. Thanks.","2021","Solid Waste","Residential","14716","BLACKBURN","Burtonsville","20866","POINT (-76.930168 39.099173)"
"20212616","2021-10-25T00:00:00.000","2021-11-01T00:00:00.000","Case Description From 311: SR Open date :10/25/2021 07:2:  1  grocery store motorized chair left  from across street from service location here and dumped  illegally","2021","Solid Waste","Public Land","11800","Valleywood","SILVER SPRING","20906",
"20212411","2021-09-17T00:00:00.000","2021-11-01T00:00:00.000","Case Description From 311: We are unable to keep up with the amount of illegal dumping of trash. The dumping is taking place on the sidewalk and public area we are responsible for maintaining plus the tree as well as the street  this is done on the side of our home that on Iris Street. This is happening to neighbors and I. There is also a school bus stop on Iris and Grenoble. Many children have to bypass dumped trash on their way to their school bus stop. 

We could use a sign closest to the tree to deter future illegal dumping of trash.

May you please look into this. Thank you so much. V/R JRD, 1469781396 : We are unable to keep up with the amount of illegal dumping of trash. The dumping is taking place on the sidewalk and public area we are responsible for maintaining plus the tree as well as the street  this is done on the side of our home that is on Iris Street. This is happening to neighbors and I. There is also a school bus stop on Iris and Grenoble. Many children have to bypass dumped trash on their way to their school bus stop.

We could use an investigation and a sign closest to the tree to deter future illegal dumping of trash.

May you please look into this. Thank you so much. V/R JRD","2021","Solid Waste","No Dumping Signage","13319","Magellan","ROCKVILLE","20853","POINT (-77.093039 39.074741)"
"20212622","2021-10-26T00:00:00.000","2021-10-29T00:00:00.000","Case Description From 311: SR Open date :10/25/2021 15:5: Reporting a company is doing tree work in back yard of address across the street and they are  bringing dirt over to callers property in Service Location in  the Right of Way and dumping  it on the grass. Caller has asked them to stop but they continue doing it.","2021","Solid Waste","Residential","4409","MAHAN","Silver Spring","20906","POINT (-77.085595 39.052015)"
"20212552","2021-10-12T00:00:00.000","2021-10-28T00:00:00.000","Case Description From 311: Caller would like a no dumping sign on the circle on Tourmaline Ter","2021","Solid Waste","No Dumping Signage",,"TOURMALINE","SILVER SPRING","20904",
"20212504","2021-10-06T00:00:00.000","2021-10-26T00:00:00.000","Case Description From 311: Caller would like to file a complaint for illegal dumping. Caller states it is close to MoCo bus depot on Old Randolph RD, silver spring MD 20902, not a residential road, used sofa was dumped and more debris dropped off, states her community borders Randolph RD, and she does community service around there, noticed on Saturday morning but forgot to call yesterday, caller did not see the person who dumped it, caller would like to remain anonymous","2021","Solid Waste","Public Land",,"Old Randolph","SILVER SPRING","20902",
"20212561","2021-10-14T00:00:00.000","2021-10-26T00:00:00.000","A sign and possibly other construction debris belonging to Schnabel Foundations Company was found in Little Falls Creek during a recent community cleanup.","2021","Solid Waste","Commercial","5210","River","BETHESDA","20816","POINT (-77.103749 38.964742)"
"20212425","2021-09-20T00:00:00.000","2021-10-25T00:00:00.000","Case Description From 311: At the dead end of Onax drive in the field to the right is a camper with trash all around it. There are abandoned cars possibly leaking and the smell of waste is really bad. It is an eye sore. It can be assessed by vehicle via Black Rock rd. under the powerlines.","2021","Solid Waste","Residential","17400","ONAX","GERMANTOWN","20874","POINT (-77.299633 39.141572)"
"20212545","2021-10-11T00:00:00.000","2021-10-25T00:00:00.000","Case Description From 311: Resident reports Illegal dumping of tires & a shopping cart on Waters Landing Dr. between Father Hurley & Wynnfield Dr.  Caller would like trash cans to be installed and maintained by the county in near the wooden bridge entering park area.  Also, some illegal dumping signs to be posted w/ MC311 contact & illegal dumping fine info.  Pls. contact resident to resolve this issue","2021","Solid Waste","No Dumping Signage",,"Waters Landing","GERMANTOWN","20874",
"20212546","2021-10-11T00:00:00.000","2021-10-22T00:00:00.000","Case Description From 311: SR Open date :10/11/2021 07:5: Caller is reporting that someone left large metal items at the curb on Crystal Rock and Waters Landing. Used the nearest landmark to where intersection is located.","2021","Solid Waste","Public Land",,"WATERS LANDING","GERMANTOWN","20874",
