Facility Owner,Site,Address,City,State,Zip,Location,Zip Codes,Municipalities,Communities,Councils
Montgomery County Public Schools,Harmony Hills ES,13407 Lydia Street,Silver Spring,MD,20906,"13407 Lydia Street
Silver Spring, MD 20906
(39.07694, -77.076897)",6,1,61,4
MNCPPC,Heritage Farm Neigh Park,9520 Hall RD,Potomac,MD,20854,"9520 Hall RD
Potomac, MD 20854
(39.011436, -77.214923)",53,1,20,1
Montgomery County Public Schools,Highland ES,3100 Medway Street,Silver Spring,MD,20902,"3100 Medway Street
Silver Spring, MD 20902
(39.051584, -77.063117)",17,1,23,4
Montgomery County Public Schools,Highland View ES,9010 Providence Avenue,Silver Spring,MD,20901,"9010 Providence Avenue
Silver Spring, MD 20901
(39.004529, -77.010807)",21,1,8,5
MNCPPC,Hillandale Local Park,10615 New Hampshire AVE,Silver Spring,MD,20903,"10615 New Hampshire AVE
Silver Spring, MD 20903
(39.029915, -76.983559)",15,1,18,5
Montgomery County Public Schools,"Hoover, Herbert MS",8810 Post Oak Road,Rockville,MD,20854,"8810 Post Oak Road
Rockville, MD 20854
(39.045067, -77.179943)",53,1,20,1
MNCPPC,Hoyles Mill Village Local Park,14040 Tatani DR,Boyds,MD,20841,"14040 Tatani DR
Boyds, MD 20841
(39.156863, -77.294261)",75,1,42,2
Montgomery County,Hungerford Park ES (Children's Resource Center),332 W. Edmonston Dr.,Rockville,MD,20852,"332 W. Edmonston Dr.
Rockville, MD 20852
(39.071183, -77.145312)",60,12,25,3
MNCPPC,Hunters Woods Local Park,9616 Ridge Heights DR,Gaithersburg,MD,20879,"9616 Ridge Heights DR
Gaithersburg, MD 20879",,,,
MNCPPC,Indian Springs Terrace Local Park,9717 Lawndale DR,Silver Spring,MD,20901,"9717 Lawndale DR
Silver Spring, MD 20901
(39.015203, -77.010587)",21,1,8,5
Montgomery County Public Schools,Jackson Road ES,900 Jackson Road,Silver Spring,MD,20904,"900 Jackson Road
Silver Spring, MD 20904
(39.055762, -76.991707)",12,1,18,5
MNCPPC,Jesup-Blair Local Park,900 Jesup Blair DR,Silver Spring,MD,20912,"900 Jesup Blair DR
Silver Spring, MD 20912
(38.985796, -77.025417)",3062,1,7,5
MNCPPC,Johnson's Local Park,18000 Washington Grove LN,Gaithersburg,MD,20877,"18000 Washington Grove LN
Gaithersburg, MD 20877",,,,
Montgomery County Public Schools,"Johnson, Walter HS",6400 Rock Spring Drive,Bethesda,MD,20814,"6400 Rock Spring Drive
Bethesda, MD 20814
(39.026575, -77.130113)",103,1,19,1
Montgomery County Public Schools,Jones Lane ES,15110 Jones Lane,Darnestown,MD,20878,"15110 Jones Lane
Darnestown, MD 20878
(39.102908, -77.264766)",33,1,28,2
MNCPPC,"Kaufmann, Milton Local Park",9607 Wightman RD,Gaithersburg,MD,20876,"9607 Wightman RD
Gaithersburg, MD 20876
(39.196038, -77.196429)",28,1,38,2
Montgomery County Public Schools,Kemp Mill ES,411 Sisson Street,Silver Spring,MD,20902,"411 Sisson Street
Silver Spring, MD 20902
(39.043251, -77.016531)",17,1,17,4
MNCPPC,Kemp Mill Estates Local Park,120 Claybrook DR,Silver Spring,MD,20902,"120 Claybrook DR
Silver Spring, MD 20902
(39.044338, -77.011833)",17,1,17,4
MNCPPC,Ken-Gar Palisades Local Park,4140 Wexford DR,Kensington,MD,20895,"4140 Wexford DR
Kensington, MD 20895
(39.03654, -77.083601)",25,1,15,4
Montgomery County Public Schools,"Kennedy, John F. HS",1901 Randolph Road,Silver Spring,MD,20902,"1901 Randolph Road
Silver Spring, MD 20902
(39.065113, -77.037591)",6,1,23,4
MNCPPC,Kensington Cabin Local Park,10000 Kensington PKY,Kensington,MD,20895,"10000 Kensington PKY
Kensington, MD 20895
(39.019336, -77.074731)",25,6,15,1
Montgomery County,Kensington ES (HOC),10400 Detrick Ave.,Kensington,MD,20895,"10400 Detrick Ave.
Kensington, MD 20895
(39.027064, -77.078401)",25,6,15,1
Libraries,Kensington Park Community Library,4201 Knowles AVE,Kensington,MD,20895,"4201 Knowles AVE
Kensington, MD 20895
(39.028768, -77.08162)",25,1,15,1
Montgomery County Public Schools,Kensington Parkwood ES,4710 Saul Road,Kensington,MD,20895,"4710 Saul Road
Kensington, MD 20895
(39.022051, -77.094268)",25,1,15,1
Montgomery County Public Schools,"Key, Francis Scott MS",910 Schindler Drive,Silver Spring,MD,20903,"910 Schindler Drive
Silver Spring, MD 20903
(39.027315, -76.990839)",15,1,18,5
MNCPPC,"King, Jr., Martin Luther RP",1100 Jackson RD,Silver Spring,MD,20904,"1100 Jackson RD
Silver Spring, MD 20904
(39.055563, -76.986135)",12,1,18,5
Montgomery County Public Schools,"King, Martin Luther MS",13737 Wisteria Dr.,Germantown,MD,20874,"13737 Wisteria Dr.
Germantown, MD 20874
(39.17981, -77.2851)",39,1,39,2
MNCPPC,Kings Crossing Local Park,14221 Kings Crossing BLVD,Boyds,MD,20841,"14221 Kings Crossing BLVD
Boyds, MD 20841
(39.163159, -77.297998)",75,1,42,2
MNCPPC,Kings LP (Little Bennett ES),23715 Clarksburg RD,Clarksburg,MD,20871,"23715 Clarksburg RD
Clarksburg, MD 20871
(39.245702, -77.2777)",44,1,50,2
Montgomery County Public Schools,Kingsview MS,18909 Kingsview Road,Germantown,MD,20874,"18909 Kingsview Road
Germantown, MD 20874
(39.165754, -77.286566)",39,1,39,2
Montgomery County Public Schools,"Knolls, Stephen ES",10731 St. Margaret's Way,Kensington,MD,20895,"10731 St. Margaret's Way
Kensington, MD 20895
(39.033107, -77.052177)",25,1,16,4
Montgomery County Public Schools,Lakelands Park MS,1200 Main Street,Gaithersburg,MD,20878,"1200 Main Street
Gaithersburg, MD 20878
(39.11603, -77.233172)",33,21,36,3
Montgomery County Public Schools,Lake Seneca ES,13600 Wanegarden Drive,Germantown,MD,20874,"13600 Wanegarden Drive
Germantown, MD 20874
(39.18503, -77.28342)",39,1,39,2
Montgomery County Public Schools,Lakewood ES,2534 Lindley Terrace,Rockville,MD,20850,"2534 Lindley Terrace
Rockville, MD 20850
(39.08706, -77.1914)",71,12,25,3
Montgomery County,Larchmont ES/Grace Episcopal Day School,9115 Georgia Ave.,Silver Spring,MD,20910,"9115 Georgia Ave.
Silver Spring, MD 20910
(39.00513, -77.037861)",3065,1,7,5
MNCPPC,Layhill Local Park,14901 Layhill RD,Aspen Hill,MD,20906,"14901 Layhill RD
Aspen Hill, MD 20906",,,,
MNCPPC,Layhill Village Local Park,1920 Queensguard RD,Silver Spring,MD,20906,"1920 Queensguard RD
Silver Spring, MD 20906
(39.087243, -77.042221)",6,1,57,4
Montgomery County Public Schools,Laytonsville ES,21401 Laytonsville Road,Gaithersburg,MD,20882,"21401 Laytonsville Road
Gaithersburg, MD 20882
(39.207164, -77.141334)",29,22,46,4
MNCPPC,Laytonsville Local Park,7620 Brink RD,Gaithersburg,MD,20882,"7620 Brink RD
Gaithersburg, MD 20882
(39.21064, -77.156096)",29,1,46,4
MNCPPC,Leaman Local Park,14021 Eternity RD,Germantown,MD,20874,"14021 Eternity RD
Germantown, MD 20874
(39.170145, -77.292958)",39,1,39,2
Montgomery County Public Schools,"Lee, Col. E. Brooke MS",11800 Monticello Avenue,Silver Spring,MD,20902,"11800 Monticello Avenue
Silver Spring, MD 20902
(39.0494, -77.029668)",17,1,17,4
Montgomery County Public Schools,Little Bennett ES,23930 Burdette Forest Road,Clarksburg,MD,20871,"23930 Burdette Forest Road
Clarksburg, MD 20871
(39.245446, -77.274969)",44,1,50,2
Libraries,Little Falls Community Library,5501 Massachusetts AVE,Bethesda,MD,20816,"5501 Massachusetts AVE
Bethesda, MD 20816
(38.958766, -77.110877)",107,1,12,1
MNCPPC,Little Falls SVU2,Arlington/Little Falls,Bethesda,MD,20815,"Arlington/Little Falls
Bethesda, MD 20815",,,,
Montgomery County Public Schools,"Loiederman, A. Mario MS",12701 Goodhill Road,Silver Spring,MD,20906,"12701 Goodhill Road
Silver Spring, MD 20906
(39.064625, -77.072017)",6,1,23,4
Libraries,Long Branch Community Library,8800 Garland AVE,Silver Spring,MD,20901,"8800 Garland AVE
Silver Spring, MD 20901
(39.000533, -77.000708)",21,1,8,5
MNCPPC,Long Branch-East Wayne Local Park,509 E University BLVD,Silver Spring,MD,20901,"509 E University BLVD
Silver Spring, MD 20901
(39.005917, -76.997524)",21,1,8,5
MNCPPC,Long Branch Local Park,8700 Piney Branch RD,Silver Spring,MD,20901,"8700 Piney Branch RD
Silver Spring, MD 20901
(38.998965, -76.997846)",3062,1,8,5
MNCPPC,Longwood Local Park,19300 Georgia AVE,Brookeville,MD,20833,"19300 Georgia AVE
Brookeville, MD 20833
(39.176353, -77.058293)",99,1,40,4
Montgomery County Public Schools,Luxmanor ES,6201 Tilden Lane,Rockville,MD,20852,"6201 Tilden Lane
Rockville, MD 20852
(39.044039, -77.127299)",60,1,19,1
MNCPPC,Luxmanor LP/ES,6201 Tilden LN,Rockville,MD,20852,"6201 Tilden LN
Rockville, MD 20852
(39.044039, -77.127299)",60,1,19,1
MNCPPC,Lynnbrook Center,8001 Lynnbrook Drive,Bethesda,MD,20814,"8001 Lynnbrook Drive
Bethesda, MD 20814
(38.990303, -77.087069)",111,1,12,1
MNCPPC,Lynnbrook Local Park,8008 Newdale DR,Bethesda,MD,20814,"8008 Newdale DR
Bethesda, MD 20814
(38.990511, -77.085066)",111,1,12,1
Montgomery County,MacDonald Knolls (Center for the Handicapped),10611 Tenbrook Dr.,Silver Spring,MD,20901,"10611 Tenbrook Dr.
Silver Spring, MD 20901
(39.029796, -77.027401)",21,1,17,5
Montgomery County Public Schools,"Magruder, Col. Zadok HS",5939 Muncaster Mill Road,Rockville,MD,20855,"5939 Muncaster Mill Road
Rockville, MD 20855
(39.131023, -77.119901)",51,1,55,4
MNCPPC,Manor Oak Local Park,18820 Quarrymen TER,Olney,MD,20832,"18820 Quarrymen TER
Olney, MD 20832
(39.16697, -77.04529)",99,1,58,4
MNCPPC,Maplewood-Alta Vista Local Park,5209 Alta Vista RD,Bethesda,MD,20814,"5209 Alta Vista RD
Bethesda, MD 20814
(39.01191, -77.104649)",111,1,12,1
Libraries,Marilyn J. Praisner Branch Library,14910 Old Columbia PIKE,Burtonsville,MD,20866,"14910 Old Columbia PIKE
Burtonsville, MD 20866
(39.100886, -76.941241)",47,1,30,5
Montgomery County Public Schools,"Marshall, Thurgood ES",12260 McDonald Chapel Drive,Gaithersburg,MD,20876,"12260 McDonald Chapel Drive
Gaithersburg, MD 20876
(39.124373, -77.258787)",33,1,28,3
Montgomery County Public Schools,Maryvale ES,1000 First Street,Rockville,MD,20851,"1000 First Street
Rockville, MD 20851
(39.090929, -77.136035)",71,12,25,3
Montgomery County Public Schools,"Matsunaga, Spark ES",13902 Bromfield Road,Germantown,MD,20874,"13902 Bromfield Road
Germantown, MD 20874
(39.151107, -77.294639)",39,1,39,2
Montgomery County Public Schools,"McAuliffe, Christa ES",12500 Wisteria Drive,Germantown,MD,20874,"12500 Wisteria Drive
Germantown, MD 20874
(39.167984, -77.259979)",39,1,39,2
MNCPPC,McKnew Local Park,14901 Saddle Creek DR,Burtonsville,MD,20866,"14901 Saddle Creek DR
Burtonsville, MD 20866
(39.10008, -76.918057)",47,1,30,5
Montgomery County Public Schools,"McNair, Ronald ES",13881 Hopkins Road,Germantown,MD,20874,"13881 Hopkins Road
Germantown, MD 20874
(39.16861, -77.290717)",39,1,39,2
MNCPPC,Meadowbrook Local Park,7901 Meadowbrook LN,Chevy Chase,MD,20815,"7901 Meadowbrook LN
Chevy Chase, MD 20815",,,,
Montgomery County Public Schools,Meadow Hall ES,951 Twinbrook Parkway,Rockville,MD,20851,"951 Twinbrook Parkway
Rockville, MD 20851
(39.083695, -77.116521)",68,12,25,3
MNCPPC,Meadowood Local Park,12810 New Hampshire AVE,Colesville,MD,20904,"12810 New Hampshire AVE
Colesville, MD 20904
(39.065229, -77.000161)",12,1,26,4
MNCPPC,Merrimac Neigh Park,6415 Winston DR,Bethesda,MD,20817,"6415 Winston DR
Bethesda, MD 20817
(38.9737, -77.131023)",103,1,12,1
Recreation,Mid County Community Recreation Center,2004 Queensguard Road,Silver Spring,MD,20906,"2004 Queensguard Road
Silver Spring, MD 20906
(39.087364, -77.042991)",6,1,57,4
Montgomery County Public Schools,Mill Creek Towne ES,17700 Park Mill Drive,Rockville,MD,20855,"17700 Park Mill Drive
Rockville, MD 20855
(39.146725, -77.15253)",51,1,36,4
MNCPPC,Mill Creek Towne Local Park,17401 Shady Grove RD,Gaithersburg,MD,20855,"17401 Shady Grove RD
Gaithersburg, MD 20855
(39.141129, -77.151744)",51,1,36,3
Montgomery County Public Schools,Monocacy ES,18801 Barnesville Road,Dickerson,MD,20842,"18801 Barnesville Road
Dickerson, MD 20842
(39.223844, -77.393789)",78,1,41,2
Montgomery County,Montgomery Hills JHS (Yeshiva of Greater Wash.),2010 Linden Lane,Silver Spring,MD,20910,"2010 Linden Lane
Silver Spring, MD 20910
(39.008941, -77.043459)",3065,1,7,5
Montgomery County Public Schools,Montgomery Knolls ES,807 Daleview Drive,Silver Spring,MD,20901,"807 Daleview Drive
Silver Spring, MD 20901
(39.006277, -76.994448)",21,1,8,5
Montgomery County Public Schools,"Montgomery, Richard  HS",250 Richard Montgomery Drive,Rockville,MD,20852,"250 Richard Montgomery Drive
Rockville, MD 20852
(39.078636, -77.145631)",60,12,25,3
Montgomery County Public Schools,Montgomery Village MS,19300 Watkins Mill Road,Montgomery Village,MD,20886,"19300 Watkins Mill Road
Montgomery Village, MD 20886
(39.17157, -77.208715)",28,1,38,2
Montgomery County,Montrose ES (Lourie Center),12301 Academy Way,Rockville,MD,20852,"12301 Academy Way
Rockville, MD 20852
(39.057436, -77.107493)",60,1,19,4
MNCPPC,Mount Zion Local Park,5130 Brookeville RD,Gaithersburg,MD,20882,"5130 Brookeville RD
Gaithersburg, MD 20882
(39.184693, -77.103062)",29,1,45,4
MNCPPC,Moyer Road Local Park,10000 Moyer RD,Damascus,MD,20872,"10000 Moyer RD
Damascus, MD 20872",,,,
Montgomery County Public Schools,Neelsville MS,11700 Neelsville Church Road,Germantown,MD,20876,"11700 Neelsville Church Road
Germantown, MD 20876
(39.195792, -77.240002)",36,1,39,2
Montgomery County Public Schools,New Hampshire Estates ES,8720 Carroll Avenue,Silver Spring,MD,20903,"8720 Carroll Avenue
Silver Spring, MD 20903
(38.998139, -76.991492)",15,1,8,5
MNCPPC,Newport Mill LP/MS,11201 Newport Mill RD,Kensington,MD,20895,"11201 Newport Mill RD
Kensington, MD 20895
(39.040534, -77.069897)",25,1,15,4
Montgomery County Public Schools,Newport Mill MS,11311 Newport Mill Rd.,Kensington,MD,20895,"11311 Newport Mill Rd.
Kensington, MD 20895
(39.042666, -77.068789)",17,1,15,4
MNCPPC,Nike Missile Local Park,8500 Snouffer School RD,Gaithersburg,MD,20879,"8500 Snouffer School RD
Gaithersburg, MD 20879
(39.168207, -77.175066)",31,1,36,4
Montgomery County Public Schools,"Nix, Roscoe ES",1100 Corliss Street,Silver Spring,MD,20903,"1100 Corliss Street
Silver Spring, MD 20903
(39.016872, -76.988631)",15,1,9,5
MNCPPC,Nolte Local Park,200 Denver RD,Silver Spring,MD,20910,"200 Denver RD
Silver Spring, MD 20910
(38.994681, -77.014306)",3065,1,7,5
Montgomery County Public Schools,North Bethesda MS,8935 Bradmoor St.,Bethesda,MD,20817,"8935 Bradmoor St.
Bethesda, MD 20817
(39.003501, -77.12538)",103,1,12,1
Montgomery County Public Schools,North Chevy Chase ES,3700 Jones Bridge Road,Chevy Chase,MD,20815,"3700 Jones Bridge Road
Chevy Chase, MD 20815
(38.999365, -77.073445)",110,1,5,1
MNCPPC,North Chevy Chase Local Park,4105 Jones Bridge RD,Chevy Chase,MD,20815,"4105 Jones Bridge RD
Chevy Chase, MD 20815
(39.000414, -77.081183)",110,1,5,1
MNCPPC,North Four Corners Local Park,211 Southwood AVE,Silver Spring,MD,20901,"211 Southwood AVE
Silver Spring, MD 20901
(39.025219, -77.014169)",21,1,13,5
Montgomery County Public Schools,North Lake Center (Bel Pre ES),15101 Bauer Dr.,Rockville,MD,20853,"15101 Bauer Dr.
Rockville, MD 20853
(39.10328, -77.104608)",58,1,61,3
Montgomery County Public Schools,Northwest HS,13501 Richter Farm Road,Germantown,MD,20874,"13501 Richter Farm Road
Germantown, MD 20874
(39.148617, -77.279068)",39,1,39,2
Montgomery County Public Schools,Northwood HS,919 University Boulevard,Silver Spring,MD,20901,"919 University Boulevard
Silver Spring, MD 20901
(39.034242, -77.024155)",21,1,17,5
MNCPPC,Norwood Local Park,4700 Norwood RD,Bethesda,MD,20815,"4700 Norwood RD
Bethesda, MD 20815
(38.975324, -77.092797)",110,1,5,1
Montgomery County Public Schools,Oakland Terrace ES,2720 Plyers Mill Road,Silver Spring,MD,20902,"2720 Plyers Mill Road
Silver Spring, MD 20902
(39.029663, -77.058119)",17,1,10,4
Montgomery County Public Schools,Oak View ES,400 East Wayne Avenue,Silver Spring,MD,20901,"400 East Wayne Avenue
Silver Spring, MD 20901
(39.003632, -77.002721)",21,1,8,5
Libraries,Olney Community Library,3500 Olney-Laytonsville RD,Olney,MD,20832,"3500 Olney-Laytonsville RD
Olney, MD 20832
(39.154143, -77.068772)",100,1,58,4
Montgomery County Public Schools,Olney ES,3401 Queen Mary Drive,Olney,MD,20832,"3401 Queen Mary Drive
Olney, MD 20832
(39.148347, -77.066975)",100,1,58,4
MNCPPC,Olney Family Nghbrhd Park,19117 Willow Grove RD,Olney,MD,20832,"19117 Willow Grove RD
Olney, MD 20832
(39.170179, -77.076504)",100,1,58,4
MNCPPC,Ovid Hazen Wells Recreational  Park,12001 Skylark RD,Clarksburg,MD,20871,"12001 Skylark RD
Clarksburg, MD 20871
(39.235607, -77.247531)",44,1,50,2
MNCPPC,Owens Local Park,19900 Beallsville RD,Beallsville,MD,20839,"19900 Beallsville RD
Beallsville, MD 20839
(39.182427, -77.407433)",77,1,37,2
Montgomery County Public Schools,Page ES,13400 Tamarack Road,Silver Spring,MD,20904,"13400 Tamarack Road
Silver Spring, MD 20904
(39.07511, -76.983029)",12,1,53,5
Montgomery County Public Schools,Paint Branch HS,14121 Old Columbia Pike,Burtonsville,MD,20866,"14121 Old Columbia Pike
Burtonsville, MD 20866
(39.087895, -76.94922)",47,1,53,5
MNCPPC,Parkland LP/MS,4701 Renn ST,Rockville,MD,20853,"4701 Renn ST
Rockville, MD 20853
(39.0836, -77.093771)",58,1,61,3
Montgomery County Public Schools,Parkland MS,4610 West Frankfort Drive,Rockville,MD,20853,"4610 West Frankfort Drive
Rockville, MD 20853
(39.085282, -77.091027)",58,1,61,3
MNCPPC,Parklawn Local Park,13000 Veirs Mill RD,Rockville,MD,20853,"13000 Veirs Mill RD
Rockville, MD 20853
(39.067032, -77.101406)",58,1,56,4
MNCPPC,Parkside Headquarters,9500 Brunett AVE,Silver Spring,MD,20901,"9500 Brunett AVE
Silver Spring, MD 20901
(39.010698, -77.021766)",21,1,7,5
Montgomery County Public Schools,"Parks, Rosa MS",19200 Olney Mill Road,Olney,MD,20832,"19200 Olney Mill Road
Olney, MD 20832
(39.171261, -77.080621)",100,1,58,4
Montgomery County,Peary HS (Berman Hebrew Academy),13300 Arctic Avenue,Rockville,MD,20853,"13300 Arctic Avenue
Rockville, MD 20853
(39.073283, -77.099331)",58,1,61,3
MNCPPC,Pilgrim Hill Local Park,1615 E Randolph RD,Colesville,MD,20904,"1615 E Randolph RD
Colesville, MD 20904
(39.065232, -76.978894)",12,1,18,5
Montgomery County Public Schools,Pine Crest ES,201 Woodmoor Drive,Silver Spring,MD,20901,"201 Woodmoor Drive
Silver Spring, MD 20901
(39.020804, -77.005219)",21,1,13,5
MNCPPC,Pinecrest LP (Pine Crest ES),301 St. Lawrence DR,Silver Spring,MD,20901,"301 St. Lawrence DR
Silver Spring, MD 20901
(39.021023, -77.003786)",21,1,13,5
Montgomery County Public Schools,Piney Branch ES,7510 Maple Avenue,Takoma Park,MD,20912,"7510 Maple Avenue
Takoma Park, MD 20912
(38.981843, -77.008918)",3062,11,4,5
MNCPPC,Pleasant View Local Park,11321 Norris DR,Wheaton,MD,20902,"11321 Norris DR
Wheaton, MD 20902
(39.041928, -77.064966)",17,1,15,4
MNCPPC,Plumgar Local Park,19561 Scenery DR,Germantown,MD,20876,"19561 Scenery DR
Germantown, MD 20876
(39.17713, -77.233675)",36,1,39,2
Montgomery County Public Schools,"Poole, John MS",17014 Tom Fox Avenue,Poolesville,MD,20837,"17014 Tom Fox Avenue
Poolesville, MD 20837
(39.126234, -77.409484)",97,16,34,1
Libraries,Poolesville Community Library,19633 Fisher AVE,Poolesville,MD,20837,"19633 Fisher AVE
Poolesville, MD 20837
(39.144381, -77.41053)",97,16,34,1
Montgomery County Public Schools,Poolesville ES,19565 Fisher Avenue,Poolesville,MD,20837,"19565 Fisher Avenue
Poolesville, MD 20837
(39.143637, -77.408289)",97,16,34,1
Montgomery County Public Schools,Poolesville HS,17501 Willard Road,Poolesville,MD,20837,"17501 Willard Road
Poolesville, MD 20837
(39.143357, -77.420046)",97,16,34,1
Recreation,Potomac Community Center,11315 Falls Road,Potomac,MD,20854,"11315 Falls Road
Potomac, MD 20854
(39.039653, -77.192805)",53,1,20,1
Libraries,Potomac Community Library,10101 Glenolden DR,Potomac,MD,20854,"10101 Glenolden DR
Potomac, MD 20854
(39.018886, -77.207624)",53,1,20,1
Montgomery County Public Schools,Potomac ES,10311 River Road,Rockville,MD,20854,"10311 River Road
Rockville, MD 20854
(39.020881, -77.213143)",53,1,20,1
Montgomery County Public Schools,"Pyle, Thomas MS",6311 Wilson Lane,Bethesda,MD,20817,"6311 Wilson Lane
Bethesda, MD 20817
(38.987745, -77.129477)",103,1,12,1
Montgomery County Public Schools,Quince Orchard HS,15800 Quince Orchard Road,Gaithersburg,MD,20878,"15800 Quince Orchard Road
Gaithersburg, MD 20878
(39.114944, -77.252945)",33,1,24,2
MNCPPC,Quince Orchard Knolls Local Park,11900 Quicne Mill DR,Darnestown,MD,20878,"11900 Quicne Mill DR
Darnestown, MD 20878
(39.109293, -77.248557)",33,1,24,2
Libraries,Quince Orchard Library,100 Maryland AVE,Rockville,MD,20850,"100 Maryland AVE
Rockville, MD 20850
(39.082088, -77.151215)",71,12,25,3
MNCPPC,Quince Orchard Valley Nghbrhd Park,12015 Suffolk TER,Gaithersburg,MD,20878,"12015 Suffolk TER
Gaithersburg, MD 20878
(39.133065, -77.249892)",33,1,36,3
Montgomery County Public Schools,Radnor Center (Rock Creek Forest ES),7000 Radnor Road,Bethesda,MD,20817,"7000 Radnor Road
Bethesda, MD 20817
(38.979748, -77.114417)",103,1,12,1
MNCPPC,Randolph Hills Local Park,11805 Ashley DR,Rockville,MD,20852,"11805 Ashley DR
Rockville, MD 20852
(39.049585, -77.093097)",60,1,19,4
Montgomery County,Randolph JHS (CESJDS),11710 Hunters Lane,Rockville,MD,20852,"11710 Hunters Lane
Rockville, MD 20852
(39.048885, -77.099926)",60,1,19,4
MNCPPC,Ray's Meadow Local Park,2901 East-West HWY,Chevy Chase,MD,20815,"2901 East-West HWY
Chevy Chase, MD 20815
(38.992575, -77.060642)",110,1,5,1
MNCPPC,Redland Local Park,17210 Redland RD,Derwood,MD,20855,"17210 Redland RD
Derwood, MD 20855
(39.13909, -77.143677)",51,1,36,3
Montgomery County Public Schools,Redland MS,6505 Muncaster Mill Road,Rockville,MD,20855,"6505 Muncaster Mill Road
Rockville, MD 20855
(39.139448, -77.132418)",51,1,54,4
Montgomery County,Regional Services Center-B-CC,4805 Edgemoor LN,Bethesda,MD,20814,"4805 Edgemoor LN
Bethesda, MD 20814
(38.984796, -77.095858)",111,1,12,1
Montgomery County,Regional Services Center-Eastern,3300 Briggs Chaney RD,Silver Spring,MD,20904,"3300 Briggs Chaney RD
Silver Spring, MD 20904
(39.077375, -76.942667)",12,1,53,5
Montgomery County,Regional Services Center-Mid-County,2424 Reedie DR,Wheaton,MD,20902,"2424 Reedie DR
Wheaton, MD 20902
(39.038469, -77.051985)",17,1,16,4
Montgomery County,Regional Services Center-Upcounty,12900 Middlebrook RD,Germantown,MD,20874,"12900 Middlebrook RD
Germantown, MD 20874
(39.179332, -77.267914)",39,1,39,2
Montgomery County Public Schools,"Resnik, Judith ES",7301 Hadley Farms Drive,Gaithersburg,MD,20879,"7301 Hadley Farms Drive
Gaithersburg, MD 20879
(39.179992, -77.150837)",31,1,36,4
Montgomery County Public Schools,"Ride, Dr. Sally ES",21301 Seneca Crossing Drive,Germantown,MD,20876,"21301 Seneca Crossing Drive
Germantown, MD 20876
(39.209423, -77.237359)",36,1,39,2
MNCPPC,Ridge Road Recreational Park,21155 Frederick Road,Germantown,MD,20876,"21155 Frederick Road
Germantown, MD 20876
(39.203839, -77.245751)",36,1,39,2
Montgomery County Public Schools,Ridgeview MS,16600 Raven Rock Drive,Gaithersburg,MD,20878,"16600 Raven Rock Drive
Gaithersburg, MD 20878
(39.128055, -77.248119)",33,1,36,3
Montgomery County Public Schools,Ritchie Park ES,1514 Dunster Road,Rockville,MD,20854,"1514 Dunster Road
Rockville, MD 20854
(39.062293, -77.17373)",53,12,25,3
Montgomery County Public Schools,Rock Creek Forest ES (closed),8330 Grubb Road,Chevy Chase,MD,20815,"8330 Grubb Road
Chevy Chase, MD 20815
(38.993133, -77.050908)",110,1,6,1
Montgomery County Public Schools,Rock Creek Forest ES @ Radnor Center,7000 Radnor Road,Bethesda,MD,20817,"7000 Radnor Road
Bethesda, MD 20817
(38.979748, -77.114417)",103,1,12,1
MNCPPC,Rock Creek Hills Local Park,3701 Saul RD,Kensington,MD,20895,"3701 Saul RD
Kensington, MD 20895
(39.015001, -77.075458)",25,1,15,1
Montgomery County Public Schools,Rock Creek Valley ES,5121 Russett Road,Rockville,MD,20853,"5121 Russett Road
Rockville, MD 20853
(39.082544, -77.102967)",58,1,61,3
Montgomery County Public Schools,Rock Terrace School,390 Martins Lane,Rockville,MD,20850,"390 Martins Lane
Rockville, MD 20850
(39.092281, -77.158378)",71,12,25,3
Montgomery County Public Schools,Rock View ES,3901 Denfield Avenue,Kensington,MD,20895,"3901 Denfield Avenue
Kensington, MD 20895
(39.038681, -77.076895)",25,1,15,4
Montgomery County Public Schools,Rockville HS,2100 Baltimore Road,Rockville,MD,20851,"2100 Baltimore Road
Rockville, MD 20851
(39.085797, -77.117242)",68,12,25,3
Libraries,Rockville Memorial Library,21 Maryland Avenue,Rockville,MD,20850,"21 Maryland Avenue
Rockville, MD 20850
(39.086577, -77.15105)",71,12,25,3
Montgomery County Public Schools,"Rockwell, Lois ES",24555 Cutsail Drive,Damascus,MD,20872,"24555 Cutsail Drive
Damascus, MD 20872
(39.256377, -77.215086)",42,1,51,2
Montgomery County Public Schools,Rocky Hill MS,22401 Brick Haven Way,Clarksburg,MD,20871,"22401 Brick Haven Way
Clarksburg, MD 20871
(39.220838, -77.263208)",44,1,50,2
Montgomery County Public Schools,Rolling Terrace ES,705 Bayfield Street,Takoma Park,MD,20912,"705 Bayfield Street
Takoma Park, MD 20912
(38.995922, -76.997606)",3062,1,8,5
Montgomery County Public Schools,Rosemary Hills ES,2111 Porter Road,Silver Spring,MD,20910,"2111 Porter Road
Silver Spring, MD 20910
(39.000698, -77.045452)",3065,1,6,5
MNCPPC,Rosemary Hills-Lyttonsville Local Park,2450 Lyttonsville RD,Silver Spring,MD,20910,"2450 Lyttonsville RD
Silver Spring, MD 20910
(38.999711, -77.050901)",3065,1,6,5
Montgomery County Public Schools,Rosemont ES,16400 Alden Avenue,Gaithersburg,MD,20877,"16400 Alden Avenue
Gaithersburg, MD 20877
(39.125802, -77.185192)",35,21,36,3
