Building Name,Program Name,Phone Number,Days of Operation,Hours of Operation,Street Number,Street Name,Zip,Link,New Georeferenced Column,Council Districts_from_i23j_3mj8,Council Districts,Councils,Communities,Zip Codes,Municipalities,Service Regions
DHHS Offices at 255 Rockville Pike,Urine Monitoring Program,240-777-1770,Monday - Friday,8:30 AM - 5:00 PM,255,Rockville Pike,20850,http://www.montgomerycountymd.gov/hhs/,"255 Rockville Pike
Rockville, MD 20850
(39.084716, -77.147943)",3,3,3,25,71,12,3
DHHS Silver Spring Center,Public Assistance Programs – Food Supplement (Food Stamps),240-777-0311,Monday - Friday,8:30 AM - 5:00 PM,8818,Georgia Avenue,20910,http://www.montgomerycountymd.gov/hhs/,"8818 Georgia Avenue
Silver Spring, MD 20910
(39.000666, -77.033282)",5,5,5,7,3065,1,1
DHHS Offices at 1401 Rockville Pike,Transitioning Youth,240-777-1216,Monday - Friday,8:00 AM - 4:30 PM,1401,Rockville Pike,20852,http://www.montgomerycountymd.gov/hhs/,"1401 Rockville Pike
Rockville, MD 20852
(39.067396, -77.128766)",3,3,3,25,60,12,3
MidCounty DHHS Building,Public Assistance Programs – Food Supplement (Food Stamps),240-777-0311,Monday - Friday,8:30 AM - 5:00 PM,1301,Piccard Drive,20850,http://www.montgomerycountymd.gov/hhs/,"1301 Piccard Drive
Rockville, MD 20850
(39.102672, -77.177593)",3,3,3,25,71,12,3
Silver Spring Health Center,Maryland Children's Health Insurance Program (eligibility determination),240-777-0311,Monday - Friday,8:00 AM - 4:00 PM,8630,Fenton Street,20910,http://www.montgomerycountymd.gov/hhs/,"8630 Fenton Street
Silver Spring, MD 20910
(38.998159, -77.028188)",5,5,5,7,3065,1,1
UpCounty Regional Services Center,Public Assistance Programs – Food Supplement (Food Stamps),240-777-0311,Monday - Friday,7:45 AM - 5:00 PM,12900,Middlebrook Road,20874,http://www.montgomerycountymd.gov/hhs/,"12900 Middlebrook Road
Germantown, MD 20874
(39.179332, -77.267914)",2,2,2,39,39,1,5
DHHS Offices at 1401 Rockville Pike,Resource Coordination,240-777-1216,Monday - Friday,8:00 AM - 4:30 PM,1401,Rockville Pike,20852,http://www.montgomerycountymd.gov/hhs/,"1401 Rockville Pike
Rockville, MD 20852
(39.067396, -77.128766)",3,3,3,25,60,12,3
DHHS Administrative Offices,Living at Home Waiver Program-Maryland Community Choices,240-777-3000,Monday - Friday,8:30 AM - 5:00 PM,401,Hungerford Drive,20850,http://www.montgomerycountymd.gov/hhs/,"401 Hungerford Drive
Rockville, MD 20850
(39.08858, -77.150924)",3,3,3,25,71,12,3
DHHS Offices at 1401 Rockville Pike,Eligibility Determination for Public Health Programs & Medical Assistance -Service Eligibility Units,240-777-0311,Monday - Friday,8:00 AM - 4:30 PM,1401,Rockville Pike,20852,http://www.montgomerycountymd.gov/hhs/,"1401 Rockville Pike
Rockville, MD 20852
(39.067396, -77.128766)",3,3,3,25,60,12,3
DHHS Offices at 1401 Rockville Pike,My Turn,240-777-1216,Monday - Friday,8:00 AM - 4:30 PM,1401,Rockville Pike,20852,http://www.montgomerycountymd.gov/hhs/,"1401 Rockville Pike
Rockville, MD 20852
(39.067396, -77.128766)",3,3,3,25,60,12,3
DHHS Administrative Offices,Family Caregiver Program,240-777-3000,Monday - Friday,8:30 AM - 5:00 PM,401,Hungerford Drive,20850,http://www.montgomerycountymd.gov/hhs/,"401 Hungerford Drive
Rockville, MD 20850
(39.08858, -77.150924)",3,3,3,25,71,12,3
Takoma East Silver Spring (TESS) Center,Medical Assistance Programs,240-777-0311,Monday - Friday,9:00 AM - 11:00 AM,8513,Piney Branch Road,20901,http://www.montgomerycountymd.gov/hhs/,"8513 Piney Branch Road
Silver Spring, MD 20901
(38.998312, -77.002758)",5,5,5,8,21,1,1
Silver Spring Health Center,Nurse Case Management: Maternal and Child,240-777-3160,Monday - Friday,8:00 AM - 4:00 PM,8630,Fenton Street,20910,http://www.montgomerycountymd.gov/hhs/,"8630 Fenton Street
Silver Spring, MD 20910
(38.998159, -77.028188)",5,5,5,7,3065,1,1
Neighborhood Service Center at Catholic Charities,"Public Assistance Programs – TCA, TDAP",240-777-0311,"Wednesday, Friday",9:00 AM - 3:00 PM,12247,Georgia Avenue,20906,http://www.montgomerycountymd.gov/hhs/,"12247 Georgia Avenue
Silver Spring, MD 20906
(39.056182, -77.049856)",4,4,4,23,17,1,4
"Neighborhood Service Center at Family Services, Inc.",Shelter Services,240-777-3289,Monday-Thursday/Friday,9:00 AM - 3:00 PM/9:00 AM - 2:00 PM,200,"Girard Street, Suite 206",20877,http://www.montgomerycountymd.gov/hhs/,"200 Girard Street
Gaithersburg, MD 20877
(39.141551, -77.182926)",3,3,3,36,35,21,5
DHHS Offices at 1401 Rockville Pike,Maryland Children's Health Insurance Program (eligibility determination),240-777-0311,Monday - Friday,8:00 AM - 4:30 PM,1401,Rockville Pike,20852,http://www.montgomerycountymd.gov/hhs/,"1401 Rockville Pike
Rockville, MD 20852
(39.067396, -77.128766)",3,3,3,25,60,12,3
DHHS Silver Spring Center,Emergency Eviction Prevention,240-777-0311,Monday - Friday,8:30 AM - 5:00 PM,8818,Georgia Avenue,20910,http://www.montgomerycountymd.gov/hhs/,"8818 Georgia Avenue
Silver Spring, MD 20910
(39.000666, -77.033282)",5,5,5,7,3065,1,1
Dennis Avenue Health Center,Rabies Care,240-777-1755,Monday - Friday,8:00 AM - 4:00 PM,2000,Dennis Avenue,20902,http://www.montgomerycountymd.gov/hhs/,"2000 Dennis Avenue
Silver Spring, MD 20902
(39.025621, -77.043409)",5,5,5,10,17,1,4
DHHS Offices,Asian American Health Initiative,240-777-4517,Monday - Friday,8:00 AM - 4:30 PM,1401,Rockville Pike,20852,http://www.montgomerycountymd.gov/hhs/,"1401 Rockville Pike
Rockville, MD 20852
(39.067396, -77.128766)",3,3,3,25,60,12,3
DHHS Administrative Offices,Medical Assistance - Long Term Care,240-777-3995,Monday - Friday,8:30 AM - 5:00 PM,401,Hungerford Drive,20850,http://www.montgomerycountymd.gov/hhs/,"401 Hungerford Drive
Rockville, MD 20850
(39.08858, -77.150924)",3,3,3,25,71,12,3
DHHS Offices at 1401 Rockville Pike,Health Choice Client Services,240-777-1635,Monday - Friday,8:00 AM - 4:30 PM,1401,Rockville Pike,20852,http://www.montgomerycountymd.gov/hhs/,"1401 Rockville Pike
Rockville, MD 20852
(39.067396, -77.128766)",3,3,3,25,60,12,3
UpCounty Regional Services Center,Eligibility Determination for Public Health Programs & Medical Assistance -Service Eligibility Units,240-777-0311,Monday - Friday,7:45 AM - 5:00 PM,12900,Middlebrook Road,20874,http://www.montgomerycountymd.gov/hhs/,"12900 Middlebrook Road
Germantown, MD 20874
(39.179332, -77.267914)",2,2,2,39,39,1,5
Silver Spring Health Center,Eligibility Determination for Public Health Programs & Medical Assistance -Service Eligibility Units,240-777-0311,Monday - Friday,8:00 AM - 4:00 PM,8630,Fenton Street,20910,http://www.montgomerycountymd.gov/hhs/,"8630 Fenton Street
Silver Spring, MD 20910
(38.998159, -77.028188)",5,5,5,7,3065,1,1
Dennis Avenue Health Center,Dental Services: HIV,240-777-1737,Monday - Friday,8:00 AM - 4:00 PM,2000,Dennis Avenue,20902,http://www.montgomerycountymd.gov/hhs/,"2000 Dennis Avenue
Silver Spring, MD 20902
(39.025621, -77.043409)",5,5,5,10,17,1,4
Neighborhood Service Center at Catholic Charities,Neighborhood Service Centers,240-777-0311,"Wednesday, Friday",9:00 AM - 3:00 PM,12247,Georgia Avenue,20906,http://www.montgomerycountymd.gov/hhs/,"12247 Georgia Avenue
Silver Spring, MD 20906
(39.056182, -77.049856)",4,4,4,23,17,1,4
DHHS Offices at 1401 Rockville Pike,Early Childhood Mental Health Consultation Services,240-777-4769,Monday - Friday,8:00 AM - 4:30 PM,1401,Rockville Pike,20852,http://www.montgomerycountymd.gov/hhs/,"1401 Rockville Pike
Rockville, MD 20952
(39.067396, -77.128766)",3,3,3,25,60,12,3
UpCounty Regional Services Center,Medical Assistance Programs,240-777-0311,Monday - Friday,7:45 AM - 5:00 PM,12900,Middlebrook Road,20874,http://www.montgomerycountymd.gov/hhs/,"12900 Middlebrook Road
Germantown, MD 20874
(39.179332, -77.267914)",2,2,2,39,39,1,5
DHHS Administrative Offices,Aging and Disability Resource Unit,240-777-3000,Monday - Friday,8:30 AM - 5:00 PM,401,Hungerford Drive,20850,http://www.montgomerycountymd.gov/hhs/,"401 Hungerford Drive
Rockville, MD 20850
(39.08858, -77.150924)",3,3,3,25,71,12,3
DHHS Administrative Offices,Teen Parent Support Team,240-777-1570,Monday - Friday,8:30 AM - 5:00 PM,401,Hungerford Drive,20850,http://www.montgomerycountymd.gov/hhs/,"401 Hungerford Drive
Rockville, MD 20850
(39.08858, -77.150924)",3,3,3,25,71,12,3
MidCounty DHHS Building,Victim Assistance and Sexual Assault,240-777-1355 ,Monday - Sunday,12:00 AM - 11:59 PM,1301,Piccard Drive,20850,http://www.montgomerycountymd.gov/hhs/,"1301 Piccard Drive
Rockville, MD 20850
(39.102672, -77.177593)",3,3,3,25,71,12,3
"Neighborhood Service Center at Family Services, Inc.",Eligibility Determination for Public Health Programs & Medical Assistance -Service Eligibility Units,240-777-0311,Monday-Thursday/Friday,9:00 AM - 3:00 PM/9:00 AM - 2:00 PM,200,"Girard Street, Suite 205",20877,http://www.montgomerycountymd.gov/hhs/,"200 Girard Street
Gaithersburg, MD 20877
(39.141551, -77.182926)",3,3,3,36,35,21,5
Silver Spring Health Center,Latino Health Initiative,240-777-1629,Monday - Friday,8:00 AM - 4:00 PM,8630,Fenton Street,20910,http://www.montgomerycountymd.gov/hhs/,"8630 Fenton Street
Silver Spring, MD 20910
(38.998159, -77.028188)",5,5,5,7,3065,1,1
Silver Spring Health Center,Maternity Partnership - Prenatal Care Program,240-777-0311,Monday - Friday,8:00 AM - 4:00 PM,8630,Fenton Street,20910,http://www.montgomerycountymd.gov/hhs/,"8630 Fenton Street
Silver Spring, MD 20910
(38.998159, -77.028188)",5,5,5,7,3065,1,1
UpCounty Regional Services Center,Nurse Case Management: Maternal and Child,240-777-3160,Monday - Friday,7:45 AM - 5:00 PM,12900,Middlebrook Road,20874,http://www.montgomerycountymd.gov/hhs/,"12900 Middlebrook Road
Germantown, MD 20874
(39.179332, -77.267914)",2,2,2,39,39,1,5
UpCounty Regional Services Center,Maternity Partnership - Prenatal Care Program,240-777-0311,Monday - Friday,7:45 AM - 5:00 PM,12900,Middlebrook Road,20874,http://www.montgomerycountymd.gov/hhs/,"12900 Middlebrook Road
Germantown, MD 20874
(39.179332, -77.267914)",2,2,2,39,39,1,5
DHHS Offices,Child and Adolescent Mental Health,240-777-1432,Monday - Thursday/Friday,9:30 AM - 7:00 PM/8:30 AM - 5 PM,7300,Calhoun Place,20855,http://www.montgomerycountymd.gov/hhs/,"7300 Calhoun Pl
Rockville, MD 20855
(39.107769, -77.148192)",3,3,3,27,51,1,4
DHHS Administrative Offices,Medical Assistance Waiver for Older Adults,240-777-3000,Monday - Friday,8:30 AM - 5:00 PM,401,Hungerford Drive,20850,http://www.montgomerycountymd.gov/hhs/,"401 Hungerford Drive
Rockville, MD 20850
(39.08858, -77.150924)",3,3,3,25,71,12,3
