"report_number","local_case_number","agency_name","acrs_report_type","crash_date_time","hit_run","route_type","mile_point","mile_point_direction","lane_direction","lane_number","lane_type","number_of_lanes","direction","distance","distance_unit","road_grade","nontraffic","road_name","cross_street_type","cross_street_name","off_road_description","municipality","related_non_motorist","at_fault","collision_type","weather","surface_condition","light","traffic_control","driver_substance_abuse","non_motorist_substance_abuse","first_harmful_event","second_harmful_event","fixed_oject_struck","junction","intersection_type","intersection_area","road_alignment","road_condition","road_division","latitude","longitude","geolocation"
"MCP25360048","220036487","Montgomery County Police","Property Damage Crash","2022-08-23T23:25:00.000","Yes","County","1.25","South","South","1",,"1","South","0","FEET","HILL UPHILL","No","WELLER RD","Maryland (State)","CONNECTICUT AVE",,"N/A",,"DRIVER","SAME DIR REAR END","CLEAR","DRY","DARK LIGHTS ON","TRAFFIC SIGNAL","NONE DETECTED, UNKNOWN",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","FOUR-WAY INTERSECTION",,"STRAIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","39.0632736","-77.0734148","
,  
(39.0632736, -77.0734148)"
"MCP14250019","220036485","Montgomery County Police","Injury Crash","2022-08-23T21:45:00.000","No","Maryland (State)","14.64","East","East","1",,"2","West","200","FEET","LEVEL","No","DARNESTOWN RD","County","ANCIENT OAK DR",,"N/A",,"DRIVER","SINGLE VEHICLE","CLEAR","DRY","DARK LIGHTS ON","NO CONTROLS","NONE DETECTED",,"OVERTURN","OVERTURN","N/A","NON INTERSECTION","N/A","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","39.113023","-77.270049","
,  
(39.113023, -77.270049)"
"MCP2752004T","220036470","Montgomery County Police","Property Damage Crash","2022-08-23T19:30:00.000","Yes","Municipality","0","East","West","0","LEFT TURN LANE","1","East","0","FEET","LEVEL","No","FORTUNE TERR","Municipality","SEVEN LOCKS RD",,"ROCKVILLE",,"DRIVER","SAME DIR BOTH LEFT TURN","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","N/A, UNKNOWN",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","T-INTERSECTION","INTERSECTION","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET","39.062334","-77.1592559","
,  
(39.062334, -77.1592559)"
"MCP27800060","220036450","Montgomery County Police","Property Damage Crash","2022-08-23T18:20:00.000","No","Maryland (State)","18.81","North","North","2",,"2","North","0","FEET","LEVEL","No","FREDERICK RD","Maryland (State)","GERMANTOWN RD",,"N/A",,"DRIVER","SAME DIR REAR END","CLOUDY","DRY","DAYLIGHT","TRAFFIC SIGNAL","N/A",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","FOUR-WAY INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.19891883","-77.24543145","
,  
(39.19891883, -77.24543145)"
"MCP2898003H","220036447","Montgomery County Police","Injury Crash","2022-08-23T17:43:00.000","No","Maryland (State)","19.54","North","South","3",,"3","North","0","FEET","GRADE DOWNHILL","No","FREDERICK RD","Unknown","ENT TO MILESTONE SHOPPING CENTER",,"N/A",,"DRIVER","STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","N/A",,"OTHER VEHICLE","FIXED OBJECT","OTHER POLE","INTERSECTION","T-INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.2004292","-77.2451467","
,  
(39.2004292, -77.2451467)"
"MCP3227003T","220036441","Montgomery County Police","Property Damage Crash","2022-08-23T17:00:00.000","No","Maryland (State)","2.14","North","South","2",,"2","North","0","FEET","GRADE DOWNHILL","No","PINEY BRANCH RD","Unknown","ENT TO BUSINESS",,"N/A",,"DRIVER","HEAD ON LEFT TURN","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","T-INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET","39.03364","-77.00331067","
,  
(39.03364, -77.00331067)"
"MCP3093003W","220035682","Montgomery County Police","Property Damage Crash","2022-08-23T16:42:00.000","No","Maryland (State)","1.13","East","West","1",,"2","East","0","FEET","GRADE DOWNHILL","No","EAST WEST HWY","County","GLENDALE RD",,"N/A",,"DRIVER","OTHER","CLEAR","DRY","DAYLIGHT","N/A","N/A",,"OTHER VEHICLE","N/A","N/A","N/A","FOUR-WAY INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","38.99203667","-77.098015","
,  
(38.99203667, -77.098015)"
"MCP29730063","220036415","Montgomery County Police","Injury Crash","2022-08-23T15:15:00.000","No","Maryland (State)","7.75","North","North","3",,"3","North","0","FEET","LEVEL","No","CONNECTICUT AVE","County","INDEPENDENCE ST",,"N/A","PEDESTRIAN","DRIVER","OTHER","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED","NONE DETECTED","PEDESTRIAN","N/A","N/A","INTERSECTION","FOUR-WAY INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.0564664","-77.0736231","
,  
(39.0564664, -77.0736231)"
"MCP3073006F","220036251","Montgomery County Police","Injury Crash","2022-08-23T14:58:00.000","No","County","0.49","North","East","1",,"1","North","200","FEET","LEVEL","No","ARBUTUS AVE","County","GLASGOW DR",,"N/A","PEDESTRIAN","NONMOTORIST","OTHER","N/A","N/A","DAYLIGHT","N/A","NONE DETECTED","NONE DETECTED","PEDESTRIAN","N/A","N/A","N/A","N/A","N/A","STRAIGHT","NO DEFECTS","N/A","39.07124333","-77.08732833","
,  
(39.07124333, -77.08732833)"
"MCP25980045","220036385","Montgomery County Police","Injury Crash","2022-08-23T12:57:00.000","No","County","0","South","South","1",,"2","North","100","FEET","LEVEL","No","DAMASCUS BLVD","Maryland (State)","RIDGE RD",,"N/A",,"DRIVER","STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"PARKED VEHICLE","N/A","N/A","NON INTERSECTION","N/A","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","39.2876424","-77.2063173","
,  
(39.2876424, -77.2063173)"
"MCP2016006G","220036378","Montgomery County Police","Property Damage Crash","2022-08-23T11:52:00.000","No","Maryland (State)","9.32","North","South","1",,"3","North","0","FEET","LEVEL","No","ROCKVILLE PIKE","Municipality","CHURCH ST",,"ROCKVILLE",,"DRIVER","SAME DIRECTION SIDESWIPE","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","N/A",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","FOUR-WAY INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.0860583","-77.1588096","
,  
(39.0860583, -77.1588096)"
"DD5620007Q","220036371","Rockville Police Departme","Injury Crash","2022-08-23T11:15:00.000","No","Maryland (State)","22.19","East","West","1",,"2","West","0","FEET","LEVEL","No","W JEFFERSON ST","Municipality","S ADAMS ST",,"ROCKVILLE",,"DRIVER","STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","STOP SIGN","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION RELATED","FOUR-WAY INTERSECTION","INTERSECTION RELATED","STRAIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","39.07764885","-77.07080351","
,  
(39.07764885, -77.07080351)"
"MCP15190040","220036367","Montgomery County Police","Property Damage Crash","2022-08-23T10:36:00.000","No",,,,,"0",,"0",,,,,"Yes",,,,"PARKING LOT OF 12628 GREY EAGLE CT",,,"DRIVER","OTHER","CLEAR",,"DAYLIGHT","NO CONTROLS","NONE DETECTED",,"PARKED VEHICLE","PARKED VEHICLE","CURB",,,,,,,"39.1672","-77.26256","
,  
(39.1672, -77.26256)"
"MCP2881004Q","220035953","Montgomery County Police","Injury Crash","2022-08-23T10:07:00.000","No","County","0","South","North","1",,"2","North","1","FEET","LEVEL","No","RIDGE RD","Maryland (State)","FREDERICK RD",,"N/A",,"DRIVER","SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","N/A","FOUR-WAY INTERSECTION","INTERSECTION","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.20459","-77.246729","
,  
(39.20459, -77.246729)"
"MCP32000069","220036346","Montgomery County Police","Injury Crash","2022-08-23T09:23:00.000","No","Maryland (State)","12.35","East","West","2",,"2","East","0","FEET","LEVEL","No","RIVER RD","County","BEECH TREE RD",,"N/A",,"DRIVER","HEAD ON LEFT TURN","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","FOUR-WAY INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","38.986238","-77.14336","
,  
(38.986238, -77.14336)"
"MCP15190041","220036336","Montgomery County Police","Injury Crash","2022-08-23T08:47:00.000","No","Maryland (State)","5.07","North","North","1",,"2","North","0","FEET","LEVEL","No","GREAT SENECA HWY","County","MATENY RD",,"N/A","BICYCLIST","DRIVER","SINGLE VEHICLE","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED","NONE DETECTED","BICYCLE","N/A","N/A","INTERSECTION","T-INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.14615","-77.27454","
,  
(39.14615, -77.27454)"
"MCP3026007Y","220036329","Montgomery County Police","Property Damage Crash","2022-08-23T08:04:00.000","No","Maryland (State)","2.22","North","South","1",,"0","North","0","FEET","LEVEL","No","CONNECTICUT AVE","County","JONES BRIDGE RD",,"N/A",,"DRIVER","SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","FOUR-WAY INTERSECTION","INTERSECTION","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","38.99612503","-77.07717995","
,  
(38.99612503, -77.07717995)"
"MCP1113004F","220034830","Montgomery County Police","Injury Crash","2022-08-23T07:50:00.000","No","Maryland (State)","14.12","North","North","1",,"2","North","0","FEET","HILL CREST","No","WOODFIELD RD","County","WOODFIELD SCHOOL RD",,"N/A",,"DRIVER","STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","STOP SIGN","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","T-INTERSECTION",,"STRAIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","39.248891","-77.192991","
,  
(39.248891, -77.192991)"
"EJ7879002D","220035259","Gaithersburg Police Depar","Property Damage Crash","2022-08-23T04:50:00.000","No",,,,,"0",,"0",,,,,"Yes",,,,"PARKING LOT OF 340 N SUMMIT AVENUE",,,"DRIVER","SINGLE VEHICLE","CLEAR",,"DARK LIGHTS ON","NO CONTROLS","NONE DETECTED",,"FIXED OBJECT","FIXED OBJECT","CURB",,,,,,,"39.148481","-77.1921733","
,  
(39.148481, -77.1921733)"
"DD5575002C","220036308","Rockville Police Departme","Injury Crash","2022-08-22T21:20:00.000","No",,,,,"0",,"0",,,,,"Yes",,,,"PARKING LOT OF 701 KING FARM BLVD",,,"DRIVER","OTHER","CLOUDY",,"DARK LIGHTS ON","NO CONTROLS","NONE DETECTED",,"OTHER OBJECT","OTHER OBJECT","OTHER TRAFFIC BARRIER",,,,,,,"39.11206065","-77.17958761","
,  
(39.11206065, -77.17958761)"
"MCP29310061","220036304","Montgomery County Police","Property Damage Crash","2022-08-22T20:46:00.000","Yes","Municipality","0","West","West","1",,"1","West","200","FEET","LEVEL","No","ENGLAND TERR","Municipality","GRANDIN AVE",,"ROCKVILLE",,"DRIVER","SAME DIR REAR END","CLOUDY","WET","DARK LIGHTS ON","NO CONTROLS","ALCOHOL PRESENT",,"PARKED VEHICLE","PARKED VEHICLE","N/A","NON INTERSECTION","N/A","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","39.0864976","-77.1455279","
,  
(39.0864976, -77.1455279)"
"MCP1233004P","220036285","Montgomery County Police","Property Damage Crash","2022-08-22T18:08:00.000","No","Maryland (State)","4.32","North","West","2",,"2","North","0","FEET","HILL UPHILL","No","CONNECTICUT AVE","Municipality","HOWARD AVE",,"KENSINGTON",,"DRIVER","SAME DIR REAR END","CLOUDY","DRY","DAYLIGHT","STOP SIGN","COMBINED SUBSTANCE PRESENT, NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","T-INTERSECTION","INTERSECTION","CURVE RIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.0268674","-77.07224184","
,  
(39.0268674, -77.07224184)"
"MCP31920030","220036284","Montgomery County Police","Property Damage Crash","2022-08-22T17:53:00.000","No","County","2.95","East","South","1",,"1","East","20","FEET","GRADE DOWNHILL","No","RANDOLPH RD","County","LINDELL ST",,"N/A",,"DRIVER","SAME DIRECTION SIDESWIPE","CLOUDY","WET","DUSK","TRAFFIC SIGNAL","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","NON INTERSECTION","N/A","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET","39.059157","-77.062001","
,  
(39.059157, -77.062001)"
"MCP09430005","220036272","Montgomery County Police","Injury Crash","2022-08-22T17:32:00.000","No","Maryland (State)","2.7","North","South","1",,"1","North","0.25","MILE","GRADE DOWNHILL","No","RIDGE RD","County","DAVIS MILL RD",,"N/A",,"DRIVER","STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION RELATED","T-INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET","39.24153","-77.23471","
,  
(39.24153, -77.23471)"
"MCP3129004X","220036110","Montgomery County Police","Property Damage Crash","2022-08-22T16:38:00.000","No",,"0",,"South","1",,"2","North","50","FEET","GRADE DOWNHILL","No","TIVOLI LAKE BLVD",,"SWEETBAY PL",,"N/A",,"DRIVER","SINGLE VEHICLE","RAINING","WET","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"FIXED OBJECT","FIXED OBJECT","SIGN SUPPORT POLE","N/A","N/A","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","39.14908333","-77.05565167","
,  
(39.14908333, -77.05565167)"
"MCP1378011V","220036270","Montgomery County Police","Property Damage Crash","2022-08-22T16:33:00.000","No","Maryland (State)","1.35","North","North","1",,"2","North","0.1","MILE","GRADE DOWNHILL","No","BRADLEY BLVD","County","SEVEN LOCKS RD",,"N/A",,"DRIVER","STRAIGHT MOVEMENT ANGLE","CLOUDY","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","RESIDENTIAL DRIVEWAY","T-INTERSECTION","N/A","CURVE RIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","39.0124154","-77.156629","
,  
(39.0124154, -77.156629)"
"MCP31480043","220036104","Montgomery County Police","Property Damage Crash","2022-08-22T16:15:00.000","Yes","County","0.13","East","East","2",,"2","East","0","FEET","LEVEL","No","MONTGOMERY LA","Maryland (State)","WISCONSIN AVE",,"N/A",,"DRIVER","SAME DIR BOTH LEFT TURN","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","FOUR-WAY INTERSECTION","N/A","STRAIGHT","NO DEFECTS","ONE-WAY TRAFFICWAY","38.98366","-77.09389","
,  
(38.98366, -77.09389)"
"EJ7884004Y","220036267","Gaithersburg Police Depar","Property Damage Crash","2022-08-22T15:59:00.000","Yes","Maryland (State)","3.59","North","East","2",,"6","North","0","FEET","LEVEL","No","MONTGOMERY VILLAGE AVE","Maryland (State)","FREDERICK RD",,"N/A",,"DRIVER","SAME DIRECTION RIGHT TURN","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","N/A",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","FOUR-WAY INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.1525223","-77.2121675","
,  
(39.1525223, -77.2121675)"
"MCP3193003M","220036258","Montgomery County Police","Property Damage Crash","2022-08-22T15:44:00.000","No","County","0","West","North","1",,"3","West","0","FEET","LEVEL","No","WEISMAN RD","Maryland (State)","GEORGIA AVE",,"N/A",,"DRIVER","STRAIGHT MOVEMENT ANGLE","N/A","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"OTHER VEHICLE","OTHER VEHICLE","N/A","INTERSECTION RELATED","FOUR-WAY INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET","39.05258867","-77.07649017","
,  
(39.05258867, -77.07649017)"
"MCP3129004W","220035847","Montgomery County Police","Property Damage Crash","2022-08-22T15:35:00.000","No","Maryland (State)","8.48","North","North","1",,"3","North","100","FEET","LEVEL","No","NEW HAMPSHIRE AVE","Ramp","RAMP 2 FR RP 7 (FR MD200 WB) TO MD650 NB",,"N/A",,"DRIVER","SAME DIRECTION LEFT TURN","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"OTHER VEHICLE","FIXED OBJECT","CURB","N/A","N/A","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.14908333","-77.05565167","
,  
(39.14908333, -77.05565167)"
"MCP3059008J","220036310","Montgomery County Police","Property Damage Crash","2022-08-22T14:50:00.000","Yes",,,,,"0",,"0",,,,,"Yes",,,,"P/LOT 20906 FREDERICK RD",,,"DRIVER","OTHER","CLEAR",,"DAYLIGHT","NO CONTROLS","UNKNOWN",,"PARKED VEHICLE","N/A","N/A",,,,,,,"39.20920514","-77.25588658","
,  
(39.20920514, -77.25588658)"
"MCP3123004F","220036249","Montgomery County Police","Injury Crash","2022-08-22T14:50:00.000","No","Municipality","6.4","North","North","2",,"2","North","0","FEET","LEVEL","No","SEVEN LOCKS RD","Municipality","TWINS OAKS DR",,"ROCKVILLE",,"DRIVER","STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","STOP SIGN","N/A",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","T-INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","39.06477","-77.160932","
,  
(39.06477, -77.160932)"
"MCP1563007V","220036248","Montgomery County Police","Injury Crash","2022-08-22T14:43:00.000","No","Maryland (State)","3.12","East","West","1",,"2","East","50","FEET","GRADE DOWNHILL","No","EAST WEST HWY","Other Public Roadway","ROSEMARY HILLS RD",,"N/A",,"DRIVER","SAME DIRECTION LEFT TURN","N/A","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","NON INTERSECTION","N/A","THRU ROADWAY","STRAIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","38.9888316","-77.0279055","
,  
(38.9888316, -77.0279055)"
"DD5655000M","220036240","Rockville Police Departme","Property Damage Crash","2022-08-22T13:45:00.000","Yes","Maryland (State)","10","North","South","1",,"3","North","0","FEET","LEVEL","No","HUNGERFORD DR","Municipality","N WASHINGTON ST",,"ROCKVILLE",,"DRIVER","OTHER","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED, UNKNOWN",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","FOUR-WAY INTERSECTION","INTERSECTION","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.09146118","-77.15301514","
,  
(39.09146118, -77.15301514)"
"MCP3254002B","220036226","Montgomery County Police","Property Damage Crash","2022-08-22T12:40:00.000","No","Maryland (State)","7.19","North","South","1",,"2","North","0","FEET","LEVEL","No","GREAT SENECA HWY","County","WISTERIA DR",,"N/A",,"DRIVER","STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","FOUR-WAY INTERSECTION","INTERSECTION","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.17094","-77.26286","
,  
(39.17094, -77.26286)"
"MCP3272001K","220036218","Montgomery County Police","Injury Crash","2022-08-22T12:20:00.000","No","US (State)","2.74","North","North","1",,"3","North","0","FEET","LEVEL","No","COLESVILLE RD","Unknown","MD 193 (NBL)",,"N/A",,"DRIVER","SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION RELATED","FOUR-WAY INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.02065","-77.01191","
,  
(39.02065, -77.01191)"
"MCP1563007T","220036213","Montgomery County Police","Property Damage Crash","2022-08-22T11:23:00.000","No","Maryland (State)","0.68","North","South","3",,"3","North","60","FEET","LEVEL","No","CONNECTICUT AVE","Municipality","ROSEMARY ST #2",,"CHEVY CHASE #4",,"DRIVER","SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","NON INTERSECTION","N/A","INTERSECTION RELATED","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","38.9841871","-77.0771067","
,  
(38.9841871, -77.0771067)"
"MCP25520053","220036185","Montgomery County Police","Property Damage Crash","2022-08-22T09:06:00.000","No","County","3.75","North","South","3",,"3","North","10","FEET","LEVEL","No","SHADY GROVE RD","County","MT PLEASANT AVE",,"N/A",,"DRIVER","SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","N/A",,"OTHER VEHICLE","N/A","N/A","NON INTERSECTION","N/A","INTERSECTION RELATED","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.09806667","-77.13603167","
,  
(39.09806667, -77.13603167)"
"MCP2464002L","220036162","Montgomery County Police","Injury Crash","2022-08-22T03:05:00.000","No","Maryland (State)","6.02","East","East","1",,"3","East","20","FEET","LEVEL","No","UNIVERSITY BLVD E","County","LANGLEY DR",,"N/A",,"DRIVER","HEAD ON","N/A","WET","DARK LIGHTS ON","NO CONTROLS","NONE DETECTED, UNKNOWN",,"OTHER VEHICLE","N/A","CONCRETE TRAFFIC BARRIER","NON INTERSECTION","N/A","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.0155044","-77.0052972","
,  
(39.0155044, -77.0052972)"
"MCP9322001K","220036159","Montgomery County Police","Injury Crash","2022-08-21T23:15:00.000","No","Maryland (State)","12.79","North","North","1",,"1","North","200","FEET","LEVEL","No","GEORGIA AVE","County","OWENS RD",,"N/A",,"DRIVER","SINGLE VEHICLE","CLOUDY","DRY","DARK LIGHTS ON","NO CONTROLS","NONE DETECTED",,"FIXED OBJECT","N/A","OTHER","NON INTERSECTION","N/A","N/A","STRAIGHT","N/A","TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET","39.16883415","-77.05976512","
,  
(39.16883415, -77.05976512)"
"MCP1094001G","220035925","Montgomery County Police","Injury Crash","2022-08-21T21:46:00.000","No","County","0.65","North","East","0","CROSSOVER AREA","1","North","0","FEET","HILL CREST","No","GOSHEN RD","County","EMORY GROVE RD",,"N/A",,"DRIVER","HEAD ON LEFT TURN","CLEAR","DRY","DARK LIGHTS ON","TRAFFIC SIGNAL","N/A",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","FOUR-WAY INTERSECTION","INTERSECTION","STRAIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","39.16893483","-77.2105396","
,  
(39.16893483, -77.2105396)"
"MCP3257005G","220036150","Montgomery County Police","Property Damage Crash","2022-08-21T21:35:00.000","No",,"0",,"West","2",,"2","East","200","FEET","LEVEL","No","JOSIAH HENSON PKWY",,"MONTROSE RD",,"N/A",,"UNKNOWN","SINGLE VEHICLE","RAINING","WET","DARK LIGHTS ON","NO CONTROLS","NONE DETECTED",,"FIXED OBJECT","OTHER OBJECT","CURB","NON INTERSECTION","N/A",,"STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.051257","-77.132634","
,  
(39.051257, -77.132634)"
"MCP2339007G","220036147","Montgomery County Police","Property Damage Crash","2022-08-21T21:35:00.000","Yes","Maryland (State)","1.48","East","East","2",,"2","East","0","FEET","LEVEL","No","VEIRS MILL RD","County","TWINBROOK PKWY",,"N/A",,"DRIVER","SAME DIRECTION RIGHT TURN","RAINING","WET","DARK LIGHTS ON","TRAFFIC SIGNAL","N/A",,"OTHER VEHICLE","N/A","N/A","N/A","FOUR-WAY INTERSECTION","INTERSECTION","STRAIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","39.07241","-77.110018","
,  
(39.07241, -77.110018)"
"MCP2556004C","220036138","Montgomery County Police","Property Damage Crash","2022-08-21T19:01:00.000","Yes",,,,,"0",,"0",,,,,"Yes",,,,"PARKING LOT OF 8138 PEPPERWOOD LANE, GAITHERSBURG MARYLAND",,,"DRIVER","OTHER","RAINING",,"DUSK","N/A","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A",,,,,,,"39.1448424","-77.167667","
,  
(39.1448424, -77.167667)"
"MCP3245003K","220036134","Montgomery County Police","Property Damage Crash","2022-08-21T18:53:00.000","No","County","0.11","North","South","1",,"2","North","0","FEET","LEVEL","No","MONTGOMERY VILLAGE AVE","County","WALKERS CHOICE RD",,"N/A",,"DRIVER","OTHER","RAINING","WET","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","FOUR-WAY INTERSECTION",,"STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.16065161","-77.20317751","
,  
(39.16065161, -77.20317751)"
"MCP2159000Q","220036124","Montgomery County Police","Property Damage Crash","2022-08-21T17:58:00.000","No","County","0.64","North","North","0","SHOULDER AREA","1","North","0.5","MILE","HILL CREST","No","CLARKSBURG RD","Other Public Roadway","SNOWDEN FARM PKWY",,"N/A",,"DRIVER","SINGLE VEHICLE","CLOUDY","WET","DAYLIGHT","N/A","ALCOHOL PRESENT",,"FIXED OBJECT","N/A","OTHER POLE","NON INTERSECTION","N/A","N/A","CURVE LEFT","NO DEFECTS","TWO-WAY, NOT DIVIDED","39.25611815","-77.27532983","
,  
(39.25611815, -77.27532983)"
