"license_number","city","zip","date_filed","date_closed","type_of_case","type_of_complaint","case_disposition","geolocation"
"42901","GERMANTOWN","20874","2022-01-26T00:00:00.000","2022-04-28T00:00:00.000","OLTA-TMF","Rent Payment History","Refund/Rent Credit","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"42900","ROCKVILLE","20851","2022-01-25T00:00:00.000","2022-02-01T00:00:00.000","OLTA-TMF","Lease Agreement Tenant Rights","Referred to a Montgomery County Agency","
ROCKVILLE,  20851
(39.07701, -77.123831)"
"42898","SILVER SPRING","20902","2022-01-25T00:00:00.000","2022-02-19T00:00:00.000","OLTA-TMF","Lease Agreement","Acceptable explanation","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"42899","SILVER SPRING","20905","2022-01-25T00:00:00.000","2022-05-06T00:00:00.000","OLTA-TSF","Retaliatory Eviction","Service performed or corrected","
SILVER SPRING,  20905
(39.10859, -76.99368)"
"42892","BETHESDA","20814","2022-01-24T00:00:00.000","2022-02-08T00:00:00.000","OLTA-TMF","Lease Agreement Tenant Rights","Acceptable explanation","
BETHESDA,  20814
(39.003061, -77.102949)"
"42894","SILVER SPRING","20906","2022-01-24T00:00:00.000","2022-02-01T00:00:00.000","OLTA-TMF","Quit and Vacate","Referred to a MD State Government agency","
SILVER SPRING,  20906
(39.083452, -77.060664)"
"42891","GAITHERSBURG","20878","2022-01-24T00:00:00.000","2022-01-29T00:00:00.000","OLTA-LSF","Quit and Vacate","No jurisdiction","
GAITHERSBURG,  20878
(39.114215, -77.239673)"
"42887","CHEVY CHASE","20815","2022-01-24T00:00:00.000","2022-03-14T00:00:00.000","OLTA-TSF","Security Deposit","Acceptable explanation","
CHEVY CHASE,  20815
(38.982537, -77.079131)"
"42895","SILVER SPRING","20906","2022-01-24T00:00:00.000","2022-03-24T00:00:00.000","OLTA-TMF","Harassment","Complaint noted for the record","
SILVER SPRING,  20906
(39.083452, -77.060664)"
"42893","GERMANTOWN","20874","2022-01-24T00:00:00.000","2022-04-27T00:00:00.000","OLTA-TMF","Rent Payment History","Refund/Rent Credit","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"42890","SILVER SPRING","20906","2022-01-24T00:00:00.000","2022-03-25T00:00:00.000","OLTA-TMF","Security Deposit","Settlement Agreement","
SILVER SPRING,  20906
(39.083452, -77.060664)"
"42884","SILVER SPRING","20910","2022-01-19T00:00:00.000","2022-01-25T00:00:00.000","OLTA-TMF","Money Damages - Spoiled Food","Refund/Rent Credit","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"42881","BETHESDA","20814","2022-01-18T00:00:00.000","2022-02-08T00:00:00.000","OLTA-TMF","Lease Agreement Tenant Rights","Complaint noted for the record","
BETHESDA,  20814
(39.003061, -77.102949)"
"42880","SILVER SPRING","20901","2022-01-18T00:00:00.000","2022-01-21T00:00:00.000","OLTA-TMF","Security Deposit","Acceptable explanation","
SILVER SPRING,  20901
(39.020211, -77.009764)"
"42882","SILVER SPRING","20902","2022-01-18T00:00:00.000","2022-02-01T00:00:00.000","OLTA-TMF","Lease Agreement Tenant Rights","Duplicate Case","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"42870","ROCKVILLE","20852","2022-01-13T00:00:00.000","2022-02-11T00:00:00.000","OLTA-TMF","Rent Increase","Service performed or corrected","
ROCKVILLE,  20852
(39.050009, -77.125351)"
"42879","SILVER SPRING","20910","2022-01-13T00:00:00.000","2022-04-27T00:00:00.000","OLTA-TMF","Fee","Refund/Rent Credit","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"42874","GAITHERSBURG","20877","2022-01-13T00:00:00.000","2022-01-13T00:00:00.000","OLTA-TMF","Maintenance- General","Non-jurisdiction-Geographic Location","
GAITHERSBURG,  20877
(39.140752, -77.187359)"
"42877","MIDLOTHIAN","23114","2022-01-13T00:00:00.000","2022-01-18T00:00:00.000","OLTA-TMF","Rent Increase","No jurisdiction","
MIDLOTHIAN,  23114
(37.483136, -77.650384)"
"42875","POTOMAC","20854","2022-01-13T00:00:00.000","2022-04-26T00:00:00.000","OLTA-TSF","Fee","Complaint noted for the record","
POTOMAC,  20854
(39.038266, -77.203413)"
"42878","GAITHERSBURG","20879","2022-01-13T00:00:00.000","2022-01-18T00:00:00.000","OLTA-TSF","Quit and Vacate","Complaint withdrawn","
GAITHERSBURG,  20879
(39.169098, -77.182742)"
"42873","SILVER SPRING","20906","2022-01-13T00:00:00.000","2022-03-30T00:00:00.000","OLTA-TMF","Fee","Refund/Rent Credit","
SILVER SPRING,  20906
(39.083452, -77.060664)"
"42871","SILVER SPRING","20906","2022-01-13T00:00:00.000","2022-01-14T00:00:00.000","OLTA-TMF","Fee","Duplicate Case","
SILVER SPRING,  20906
(39.083452, -77.060664)"
"42869","SILVER SPRING","20910","2022-01-12T00:00:00.000","2022-04-13T00:00:00.000","OLTA-TMF","Other-Miscellaneous","Acceptable explanation","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"42867","BETHESDA","20816","2022-01-12T00:00:00.000","2022-02-08T00:00:00.000","OLTA-TMF","Rent Increase","Complaint noted for the record","
BETHESDA,  20816
(38.958638, -77.115455)"
"42864","SILVER SPRING","20902","2022-01-11T00:00:00.000","2022-01-25T00:00:00.000","OLTA-TSF","Lease Agreement Tenant Rights","Citation Issued","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"42865","SILVER SPRING","20910","2022-01-11T00:00:00.000","2022-08-08T00:00:00.000","OLTA-TMF","Fee","Other- no communication from tenant","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"42860","GERMANTOWN","20876","2022-01-10T00:00:00.000","2022-01-29T00:00:00.000","OLTA-TMF","Lease Agreement","No jurisdiction","
GERMANTOWN,  20876
(39.198155, -77.240725)"
"42862","BETHESDA","20814","2022-01-10T00:00:00.000","2022-01-20T00:00:00.000","OLTA-TSF","Lease Agreement-Early Termination","No jurisdiction","
BETHESDA,  20814
(39.003061, -77.102949)"
"42861","SILVER SPRING","20904","2022-01-10T00:00:00.000","2022-02-22T00:00:00.000","OLTA-TMF","Lease Agreement Tenant Rights","Refund/Rent Credit","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"42857","ROCKVILLE","20852","2022-01-06T00:00:00.000","2022-01-14T00:00:00.000","OLTA-TMF","Rent Payment History","Complaint withdrawn","
ROCKVILLE,  20852
(39.050009, -77.125351)"
"42858","ROCKVILLE","20852","2022-01-06T00:00:00.000","2022-01-11T00:00:00.000","OLTA-TSF","Security Deposit","Complaint withdrawn","
ROCKVILLE,  20852
(39.050009, -77.125351)"
"42855","GAITHERSBURG","20879","2022-01-04T00:00:00.000","2022-01-21T00:00:00.000","OLTA-LSF","Rent Payment History","Referred to a MD State Government agency","
GAITHERSBURG,  20879
(39.169098, -77.182742)"
"42850","MONTGOMERY VILLAGE","20886","2021-12-29T00:00:00.000","2022-01-10T00:00:00.000","OLTA-TMF","Maintenance - Mold/Mildew","Referred to a Montgomery County Agency","
MONTGOMERY VILLAGE,  20886
(39.179257, -77.193738)"
"42852","DAMASCUS","20872","2021-12-29T00:00:00.000","2022-07-25T00:00:00.000","OLTA-TSF","Security Deposit","Complaint withdrawn","
DAMASCUS,  20872
(39.282424, -77.213985)"
"42847","SILVER SPRING","20910","2021-12-28T00:00:00.000","2022-01-26T00:00:00.000","OLTA-TMF","Maintenance - Mold/Mildew","Service performed or corrected","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"42848","GERMANTOWN","20874","2021-12-28T00:00:00.000","2022-01-07T00:00:00.000","OLTA-LSF","Rent Payment History","Referred to a Montgomery County Agency","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"42843","SILVER SPRING","20905","2021-12-27T00:00:00.000","2022-01-04T00:00:00.000","OLTA-TSF","Rent Increase","Service performed or corrected","
SILVER SPRING,  20905
(39.10859, -76.99368)"
"42844","SILVER SPRING","20902","2021-12-27T00:00:00.000","2022-01-25T00:00:00.000","OLTA-TMF","Lease Agreement Tenant Rights","No jurisdiction","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"42838","SILVER SPRING","20906","2021-12-23T00:00:00.000","2021-12-27T00:00:00.000","OLTA-TMF","Maintenance - Infestation","Refer to Code Enforcement","
SILVER SPRING,  20906
(39.083452, -77.060664)"
"42840","GAITHERSBURG","20879","2021-12-23T00:00:00.000","2021-12-28T00:00:00.000","OLTA-TMF","Maintenance- General","Referred to a Montgomery County Agency","
GAITHERSBURG,  20879
(39.169098, -77.182742)"
"42841","GAITHERSBURG","20877","2021-12-23T00:00:00.000","2022-01-25T00:00:00.000","OLTA-TMF","Quit and Vacate","Acceptable explanation","
GAITHERSBURG,  20877
(39.140752, -77.187359)"
"42839","SILVER SPRING","20910","2021-12-23T00:00:00.000","2022-01-27T00:00:00.000","OLTA-TMF","Lease Agreement Tenant Rights","Complaint noted for the record","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"42837","GERMANTOWN","20876","2021-12-23T00:00:00.000","2022-02-16T00:00:00.000","OLTA-TMF","Money Damages - Spoiled Food","Acceptable explanation","
GERMANTOWN,  20876
(39.198155, -77.240725)"
"42836","MONTGOMERY VILLAGE","20886","2021-12-23T00:00:00.000","2022-01-20T00:00:00.000","OLTA-LMF","Lease Agreement","Service performed or corrected","
MONTGOMERY VILLAGE,  20886
(39.179257, -77.193738)"
"42833","SILVER SPRING","20910","2021-12-21T00:00:00.000","2022-02-09T00:00:00.000","OLTA-TMF","Lease Agreement Tenant Rights","Referred to a MD State Government agency","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"42832","CLARKSBURG","20871","2021-12-21T00:00:00.000","2022-01-27T00:00:00.000","OLTA-TSF","Security Deposit","Refund (payments/deposits)","
CLARKSBURG,  20871
(39.250697, -77.27543)"
"42834","SILVER SPRING","20902","2021-12-21T00:00:00.000","2022-02-03T00:00:00.000","OLTA-TMF","Lease Agreement Tenant Rights","Acceptable explanation","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"42829","GAITHERSBURG","20879","2021-12-20T00:00:00.000","2022-02-07T00:00:00.000","OLTA-TMF","Parking","Refund/Rent Credit","
GAITHERSBURG,  20879
(39.169098, -77.182742)"
"42828","GERMANTOWN","20874","2021-12-20T00:00:00.000","2022-01-25T00:00:00.000","OLTA-TMF","Fee","Acceptable explanation","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"42822","OLNEY","20832","2021-12-17T00:00:00.000","2022-06-07T00:00:00.000","OLTA-TSF","Security Deposit","Referred to Landlord-Tenant Commission","
OLNEY,  20832
(39.152328, -77.073205)"
"42827","GERMANTOWN","20876","2021-12-17T00:00:00.000","2021-12-30T00:00:00.000","OLTA-TMF","Quit and Vacate","No jurisdiction","
GERMANTOWN,  20876
(39.198155, -77.240725)"
"42820","MONTGOMERY VILLAGE","20886","2021-12-17T00:00:00.000","2022-03-09T00:00:00.000","OLTA-TSF","Retaliatory Eviction","Settlement Agreement","
MONTGOMERY VILLAGE,  20886
(39.179257, -77.193738)"
"42823","BURTONSVILLE","20866","2021-12-17T00:00:00.000","2022-01-20T00:00:00.000","OLTA-TMF","Parking","Goods delivered or replaced","
BURTONSVILLE,  20866
(39.103016, -76.935049)"
"42821","GAITHERSBURG","20877","2021-12-17T00:00:00.000","2022-03-09T00:00:00.000","OLTA-TMF","Security Deposit","Refund (payments/deposits)","
GAITHERSBURG,  20877
(39.140752, -77.187359)"
"42826","SILVER SPRING","20910","2021-12-17T00:00:00.000","2022-01-14T00:00:00.000","OLTA-TSF","Harassment","Legal Action Filed","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"42825","GERMANTOWN","20874","2021-12-17T00:00:00.000","2022-02-18T00:00:00.000","OLTA-TSF","Security Deposit","Acceptable explanation","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"42819","CLARKSBURG","20871","2021-12-16T00:00:00.000","2022-01-06T00:00:00.000","OLTA-TMF","Rent Payment History","Acceptable explanation","
CLARKSBURG,  20871
(39.250697, -77.27543)"
"42818","MONTGOMERY VILLAGE","20886","2021-12-16T00:00:00.000","2021-12-21T00:00:00.000","OLTA-LSF","Security Deposit","Referred to a MD State Government agency","
MONTGOMERY VILLAGE,  20886
(39.179257, -77.193738)"
"41820","SILVER SPRING","20901","2021-12-15T00:00:00.000","2022-01-25T00:00:00.000","OLTA-LSF","Security Deposit","Settlement Agreement","
SILVER SPRING,  20901
(39.020211, -77.009764)"
"41818","BURTONSVILLE","20866","2021-12-15T00:00:00.000","2022-01-27T00:00:00.000","OLTA-TSF","Quit and Vacate","No jurisdiction","
BURTONSVILLE,  20866
(39.103016, -76.935049)"
"41812","SILVER SPRING","20904","2021-12-09T00:00:00.000","2022-02-10T00:00:00.000","OLTA-TMF","Lease Agreement Tenant Rights","Lease provision honored","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"41813","GERMANTOWN","20874","2021-12-09T00:00:00.000","2022-02-09T00:00:00.000","OLTA-TMF","Security Deposit","Complaint withdrawn","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"41808","SILVER SPRING","20904","2021-12-08T00:00:00.000","2022-01-03T00:00:00.000","OLTA-TMF","Rent Increase","Refund/Rent Credit","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"41806","ROCKVILLE","20850","2021-12-08T00:00:00.000","2021-12-14T00:00:00.000","OLTA-TMF","Security Deposit","Non-jurisdiction-Geographic Location","
ROCKVILLE,  20850
(39.092462, -77.178614)"
"41805","SILVER SPRING","20910","2021-12-08T00:00:00.000","2022-01-03T00:00:00.000","OLTA-TMF","Rent Payment History","Acceptable explanation","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"41809","SILVER SPRING","20901","2021-12-08T00:00:00.000","2021-12-15T00:00:00.000","OLTA-TMF","Quit and Vacate","Acceptable explanation","
SILVER SPRING,  20901
(39.020211, -77.009764)"
"41811","ROCKVILLE","20855","2021-12-08T00:00:00.000","2022-03-10T00:00:00.000","OLTA-TSF","Fee","Settlement Agreement","
ROCKVILLE,  20855
(39.134606, -77.141459)"
"41802","GERMANTOWN","20876","2021-12-07T00:00:00.000","2022-01-26T00:00:00.000","OLTA-TMF","Security Deposit","Acceptable explanation","
GERMANTOWN,  20876
(39.198155, -77.240725)"
"41801","ROCKVILLE","20852","2021-12-07T00:00:00.000","2022-01-25T00:00:00.000","OLTA-TMF","Security Deposit","Acceptable explanation","
ROCKVILLE,  20852
(39.050009, -77.125351)"
"41803","GERMANTOWN","20874","2021-12-07T00:00:00.000","2022-02-23T00:00:00.000","OLTA-TMF","Security Deposit","Referred to Landlord-Tenant Commission","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"41800","GAITHERSBURG","20878","2021-12-06T00:00:00.000","2021-12-06T00:00:00.000","OLTA-TMF","Maintenance - Heat","No jurisdiction","
GAITHERSBURG,  20878
(39.114215, -77.239673)"
"41798","ROCKVILLE","20851","2021-12-03T00:00:00.000","2022-03-25T00:00:00.000","OLTA-TMF","Harassment","Complaint noted for the record","
ROCKVILLE,  20851
(39.07701, -77.123831)"
"41796","SILVER SPRING","20910","2021-12-03T00:00:00.000","2021-12-15T00:00:00.000","OLTA-TMF","Lease Agreement-Early Termination","Refund (payments/deposits)","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"41797","ROCKVILLE","20850","2021-12-03T00:00:00.000","2021-12-04T00:00:00.000","OLTA-TMF","Fee","No jurisdiction","
ROCKVILLE,  20850
(39.092462, -77.178614)"
"41792","ROCKVILLE","20852","2021-12-02T00:00:00.000","2021-12-14T00:00:00.000","OLTA-TMF","Rent Payment History","Acceptable explanation","
ROCKVILLE,  20852
(39.050009, -77.125351)"
"41791","SILVER SPRING","20910","2021-12-02T00:00:00.000","2022-07-05T00:00:00.000","OLTA-TMF","Security Deposit","Acceptable explanation","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"41785","ROCKVILLE","20853","2021-12-01T00:00:00.000","2021-12-03T00:00:00.000","OLTA-TSF","Retaliatory Eviction","Referred to a MD State Government agency","
ROCKVILLE,  20853
(39.096485, -77.092945)"
"41786","GERMANTOWN","20874","2021-12-01T00:00:00.000","2022-03-14T00:00:00.000","OLTA-TMF","Fee","Service performed or corrected","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"41790","ROCKVILLE","20852","2021-12-01T00:00:00.000","2022-01-05T00:00:00.000","OLTA-TMF","Application Deposit","Refund (payments/deposits)","
ROCKVILLE,  20852
(39.050009, -77.125351)"
"41789","SILVER SPRING","20904","2021-12-01T00:00:00.000","2022-05-10T00:00:00.000","OLTA-TMF","Security Deposit","Settlement Agreement","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"41788","GERMANTOWN","20874","2021-12-01T00:00:00.000","2022-01-13T00:00:00.000","OLTA-LSF","Fee","Referred to a MD State Government agency","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"41783","BURTONSVILLE","20866","2021-11-29T00:00:00.000","2021-12-01T00:00:00.000","OLTA-TSF","Eviction","Acceptable explanation","
BURTONSVILLE,  20866
(39.103016, -76.935049)"
"41784","ROCKVILLE","20850","2021-11-29T00:00:00.000","2021-11-29T00:00:00.000","OLTA-TMF","Maintenance - Appliance","Non-jurisdiction-Geographic Location","
ROCKVILLE,  20850
(39.092462, -77.178614)"
"41782","SILVER SPRING","20901","2021-11-29T00:00:00.000","2022-01-25T00:00:00.000","OLTA-TSF","Security Deposit","Settlement Agreement","
SILVER SPRING,  20901
(39.020211, -77.009764)"
"41781","SILVER SPRING","20904","2021-11-24T00:00:00.000","2022-06-07T00:00:00.000","OLTA-TMF","Maintenance - Appliance","Referred to Landlord-Tenant Commission","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"41780","SILVER SPRING","20910","2021-11-24T00:00:00.000","2021-11-24T00:00:00.000","OLTA-TMF","Rent Payment History","Complaint noted for the record","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"41777","SILVER SPRING","20904","2021-11-23T00:00:00.000","2021-11-29T00:00:00.000","OLTA-TMF","Maintenance- General","Referred to a Montgomery County Agency","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"41776","CHEVY CHASE","20815","2021-11-23T00:00:00.000","2021-12-09T00:00:00.000","OLTA-TMF","Maintenance - Mold/Mildew","Service performed or corrected","
CHEVY CHASE,  20815
(38.982537, -77.079131)"
"41778","SILVER SPRING","20904","2021-11-23T00:00:00.000","2021-11-30T00:00:00.000","OLTA-TMF","Maintenance - Appliance","Service performed or corrected","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"41779","SILVER SPRING","20904","2021-11-23T00:00:00.000","2021-12-24T00:00:00.000","OLTA-TMF","Fee","Refund/Rent Credit","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"41774","ROCKVILLE","20855","2021-11-22T00:00:00.000","2021-12-08T00:00:00.000","OLTA-TMF","Other-Miscellaneous","Complaint noted for the record","
ROCKVILLE,  20855
(39.134606, -77.141459)"
"41775","GAITHERSBURG","20878","2021-11-22T00:00:00.000","2021-11-22T00:00:00.000","OLTA-TMF","Lease Agreement Tenant Rights","Non-jurisdiction-Geographic Location","
GAITHERSBURG,  20878
(39.114215, -77.239673)"
"41771","GERMANTOWN","20874","2021-11-22T00:00:00.000","2021-11-29T00:00:00.000","OLTA-TMF","Maintenance - Infestation","Service performed or corrected","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"41773","GERMANTOWN","20874","2021-11-22T00:00:00.000","2021-11-23T00:00:00.000","OLTA-TMF","Lease Agreement Tenant Rights","Acceptable explanation","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"41770","SILVER SPRING","20906","2021-11-22T00:00:00.000","2021-11-29T00:00:00.000","OLTA-TMF","Lease Agreement-Early Termination","Service performed or corrected","
SILVER SPRING,  20906
(39.083452, -77.060664)"
"41772","GERMANTOWN","20876","2021-11-22T00:00:00.000","2022-06-13T00:00:00.000","OLTA-TSF","Rent Payment History","Other- no communication from tenant","
GERMANTOWN,  20876
(39.198155, -77.240725)"
"41767","SILVER SPRING","20910","2021-11-19T00:00:00.000","2021-11-22T00:00:00.000","OLTA-LMF","Maintenance- General","Acceptable explanation","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"41765","SILVER SPRING","20904","2021-11-18T00:00:00.000","2021-12-07T00:00:00.000","OLTA-TMF","Lease Agreement Tenant Rights","Complaint noted for the record","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"41761","SILVER SPRING","20902","2021-11-17T00:00:00.000","2021-11-30T00:00:00.000","OLTA-TMF","Harassment","Referred to a Montgomery County Agency","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"41763","SILVER SPRING","20910","2021-11-17T00:00:00.000","2021-11-23T00:00:00.000","OLTA-TMF","Noise","Complaint withdrawn","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"41759","GAITHERSBURG","20878","2021-11-16T00:00:00.000","2022-02-08T00:00:00.000","OLTA-TSF","Security Deposit","Other- no communication from tenant","
GAITHERSBURG,  20878
(39.114215, -77.239673)"
"41756","SILVER SPRING","20906","2021-11-16T00:00:00.000","2021-11-23T00:00:00.000","OLTA-LSF","Rent Payment History","No jurisdiction","
SILVER SPRING,  20906
(39.083452, -77.060664)"
"41758","BETHESDA","20817","2021-11-16T00:00:00.000","2022-04-18T00:00:00.000","OLTA-TMF","Quit and Vacate","Complaint noted for the record","
BETHESDA,  20817
(38.998099, -77.143306)"
"41754","SILVER SPRING","20910","2021-11-16T00:00:00.000","2021-11-30T00:00:00.000","OLTA-TMF","Late Fee","Service performed or corrected","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"41760","SILVER SPRING","20902","2021-11-16T00:00:00.000","2021-12-08T00:00:00.000","OLTA-TMF","Eviction","Acceptable explanation","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"41751","SILVER SPRING","20906","2021-11-15T00:00:00.000","2022-04-13T00:00:00.000","OLTA-TMF","Other-Miscellaneous","Acceptable explanation","
SILVER SPRING,  20906
(39.083452, -77.060664)"
"41753","ROCKVILLE","20852","2021-11-15T00:00:00.000","2022-01-10T00:00:00.000","OLTA-TMF","Security Deposit","Settlement Agreement","
ROCKVILLE,  20852
(39.050009, -77.125351)"
"41747","BETHESDA","20817","2021-11-15T00:00:00.000","2022-03-15T00:00:00.000","OLTA-TSF","Security Deposit","Settlement Agreement","
BETHESDA,  20817
(38.998099, -77.143306)"
"41752","BURTONSVILLE","20866","2021-11-15T00:00:00.000","2021-12-17T00:00:00.000","OLTA-TMF","Lease Agreement Tenant Rights","Acceptable explanation","
BURTONSVILLE,  20866
(39.103016, -76.935049)"
"41750","SILVER SPRING","20904","2021-11-15T00:00:00.000","2021-11-19T00:00:00.000","OLTA-TMF","Maintenance - Infestation","Refer to Code Enforcement","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"41749","GAITHERSBURG","20877","2021-11-15T00:00:00.000","2021-11-15T00:00:00.000","OLTA-TMF","Fee","Non-jurisdiction-Geographic Location","
GAITHERSBURG,  20877
(39.140752, -77.187359)"
"41746","SILVER SPRING","20904","2021-11-15T00:00:00.000","2022-03-29T00:00:00.000","OLTA-TMF","Lease Agreement Tenant Rights","Acceptable explanation","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"41748","BETHESDA","20814","2021-11-15T00:00:00.000","2021-11-15T00:00:00.000","OLTA-TMF","Application Deposit","Complaint noted for the record","
BETHESDA,  20814
(39.003061, -77.102949)"
"41745","SILVER SPRING","20902","2021-11-10T00:00:00.000","2021-11-17T00:00:00.000","OLTA-TMF","Harassment","Acceptable explanation","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"41740","GERMANTOWN","20874","2021-11-09T00:00:00.000","2022-06-15T00:00:00.000","OLTA-TMF","Maintenance - Air Conditioning","Acceptable explanation","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"41744","SILVER SPRING","20902","2021-11-09T00:00:00.000","2022-03-15T00:00:00.000","OLTA-TMF","Maintenance - Infestation","Refund/Rent Credit","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"41739","BETHESDA","20817","2021-11-05T00:00:00.000","2021-12-01T00:00:00.000","OLTA-TSF","Harassment","Complaint noted for the record","
BETHESDA,  20817
(38.998099, -77.143306)"
"41738","SILVER SPRING","20901","2021-11-05T00:00:00.000","2022-01-11T00:00:00.000","OLTA-TSF","Rent Increase","Acceptable explanation","
SILVER SPRING,  20901
(39.020211, -77.009764)"
"41736","SILVER SPRING","20901","2021-11-05T00:00:00.000","2021-12-07T00:00:00.000","OLTA-TMF","Maintenance- General","Acceptable explanation","
SILVER SPRING,  20901
(39.020211, -77.009764)"
"41737","SILVER SPRING","20910","2021-11-05T00:00:00.000","2021-11-10T00:00:00.000","OLTA-TMF","Lease Agreement-Early Termination","Acceptable explanation","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"41731","SILVER SPRING","20904","2021-11-04T00:00:00.000","2021-11-04T00:00:00.000","OLTA-TMF","Lease Agreement","Case mistakenly opened","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"41733","OLNEY","20832","2021-11-04T00:00:00.000","2021-11-16T00:00:00.000","OLTA-TMF","Quit and Vacate","Acceptable explanation","
OLNEY,  20832
(39.152328, -77.073205)"
"41728","GERMANTOWN","20874","2021-11-03T00:00:00.000","2022-02-09T00:00:00.000","OLTA-TMF","Security Deposit","Refund/Rent Credit","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"41724","SILVER SPRING","20904","2021-11-03T00:00:00.000","2021-11-10T00:00:00.000","OLTA-TMF","Quit and Vacate","Acceptable explanation","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"41729","TAKOMA PARK","20912","2021-11-03T00:00:00.000","2021-11-09T00:00:00.000","OLTA-TMF","Maintenance - Infestation","Non-jurisdiction-Geographic Location","
TAKOMA PARK,  20912
(38.982019, -77.000534)"
"41726","SILVER SPRING","20906","2021-11-03T00:00:00.000","2021-11-30T00:00:00.000","OLTA-TMF","Eviction","Non-jurisdiction-Room Rental","
SILVER SPRING,  20906
(39.083452, -77.060664)"
"41725","SILVER SPRING","20906","2021-11-03T00:00:00.000","2022-04-13T00:00:00.000","OLTA-TMF","Maintenance- General","Referred to a MD State Government agency","
SILVER SPRING,  20906
(39.083452, -77.060664)"
"41723","ROCKVILLE","20852","2021-11-02T00:00:00.000","2022-02-09T00:00:00.000","OLTA-TMF","Security Deposit","Refund (payments/deposits)","
ROCKVILLE,  20852
(39.050009, -77.125351)"
"41722","SILVER SPRING","20906","2021-11-02T00:00:00.000","2022-01-24T00:00:00.000","OLTA-TMF","Security Deposit","Complaint withdrawn","
SILVER SPRING,  20906
(39.083452, -77.060664)"
"41721","SILVER SPRING","20902","2021-11-02T00:00:00.000","2021-11-05T00:00:00.000","OLTA-LSF","Rent Increase","Referred to a MD State Government agency","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"41715","CLARKSBURG","20871","2021-10-29T00:00:00.000","2022-01-20T00:00:00.000","OLTA-TSF","Security Deposit","Other- no communication from tenant","
CLARKSBURG,  20871
(39.250697, -77.27543)"
"41719","CLARKSBURG","20871","2021-10-29T00:00:00.000","2021-12-29T00:00:00.000","OLTA-TMF","Maintenance - Appliance","Acceptable explanation","
CLARKSBURG,  20871
(39.250697, -77.27543)"
"41714","POTOMAC","20854","2021-10-29T00:00:00.000","2022-02-15T00:00:00.000","OLTA-TMF","Harassment","Other- no communication from tenant","
POTOMAC,  20854
(39.038266, -77.203413)"
"41717","TAKOMA PARK","20912","2021-10-29T00:00:00.000","2021-10-29T00:00:00.000","OLTA-TMF","Maintenance - Infestation","Non-jurisdiction-Geographic Location","
TAKOMA PARK,  20912
(38.982019, -77.000534)"
