Licensee Name,Street,City,State,Zip,Licensee Number,Channel Type,Account Name,Location,MoCo_boundary,Zip Codes,Communities,Councils,Municipalities
DOG HAUS BIERGARTEN-SS,933 ELLSWORTH DR.,SILVER SPRING,MD,20910,BBWLHR471301,On Premise,"DHSS, LLC","933 ELLSWORTH DR.
SILVER SPRING, MD 20910
(38.995506, -77.026918)",1,3065,7,5,1
HOOK & REEL CAJUN SEAFOOD & BAR,11160 VEIRS MILL RD.,WHEATON,MD,20902,BBWLHR648359,On Premise,"CAJUN SEAFOOD WHEATON, LLC","11160 VEIRS MILL RD.
WHEATON, MD 20902
(39.038338, -77.052936)",1,17,16,4,1
AKIRA RAMEN & IZAKAYA,"1800 ROCKVILLE PIKE, STE H1",ROCKVILLE,MD,20852,HBWHR749355,On Premise,"HS PANIDA, INC.","1800 ROCKVILLE PIKE, STE H1
ROCKVILLE, MD 20852
(39.059817, -77.12213)",1,60,25,1,12
KUMBIA RESTAURANT,100 B GIBBS ST.,ROCKVILLE,MD,20850,BBWLHR699358,On Premise,"KUMBIA ENTERTAINMENT GROUP, LLC","100 B GIBBS ST.
ROCKVILLE, MD 20850
(39.085101, -77.151945)",1,71,25,3,12
SKY LOUNGE MD,11272 GEORGIA AVE,SILVER SPRING,MD,20902,BBWLHR764,On Premise,"THE CUBANAKAN LOUNGE, INC.","11272 GEORGIA AVE
SILVER SPRING, MD 20902
(39.040442, -77.051504)",1,17,16,4,1
TRAVILAH BEER & WINE,10046 DARNESTOWN RD.,ROCKVILLE,MD,20850,DBW747355,On/Off-Premise,"NKGS, LLC","10046 DARNESTOWN RD.
ROCKVILLE, MD 20850
(39.096989, -77.206906)",1,71,25,3,1
COURTYARD BY MARRIOTT-CHEVY CHASE,5520 WISCONSIN AVE.,CHEVY CHASE,MD,20815,BBWLHM475300,On Premise,"5520 WISCONSIN HOTEL PROP, LP","5520 WISCONSIN AVE.
CHEVY CHASE, MD 20815
(38.964247, -77.087509)",1,110,5,1,3
CHEF LEES ELEMENT,521 QUINCE ORCHARD RD.,GAITHERSBURG,MD,20878,HBWHR653362,On Premise,"CHEF LI, LLC","521 QUINCE ORCHARD RD.
GAITHERSBURG, MD 20878
(39.144441, -77.220217)",1,33,36,3,21
BARBERRYS BAR & LOUNGE,2423 HICKERSON DR.,SILVER SPRING,MD,20902,BBWLHR629355,On Premise,"JOSVIC ENTERPRISES, LLC","2423 HICKERSON DR.
SILVER SPRING, MD 20902
(39.042349, -77.051069)",1,17,16,4,1
MAYA CUISINE RESTAURANT & BAR,7345-A WISCONSIN AVE.,BETHESDA,MD,20814,BBWHR490323,On/Off-Premise,"SHANGRILA MANAGEMENT, LLC","7345-A WISCONSIN AVE.
BETHESDA, MD 20814
(38.983065, -77.093514)",1,111,12,1,1
MARRIOTT BETHESDA DOWNTOWN,7707 WOODMONT AVE.,BETHESDA,MD,20814,BBWLHM635355,On Premise,"MARRIOTT HOTEL SERVICES, INC.","7707 WOODMONT AVE.
BETHESDA, MD 20814
(38.986368, -77.096604)",1,111,12,1,1
POUR VINO N HOPS,42 MARYLAND AVENUE,ROCKVILLE,MD,20850,DBW34227,On/Off-Premise,"DIA CORPORATION, INC.","42 MARYLAND AVENUE
ROCKVILLE, MD 20850
(39.084668, -77.15095)",1,71,25,3,12
DIAMOND SQUARE BEER & WINE,38 BUREAU DRIVE,GAITHERSBURG,MD,20878,ABW283,Off Premise,"J&J BEER AND WINE, INC.","38 BUREAU DRIVE
GAITHERSBURG, MD 20878
(39.143455, -77.21708)",1,33,36,3,21
PLAZA OAXACA,141 GIBBS ST.,ROCKVILLE,MD,20850,BBWLHR482315,On Premise,"PLAZA OAXACA, INC.","141 GIBBS ST.
ROCKVILLE, MD 20850
(39.086442, -77.15198)",1,71,25,3,12
SNIDERS SUPER FOODS,1936 SEMINARY RD.,SILVER SPRING,MD,20910,ABWS382274,Off Premise,"SNIDERS FAMILY GROCERY, INC.","1936 SEMINARY RD.
SILVER SPRING, MD 20910
(39.008733, -77.041644)",1,3065,7,5,1
CLARKSBURG TAVERN,23315 FREDERICK RD.,CLARKSBURG,MD,20871,BBWLHR641363,On Premise,"THE CLARKSBURG TAVEN, LLC","23315 FREDERICK RD.
CLARKSBURG, MD 20871
(39.238519, -77.279127)",1,44,50,2,1
ZINNIA,9201 COLESVILLE RD.,SILVER SPRING,MD,20910,BBWLHR533348,On Premise,"MILLS  GROUP, LLC","9201 COLESVILLE RD.
SILVER SPRING, MD 20910
(39.005729, -77.022438)",1,3065,7,5,1
GREENE GROWLERS,227 E. DIAMOND AVE,GAITHERSBURG,MD,20877,BDBWLHR30633,On/Off-Premise,GREENECORP,"227 E. DIAMOND AVE
GAITHERSBURG, MD 20877
(39.142171, -77.193587)",1,35,36,3,21
ADULIS STORE,7825 EASTERN AVENUE,SILVER SPRING,MD,20910,ABW597348,Off Premise,"ADULIS ENTERPRISES, LLC","7825 EASTERN AVENUE
SILVER SPRING, MD 20910
(38.98522, -77.027455)",,3065,,,
FAIRLAND ETHIOPIAN RESTAURANT,13310 OLD COLUMBIA PIKE,SILVER SPRING,MD,20904,ABW479300,On Premise,"7-FAIRLAND, INC.","13310 OLD COLUMBIA PIKE
SILVER SPRING, MD 20904
(39.07556, -76.958027)",1,12,53,5,1
STRATHMORE MUSIC CENTER & MANSION,5301 TUCKERMAN LANE,ROCKVILLE,MD,20852,SBWLCPA1069795,On Premise,"STRATHMORE HALL FOUNDATION, IN","5301 TUCKERMAN LANE
ROCKVILLE, MD 20852
(39.03093, -77.102574)",1,60,19,1,1
LEDO PIZZA-ROCKVILLE,1319-H ROCKVILLE PIKE,ROCKVILLE,MD,20852,HBWHR524355,On/Off-Premise,"RAMAJ, LLC","1319-H ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.068834, -77.130134)",1,60,25,3,12
THE GRILLED OYSTER COMPANY,200 MAIN ST.,GAITHERSBURG,MD,20878,BBWLHR732,On Premise,"OLLIE JACK, LLC","200 MAIN ST.
GAITHERSBURG, MD 20878
(39.123037, -77.238571)",1,33,36,3,21
EMPIRE CAFE & MARKET,22301 GEORGIA AVENUE,BROOKVILLE,MD,20833,ABWS26399,Off Premise,"NASSA MART, LLC","22301 GEORGIA AVENUE
BROOKVILLE, MD 20833
(39.221724, -77.059798)",1,99,43,4,1
LE PAIN QUOTIDIEN-WESTERN,5310 WESTERN AVE.,CHEVY CHASE,MD,20815,HBWHR485310,On Premise,"APQ CHEVY CHASE MD, LLC","5310 WESTERN AVE.
CHEVY CHASE, MD 20815
(38.95995, -77.086781)",,978,,,
SOUTH HOUSE GARDEN,317 E. DIAMOND AVE.,GAITHERSBURG,MD,20877,BBWLHR438274,On Premise,"SOUTH HOUSE GARDEN, LLC","317 E. DIAMOND AVE.
GAITHERSBURG, MD 20877
(39.142117, -77.19107)",1,35,36,3,21
CHOICE WINE & BEER,11160 VEIRS MILL RD.,WHEATON,MD,20902,ABWS566348,Off Premise,"PERFECT CHOICE WINE & BEER, LLC","11160 VEIRS MILL RD.
WHEATON, MD 20902
(39.038338, -77.052936)",1,17,16,4,1
VINE ALLEY,114 MARKET ST.,GAITHERSBURG,MD,20878,DBW489303,On/Off-Premise,"KENTLANDS WINE GROUP, INC.","114 MARKET ST.
GAITHERSBURG, MD 20878
(39.122699, -77.23493)",1,33,36,3,21
SPRING BEER & WINE,9330 GEORGIA AVENUE,SILVER SPRING,MD,20910,ABW145,Off Premise,SPRING BEER & WINE CORPORATION,"9330 GEORGIA AVENUE
SILVER SPRING, MD 20910
(39.008079, -77.040015)",1,3065,7,5,1
BOTTLEGONIA,10723 COLUMBIA PIKE,SILVER SPRING,MD,20901,ABWS402274,Off Premise,"BOTTLEGONIA, INC.","10723 COLUMBIA PIKE
SILVER SPRING, MD 20901
(39.031476, -77.004411)",1,21,18,5,1
"SEMINARY BEER, WINE & DELI",9458 GEORGIA AVE,SILVER SPRING,MD,20910,ABW1067695,Off Premise,"B.B.S.B.,INC.","9458 GEORGIA AVE
SILVER SPRING, MD 20910
(39.009905, -77.040691)",1,3065,7,5,1
CHINESE EXPRESS,849 RUSSELL AVE.,GAITHERSBURG,MD,20879,BBWLHR717357,On Premise,"W&Y FOOD, LLC","849 RUSSELL AVE.
GAITHERSBURG, MD 20879
(39.156464, -77.211673)",1,31,36,3,21
ZAO STAMINA RAMEN,7345 WISCONSIN AVE.,BETHESDA,MD,20814,BBWLHR485311,On Premise,"ZAO STAMINA RAMEN, LLC","7345 WISCONSIN AVE.
BETHESDA, MD 20814
(38.983065, -77.093514)",1,111,12,1,1
KENTLANDS GOURMET,414 MAIN ST,GAITHERSBURG,MD,20878,ABW201,Off Premise,"HUR & SONS ENTERPRISE, INC.","414 MAIN ST
GAITHERSBURG, MD 20878
(39.120977, -77.236484)",1,33,36,3,21
PASSION FIN ASIAN BISTRO,4611 SANGAMORE ROAD,BETHESDA,MD,20816,BBWHR722,On Premise,"PASSION SUSHI, INC.","4611 SANGAMORE ROAD
BETHESDA, MD 20816
(38.948733, -77.119082)",1,107,12,1,1
NEW YORK J&P PIZZA,26027 RIDGE RD.,DAMASCUS,MD,20872,HBWHR485306,On Premise,"FIVEPAR, LLC","26027 RIDGE RD.
DAMASCUS, MD 20872
(39.285041, -77.209743)",1,42,51,2,1
KENSINGTON MARKET,4215 HOWARD AVE.,KENSINGTON,MD,20895,ABW542348,Off Premise,"KENSINGTON MARKET, LLC","4215 HOWARD AVE.
KENSINGTON, MD 20895
(39.03088, -77.082812)",1,25,15,1,1
CLASSIC BEER & WNE,891-C ROCKVILLE PIKE,ROCKVILLE,MD,20852,ABWS650360,Off Premise,"CLASSIC WINE ROCKVILLE, LLC","891-C ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.074883, -77.136431)",1,60,25,3,12
ROLLINS BEER & WINE,151 ROLLINS AVE.,ROCKVILLE,MD,20852,DBW492304,On/Off-Premise,"RIVNISH, LLC","151 ROLLINS AVE.
ROCKVILLE, MD 20852
(39.05867, -77.124054)",1,60,25,3,12
THE SENECA ROCKVILLE,55 WEST GUDE DR.,ROCKVILLE,MD,20850,BBWLHR508328,On Premise,"WATERMARK RET. COMMS. OF MD, LLC","55 WEST GUDE DR.
ROCKVILLE, MD 20850
(39.106784, -77.163853)",1,71,25,3,12
WATKINS MILL BEER & WINE,857 RUSSELL AVE.,GAITHERSBURG,MD,20879,DBW508327,On/Off-Premise,"SONI FAMILY, LLC","857 RUSSELL AVE.
GAITHERSBURG, MD 20879
(39.156794, -77.212092)",1,31,36,3,21
SABAI SABAI...SIMPLY THAI,19847 CENTURY BLVD,GERMANTOWN,MD,20874,BBWHR549,On Premise,"AGATE, INC","19847 CENTURY BLVD
GERMANTOWN, MD 20874
(39.182012, -77.265319)",1,39,39,2,1
BOWLERO ROCKVILLE,15720 SHADY GROVE ROAD,GAITHERSBURG,MD,20877,BBWLHR497,On Premise,"AMF BOWLING CENTERS, INC.","15720 SHADY GROVE ROAD
GAITHERSBURG, MD 20877
(39.113727, -77.186423)",1,71,36,3,1
FISH TACO OF WOODMONT,7251 WOODMONT AVENUE,BETHESDA,MD,20814,BBWLHR36066,On Premise,"FISH TACO OF WOODMONT, LLC","7251 WOODMONT AVENUE
BETHESDA, MD 20814
(38.98152, -77.09582)",1,111,12,1,1
BESTWAY MARYLAND SUPERMARKET,8540 PINEY BRANCH ROAD,SILVER SPRING,MD,20901,ABWS082,Off Premise,GREEN CASTLE INTERNATIONAL INC,"8540 PINEY BRANCH ROAD
SILVER SPRING, MD 20901
(38.998378, -77.001731)",1,3062,8,5,1
ROYAL TANDOOR,820 MUDDY BRANCH RD.,GAITHERSBURG,MD,20878,BBWLHR485312,On Premise,"ROYAL BROTHERS, INC.","820 MUDDY BRANCH RD.
GAITHERSBURG, MD 20878
(39.113498, -77.216155)",1,33,36,3,21
DOG HAUS BIERGARTEN-KENTLAND,644 CENTER POINT WAY,GAITHERSBURG,MD,20878,BBWLHR95263,On Premise,"DHKMSQ, LLC","644 CENTER POINT WAY
GAITHERSBURG, MD 20878
(39.121934, -77.234774)",1,33,36,3,21
CICILIA BEER & WINE,13505 CLOPPER RD.,GERMANTOWN,MD,20874,ABWS733358,Off Premise,"CICILIA BEER & WINE, INC.","13505 CLOPPER RD.
GERMANTOWN, MD 20874
(39.161766, -77.280841)",1,39,39,2,1
QUINCY'S UPTOWN,9813 MAIN STREET,DAMASCUS,MD,20872,HBWHR40099,On Premise,"QUINCYGROUP, LLC","9813 MAIN STREET
DAMASCUS, MD 20872
(39.288059, -77.202925)",1,42,51,2,1
HOP N CRU,20940 FREDERICK ROAD,GERMANTOWN,MD,20876,ABW39057,Off Premise,HOP N CRU INC.,"20940 FREDERICK ROAD
GERMANTOWN, MD 20876
(39.199111, -77.245141)",1,36,39,2,1
MELINA,905 ROSE AVENUE,ROCKVILLE,MD,20852,BBWLHR479301,On Premise,"DTI MELINA, LLC","905 ROSE AVENUE
ROCKVILLE, MD 20852
(39.05122, -77.115644)",1,60,19,1,1
PINSTRIPES,11920 GRAND PARK AVE,NORTH BETHESDA,MD,20852,BBWLHR29538,On Premise,"PINSTRIPES, INC.","11920 GRAND PARK AVE
NORTH BETHESDA, MD 20852
(39.050956, -77.117463)",1,60,19,1,1
AMP BY STRATHMORE,11810 GRAND PARK AVENUE,NORTH BETHESDA,MD,20852,SBWLCPA27465,On Premise,"STRATHMORE HALL FOUNDATION, INC","11810 GRAND PARK AVENUE
NORTH BETHESDA, MD 20852
(39.04937, -77.117067)",1,60,19,1,1
FAMILY MARKET BEER & WINE,15432 NEW HAMPSHIRE AVE.,SILVER SPRING,MD,20905,ABW696359,Off Premise,"FAMILY MARKET BEER & WINE, INC.","15432 NEW HAMPSHIRE AVE.
SILVER SPRING, MD 20905
(39.109458, -76.99707)",1,8,29,5,1
BUFFALO WILD WINGS-GAITH,668 CLOPPER RD.,GAITHERSBURG,MD,20878,BBWLHR389274,On Premise,"BWW LEX PARK, LLC","668 CLOPPER RD.
GAITHERSBURG, MD 20878
(39.143026, -77.222496)",1,33,36,3,21
CHAIA,7237 WOODMONT AVE.,BETHEDA,MD,20814,DBW656368,On/Off-Premise,"CHAIA BETHESDA, LLC","7237 WOODMONT AVE.
BETHEDA, MD 20814
(38.981379, -77.095658)",1,111,12,1,1
BLACK MARKET BISTRO,4600 WAVERLY AVE,GARRETT PARK,MD,20896,BBWHR004,On/Off-Premise,"M.W. TAPPAN, LLC,","4600 WAVERLY AVE
GARRETT PARK, MD 20896
(39.038526, -77.093264)",1,24,14,1,18
MATCHBOX-ROCKVILLE,1699 ROCKVILLE PIKE,ROCKVILLE,MD,20852,BBWLHR483304,On Premise,"MATCHBOX CONGRESSIONAL PLZ, LLC","1699 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.061973, -77.124252)",1,60,25,3,12
THAI CHEF,29 MARYLAND AVE.,ROCKVILLE,MD,20850,BBWLHR531351,On Premise,"WESTON, INC.","29 MARYLAND AVE.
ROCKVILLE, MD 20850
(39.086345, -77.151029)",1,71,25,3,12
PHO VIET USA,4917 CORDELL AVE.,BETHESDA,MD,20814,BBWLHR489304,On Premise,"PHO VIET USA, INC.","4917 CORDELL AVE.
BETHESDA, MD 20814
(38.988893, -77.098583)",1,111,12,1,1
LAMOON THAI,906 THAYER AVE.,SILVER SPRING,MD,20910,BBWHR610348,On Premise,"S&P 6868, LLC","906 THAYER AVE.
SILVER SPRING, MD 20910
(38.993028, -77.024672)",1,3065,7,5,1
RANKEN NOODLE HOUSE,133 COMMERCE SQUARE PL.,GAITHERSBURG,MD,20878,HBWHR441289,On Premise,"RANKEN NOODLE HOUSE, LLC","133 COMMERCE SQUARE PL.
GAITHERSBURG, MD 20878",,,,,
BEAR BRICK OVEN,15410 NEW HAMPSHIRE AVE.,SILVER SPRING,MD,20905,HBWHR282259,On Premise,BEAR BRICK OVEN CO.,"15410 NEW HAMPSHIRE AVE.
SILVER SPRING, MD 20905
(39.10955, -76.996977)",1,8,29,5,1
N-Our Family Restaurant,201 EDISON PARK DR,GAITHERSBURG,MD,20878,BBWLHR756356,On Premise,"Our Family Restaurant, LLC","201 EDISON PARK DR
GAITHERSBURG, MD 20878
(39.113326, -77.234001)",1,33,36,3,21
COLADA SHOP,7993 TUCKERMAN LN.,POTOMAC,MD,20854,BDBWL490322,On/Off-Premise,"COLADA SHOP POTOMAC, LLC","7993 TUCKERMAN LN.
POTOMAC, MD 20854
(39.039938, -77.157346)",1,53,20,1,1
ABI AZTECA GRILL,11514 MIDDLEBROOK ROAD,GERMANTOWN,MD,20876,BBWLHR792,On Premise,"AZTECA GRILL, LLC","11514 MIDDLEBROOK ROAD
GERMANTOWN, MD 20876
(39.18058, -77.239197)",1,36,39,2,1
DUCK DUCK GOOSE,7929 NORFOLK AVENUE,BETHESDA,MD,20814,BBWLHR24264,On Premise,"DUCK DUCK GOOSE, LLC","7929 NORFOLK AVENUE
BETHESDA, MD 20814
(38.989324, -77.097937)",1,111,12,1,1
SIN & GRIN,353 MAIN STREET,GAITHERSBURG,MD,20878,BBWLHR019,On Premise,SIN & GRIN LLC,"353 MAIN STREET
GAITHERSBURG, MD 20878
(39.121261, -77.237608)",1,33,36,3,21
HUG LOUNGE,949 BONIFANT ST.,SILVER SPRING,MD,20910,BBWLHR323259,On Premise,"HUG LOUNGE, LLC","949 BONIFANT ST.
SILVER SPRING, MD 20910
(38.99372, -77.025644)",1,3065,7,5,1
LIA'S,4435 WILLARD AVE,CHEVY CHASE,MD,20815,BBWLHR413,On Premise,"CG3,LLC","4435 WILLARD AVE
CHEVY CHASE, MD 20815
(38.961933, -77.088009)",1,110,5,1,1
SPORTS & SOCIAL BETHESDA,11800 GRAND PARK AVE.,NORTH BETHESDA,MD,20852,BDBWL498327,On/Off-Premise,"S&S BETHESDA, LLC","11800 GRAND PARK AVE.
NORTH BETHESDA, MD 20852
(39.049586, -77.117127)",1,60,19,1,1
DOG HAUS BIERGARTEN-BETH.,7904 WOODMONT AVENUE,BETHESDA,MD,20814,BBWLHR29718,On Premise,"CASTLEROCK RESTAURANTS 1, LLC","7904 WOODMONT AVENUE
BETHESDA, MD 20814
(38.989175, -77.096269)",1,111,12,1,1
"KEMP MILL BEER, WINE & DELI",1339 LAMBERTON DRIVE,SILVER SPRING,MD,20902,ABW067,Off Premise,"JAI SHREE GANESH, INC.","1339 LAMBERTON DRIVE
SILVER SPRING, MD 20902
(39.04094, -77.029722)",1,17,16,4,1
FINEWINE.COM,20 GRAND CORNER AVE.,GAITHERSBURG,MD,20878,DBW542350,On/Off-Premise,"PSB, LLC","20 GRAND CORNER AVE.
GAITHERSBURG, MD 20878
(39.118722, -77.202218)",1,33,36,3,21
THE HUNTERS HOUNDS,5471 WISCONSIN AVE.,CHEVY CHASE,MD,20815,BDBWL642356,On/Off-Premise,"QUEEN BEE GROUP, INC.","5471 WISCONSIN AVE.
CHEVY CHASE, MD 20815
(38.963042, -77.086756)",1,110,5,1,1
TACO BAMBA TAQUERIA,1627 ROCKVILLE PIKE,ROCKVILLE,MD,20852,BBWLHR481301,On Premise,"PYM HOLDINGS, LLC","1627 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.063507, -77.125541)",1,60,25,3,12
MOH MOH LICIOUS,4925 BETHESDA AVE,BETHESDA,MD,20814,BBWLHR761,On Premise,HIMALAYAN HERITAGE LLC,"4925 BETHESDA AVE
BETHESDA, MD 20814
(38.980808, -77.099357)",1,111,12,1,1
SPANISH DINER,7271 WOODMONT AVE,BETHESDA,MD,20814,BBWLHR321,On Premise,"TYM MERGER COMPANY, LLC","7271 WOODMONT AVE
BETHESDA, MD 20814
(38.981775, -77.09599)",1,111,12,1,1
CAMBRIA HOTEL & SUITES,1 HELEN HENEGHAN WAY,ROCKVILLE,MD,20850,BBWLHM650358,On Premise,"PEACHTREE HOSPITALITY MGMT., LLC","1 HELEN HENEGHAN WAY
ROCKVILLE, MD 20850
(39.084625, -77.15031)",1,71,25,3,12
COLESVILLE BEER & WINE,13468 NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904,ABWS038,Off Premise,"COLESVILLE BEER AND WINE, INC.","13468 NEW HAMPSHIRE AVE
SILVER SPRING, MD 20904
(39.076991, -77.0018)",1,12,26,4,1
WOODLANDS PURE VEGETARIAN,555 QUINCE ORCHARD RD.,GAITHERSBURG,MD,20878,HBWHR650356,On Premise,"UDIPI, INC.","555 QUINCE ORCHARD RD.
GAITHERSBURG, MD 20878
(39.143586, -77.220512)",1,33,36,3,21
EL MERCAT BAR DE TAPAS,101 GIBBS ST.,ROCKVILLE,MD,20850,BDBWL655355,On Premise,"GEORGE RODRIGUES REST. GRP., LLC","101 GIBBS ST.
ROCKVILLE, MD 20850
(39.085333, -77.151951)",1,71,25,3,12
SAM'S PIZZA & SUBS,15855 REDLAND RD.,ROCKVILLE,MD,20855,DBW656366,On/Off-Premise,"CAPITAL FLAVOR PIZZA, LLC","15855 REDLAND RD.
ROCKVILLE, MD 20855
(39.116953, -77.164915)",1,51,27,3,1
RANDOLPH BEER & WINE,5408 A RANDOLPH RD.,ROCKVILLE,MD,20852,DBW497333,On/Off-Premise,"R&S SOLUTIONS, LLC","5408 A RANDOLPH RD.
ROCKVILLE, MD 20852
(39.053467, -77.107674)",1,60,19,4,1
NAVA THAI RESTAURANT,11301 FERN STREET,SILVER SPRING,MD,20902,HBWHR535,On Premise,NAVA THAI RESTAURANT CORPORATI,"11301 FERN STREET
SILVER SPRING, MD 20902
(39.040345, -77.049529)",1,17,16,4,1
YARD HOUSE #8380,211 RIO BLVD,GAITHERSBURG,MD,20878,BBWLHR33183,On Premise,"GMR MONTGOMERY COUNTY, INC.","211 RIO BLVD
GAITHERSBURG, MD 20878
(39.117422, -77.200811)",1,33,36,3,21
RIO GRANDE CAFE & SAVAGE BURRITO- BETH.,4870 BETHESDA AVE,BETHESDA,MD,20814,BBWLHR161,On Premise,"THE MEXICAN REST., INC.","4870 BETHESDA AVE
BETHESDA, MD 20814
(38.980865, -77.098052)",1,111,12,1,1
RIO GRANDE GRILL,13541 CLOPPER ROAD,GERMANTOWN,MD,20874,BBWLHR462302,On/Off-Premise,"RIO GRANDE GRILL, LLC","13541 CLOPPER ROAD
GERMANTOWN, MD 20874
(39.161675, -77.280659)",1,39,39,2,1
WORLD MARKET - ROCKVILLE,"12266 ROCKVILLE PIKE, UNIT P",ROCKVILLE,MD,20852,ABWS220,Off Premise,"WORLD MARKET, LLC","12266 ROCKVILLE PIKE, UNIT P
ROCKVILLE, MD 20852
(39.057661, -77.120504)",1,60,19,3,1
KING STREET OYSTER BAR,12435  PARK POTOMAC AVE.,POTOMAC,MD,20854,BBWLHR483305,On Premise,"KSOB POTOMAC, LLC","12435 PARK POTOMAC AVE.
POTOMAC, MD 20854
(39.059528, -77.157576)",1,53,20,3,1
EUROPEAN DELIGHT,"1488 ROCKVILLE PIKE, UNIT I",ROCKVILLE,MD,20852,DBW201,Off Premise,"ILHOM, INC.","1488 ROCKVILLE PIKE, UNIT I
ROCKVILLE, MD 20852
(39.065524, -77.126927)",1,60,25,3,12
KLAY RESTAURANT,9736 TRAVILLE GATEWAY DRIVE,ROCKVILLE,MD,20850,BBWLHR42186,On Premise,"BTRG, LLC","9736 TRAVILLE GATEWAY DRIVE
ROCKVILLE, MD 20850
(39.091793, -77.203832)",1,71,24,3,1
BUFFALO WILD WINGS-ROCKVILLE,33 MARYLAND AVE.,ROCKVILLE,MD,20850,BBWLHR389275,On Premise,"BWW LEX PARK, LLC","33 MARYLAND AVE.
ROCKVILLE, MD 20850
(39.085575, -77.150996)",1,71,25,3,12
LAKESIDE BEER AND WINE,9621 LOST KNIFE RD,GAITHERSBURG,MD,20877,DBW31825,On/Off-Premise,SHUVASHREE CORPORATION,"9621 LOST KNIFE RD
GAITHERSBURG, MD 20877
(39.153268, -77.199077)",1,35,38,2,1
SALSA WITH SILVIA,4731 ELM ST.,BETHESDA,MD,20814,DBWL339262,On Premise,"SALSA WITH SILVIA BALLROOM, LLC","4731 ELM ST.
BETHESDA, MD 20814
(38.982175, -77.095429)",1,111,12,1,1
AROMA JUICE CAFE,1313 EAST GUDE DR.,ROCKVILLE,MD,20854,BBWLHR521348,On Premise,"AROMA JUICE CAFE, INC.","1313 EAST GUDE DR.
ROCKVILLE, MD 20854
(39.097005, -77.135691)",1,71,25,3,12
MILLER'S ALE HOUSE,1471 ROCKVILLE PIKE,ROCKVILLE,MD,20852,BBWLHR740,On Premise,"MILLER'S ALE HOUSE OF MD, LLC","1471 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.065632, -77.127222)",1,60,25,3,12
JAVA NATION,10516 CONNECTICUT AVENUE,KENSINGTON,MD,20895,HBWHR71919,On Premise,"JAVA NATION, INC","10516 CONNECTICUT AVENUE
KENSINGTON, MD 20895
(39.028719, -77.076291)",1,25,15,1,6
TAKO GRILL,4914 HAMPDEN LANE,BETHESDA,MD,20814,HBWHR311,On Premise,S.K.O. CORPORATION,"4914 HAMPDEN LANE
BETHESDA, MD 20814
(38.982692, -77.096987)",1,111,12,1,1
RIO GRANDE CAFE & SAVAGE BURRITO-GAIT,231 RIO BLVD,GAITHERSBURG,MD,20878,BBWLHR048,On Premise,"THE MEXICAN RESTAURANT,INC.","231 RIO BLVD
GAITHERSBURG, MD 20878
(39.118054, -77.200395)",1,33,36,3,21
GLENSTONE FOUNDATION,12100 GLEN RD.,POTOMAC,MD,20854,HBWHR43459,On Premise,"GLENSTONE FOUNDATION, INC.","12100 GLEN RD.
POTOMAC, MD 20854",,,,,
"ARIA BEER, WINE & DELI",4800 AUBURN AVE.,BETHESDA,MD,20814,ABW504331,Off Premise,"PROSPERITY AT THE GALLERY, LLC","4800 AUBURN AVE.
BETHESDA, MD 20814
(38.990806, -77.099102)",1,111,12,1,1
MEIWAH RESTAURANT,4457 WILLARD AVENUE,CHEVY CHASE,MD,20815,BBWLHR176,On Premise,"HAKKA, LLC","4457 WILLARD AVENUE
CHEVY CHASE, MD 20815
(38.961984, -77.088261)",1,110,5,1,1
ERTTERS MARKET,521 DALE DR.,SILVER SPRING,MD,20910,ABW524348,Off Premise,"TEA'S ERTTERS, LLC","521 DALE DR.
SILVER SPRING, MD 20910
(39.000175, -77.017563)",1,3065,7,5,1
BALDUCCI'S,10323 OLD GEORGETOWN RD.,BETHESDA,MD,20814,BBWHR478300,On/Off-Premise,"AMERICAN STORES COMPANY, LLC","10323 OLD GEORGETOWN RD.
BETHESDA, MD 20814
(39.024761, -77.125139)",1,111,12,1,1
PLANTA BETHESDA,4910 ELM ST.,BETHESDA,MD,20814,BDBWL656364,On/Off-Premise,"PLANTA BETHESDA, LLC","4910 ELM ST.
BETHESDA, MD 20814
(38.982114, -77.097113)",1,111,12,1,1
6/12 CONVENIENT MART,14100-C DARNESTOWN RD.,GERMANTOWN,MD,20874,DBW43142,On/Off-Premise,"AKSHAT ENTERPRISES, LLC","14100-C DARNESTOWN RD.
GERMANTOWN, MD 20874
(39.103541, -77.292186)",1,33,28,2,1
JEFFREY'S SUB & PIZZA,15547 OLD COLUMBIA PIKE,BURTONSVILLE,MD,20866,HBW096,On Premise,"CHAI III, INC.","15547 OLD COLUMBIA PIKE
BURTONSVILLE, MD 20866
(39.109735, -76.934829)",1,47,30,5,1
LANGANO ETHIOPIAN BAR & RESTAURANT,11261 NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904,BDBWL35192,On/Off-Premise,"LANGANO WHITE OAK, LLC","11261 NEW HAMPSHIRE AVE
SILVER SPRING, MD 20904
(39.040332, -76.990799)",1,12,18,5,1
