"objectid","source","suite","telephone_","fax_","areas_serv","beds","legal_serv","counseling","housing","bath","laundry","food","mar_addr","program_co","name","web_url","pop_serv","title","location_1"
"92","dccfh.com",,"(202) 347-7279","(202) 347-7279","DC","150",,"yes","yes",," ","yes","1234 MASSACHUSETTS AVENUE NW","Eddie L Frankline","Coalition for the Homeless - Emery House","http://dccfh.org","men and families","Program Director","1234 Massachusetts Avenue NW
,  20005
(38.90420514, -77.0293156)"
"93","Shelters2004",,"(202) 583-7602","(202) 583-3252","DC","7",,"yes","yes",," ","yes","2812 PENNSYLVANIA AVENUE SE","Janet Selby","Dwelling Place Shelter for Abused Elderly","http://www.some.org","60 years and older"," ","2812 Pennsylvania Ave SE
,  20020
(38.87237441, -76.96701559)"
"94","Shelters2004",,"(202) 363-8286","(202) 363-6828","DC",,,"yes","yes",,"yes","yes","3001 WISCONSIN AVENUE NW"," ","Crossroads Shelter"," ","men"," ","3001 Wisconsin Ave NW
,  20016
(38.93128279, -77.07216471)"
"95","Shelters2004",,"(202) 561-9624"," ","DC","9",," ","yes",," ","yes","3310 WHEELER ROAD SE"," ","Queen of Peace - Home for Pregnant Homeless Women"," ","homesless pregnant woman"," ","3310 Wheeler Rd SE
,  20032
(38.84184924, -76.99355497)"
"96","Shelters2004",,"(202) 364-5198","(202) 363-7735"," ",,,"yes","yes",," "," ","4200 BUTTERWORTH PLACE NW","Sarah Shepard","Capital Interfaith Hospitality Network","http://www.dc-ihn.org","families with childeren"," ","4200 Butterworth Place NW
,  20016
(38.94836717, -77.08242979)"
"97","Shelters2004",,"(202) 882-9649"," ","DC","20",," ","yes",," ","yes","503 ROCK CREEK CHURCH ROAD NW","Kathy Boylan","Dorothy Day Catholic Worker"," "," "," ","503 Rock Creek Church Rd NW
,  20010
(38.93756163, -77.01934283)"
"98","Shelters2004",,"(202) 289-4840","(202) 289-5425","DC","24",,"yes","yes",," "," ","612 M STREET NW","Karen McNeal","Hannah House Inc","http://www.hannahhouse.org","women","Case Manager","612 M St NW
,  20001
(38.90537656, -77.02058236)"
"99","Shelters2006",,"(202) 265-2017","(202) 265-7331","DC","31",,"yes"," ",," "," ","1226 VERMONT AVENUE NW","Vincent Martin","Senior Center for Homeless Aged"," ","55 and older","Program Director","1226 Vermont Ave NW
,  20005
(38.90694426, -77.03160621)"
"100","Shelters2007",,"(202) 797-8806","(202) 387-2798","DC",,,"yes"," ",," "," ","75 HANOVER PLACE NW","Walter Green","Isaiah House","http://www.some.org","homeless","Program Director","75 Hanover Pl NW
,  20001
(38.90808276, -77.01135964)"
"101","MW COG",,"(202) 269-2277","(202) 635-4261","DC",,,"yes"," ",," ","yes","219 RIGGS ROAD NE","Shawn Daniels","Food and Friends","http://www.foodandfriends.org","Persons with AIDS","Contact","219 Riggs Road NE
,  20011
(38.95584081, -77.00308203)"
"102","MW COG",,"(202) 635-9053","(202) 635-3898","DC",,,"no"," ",," ","yes","600 W STREET NE","Grace Calloway","Calvarys Food Bank"," ","Women/Men; Must have ID","Contact","600 W Street NE
,  20002
(38.91985413, -76.99817755)"
"103","MW COG",,"(202) 398-5503","(202) 398-8552","DC",,," "," ",," ","yes","4929 AMES STREET NE","Jocelyn Ford","Food Center of Ward 7"," ","Needy in Ward 7","Contact","4929 Ames Street NE
,  20019
(38.89062666, -76.93167856)"
"104","MW COG",,"(202) 543-4200","(202) 543-4201","DC",,," "," ",," ","yes","212 EAST CAPITOL STREET NE","Joanne Lowther","Lutheran Church of the Reformation","http://www.reformationdc.org","Anyone in need","Contact","212 East Capitol Street NE
,  20003
(38.89012024, -77.00285995)"
"105","MW COG",,"(202) 396-1200","(202) 396-4106","DC",,,"yes"," ",," ","yes","3939 BENNING ROAD NE","Barbara Mitchell","Mashall Heights Community Development Organization","http://www.mhcdo.org","Ward 7 residents","Contact","3939 Benning Road NE
,  20019
(38.89392941, -76.94715795)"
"106","MW COG",,"(202) 526-3685","(202) 526-8505","DC",,," "," ",," ","yes","2411 LAWRENCE STREET NE","Doris Dickerson","McKendree, Simms, Brookland United Methodist Church Community Outreach House"," ","NE Corridor of Ward 5","Contact","2411 Lawrence Street NE
,  20018
(38.93196245, -76.97153471)"
"107","MW COG",,"(202) 526-1730","(202) 526-5900","DC",,," "," ",," ","yes","2112 VARNUM STREET NE","Ms. Waters","Northeastern Presbyterian Church Food Pantry"," ","NE/NW DC residents","Contact","2112 Varnum Street NE
,  20018
(38.94314481, -76.97507154)"
"108","MW COG",,"(202) 723-5330","(202) 723-9478","DC",,," "," ",," ","yes","5301 NORTH CAPITOL STREET NE","Wanda B. Johnson","Plymouth Congregational Church Food Pantry"," ","DC Residents","Contact","5301 North Capitol Street NE
,  20011
(38.95518193, -77.00872688)"
"109","MW COG",,"(202) 397-4333","(202) 388-1797","DC",,," "," ",," ","yes","1325 MARYLAND AVENUE NE","Dr. John E. Johnson Jr.","Purity Baptist Church"," ","NE DC Residents","Contact","1325 Maryland Avenue NE
,  20002
(38.8981646, -76.98727801)"
"110","MW COG",,"(202) 829-2773","(202) 291-6877","DC",,," "," ",," ","yes","4606 16TH STREET NW","Anyone","19th Street Baptist Church","http://www.everyblessing.org","DC Residents","Contact","4606 16th Street NW
,  20011
(38.94687263, -77.03684386)"
"111","MW COG",,"(202) 723-5377","(202) 723-8416","DC",,," "," ",," ","yes","5413 16TH STREET NW","Anyone","6th Presbyterian Church","http://www.sixthpresbyterian.org","Anyone in Need","Contact","5413 16th Street NW
,  20011
(38.95592388, -77.0359243)"
"112","MW COG",,"(202) 939-0754","(202) 939-0864","DC",,,"yes"," ",,"yes","yes","319 R STREET NW","Anyone","Action for Peace Through Prayer & Aid","http://www.actionforpeace.net","Homeless & Poor","Contact","319 R Street NW
,  20001
(38.91281007, -77.01601136)"
"113","MW COG",,"(202) 939-9020","(202) 939-5755","DC",,,"yes"," ",," ","yes","504 KENNEDY STREET NW","Project Director","Barney Senior Program","http://www.barneyhouse.org","Seniors 60+ in Wards 1,4","Contact","504 Kennedy Street NW
,  20001
(38.95615889, -77.02028724)"
"114","MW COG",,"(202) 829-8454","(202) 723-3294","DC",,," "," ",,"yes","yes","924 MADISON STREET NW","Rev. Deborah Threats","Berean Baptist Church","http://bereanbaptistchurchdc.com","Anyone in Need","Contact","924 Madison Street NW
,  20011
(38.958062, -77.02721979)"
"115","MW COG",,"(202) 265-2400","(202) 518-0545","DC",,,"yes"," ",,"yes","yes","1525 7TH STREET NW","Anyone","Bread for the City","http://www.breadforthecity.org","Low-income DC Residents","Contact","1525 7th Street NW
,  20001
(38.91033943, -77.02162725)"
"116","MW COG",,"(202) 387-3725","(202) 387-3729","DC",,,"yes"," ",,"yes","yes","1413 PARK ROAD NW","Gracie Rowland","Change, Inc."," ","Ward 1 & 4 Residents","Contact","1413 Park Road NW
,  20010
(38.93059873, -77.03338923)"
"117","MW COG",,"(202) 265-0149","(202) 483-0650","DC",,," "," ",,"yes","yes","3309 16TH STREET NW","Anyone","Family Place, Mt. Pleasant","http://www.thefamilyplacedc.org","Preg Women, or w/ kids","Contact","3309 16th Street NW
,  20010
(38.9319227, -77.03605395)"
"118","MW COG",,"(202) 842-1112","(202) 842-7401","DC","8",," ","yes",,"yes","yes","19 I STREET NW","Kini Alexander","Father McKenna Center"," ","Men in Need","Contact","19 Eye Street NW
,  20001
(38.9015642, -77.00966231)"
"119","MW COG",,"(202) 387-2015","(202) 387-2016","DC",,,"yes"," ",," ","yes","1328 16TH STREET NW","Craig Keller","First Helping","http://www.dccentralkitchen.org","Homeless Men and Women","Contact","1328 16th Street NW
,  20036
(38.90846487, -77.03737906)"
"120","MW COG",,"(202) 331-1495","(202) 530-0406","DC",,," "," ",," ","yes","1920 G STREET NW","Anyone","Foggy Bottom Food Pantry","http://wwwtheunitedchurch.org","Families, some exceptions","Contact","1920 G Street NW
,  20006
(38.89805119, -77.04462278)"
"121","MW COG",,"(202) 489-8676","(301) 984-0218","Metro DC",,," "," ",," ","yes","1810 16TH STREET NW","Peter Sage","Food For All Program"," ","Anyone, Metro DC","Executive Director","1810 16th Street NW
,  20009
(38.91438526, -77.03703671)"
"122","MW COG",,"(202) 289-4480","(202) 289-4595","Metro DC",,," "," ",," ","yes","602 N STREET NW","Barbara Jordan","Helping Hands Food Distribution Ministry"," ","Seniors,Disabled,Low-Inc","Director","602 N Street NW
,  20001
(38.9066099, -77.02055113)"
"123","MW COG",,"(202) 723-3253","(202) 726-6983","DC",,," "," ",,"yes","yes","4401 16TH STREET NW","Pastor Barry Whetstone","National Church of the Nazarene"," ","Emergency Need in NW","Contact","4401 16th Street NW
,  20011
(38.94442101, -77.03599451)"
"124","MW COG",,"(202) 462-4330","(202) 462-2774","Metro DC",,,"yes"," ",," ","yes","1628 16TH STREET NW","Vilay Chaleunrath","Newcomer Community Service Center","http://www.newcomerservice.org","Refugees & Immigrants","Contact","1628 16th Street NW
,  20009
(38.91217204, -77.03691217)"
"125","MW COG",,"(202) 638-4736","(202) 638-0776","Metro DC",,,"yes"," ",," ","yes","448 RIDGE STREET NW","Mark Anderson","Northwest Settlement House","http://www.nwsh.org","DC Metro Residents","Contact","448 Ridge Street NW
,  20001
(38.90623849, -77.01777178)"
"126","MW COG",,"(202) 829-5511","(202) 726-9301","Metro DC",,," "," ",,"yes","yes","4704 13TH STREET NW","Connie Stevens","Peoples Congregational Church","http://peoplescongregationalchurch.org","DC Metro Residents","Contact","4704 13th Street NW
,  20011
(38.94726866, -77.03013343)"
"127","MW COG",,"(202) 265-4494","(202) 265-6392","DC",,," "," ",," ","yes","1812 12TH STREET NW","Patrick Comedy","Reverand Frank B. Bradley Christian Mission Center"," ","Shaw Area Residents","Contact","1812 12th Street NW
,  20009
(38.91467611, -77.02847286)"
"128","MW COG",,"(202) 726-0046","(202) 829-9754","DC",,," "," ",," ","yes","4410 GEORGIA AVENUE NW","Anyone","Saint Charles Baptist Church"," ","Anyone in Need","Contact","4410 Georgia Avenue NW
,  20011
(38.94454172, -77.02658295)"
"129","MW COG",,"(202) 232-4288","(202) 232-0219","Metro DC",,,"yes"," ",," ","yes","1510 9TH STREET NW","Robert Felton","Shiloh Baptist Church Human Services Center","http://www.shilohbaptist.org","DC Metro Residents","Contact","1510 9th Street NW
,  20001
(38.91022199, -77.02425843)"
"130","MW COG",,"(202) 889-3660","(202) 678-5213","DC",,," "," ",,"yes","yes","2525 12TH PLACE SE","Dorethia Lee","A.P. Shaw Food Pantry"," ","Anyone in Need","Contact","2525 12th Place SE
,  20020
(38.85155825, -76.98533835)"
"131","MW COG",,"(202) 678-8669","(202) 678-0550","DC",,,"yes"," ",,"yes","yes","1412 MINNESOTA AVENUE SE","Anyone","Ambassador Baptist Church"," ","Anyone in Need","Contact","1412 Minnesota Avenue SE
,  20020
(38.86702484, -76.98416352)"
"132","MW COG",,"(202) 889-5607","(202) 889-3219","DC",,,"yes"," ",,"yes","yes","2443 AINGER PLACE SE","Anyone","Anacostia Community Outreach Center (ACOC)"," ","Ward 8 Residents","Contact","2443 Ainger Place SE
,  20020
(38.85580867, -76.97045548)"
"133","MW COG",,"(202) 678-4300","(202) 678-4577","DC",,," "," ",," ","yes","2001 14TH STREET SE","Stefan Williams","Anacostia Network"," ","SE Residents","Contact","2001 14th Street SE
,  20020
(38.8656537, -76.98584106)"
"134","MW COG",,"(202) 561-5941","(202) 561-0336","DC",,," "," ",," ","yes","3400 MARTIN LUTHER KING JR AVENUE SE","Clement Galligan","Assumption Church Outreach"," ","SE & SW Residents","Contact","3401 Martin Luther King Jr Avenue SE
,  20032
(38.84102069, -77.00308686)"
"135","MW COG",,"(202) 678-7662","(202) 889-0722","DC",,,"yes"," ",,"yes","yes","2458 MARTIN LUTHER KING JR AVENUE SE","Church Office","Bethlehem Baptist Church Outreach Center"," ","SE Residents","Contact","2458 Martin Luther King Jr Avenue SE
,  20020
(38.86140311, -76.99325317)"
"136","MW COG",,"(202) 561-8587","(202) 574-1536","DC",,,"yes"," ",,"yes","yes","1640 GOOD HOPE ROAD SE","Anyone","Bread for the City","http://www.breadforthecity.org","Low-income DC Residents","Contact","1640 Good Hope Road SE
,  20020
(38.86620812, -76.98105682)"
"137","MW COG","304","(202) 889-1425","(202) 889-2213","DC",,," "," ",,"yes","yes","2041 MARTIN LUTHER KING JR AVENUE SE","Perry J. Moon","Far Southeast Collaborative, Inc.","http://www.fsfsc.org","Ward 8 Residents","Contact","2041 Martin Luther King Jr Avenue SE
,  20020
(38.86593013, -76.98982866)"
"138","MW COG",,"(202) 675-9050","(202) 546-3080","DC",,,"yes"," ",,"yes","yes","619 D STREET SE","Jean Moses","Friendship House","http://www.friendshiphouse.net","Ward 6 Residents","Contact","619 D Street SE
,  20003
(38.8840623, -76.9974784)"
"139","MW COG",,"(202) 562-3800","(202) 562-2937","DC",,,"yes"," ",,"yes","yes","2907 MARTIN LUTHER KING JR AVENUE SE","Elaine Webb","Ralph Waldo ""Petey"" Greene Community Service Center"," ","Ward 8 Residents","Contact","2907 Martin Luther King Jr Avenue SE
,  20032
(38.84609092, -76.99708935)"
"140","MW COG",,"(202) 561-2000","(202) 561-7900","DC",,," "," ",," ","yes","3101 MARTIN LUTHER KING JR AVENUE SE","Beverley D. Jeffries","Salvation Army - Eas of the River Initiative (ERI)","http://www.uss.salvationarmy.org","Ward 8 & 7 Residents","Contact","3101 Martin Luther King Jr Avenue SE
,  20032
(38.84383407, -76.99919697)"
"141","MW COG",,"(202) 678-2800","(202) 889-0265","DC",,,"yes"," ",," ","yes","2451 GOOD HOPE ROAD SE","Anyone","Senior Citizens Counseling and Delivery Service","http://www.sccds.net","DC Residents 60+","Contact","2341 Good Hope Road SE
,  20020
(38.8611647, -76.96966839)"
"142","MW COG",,"(202) 678-8822","(202) 678-6309","DC",,," "," ",,"yes","yes","1225 W STREET SE","Anthony McCants","Union Temple Baptist Church Village Keepers Homeless Ministry","http://www.uniontemple.com","Ward 6,7,8 Residents","Contact","1225 W Street SE
,  20020
(38.86451231, -76.98895374)"
"143","MW COG","3","(202) 484-3133","(202) 488-0153","DC",,,"yes"," ",,"yes","yes","1200 DELAWARE AVENUE SW","Loretta Barksdale","Southwest Community House Senior Service Center","http://www.swhouse.org","Senior Citizens","Contact","1200 Delaware Avenue SW
,  20024
(38.87593978, -77.0132603)"
"144","MW COG",,"(202) 396-0534","(202) 396-0703","DC",,," "," ",," ","yes","1008 45TH STREET NE","Anyone","The First Baptist Church of Deanwood"," ","Homeless","Contact","1008 45th Street NE
,  20019
(38.90310507, -76.9380165)"
"145","MW COG",,"(202) 232-1685","(202) 265-1106","DC",,," "," ",," ","yes","1000 R STREET NW","Mitchell Holbrook","10th Street Baptist Church"," ","Anyone in Need","Contact","1000 R Street NW
,  20001
(38.9123686, -77.0266798)"
"146","MW COG",,"(202) 232-3066","(202) 265-7817","DC",,," "," ",," ","yes","1830 CONNECTICUT AVENUE NW","Jon Bolduc","Charlies Place","http://www.charliesplace.org","Homeless Men and Women","Director","1830 Connecticut Avenue NW
,  20009
(38.91536121, -77.04664158)"
"147","MW COG",,"(202) 387-6612","(202) 387-6614","DC",,,"yes"," ",," ","yes","2200 P STREET NW","Anyone","Church of the Pilgrims","http://www.churchofthepilgrim.org","Anyone in Need","Contact","2201 P Street NW
,  20037
(38.9093145, -77.04916193)"
"148","MW COG",,"(202) 483-5800","(202) 588-5806","DC",,,"yes","yes",,"yes","yes","1842 CALVERT STREET NW","Anyone","Eofula-Spanish Senior Center","http://www.eofula.org","DC Residents 60+","Contact","1842 Calvert Street NW
,  20001
(38.92306851, -77.04445543)"
"149","MW COG",,"(202) 232-0900","(202) 797-0367","DC",,," "," ",," ","yes","1501 NEWTON STREET NW","Hazel Cummings","Loaves and Fishes","http://www.saintstephensdc.org","Anyone in Need","Contact","1525 Newton Street NW
,  20010
(38.93348727, -77.03575013)"
"150","MW COG",,"(202) 829-0100","(202) 722-0131","DC",,," "," ",," ","yes","768 MORTON STREET NW","Anyone","Salvation Army Sherman Avenue Corp"," ","Anyone in Need","Contact","768 Morton Street NW
,  20010
(38.93164179, -77.02602189)"
"151","MW COG",,"(301) 459-8484","(202) 347-7217","DC",,," "," ",,"yes","yes","401 K STREET NW","MaryAnn Zuckerman","Sunday Suppers"," ","Homeless","Contact","4th Street NW and K Street NW
,  0
(38.90268298, -77.01632719)"
"152","MW COG",,"(301) 459-8484","(202) 347-7217","DC",,," "," ",,"yes","yes","910 N STREET NW","MaryAnn Zuckerman","Sunday Suppers"," ","Homeless","Contact","9th Street NW and N Street NW
,  0
(38.90713686, -77.02415998)"
"153","MW COG",,"(202) 543-9030","(202) 543-5738","DC",,,"yes"," ",,"yes","yes","1211 G STREET SE","Evelyn Middleton","Salvation Army Southeast Corps"," ","Anyone in Need","Contact","1211 G Street SE
,  20003
(38.88107866, -76.98977418)"
"154","MW COG",,"(202) 546-8706","(202) 546-8706","DC",,," "," ",," ","yes","307 4TH STREET SE","Quin Middleton","Washington City Church of the Brethren"," ","Anyone in Need","Contact","337 North Carolina Avenue SE
,  20003
(38.88506058, -77.00092671)"
"155","MW COG",,"(202) 772-4300"," ","DC","360",," "," ",," "," ","1355 NEW YORK AVENUE NE","Chapman Todd","Catholic Charities","http://www.catholiccharitiesdc.org","Homeless Men","Executive Director","1355 New York Avenue NE
,  0
(38.91507572, -76.98583171)"
"156","MW COG",,"(202) 832-7343","(202) 832-9807","DC","16",,"yes","yes",," "," ","4801 SARGENT ROAD NE","Eric Fowlkes","Girls and Boys Town of Washington","http://www.girlsandboystown.org","Boys/Girls Age 9-18","Contact","4801 Sargent Road NE
,  20017
(38.948574, -76.98729613)"
"157","MW COG",,"(202) 783-6651","(202) 216-0302","DC","10",,"yes","yes",,"yes","yes","317 H STREET NW","Kris Thompson","Calvarys Womens Shelter, Inc.","http://www.calvaryservices.org","Anyone in Need","Contact","317 H Street NW
,  20001
(38.90039422, -77.01599579)"
"158","MW COG",,"(202) 772-4300"," ","DC","260",," "," ",," "," ","1301 K STREET NW","Chapman Todd","Catholic Charities","http://www.catholiccharitiesdc.org","Homeless Men","Executive Director","13th Street NW and K Street NW
,  0
(38.90293367, -77.03052293)"
"159","MW COG",,"(202) 483-8916","(202) 483-3338","DC","2",,"yes","yes",," "," ","1329 9TH STREET NW","Gregory Ferrell","Damien Ministries"," ","Adult Sex Offenders","Contact","1329 9th Street NW
,  20001
(38.90799597, -77.02367543)"
"160","MW COG",,"(202) 842-1731","(202) 898-0285","DC","60",," "," ",,"yes","yes","500 I STREET NW","Novia Smallwood","Gospel Rescue Ministries","http://www.grm.org","Homeless & Poor Persons","Contact","810 5th Street NW
,  20001
(38.90062715, -77.01913256)"
"161","MW COG",,"(202) 939-2060","(202) 319-1508","DC","31",,"yes","yes",,"yes","yes","1333 N STREET NW","Anyone","Lutheran Place Night Shelter","http://www.nstreetvillage.org","Women 18+","Contact","1333 N Street NW
,  20005
(38.90757354, -77.0314279)"
"162","MW COG",,"(202) 639-8093","(202) 639-0511","DC",,,"yes","yes",,"yes","yes","425 2ND STREET NW","Ann Kirby","New Hope Ministries"," ","Single Women 18+","Contact","425 2nd Street NW
,  20001
(38.89551157, -77.01329921)"
"163","MW COG",,"(202) 337-4275","(202) 333-4899","DC","6",," ","yes",,"yes","yes","3655 CALVERT STREET NW","Kate McCann","St Lukes Shelter","http://www.stlukesshelter.org","Homeless Men/Women Ward3","Contact","3655 Calvert Street NW
,  20007
(38.92289539, -77.07192178)"
"164","MW COG",,"(202) 544-0631"," ","DC",,," ","yes",," "," ","421 SEWARD SQUARE SE","Emily Guthrie","Capitol Hill Group Ministry","http://www.capitolhillgroupministry.org","Anyone in Need","Contact","421 Seward Square SE
,  20003
(38.8852926, -76.99985014)"
"165","MW COG",,"(202) 396-2809","(202) 398-8926","DC",,,"yes"," ",," "," ","801 17TH STREET NE","Dr. Rhonda Waller","Healthy Babies Project, Inc.","http://www.healthybabiesproject.org","Ward 5&6 Expcting Parents","Contact","801 17th Street NE
,  20002
(38.90081713, -76.97822631)"
"166","MW COG",,"(202) 462-7500","(202) 526-8916","DC",,,"yes","yes",,"yes","yes","1949 4TH STREET NE","Patricia Redfern","RAP, Inc.","http://www.rapinc.org","Substance Abusers","Contact","1949 4th Street NE
,  20002
(38.91692923, -77.00025873)"
"167","MW COG",,"(202) 388-8160"," ","DC",,," "," ",," "," ","4130 HUNT PLACE NE","Anyone","Unity Health Care","http://www.unityhealthcare.org","Call for Information","Contact","4130 Hunt Place NE
,  20019
(38.90072278, -76.94290382)"
"168","MW COG",,"(202) 877-6333","(202) 387-3135","DC",,,"yes"," ",," "," ","216 MICHIGAN AVENUE NE","Soraya Chavez","Washington Hospital Center, Dpt. of Psychiatry","http://www.whcenter.org","Anyone with Insurrance","Contact","216 Michigan Avenue NE
,  20017
(38.92968988, -77.00457615)"
"169","MW COG",,"(202) 462-4788","(202) 667-3706","Metro DC",,,"yes"," ",," "," ","2831 15TH STREET NW","Dr. Juan Romagoza","Clinica Del Pueblo","http://www.lcdp.org","Anyone In Need","Contact","2831 15th Street NW
,  20009
(38.92591693, -77.03522691)"
"170","MW COG",,"(202) 328-3717","(202) 588-8101","DC",,,"yes"," ",," "," ","1660 COLUMBIA ROAD NW","Anyone","Columbia Road Health Services","http://www.crhs.org","Low Income; Homeless DC","Contact","1660 Columbia Road NW
,  20009
(38.92489831, -77.0388127)"
"171","MW COG",,"(202) 885-5710","(202) 885-5713","DC",,,"yes"," ",," "," ","4228 WISCONSIN AVENUE NW","Diane Broadnax","Comprehensive NeuroScience, Inc.","http://www.cnswebsite.com","Mental Health Patients","Contact","4228 Wisconsin Avenue NW
,  20016
(38.94391042, -77.07796474)"
"172","MW COG",,"(202) 682-1190","(202) 898-0285","DC",,,"yes","yes",," "," ","512 I STREET NW","Judy Ashburn","Fulton House of Hope","http://www.grm.org","Homeless Women","Contact","512 I Street NW
,  20001
(38.90066778, -77.01968651)"
"173","MW COG",,"(202) 265-7174","(202) 588-7097","DC",,,"yes","yes",,"yes","yes","2482 ONTARIO ROAD NW","Patricia Wudel","Josephs House","http://www.josephshouse.org","Homeless w/ AIDS/Cancer","Contact","2482 Ontario Road NW
,  20009
(38.92280531, -77.04041749)"
"174","MW COG",,"(202) 483-8196","(202) 797-2628","DC",,,"yes"," ",," ","yes","2333 ONTARIO ROAD NW","Maria Gomez","Marys Center for Maternal and Child Care, Inc.","http://www.maryscenter.org","Men/Women/Kids in DC","Contact","2333 Ontario Road NW
,  20009
(38.92098016, -77.0398084)"
"175","MW COG",,"(202) 939-2400","(202) 234-7323","DC",,,"yes"," ",," "," ","1618 MONROE STREET NW","Coordinator","Spanish Catholic Center","http://www.centrocatolicohispano.org","Hispanic DC Residents","Contact","1618 Monroe Street NW
,  20010
(38.93273943, -77.03739662)"
"176","MW COG",,"(202) 745-4300","(202) 328-3566","DC",,,"yes"," ",," ","yes","3020 14TH STREET NW","Anyone","Unity Health Care, Inc.","http://www.unityhealthcare.org","Anyone in Need","Contact","3020 14th Street NW
,  20009
(38.92817749, -77.03303254)"
"177","MW COG",,"(202) 354-1120","(202) 354-1150","DC",,,"yes"," ",," "," ","1101 1ST STREET NW","Anyone","Walker-Jones Adult Clinic","http://www.unityhealthcare.org","Anyone in Need","Contact","1100 1st Street NW
,  20001
(38.90415437, -77.01163871)"
"178","MW COG",,"(202) 667-1106","(202) 328-2652","DC",,,"yes"," ",," "," ","1520 NEWTON STREET NW","Anyone","Washington Free Clinic","http://www.wfclinic.org","Low-income persons","Contact","1525 Newton Street NW
,  20010
(38.93339273, -77.03580564)"
"179","MW COG",,"(202) 877-5767","(202) 877-7552","DC",,,"yes"," ",," "," ","110 IRVING STREET NW","Robert Bartlet","Washington Hospital Center, Dpt. of Psychiatry"," ","Anyone with Insurrance","Contact","106 Irving Street NW
,  20010
(38.92948864, -77.01576971)"
"180","MW COG",,"(202) 797-3500","(202) 797-3504","Metro DC",,,"yes","yes",,"yes","yes","1407 S STREET NW","Anyone","Whitman-Walker Clinic","http://www.wwc.org","AIDS/HIV Patients","Contact","1407 S Street NW
,  20009
(38.91425811, -77.03234695)"
"181","MW COG",,"(202) 546-1512","(202) 544-5365","DC",,,"yes","yes",," "," ","801 PENNSYLVANIA AVENUE SE","Emily Moody","Community Connections","http://www.ccdc1.org","DC Mental Illness Persons","Contact","801 Pennsylvania Avenue SE
,  20003
(38.88361925, -76.99440778)"
"182","MW COG",,"(202) 610-7160","(202) 610-7164","DC",,," "," ",," "," ","1328 W STREET SE","Stephanie L. Thomas","Unity Health Care","http://www.unityhealthcare.org","Call for Information","Contact","1328 W Street SE
,  20020
(38.86465929, -76.98683599)"
"183","MW COG",,"(202) 279-1800","(202) 645-0294","DC",,," "," ",," "," ","3720 MARTIN LUTHER KING JR AVENUE SE","Anyone","Unity Health Care","http://www.unityhealthcare.org","Call for Information","Contact","3720 Martin Luther King Jr Avenue SE
,  20032
(38.83707937, -77.0061908)"
"184","MW COG",,"(202) 548-4520","(202) 548-4538","DC",,," "," ",," "," ","850 DELAWARE AVENUE SW","Anyone","Unity Health Care","http://www.unityhealthcare.org","Call for Information","Contact","850 Delaware Avenue SW
,  20024
(38.87954242, -77.01242853)"
"185","MW COG",,"(202) 526-5344","(202) 529-1767","Metro DC",,," "," ",," ","yes","645 TAYLOR STREET NE","Marian Peele","Capital Area Food Bank","http://www.capitalareafoodbank.org","Call for Information","Contact","645 Taylor Street NE
,  20017
(38.94017586, -76.9968014)"
"186","MW COG",,"(202) 526-4100","(202) 526-1829","DC",,," "," ",," "," ","1438 RHODE ISLAND AVENUE NE","Jacquire Adams","Catholic Charities","http://www.catholiccharitiesdc.org","Families/Seniors/Handicap","Contact","1438 Rhode Island Avenue NE
,  20018
(38.92542883, -76.98459327)"
"187","MW COG",,"(202) 541-6153","(202) 576-6886","DC",,,"yes"," ",," ","yes","2601 18TH STREET NE","Theresa Hollins","Center Care Adult Day Treatment Program"," ","DC Residents 60+","Program Manager","2601 18th Street NE
,  20018
(38.92344661, -76.97814824)"
"188","MW COG",,"(202) 635-9384","(202) 832-4711","DC",,," ","yes",," "," ","2501 18TH STREET NE","Yvonne Turner","Christian Communities Group Homes, Inc.","http://www.ccghdc.org","DC Residents 60+","Manager","2501 18th Street NE
,  20018
(38.92265497, -76.97821364)"
"189","MW COG",,"(202) 832-6681","(202) 832-8454","Metro DC",,,"yes","yes",," "," ","3521 12TH STREET NE","Anyone","Deaf Reach","http://www.deafreach.org","Deaf/hard of hearing","Contact","3521 12th Street NE
,  20017
(38.93318789, -76.99077162)"
"190","MW COG",,"(202) 269-6333","(202) 269-2261","DC",,,"yes","yes",,"yes","yes","2100 NEW YORK AVENUE NE","Walter Askew","Salvation Army"," ","DC Residents in Need","Director","2100 New York Avenue NE
,  20002
(38.91784892, -76.97417162)"
"191","MW COG",,"(202) 347-5889","(202) 638-1803","DC",,," "," ",," ","yes","1204 3RD STREET NW","Hervin Green","3rd Street Church of God","http://www.thirdstreet.org","Homeless","Contact","1204 3rd Street NW
,  20001
(38.90611261, -77.01552229)"
"192","MW COG",,"(202) 328-2029","(202) 328-1044","DC",,,"yes"," ",," "," ","1501 COLUMBIA ROAD NW","Patricia DeFerrari","Academy of Hope","http://www.aohdc.org","Homeless Adults","Contact","1501 Columbia Road NW
,  20009
(38.92700292, -77.03600959)"
"193","MW COG",,"(202) 303-4509","(202) 303-0069","Metro DC",,,"yes"," ",," ","yes","2025 E STREET NW","Anyone","American Red Cross of the National Captial Area","http://www.redcrossnca.org","Metro DC Resident","Contact","2025 E Street NW
,  20006
(38.89641377, -77.04572092)"
