"name","type","gradelevels","public_private","schoolsystem","open_closed","name_former","full_address","city","state","zip","phone_number","website","geolocation","recno"
"Jefferson Terrace Elementary School","Elementary","K to 8","Public","East Baton Rouge Parish","O",,"5601 UPTON DR","BATON ROUGE","LOUISIANA","70809","225-293-3210","https://www.ebrschools.org/schools/","5601 UPTON DR
BATON ROUGE, LOUISIANA 70809
(30.397464, -91.077746)","929"
"University Terrace Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"575 W ROOSEVELT ST","BATON ROUGE","LOUISIANA","70802","225-387-2328","https://www.ebrschools.org/schools/","575 W ROOSEVELT ST
BATON ROUGE, LOUISIANA 70802
(30.421709, -91.182398)","386"
"Standard Heights School (historical)","Elementary",,"Public",,"C",,,,,,,,,"385"
"Reddy School (historical)","Elementary",,"Public",,"C",,,,,,,,,"369"
"Istrouma School","Elementary",,"Public",,"C",,,,,,,,,"486"
"Heritage Preparatory School","All Grades",,"Private",,"C",,,,,,,,,"526"
"Sherwood Middle Academic Magnet School","Middle","6 to 8","Public","East Baton Rouge Parish","O",,"1020 MARLBROOK DR","BATON ROUGE","LOUISIANA","70815","225-272-3090","https://www.ebrschools.org/schools/","1020 MARLBROOK DR
BATON ROUGE, LOUISIANA 70815
(30.445978, -91.062429)","422"
"Saint George Catholic School","Elementary","K to 8","Private","Catholic","O",,"7880 SAINT GEORGE DR","BATON ROUGE","LOUISIANA","70809","225-293-1298","http://st-georgeschool.com/","7880 SAINT GEORGE DR
BATON ROUGE, LOUISIANA 70809
(30.377786, -91.068764)","374"
"White Hills Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"5300 BENTLEY DR","BAKER","LOUISIANA","70714","225-775-5891","https://www.ebrschools.org/schools/","5300 BENTLEY DR
BAKER, LOUISIANA 70714
(30.593726, -91.138495)","392"
"Rosenwald Pre-K Center","Elementary","Pre-K","Public","East Baton Rouge Parish","C","Wright School","2611 DAYTON ST","BATON ROUGE","LOUISIANA","70805",,,"2611 DAYTON ST
BATON ROUGE, LOUISIANA 70805
(30.488154, -91.163914)","395"
"Bernard Terrace Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"241 EDISON ST","BATON ROUGE","LOUISIANA","70806","225-343-5769","https://www.ebrschools.org/schools/","241 EDISON ST
BATON ROUGE, LOUISIANA 70806
(30.446909, -91.147159)","457"
"Copper Mill Elementary School","Elementary",,"Public","Zachary Community","O",,"1300 INDEPENDENCE BLVD","ZACHARY","LOUISIANA","70791","225-658-1288","http://www.coppermillelementary.org/","1300 INDEPENDENCE BLVD
ZACHARY, LOUISIANA 70791
(30.64227, -91.19097)","609"
"Zachary Elementary School","Elementary",,"Public","Zachary Community","O",,"3775 HEMLOCK ST","ZACHARY","LOUISIANA","70791","225-654-4036","http://zacharyelementary.org/","3775 HEMLOCK ST
ZACHARY, LOUISIANA 70791
(30.640571, -91.166865)","544"
"Saint Jean Vianney Catholic School","Elementary","K to 8","Private","Catholic","O",,"16266 S HARRELL'S FERRY RD","BATON ROUGE","LOUISIANA","70816","225-751-1831","http://www.stjeanvianneyschool.org/","16266 S HARRELL'S FERRY RD
BATON ROUGE, LOUISIANA 70816
(30.425098, -91.005564)","424"
"Progress Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"855 PROGRESS RD","BATON ROUGE","LOUISIANA","70807","225-775-4986","https://www.ebrschools.org/schools/","855 PROGRESS RD
BATON ROUGE, LOUISIANA 70807
(30.537411, -91.185858)","367"
"ITI Technical College","College",,"Private","Private","O",,"13944 AIRLINE HWY","BATON ROUGE","LOUISIANA","70809","225-752-4233","https://www.iticollege.edu","13944 AIRLINE HWY
BATON ROUGE, LOUISIANA 70809
(30.368871, -91.028496)","850"
"Belfair Montessori Magnet School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"4451 FAIRFIELDS AVE","BATON ROUGE","LOUISIANA","70802","225-356-6191","https://www.ebrschools.org/schools/","4451 FAIRFIELDS AVE
BATON ROUGE, LOUISIANA 70802
(30.467559, -91.145855)","456"
"Southeast Middle Magnet School","Middle","6 to 8","Public","East Baton Rouge Parish","O",,"15000 S HARRELL'S FERRY RD","BATON ROUGE","LOUISIANA","70816","225-753-5930","https://www.ebrschools.org/schools/","15000 S HARRELL'S FERRY RD
BATON ROUGE, LOUISIANA 70816
(30.427887, -91.017797)","425"
"Eden Park Superintendent's Academy","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","C",,"1650 N ACADIAN THWY E","BATON ROUGE","LOUISIANA","70802","225-387-5224","http://ebr.oncoursesystems.com/websites/12782524","1650 N ACADIAN THWY E
BATON ROUGE, LOUISIANA 70802
(30.462765, -91.155328)","473"
"La Printaniere Montessori School","Elementary","K to 5","Private","Private","O",,"5064 PERKINS RD","BATON ROUGE","LOUISIANA","70808","225-769-2255","http://www.laprintaniere.com/","5064 PERKINS RD
BATON ROUGE, LOUISIANA 70808
(30.413188, -91.135956)","756"
"Redemptorist High School","High","7 to 12","Private","Catholic","C",,"4000 SAINT GERARD AVE","BATON ROUGE","LOUISIANA","70805",,,"4000 SAINT GERARD AVE
BATON ROUGE, LOUISIANA 70805
(30.497428, -91.148839)","440"
"Northeast Elementary School","Elementary","Pre-K to 6","Public","East Baton Rouge Parish","O",,"13801 PORT HUDSON-PRIDE RD","PRIDE","LOUISIANA","70770","225-654-5113","https://www.ebrschools.org/schools/","13801 PORT HUDSON-PRIDE RD
PRIDE, LOUISIANA 70770
(30.704617, -91.013777)","532"
"Idea Innovation Charter School","Elementary","K to 9","Public","Charter - EBRPSS","O",,"7800 INNOVATION PARK DR","BATON ROUGE","LOUISIANA","70820","225-953-7963","https://www.ideapublicschools.org/our-schools/idea-innovation","7800 INNOVATION PARK DR
BATON ROUGE, LOUISIANA 70820
(30.361797, -91.140963)","891"
"Eva Legard Center for Coastal and Environmental Studies","High","6 to 12","Public","East Baton Rouge Parish","O",,"10730 GOODWOOD BLVD","BATON ROUGE","LOUISIANA","70815","225-922-5472","https://ebrschools.org/eva-legard-center-for-coastal-and-environmental-studies/","10730 GOODWOOD BLVD
BATON ROUGE, LOUISIANA 70815
(30.446615, -91.065865)","507"
"J.K. Haynes Elementary Charter School","Elementary","Pre-K to 8","Public","Charter - EBRPSS","O","Harding Elementary School","8600 ELM GROVE GARDEN DR","BATON ROUGE","LOUISIANA","70807","225-774-1311","https://sites.google.com/view/jkhaynescharterschools/","8600 ELM GROVE GARDEN DR
BATON ROUGE, LOUISIANA 70807
(30.525938, -91.169222)","481"
"Church Academy","All Grades","Pre-K to 12","Private","Private","C","Christian Life Academy","2037 QUAIL DR","BATON ROUGE","LOUISIANA","70808","225-769-6760","http://gocrusaders.com/","2037 QUAIL DR
BATON ROUGE, LOUISIANA 70808
(30.396304, -91.130652)","445"
"Baton Rouge Community College - Frazier Campus","College",,"Public","Louisiana Community and Technical College System","O",,"555 JULIA ST","BATON ROUGE","LOUISIANA","70802","1-866-217-9823","http://www.mybrcc.edu/","555 JULIA ST
BATON ROUGE, LOUISIANA 70802
(30.437126, -91.18554)","669"
"Tanglewood Elementary School","Elementary","1 to 2","Public","Central Community","O",,"9352 RUSTLING OAKS DR","CENTRAL","LOUISIANA","70818","225-261-3454","http://tanglewood.centralcss.org/","9352 RUSTLING OAKS DR
CENTRAL, LOUISIANA 70818
(30.534127, -91.074714)","543"
"Park Forest Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"10717 ELAIN DR","BATON ROUGE","LOUISIANA","70814","225-272-0814","https://www.ebrschools.org/schools/","10717 ELAIN DR
BATON ROUGE, LOUISIANA 70814
(30.482477, -91.065621)","412"
"Central Middle School","Middle","6 to 8","Public","Central Community","O",,"12656 SULLIVAN RD","CENTRAL","LOUISIANA","70818","225-261-2237","http://centralmiddle.centralcss.org/","12656 SULLIVAN RD
CENTRAL, LOUISIANA 70818
(30.56447, -91.043502)","518"
"Glen Oaks Park Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"5656 LANIER DR","BATON ROUGE","LOUISIANA","70812","225-356-4521","https://www.ebrschools.org/schools/","5656 LANIER DR
BATON ROUGE, LOUISIANA 70812
(30.503577, -91.107847)","525"
"Villa Del Rey Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"9765 CUYHANGA PKWY","BATON ROUGE","LOUISIANA","70815","225-924-1606","https://www.ebrschools.org/schools/","9765 CUYHANGA PKWY
BATON ROUGE, LOUISIANA 70815
(30.46439, -91.0766)","388"
"Rollins Place Elementary School","Elementary","K to 2","Public","Zachary Community","O",,"4400 ROLLINS PL","ZACHARY","LOUISIANA","70791","225-658-1940","http://www.rollinsplaceelementary.org/","4400 ROLLINS PL
ZACHARY, LOUISIANA 70791
(30.668956, -91.162435)","608"
"Twin Oaks Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"819 TRAMMELL DR","BATON ROUGE","LOUISIANA","70815","225-275-6620","https://www.ebrschools.org/schools/","819 TRAMMELL DR
BATON ROUGE, LOUISIANA 70815
(30.45139, -91.038477)","427"
"Hosanna Christian Academy","All Grades","K to 8","Private","Private","O",,"8850 GOODWOOD BLVD","BATON ROUGE","LOUISIANA","70806","225-926-4885","http://hcablazers.org/","8850 GOODWOOD BLVD
BATON ROUGE, LOUISIANA 70806
(30.442758, -91.091564)","405"
"EBR Readiness High School","High","9 to 12","Public","East Baton Rouge Parish","O","Brookstown Middle Magnet Academy","4375 E BROOKSTOWN DR","BATON ROUGE","LOUISIANA","70805","225-355-6556","https://www.ebrschools.org/schools/","4375 E BROOKSTOWN DR
BATON ROUGE, LOUISIANA 70805
(30.490406, -91.128262)","461"
"Magnolia Woods Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"760 MAXINE DR","BATON ROUGE","LOUISIANA","70808","225-769-6845","https://www.ebrschools.org/schools/","760 MAXINE DR
BATON ROUGE, LOUISIANA 70808
(30.382721, -91.123552)","492"
"Family Christian Academy","All Grades","K to 12","Private","Private","O",,"8919 WORLD MINISTRY AVE","BATON ROUGE","LOUISIANA","70810","225-768-3026","http://fcacademy.net/","8919 WORLD MINISTRY AVE
BATON ROUGE, LOUISIANA 70810
(30.383764, -91.094261)","403"
"Park Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"2700 FUQUA ST","BATON ROUGE","LOUISIANA","70802","225-344-2145","https://www.ebrschools.org/schools/","2700 FUQUA ST
BATON ROUGE, LOUISIANA 70802
(30.457537, -91.160831)","505"
"Franciscan High School","High","9 to 12","Private","Catholic","O","Redemptorist High School","4000 SAINT GERARD AVE","BATON ROUGE","LOUISIANA","70805","225-615-7479","https://www.franciscanhigh.org","4000 SAINT GERARD AVE
BATON ROUGE, LOUISIANA 70805
(30.497428, -91.148839)","789"
"Istrouma Middle Magnet School","Middle","6 to 8","Public","East Baton Rouge Parish","O",,"3730 WINBOURNE AVE","BATON ROUGE","LOUISIANA","70805","225-636-2686","https://www.ebrschools.org/schools/","3730 WINBOURNE AVE
BATON ROUGE, LOUISIANA 70805
(30.478472, -91.152268)","485"
"Idea Bridge Charter School","Elementary","K to 8","Public","Charter - EBRPSS","O",,"1500 N AIRWAY DR","BATON ROUGE","LOUISIANA","70815","225-963-5910","https://ideapublicschools.org/our-schools/idea-bridge","1500 N AIRWAY DR
BATON ROUGE, LOUISIANA 70815
(30.462504, -91.097696)","890"
"EBR Readiness Superintendent's Academy","High","9 to 12","Public","East Baton Rouge Parish","C",,"2401 72ND AVE","BATON ROUGE","LOUISIANA","70807","225-757-9679","https://www.ebrschools.org/schools/","2401 72ND AVE
BATON ROUGE, LOUISIANA 70807
(30.514451, -91.167726)","629"
"Jefferson Terrace Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","C",,"9902 CAL RD","BATON ROUGE","LOUISIANA","70809","225-293-3210","https://www.ebrschools.org/schools/","9902 CAL RD
BATON ROUGE, LOUISIANA 70809
(30.40152, -91.072108)","487"
"Helix Mentorship STEAM Academy","High","9 to 12","Public","Charter - EBRPSS","O",,"339 FLORIDA ST","BATON ROUGE","LOUISIANA","70801","225-346-5180","https://www.helixmentorshipacademy.org/index.jsp","339 FLORIDA ST
BATON ROUGE, LOUISIANA 70801
(30.449328, -91.187497)","611"
"Highland Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"280 SUNSET BLVD","BATON ROUGE","LOUISIANA","70808","225-766-1272","https://www.ebrschools.org/schools/","280 SUNSET BLVD
BATON ROUGE, LOUISIANA 70808
(30.390832, -91.150915)","444"
"McKinley Middle Academic Magnet School of Visual and Performing Arts","Middle","6 to 8","Public","East Baton Rouge Parish","O",,"1550 EDDIE ROBINSON SR DR","BATON ROUGE","LOUISIANA","70802","225-388-0089","https://www.ebrschools.org/schools/","1550 EDDIE ROBINSON SR DR
BATON ROUGE, LOUISIANA 70802
(30.434155, -91.17398)","495"
"Saint Michael the Archangel Diocesan Regional High School","High","9 to 12","Private","Catholic","O","Bishop Sullivan High School","17521 MONITOR AVE","BATON ROUGE","LOUISIANA","70817","225-753-9782","http://www.smhsbr.org/","17521 MONITOR AVE
BATON ROUGE, LOUISIANA 70817
(30.408941, -90.989064)","400"
"Greenbrier Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"12203 CANTERBURY DR","BATON ROUGE","LOUISIANA","70814","225-275-4260","https://www.ebrschools.org/schools/","12203 CANTERBURY DR
BATON ROUGE, LOUISIANA 70814
(30.494787, -91.049536)","479"
"Woodlawn Magnet High School","High","9 to 12","Public","East Baton Rouge Parish","O",,"15755 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70817","225-753-1200","https://www.ebrschools.org/schools/","15755 JEFFERSON HWY
BATON ROUGE, LOUISIANA 70817
(30.372394, -91.012978)","394"
"Southern University","University",,"Public","Southern University System","O",,"803 HARDING BLVD","BATON ROUGE","LOUISIANA","70813","225-771-4500","http://www.subr.edu/","803 HARDING BLVD
BATON ROUGE, LOUISIANA 70813
(30.520387, -91.186499)","384"
"Southern University Laboratory School","All Grades","K to 12","Public","Southern University System","O",,"807 SWAN AVE","BATON ROUGE","LOUISIANA","70813","225-771-3490","http://www.sulabschool.com/","807 SWAN AVE
BATON ROUGE, LOUISIANA 70813
(30.523615, -91.18557)","628"
"Park Ridge Academic Magnet School","Elementary","Pre-K to 5","Public","City of Baker","O",,"5905 GROOM RD","BAKER","LOUISIANA","70714","225-775-5924","https://www.bakerschools.org/apps/pages/PRAMSchool","5905 GROOM RD
BAKER, LOUISIANA 70714
(30.583474, -91.133996)","534"
"Westdale Heights Academic Magnet School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"2000 COLLEGE DR","BATON ROUGE","LOUISIANA","70808","225-926-5421","https://www.ebrschools.org/schools/","2000 COLLEGE DR
BATON ROUGE, LOUISIANA 70808
(30.431241, -91.135187)","391"
"Idea University Prep","Elementary","K to 5","Public","Charter - EBRPSS","O",,"7701 PLANK RD","BATON ROUGE","LOUISIANA","70807","225-364-9805","https://ideapublicschools.org/our-schools/idea-university-prep/","7701 PLANK RD
BATON ROUGE, LOUISIANA 70807
(30.518602, -91.146421)","1011"
"Redemptorist St. Gerard School","Elementary","Pre-K to 8","Private","Catholic","O",,"3655 SAINT GERARD AVE","BATON ROUGE","LOUISIANA","70805","225-355-1437","http://rsgbr.org","3655 SAINT GERARD AVE
BATON ROUGE, LOUISIANA 70805
(30.49732, -91.152502)","375"
"Basis Baton Rouge Primary Mid City","Elementary","K to 5","Public","Charter - EBRPSS","O",,"7921 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70806","225-347-0209","https://enrollbasis.com/baton-rouge-mid-city/","7921 FLORIDA BLVD
BATON ROUGE, LOUISIANA 70806
(30.451954, -91.10627)","1010"
"Arlington Preparatory Academy","High","9 to 12","Public","East Baton Rouge Parish","O","Howell Park Elementary School","6125 WINBOURNE AVE","BATON ROUGE","LOUISIANA","70805","225-766-8188","https://www.ebrschools.org/schools/","6125 WINBOURNE AVE
BATON ROUGE, LOUISIANA 70805
(30.479238, -91.128728)","483"
"Country Day School of Baton Rouge","Elementary","Pre-K","Private","Private","O",,"3131 CONGRESS BLVD","BATON ROUGE","LOUISIANA","70808","225-761-4800","http://www.countrydayschoolbr.com/","3131 CONGRESS BLVD
BATON ROUGE, LOUISIANA 70808
(30.414203, -91.136229)","898"
"Country Day School of Baton Rouge","Elementary","Pre-K","Private","Private","O",,"7424 HIGHLAND RD","BATON ROUGE","LOUISIANA","70808","225-766-1159","http://www.countrydayschoolbr.com/","7424 HIGHLAND RD
BATON ROUGE, LOUISIANA 70808
(30.37744, -91.137619)","897"
"Woodlawn Middle Magnet School","Middle","6 to 8","Public","East Baton Rouge Parish","O",,"14939 TIGER BEND RD","BATON ROUGE","LOUISIANA","70817","225-751-0436","https://www.ebrschools.org/schools/","14939 TIGER BEND RD
BATON ROUGE, LOUISIANA 70817
(30.391292, -91.01603)","546"
"Ryan Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"10337 ELM GROVE GARDEN DR","BATON ROUGE","LOUISIANA","70807","225-775-2407","https://www.ebrschools.org/schools/","10337 ELM GROVE GARDEN DR
BATON ROUGE, LOUISIANA 70807
(30.539504, -91.169533)","537"
"Capitol  Avenue School (Historic)","Elementary",,"Public","East Baton Rouge Parish","C",,,,,,,,,"464"
"Country Day School of Baton Rouge","Elementary","Pre-K","Private","Private","O",,"4455 NORTH BLVD","BATON ROUGE","LOUISIANA","70806","225-928-4042","http://www.countrydayschoolbr.com/","4455 NORTH BLVD
BATON ROUGE, LOUISIANA 70806
(30.448567, -91.143788)","575"
"Baton Rouge University Preparatory Academy","Elementary","K to 5","Public","Charter","C",,"7802 HOWELL BLVD","BATON ROUGE","LOUISIANA","70807","225-364-9805","https://www.upelementary.org","7802 HOWELL BLVD
BATON ROUGE, LOUISIANA 70807
(30.518328, -91.154671)","869"
"Country Day School of Baton Rouge","Elementary","Pre-K","Private","Private","O",,"3743 SILVERSIDE DR","BATON ROUGE","LOUISIANA","70808","225-767-5259","http://www.countrydayschoolbr.com/","3743 SILVERSIDE DR
BATON ROUGE, LOUISIANA 70808
(30.394536, -91.112925)","896"
"CSAL Charter Middle School","Middle","6 to 8","Public","Charter - EBRPSS","O",,"1555 MADISON AVE","BATON ROUGE","LOUISIANA","70802","225-448-5399","https://mcs.csalcharterschools.org","1555 MADISON AVE
BATON ROUGE, LOUISIANA 70802
(30.467284, -91.173759)","502"
"Helix Legal Academy","Middle","6 to 7","Public","Charter - EBRPSS","O",,"339 FLORIDA ST","BATON ROUGE","LOUISIANA","70801","225-346-5180","https://helixlegalacademy.org","339 FLORIDA ST
BATON ROUGE, LOUISIANA 70801
(30.449328, -91.187497)","1012"
"Wildwood Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"444 HALFWAY TREE RD","BATON ROUGE","LOUISIANA","70810","225-766-6002","https://www.ebrschools.org/schools/","444 HALFWAY TREE RD
BATON ROUGE, LOUISIANA 70810
(30.371048, -91.11731)","438"
"Istrouma Magnet High School","High","9 to 12","Public","East Baton Rouge Parish","O",,"3730 WINBOURNE AVE","BATON ROUGE","LOUISIANA","70805","225-636-2686","https://www.ebrschools.org/schools/","3730 WINBOURNE AVE
BATON ROUGE, LOUISIANA 70805
(30.478472, -91.152268)","484"
"Claiborne Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"4707 DENHAM ST","BATON ROUGE","LOUISIANA","70805","225-357-9712","https://www.ebrschools.org/schools/","4707 DENHAM ST
BATON ROUGE, LOUISIANA 70805
(30.504619, -91.142845)","471"
"Riveroaks Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"950 FONTAINEBLEAU DR","BATON ROUGE","LOUISIANA","70819","225-275-4600","https://www.ebrschools.org/schools/","950 FONTAINEBLEAU DR
BATON ROUGE, LOUISIANA 70819
(30.454182, -91.021918)","415"
"LaBelle Aire Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"12255 TAMS DR","BATON ROUGE","LOUISIANA","70815","225-275-7480","https://www.ebrschools.org/schools/","12255 TAMS DR
BATON ROUGE, LOUISIANA 70815
(30.466657, -91.046249)","414"
"CSAL Elementary School","Elementary","K to 5","Public","Charter - EBRPSS","O",,"1555 MADISON AVE","BATON ROUGE","LOUISIANA","70802","225-448-5399","https://ces.csalcharterschools.org","1555 MADISON AVE
BATON ROUGE, LOUISIANA 70802
(30.467284, -91.173759)","971"
"Woodlawn Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"8160 ANTIOCH RD","BATON ROUGE","LOUISIANA","70817","225-756-3681","https://www.ebrschools.org/schools/","8160 ANTIOCH RD
BATON ROUGE, LOUISIANA 70817
(30.378437, -91.007387)","588"
"Westminster Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"8935 WESTMINSTER DR","BATON ROUGE","LOUISIANA","70809","225-927-2930","https://www.ebrschools.org/schools/","8935 WESTMINSTER DR
BATON ROUGE, LOUISIANA 70809
(30.409599, -91.092016)","430"
"Parkview Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"5660 PARKFOREST DR","BATON ROUGE","LOUISIANA","70816","225-753-5615","https://www.ebrschools.org/schools/","5660 PARKFOREST DR
BATON ROUGE, LOUISIANA 70816
(30.400361, -91.044148)","432"
"Wedgewood Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"2330 ASPENWOOD DR","BATON ROUGE","LOUISIANA","70816","225-753-7301","https://www.ebrschools.org/schools/","2330 ASPENWOOD DR
BATON ROUGE, LOUISIANA 70816
(30.435766, -91.012959)","426"
"South Baton Rouge Charter Academy","Elementary","PK to 8","Public","Charter - EBRPSS","O",,"9211 PARKWAY DR","BATON ROUGE","LOUISIANA","70810","225-349-7489","http://www.sbrcharter.org/","9211 PARKWAY DR
BATON ROUGE, LOUISIANA 70810
(30.354827, -91.114461)","632"
"Broadmoor Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"9650 GOODWOOD BLVD","BATON ROUGE","LOUISIANA","70815","225-925-0343","https://www.ebrschools.org/schools/","9650 GOODWOOD BLVD
BATON ROUGE, LOUISIANA 70815
(30.443621, -91.078815)","460"
"Brownfields Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"11615 ELLEN DR","BATON ROUGE","LOUISIANA","70811","225-775-3527","https://www.ebrschools.org/schools/","11615 ELLEN DR
BATON ROUGE, LOUISIANA 70811
(30.550716, -91.130505)","462"
"Second Chance Academy College","All Grades","K to 12","Private","Private","C",,"6748 RENOIR AVE","BATON ROUGE","LOUISIANA","70806","225-364-2442","http://www.sca-br.com","6748 RENOIR AVE
BATON ROUGE, LOUISIANA 70806
(30.461004, -91.121858)","583"
"CSAL Madison Preparatory Academy","High","9 to 12","Public","Charter","O",,"2269 N 17TH ST","BATON ROUGE","LOUISIANA","70802","225-448-5399","https://mpa.csalcharterschools.org","2269 N 17TH ST
BATON ROUGE, LOUISIANA 70802
(30.469685, -91.172469)","970"
"University View Academy","All Grades","K to 12","Public","Charter - Virtual","O",,"3113 VALLEY CREEK DR","BATON ROUGE","LOUISIANA","70808","225-421-2900","https://www.universityview.academy","3113 VALLEY CREEK DR
BATON ROUGE, LOUISIANA 70808
(30.419212, -91.137592)","730"
"EBR Readiness Middle Campus","Middle","6 to 8","Public","East Baton Rouge Parish","O","Beechwood Elementary School","2555 DESOTO DR","BATON ROUGE","LOUISIANA","70807","225-775-4285","https://www.ebrschools.org/schools/","2555 DESOTO DR
BATON ROUGE, LOUISIANA 70807
(30.554485, -91.164291)","516"
"Emerge School for Autism","Elementary","K to 5","Public","Charter - EBRPSS","O",,"7784 INNOVATION PARK DR","BATON ROUGE","LOUISIANA","70820","225-343-4232","https://www.emergeschool.org","7784 INNOVATION PARK DR
BATON ROUGE, LOUISIANA 70820
(30.362246, -91.141919)","762"
"Capitol Middle Magnet School","Middle","6 to 8","Public","East Baton Rouge Parish","O",,"5100 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70806","225-231-9292","https://www.ebrschools.org/schools/","5100 GREENWELL SPRINGS RD
BATON ROUGE, LOUISIANA 70806
(30.462555, -91.138681)","466"
"Park Forest Middle Creative Sciences and Art Magnet School","Middle","6 to 8","Public","East Baton Rouge Parish","O",,"3760 ALETHA DR","BATON ROUGE","LOUISIANA","70814","225-275-6650","https://www.ebrschools.org/schools/","3760 ALETHA DR
BATON ROUGE, LOUISIANA 70814
(30.483992, -91.074261)","409"
"Mayfair Laboratory School","Elementary","K to 8","Public","East Baton Rouge Parish","O",,"9880 HYACINTH AVE","BATON ROUGE","LOUISIANA","70810","225-761-7849","https://www.ebrschools.org/schools/","9880 HYACINTH AVE
BATON ROUGE, LOUISIANA 70810
(30.380864, -91.102256)","493"
"Winbourne Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"4503 WINBOURNE AVE","BATON ROUGE","LOUISIANA","70805","225-355-4446","https://www.ebrschools.org/schools/","4503 WINBOURNE AVE
BATON ROUGE, LOUISIANA 70805
(30.478723, -91.143926)","393"
"Glen Oaks Magnet High School","High","6 to 12","Public","East Baton Rouge Parish","O",,"6650 CEDAR GROVE DR","BATON ROUGE","LOUISIANA","70812","225-356-4306","https://www.ebrschools.org/schools/","6650 CEDAR GROVE DR
BATON ROUGE, LOUISIANA 70812
(30.511712, -91.121858)","476"
"Basis Baton Rouge Materra Campus","Elementary","K to 8","Public","Charter - EBRPSS","O",,"7550 MC CALL DR","BATON ROUGE","LOUISIANA","70817",,"https://www.basised.com/baton-rouge/","7550 MC CALL DR
BATON ROUGE, LOUISIANA 70817","889"
"Northdale Academy","High","6 to 12","Public","East Baton Rouge Parish","O","Red Oaks Elementary School","10755 CLETUS DR","BATON ROUGE","LOUISIANA","70815","225-272-2036","https://www.ebrschools.org/schools/","10755 CLETUS DR
BATON ROUGE, LOUISIANA 70815
(30.468609, -91.064999)","368"
"Southdowns Pre-K Center","Elementary","Pre-K to K","Public","East Baton Rouge Parish","O",,"2050 HOOD AVE","BATON ROUGE","LOUISIANA","70808","225-346-1127","https://www.ebrschools.org/schools/","2050 HOOD AVE
BATON ROUGE, LOUISIANA 70808
(30.417326, -91.151846)","383"
"EBR Readiness Elementary Campus","Elementary","K to 5","Public","East Baton Rouge Parish","O","Greenville Elementary School","1645 N FOSTER DR","BATON ROUGE","LOUISIANA","70802","225-930-5637","https://www.ebrschools.org/schools/","1645 N FOSTER DR
BATON ROUGE, LOUISIANA 70802
(30.463011, -91.139562)","480"
"Inspire Charter Academy","Elementary","K to 8","Public","Charter - EBRPSS","O",,"5454 N FOSTER DR","BATON ROUGE","LOUISIANA","70805","225-356-3936","https://www.nhaschools.com/schools/Inspire-Charter-Academy/en","5454 N FOSTER DR
BATON ROUGE, LOUISIANA 70805
(30.498455, -91.140967)","589"
"McKanstry Preparatory School","Elementary","PK to 6","Private","Private","C",,"10022 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814","225-272-0730","http://succee6.wix.com/mckanstryprepschool","10022 GREENWELL SPRINGS RD
BATON ROUGE, LOUISIANA 70814
(30.49038, -91.073067)","758"
"Zachary Career and Technical Center at Port Hudson","High",,"Public","Zachary Community","C","Port Hudson Elementary School","205 FLONACHER RD","ZACHARY","LOUISIANA","70791","225-658-7381",,"205 FLONACHER RD
ZACHARY, LOUISIANA 70791
(30.67112, -91.255586)","508"
