"the_geom","id","name","type","gradelevels","public_private","schoolsystem","name_former","full_address","city","state","zip","phone_number","website"
"POINT (-91.153458168294 30.47624842877)","239","Dalton Elementary A Redesign School","Elementary","Pre-K to 5","Public","Charter","Celerity Dalton Charter School","3605 ONTARIO ST","BATON ROUGE","LOUISIANA","70805","225-357-0244","https://www.redesignschoolslouisiana.org"
"POINT (-91.173572854417 30.467607010144)","206","CSAL Elementary School","Elementary","K to 5","Public","Charter - EBRPSS",,"1555 MADISON AVE","BATON ROUGE","LOUISIANA","70802","225-448-5399","https://ces.csalcharterschools.org"
"POINT (-91.135810976118 30.413908150237)","194","Country Day School of Baton Rouge","Elementary","Pre-K","Private","Private",,"3131 CONGRESS BLVD","BATON ROUGE","LOUISIANA","70808","225-761-4800","http://www.countrydayschoolbr.com/"
"POINT (-91.097075663264 30.463721525085)","186","Idea Bridge Charter School","Elementary","K to 8","Public","Charter - EBRPSS",,"1500 N AIRWAY DR","BATON ROUGE","LOUISIANA","70815","225-963-5910","https://ideapublicschools.org/our-schools/idea-bridge"
"POINT (-91.165283936493 30.587227513819)","247","Baker High School","High","9 to 12","Public","City of Baker",,"3200 GROOM RD","BAKER","LOUISIANA","70714","225-775-1259","https://www.bakerschools.org/apps/pages/BakerHighSchool"
"POINT (-91.185586906668 30.538282453614)","20","Progress Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"855 PROGRESS RD","BATON ROUGE","LOUISIANA","70807","225-775-4986","https://www.ebrschools.org/schools/"
"POINT (-91.039632346488 30.564374503693)","253","Central Middle School","Middle","6 to 8","Public","Central Community",,"12656 SULLIVAN RD","CENTRAL","LOUISIANA","70818","225-261-2237","http://centralmiddle.centralcss.org/"
"POINT (-91.035672089825 30.349006352887)","208","Agape School of Baton Rouge","Elementary","K to 8","Private","Private",,"17170 PERKINS RD","BATON ROUGE","LOUISIANA","70810","225-605-3055","https://agapeschoolofbr.com"
"POINT (-91.172938192561 30.468720966243)","205","CSAL Madison Preparatory Academy","High","9 to 12","Public","Charter",,"2269 N 17TH ST","BATON ROUGE","LOUISIANA","70802","225-448-5399","https://mpa.csalcharterschools.org"
"POINT (-91.116957428062 30.465032349664)","200","Geo Prep Mid City","Elementary","K to 8","Public","Charter",,"1900 LOBDELL BLVD","BATON ROUGE","LOUISIANA","70806","225-236-9333","https://geoprepmc.org/"
"POINT (-91.116558859434 30.370553639353)","220","Wildwood Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"444 HALFWAY TREE RD","BATON ROUGE","LOUISIANA","70810","225-766-6002","https://www.ebrschools.org/schools/"
"POINT (-91.110519642997 30.400309714604)","217","Franciscan Missionaries of Our Lady University","University",,"Private","Private","Our Lady of the Lake College","5414 BRITTANY DR","BATON ROUGE","LOUISIANA","70808","225-768-1700","https://franu.edu"
"POINT (-91.187379539639 30.449680044069)","157","Helix Mentorship STEAM Academy","High","9 to 12","Public","Charter - EBRPSS",,"339 FLORIDA ST","BATON ROUGE","LOUISIANA","70801","225-346-5180","https://www.helixmentorshipacademy.org/index.jsp"
"POINT (-91.145838924733 30.446949484958)","231","Bernard Terrace Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"241 EDISON ST","BATON ROUGE","LOUISIANA","70806","225-343-5769","https://www.ebrschools.org/schools/"
"POINT (-91.170050606532 30.538532591345)","65","Ryan Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"10337 ELM GROVE GARDEN DR","BATON ROUGE","LOUISIANA","70807","225-775-2407","https://www.ebrschools.org/schools/"
"POINT (-91.049817983282 30.495870306521)","245","Greenbrier Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"12203 CANTERBURY DR","BATON ROUGE","LOUISIANA","70814","225-275-4260","https://www.ebrschools.org/schools/"
"POINT (-91.15944993413 30.582783513377)","246","Baker Heights Elementary School","Elementary","Pre-K to 1","Public","City of Baker",,"3750 HARDING ST","BAKER","LOUISIANA","70714","225-775-1493","https://www.bakerschools.org/apps/pages/BHESchool"
"POINT (-91.04583889893 30.467227492231)","7","LaBelle Aire Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"12255 TAMS DR","BATON ROUGE","LOUISIANA","70815","225-275-7480","https://www.ebrschools.org/schools/"
"POINT (-91.139423459085 30.450343284313)","189","Louisiana Virtual Charter Academy","All Grades","Pre-K to 12","Public","Charter - Virtual",,"4962 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70806","877-490-3596","https://lavca.k12.com"
"POINT (-91.164449934463 30.555005507218)","154","EBR Readiness Middle Campus","Middle","6 to 8","Public","East Baton Rouge Parish","Beechwood Elementary School","2555 DESOTO DR","BATON ROUGE","LOUISIANA","70807","225-775-4285","https://www.ebrschools.org/schools/"
"POINT (-91.067201345646 30.540701482046)","191","Baton Rouge Community College - Central Campus","College",,"Public","Louisiana Community and Technical College System",,"10700 HOOPER RD","CENTRAL","LOUISIANA","70818","1-866-217-9823","http://www.mybrcc.edu/"
"POINT (-91.145648328435 30.46832741795)","230","Belfair Montessori Magnet School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"4451 FAIRFIELDS AVE","BATON ROUGE","LOUISIANA","70802","225-356-6191","https://www.ebrschools.org/schools/"
"POINT (-91.115445156042 30.354818134915)","179","South Baton Rouge Charter Academy","Elementary","PK to 8","Public","Charter - EBRPSS",,"9211 PARKWAY DR","BATON ROUGE","LOUISIANA","70810","225-349-7489","http://www.sbrcharter.org/"
"POINT (-91.131585061803 30.550678143018)","236","Brownfields Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"11615 ELLEN DR","BATON ROUGE","LOUISIANA","70811","225-775-3527","https://www.ebrschools.org/schools/"
"POINT (-91.138108434517 30.417904771314)","207","University View Academy","All Grades","K to 12","Public","Charter - Virtual",,"3113 VALLEY CREEK DR","BATON ROUGE","LOUISIANA","70808","225-421-2900","https://www.universityview.academy"
"POINT (-91.018338895054 30.541672508645)","252","Central High School","High","9 to 12","Public","Central Community",,"10200 E BROOKSIDE DR","CENTRAL","LOUISIANA","70818","225-261-3438","http://centralhigh.centralcss.org/"
"POINT (-91.075390246237 30.442325081877)","233","Broadmoor Senior High School","High","9 to 12","Public","East Baton Rouge Parish",,"10100 GOODWOOD BLVD","BATON ROUGE","LOUISIANA","70815","225-926-1420","https://www.ebrschools.org/schools/"
"POINT (-91.091949908103 30.410283478868)","144","Westminster Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"8935 WESTMINSTER DR","BATON ROUGE","LOUISIANA","70809","225-927-2930","https://www.ebrschools.org/schools/"
"POINT (-91.174794440301 30.433189331547)","135","McKinley Middle Academic Magnet School of Visual and Performing Arts","Middle","6 to 8","Public","East Baton Rouge Parish",,"1550 EDDIE ROBINSON SR DR","BATON ROUGE","LOUISIANA","70802","225-388-0089","https://www.ebrschools.org/schools/"
"POINT (-91.122783921354 30.503061497617)","263","Merrydale Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"6700 RIO DR","BATON ROUGE","LOUISIANA","70812","225-355-0346","https://www.ebrschools.org/schools/"
"POINT (-91.013687049379 30.436143102421)","16","Wedgewood Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"2330 ASPENWOOD DR","BATON ROUGE","LOUISIANA","70816","225-753-7301","https://www.ebrschools.org/schools/"
"POINT (-91.073108536284 30.484363994385)","143","Park Forest Middle Creative Sciences and Art Magnet School","Middle","6 to 8","Public","East Baton Rouge Parish",,"3760 ALETHA DR","BATON ROUGE","LOUISIANA","70814","225-275-6650","https://www.ebrschools.org/schools/"
"POINT (-91.011556804453 30.373532374779)","106","Woodlawn Magnet High School","High","9 to 12","Public","East Baton Rouge Parish",,"15755 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70817","225-753-1200","https://www.ebrschools.org/schools/"
"POINT (-91.143061926425 30.505005497095)","262","Claiborne Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"4707 DENHAM ST","BATON ROUGE","LOUISIANA","70805","225-357-9712","https://www.ebrschools.org/schools/"
"POINT (-91.18788129111 30.387974184423)","177","Thrive Academy","High","6 to 12","Public","Charter",,"2585 BRIGHTSIDE DR","BATON ROUGE","LOUISIANA","70820","225-239-7820","http://thrivebr.org/"
"POINT (-91.0447929155 30.400122441286)","47","Parkview Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"5660 PARKFOREST DR","BATON ROUGE","LOUISIANA","70816","225-753-5615","https://www.ebrschools.org/schools/"
"POINT (-91.15254786948 30.497826756487)","26","Redemptorist St. Gerard School","Elementary","Pre-K to 8","Private","Catholic",,"3655 SAINT GERARD AVE","BATON ROUGE","LOUISIANA","70805","225-355-1437","http://rsgbr.org"
"POINT (-91.187375886269 30.449592116251)","173","Helix Legal Academy","Middle","6 to 7","Public","Charter - EBRPSS",,"339 FLORIDA ST","BATON ROUGE","LOUISIANA","70801","225-346-5180","https://helixlegalacademy.org"
"POINT (-91.161116928983 30.458061486133)","137","Park Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"2700 FUQUA ST","BATON ROUGE","LOUISIANA","70802","225-344-2145","https://www.ebrschools.org/schools/"
"POINT (-91.022997713615 30.453875050358)","8","Riveroaks Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"950 FONTAINEBLEAU DR","BATON ROUGE","LOUISIANA","70819","225-275-4600","https://www.ebrschools.org/schools/"
"POINT (-91.17219836993 30.424477095479)","237","Buchanan Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"1222 E BUCHANAN ST","BATON ROUGE","LOUISIANA","70802","225-343-4585","https://www.ebrschools.org/schools/"
"POINT (-91.138637221814 30.377291399392)","193","Country Day School of Baton Rouge","Elementary","Pre-K","Private","Private",,"7424 HIGHLAND RD","BATON ROUGE","LOUISIANA","70808","225-766-1159","http://www.countrydayschoolbr.com/"
"POINT (-91.015195254277 30.392433407186)","73","Woodlawn Middle Magnet School","Middle","6 to 8","Public","East Baton Rouge Parish",,"14939 TIGER BEND RD","BATON ROUGE","LOUISIANA","70817","225-751-0436","https://www.ebrschools.org/schools/"
"POINT (-91.168061934379 30.526116500488)","76","J.K. Haynes Elementary Charter School","Elementary","Pre-K to 8","Public","Charter - EBRPSS","Harding Elementary School","8600 ELM GROVE GARDEN DR","BATON ROUGE","LOUISIANA","70807","225-774-1311","https://sites.google.com/view/jkhaynescharterschools/"
"POINT (-91.102480491823 30.380355759969)","84","Mayfair Laboratory School","Elementary","K to 8","Public","East Baton Rouge Parish",,"9880 HYACINTH AVE","BATON ROUGE","LOUISIANA","70810","225-761-7849","https://www.ebrschools.org/schools/"
"POINT (-91.175283939087 30.580283511804)","251","Baker Middle School","Middle","6 to 8","Public","City of Baker","Bakerfield Elementary School","2550 SOUTH ST","BAKER","LOUISIANA","70714","225-775-0550","https://www.bakerschools.org/apps/pages/BakerMiddleSchool"
"POINT (-91.148859785688 30.497811723754)","182","Franciscan High School","High","9 to 12","Private","Catholic","Redemptorist High School","4000 SAINT GERARD AVE","BATON ROUGE","LOUISIANA","70805","225-615-7479","https://www.franciscanhigh.org"
"POINT (-91.113376747497 30.394767354894)","192","Country Day School of Baton Rouge","Elementary","Pre-K","Private","Private",,"3743 SILVERSIDE DR","BATON ROUGE","LOUISIANA","70808","225-767-5259","http://www.countrydayschoolbr.com/"
"POINT (-91.189060176627 30.393784323531)","225","Louisiana School for the Visually Impaired","All Grades","Pre-K to 12","Public","Louisiana Board of Elementary and Secondary Education","Louisiana State School for the Blind","2888 BRIGHTSIDE DR","BATON ROUGE","LOUISIANA","70820","225-757-3481","http://lsvi.org/"
"POINT (-91.060968987018 30.381023840093)","216","Bethany College","College",,"Private","Private",,"10877 RIEGER RD","BATON ROUGE","LOUISIANA","70809","225-412-5308","http://www.bethanycollege.net"
"POINT (-91.161545939549 30.498260502132)","240","Delmont Pre-K/K Center","Elementary","Pre-K to K","Public","East Baton Rouge Parish",,"5300 DOUGLAS AVE","BATON ROUGE","LOUISIANA","70805","225-355-2106","https://www.ebrschools.org/schools/"
"POINT (-91.150194432396 30.576307284164)","183","Impact Charter Elementary School","Elementary","K to 8","Public","Charter",,"4815 LAVEY LN","BAKER","LOUISIANA","70714","225-308-9565","http://www.impactcharter.org/"
"POINT (-91.009648776461 30.377754675024)","146","Woodlawn Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"8160 ANTIOCH RD","BATON ROUGE","LOUISIANA","70817","225-756-3681","https://www.ebrschools.org/schools/"
"POINT (-91.031407207182 30.368493423534)","215","ITI Technical College","College",,"Private","Private",,"13944 AIRLINE HWY","BATON ROUGE","LOUISIANA","70809","225-752-4233","https://www.iticollege.edu"
"POINT (-91.128894921808 30.479727491925)","78","Arlington Preparatory Academy","High","9 to 12","Public","East Baton Rouge Parish","Howell Park Elementary School","6125 WINBOURNE AVE","BATON ROUGE","LOUISIANA","70805","225-766-8188","https://www.ebrschools.org/schools/"
"POINT (-91.147913848317 30.518458252475)","172","Idea University Prep","Elementary","K to 5","Public","Charter - EBRPSS",,"7701 PLANK RD","BATON ROUGE","LOUISIANA","70807","225-364-9805","https://ideapublicschools.org/our-schools/idea-university-prep/"
"POINT (-91.120805288126 30.467127026713)","190","Baton Rouge Community College - Ardendale Campus","College",,"Public","Louisiana Community and Technical College System",,"2115 LOBDELL BLVD","BATON ROUGE","LOUISIANA","70806","1-866-217-9823","http://www.mybrcc.edu/"
"POINT (-91.128330021791 30.58190359594)","211","Advantage Charter Academy","Elementary","K to 8","Public","Charter",,"14740 PLANK RD","BAKER","LOUISIANA","70714","225-774-3111","https://www.nhaschools.com/schools/Advantage-Charter-Academy/en"
"POINT (-91.17729643741 30.426476505336)","31","University Terrace Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"575 W ROOSEVELT ST","BATON ROUGE","LOUISIANA","70802","225-387-2328","https://www.ebrschools.org/schools/"
"POINT (-91.136587802227 30.462963364499)","238","Capitol Middle Magnet School","Middle","6 to 8","Public","East Baton Rouge Parish",,"5100 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70806","225-231-9292","https://www.ebrschools.org/schools/"
"POINT (-91.159482025987 30.446037679066)","227","Baton Rouge Magnet High School","High","9 to 12","Public","East Baton Rouge Parish",,"2825 GOVERNMENT ST","BATON ROUGE","LOUISIANA","70806","225-383-0520","https://www.ebrschools.org/schools/"
"POINT (-91.1325059185 30.381116470964)","223","Kenilworth Science and Technology School","Middle","6 to 8","Public","Charter",,"7600 BOONE DR","BATON ROUGE","LOUISIANA","70808","225-766-8111","https://www.kenilworthschool.org"
"POINT (-91.077043731315 30.397014083055)","197","Jefferson Terrace Elementary School","Elementary","K to 8","Public","East Baton Rouge Parish",,"5601 UPTON DR","BATON ROUGE","LOUISIANA","70809","225-293-3210","https://www.ebrschools.org/schools/"
"POINT (-91.033100145161 30.380600350033)","185","Basis Baton Rouge Materra Campus","Elementary","K to 8","Public","Charter - EBRPSS",,"7550 MC CALL DR","BATON ROUGE","LOUISIANA","70817",,"https://www.basised.com/baton-rouge/"
"POINT (-91.115882001864 30.514797352203)","258","Forest Heights Academy of Excellence","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","Forest Heights Elementary School","7447 SUMRALL DR","BATON ROUGE","LOUISIANA","70812","225-355-5681","https://www.ebrschools.org/schools/"
"POINT (-91.123093230621 30.466801233378)","188","EBR Career and Technical Education Center","High","9 to 12","Public","East Baton Rouge Parish",,"2101 LOBDELL BLVD","BATON ROUGE","LOUISIANA","70806","225-412-1663","https://www.ebrschools.org/schools/"
"POINT (-91.173735138072 30.46760470188)","248","CSAL Charter Middle School","Middle","6 to 8","Public","Charter - EBRPSS",,"1555 MADISON AVE","BATON ROUGE","LOUISIANA","70802","225-448-5399","https://mcs.csalcharterschools.org"
"POINT (-91.153894935898 30.654449528754)","249","Northwestern Middle School","Middle","6 to 8","Public","Zachary Community",,"5200 E CENTRAL AVE","ZACHARY","LOUISIANA","70791","225-654-9201","http://northwesternmiddle.org/"
"POINT (-91.064576078049 30.469466934454)","21","Northdale Academy","High","6 to 12","Public","East Baton Rouge Parish","Red Oaks Elementary School","10755 CLETUS DR","BATON ROUGE","LOUISIANA","70815","225-272-2036","https://www.ebrschools.org/schools/"
