"the_geom","id","description","facility_type","agency","owner","full_address","city","state","zip","phone_number","website","address_id"
"POINT (-91.164276774537 30.539837639642)","71","Mosquito Abatement and Rodent Control","MUNICIPAL OFFICES","MARC","CITY/PARISH","10550 VETERANS MEMORIAL BLVD","BATON ROUGE","LOUISIANA","70807",,,"173014"
"POINT (-91.18308489375 30.531652531849)","158","Kelly Terrace","PUBLIC HOUSING","EBRP HOUSING AUTHORITY","CITY/PARISH","999 ROSENWALD RD","BATON ROUGE","LOUISIANA","70807",,,"129791"
"POINT (-91.057332057101 30.492825660648)","87","EBRP Library Greenwell Springs Regional Branch","LIBRARY","EBR PARISH LIBRARY","CITY/PARISH","11300 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814","225-274-4480",,"10307"
"POINT (-91.19265179817 30.664253953266)","120","Zachary FD Station 82","FIRE PROTECTION","CITY OF ZACHARY","ZACHARY","2250 FLONACHER RD","ZACHARY","LOUISIANA","70791",,,"175510"
"POINT (-91.083968580261 30.413657322379)","321","St George FD Station 62","FIRE PROTECTION","ST GEORGE VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","9214 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70809",,,"121559"
"POINT (-91.128661746285 30.443073964751)","57","Goodwood Park","BREC PARK","BREC","BREC","6025 SEVENOAKS AVE","BATON ROUGE","LOUISIANA","70806","225-272-9200","http://brec.org/index.cfm/park/Goodwood","99583"
"POINT (-91.17467953287 30.447867600395)","30","North 14th Street Park","BREC PARK","BREC","BREC","100 N 14TH ST","BATON ROUGE","LOUISIANA","70802","225-343-0228","http://www.brec.org/index.cfm/park/North14thStreet","10"
"POINT (-91.179019536193 30.439017599635)","21","Expressway Park","BREC PARK","BREC","BREC","935 S 11TH ST","BATON ROUGE","LOUISIANA","70802","225-343-7110","http://brec.org/index.cfm/park/Expressway","124653"
"POINT (-91.177704477962 30.459193805213)","307","Department of Transportation and Development","STATE OFFICES","STATE OF LOUISIANA","STATE","1201 CAPITOL ACCESS RD","BATON ROUGE","LOUISIANA","70802",,,"14380"
"POINT (-91.103729084575 30.450194485508)","386","BRFD Station 8","FIRE PROTECTION","BATON ROUGE FIRE DEPARTMENT","CITY/PARISH","150 S WOODDALE DR","BATON ROUGE","LOUISIANA","70806",,,"165335"
"POINT (-91.073733564949 30.4946931261)","385","Wray Park","BREC PARK","BREC","BREC","9801 RIDGEWOOD DR","BATON ROUGE","LOUISIANA","70814","225-272-9200","http://www.brec.org/index.cfm/park/Wray","173134"
"POINT (-91.114600253235 30.455258132199)","407","BRPD Traffic Division","POLICE PROTECTION","BATON ROUGE POLICE DEPARTMENT","CITY/PARISH","7261 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70806","225-389-3874",,"142075"
"POINT (-91.138981538026 30.437763600987)","278","Webb Memorial Park And Golf Course","BREC PARK","BREC","BREC","1351 COUNTRY CLUB DR","BATON ROUGE","LOUISIANA","70806","225-383-4919","http://golf.brec.org/courses/webb-memorial/","23583"
"POINT (-91.091337737561 30.445337242321)","2","BRPD District 3 Station","POLICE PROTECTION","BATON ROUGE POLICE DEPARTMENT","CITY/PARISH","9000 AIRLINE HWY","BATON ROUGE","LOUISIANA","70815","225-389-2000","https://www.brla.gov/203/Police-Department","139586"
"POINT (-91.204959756287 30.69116572151)","157","Zachary FD Station 84","FIRE PROTECTION","CITY OF ZACHARY","ZACHARY","23060 BRIAN RD","ZACHARY","LOUISIANA","70791",,,"175511"
"POINT (-91.166681804867 30.502862142404)","42","Monte Sano Park","BREC PARK","BREC","BREC","2727 GREENWELL ST","BATON ROUGE","LOUISIANA","70805","225-357-9989","http://www.brec.org/index.cfm/park/MonteSano","63065"
"POINT (-91.160607403877 30.504743922455)","43","Alexander Street Park","BREC PARK","BREC","BREC","6000 ALEXANDER AVE","BATON ROUGE","LOUISIANA","70805","225-272-9200","http://www.brec.org/index.cfm/park/AlexanderStreet","143464"
"POINT (-91.166676604729 30.454510411419)","32","Gayosa Street Park","BREC PARK","BREC","BREC","2129 GAYOSA ST","BATON ROUGE","LOUISIANA","70802","225-272-9200","http://www.brec.org/index.cfm/park/Gayosa","53780"
"POINT (-91.161938089786 30.524875414063)","73","Juvenile Services and Court","COURTHOUSE","STATE OF LOUISIANA","STATE","8333 VETERANS MEMORIAL BLVD","BATON ROUGE","LOUISIANA","70807",,,"117210"
"POINT (-91.0186422639 30.45390715168)","319","Eastside FD Station 91","FIRE PROTECTION","EASTSIDE VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","15094 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70816",,,"30879"
"POINT (-91.047774811436 30.470774511912)","440","Labelle Aire Head Start","HEAD START","HEAD START","CITY/PARISH","1919 N CRISTY DR","BATON ROUGE","LOUISIANA","70815",,,"139377"
"POINT (-91.147013042118 30.343962726424)","162","EBRSO Gardere Substation","POLICE PROTECTION","EBR SHERIFFS OFFICE","CITY/PARISH","3777 L'AUBERGE CROSSING DR","BATON ROUGE","LOUISIANA","70820","225-389-5511",,"175205"
"POINT (-91.085182201079 30.427839611934)","344","Drusilla Lane Park","BREC PARK","BREC","BREC","2546 DRUSILLA LN","BATON ROUGE","LOUISIANA","70809","225-927-6882","http://www.brec.org/index.cfm/park/DrusillaLane","61300"
"POINT (-91.187558391074 30.462881705152)","398","LA Office of Information Technology","STATE OFFICES","STATE OF LOUISIANA","STATE","1800 N 3RD ST","BATON ROUGE","LOUISIANA","70802",,,"142439"
"POINT (-91.167704277233 30.466815103402)","374","Pawnee Street Park","BREC PARK","BREC","BREC","2100 SCENIC HWY","BATON ROUGE","LOUISIANA","70802","225-272-9200","http://www.brec.org/index.cfm/park/PawneeStreet","53016"
"POINT (-91.142327277658 30.461905644219)","406","BRPD Misdemeanor Investigations","POLICE PROTECTION","BATON ROUGE POLICE DEPARTMENT","CITY/PARISH","4778 GUS YOUNG AVE","BATON ROUGE","LOUISIANA","70802","225-389-4979","https://www.brla.gov/1654/Uniform-Patrol-Bureau","86785"
"POINT (-91.156952992365 30.429526705054)","29","Edward Avenue Park","BREC PARK","BREC","BREC","3000 EDWARD AVE","BATON ROUGE","LOUISIANA","70808","225-272-9200","http://www.brec.org/index.cfm/park/EdwardsAvenue","130163"
"POINT (-91.172371561331 30.425404949323)","26","Buchanan Park","BREC PARK","BREC","BREC","2300 MISSOURI ST","BATON ROUGE","LOUISIANA","70802","225-272-9200","http://www.brec.org/index.cfm/park/Buchanan","57410"
"POINT (-90.970709376998 30.667413844894)","115","Pride VFD Station 10","FIRE PROTECTION","PRIDE VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","20920 CARSON RD","PRIDE","LOUISIANA","70770",,,"52960"
"POINT (-91.165304495422 30.599346366144)","453","EBR Registrar of Voters Baker Branch","MUNICIPAL OFFICES","REGISTRAR OF VOTERS","CITY/PARISH","2250 MAIN ST","BAKER","LOUISIANA","70714",,,"182171"
"POINT (-91.130932713631 30.360534292115)","276","Burbank Conservation Area","BREC PARK","BREC","BREC","8858 BURBANK DR","BATON ROUGE","LOUISIANA","70820","225-272-9200","http://www.brec.org/index.cfm/park/BurbankConservation","228900"
"POINT (-91.034957878704 30.524411094691)","260","Lovett Road Park","BREC PARK","BREC","BREC","13443 LOVETT RD","CENTRAL","LOUISIANA","70818","225-261-0126","http://brec.org/index.cfm/park/LovettRoad","23293"
"POINT (-91.091701604999 30.47401882456)","351","Hartley/Vey Sports Park","BREC PARK","BREC","BREC","2615 OAK VILLA BLVD","BATON ROUGE","LOUISIANA","70814","225-382-3596","http://www.brec.org/index.cfm/park/HartleyVeyOakVilla","137992"
"POINT (-91.161750290773 30.492752536369)","402","BRPD Evidence/Crime Scene","POLICE PROTECTION","BATON ROUGE POLICE DEPARTMENT","CITY/PARISH","2905 EVANGELINE ST","BATON ROUGE","LOUISIANA","70805","225-389-3848","https://www.brla.gov/237/Criminal-Investigations-Bureau","65666"
"POINT (-90.997438228692 30.369687198816)","210","Erich Sternberg Family Park","BREC PARK","BREC","BREC","8715 ROUND OAK DR","BATON ROUGE","LOUISIANA","70817","225-272-9200","http://www.brec.org/index.cfm/park/ErichSternberg","142292"
"POINT (-91.105918781789 30.393797615661)","429","LA Public Broadcasting","STATE OFFICES","STATE OF LOUISIANA","STATE","7733 PERKINS RD","BATON ROUGE","LOUISIANA","70810",,,"143532"
"POINT (-91.159565523898 30.570381119705)","384","Dumas Memorial Golf Course","BREC PARK","BREC","BREC","3400 LAVEY LN","BAKER","LOUISIANA","70714","225-775-9166","http://www.brec.org/index.cfm/park/DumasMemorialGolf","161247"
"POINT (-91.197533859507 30.570183832945)","113","Alsen/St Irma Lee VFD Station 25","FIRE PROTECTION","ALSEN/ST IRMA LEE VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","674 OLD RAFE MAYER RD","BATON ROUGE","LOUISIANA","70807",,,"106048"
"POINT (-91.171893972988 30.46165472833)","421","LA State Property Control","STATE OFFICES","STATE OF LOUISIANA","STATE","1502 N 17TH ST","BATON ROUGE","LOUISIANA","70802",,,"143818"
"POINT (-91.058381298511 30.414457120298)","170","EMS Station 4","EMS","EMERGENCY MEDICAL SERVICES","CITY/PARISH","11010 COURSEY BLVD","BATON ROUGE","LOUISIANA","70816","225-389-5155",,"8280"
"POINT (-90.913302596073 30.345588617762)","258","Kendalwood Road Park","BREC PARK","BREC","BREC","24700 KENDALWOOD RD","BATON ROUGE","LOUISIANA","70817","225-272-9200","http://www.brec.org/index.cfm/park/Kendalwood","62665"
"POINT (-91.009088388 30.482260857443)","290","Hamilton Avenue Park","BREC PARK","BREC","BREC","16200 HAMILTON AVE","BATON ROUGE","LOUISIANA","70819","225-272-1917","http://www.brec.org/index.cfm/park/HamiltonAvenue","36196"
"POINT (-91.156081741598 30.648936665465)","119","Zachary FD Station 81","FIRE PROTECTION","CITY OF ZACHARY","ZACHARY","4525 MAIN ST","ZACHARY","LOUISIANA","70791",,,"144558"
"POINT (-91.062943995905 30.370690390718)","204","Gentilly Court Park","BREC PARK","BREC","BREC","13750 GENTILLY CT","BATON ROUGE","LOUISIANA","70810","225-272-9200","http://www.brec.org/index.cfm/park/GentillyCourt","28263"
"POINT (-91.154308018248 30.447763536921)","224","EBRP Library Recycled Reads","LIBRARY","EBR PARISH LIBRARY","CITY/PARISH","3434 NORTH BLVD","BATON ROUGE","LOUISIANA","70806","225-231-3750",,"72890"
"POINT (-91.172173492994 30.693414683211)","187","Quarterhorse Drive Park","BREC PARK","BREC","BREC","23400 QUARTER HORSE DR","ZACHARY","LOUISIANA","70791","225-272-9200","http://www.brec.org/index.cfm/park/QuarterhorseDrive","159590"
"POINT (-91.011441219094 30.342093333599)","207","Santa Maria Playground","BREC PARK","BREC","BREC","18460 SANTA MARIA PKWY","BATON ROUGE","LOUISIANA","70809","225-753-9372","http://www.brec.org/index.cfm/park/SantaMariaPark","171827"
"POINT (-91.09753703525 30.41301537858)","449","LA State Employees Retirement System","STATE OFFICES","STATE OF LOUISIANA","STATE","8401 UNITED PLAZA BLVD","BATON ROUGE","LOUISIANA","70809",,,"135737"
"POINT (-91.141804584636 30.578957779874)","284","Myrtle Street Park","BREC PARK","BREC","BREC","5530 MYRTLE ST","BAKER","LOUISIANA","70714","225-272-9200","http://www.brec.org/index.cfm/park/MyrtleStreet","161242"
"POINT (-91.156574767579 30.512350852426)","45","Scotlandville Parkway","BREC PARK","BREC","BREC","3200 HARDING BLVD","BATON ROUGE","LOUISIANA","70807","225-272-9200","http://www.brec.org/index.cfm/park/ScotlandvilleParkway","130204"
"POINT (-91.144273024346 30.532285065939)","405","BRPD Air Support","POLICE PROTECTION","BATON ROUGE POLICE DEPARTMENT","CITY/PARISH","4475 BLANCHE NOYES AVE","BATON ROUGE","LOUISIANA","70807","225-389-7918","https://www.brla.gov/291/Special-Operations","220079"
"POINT (-91.103610589788 30.423102151819)","445","LA State Troopers Association","STATE OFFICES","STATE OF LOUISIANA","STATE","8120 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70809",,,"115540"
"POINT (-91.008868333291 30.51761341042)","226","Central Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","6923 OAK CLUSTER DR","GREENWELL SPRINGS","LOUISIANA","70739",,"http://www.ebrcoa.org/","202924"
"POINT (-91.125777752 30.361693569403)","97","EBRSO Traffic Section","POLICE PROTECTION","EBR SHERIFFS OFFICE","CITY/PARISH","9313 BURBANK DR","BATON ROUGE","LOUISIANA","70820","225-389-4851",,"124120"
"POINT (-91.115095564002 30.466562525586)","330","LWC Business And Career Solutions Center","STATE OFFICES","STATE OF LOUISIANA","STATE","1991 WOODDALE BLVD","BATON ROUGE","LOUISIANA","70806",,,"50970"
"POINT (-91.129813872777 30.35449000603)","47","Hartley/Vey Park at Gardere (Gardere Lane Park)","BREC PARK","BREC","BREC","1702 GARDERE LN","BATON ROUGE","LOUISIANA","70820","225-272-9200","http://www.brec.org/index.cfm/park/HartleyVeyGardere","40009"
"POINT (-91.125882666038 30.523840158604)","318","District 6 FD Station 52","FIRE PROTECTION","HOOPER ROAD VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","6324 MICKENS RD","BATON ROUGE","LOUISIANA","70811",,,"102718"
"POINT (-91.03637705223 30.450832774258)","288","Flannery Road Park","BREC PARK","BREC","BREC","801 S FLANNERY RD","BATON ROUGE","LOUISIANA","70815","225-272-4615","http://brec.org/index.cfm/park/FlanneryRoad","114778"
"POINT (-91.08874336683 30.431886695487)","181","Old Hammond Highway Park","BREC PARK","BREC","BREC","8900 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70806","225-272-9200","http://www.brec.org/index.cfm/park/OldHammondHighway","120729"
"POINT (-91.187822382735 30.452890015711)","299","Iberville Building","STATE OFFICES","STATE OF LOUISIANA","STATE","627 N 4TH ST","BATON ROUGE","LOUISIANA","70802",,,"102019"
"POINT (-91.169605083163 30.5528864497)","355","Cunard Avenue Park","BREC PARK","BREC","BREC","2290 CUNARD AVE","BATON ROUGE","LOUISIANA","70807","225-272-9200","http://www.brec.org/index.cfm/park/CunardAvenue","57313"
"POINT (-91.232615022532 30.608578610807)","410","BRPD Pistol Range & EBRSO Training Facility","POLICE PROTECTION","BATON ROUGE POLICE DEPARTMENT","CITY/PARISH","999 W IRENE RD","ZACHARY","LOUISIANA","70791","225-389-8268","https://www.ebrso.org/WHO-WE-ARE/Divisions/Pistol-Range","129788"
"POINT (-91.186396009972 30.453910287829)","297","Louisiana State Museum","SPECIAL FACILITY","STATE OF LOUISIANA","STATE","660 N 4TH ST","BATON ROUGE","LOUISIANA","70802",,,"139117"
"POINT (-91.184964412166 30.420808663746)","15","Alaska Street Park","BREC PARK","BREC","BREC","3014 ALASKA ST","BATON ROUGE","LOUISIANA","70802","225-346-1311","http://www.brec.org/index.cfm/park/AlaskaStreet","67091"
"POINT (-91.190605073834 30.424708431483)","156","Central Wastewater Treatment Facility","PUBLIC WORKS","DEPARTMENT OF ENVIRONMENTAL SERVICES","CITY/PARISH","2443 S RIVER RD, STE B","BATON ROUGE","LOUISIANA","70802",,,"59926"
"POINT (-91.127817521031 30.44962313432)","426","DCFS Child Welfare","STATE OFFICES","STATE OF LOUISIANA","STATE","160 S ARDENWOOD DR","BATON ROUGE","LOUISIANA","70806",,,"137275"
"POINT (-91.18532038057 30.45298327822)","301","Galvez Building","STATE OFFICES","STATE OF LOUISIANA","STATE","602 N 5TH ST","BATON ROUGE","LOUISIANA","70802",,,"139122"
"POINT (-91.138239565708 30.464556765199)","83","EBRP Library Eden Park Branch","LIBRARY","EBR PARISH LIBRARY","CITY/PARISH","5131 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70806","225-231-3280",,"133974"
"POINT (-91.108458169227 30.64848021474)","152","Zachary FD Station 83","FIRE PROTECTION","CITY OF ZACHARY","ZACHARY","9366 MAIN ST","ZACHARY","LOUISIANA","70791",,,"196860"
"POINT (-91.198418986378 30.535472553941)","365","Wood Plaza","PUBLIC HOUSING","EBRP HOUSING AUTHORITY","CITY/PARISH","9990 AVENUE J","BATON ROUGE","LOUISIANA","70807",,,"129795"
"POINT (-91.050694525505 30.495574168158)","121","Central FD Station 32","FIRE PROTECTION","CENTRAL VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","4864 MONTICELLO BLVD","BATON ROUGE","LOUISIANA","70814",,,"138483"
"POINT (-91.137897980434 30.359084582101)","215","Armed Forces Reserve Center & BR Armory","MILITARY","STATE OF LOUISIANA","STATE","8110 INNOVATION PARK DR","BATON ROUGE","LOUISIANA","70820",,,"177413"
"POINT (-91.111170989426 30.449398455955)","343","Liberty Lagoon","BREC PARK","BREC","BREC","111 LOBDELL AVE","BATON ROUGE","LOUISIANA","70806","225-923-3202","http://www.libertylagoon.com/","158936"
"POINT (-91.176314690947 30.454463946502)","25","Spanish Town Park","BREC PARK","BREC","BREC","1300 SPANISH TOWN RD","BATON ROUGE","LOUISIANA","70802","225-272-9200","http://www.brec.org/index.cfm/park/SpanishTown","21044"
"POINT (-91.148370780871 30.419269936723)","103","BRFD Station 9","FIRE PROTECTION","BATON ROUGE FIRE DEPARTMENT","CITY/PARISH","4025 PERKINS RD","BATON ROUGE","LOUISIANA","70808",,,"79295"
"POINT (-91.09248703527 30.447095884378)","153","EMS Station 9 (future)","EMS","EMERGENCY MEDICAL SERVICES","CITY/PARISH","8912 AIRLINE HWY","BATON ROUGE","LOUISIANA","70815","225-389-5155",,"243564"
"POINT (-91.107975061692 30.445837522127)","214","LA Office of Motor Vehicles - EBR Office","STATE OFFICES","STATE OF LOUISIANA","STATE","7701 INDEPENDENCE BLVD","BAKER","LOUISIANA","70714",,,"133304"
"POINT (-91.005732302396 30.341710862325)","286","Santa Maria Golf Course","BREC PARK","BREC","BREC","18460 SANTA MARIA PKWY","BATON ROUGE","LOUISIANA","70810","225-752-9667","http://golf.brec.org/courses/santamaria/","134704"
"POINT (-91.186298573082 30.445546796152)","129","City-Parish Employees Retirement System","MUNICIPAL OFFICES","RETIREMENT SYSTEM","CITY/PARISH","209 SAINT FERDINAND ST","BATON ROUGE","LOUISIANA","70802",,,"52940"
"POINT (-91.042840900686 30.423944352525)","251","Camelot Park","BREC PARK","BREC","BREC","3166 LANCELOT DR","BATON ROUGE","LOUISIANA","70816","225-272-9200","http://www.brec.org/index.cfm/park/Camelot","69697"
"POINT (-91.172233652887 30.433564117303)","274","Brooks Park","BREC PARK","BREC","BREC","1650 EDDIE ROBINSON SR DR","BATON ROUGE","LOUISIANA","70802","225-387-1482","http://brec.org/index.cfm/park/CityBrooksCommunityPark","37909"
"POINT (-91.169683822535 30.650083244823)","185","Church Street Park","BREC PARK","BREC","BREC","3210 CHURCH ST","ZACHARY","LOUISIANA","70791","225-654-9861","http://brec.org/index.cfm/park/ChurchStreet","161231"
"POINT (-91.18554432819 30.443697663359)","137","City-Parish Employees Federal Credit Union","MUNICIPAL OFFICES","C-P EMPLOYEES FEDERAL CREDIT UNION","CITY/PARISH","433 GOVERNMENT ST","BATON ROUGE","LOUISIANA","70802",,,"82506"
"POINT (-91.11879449589 30.532712313301)","188","Hooper Road Park","BREC PARK","BREC","BREC","6261 GUYNELL DR","BATON ROUGE","LOUISIANA","70811","225-357-7903","http://brec.org/index.cfm/park/HooperRoad","102184"
"POINT (-91.16365186742 30.473460763709)","40","Wenonah Street Park","BREC PARK","BREC","BREC","2521 CHIPPEWA ST","BATON ROUGE","LOUISIANA","70805","225-272-9200","http://www.brec.org/index.cfm/park/WenonahStreet","150339"
"POINT (-91.063918311886 30.416352929312)","75","EBR Assessor Coursey Branch Office","MUNICIPAL OFFICES","EBRP ASSESSOR","CITY/PARISH","10500 COURSEY BLVD","BATON ROUGE","LOUISIANA","70816",,,"135291"
"POINT (-91.160314263369 30.638771856812)","174","Hunters Point Drive Park","BREC PARK","BREC","BREC","4366 HUNTERS POINT DR","ZACHARY","LOUISIANA","70791","225-272-9200","http://www.brec.org/index.cfm/park/HuntersPoint","161233"
"POINT (-91.039041924426 30.554637525786)","382","Central Police Department","POLICE PROTECTION","CITY OF CENTRAL","CENTRAL","13505 HOOPER RD","CENTRAL","LOUISIANA","70818","225-367-1254","https://www.centralgov.com/police-department","202772"
"POINT (-91.029483571877 30.342217403308)","326","St George FD Station 68","FIRE PROTECTION","ST GEORGE VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","326 HIGHLANDIA DR","BATON ROUGE","LOUISIANA","70810",,,"70887"
"POINT (-91.155052421034 30.49902157779)","236","Charles Kelly Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","3535 RILEY ST","BATON ROUGE","LOUISIANA","70805",,"http://www.ebrcoa.org/","142081"
"POINT (-91.111922930684 30.551579187637)","196","Cohn Nature Preserve","BREC PARK","BREC","BREC","11332 FOSTER RD","BATON ROUGE","LOUISIANA","70811","225-775-1006","http://www.brec.org/index.cfm/park/CohnNaturePreserve","138009"
"POINT (-91.046315988434 30.422321533114)","249","Longridge Park","BREC PARK","BREC","BREC","12127 LONGRIDGE AVE","BATON ROUGE","LOUISIANA","70816","225-272-9200","http://www.brec.org/index.cfm/park/Longridge","136618"
"POINT (-91.185327767221 30.524639421986)","334","Clarksdale Apartments","PUBLIC HOUSING","EBRP HOUSING AUTHORITY","CITY/PARISH","801 SWAN AVE","BATON ROUGE","LOUISIANA","70807",,,"177430"
"POINT (-91.171459560917 30.452206137826)","154","Lotus Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","1701 MAIN ST","BATON ROUGE","LOUISIANA","70802",,"http://www.ebrcoa.org/","39963"
"POINT (-91.017417985018 30.392224549181)","242","Woodlawn Walking Trail","BREC PARK","BREC","BREC","14939 TIGER BEND RD","BATON ROUGE","LOUISIANA","70817","225-272-9200","http://www.brec.org/index.cfm/park/WoodlawnWalkingTrail","30249"
"POINT (-91.188996076463 30.447659906071)","211","Shaw Center","SPECIAL FACILITY","STATE OF LOUISIANA","STATE","100 LAFAYETTE ST","BATON ROUGE","LOUISIANA","70801",,,"136159"
"POINT (-91.161062878072 30.58806498328)","117","Baker FD Station 21","FIRE PROTECTION","BAKER FIRE DEPARTMENT","BAKER","3701 GROOM RD","BAKER","LOUISIANA","70714",,,"144557"
"POINT (-91.120277664118 30.505830558158)","436","Children's World Early Head Start","HEAD START","HEAD START","CITY/PARISH","7200 MAPLEWOOD DR","BATON ROUGE","LOUISIANA","70812",,,"142076"
"POINT (-91.167521341067 30.639120762944)","379","39th Street Park","BREC PARK","BREC","BREC","3451 39TH ST","ZACHARY","LOUISIANA","70791","225-272-9200","http://www.brec.org/index.cfm/park/ThirtyNinthStreet","161232"
"POINT (-91.205014979557 30.691111240517)","4","EBRSO Zachary-Plains Substation","POLICE PROTECTION","EBR SHERIFFS OFFICE","CITY/PARISH","23060 BRIAN RD","ZACHARY","LOUISIANA","70791","225-389-5037",,"175511"
"POINT (-91.156000084153 30.470540360127)","5","BRFD Station 2","FIRE PROTECTION","BATON ROUGE FIRE DEPARTMENT","CITY/PARISH","3333 CHOCTAW DR","BATON ROUGE","LOUISIANA","70805",,,"151038"
"POINT (-91.119500629527 30.457628736955)","59","Saia Park","BREC PARK","BREC","BREC","855 N DONMOOR AVE","BATON ROUGE","LOUISIANA","70806","225-927-5092","http://www.brec.org/index.cfm/park/Saia","118699"
"POINT (-91.148002249005 30.493666594801)","60","Evangeline Street Park","BREC PARK","BREC","BREC","4201 EVANGELINE ST","BATON ROUGE","LOUISIANA","70805","225-272-9200","http://www.brec.org/index.cfm/park/EvangelineStreet","81108"
"POINT (-91.184212781506 30.652510079361)","342","EBRP Library Zachary Branch","LIBRARY","EBR PARISH LIBRARY","CITY/PARISH","1900 CHURCH ST","ZACHARY","LOUISIANA","70791","225-658-1880",,"144559"
"POINT (-91.005400679684 30.603271246933)","267","Yatasi Drive Park","BREC PARK","BREC","BREC","16941 YATASI DR","GREENWELL SPRINGS","LOUISIANA","70739","225-272-9200","http://www.brec.org/index.cfm/park/YatasiDrive","161245"
"POINT (-91.143098589956 30.452966404516)","172","Turner Plaza","PUBLIC HOUSING","EBRP HOUSING AUTHORITY","CITY/PARISH","4546 NORTH ST","BATON ROUGE","LOUISIANA","70806",,,"142189"
"POINT (-91.108675148933 30.486987116687)","348","Lanier Drive Park","BREC PARK","BREC","BREC","3901 LANIER DR","BATON ROUGE","LOUISIANA","70812","225-272-9200","http://www.brec.org/index.cfm/park/LanierDrive","77853"
"POINT (-91.179658763169 30.390753446959)","159","Sharlo Terrace Apartments","PUBLIC HOUSING","EBRP HOUSING AUTHORITY","CITY/PARISH","4915 ALVIN DARK AVE","BATON ROUGE","LOUISIANA","70820",,,"87776"
"POINT (-90.881603822737 30.691851277532)","312","Pride VFD Station 12","FIRE PROTECTION","PRIDE VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","38260 GREENWELL SPRINGS RD","CLINTON","LOUISIANA","70722",,,"138940"
"POINT (-91.233566180167 30.59987890943)","79","North Landfill","PUBLIC WORKS","DEPARTMENT OF ENVIRONMENTAL SERVICES","CITY/PARISH","16001 SAMUELS RD","ZACHARY","LOUISIANA","70791",,,"35261"
"POINT (-91.200807577204 30.38616536206)","14","River Bend Park","BREC PARK","BREC","BREC","5800 RIVERBEND LAKES DR","BATON ROUGE","LOUISIANA","70820","225-272-9200","http://www.brec.org/index.cfm/park/RiverBend","130328"
"POINT (-91.165588952137 30.458310677427)","309","Louisiana Workforce Commission","STATE OFFICES","STATE OF LOUISIANA","STATE","1001 N 23RD ST","BATON ROUGE","LOUISIANA","70802",,,"75"
"POINT (-91.18795848687 30.446498045429)","124","EBRP Library River Center Branch","LIBRARY","EBR PARISH LIBRARY","CITY/PARISH","250 SAINT LOUIS ST","BATON ROUGE","LOUISIANA","70802","225-389-4967",,"14322"
"POINT (-91.158560111095 30.497760280056)","44","Longfellow Park","BREC PARK","BREC","BREC","5201 LONGFELLOW DR","BAKER","LOUISIANA","70714","225-272-9200","http://brec.org/index.cfm/park/Longfellow","90706"
"POINT (-91.008004331886 30.388460141092)","244","Louisiana Park","BREC PARK","BREC","BREC","6998 ANTIOCH RD","BATON ROUGE","LOUISIANA","70817","225-272-9200","http://www.brec.org/index.cfm/park/Louisiana","107696"
"POINT (-91.106044378425 30.449158048656)","291","BRPD VCU","POLICE PROTECTION","BATON ROUGE POLICE DEPARTMENT","CITY/PARISH","7919 INDEPENDENCE BLVD","BATON ROUGE","LOUISIANA","70806",,,"133312"
"POINT (-91.187108573929 30.440720968909)","128","Cooperative Extension","MUNICIPAL OFFICES","STATE OF LOUISIANA","CITY/PARISH","805 SAINT LOUIS ST","BATON ROUGE","LOUISIANA","70802",,,"115126"
"POINT (-91.184534339301 30.443661038502)","106","BRFD Station 12","FIRE PROTECTION","BATON ROUGE FIRE DEPARTMENT","CITY/PARISH","555 GOVERNMENT ST","BATON ROUGE","LOUISIANA","70802",,,"94969"
"POINT (-91.178728271098 30.450415488684)","134","Public Works And Planning Center","MUNICIPAL OFFICES","PLANNING COMMISSION","CITY/PARISH","1100 LAUREL ST","BATON ROUGE","LOUISIANA","70802",,,"142369"
"POINT (-91.138068596681 30.380469926932)","104","BRFD Station 10","FIRE PROTECTION","BATON ROUGE FIRE DEPARTMENT","CITY/PARISH","7380 MENLO DR","BATON ROUGE","LOUISIANA","70808",,,"110747"
"POINT (-91.186902240933 30.426007213146)","18","Magnolia Mound Plantation","BREC PARK","BREC","BREC","2161 NICHOLSON DR","BATON ROUGE","LOUISIANA","70802","225-343-4955","http://www.brec.org/index.cfm/park/MagnoliaMoundPlantation","54732"
