"the_geom","id","address_id","business_name","full_address","city","address_jurisdiction","state","zip","country","phone_number","website","resource_type","sub_resource_type","shelter_location","address_authority","subdivision","business_naics_code","service_type","service_name","st_prefix_dir","st_name","st_suffix_type","st_suffix_dir","st_ext","private_street","ward_number","tax_section","longitude","condominium","frontage_road","street_jurisdiction","abc","street_name_complete","latitude","st_prefix_type","created_date","address_no_complete","modified_date"
"POINT (-91.11310961968 30.340428542537)","79270","137323",,"10321 SPRINGTREE AVE","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","PARISH","SPRINGLAKE AT BLUEBONNET HIGHLANDS",,,,,"SPRINGTREE","AVE",,,"NO","3","0","-91","NO","NO","EBRP",,"SPRINGTREE AVE","30",,,"10321",
"POINT (-91.17053509137 30.436772569189)","105195","41225",,"1729 TERRACE ST","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","HERO PARK",,,,,"TERRACE","ST",,,"NO","1","1","-91","NO","NO","BATON ROUGE",,"TERRACE ST","30",,,"1729",
"POINT (-91.180451022099 30.435362452696)","193914","138903",,"705 RIVER SOUTH WAY","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","RIVER SOUTH",,,,,"RIVER SOUTH","WAY",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"RIVER SOUTH WAY","30",,,"705",
"POINT (-91.074811354861 30.476211310699)","18962","1102","CORNERSTONE COMMERCIAL FLOORING","10125 MAMMOTH AVE","BATON ROUGE","EBRP","LOUISIANA","70814","UNITED STATES",,,"INDUSTRIAL",,"NO","BATON ROUGE","SOUTH PARK FOREST","321920",,,,"MAMMOTH","AVE",,,"NO","1","4","-91","NO","NO","BATON ROUGE","NO","MAMMOTH AVE","30",,,"10125",
"POINT (-91.167866015528 30.667457444843)","199514","196937",,"6475 MAPLE ST","ZACHARY","EBRP","LOUISIANA","70791","UNITED STATES",,,,,"NO","ZACHARY","ZACHARY HILLS ESTATES",,,,,"MAPLE","ST",,,"NO","2","3","-91","NO","NO","ZACHARY",,"MAPLE ST","31",,,"6475",
"POINT (-91.1349114781 30.467284306833)","128821","93846",,"5443 JACKSON AVE","BATON ROUGE","EBRP","LOUISIANA","70806","UNITED STATES",,,,,"NO","BATON ROUGE","EAST FAIRFIELDS",,,,,"JACKSON","AVE",,,"NO","1","2","-91","NO","NO","BATON ROUGE",,"JACKSON AVE","30",,,"5443",
"POINT (-91.116079293552 30.374445662196)","83146","122257",,"9107 WORTHINGTON LAKE AVE","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","BATON ROUGE","ESTATES AT WORTHINGTON LAKE, THE",,,,,"WORTHINGTON LAKE","AVE",,,"NO","1","3","-91","NO","NO",,,"WORTHINGTON LAKE AVE","30",,,"9107",
"POINT (-91.149885751872 30.444038536141)","29372","77800","RAGLAND, ADERMAN & ASSOCIATES, INC.","3888 GOVERNMENT ST","BATON ROUGE","EBRP","LOUISIANA","70806","UNITED STATES",,,"PROFESSIONAL SERVICES",,"NO","BATON ROUGE","CAPITAL HEIGHTS","541330",,,,"GOVERNMENT","ST",,,"NO","1","3","-91","NO","NO","BATON ROUGE","NO","GOVERNMENT ST","30",,,"3888",
"POINT (-91.083674587449 30.427970412585)","150387","59766","PREMIER CAREER SERVICES","2435 DRUSILLA LN","BATON ROUGE","EBRP","LOUISIANA","70809","UNITED STATES",,,"PROFESSIONAL SERVICES",,"NO","BATON ROUGE","INDEPENDENCE PLAZA","561000",,,,"DRUSILLA","LN",,,"NO","1","3","-91","NO","NO","BATON ROUGE","NO","DRUSILLA LN","30",,,"2435",
"POINT (-91.136295176678 30.581848042386)","162905","190865",,"812 CHIPLEY ST","BAKER","EBRP","LOUISIANA","70714","UNITED STATES",,,,,"NO","BAKER","PARK RIDGE",,,,,"CHIPLEY","ST",,,"NO","2","2","-91","NO","NO","BAKER",,"CHIPLEY ST","31",,,"812",
"POINT (-91.144143217438 30.442817983686)","111720","83617",,"4437 CAPITAL HEIGHTS AVE","BATON ROUGE","EBRP","LOUISIANA","70806","UNITED STATES",,,,,"NO","BATON ROUGE","CAPITAL HEIGHTS",,,,,"CAPITAL HEIGHTS","AVE",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"CAPITAL HEIGHTS AVE","30",,,"4437",
"POINT (-91.169076024276 30.51391620329)","91189","56705",,"2255 71ST AVE","BATON ROUGE","EBRP","LOUISIANA","70807","UNITED STATES",,,,,"NO","BATON ROUGE","BANK ADDITION",,,,,"71ST","AVE",,,"NO","1","2","-91","NO","NO","BATON ROUGE",,"71ST AVE","31",,,"2255",
"POINT (-91.13179108913 30.594268589545)","105466","54004",,"2135 RICHMOND ST","BAKER","EBRP","LOUISIANA","70714","UNITED STATES",,,,,"NO","PARISH","BOLWOOD ACRES",,,,,"RICHMOND","ST",,,"NO","2","1","-91","NO","NO","EBRP",,"RICHMOND ST","31",,,"2135",
"POINT (-90.982297530481 30.396915714971)","90180","99815",,"6042 PINE HOLLOW CT","BATON ROUGE","EBRP","LOUISIANA","70817","UNITED STATES",,,,,"NO","PARISH","LAKE AT WHITE OAK, THE",,,,,"PINE HOLLOW","CT",,,"NO","3","0","-91","NO","NO","EBRP",,"PINE HOLLOW CT","30",,,"6042",
"POINT (-91.18259005113 30.542037590152)","152937","149516",,"1123 BLOUNT RD","BATON ROUGE","EBRP","LOUISIANA","70807","UNITED STATES",,,,,"NO","BATON ROUGE","NORTH BATON ROUGE",,,,,"BLOUNT","RD",,,"NO","1","5","-91","NO","NO",,,"BLOUNT RD","31",,,"1123",
"POINT (-91.167398157834 30.555285704103)","90963","59536",,"2422 PLANTATION DR","BATON ROUGE","EBRP","LOUISIANA","70807","UNITED STATES",,,,,"NO","BATON ROUGE","BEECHWOOD",,,,,"PLANTATION","DR",,,"NO","1","5","-91","NO","NO","BATON ROUGE",,"PLANTATION DR","31",,,"2422",
"POINT (-91.080572952592 30.470766322995)","125491","126021",,"9479 W DARRYL PKWY","BATON ROUGE","EBRP","LOUISIANA","70815","UNITED STATES",,,,,"NO","BATON ROUGE","VILLA DEL REY",,,,"W","DARRYL","PKWY",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"W DARRYL PKWY","30",,,"9479",
"POINT (-91.154981886138 30.604370070823)","165661","222937",,"4200-4399 BURGESS DR","BAKER","EBRP","LOUISIANA","70714","UNITED STATES",,,,,"NO","BAKER","NONE",,,,,"BURGESS","DR",,,"NO","2","2","-91","NO","NO","BAKER",,"BURGESS DR","31",,,"4200-4399",
"POINT (-90.993358194698 30.390486023334)","88590","41819",,"17417 AMARYLLIS AVE","BATON ROUGE","EBRP","LOUISIANA","70817","UNITED STATES",,,,,"NO","PARISH","ROSE HILL",,,,,"AMARYLLIS","AVE",,,"NO","3","0","-91","NO","NO","EBRP",,"AMARYLLIS AVE","30",,,"17417",
"POINT (-91.179550964298 30.435040632203)","3746","145415",,"1428 THOMAS H DELPIT DR","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","RIVER SOUTH",,,,,"THOMAS H DELPIT","DR",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"THOMAS H DELPIT DR","30",,,"1428",
"POINT (-91.139982728237 30.467591032681)","111116","52798",,"2075 N FOSTER DR","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","EAST FAIRFIELDS",,,,"N","FOSTER","DR",,,"NO","1","2","-91","NO","NO","BATON ROUGE",,"N FOSTER DR","30",,,"2075",
"POINT (-90.984883059705 30.665549008482)","100328","139745",,"15445 MILLDALE RD","ZACHARY","EBRP","LOUISIANA","70791","UNITED STATES",,,,,"NO","PARISH","NONE",,,,,"MILLDALE","RD",,,"NO","2","1","-91","NO","NO","EBRP",,"MILLDALE RD","31",,,"15445",
"POINT (-91.124264847065 30.316658222106)","72123","70326",,"3225 BROAD MAGNOLIA CT","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","PARISH","UNIVERSITY CLUB PLANTATION",,,,,"BROAD MAGNOLIA","CT",,,"NO","3","0","-91","NO","NO","EBRP",,"BROAD MAGNOLIA CT","30",,,"3225",
"POINT (-91.050106778166 30.416277847825)","85873","80097","AMITE RIVER CONSTRUCTION INC","4101 PLAZA TOWER DR","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,"CONSTRUCTION",,"NO","BATON ROUGE","LAKE SHERWOOD COMMERCIAL COMPLEX","238000",,,,"PLAZA TOWER","DR",,,"NO","1","4","-91","NO","NO","BATON ROUGE","NO","PLAZA TOWER DR","30",,,"4101",
"POINT (-91.045646816744 30.39416094)","66047","17627","SEAUX JAZZY","12400 JEFFERSON HWY","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,,,"NO","PARISH","JEFFAIRE COMMERCIAL PARK","454000",,,,"JEFFERSON","HWY",,,"NO","3","0","-91","NO","NO",,"NO","JEFFERSON HWY","30",,,"12400","2022-05-05T19:44:01.000Z"
"POINT (-91.178790311626 30.385029081561)","25068","40681",,"1717 S BRIGHTSIDE VIEW DR, STE D","BATON ROUGE","EBRP","LOUISIANA","70820","UNITED STATES",,,,,"NO","BATON ROUGE","BRIGHTSIDE PARK",,,,"S","BRIGHTSIDE VIEW","DR",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"S BRIGHTSIDE VIEW DR","30",,,"1717 STE D",
"POINT (-91.128741181875 30.322613433295)","52162","248114",,"14436 CAROLINE WAY","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","PARISH","WOODSTOCK PARK",,,,,"CAROLINE","WAY",,,"NO","3","0","-91","NO","NO","EBRP",,"CAROLINE WAY","30",,,"14436","2021-07-27T12:33:28.000Z"
"POINT (-91.180587305318 30.431560776093)","53002","74197",,"354 ALICE ST","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","JOHNSTOWN NO. 1",,,,,"ALICE","ST",,,"NO","1","3","-91","NO","NO","ZACHARY",,"ALICE ST","30",,,"354",
"POINT (-91.048513371437 30.600837204944)","194395","208896",,"15909 JOOR RD","ZACHARY","EBRP","LOUISIANA","70791","UNITED STATES",,,,,"NO","CENTRAL","NONE",,,,,"JOOR","RD",,,"NO","3","1","-91","NO","NO",,,"JOOR RD","31",,,"15909",
"POINT (-91.149912938739 30.544358758564)","91014","80591",,"4140 BLOUNT RD","BATON ROUGE","EBRP","LOUISIANA","70807","UNITED STATES",,,,,"NO","BATON ROUGE","LIBERTY FARMS",,,,,"BLOUNT","RD",,,"NO","1","5","-91","NO","NO",,,"BLOUNT RD","31",,,"4140",
"POINT (-91.174021967351 30.438613713143)","115680","174628",,"1400-1500 MYRTLE ST","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","SUBURB SWART",,,,,"MYRTLE","ST",,,"NO","1","1","-91","NO","NO","BATON ROUGE",,"MYRTLE ST","30",,,"1400-1500",
"POINT (-91.232597448586 30.683448105718)","4920","160850",,"1091 PORT HUDSON-PLAINS RD","ZACHARY","EBRP","LOUISIANA","70791","UNITED STATES",,,,,"NO","PARISH","NONE",,,,,"PORT HUDSON-PLAINS","RD",,,"NO","2","5","-91","NO","NO",,,"PORT HUDSON-PLAINS RD","31",,,"1091",
"POINT (-91.16475376464 30.591362327807)","191625","222699",,"1500-1699 ALABAMA AVE","BAKER","EBRP","LOUISIANA","70714","UNITED STATES",,,,,"NO","BAKER","NONE",,,,,"ALABAMA","AVE",,,"NO","2","2","-91","NO","NO","BAKER",,"ALABAMA AVE","31",,,"1500-1699",
"POINT (-91.124719594378 30.323621475462)","52152","248104",,"14323 WALLY WAY","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","PARISH","WOODSTOCK PARK",,,,,"WALLY","WAY",,,"NO","3","0","-91","NO","NO","EBRP",,"WALLY WAY","30",,,"14323","2021-07-27T12:33:28.000Z"
"POINT (-91.178444936619 30.388227139943)","9850","235865",,"1750 BRIGHTSIDE DR, STE D","BATON ROUGE","EBRP","LOUISIANA","70820","UNITED STATES",,,,,"NO","BATON ROUGE","SHARLO",,,,,"BRIGHTSIDE","DR",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"BRIGHTSIDE DR","30",,,"1750 STE D",
"POINT (-91.19250116312 30.533217624205)","94313","127790","SAM TAYLOR PLUMBING LLC","9709 AVENUE C","BATON ROUGE","EBRP","LOUISIANA","70807","UNITED STATES",,,"CONSTRUCTION",,"NO","BATON ROUGE","HIGHLAND FARMS","238000",,,,"C",,,,"NO","1","5","-91","NO","NO","BATON ROUGE","NO","AVENUE C","31","AVENUE",,"9709",
"POINT (-91.175916516685 30.414576567804)","169399","232606",,"3753 HIGHLAND RD","BATON ROUGE","EBRP","LOUISIANA","70803","UNITED STATES",,,,,"NO","LSU","NONE",,,,,"HIGHLAND","RD",,,"NO","1","3","-91","NO","NO",,,"HIGHLAND RD","30",,,"3753",
"POINT (-91.089287735459 30.425516176837)","152460","63444",,"2605 FAIRWAY DR","BATON ROUGE","EBRP","LOUISIANA","70809","UNITED STATES",,,,,"NO","BATON ROUGE","COUNTRY CLUB VIEW",,,,,"FAIRWAY","DR",,,"NO","1","3","-91","NO","NO",,,"FAIRWAY DR","30",,,"2605",
"POINT (-90.995653802117 30.36932559566)","162347","224599",,"8950 FALLING OAK DR","BATON ROUGE","EBRP","LOUISIANA","70817","UNITED STATES",,,,,"NO","PARISH","OAK RIDGE ESTATES",,,,,"FALLING OAK","DR",,,"NO","3","0","-91","NO","NO","EBRP",,"FALLING OAK DR","30",,,"8950",
"POINT (-91.171286823765 30.441982393358)","113849","36905",,"1633 OLEANDER ST","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","CLARK",,,,,"OLEANDER","ST",,,"NO","1","1","-91","NO","NO","BATON ROUGE",,"OLEANDER ST","30",,,"1633",
"POINT (-91.040953992757 30.464471462032)","2792","22156",,"1325 DUCHESS DR","BATON ROUGE","EBRP","LOUISIANA","70815","UNITED STATES",,,,,"NO","BATON ROUGE","WINDSOR PLACE",,,,,"DUCHESS","DR",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"DUCHESS DR","30",,,"1325",
"POINT (-91.155725334683 30.483128166653)","114918","72153",,"3370 WINNEBAGO ST","BATON ROUGE","EBRP","LOUISIANA","70805","UNITED STATES",,,,,"NO","BATON ROUGE","NEW DAYTON",,,,,"WINNEBAGO","ST",,,"NO","1","2","-91","NO","NO","BATON ROUGE",,"WINNEBAGO ST","30",,,"3370",
"POINT (-91.044832135808 30.34583102546)","66373","17600",,"124 CHARTER RIDGE CT","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","PARISH","HIGHLAND RIDGE",,,,,"CHARTER RIDGE","CT",,,"NO","3","0","-91","NO","NO","EBRP",,"CHARTER RIDGE CT","30",,,"124",
"POINT (-91.040918908239 30.56796627944)","164449","203565",,"13125 DORSET AVE","CENTRAL","EBRP","LOUISIANA","70818","UNITED STATES",,,,,"NO","CENTRAL","JACKSON PLACE",,,,,"DORSET","AVE",,,"NO","3","1","-91","NO","NO","CENTRAL",,"DORSET AVE","31",,,"13125",
"POINT (-91.183177208832 30.439374057691)","103840","109228",,"720 SOUTH BLVD","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","SUBURB SWART",,,,,"SOUTH","BLVD",,,"NO","1","1","-91","NO","NO","BATON ROUGE",,"SOUTH BLVD","30",,,"720",
"POINT (-91.183227193249 30.670399681845)","200007","194108",,"6639 FENNWOOD DR","ZACHARY","EBRP","LOUISIANA","70791","UNITED STATES",,,,,"NO","ZACHARY","FENNWOOD",,,,,"FENNWOOD","DR",,,"NO","2","3","-91","NO","NO","ZACHARY",,"FENNWOOD DR","31",,,"6639",
"POINT (-91.091240131652 30.626012920981)","199955","203502",,"9060 ARLEEN AVE","ZACHARY","EBRP","LOUISIANA","70791","UNITED STATES",,,,,"NO","CENTRAL","NONE",,,,,"ARLEEN","AVE",,,"NO","3","1","-91","NO","NO","CENTRAL",,"ARLEEN AVE","31",,,"9060",
"POINT (-91.158000750017 30.478980098863)","14657","69797","LEGACY 1","3176 OZARK ST","BATON ROUGE","EBRP","LOUISIANA","70805","UNITED STATES",,,,,"NO","BATON ROUGE","ROSALIE PARK","532000",,,,"OZARK","ST",,,"NO","1","2","-91","NO","NO","BATON ROUGE","NO","OZARK ST","30",,,"3176","2022-04-07T17:21:32.000Z"
"POINT (-91.048586012472 30.403997104017)","11444","247420",,"5627 SUPERIOR DR, STE A6","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,,,"NO","BATON ROUGE","SHERWOOD FOREST OFFICE PARK",,,,,"SUPERIOR","DR",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"SUPERIOR DR","30",,,"5627 STE A6","2021-05-05T12:04:53.000Z"
"POINT (-90.999862323829 30.663401569892)","107690","155651",,"14580 MILLDALE RD","ZACHARY","EBRP","LOUISIANA","70791","UNITED STATES",,,,,"NO","PARISH","NONE",,,,,"MILLDALE","RD",,,"NO","2","1","-91","NO","NO","EBRP",,"MILLDALE RD","31",,,"14580",
"POINT (-91.109063414224 30.646320143533)","183761","196482",,"9325 ANGUS DR","ZACHARY","EBRP","LOUISIANA","70791","UNITED STATES",,,,,"NO","ZACHARY","LITTLE FARMS",,,,,"ANGUS","DR",,,"NO","2","3","-91","NO","NO","ZACHARY",,"ANGUS DR","31",,,"9325",
"POINT (-91.106589098314 30.557786132085)","190764","16847",,"12316 WHISPERING OAKS DR","BAKER","EBRP","LOUISIANA","70714","UNITED STATES",,,,,"NO","PARISH","WHISPERING OAKS",,,,,"WHISPERING OAKS","DR",,,"NO","2","1","-91","NO","NO","EBRP",,"WHISPERING OAKS DR","31",,,"12316",
"POINT (-91.040759610951 30.577892632163)","201007","204275",,"12975 OAK TREE DR N","CENTRAL","EBRP","LOUISIANA","70818","UNITED STATES",,,,,"NO","CENTRAL","RAMBLING OAKS",,,,,"OAK TREE","DR","N",,"NO","3","1","-91","NO","NO","CENTRAL",,"OAK TREE DR N","31",,,"12975",
"POINT (-91.169492213488 30.577996460828)","159314","187569","C AND H MART, LLC","310 MAIN ST","BAKER","EBRP","LOUISIANA","70714","UNITED STATES",,,"RETAIL","CONVENIENCE STORE","NO","BAKER","NONE","447000",,,,"MAIN","ST",,,"NO","2","2","-91","NO","NO","BAKER","YES","MAIN ST","31",,,"310",
"POINT (-91.162081248595 30.452392060122)","134100","61258",,"2543 MAIN ST","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","DUCHEIN PLACE",,,,,"MAIN","ST",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"MAIN ST","30",,,"2543",
"POINT (-91.145484777376 30.502395509143)","92820","96957","CITY ELECTRIC LLC","5742 DUTTON AVE","BATON ROUGE","EBRP","LOUISIANA","70805","UNITED STATES",,,"CONSTRUCTION",,"NO","BATON ROUGE","WOODLAWN","238000",,,,"DUTTON","AVE",,,"NO","1","2","-91","NO","NO","BATON ROUGE","NO","DUTTON AVE","31",,,"5742",
"POINT (-91.172136473651 30.524578693909)","9056","153286",,"1900-2000 SWAN AVE","BATON ROUGE","EBRP","LOUISIANA","70807","UNITED STATES",,,,,"NO","BATON ROUGE","JORDAN TERRACE",,,,,"SWAN","AVE",,,"NO","1","5","-91","NO","NO","BATON ROUGE",,"SWAN AVE","31",,,"1900-2000",
"POINT (-91.096416521264 30.433778116373)","120552","41002",,"1724 BEECHGROVE DR","BATON ROUGE","EBRP","LOUISIANA","70806","UNITED STATES",,,,,"NO","BATON ROUGE","TARA",,,,,"BEECHGROVE","DR",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"BEECHGROVE DR","30",,,"1724",
"POINT (-91.171090476945 30.403018790614)","170023","231062",,"4411 HIGHLAND RD","BATON ROUGE","EBRP","LOUISIANA","70808","UNITED STATES",,,,,"NO","BATON ROUGE","COLLEGE TOWN",,,,,"HIGHLAND","RD",,,"NO","1","3","-91","NO","NO",,,"HIGHLAND RD","30",,,"4411",
"POINT (-91.0928107997 30.363592169931)","56324","122102",,"907 RUE CROZAT","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","PARISH","IBERVILLE TERRACE",,,,,"CROZAT",,,,"NO","3","0","-91","NO","NO","EBRP",,"RUE CROZAT","30","RUE",,"907",
"POINT (-91.159629970636 30.441187104964)","111059","118014",,"845 S EUGENE ST","BATON ROUGE","EBRP","LOUISIANA","70806","UNITED STATES",,,,,"NO","BATON ROUGE","MONTE VISTA",,,,"S","EUGENE","ST",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"S EUGENE ST","30",,,"845",
"POINT (-91.117159012303 30.504116555566)","113349","110027",,"7302 WHITNEY DR","BATON ROUGE","EBRP","LOUISIANA","70812","UNITED STATES",,,,,"NO","PARISH","GREENDALE",,,,,"WHITNEY","DR",,,"NO","2","1","-91","NO","NO","EBRP",,"WHITNEY DR","31",,,"7302",
"POINT (-91.11702744761 30.507827005149)","101555","101261",,"6188 SHILOH ST","BATON ROUGE","EBRP","LOUISIANA","70812","UNITED STATES",,,,,"NO","PARISH","FAIRLANE",,,,,"SHILOH","ST",,,"NO","2","1","-91","NO","NO","EBRP",,"SHILOH ST","31",,,"6188",
"POINT (-91.099405536847 30.450400868809)","131279","117866",,"8431 N PARKLAND DR","BATON ROUGE","EBRP","LOUISIANA","70806","UNITED STATES",,,,,"NO","BATON ROUGE","PARKLAND TERRACE",,,,"N","PARKLAND","DR",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"N PARKLAND DR","30",,,"8431",
"POINT (-91.153934358571 30.34778729174)","37299","144925",,"14777 RIVER RD","BATON ROUGE","EBRP","LOUISIANA","70820","UNITED STATES",,,,,"NO","BATON ROUGE","NONE",,,,,"RIVER","RD",,,"NO","1","3","-91","NO","NO",,,"RIVER RD","30",,,"14777",
"POINT (-91.06316378105 30.429283270309)","26817","59759",,"2435 AUBIN LN","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,,,"NO","BATON ROUGE","AUBIN LAKE TOWNHOUSES",,,,,"AUBIN","LN",,,"NO","1","4","-91","NO","NO",,,"AUBIN LN","30",,,"2435",
"POINT (-91.119506966983 30.451987632329)","137220","107476","TIGER ONE STOP","6945 FLORIDA BLVD","BATON ROUGE","EBRP","LOUISIANA","70806","UNITED STATES",,,"RETAIL","SNAP RETAILER","NO","BATON ROUGE","MELROSE EAST","447000",,,,"FLORIDA","BLVD",,,"NO","1","3","-91","NO","NO","BATON ROUGE","YES","FLORIDA BLVD","30",,,"6945",
"POINT (-91.101890399587 30.391082590321)","46477","126012",,"9477 TASMANIA AVE","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","BATON ROUGE","HOMEWOOD",,,,,"TASMANIA","AVE",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"TASMANIA AVE","30",,,"9477",
"POINT (-91.009856006961 30.43740183359)","77657","54666",,"2158 ELKWOOD DR","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,,,"NO","BATON ROUGE","WEDGEWOOD",,,,,"ELKWOOD","DR",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"ELKWOOD DR","30",,,"2158",
"POINT (-91.085398285247 30.479319046278)","131439","124569",,"9342 DORCHESTER ST","BATON ROUGE","EBRP","LOUISIANA","70814","UNITED STATES",,,,,"NO","BATON ROUGE","PARK FOREST WEST",,,,,"DORCHESTER","ST",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"DORCHESTER ST","30",,,"9342",
"POINT (-91.022314152271 30.462476312676)","46073","244932",,"14740 FLORIDA BLVD, UNIT 1","BATON ROUGE","EBRP","LOUISIANA","70819","UNITED STATES",,,,,"NO","PARISH","FLORIDA HIGHWAY ACRES",,,,,"FLORIDA","BLVD",,,"NO","3","0","-91","NO","NO","BATON ROUGE",,"FLORIDA BLVD","30",,,"14740 UNIT 1","2020-11-30T19:27:16.000Z"
"POINT (-91.105643315899 30.388413342125)","164729","232123","ESQUIRE ELITE BARBERING LLC","8342 PERKINS RD, STE I","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","BATON ROUGE","NONE","812000",,,,"PERKINS","RD",,,"NO","1","3","-91","NO","NO",,"NO","PERKINS RD","30",,,"8342 STE I",
"POINT (-91.156846980181 30.480909003461)","20809","139039",,"3515 N ACADIAN THWY","BATON ROUGE","EBRP","LOUISIANA","70805","UNITED STATES",,,,,"NO","BATON ROUGE","NONE",,,,"N","ACADIAN","THWY",,,"NO","1","2","-91","NO","NO","BATON ROUGE",,"N ACADIAN THWY","30",,,"3515",
"POINT (-91.11436772947 30.370380518884)","79612","125128",,"9406 WILD VALLEY RD","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","BATON ROUGE","SOUTH HIGHLANDS",,,,,"WILD VALLEY","RD",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"WILD VALLEY RD","30",,,"9406",
"POINT (-91.05903610515 30.46716561138)","126964","10140",,"11243 TAMS DR","BATON ROUGE","EBRP","LOUISIANA","70815","UNITED STATES",,,,,"NO","BATON ROUGE","RED OAK",,,,,"TAMS","DR",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"TAMS DR","30",,,"11243",
"POINT (-91.149487067153 30.482847733325)","122931","75942",,"3724 DELAWARE ST","BATON ROUGE","EBRP","LOUISIANA","70805","UNITED STATES",,,,,"NO","BATON ROUGE","NEW DAYTON",,,,,"DELAWARE","ST",,,"NO","1","2","-91","NO","NO","BATON ROUGE",,"DELAWARE ST","30",,,"3724",
"POINT (-91.151036936283 30.467411938733)","116270","78035",,"3915 FAIRFIELDS AVE","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","BELFAIR HOMES",,,,,"FAIRFIELDS","AVE",,,"NO","1","1","-91","NO","NO","BATON ROUGE",,"FAIRFIELDS AVE","30",,,"3915",
"POINT (-91.038150422886 30.394048971304)","82163","20780","TRES STREET KITCHEN LLC","12901 JEFFERSON HWY","BATON ROUGE","EBRP","LOUISIANA","70817","UNITED STATES",,,,,"NO","PARISH","NONE","722000",,,,"JEFFERSON","HWY",,,"NO","3","0","-91","NO","NO",,,"JEFFERSON HWY","30",,,"12901",
"POINT (-91.097037210839 30.396149816833)","72595","119280",,"8639 ASTIN CT","BATON ROUGE","EBRP","LOUISIANA","70809","UNITED STATES",,,,,"NO","PARISH","SUMMA COURT",,,,,"ASTIN","CT",,,"YES","3","0","-91","NO","NO","EBRP",,"ASTIN CT","30",,,"8639",
"POINT (-90.996387887852 30.457277553987)","142681","40839",,"17212 LAKEPARK AVE","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,,,"NO","PARISH","LAKEPARK GARDEN HOMES",,,,,"LAKEPARK","AVE",,,"NO","3","0","-91","NO","NO","EBRP",,"LAKEPARK AVE","30",,,"17212",
"POINT (-91.065303094355 30.452061913237)","128412","6534",,"10736 SHERMOOR DR","BATON ROUGE","EBRP","LOUISIANA","70815","UNITED STATES",,,,,"NO","BATON ROUGE","BROADMOOR PARK",,,,,"SHERMOOR","DR",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"SHERMOOR DR","30",,,"10736",
