"casenumber","occurredfromdate","occurredthroughdate","reporteddate","disposition","dispositiondate","index_crime_category","statute","statutedescription","crimecode","crimecodedescription","nciccode","nciccodedescription","domestic","streetaddress","city","zip","location_point","patrol_division"
"2018-00004848","2018-01-18T15:45:00.000","2018-01-18T17:00:00.000","2018-01-30T21:32:10.000","Open","2018-01-30T21:32:10.000","Crimes Against Persons","18-3-402(4)(a) F3 (03)","Sexual Assault Physical Force - Strong Arm","11A","Forcible Rape","1103","Rape-Strong Arm","No",,,,,"Stetson Hills"
"2021-00013352","2021-04-05T12:00:00.000","2021-04-05T14:37:00.000","2021-04-05T14:37:40.000","Open","2021-04-05T14:37:40.000","Crimes Against Persons","18-6-302(1)(a) F3","Aggravated Incest - Defendant's Child under 21","36A","Incest","3604","Incest with Minor","No",,,,,"Stetson Hills"
"2016-00026714","2016-07-07T08:05:00.000","2016-07-07T08:05:00.000","2016-07-07T18:09:52.000","Person Returned","2016-07-27T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","600 N MURRAY BLVD","COLORADO SPRINGS","80915","POINT (-104.748123 38.841375)","Sand Creek"
"2017-00010791","2017-03-18T23:00:00.000","2017-03-19T10:00:00.000","2017-03-19T12:30:19.000","Person Returned","2017-03-20T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","6600 BARREL RACE DR","COLORADO SPRINGS","80923","POINT (-104.745137 38.924984)","Stetson Hills"
"2020-00036652","2020-10-20T13:37:00.000","2020-10-21T10:21:00.000","2020-10-22T09:23:35.000","Person Returned","2020-10-24T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","600 FREEMONT CIR","COLORADO SPRINGS","80919","POINT (-104.839242 38.920501)","Falcon"
"2021-00081293","2021-01-30T14:33:00.000","2021-01-31T23:25:00.000","2021-01-31T23:53:21.000","Open","2021-01-31T00:00:00.000","Crimes Against Society","9.2.107","HARASSMENT","90Z","All Other Offenses",,,,"6300 SNOWBIRD DR","COLORADO SPRINGS","80918","POINT (-104.783885 38.922548)","Falcon"
"2016-00017651","2016-05-03T00:01:00.000","2016-05-03T01:00:00.000","2016-05-03T23:35:15.000","Cleared by Arrest","2016-05-11T00:00:00.000","Crimes Against Persons","18-3-402(4)(a) F3 (03)","Sexual Assault Physical Force - Strong Arm","11A","Forcible Rape","1103","Rape-Strong Arm","No",,,,,"Gold Hill"
"2021-00013209","2021-04-03T22:00:00.000","2021-04-04T10:30:00.000","2021-04-04T10:59:33.000","Open","2021-04-04T10:59:33.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No",,,,,"Falcon"
"2018-00040268","2018-03-25T00:01:00.000","2018-04-25T23:59:00.000","2018-10-30T08:35:58.000","Open","2018-10-30T08:35:58.000","Crimes Against Persons","18-3-402(4)(a) F3 (03)","Sexual Assault Physical Force - Strong Arm","11A","Forcible Rape","1103","Rape-Strong Arm","No",,,,,"Stetson Hills"
"2019-00008155","2019-03-04T15:00:00.000","2019-03-04T15:09:00.000","2019-03-04T15:04:01.000","Cleared by Arrest","2019-03-04T15:04:01.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes",,,,,"Stetson Hills"
"2016-00001182","2016-01-01T11:30:00.000","2016-01-02T16:59:00.000","2016-01-02T16:59:21.000","Person Returned","2016-01-06T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No",,,,,"Stetson Hills"
"2022-00009509","2020-12-01T09:00:00.000","2021-07-30T09:00:00.000","2022-03-07T16:44:00.000","Open","2022-03-07T00:00:00.000","Crimes Against Persons","18-3-402(4)(a) F3 (03)","Sexual Assault Physical Force - Strong Arm","11A","Forcible Rape","1103","Rape-Strong Arm","No",,,,,"Sand Creek"
"2018-00003459","2018-01-19T22:00:00.000","2018-01-19T22:30:00.000","2018-01-19T22:30:26.000","Open","2018-01-20T00:00:00.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","Yes",,,,,"Gold Hill"
"2016-00018014","2016-05-06T14:36:00.000","2016-05-06T14:45:00.000","2016-05-06T16:51:30.000","Person Returned","2016-05-07T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","500 E COSTILLA ST","COLORADO SPRINGS","80903","POINT (-104.816035 38.828003)","Gold Hill"
"2016-00034772","2016-08-28T17:20:00.000","2016-08-28T19:17:00.000","2016-08-31T16:12:16.000","Open","2016-08-31T16:12:16.000","Crimes Against Property","18-4-401(2)(e) M1 (05) 1","Theft - $750 to $1999, Shoplifting","23C","Shoplifting","2303","Shoplifting","No",,,,,"Falcon"
"2017-00014833","2017-04-20T17:00:00.000","2017-04-20T17:00:00.000","2017-04-20T17:18:09.000","Cleared by Arrest","2017-04-20T17:18:09.000","Crimes Against Society","18-6-803.5(1)(a) M2","Violation of a Protection Order","90Z","All Other Offenses","5005","Contempt of Court","No",,,,,"Gold Hill"
"2017-00019163","2017-05-24T21:15:00.000","2017-05-24T21:43:00.000","2017-05-24T21:44:23.000","Cleared by Arrest","2017-05-24T00:00:00.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","Yes",,,,,"Stetson Hills"
"2016-00027050","2016-07-09T22:00:00.000","2016-07-10T07:15:00.000","2016-07-10T07:16:46.000","Person Returned","2017-07-19T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","4800 JET WING CIR","COLORADO SPRINGS","80916",,
"2021-00034654","2021-08-10T09:00:00.000","2021-08-10T12:00:00.000","2021-09-15T16:34:16.000","Open","2021-09-15T00:00:00.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes",,"COLORADO SPRINGS",,,
"2020-00034199","2020-10-01T22:00:00.000","2020-10-01T23:00:00.000","2020-10-02T07:58:56.000","Open","2020-10-02T07:58:56.000","Crimes Against Persons","18-3-402(4)(a) F3 (03)","Sexual Assault Physical Force - Strong Arm","11A","Forcible Rape","1103","Rape-Strong Arm","No",,,,,"Stetson Hills"
"2019-00015758","2019-05-02T20:30:00.000","2019-05-02T20:30:00.000","2019-05-02T22:20:37.000","Person Returned","2019-05-03T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","4500 TETMAN LN","COLORADO SPRINGS","80916","POINT (-104.743925 38.828084)","Sand Creek"
"2017-00029495","2017-08-15T03:00:00.000","2017-08-15T04:43:00.000","2017-08-15T04:43:00.000","Cleared by Arrest","2017-10-09T00:00:00.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes",,,,,"Sand Creek"
"2017-00008860","2017-03-03T20:00:00.000","2017-03-04T10:00:00.000","2017-03-04T10:20:12.000","Cleared by Arrest","2017-03-04T10:20:12.000","Crimes Against Society","18-4-506 M2 (1)","2nd Degree Criminal Tampering","90Z","All Other Offenses","7199","Property Crimes","Yes",,,,,"Gold Hill"
"2016-00025896","2016-07-02T00:47:00.000","2016-07-02T00:50:00.000","2016-07-02T00:47:11.000","Open","2016-07-02T00:47:11.000","Crimes Against Persons","18-3-404(1)(a) M1","Unlawful Sexual Contact No Consent","11D","Forcible Fondling","3601","Sex Offense - Against Child-Fondling","No",,,,,"Stetson Hills"
"2021-00032968","2021-09-03T03:55:00.000","2021-09-03T04:00:00.000","2021-09-03T04:00:06.000","Cleared by Arrest","2021-09-03T00:00:00.000","Crimes Against Society","18-6-803.5(1)(a) M2","Violation of a Protection Order","90Z","All Other Offenses","5005","Contempt of Court","Yes",,,,,"Sand Creek"
"2022-00003898","2022-01-23T17:00:00.000","2022-01-23T17:00:00.000","2022-01-23T21:49:03.000","Person Returned","2022-01-24T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No",,,,,"Sand Creek"
"2021-00005709","2021-02-04T11:00:00.000","2021-02-04T11:20:00.000","2021-02-04T11:14:28.000","Open","2021-02-04T11:14:28.000","Crimes Against Property","18-4-409(4) F6 REP","Aggravated MVT - 2nd Degree - $1000 - $19,999","240","Motor Vehicle Theft","2404","Vehicle Theft","No",,,,,"Gold Hill"
"2021-00013702","2021-04-08T04:00:00.000","2021-04-08T06:00:00.000","2021-04-08T08:32:37.000","Open","2021-04-08T08:32:37.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","Yes",,,,,"Stetson Hills"
"2018-00082550","2018-05-18T10:24:00.000","2018-05-18T10:35:00.000","2018-05-18T10:44:09.000","Open","2018-05-18T00:00:00.000","Crimes Against Society","9.2.107","HARASSMENT","90Z","All Other Offenses",,,,"3500 CONGENIAL PL","COLORADO SPRINGS","80917","POINT (-104.741198 38.883011)","Stetson Hills"
"2019-00042195","2019-11-11T14:20:00.000","2019-11-11T14:30:00.000","2019-11-11T14:24:24.000","Cleared by Arrest","2019-11-11T14:24:24.000","Crimes Against Society","18-6-803.5(2)(a) M1","Violation of a Protection Order - MPO","90Z","All Other Offenses","5005","Contempt of Court","Yes",,,,,"Sand Creek"
"2016-00043968","2016-11-04T08:15:00.000","2016-11-04T08:15:00.000","2016-11-04T15:16:42.000","Person Returned","2016-12-12T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","3300 KNOTWOOD DR","COLORADO SPRINGS","80910","POINT (-104.76661 38.804031)","Sand Creek"
"2018-00020081","2007-01-01T00:00:00.000","2011-12-31T00:00:00.000","2018-05-31T08:24:00.000","Exceptional Clearance","2018-07-05T00:00:00.000","Crimes Against Persons","18-6-301 F4","Incest","36A","Incest","3607","Incest with Adult","No",,,,,"Falcon"
"2017-00012110","2017-03-29T19:00:00.000","2017-03-30T10:00:00.000","2017-03-30T14:37:18.000","Open","2017-03-30T14:37:18.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No",,,,,"Gold Hill"
"2019-00019705","2019-05-31T19:00:00.000","2019-05-31T19:39:00.000","2019-05-31T21:09:20.000","Cleared by Arrest","2019-05-31T00:00:00.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes",,,,,"Gold Hill"
"2016-00006124","2016-02-08T12:00:00.000","2016-02-08T12:00:00.000","2016-02-08T17:20:16.000","Person Returned","2016-02-08T17:20:16.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","300 AUSTIN BLUFFS PKWY","COLORADO SPRINGS","80907",,
"2018-00016974","2018-04-23T07:30:00.000","2018-04-23T19:00:00.000","2018-05-07T10:31:15.000","Open","2018-05-07T10:31:15.000","Crimes Against Property","18-4-401(2)(c) M3(02)","Theft -$50 to $299, From Building","23D","Theft From Building","2308","Larceny-From Building",,,,,,"Falcon"
"2017-00016241","2017-04-11T12:30:00.000","2017-04-11T13:30:00.000","2017-05-02T09:55:14.000","Cleared by Arrest","2017-06-08T00:00:00.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes",,,,,"Sand Creek"
"2019-00022274","2019-05-12T00:01:00.000","2019-06-19T17:00:00.000","2019-06-20T10:35:00.000","Open","2019-06-20T10:35:00.000","Crimes Against Society","19-3-304(4)","DUTY TO REPORT CHILD ABUSE","90Z","All Other Offenses","7399","Public Order Crimes","No",,,,,"Sand Creek"
"2018-00022598","2017-11-17T00:01:00.000","2018-06-11T23:00:00.000","2018-06-19T08:17:00.000","Open","2022-02-17T00:00:00.000","Crimes Against Persons","18-6-301 F4","Incest","36A","Incest","3607","Incest with Adult","No",,,,,"Sand Creek"
"2022-00004090","2022-01-24T14:30:00.000","2022-01-24T21:30:00.000","2022-01-24T21:03:12.000","Open","2022-01-25T00:00:00.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No",,,,,"Sand Creek"
"2016-00016709","2016-04-26T20:38:00.000","2016-04-26T20:38:00.000","2016-04-26T20:38:48.000","Cleared by Arrest","2016-04-26T20:38:48.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes",,,,,"Falcon"
"2020-00036202","2020-10-18T23:00:00.000","2020-10-19T00:30:00.000","2020-10-19T00:11:36.000","Cleared by Arrest","2020-10-20T00:00:00.000","Crimes Against Persons","18-3-404(1)(a) M1","Unlawful Sexual Contact No Consent","11D","Forcible Fondling",,,"Yes",,,,,"Sand Creek"
"2017-00016042","2017-04-30T23:06:00.000","2017-04-30T23:06:00.000","2017-04-30T23:07:54.000","Cleared by Arrest","2017-05-01T00:00:00.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes",,,,,
"2019-00046286","2019-12-11T15:00:00.000","2019-12-11T20:00:00.000","2019-12-12T10:48:11.000","Cleared by Arrest","2019-12-13T00:00:00.000","Crimes Against Persons","18-3-402(5)(a)(II) F2 (03)","Sexual Assault SBI - Strong Arm","11A","Forcible Rape","1103","Rape-Strong Arm","No",,,,,
"2016-00018118","2016-05-05T08:00:00.000","2016-05-07T11:00:00.000","2016-05-07T10:26:28.000","Cleared by Arrest","2016-05-07T10:26:28.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","Yes",,,,,"Sand Creek"
"2020-00011803","2020-03-25T23:45:00.000","2020-03-26T00:08:00.000","2020-03-26T00:09:55.000","Warrant","2020-03-26T00:09:55.000","Crimes Against Society","18-6-803.5(1)(a) M2","Violation of a Protection Order","90Z","All Other Offenses","5005","Contempt of Court","Yes",,,,,"Sand Creek"
"2021-00031050","2021-08-19T08:00:00.000","2021-08-19T10:00:00.000","2021-08-20T18:04:07.000","Open","2021-08-20T00:00:00.000","Crimes Against Persons","18-3-402(1)(h) F3 (03)","Sexual Assault Victim Helpless - Strong Arm","11A","Forcible Rape","1103","Rape-Strong Arm","No",,,,,"Gold Hill"
"2016-00013290","2016-03-26T18:00:00.000","2016-03-26T20:00:00.000","2016-04-01T12:52:23.000","Open","2016-04-01T12:52:23.000","Crimes Against Persons","18-3-402(1)(a) F4 (03) REP","Sexual Assault Overcome Victim's Will - Strong-Arm","11A","Forcible Rape","1103","Rape-Strong Arm","No",,,,,"Falcon"
"2017-00040497","2017-11-05T17:00:00.000","2017-11-05T17:00:00.000","2017-11-08T17:03:07.000","Person Returned","2017-12-12T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","200 S CIRCLE DR","COLORADO SPRINGS","80910","POINT (-104.775898 38.82942)","Sand Creek"
"2018-00006078","2017-11-01T00:00:00.000","2017-11-30T00:00:00.000","2018-02-09T15:58:01.000","Exceptional Clearance","2018-02-09T15:58:01.000","Crimes Against Persons","18-6-301 F4","Incest","36A","Incest","3607","Incest with Adult","No",,,,,"Falcon"
"2019-00035897","2019-08-29T20:00:00.000","2019-08-29T20:00:00.000","2019-09-26T09:27:54.000","Warrant","2019-09-26T09:27:54.000","Crimes Against Society","18-3-412.6","Failure to verify location as a sex offender","90Z","All Other Offenses","7399","Public Order Crimes","No",,,,,"Gold Hill"
"2021-00036514","2021-09-25T20:00:00.000","2021-09-26T08:00:00.000","2021-09-28T18:48:00.000","Cleared by Arrest","2021-09-29T00:00:00.000","Crimes Against Persons","18-6-301 F4","Incest","36A","Incest","3607","Incest with Adult","No",,,,,"Gold Hill"
"2020-00012177","2020-03-29T15:23:00.000","2020-03-29T15:23:00.000","2020-03-29T15:24:00.000","Cleared by Arrest","2020-03-29T15:24:00.000","Crimes Against Society","42-4-1402(1)(2)(a) MT2 (2)","Careless Driving-Accident","99","Not Reportable",,,"No",,,,,"Falcon"
"2017-00029574","2017-08-14T06:25:00.000","2017-08-14T06:30:00.000","2017-08-15T13:08:05.000","Open","2017-08-15T13:08:05.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","Yes",,,,,"Gold Hill"
"2017-00039532","2017-10-31T08:50:00.000","2017-10-31T08:50:00.000","2017-11-01T08:51:25.000","Person Returned","2017-11-14T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","2100 AFTON WAY","COLORADO SPRINGS","80909","POINT (-104.783862 38.861307)","Stetson Hills"
"2022-00006999","2022-02-15T14:23:00.000","2022-02-15T15:00:00.000","2022-02-15T15:19:02.000","Open","2022-02-16T00:00:00.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle",,,"No",,,,,"Falcon"
"2018-00083572","2018-07-19T19:50:00.000","2018-07-19T19:50:00.000","2018-07-19T19:53:22.000","Open","2018-07-23T00:00:00.000","Crimes Against Society","9.2.107","HARASSMENT","90Z","All Other Offenses",,,,"2000 SUSSEX LN","COLORADO SPRINGS","80909","POINT (-104.759581 38.861678)","Stetson Hills"
"2016-00021176","2016-05-28T09:30:00.000","2016-05-28T09:35:00.000","2016-05-28T10:27:38.000","Open","2016-05-28T10:27:38.000","Crimes Against Society","9.2.107","HARASSMENT","90Z","All Other Offenses","5309","Harassing Communication","No","2000 E BIJOU ST","COLORADO SPRINGS","80909",,
"2016-00003601","2016-01-05T02:00:00.000","2016-01-05T03:00:00.000","2016-01-19T18:18:21.000","Cleared by Arrest","2016-01-28T00:00:00.000","Crimes Against Persons","18-6-301 F4","Incest","36A","Incest","3607","Incest with Adult","No",,,,,"Stetson Hills"
"2016-00005562","2016-02-03T15:00:00.000","2016-02-03T15:00:00.000","2016-02-04T03:26:55.000","Unfounded","2016-03-21T00:00:00.000","Crimes Against Persons","18-3-402(4)(a) F3 (03)","Sexual Assault Physical Force - Strong Arm","11A","Forcible Rape","1103","Rape-Strong Arm","No",,,,,"Sand Creek"
"2018-00032218","2018-08-27T10:30:00.000","2018-08-27T10:30:00.000","2018-08-30T13:57:33.000","Open","2018-08-30T13:57:33.000","Crimes Against Persons","18-3-402(4)(a) F3 (01)","Sexual Assault Physical Force - Gun","11A","Forcible Rape","1101","Rape-Gun","No",,,,,"Sand Creek"
"2017-00026842","2017-07-24T13:35:00.000","2017-07-24T13:35:00.000","2017-07-24T13:35:23.000","Open","2017-07-24T13:35:23.000","Crimes Against Society","19-3-304(4)","DUTY TO REPORT CHILD ABUSE","90Z","All Other Offenses","7399","Public Order Crimes","No",,,,,"Gold Hill"
"2017-00037581","2017-10-16T18:00:00.000","2017-10-16T18:20:00.000","2017-10-16T18:20:02.000","Cleared by Arrest","2017-12-26T00:00:00.000","Crimes Against Society","18-9-111(1)(c) M3","Harassment - Follow a Person in Public","90Z","All Other Offenses","5309","Harassing Communication","No",,,,,"Gold Hill"
"2022-00003106","2022-01-16T15:00:00.000","2022-01-17T23:14:00.000","2022-01-17T23:14:06.000","Cleared by Arrest","2022-01-20T00:00:00.000","Crimes Against Persons","18-3-303(1) M2","False Imprisonment","100","Kidnapping/Abduction","1008","Abduct-No Ransom or Assault","Yes",,,,,"Gold Hill"
"2019-00004208","2019-02-02T08:50:00.000","2019-02-02T09:05:00.000","2019-02-02T09:01:43.000","Open","2019-02-02T09:01:43.000","Crimes Against Society","18-3-208 M3","Reckless Endangerment Engage in Reckless Conduct/Risk of SBI","90Z","All Other Offenses","7099","Crimes Against Person","No",,,,,"Sand Creek"
"2020-00080460","2020-02-01T00:00:00.000","2020-02-01T08:00:00.000","2020-02-01T13:07:18.000","Open","2020-02-01T00:00:00.000","Crimes Against Property","42-5-104(1) M1","Theft of motor vehicle parts - Value less than $1,000","23G","Theft Of Motor Vehicle Parts","2304","Larceny-Parts From Vehicle",,,,,,
"2022-00022771","2022-06-17T12:30:00.000","2022-06-17T12:45:00.000","2022-06-17T12:45:56.000","Open","2022-06-18T00:00:00.000","Crimes Against Property","18-4-409 (2)(a) F5","Agg MVT 1st Degree-Possession over 24 hours Less than $20,000","240","Motor Vehicle Theft","2404","Vehicle Theft","No",,"COLORADO SPRINGS",,,
"2022-00028776","2022-08-01T05:50:00.000","2022-08-01T06:01:00.000","2022-08-01T06:01:36.000","Cleared by Arrest","2022-08-01T00:00:00.000","Crimes Against Property","18-4-401(2)(b) PO (02)","Theft - < $300 From Building","23D","Theft From Building","2308","Larceny-From Building","No",,"COLORADO SPRINGS",,,
"2021-00085614","2021-07-15T07:40:00.000","2021-07-18T07:40:00.000","2021-07-23T07:56:01.000","Open","2021-07-23T00:00:00.000","Crimes Against Property","42-5-104(1) M1","Theft of motor vehicle parts - Value less than $1,000","23G","Theft Of Motor Vehicle Parts","2304","Larceny-Parts From Vehicle",,,"Colorado Springs",,,
"2020-00083837","2020-09-20T17:00:00.000","2020-09-21T07:00:00.000","2020-09-28T12:54:28.000","Open","2020-09-28T00:00:00.000","Crimes Against Property","18-4-401(2)(f) F6 (01)","Theft - $2000 to $4999, Not Otherwise Classified","23H","All Other Larceny",,,,"11900 ARTFUL WAY","COLORADO SPRINGS","80921",,
"2021-00012859","2021-03-30T19:00:00.000","2021-03-31T08:00:00.000","2021-04-01T14:24:08.000","Open","2021-04-01T14:24:08.000","Crimes Against Property","18-4-501(1) M3(1)","Criminal Mischief under $300-Business","290","Destruction/Damage/Vandalism of Property","2901","Damage Property-Business","No",,"COLORADO SPRINGS",,,
"2017-00038410","2017-02-01T08:00:00.000","2017-02-28T08:00:00.000","2017-10-23T11:34:59.000","Open","2017-10-23T11:34:59.000","Crimes Against Persons","18-3-402(4)(a) F3 (03)","Sexual Assault Physical Force - Strong Arm","11A","Forcible Rape","1103","Rape-Strong Arm","No",,,,,
"2022-00027093","2022-07-19T21:30:00.000","2022-07-20T06:30:00.000","2022-07-20T08:09:41.000","Open","2022-07-20T00:00:00.000","Crimes Against Property","18-4-502(1)(b) M1","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No",,"COLORADO SPRINGS",,,
"2016-00019267","2016-05-14T15:00:00.000","2016-05-15T17:30:00.000","2016-05-15T18:02:10.000","Open","2016-05-15T18:02:10.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No",,,,,"Stetson Hills"
"2020-00013512","2020-04-10T14:45:00.000","2020-04-10T14:45:00.000","2020-04-11T09:59:04.000","Person Returned","2022-08-29T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","5200 ZACHARY GRV","COLORADO SPRINGS","80919","POINT (-104.862648 38.906109)","Falcon"
"2020-00022664","2020-06-26T21:45:00.000","2020-06-28T04:47:00.000","2020-06-30T06:50:16.000","Open","2020-06-30T06:50:16.000","Crimes Against Property","18-4-401(2)(c) M3(01)","Theft - $50 to $299, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)","No",,"COLORADO SPRINGS",,,
"2018-00043356","2018-11-20T14:00:00.000","2018-11-21T16:33:00.000","2018-11-21T17:13:44.000","Person Returned","2018-11-22T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","1300 KEITH DR","COLORADO SPRINGS","80916","POINT (-104.740641 38.813696)","Sand Creek"
"2018-00042967","2018-11-16T17:00:00.000","2018-11-16T17:00:00.000","2018-11-18T09:22:11.000","Person Returned","2018-11-21T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","1300 OSWEGO ST","COLORADO SPRINGS","80904","POINT (-104.8516 38.859233)","Gold Hill"
"2021-00003088","2021-01-01T08:00:00.000","2021-01-16T06:00:00.000","2021-01-14T14:14:57.000","Open","2021-01-16T00:00:00.000","Crimes Against Property","18-4-401(2)(c) M3(01)","Theft - $50 to $299, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)","No",,,,,"Gold Hill"
"2020-00011046","2020-03-17T23:00:00.000","2020-03-18T08:30:00.000","2020-03-18T11:00:16.000","Open","2020-03-18T11:00:16.000","Crimes Against Property","18-4-401(2)(f) F6 (01)","Theft - $2000 to $4999, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)","No",,"COLORADO SPRINGS",,,
"2022-00001245","2022-01-03T00:00:00.000","2022-01-03T10:15:00.000","2022-01-03T10:27:49.000","Open","2022-01-03T00:00:00.000","Crimes Against Property","18-4-401(2)(f) F6 (01)","Theft - $2000 to $4999, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)","No",,"COLORADO SPRINGS",,,
"2022-00006123","2021-10-24T08:00:00.000","2021-10-25T02:10:00.000","2022-02-07T17:17:35.000","Open","2022-02-09T00:00:00.000","Crimes Against Property","18-4-401(2)(c) M3(01)","Theft - $50 to $299, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)","No",,"COLORADO SPRINGS",,,
"2020-00018472","2020-05-24T00:10:00.000","2020-05-24T10:00:00.000","2020-05-24T00:10:15.000","Open","2020-05-24T00:10:15.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No",,"COLORADO SPRINGS",,,
"2022-00015743","2022-04-25T08:00:00.000","2022-04-25T08:00:00.000","2022-04-25T08:00:13.000","Cleared by Arrest","2022-04-25T00:00:00.000","Crimes Against Society","18-4-504(2) PO","3rd Degree Criminal Trespass","90J","Trespass of Real Property","5707","Trespassing (describe offense)",,,"COLORADO SPRINGS",,,
"2020-00024452","2020-01-27T12:00:00.000","2020-07-04T00:00:00.000","2020-07-14T15:52:27.000","Open","2020-07-14T15:52:27.000","Crimes Against Persons","18-3-303(1) M2","False Imprisonment","100","Kidnapping/Abduction","1008","Abduct-No Ransom or Assault","Yes",,,,,"Gold Hill"
"2022-00027017","2022-07-18T20:30:00.000","2022-07-19T07:30:00.000","2022-07-19T07:43:30.000","Open","2022-07-19T00:00:00.000","Crimes Against Property","18-4-502(1)(b) M1","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No",,"COLORADO SPRINGS",,,
"2017-00043765","2017-12-05T15:05:00.000","2017-12-05T15:05:00.000","2017-12-05T16:55:43.000","Person Returned","2017-12-23T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No",,,,,"Falcon"
"2019-00018722","2019-05-23T16:00:00.000","2019-05-23T16:00:00.000","2019-05-24T16:16:32.000","Person Returned","2019-05-26T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","12500 ROCKBRIDGE CIR","COLORADO SPRINGS","80921","POINT (-104.806745 39.012088)","Falcon"
"2020-00030010","2020-08-13T00:26:00.000","2020-08-13T02:43:00.000","2020-08-29T08:56:53.000","Open","2020-08-29T08:56:53.000","Crimes Against Property","18-4-409 (2)(a) F5","Agg MVT 1st Degree-Possession over 24 hours Less than $20,000","240","Motor Vehicle Theft","2404","Vehicle Theft","No",,"COLORADO SPRINGS",,,
