"event_event_name","division","event_record_type","dca_event_date","zip_code","event_county","number_of_adults","number_of_students","final_attendance","event_type","activity","fiscal_year","fips_county_code","primary_lat_dec","primary_long_dec","county_primary_point"
"Englert Theater Consultation","Museum","History Activity","2016-05-19T00:00:00.000","52240","Johnson","3","0","3","Professional Expertise","Professional Services/Consultation","2016","19103","41.6715511","-91.5880849","POINT (-91.5880849 41.6715511)"
"ISU University Archives and Special Collections Meeting and Vault Tour","Museum","History Activity","2016-08-25T00:00:00.000","503198","Polk","7","0","7","Professional Expertise","Professional Services/Consultation","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"?Collection Stewardship workshop for Iowa Museum Association","Museum","History Activity","2017-04-24T00:00:00.000","51248","O'Brien","20","0","20","Professional Expertise","Panelist/Conversation","2017","19141","43.0837527","-95.6248784","POINT (-95.6248784 43.0837527)"
"Collections Access-Flag Inquiry","Museum","History Activity","2016-09-09T00:00:00.000","50319","Polk","0","1","1","Professional Expertise","Professional Services/Consultation","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Hoyt Sherman flag collection","Museum","History Activity","2016-02-22T00:00:00.000","50314","Polk","3","0","3","Professional Expertise","Professional Services/Consultation","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Merci Train collection viewing","Museum","History Activity","2016-05-01T00:00:00.000","50319","Polk","1","0","1","Professional Expertise","Professional Services/Consultation","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Iowa Museum Association","Museum","History Activity","2015-10-05T00:00:00.000","50219","Marion","35","0","35","Professional Expertise","Panelist/Conversation","2016","19125","41.3344515","-93.0994367","POINT (-93.0994367 41.3344515)"
"WWI Centennial Committee","Museum","History Activity","2016-09-13T00:00:00.000","50603",,"0","75","75","Professional Expertise","Professional Services/Consultation","2017",,,,
"Spring Break 2017 - Natural History","Museum","History Activity","2017-03-15T00:00:00.000","50319","Polk","42","98","140","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"National History Day Regional Contest","Museum","History Activity","2016-04-08T00:00:00.000","50436","Winnebago","12","64","76","Special Event","Museum Programming","2016","19189","43.3775678","-93.7341955","POINT (-93.7341955 43.37756780000001)"
"Monroe Museum School","Museum","History Activity","2017-01-26T00:00:00.000","50309","Polk","2","24","26","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Young Writers Workshop","Museum","History Activity","2016-06-16T00:00:00.000","50319","Polk","3","5","8","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"DMPS Museum Academy","Museum","History Activity","2017-02-14T00:00:00.000","50319","Polk","1","12","13","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"DMPS Museum Academy","Museum","History Activity","2016-11-15T00:00:00.000","50319","Polk","1","12","13","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Guided History: Art and Architecture Tour of the Capitol","Museum","History Activity","2017-02-18T00:00:00.000","50319","Polk","35","0","35","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Monroe Museum School","Museum","History Activity","2017-01-19T00:00:00.000","50309","Polk","2","24","26","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Al Bell Films","Museum","History Activity","2016-06-24T00:00:00.000","50319","Polk","9","0","9","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Spring Break 2017 - Baseball: America's Past Time","Museum","History Activity","2017-03-17T00:00:00.000","50319","Polk","25","51","76","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Homeschool Afternoon","Museum","History Activity","2016-09-07T00:00:00.000","50319","Polk","15","60","75","Special Event",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"DMPS Museum Academy","Museum","History Activity","2017-01-10T00:00:00.000","50319","Polk","1","12","13","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Best Practices in Social Studies Institute","Museum","History Activity","2016-06-21T00:00:00.000","50319","Polk","200","0","200","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"National History Day Regional Contest","Museum","History Activity","2016-03-07T00:00:00.000","52803","Scott","12","266","278","Special Event","Museum Programming","2016","19163","41.6370978","-90.6232428","POINT (-90.6232428 41.6370978)"
"Spring Break 2017 - Ice Age Storytime","Museum","History Activity","2017-03-13T00:00:00.000","50319","Polk","10","12","22","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Germans in Iowa Lecture: WWI","Museum","History Activity","2017-04-08T00:00:00.000","50319","Polk","63","4","67","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"National History Day Regional Contest","Museum","History Activity","2016-03-12T00:00:00.000","50588","Buena Vista","12","77","89","Special Event","Museum Programming","2016","19021","42.7354936","-95.151149","POINT (-95.15114900000002 42.7354936)"
"Iowa History Detectives Program","Museum","History Activity","2016-11-21T00:00:00.000","50309","Polk","10","10","20","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Iowa and the Great War - WWI exhibition opening","Museum","History Activity","2017-04-06T00:00:00.000","50319","Polk","90","0","90","Special Event","Special Event","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Spring Break Workshop - Family Portraits","Museum","History Activity","2016-03-18T00:00:00.000","50319","Polk","2","18","20","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Young Writers Workshop","Museum","History Activity","2016-06-13T00:00:00.000","50319","Polk","3","5","8","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"History on the Rocks: Trivia Night","Museum","History Activity","2017-01-26T00:00:00.000","50319","Polk","63","0","63","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"National History Day Regional Contest","Museum","History Activity","2016-03-23T00:00:00.000","51106","Woodbury","12","260","272","Special Event","Museum Programming","2016","19193","42.3897169","-96.0447673","POINT (-96.0447673 42.3897169)"
"National History Day Regional Contest","Museum","History Activity","2016-03-18T00:00:00.000","52245","Johnson","12","168","180","Special Event","Museum Programming","2016","19103","41.6715511","-91.5880849","POINT (-91.5880849 41.6715511)"
"Monroe Museum School","Museum","History Activity","2017-02-16T00:00:00.000","50309","Polk","2","24","26","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Iowa Culture Presentation & Trivia","Museum","History Activity","2016-09-13T00:00:00.000","50265","Polk","40","0","40","Special Event",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Teacher Professional Development Class","Museum","History Activity","2016-06-07T00:00:00.000","50319","Polk","13","0","13","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Spring Break 2017 - Baseball: America's Pastime Storytime","Museum","History Activity","2017-03-17T00:00:00.000","50319","Polk","3","6","9","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Summer Break 2016 Workshop","Museum","History Activity","2016-06-08T00:00:00.000","50319","Polk","5","22","27","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Vault Tour","Museum","History Activity","2017-02-28T00:00:00.000","50319","Polk","8","0","8","Special Event",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Summer Break 2016 Workshop","Museum","History Activity","2016-06-15T00:00:00.000","50319","Polk","11","4","15","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Summer Break 2016 Workshop","Museum","History Activity","2016-08-03T00:00:00.000","50319","Polk","7","0","7","Special Event",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Spring Break Workshop - Portrait Studio","Museum","History Activity","2016-03-15T00:00:00.000","50319","Polk","0","9","9","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Spring Break 2017 - Civil War Storytime","Museum","History Activity","2017-03-14T00:00:00.000","50319","Polk","7","13","20","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Spring Break Workshop - Portrait Studio - CANCELLED","Museum","History Activity","2016-03-17T00:00:00.000","50319","Polk","0","0","0","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Spring Break 2017 - Children's Movie Partnership with Des Moines Film Society","Museum","History Activity","2017-03-11T00:00:00.000","50309","Polk","26","75","101","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Young Writers Workshop","Museum","History Activity","2016-06-15T00:00:00.000","50319","Polk","3","5","8","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"DMPS Museum Academy","Museum","History Activity","2016-12-13T00:00:00.000","50319","Polk","1","12","13","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"National History Day History Lab","Museum","History Activity","2016-10-29T00:00:00.000","50319","Polk","2","2","4","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"National History Day Regional Contest","Museum","History Activity","2016-04-01T00:00:00.000","52501","Wapello","12","264","276","Special Event","Museum Programming","2016","19179","41.0305845","-92.4094499","POINT (-92.4094499 41.03058450000001)"
"Spring Break 2017 - Ice Age","Museum","History Activity","2017-03-13T00:00:00.000","50319","Polk","49","101","150","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Summer Cinema","Museum","History Activity","2016-06-29T00:00:00.000","50319","Polk","4","0","4","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Summer Cinema","Museum","History Activity","2016-07-27T00:00:00.000","50319","Polk","28","7","35","Special Event",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Spring Break 2017 - Natural History Storytime","Museum","History Activity","2017-03-15T00:00:00.000","50319","Polk","7","16","23","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Winter Break 2016","Museum","History Activity","2016-12-28T00:00:00.000","50309","Polk","150","150","300","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Summer Break 2016 Workshop","Museum","History Activity","2016-08-10T00:00:00.000","50319","Polk","3","0","3","Special Event",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Monroe Museum School","Museum","History Activity","2017-02-13T00:00:00.000","50309","Polk","2","24","26","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Monroe Museum School","Museum","History Activity","2017-03-02T00:00:00.000","50309","Polk","2","24","26","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"History Camp Iowa","Museum","History Activity","2015-11-14T00:00:00.000","50319","Polk","135","0","135","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Summer Break 2016 Workshop","Museum","History Activity","2016-06-22T00:00:00.000","50319","Polk","7","31","38","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Al Bell Films","Museum","History Activity","2016-06-23T00:00:00.000","50319","Polk","3","0","3","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"History on the Rocks: East Village","Museum","History Activity","2017-04-27T00:00:00.000","50319","Polk","35","0","35","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Monroe Museum School","Museum","History Activity","2017-02-06T00:00:00.000","50309","Polk","2","24","26","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"DMPS Museum Academy","Museum","History Activity","2017-05-09T00:00:00.000","50319","Polk","1","12","13","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Young Writers Workshop","Museum","History Activity","2016-06-14T00:00:00.000","50319","Polk","3","5","8","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Monroe Museum School","Museum","History Activity","2017-02-02T00:00:00.000","50309","Polk","2","24","26","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Summer Break 2016 Workshop","Museum","History Activity","2016-07-20T00:00:00.000","50319","Polk","15","10","25","Special Event",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Albert City Threshermens Show","Museum","History Activity","2016-08-13T00:00:00.000","50510","Buena Vista","1200","0","1200","Special Event",,"2017","19021","42.7354936","-95.151149","POINT (-95.15114900000002 42.7354936)"
"Albert City Threshermens Show","Museum","History Activity","2016-08-12T00:00:00.000","50510","Buena Vista","500","0","500","Special Event",,"2017","19021","42.7354936","-95.151149","POINT (-95.15114900000002 42.7354936)"
"DMPS Museum Academy","Museum","History Activity","2017-04-18T00:00:00.000","50319","Polk","1","12","13","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Spring Break 2017 - Phil Dixon Lecture: Negro League Baseball","Museum","History Activity","2017-03-18T00:00:00.000","50319","Polk","50","5","55","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Winter Break 2016","Museum","History Activity","2016-12-27T00:00:00.000","50309","Polk","60","50","110","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Young Writers Workshop Presentation","Museum","History Activity","2016-06-17T00:00:00.000","50319","Polk","15","5","20","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Winter Break 2016","Museum","History Activity","2016-12-29T00:00:00.000","50309","Polk","10","20","30","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Iowa Culture Presentation & Trivia","Museum","History Activity","2016-09-13T00:00:00.000","50263","Dallas","15","0","15","Special Event",,"2017","19049","41.6848862","-94.0397374","POINT (-94.0397374 41.6848862)"
"National History Day Regional Contest","Museum","History Activity","2016-03-31T00:00:00.000","50701","Black Hawk","12","213","225","Special Event","Museum Programming","2016","19013","42.4700957","-92.3088197","POINT (-92.3088197 42.4700957)"
"Monroe Museum School","Museum","History Activity","2017-01-30T00:00:00.000","50309","Polk","2","24","26","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"DMPS Museum Academy","Museum","History Activity","2016-10-11T00:00:00.000","50319","Polk","1","12","13","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Best Practices in Social Studies Institute","Museum","History Activity","2016-06-20T00:00:00.000","50319","Polk","200","0","200","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"National History Day Regional Contest","Museum","History Activity","2016-02-27T00:00:00.000","52101","Winneshiek","12","134","146","Special Event","Museum Programming","2016","19191","43.2906746","-91.8437074","POINT (-91.8437074 43.2906746)"
"Orange crate furniture","Museum","History Activity","2016-05-13T00:00:00.000","50319","Polk","1","4","5","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Summer Break 2016 Workshop","Museum","History Activity","2016-07-13T00:00:00.000","50319","Polk","5","19","24","Special Event",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Grinnell Summerfest","Museum","History Activity","2016-06-11T00:00:00.000","50112","Poweshiek","50","50","100","Special Event","Museum Programming","2016","19157","41.6864422","-92.5314684","POINT (-92.53146840000001 41.6864422)"
"The Nitch Performance","Museum","History Activity","2016-07-03T00:00:00.000","50319","Polk","37","40","77","Special Event",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Young Writers Workshop","Museum","History Activity","2016-06-17T00:00:00.000","50319","Polk","3","5","8","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Flag collection viewing","Museum","History Activity","2016-05-03T00:00:00.000","52722","Scott","2","0","2","Special Event","Museum Programming","2016","19163","41.6370978","-90.6232428","POINT (-90.6232428 41.6370978)"
"National History Day Regional Contest","Museum","History Activity","2016-03-30T00:00:00.000","50219","Marion","12","357","369","Special Event","Museum Programming","2016","19125","41.3344515","-93.0994367","POINT (-93.0994367 41.3344515)"
"Summer Break 2016 Workshop","Museum","History Activity","2016-07-06T00:00:00.000","50319","Polk","15","11","26","Special Event",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"National History Day Regional Contest","Museum","History Activity","2016-03-30T00:00:00.000","50140","Decatur","12","86","98","Special Event","Museum Programming","2016","19053","40.7376827","-93.7862815","POINT (-93.7862815 40.7376827)"
"Spring Break 2017 - Civil War","Museum","History Activity","2017-03-14T00:00:00.000","50319","Polk","70","80","150","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Al Bell Films","Museum","History Activity","2016-06-22T00:00:00.000","50319","Polk","28","30","58","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Spring Break Workshop - Abstract Self-portraits","Museum","History Activity","2016-03-14T00:00:00.000","50319","Polk","5","20","25","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Spring Break 2017 - Old Time Radio Show","Museum","History Activity","2017-03-16T00:00:00.000","50319","Polk","50","90","140","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"National History Day Regional Contest","Museum","History Activity","2016-04-02T00:00:00.000","50316","Polk","12","180","192","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Teacher Professional Development Class","Museum","History Activity","2016-06-06T00:00:00.000","50319","Polk","13","0","13","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"National History Day History Lab","Museum","History Activity","2016-10-22T00:00:00.000","50588","Buena Vista","2","1","3","Special Event","Museum Programming","2017","19021","42.7354936","-95.151149","POINT (-95.15114900000002 42.7354936)"
"National History Day Kick Off","Museum","History Activity","2015-09-30T00:00:00.000","50319","Polk","15","111","126","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Iowa History Advisory Council","Museum","History Activity","2017-04-25T00:00:00.000","50309","Polk","22","0","22","Special Event","Hosted Meeting","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"National History Day Kick Off Event","Museum","History Activity","2016-10-07T00:00:00.000","50309","Polk","10","127","137","Special Event","Special Event","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Spring Break Workshop - Torn Paper Landscapes","Museum","History Activity","2016-03-16T00:00:00.000","50319","Polk","1","29","30","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Monroe Museum School","Museum","History Activity","2017-01-23T00:00:00.000","50309","Polk","2","24","26","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Iowa History Advisory Council","Museum","History Activity","2017-01-11T00:00:00.000","50309","Polk","23","0","23","Special Event","Hosted Meeting","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"National History Day in Iowa State Contest","Museum","History Activity","2016-04-25T00:00:00.000","50319","Polk","200","603","803","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"DMPS Museum Academy","Museum","History Activity","2017-03-21T00:00:00.000","50319","Polk","1","11","12","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"DMPS Museum Academy - Exhibition Open House","Museum","History Activity","2017-05-09T00:00:00.000","50319","Polk","33","13","46","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Monroe Museum School","Museum","History Activity","2017-02-09T00:00:00.000","50309","Polk","2","24","26","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Al Bell Films & Program","Museum","History Activity","2016-06-25T00:00:00.000","50319","Polk","79","0","79","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Iowa History Advisory Council","Museum","History Activity","2016-05-03T00:00:00.000","50309","Polk","22","0","22","Special Event","Hosted Meeting","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Dan Barry lecture and book signing","Museum","History Activity","2017-03-30T00:00:00.000","50319","Polk","90","0","90","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Iowa History Advisory Council","Museum","History Activity","2016-01-14T00:00:00.000","50309","Polk","20","0","20","Special Event","Hosted Meeting","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Summer Cinema","Museum","History Activity","2016-08-17T00:00:00.000","50319","Polk","10","1","11","Special Event",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Woodland Cemetery Tour","Museum","History Activity","2016-10-08T00:00:00.000","50312","Polk","38","0","38","Special Event",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Saving an Iowa Masterpiece Lecture","Museum","History Activity","2016-05-24T00:00:00.000","50319","Polk","75","0","75","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Spring Break 2017 - Old Time Radio Show Storytime","Museum","History Activity","2017-03-16T00:00:00.000","50319","Polk","5","13","18","Special Event","Museum Programming","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"National History Day History Lab","Museum","History Activity","2016-11-05T00:00:00.000","52240","Johnson","1","10","11","Special Event","Museum Programming","2017","19103","41.6715511","-91.5880849","POINT (-91.5880849 41.6715511)"
"Orange crate furniture","Museum","History Activity","2016-05-26T00:00:00.000","50319","Polk","1","3","4","Special Event","Museum Programming","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
