"levy_authority_code","levy_authority_name","fiscal_year","urban_renewal_area_number","expenditure_amount","project_description","project_classification","debt_tracking_name","debt_type","fiscal_year_debt_is_paid_in_full","rebate_paid_to","primary_lat_dec"
"77G714","ANKENY","2013","77018","34791","Tax Rebate Agreement","Industrial/manufacturing property","Twin Oaks Business Park","Rebates","2016","Bresson Real Estate Holdings, LLC","POINT (-93.60577340000002 41.7297102)"
"12G094","APLINGTON","2013","12003","100000","Retrofitting & renovate vacant building","Commercial - retail","Grants","Other Debt","2013","Three Star Project","POINT (-92.8843642 42.5841454)"
"12G094","APLINGTON","2013","12003","582","Retrofitting & renovate vacant building","Commercial - retail","Grants","Other Debt","2013","NO REBATE","POINT (-92.8843642 42.5841454)"
"14G114","ARCADIA","2013","14013","36623","Housing subdivision infrastructure","Residential property (classified residential)","Redig Phase II","TIF Revenue Bonds/Notes","2018","NO REBATE","POINT (-95.0461023 42.0872073)"
"30G272","ARNOLDS PARK","2013","30002","41115","Water/Sewer and Roadway construction","Roads, Bridges & Utilities","Debt Service - shortfall","Internal Loans","2013","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30002","19680","Cost share with Dickinson Co. - Roadway construction","Roads, Bridges & Utilities","2010B GO Bonds (Portion)","General Obligation Bonds/Notes","2022","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30002","3749","Roadway reconstruction from Hwy 71 to Rohr","Roads, Bridges & Utilities","2010B GO Bonds (Portion)","General Obligation Bonds/Notes","2022","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30001","8156","Utilities and Hard Surface Parking","Roads, Bridges & Utilities","2010B GO Bonds (Portion)","General Obligation Bonds/Notes","2022","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30002","108975","Concrete Overlay on Rohr - east of Sawmill Bridge","Roads, Bridges & Utilities","2012 GO Bonds (Portion)","General Obligation Bonds/Notes","2024","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30001","63375","Downtown City Park - Parking/shelter/trails","Recreational facilities (lake development, parks, ball fields, trails)","2012 GO Bonds (Portion)","General Obligation Bonds/Notes","2024","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30001","5633","Roadway Reconstruction","Roads, Bridges & Utilities","Debt Service - shortfall","Internal Loans","2013","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30001","8156","Utilities and Hard Surface Parking","Roads, Bridges & Utilities","2010B GO Bonds (Portion)","General Obligation Bonds/Notes","2022","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30002","937","Utilities and Roadway Reconstruction","Roads, Bridges & Utilities","2010B GO Bonds (Portion)","General Obligation Bonds/Notes","2022","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30001","116742","Roadway and Utility Reconstruction","Roads, Bridges & Utilities","2012 GO Bonds (Portion)","General Obligation Bonds/Notes","2024","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30001","39449","Trails, Sidewalks, Street Lights, Landscape","Recreational facilities (lake development, parks, ball fields, trails)","2010A GO Bonds","General Obligation Bonds/Notes","2029","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30026","6073","Water and Sewer upgrades to Linden Dr.","Roads, Bridges & Utilities","2007 GO Bonds","General Obligation Bonds/Notes","2027","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30001","64364","Utility work - Hwy 71 Corridor","Roads, Bridges & Utilities","2010A GO Bonds","General Obligation Bonds/Notes","2029","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30001","73381","Landscaping along Hwy 71 and Bascom St.","Recreational facilities (lake development, parks, ball fields, trails)","2012 GO Bonds (Portion)","General Obligation Bonds/Notes","2024","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30026","18220","Right turn lane and reconstruction of roadway from Hwy 71 to fIowa St.","Roads, Bridges & Utilities","2007 GO Bonds","General Obligation Bonds/Notes","2027","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30001","23348","Roadway Reconstruction","Roads, Bridges & Utilities","2012 GO Bonds (Portion)","General Obligation Bonds/Notes","2024","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30002","69348","Water/Sewer and Roadway construction","Roads, Bridges & Utilities","2010B GO Bonds (Portion)","General Obligation Bonds/Notes","2022","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30001","5019","Water line Extension","Roads, Bridges & Utilities","2010B GO Bonds (Portion)","General Obligation Bonds/Notes","2022","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30001","4705","Pedestrian Trails, Lighting","Recreational facilities (lake development, parks, ball fields, trails)","2010B GO Bonds (Portion)","General Obligation Bonds/Notes","2022","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30001","5333","City Entrance Signs","Recreational facilities (lake development, parks, ball fields, trails)","2010B GO Bonds (Portion)","General Obligation Bonds/Notes","2022","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30026","119950","Cost share bridge construction with County and DOT","Roads, Bridges & Utilities","2007 GO Bonds","General Obligation Bonds/Notes","2027","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30026","7592","Construction of trails and sidewalks as well as street lighting","Recreational facilities (lake development, parks, ball fields, trails)","2007 GO Bonds","General Obligation Bonds/Notes","2027","NO REBATE","POINT (-95.1238841 43.3727408)"
"30G272","ARNOLDS PARK","2013","30001","56704","Pedestrian Lighting, Trails","Recreational facilities (lake development, parks, ball fields, trails)","2012 GO Bonds (Portion)","General Obligation Bonds/Notes","2024","NO REBATE","POINT (-95.1238841 43.3727408)"
"47G436","ARTHUR","2013","47006","7045","Construction of lift station and sewer lines for addition of Sparky's","Roads, Bridges & Utilities","Lift Station / Sewer Improvement Loan","Internal Loans","2014","NO REBATE","POINT (-95.3474969 42.3347078)"
"31G282","ASBURY","2013","31028","367391","Water Tower, well upgrades, lift station upgrades","Roads, Bridges & Utilities","2012 C Refunding","General Obligation Bonds/Notes","2022","NO REBATE","POINT (-90.751516 42.5144462)"
"31G282","ASBURY","2013","31028","75600","Rehabilitaion of private water system","Roads, Bridges & Utilities","Quality Water","TIF Revenue Bonds/Notes","2016","NO REBATE","POINT (-90.751516 42.5144462)"
"06G032","ATKINS","2013","6001","82050","build new city hall Library","Municipal and other publicly-owned or leased buildings","City Hall/Library","General Obligation Bonds/Notes","2020","NO REBATE","POINT (-91.8621262 41.9969436)"
"06G032","ATKINS","2013","6001","118878","build water treatment plant","Water treatment plants, waste treatment plants & lagoons","2010 G O Bonds","General Obligation Bonds/Notes","2027","NO REBATE","POINT (-91.8621262 41.9969436)"
"06G032","ATKINS","2013","6001","215983","build water treatment plant","Water treatment plants, waste treatment plants & lagoons","2007 G O Bonds","General Obligation Bonds/Notes","2026","NO REBATE","POINT (-91.8621262 41.9969436)"
"15G128","ATLANTIC","2013","15003","9619","Economic Develpment Grant","Residential property (classified residential)","2003 G.O. Bonds","General Obligation Bonds/Notes","2016","NO REBATE","POINT (-95.0138776 41.4036007)"
"15G128","ATLANTIC","2013","15009","34371","Grant to Atlantic Community Development","Acquisition of property","2006 TIF Bonds","TIF Revenue Bonds/Notes","2016","NO REBATE","POINT (-95.0138776 41.4036007)"
"05G027","AUDUBON","2013","5003","76030","Third Avenue Paving","Residential property (classified residential)","Third Ave Paving Bonds","TIF Revenue Bonds/Notes","2014","NO REBATE","POINT (-94.93248680000002 41.7180421)"
"05G027","AUDUBON","2013","5001","20000","Foundation is trying to build a Rec Center","Recreational facilities (lake development, parks, ball fields, trails)","Rec Center","Other Debt","2023","NO REBATE","POINT (-94.93248680000002 41.7180421)"
"78G729","AVOCA","2013","78019","10668","Professional planning services","Administrative expenses","Internal Loan","Internal Loans","2024","NO REBATE","POINT (-95.3380549 41.4766571)"
"78G729","AVOCA","2013","78019","3430","Professional planning services","Administrative expenses","Internal Loan","Internal Loans","2024","NO REBATE","POINT (-95.3380549 41.4766571)"
"78G729","AVOCA","2013","78019","126409","Street Improvements","Roads, Bridges & Utilities","2009 Series Bond","General Obligation Bonds/Notes","2024","NO REBATE","POINT (-95.3380549 41.4766571)"
"78G729","AVOCA","2013","78019","5803","Marketing Community Residential and Commercial Opportunities","Administrative expenses","Internal Loan","Internal Loans","2024","NO REBATE","POINT (-95.3380549 41.4766571)"
"78G729","AVOCA","2013","78019","209275","Street Improvements","Roads, Bridges & Utilities","FY 2011 Midstates Bank","General Obligation Bonds/Notes","2013","NO REBATE","POINT (-95.3380549 41.4766571)"
"78G729","AVOCA","2013","78019","13925","Down Payment Assistance Grant","Residential property (classified residential)","Internal Loan","Internal Loans","2024","NO REBATE","POINT (-95.3380549 41.4766571)"
"78G729","AVOCA","2013","78019","65786","Acquiring and Rehab/Demo of Dilapidated Homes","Acquisition of property","Internal Loan","Internal Loans","2024","NO REBATE","POINT (-95.3380549 41.4766571)"
"78G729","AVOCA","2013","78019","90845","Assist Homeowners to Replace Sidewalks and Driveway Approaches","Roads, Bridges & Utilities","Internal Loan","Internal Loans","2024","NO REBATE","POINT (-95.3380549 41.4766571)"
"78G729","AVOCA","2013","78019","86736","Street Improvements","Roads, Bridges & Utilities","FY 2012 US Bank","General Obligation Bonds/Notes","2019","NO REBATE","POINT (-95.3380549 41.4766571)"
"78G729","AVOCA","2013","78019","90124","Walking Paths","Roads, Bridges & Utilities","Internal Loan","Internal Loans","2024","NO REBATE","POINT (-95.3380549 41.4766571)"
"78G729","AVOCA","2013","78019","930400","Street Improvements","Roads, Bridges & Utilities","FY 2013 Midstates Bank Streets","General Obligation Bonds/Notes","2015","NO REBATE","POINT (-95.3380549 41.4766571)"
"78G729","AVOCA","2013","78019","743","Lawyer","Administrative expenses","Internal Loan","Internal Loans","2024","NO REBATE","POINT (-95.3380549 41.4766571)"
"78G729","AVOCA","2013","78019","28400","Small Business Grants","Commercial - retail","Internal Loan","Internal Loans","2024","NO REBATE","POINT (-95.3380549 41.4766571)"
"78G729","AVOCA","2013","78019","25000","City Manager","Administrative expenses","Internal Loan","Internal Loans","2024","NO REBATE","POINT (-95.3380549 41.4766571)"
"78G729","AVOCA","2013","78019","88153","Facade Improvement Program","Commercial - office properties","Internal Loan","Internal Loans","2024","NO REBATE","POINT (-95.3380549 41.4766571)"
"78G729","AVOCA","2013","78033","52665","Commercial Subdivision","Commercial - hotels and conference centers","2009 REFUNDING","General Obligation Bonds/Notes","2014","NO REBATE","POINT (-95.3380549 41.4766571)"
"50G462","BAXTER","2013","50001","72732","Finance Storm Water Improvement Project","Water treatment plants, waste treatment plants & lagoons","GO Bond Storm Wtr.Improve.Proj.","General Obligation Bonds/Notes","2029","NO REBATE","POINT (-93.1515905 41.8260998)"
"50G462","BAXTER","2013","50001","45378","Finance construction of a joint community wellness center.","Recreational facilities (lake development, parks, ball fields, trails)","TIF Rev.Bond/Jt. Wellness Center","TIF Revenue Bonds/Notes","2013","NO REBATE","POINT (-93.1515905 41.8260998)"
"50G462","BAXTER","2013","50001","3752","Development of infrastructure for residential lots","Residential property (classified residential)","BEDC/WFH Phase III-Res.Lots","Other Debt","2016","NO REBATE","POINT (-93.1515905 41.8260998)"
"50G462","BAXTER","2013","50001","3752","Construction of Main St. commercial bldg.","Commercial - office properties","BEDC/Main St. Commercial Bldg.","Other Debt","2016","NO REBATE","POINT (-93.1515905 41.8260998)"
"50G462","BAXTER","2013","50001","70820","Finance Storm Water Improvement Project","Water treatment plants, waste treatment plants & lagoons","St.Wtr.Improve.Proj./Overage","Internal Loans","2013","NO REBATE","POINT (-93.1515905 41.8260998)"
"50G462","BAXTER","2013","50001","2212","Police Station Mold Remediation","Commercial - apartment/condos (residential use, classified commercial)","Pol. Station Remediation","Other Debt","2013","NO REBATE","POINT (-93.1515905 41.8260998)"
"87G838","BEDFORD","2013","87001","8703","funds used toward construction of new manufacturing facility","Industrial/manufacturing property","MG Machining","Internal Loans","2013","NO REBATE","POINT (-94.721358 40.6669321)"
"06G033","BELLE PLAINE","2013","6003","165697","Revitalization of the Downtown","Main Street Iowa Program-Iowa Economic Development Authority","Downtown Streetscape","General Obligation Bonds/Notes","2028","NO REBATE","POINT (-92.2782405 41.896941700000006)"
"49G450","BELLEVUE","2013","49016","229878","ROAD CONSTRUCTION","Roads, Bridges & Utilities","7TH STREET","General Obligation Bonds/Notes","2016","NO REBATE","POINT (-90.4229062 42.2586268)"
"99G948","BELMOND","2013","99012","46800","Infrastructure Improvements (water, sanitary sewer, storm sewer, electricity, gas, cable, etc.), property taxes, closing costs on sales of lots, etc.","Residential property (classified residential)","Dumond TIF Bonds","TIF Revenue Bonds/Notes","2016","NO REBATE","POINT (-93.6140991 42.84608)"
"6","BENTON COUNTY","2013","6023","10525","Resurfaced road","Roads, Bridges & Utilities","Road Resurfacing","Internal Loans","2016","NO REBATE","POINT (-92.0656912 42.0801864)"
"82G770","BETTENDORF","2013","82019","56166","Rebate for commercial development","Commercial - retail","State St Redev/Windmiller","Rebates","2016","Windmiller","POINT (-90.51569 41.5244777)"
"82G770","BETTENDORF","2013","82019","884142","Construction of the Convention Ctr","Commercial - hotels and conference centers","QC Waterfront Convention Ctr","Other Debt","2024","NO REBATE","POINT (-90.51569 41.5244777)"
"82G770","BETTENDORF","2013","82014","126525","Street improvements Utica Ridge Rd","Roads, Bridges & Utilities","TIF GO Bonds","General Obligation Bonds/Notes","2018","NO REBATE","POINT (-90.51569 41.5244777)"
"82G770","BETTENDORF","2013","82019","27066","Rebate for commercial development","Commercial - office properties","QC Area Realtor Assoc","Rebates","2013","QC Area Realtor Assoc","POINT (-90.51569 41.5244777)"
"82G770","BETTENDORF","2013","82040","12566","Grestone","Commercial - warehouses and distribution facilities","Greystone","Internal Loans","2015","NO REBATE","POINT (-90.51569 41.5244777)"
"82G770","BETTENDORF","2013","82014","34823","Street improvements  Utica Ridge Rd","Commercial - Medical","Eyesurgeons","Internal Loans","2014","NO REBATE","POINT (-90.51569 41.5244777)"
"82G770","BETTENDORF","2013","82019","14046","Rebate for industrial improvements","Industrial/manufacturing property","Vizient","Rebates","2014","Vizient","POINT (-90.51569 41.5244777)"
"82G770","BETTENDORF","2013","82019","100344","Rebate for commercial development","Commercial - retail","State St Redev/Windmiller","Rebates","2016","State St Redevelopment","POINT (-90.51569 41.5244777)"
"82G770","BETTENDORF","2013","82028","76766","Rebate Olympic Steel improvements","Industrial/manufacturing property","Olympic Steel improvements","Rebates","2014","Olympic Steel","POINT (-90.51569 41.5244777)"
"82G770","BETTENDORF","2013","82019","198609","Construction of the Convention Ctr","Commercial - hotels and conference centers","QC Waterfront Convention Ctr","Other Debt","2025","NO REBATE","POINT (-90.51569 41.5244777)"
"40G371","BLAIRSBURG","2013","40029","24425","Housing District","Commercial - apartment/condos (residential use, classified commercial)","General Oblig. Notes 2006","General Obligation Bonds/Notes","2017","NO REBATE","POINT (-93.6429915 42.4799771)"
"06G034","BLAIRSTOWN","2013","6004","162446","Upgrade of Fremont/Locust intersect w/ storm sewer & road covering improvments","Roads, Bridges & Utilities","2010 Streets Project Bonds","General Obligation Bonds/Notes","2025","NO REBATE","POINT (-92.0843487 41.9094449)"
"06G034","BLAIRSTOWN","2013","6004","39601","Upgrades to treatment plant and water infrastructure","Water treatment plants, waste treatment plants & lagoons","2000 Water Project Bonds","General Obligation Bonds/Notes","2020","NO REBATE","POINT (-92.0843487 41.9094449)"
"26G242","BLOOMFIELD","2013","26001","50460","Utility Grant","Industrial/manufacturing property","Bloomfield Foundry","Internal Loans","2013","NO REBATE","POINT (-92.4149074 40.751688400000006)"
"26G242","BLOOMFIELD","2013","26001","20000","Main Street Facade Grant for Downtown","Commercial - retail","Main Street Facade","Internal Loans","2013","NO REBATE","POINT (-92.4149074 40.751688400000006)"
"26G242","BLOOMFIELD","2013","26001","1022","Bonding Attorney Expenses","Administrative expenses","Adminstration","Internal Loans","2013","NO REBATE","POINT (-92.4149074 40.751688400000006)"
"26G242","BLOOMFIELD","2013","26001","50000","Grant for Facade work through CDBG","Commercial - office properties","Downtown Revitalization","Internal Loans","2013","NO REBATE","POINT (-92.4149074 40.751688400000006)"
"26G242","BLOOMFIELD","2013","26001","178518","New Motel and infrastructure","Commercial - hotels and conference centers","Cobblestone Hotel","Internal Loans","2015","NO REBATE","POINT (-92.4149074 40.751688400000006)"
"82G771","BLUE GRASS","2013","82036","13828","TOWNE & COUNTRY MANOR DEV.","Commercial - retail","Towne & Country Manor Development Corp.","Rebates","2023","Towne & Country Manor Dev","POINT (-90.7659767 41.5089194)"
"82G771","BLUE GRASS","2013","82036","21192","TOWNE & COUNTRY MANOR DEV.","Residential property (classified residential)","Towne & Country Manor Development Corp.","Rebates","2023","Towne & Country Manor Dev","POINT (-90.7659767 41.5089194)"
"82G771","BLUE GRASS","2013","82036","32202","TOWNE & COUNTRY MANOR DEV.","Residential property (classified residential)","Towne & Country Manor Development Corp.","Rebates","2023","Towne & Country Manor Dev","POINT (-90.7659767 41.5089194)"
"82G771","BLUE GRASS","2013","82036","10485","GRUNWALD LAND DEV. LLC","Residential property (classified residential)","Grunwald Land Development, LLC","Rebates","2021","Grunwald Land Dev","POINT (-90.7659767 41.5089194)"
"82G771","BLUE GRASS","2013","82036","5538","CITY OF BLUE GRASS","Commercial - retail","Blue Grass Properties, LLC","Rebates","2030","City of Blue Grass","POINT (-90.7659767 41.5089194)"
"82G771","BLUE GRASS","2013","82036","19724","TOWNE & COUNTRY MANOR DEV.","Residential property (classified residential)","Towne & Country Manor Development Corp.","Rebates","2023","Towne & Country Manor Dev","POINT (-90.7659767 41.5089194)"
"82G771","BLUE GRASS","2013","82036","44228","CITY OF BLUE GRASS","Commercial - retail","Grunwald Land Development, LLC","Rebates","2021","City of Blue Grass","POINT (-90.7659767 41.5089194)"
"82G771","BLUE GRASS","2013","82036","44897","TOWNE & COUNTRY MANOR DEV.","Residential property (classified residential)","Towne & Country Manor Development Corp.","Rebates","2023","Towne & Country Manor Dev","POINT (-90.7659767 41.5089194)"
"82G771","BLUE GRASS","2013","82036","10915","TOWNE & COUNTRY MANOR DEV.","Residential property (classified residential)","Towne & Country Manor Development Corp.","Rebates","2023","Towne & Country Manor Dev","POINT (-90.7659767 41.5089194)"
"82G771","BLUE GRASS","2013","82036","8077","CITY OF BLUE GRASS","Residential property (classified residential)","Blue Grass Properties, LLC","Rebates","2030","City of Blue Grass","POINT (-90.7659767 41.5089194)"
"82G771","BLUE GRASS","2013","82036","14581","GRUNWALD LAND DEV. LLC","Residential property (classified residential)","Grunwald Land Development, LLC","Rebates","2021","Grunwald Land Dev","POINT (-90.7659767 41.5089194)"
"82G771","BLUE GRASS","2013","82036","18567","GRUNWALD LAND DEV. LLC","Residential property (classified residential)","Grunwald Land Development, LLC","Rebates","2021","Grunwald Land Dev","POINT (-90.7659767 41.5089194)"
"82G771","BLUE GRASS","2013","82036","2809","GRUNWALD LAND DEV. LLC","Residential property (classified residential)","Grunwald Land Development, LLC","Rebates","2021","Grunwald Land Dev","POINT (-90.7659767 41.5089194)"
"82G771","BLUE GRASS","2013","82036","38786","TOWNE & COUNTRY MANOR DEV.","Residential property (classified residential)","Towne & Country Manor Development Corp.","Rebates","2023","Towne & Country Manor Dev","POINT (-90.7659767 41.5089194)"
"82G771","BLUE GRASS","2013","82036","26704","TOWNE & COUNTRY MANOR DEV.","Residential property (classified residential)","Towne & Country Manor Development Corp.","Rebates","2023","Towne & Country Manor Dev","POINT (-90.7659767 41.5089194)"
"82G771","BLUE GRASS","2013","82036","10756","TOWNE & COUNTRY MANOR DEV.","Residential property (classified residential)","Towne & Country Manor Development Corp.","Rebates","2023","Towne & Country Manor Dev","POINT (-90.7659767 41.5089194)"
"82G771","BLUE GRASS","2013","82036","7933","TOWNE & COUNTRY MANOR DEV.","Residential property (classified residential)","Towne & Country Manor Development Corp.","Rebates","2023","Towne & Country Manor Dev","POINT (-90.7659767 41.5089194)"
"82G771","BLUE GRASS","2013","82036","112500","BLUE GRASS PROPERTIES LLC","Commercial - retail","City of Blue Grass","Rebates","2030","City of Blue Grass","POINT (-90.7659767 41.5089194)"
"82G771","BLUE GRASS","2013","82036","6744","CITY OF BLUE GRASS","Commercial - retail","Blue Grass Properties, LLC","Rebates","2030","City of Blue Grass","POINT (-90.7659767 41.5089194)"
"82G771","BLUE GRASS","2013","82036","9879","TOWNE & COUNTRY MANOR DEV.","Residential property (classified residential)","Towne & Country Manor Development Corp.","Rebates","2023","Towne & Country Manor Dev","POINT (-90.7659767 41.5089194)"
"77G715","BONDURANT","2013","77025","10878","Garfield Street Resurface","Roads, Bridges & Utilities","GO Urban Renewal Bonds 2008","General Obligation Bonds/Notes","2020","NO REBATE","POINT (-93.462157 41.7005441)"
"77G715","BONDURANT","2013","77025","2506","park lot improvement","Recreational facilities (lake development, parks, ball fields, trails)","GO Urban Renewal Bonds 2008","General Obligation Bonds/Notes","2020","NO REBATE","POINT (-93.462157 41.7005441)"
"77G715","BONDURANT","2013","77025","58587","Urban Service Area lift station;Polk Co debt","Roads, Bridges & Utilities","Urban Service Area-NE 2nd St lift st","Other Debt","2013","NO REBATE","POINT (-93.462157 41.7005441)"
"77G715","BONDURANT","2013","77025","26959","Frontage Rd due to Grant St relocation","Roads, Bridges & Utilities","Grant St Frontage Rd","Other Debt","2013","NO REBATE","POINT (-93.462157 41.7005441)"
"77G715","BONDURANT","2013","77025","951","Frontage Road due to Grant St relocation","Roads, Bridges & Utilities","GO Urban Renewal Bonds 2008","General Obligation Bonds/Notes","2020","NO REBATE","POINT (-93.462157 41.7005441)"
"77G715","BONDURANT","2013","77025","2179","playground/shelter improvement","Recreational facilities (lake development, parks, ball fields, trails)","GO Urban Renewal Bonds 2008","General Obligation Bonds/Notes","2020","NO REBATE","POINT (-93.462157 41.7005441)"
"77G715","BONDURANT","2013","77025","50149","Stormwater Infrastructure/2nd St trail","Roads, Bridges & Utilities","GO Urban Renewal Bonds 2008","General Obligation Bonds/Notes","2020","NO REBATE","POINT (-93.462157 41.7005441)"
"77G715","BONDURANT","2013","77025","47617","Bike/Walk Trail","Recreational facilities (lake development, parks, ball fields, trails)","GO Urban Renewal Bonds 2008","General Obligation Bonds/Notes","2020","NO REBATE","POINT (-93.462157 41.7005441)"
"77G715","BONDURANT","2013","77025","108567","Main Street Reconstruction","Roads, Bridges & Utilities","GO Urban Renewal Bonds 2008","General Obligation Bonds/Notes","2020","NO REBATE","POINT (-93.462157 41.7005441)"
"77G715","BONDURANT","2013","77025","8507","Soccer parking lot drainage improvements","Recreational facilities (lake development, parks, ball fields, trails)","Soccer parking lot improvements","Other Debt","2013","NO REBATE","POINT (-93.462157 41.7005441)"
"77G715","BONDURANT","2013","77025","100000","Water/Sewer Main reimbursement","Roads, Bridges & Utilities","Wil-Ron Properties","Rebates","2019","Community State Bank","POINT (-93.462157 41.7005441)"
"08G057","BOONE","2013","8001","182250","Street construction and utilities for Hanconck Drive","Roads, Bridges & Utilities","Golf Est Prj 1 GO 1,900,000 (.75%)","General Obligation Bonds/Notes","2013","NO REBATE","POINT (-93.8802273 42.0597047)"
"08G057","BOONE","2013","8005","41283","Sanitary Sewer Improvements","Roads, Bridges & Utilities","7,283,000 SRF San Sewer IIA 8%","Other Debt","2029","NO REBATE","POINT (-93.8802273 42.0597047)"
"08G057","BOONE","2013","8001","353765","Sanitary Sewer Improvements","Roads, Bridges & Utilities","San Sewer IIIA 5,142,000 SRF","Other Debt","2030","NO REBATE","POINT (-93.8802273 42.0597047)"
"08G057","BOONE","2013","8006","41936","Sanitary sewer improvements","Roads, Bridges & Utilities","7,283,000 SRF San Sewer IIA 44%","Other Debt","2029","NO REBATE","POINT (-93.8802273 42.0597047)"
"08G057","BOONE","2013","8001","87102","Sanitary Sewer Improvements","Roads, Bridges & Utilities","San Sewer IIIB & NE 6,915,000 GO (19.5%)","General Obligation Bonds/Notes","2030","NO REBATE","POINT (-93.8802273 42.0597047)"
"08G057","BOONE","2013","8001","416218","Sanitary Sewer Improvements","Roads, Bridges & Utilities","San Sewer IIIB & NE 6,915,000 GO (19.5%)","General Obligation Bonds/Notes","2030","NO REBATE","POINT (-93.8802273 42.0597047)"
"08G057","BOONE","2013","8001","183148","Construction of streets and utilities in Golf Estates Developments","Roads, Bridges & Utilities","Golf Est Prj 2 GO 2,400,000 (.75%)","General Obligation Bonds/Notes","2016","NO REBATE","POINT (-93.8802273 42.0597047)"
"8","BOONE COUNTY","2013","8008","94025","First 5 Years","Agribusiness","CIE Loan Guarantee","General Obligation Bonds/Notes","2034","NO REBATE","POINT (-93.931671 42.0365493)"
"8","BOONE COUNTY","2013","8008","128675","100 acres","Acquisition of property","CIE Land Purchase","General Obligation Bonds/Notes","2029","NO REBATE","POINT (-93.931671 42.0365493)"
"84G799","BOYDEN","2013","84056","11821","Industrial Park Streets","Roads, Bridges & Utilities","Boyden EDC Dev Agreement 2","TIF Revenue Bonds/Notes","2025","NO REBATE","POINT (-96.00585300000002 43.1910907)"
"84G799","BOYDEN","2013","84056","7198","Industrial Park Development & Utilities","Roads, Bridges & Utilities","Boyden EDC Dev Agreement","General Obligation Bonds/Notes","2025","NO REBATE","POINT (-96.00585300000002 43.1910907)"
"84G799","BOYDEN","2013","84055","65085","Street & Utility for new residential develop.","Residential property (classified residential)","Twin Court Addition","General Obligation Bonds/Notes","2015","NO REBATE","POINT (-96.00585300000002 43.1910907)"
"84G799","BOYDEN","2013","84055","3337","LMI funds to account for LMI usage","Low and Moderate Income Housing","LMI Requirement","Other Debt","2015","NO REBATE","POINT (-96.00585300000002 43.1910907)"
"9","BREMER COUNTY","2013","9011","33253","Construct Student Housing","Commercial - apartment/condos (residential use, classified commercial)","2004 Wartburg Dorm","General Obligation Bonds/Notes","2023","NO REBATE","POINT (-92.31805480000001 42.7745873)"
"9","BREMER COUNTY","2013","9011","135000","Construct Student Housing","Commercial - apartment/condos (residential use, classified commercial)","2004 Wartburg Dorm","General Obligation Bonds/Notes","2023","NO REBATE","POINT (-92.31805480000001 42.7745873)"
"79G743","BROOKLYN","2013","79001","169315","Business District Downtown Infrastructure improvements including but not limited to, water, sanitary sewer, storm sewer, streets, sidewalks and roadway improvement project","Commercial - retail","Central Business District Project 2008 GO Capital Loan Note","General Obligation Bonds/Notes","2023","NO REBATE","POINT (-92.44546300000002 41.7336092)"
"79G743","BROOKLYN","2013","79001","7671","Payment on new storm sewer","Roads, Bridges & Utilities","North St. & Mill St. Intersection","Internal Loans","2013","NO REBATE","POINT (-92.44546300000002 41.7336092)"
"79G743","BROOKLYN","2013","79001","4785","Payment on new storm sewer","Roads, Bridges & Utilities","Center & Winter St. Intersection","Internal Loans","2013","NO REBATE","POINT (-92.44546300000002 41.7336092)"
"79G743","BROOKLYN","2013","79001","90905","Road and Bridge Replacement","Roads, Bridges & Utilities","Mills Street Bridge Series 2011A GO Capital Loan Note","General Obligation Bonds/Notes","2019","NO REBATE","POINT (-92.44546300000002 41.7336092)"
"29G267","BURLINGTON","2013","29001","217992","Development of Flint Ridge Business Park","Roads, Bridges & Utilities","2004 GO Flint Ridge Bus Park","General Obligation Bonds/Notes","2018","NO REBATE","POINT (-91.1129233 40.8075391)"
