"company_name","mailing_address1","mailing_address2","mailing_city","mailing_state","mailing_zip","business_phone","business_email","physical_location"
"NORTHCOAST WARRANTY SERVICES, INC.","3925 BROOKSIDE PARKWAY",,"ALPHARETTA","GA","30022","2163286100","licensing@amtrustgroup.com","POINT (-84.24793 34.060595)"
"ECP INCORPORATED","PO BOX 6070",,"WOODRIDGE","IL","60517","6307544200","ecp_compliance@ecpinc.net",
"GS ADMINISTRATORS, INC.","1345 ENCLAVE PARKWAY",,"HOUSTON","TX","77077","7135803000","gsfslegal@gsfsgroup.com","POINT (-95.618697 29.760661)"
"SIOUXLAND CREDIT YES, INC.","PO BOX 3107",,"SIOUX CITY","IA","51102","7122580269","jeremy@udriveac.com",
"CLASSIC ADMINISTRATION SYSTEMS, LLC","1603 CAPITOL AVENUE, SUITE 303D",,"CHEYENNE","WY","82001","8138558300","diann.pruitt@y2yc.com","POINT (-104.815421 41.13291)"
"UNITED SERVICE PROTECTION CORPORATION","11222 QUAIL ROOST DRIVE",,"MIAMI","FL","33157","8002830785","scprenewals@assurant.com","POINT (-80.373759 25.59497)"
"ROYAL ADMINISTRATION SERVICES, INC.","51 MILL STREET, BUILDING F",,"HANOVER","MA","2339","8008710467","execoffice@royaladmin.com","POINT (-70.840559 42.142064)"
"CAREGARD WARRANTY SERVICES, INC.","1900 CHAMPAGNE BOULEVARD",,"GRAPEVINE","TX","76051","8175524100","kisaac@afgusa.net","POINT (-97.096291 32.884437)"
"DEALERS ALLIANCE CORPORATION","15920 ADDISON ROAD",,"ADDISON","TX","75001","8778537613","swrecompliance@iaawg.com","POINT (-96.829824 32.96656)"
"WESTERN GENERAL DEALER SERVICES, INC.","14755 NORTH OUTER FORTY ROAD, SUITE 400",,"CHESTERFIELD","MO","63017-6050","6365365611","lida.ruiz@protective.com","POINT (-90.540448 38.648935)"
"AUTOXCEL CORPORATION","272 N FRONT STREET, SUITE 500",,"WILMINGTON","NC","28401","9107625300","mark@autoxcel.net","POINT (-77.949045 34.238669)"
"MOTOR INN OF CARROLL,  L.L.C.","1526 LECLARK ROAD",,"CARROLL","IA","51401","7123625834","motorinnautogroup@hotmail.com","POINT (-94.885679 42.078581)"
"ADVANCED PROTECTION PRODUCTS INTERNATIONAL, INC.","555 METRO PLACE N., SUITE 650",,"DUBLIN","OH","43017","8588101700","nichole.fry@appiadm.com","POINT (-83.130627 40.096233)"
"PALMER ADMINISTRATIVE SERVICES, INC.","3430 SUNSET AVENUE",,"OCEAN","NJ","7712","8005999557","diann.pruitt@y2yc.com","POINT (-74.044113 40.23786)"
"PREFERRED WARRANTIES, INC","PO BOX 278",,"ORWIGSBURG","PA","17961-0278","8005481121","info@preferredwarranties.com",
"GLOBAL AUTO SOLUTIONS, INC.","425 METRO PLACE N, SUITE 300",,"DUBLIN","OH","43017","8558072885","susan.farr@iaawg.com","POINT (-83.12723 40.09576)"
"IWS ACQUISITION CORPORATION","5901 BROKEN SOUND PKWY NW, SUITE 400",,"BOCA RATON","FL","33487","5619817000","compliance@iwsgroup.com","POINT (-80.115652 26.401822)"
"PLATEAU SERVICE COMPANY","PO BOX 7001",,"CROSSVILLE","TN","38557","9314848411","vsc@800plateau.com",
"CRYSTAL FUSION TECHNOLOGIES, INC.","185 W MONTAUK HWY",,"LINDENHURST","NY","11757","6312539800","diann.pruitt@y2yc.com","POINT (-73.368381 40.676512)"
"AUTO KNIGHT MOTOR CLUB INC","10751 DEERWOOD PARK BLVD, SUITE 200",,"JACKSONVILLE","FL","32256","9043509660","legal@fortegra.com","POINT (-81.532878 30.247812)"
"TRIPLE PROTECTION AUTO CARE, INC.","7200 SOUTH ALTON WAY, SUITE C200",,"CENTENNIAL","CO","80112","3037984499","filings@tripac.net","POINT (-104.883253 39.586189)"
"FEDERAL WARRANTY SERVICE CORPORATION","11222 QUAIL ROOST DRIVE",,"MIAMI","FL","33157","7707631000","scprenewals@assurant.com","POINT (-80.373759 25.59497)"
"ETHOS GROUP, INC.","370 W LAS COLINAS BLVD, SUITE 108",,"IRVING","TX","75039","2145504765","legal@ethosgroup.com","POINT (-96.943724 32.874582)"
"WARRANTECH AUTOMOTIVE, INC.","2200 HIGHWAY 121, SUITE 100",,"BEDFORD","TX","76021","8008338801","amynta.licensing@amyntagroup.com","POINT (-97.116727 32.842159)"
"IAS WARRANTY, INC.","PO BOX 204329",,"AUSTIN","TX","78720","8003466469","susan.farr@iaawg.com",
"MOTORS IOWA LLC","1926 SOUTH 67TH STREET, SUITE 350",,"OMAHA","NE","68106","4026094000","ghalverson@hhautomotive.com","POINT (-96.014617 41.240547)"
"OWNERGUARD CORPORATION","2200 HIGHWAY 121, SUITE 100",,"BEDFORD","TX","76021","8008338801","amynta.licensing@amyntagroup.com","POINT (-97.116727 32.842159)"
"GUARANTEED PROVIDER SERVICES INC.","14 COUNTRYSIDE LANE",,"RINGWOOD","NJ","7456","2017771000","danielle.diodato@dowc.com","POINT (-74.262118 41.079467)"
"LEXINGTON NATIONAL WARRANTY SERVICES, LLC","PO BOX 6098",,"LUTHERVILLE","MD","21094","4106250800","mholtschneider@lexingtonnational.com",
