"contract_name","county","city","status","program","primary_funding_agreement","award_date","total_project_cost","capital_investment","direct_assistance_awarded","tax_benefits_awarded","projected_jobs_created","projected_jobs_retained","projected_jobs_other","projected_jobs_total","projected_qualifying_wage","contracted_jobs_created","contracted_jobs_retained","contracted_jobs_other_created","contracted_jobs_total","contracted_qualifying_wage","project_completion_jobs_created","project_completion_jobs_retained","project_completion_jobs_other_created","project_completion_jobs_total","total_project_cost_project_completion","project_completion_date","reported_jobs_created","reported_jobs_retained","reported_jobs_other_created","reported_jobs_total","date_reported","project_maintenance_date","city_location"
"Mid-States Material Handling & Fabrication","Story","Nevada","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-054","2018-06-22T00:00:00.000","4415000","4255000","0","181900","1","0","13","14","24.20","1","0","13","14","24.20","0","0","0","0","4415000","2021-06-30T00:00:00.000","0","0","0","0","2021-06-30T00:00:00.000","2023-06-30T00:00:00.000","POINT (-93.452278 42.019648)"
"East Penn Manufacturing Co.","Fayette","Oelwein","Under contract - In Performance","High Quality Jobs Program","16-HQJDF-015","2015-08-21T00:00:00.000","70000000","64024684","1350000","3083481","350","0","0","350","13.55","270","0","0","270","13.55","0","0","0","0","70000000","2020-09-30T00:00:00.000","0","0","0","0","2020-09-30T00:00:00.000","2022-09-30T00:00:00.000","POINT (-91.911989 42.678527)"
"Scott's Miracle-Gro Company, Inc.","Lee","Fort Madison","Under contract - In Performance","High Quality Jobs Program","18-HQJDF-050","2018-05-18T00:00:00.000","2658000","2658000","91612","100640","18","0","23","41","16.92","18","0","23","41","16.92","0","0","0","0","2658000","2021-05-31T00:00:00.000","0","0","0","0","2021-05-31T00:00:00.000","2023-05-31T00:00:00.000","POINT (-91.313494 40.630024)"
"Bio Springer North America Corporation and its Sister Company, Lesaffre Yeast Corporation","Linn","Cedar Rapids","Under contract - In Performance","High Quality Jobs Program","20-HQJTC-013","2019-11-22T00:00:00.000","29000000","29000000","0","623000","5","0","1","5","22.27","5","0","0","5","22.27","0","0","0","0","29000000","2022-11-30T00:00:00.000","0","0","0","0","2022-11-30T00:00:00.000","2024-11-30T00:00:00.000","POINT (-91.669808 41.978122)"
"Kreg Enterprises, Inc.","Polk","Ankeny","Under contract - In Performance","High Quality Jobs Program","19-HQJTC-012","2018-12-21T00:00:00.000","34400000","34050000","0","738000","20","0","0","20","30.32","20","0","0","100","30.32","0","0","0","0","34400000","2021-12-31T00:00:00.000","0","0","0","0","2021-12-31T00:00:00.000","2023-12-31T00:00:00.000","POINT (-93.600414 41.72508)"
"Naeve Family Beef, LLC","Clinton","Camanche","Under contract - In Performance","High Quality Jobs Program","21-HQJTC-019","2021-02-19T00:00:00.000","10216195","10216195","0","664631","16","0","33","49","17.57","16","0","33","49","17.57","0","0","0","0","10216195","2024-02-28T00:00:00.000","0","0","0","0","2024-02-28T00:00:00.000","2026-02-28T00:00:00.000","POINT (-90.258802 41.786502)"
"Cambridge Technologies, LLC","Sioux","Sioux Center","Under contract - In Maintenance","High Quality Jobs Program","16-HQJDF-014","2015-08-21T00:00:00.000","880000","820000","67500","30850","9","0","30","39","20.77","9","0","30","39","20.77","9","0","30","39","880000","2019-02-28T00:00:00.000","9","0","30","39","2019-02-28T00:00:00.000","2021-02-28T00:00:00.000","POINT (-96.175468 43.075969)"
"Gavilon Ingredients, LLC","Pottawattamie","Council Bluffs","Under contract - In Maintenance","High Quality Jobs Program","14-HQJTC-030","2014-03-28T00:00:00.000","4550000","4550000","0","234000","9","0","2","11","19.75","9","0","2","11","19.75","7","0","0","7","4550000","2019-03-31T00:00:00.000","7","0","0","7","2019-03-31T00:00:00.000","2021-03-31T00:00:00.000","POINT (-95.85436 41.258963)"
"Vogel Paint and Wax Company, Inc.","Sioux","Orange City","Under contract - In Performance","High Quality Jobs Program","19-HQJTC-005","2018-10-19T00:00:00.000","24135708","24135705","0","2413566","69","0","85","154","20.48","69","0","85","154","20.48","0","0","0","0","24135708","2023-10-31T00:00:00.000","0","0","0","0","2023-10-31T00:00:00.000","2025-10-31T00:00:00.000","POINT (-96.056776 43.00136)"
"Siculus, Inc.","Polk","Altoona","Under contract - In Performance","High Quality Jobs Program","19-HQJTC-025","2019-05-17T00:00:00.000","400000","400000","0","0","31","0","0","31","53.87","31","0","0","31","53.87","0","0","0","0","400000","2022-05-31T00:00:00.000","0","0","0","0","2022-05-31T00:00:00.000","2024-05-31T00:00:00.000","POINT (-93.464609 41.64404)"
"Diamond V Mills Inc. & DV Technologies Inc.","Linn","Cedar Rapids","Under contract - In Performance","High Quality Jobs Program","17-HQJTC-016","2016-09-16T00:00:00.000","42950000","27950000","0","42950000","16","0","0","16","24.70","16","0","0","16","24.70","0","0","0","0","42950000","2021-03-31T00:00:00.000","0","0","0","0","2021-03-31T00:00:00.000","2023-03-31T00:00:00.000","POINT (-91.669808 41.978122)"
"General Mills Operations, LLC, GM Cereals Properties, Inc., and General Mills Sales, Inc.","Linn","Cedar Rapids","Under contract - In Performance","High Quality Jobs Program","21-HQJTC-007","2020-08-21T00:00:00.000","57000000","57000000","0","1065000","3","0","47","50","23.20","5","0","47","52","23.20","0","0","0","0","57000000","2023-08-31T00:00:00.000","0","0","0","0","2023-08-31T00:00:00.000","2025-08-31T00:00:00.000","POINT (-91.669808 41.978122)"
"Van Meter Inc.","Linn","Cedar Rapids","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-052","2018-05-18T00:00:00.000","4700000","4700000","0","126000","3","0","18","21","24.91","3","0","18","21","24.91","0","0","0","0","4700000","2021-05-31T00:00:00.000","0","0","0","0","2021-05-31T00:00:00.000","2023-05-31T00:00:00.000","POINT (-91.669808 41.978122)"
"Meridian Clinical Research, LLC","Woodbury","Sioux City","Under contract - In Performance","Targeted Jobs","20-TJWTC-002","2020-06-19T00:00:00.000","862305","630000","0","154608","6","0","35","41","20.55","6","0","35","41","20.55","0","0","0","0","862305","2023-06-30T00:00:00.000","0","0","0","0","2023-06-30T00:00:00.000","2025-06-30T00:00:00.000","POINT (-96.406436 42.496323)"
"Apache Hose & Belting Company, Inc.","Linn","Cedar Rapids","Under contract - In Maintenance","High Quality Jobs Program","15-HQJDF-023","2014-12-19T00:00:00.000","7310000","7310000","75000","136800","8","0","34","42","12.72","2","0","0","2","23.45","8","0","7","15","7310000","2017-12-31T00:00:00.000","2","0","0","2","2017-12-31T00:00:00.000","2019-12-31T00:00:00.000","POINT (-91.669808 41.978122)"
"Rocklin Manufacturing Co.","Woodbury","Sioux City","Under contract - In Maintenance","Targeted Jobs","17-TJWTC-005","2016-11-18T00:00:00.000","1396000","1394000","0","176648","0","8","0","8","20.17","0","8","0","8","20.17","0","8","0","8","1396000","2019-11-30T00:00:00.000","0","8","0","8","2019-11-30T00:00:00.000","2021-11-30T00:00:00.000","POINT (-96.406436 42.496323)"
"ContiTech USA, Inc.","Henry","Mount Pleasant","Under contract - In Maintenance","High Quality Jobs Program","17-HQJDF-047","2017-04-21T00:00:00.000","11100000","7660494","325000","483025","41","0","0","41","16.04","41","0","0","41","16.04","41","0","0","41","11100000","2020-04-30T00:00:00.000","41","0","0","41","2020-04-30T00:00:00.000","2022-04-30T00:00:00.000","POINT (-91.554839 40.965605)"
"Nordic Group of Companies, LLC and its Subsidiaries Seats Incorporated and Nordic Equity, LLC","Lucas","Chariton","Under contract - In Performance","High Quality Jobs Program","20-HQJTC-003","2019-08-16T00:00:00.000","5335000","5185000","0","221900","12","0","52","64","20.09","12","0","52","64","20.09","0","0","0","0","5335000","2022-08-31T00:00:00.000","0","0","0","0","2022-08-31T00:00:00.000","2024-08-31T00:00:00.000","POINT (-93.303492 41.014443)"
"Lewis Machine & Tool Company","Scott","Eldridge","Under contract - In Maintenance","High Quality Jobs Program","17-HQJDF-053","2017-05-19T00:00:00.000","9449110","7299110","250000","801955","50","0","128","178","18.74","50","0","128","178","18.74","50","0","21","71","9449110","2020-05-31T00:00:00.000","50","0","128","178","2020-05-31T00:00:00.000","2022-05-31T00:00:00.000","POINT (-90.583004 41.654668)"
"Hormel Foods Corporation and Burke Marketing Corporation","Story","Nevada","Under contract - In Performance","High Quality Jobs Program","19-HQJTC-008","2018-09-21T00:00:00.000","150400000","15000000","0","10512000","52","0","158","210","24.95","52","0","158","210","24.95","0","0","0","0","150400000","2021-09-30T00:00:00.000","0","0","0","0","2021-09-30T00:00:00.000","2023-09-30T00:00:00.000","POINT (-93.452278 42.019648)"
"Iowa Historic Preservation Alliance","Henry","Mount Pleasant","Under contract - In Performance","Opportunities and Threats","10-OT-008","2009-10-15T00:00:00.000","1550000","0","200000","0","0","0","0","0","0.00","0","0","0","0","0.00","0","0","0","0","1550000","2013-10-31T00:00:00.000","0","0","0","0","2013-10-31T00:00:00.000","2015-10-31T00:00:00.000","POINT (-91.554839 40.965605)"
"Ventech Solutions","Polk","Urbandale","Under contract - In Maintenance","High Quality Jobs Program","15-HQJDF-063","2015-06-19T00:00:00.000","2950000","900000","500000","0","75","0","125","200","25.52","61","0","65","126","25.52","61","0","65","126","2950000","2019-06-30T00:00:00.000","61","0","65","126","2019-06-30T00:00:00.000","2021-06-30T00:00:00.000","POINT (-93.736522 41.630343)"
"Elite Octane LLC (fka Farmers Energy Cardinal, LLC)","Cass","Atlantic","Under contract - In Maintenance","High Quality Jobs Program","16-HQJTC-031","2016-01-29T00:00:00.000","218000000","189900000","0","4250000","45","0","4","49","18.67","45","0","4","49","18.67","45","0","4","49","218000000","2019-01-31T00:00:00.000","45","0","4","49","2019-01-31T00:00:00.000","2021-01-31T00:00:00.000","POINT (-95.014426 41.404006)"
"Seaboard Triumph Foods, LLC","Woodbury","Sioux City","Under contract - In Performance","High Quality Jobs Program","15-HQJTC-047","2015-05-22T00:00:00.000","301383332","298430089","0","6390750","256","0","898","1154","20.66","256","0","898","1154","20.66","0","0","0","0","301383332","2020-09-30T00:00:00.000","0","0","0","0","2020-09-30T00:00:00.000","2022-09-30T00:00:00.000","POINT (-96.406436 42.496323)"
"Timken Drives, LLC","Clinton","Clinton","Under contract - In Performance","High Quality Jobs Program","20-HQJDF-005","2020-02-21T00:00:00.000","2150000","1400000","250000","0","66","0","18","84","16.63","66","0","18","84","16.63","0","0","0","0","2150000","2023-02-28T00:00:00.000","0","0","0","0","2023-02-28T00:00:00.000","2025-02-28T00:00:00.000","POINT (-90.190747 41.838935)"
"Genencor - A Danisco Company","Linn","Cedar Rapids","Under contract - In Maintenance","Enterprise Zone","08-EZ-022","2008-01-17T00:00:00.000","3846225","2850000","100000","337500","19","0","1","20","14.24","20","0","0","20","14.24","20","0","0","20","3846225","2011-01-31T00:00:00.000","20","0","0","20","2011-01-31T00:00:00.000","2021-01-31T00:00:00.000","POINT (-91.669808 41.978122)"
"Nutriom, LLC (Crystal Freeze Dry LLC/Panora Foods, LLC)","Guthrie","Panora","Under contract - In Performance","High Quality Jobs Program","17-HQJDF-042","2017-04-21T00:00:00.000","7704000","6504000","150000","217500","17","0","13","30","19.92","17","0","13","30","19.92","0","0","0","0","7704000","2021-04-30T00:00:00.000","0","0","0","0","2021-04-30T00:00:00.000","2023-04-30T00:00:00.000","POINT (-94.364376 41.691752)"
"Ashley Industrial Molding, Inc.","Fayette","Oelwein","Under contract - In Maintenance","Enterprise Zone","09-EZ-009","2008-12-18T00:00:00.000","14825000","14600000","0","1858000","70","0","0","70","12.54","70","0","0","70","11.12","70","0","0","70","14825000","2011-12-31T00:00:00.000","70","0","0","70","2011-12-31T00:00:00.000","2021-12-31T00:00:00.000","POINT (-91.911989 42.678527)"
"JEDA Polymers, LLC","Dubuque","Dyersville","Under contract - In Maintenance","High Quality Jobs Program","14-HQJDF-024","2014-03-28T00:00:00.000","3302500","3282500","120000","219625","21","0","4","25","17.20","15","0","0","15","17.20","15","0","0","15","3302500","2019-12-31T00:00:00.000","15","0","0","15","2019-12-31T00:00:00.000","2021-12-31T00:00:00.000","POINT (-91.121531 42.484597)"
"Cedar Ridge Vineyards, LLC","Johnson","Swisher","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-026","2017-11-17T00:00:00.000","2000000","2000000","0","86250","6","0","0","6","24.32","6","0","0","6","24.32","0","0","0","0","2000000","2021-03-31T00:00:00.000","0","0","0","0","2021-03-31T00:00:00.000","2023-03-31T00:00:00.000","POINT (-91.693021 41.847543)"
"Kraft Heinz Foods Company","Scott","Davenport","Under contract - In Maintenance","High Quality Jobs Program","16-HQJDF-021","2015-11-05T00:00:00.000","203000000","163000000","3000000","1750000","0","261","0","261","17.84","0","261","0","261","17.84","0","261","0","261","203000000","2018-11-30T00:00:00.000","0","261","0","261","2018-11-30T00:00:00.000","2020-11-30T00:00:00.000","POINT (-90.577036 41.523527)"
"Eco Lips, Inc. and Shriver Real Estate, LLC","Linn","Cedar Rapids","Under contract - In Performance","High Quality Jobs Program","21-HQJTC-015","2020-12-18T00:00:00.000","5668000","5593000","0","238410","13","0","0","13","23.20","13","0","0","13","23.20","0","0","0","0","5668000","2023-12-31T00:00:00.000","0","0","0","0","2023-12-31T00:00:00.000","2025-12-31T00:00:00.000","POINT (-91.669808 41.978122)"
"Jack Henry & Associates, Inc.","Black Hawk","Cedar Falls","Under contract - In Maintenance","High Quality Jobs Program","16-HQJTC-028","2016-02-19T00:00:00.000","17631947","580000","200000","309895","50","0","0","50","26.72","22","0","0","22","26.72","22","0","0","22","17631947","2019-02-28T00:00:00.000","22","0","0","22","2019-02-28T00:00:00.000","2021-02-28T00:00:00.000","POINT (-92.4534 42.537809)"
"Weiler, Inc.","Marion","Knoxville","Under contract - In Maintenance","Enterprise Zone","08-EZ-039","2008-06-19T00:00:00.000","875770","867770","90000","138616","29","0","1","30","14.81","30","0","0","30","14.81","30","0","0","30","875770","2012-06-30T00:00:00.000","30","0","0","30","2012-06-30T00:00:00.000","2021-06-30T00:00:00.000","POINT (-93.109494 41.320727)"
"Heartland Financial USA, Inc./Dubuque Bank & Trust","Dubuque","Dubuque","Under contract - In Performance","High Quality Jobs Program","20-HQJTC-016","2019-12-20T00:00:00.000","9000000","9000000","0","485000","16","0","16","32","23.39","16","0","16","32","23.39","0","0","0","0","9000000","2022-12-31T00:00:00.000","0","0","0","0","2022-12-31T00:00:00.000","2024-12-31T00:00:00.000","POINT (-90.667314 42.505512)"
"Worley Warehousing","Linn","Cedar Rapids","Under contract - In Performance","High Quality Jobs Program","20-HQJTC-011","2019-11-22T00:00:00.000","8339000","3850000","0","520000","3","0","0","3","22.27","3","0","15","18","22.27","0","0","0","0","8339000","2022-11-30T00:00:00.000","0","0","0","0","2022-11-30T00:00:00.000","2024-11-30T00:00:00.000","POINT (-91.669808 41.978122)"
"Accordia Life & Annuity Company and Global Atlantic Financial Company","Polk","Des Moines","Under contract - In Performance","High Quality Jobs Program","17-HQJTC-058","2017-05-19T00:00:00.000","12950000","10000000","0","775000","54","17","0","71","27.92","54","17","0","71","27.92","0","0","0","0","12950000","2021-05-31T00:00:00.000","0","0","0","0","2021-05-31T00:00:00.000","2023-05-31T00:00:00.000","POINT (-93.620309 41.588822)"
"Sterilite Corporation","Scott","Davenport","Under contract - In Performance","High Quality Jobs Program","17-HQJDF-034","2017-01-20T00:00:00.000","73000000","73000000","511000","3600000","100","0","400","500","18.74","100","0","400","500","18.74","0","0","0","0","73000000","2023-01-31T00:00:00.000","0","0","0","0","2023-01-31T00:00:00.000","2025-01-31T00:00:00.000","POINT (-90.577036 41.523527)"
"Naturally Recycled Proteins, LLC","Hardin","Steamboat Rock","Under contract - In Maintenance","Enterprise Zone","08-EZ-030","2008-03-20T00:00:00.000","5213094","4941000","0","529913","15","0","0","15","12.72","15","0","0","15","12.72","15","0","0","15","5213094","2011-03-31T00:00:00.000","15","0","0","15","2011-03-31T00:00:00.000","2021-03-31T00:00:00.000","POINT (-93.062158 42.407355)"
"Cambridge Investment Group, Inc.","Jefferson","Fairfield","Under contract - In Maintenance","Enterprise Zone","08-EZ-020","2008-01-17T00:00:00.000","7315808","6611000","0","814850","46","0","51","97","12.21","46","0","51","97","12.21","46","0","51","97","7315808","2011-01-31T00:00:00.000","46","0","51","97","2011-01-31T00:00:00.000","2021-01-31T00:00:00.000","POINT (-91.965049 41.006634)"
"Camso Manufacturing US Ltd.","Dubuque","Peosta","Under contract - In Maintenance","High Quality Jobs Program","17-HQJDF-045","2017-04-21T00:00:00.000","6372389","4504389","30400","191172","8","0","32","40","21.18","8","0","32","40","21.18","8","0","32","40","6372389","2020-04-30T00:00:00.000","8","0","32","40","2020-04-30T00:00:00.000","2022-04-30T00:00:00.000","POINT (-90.850406 42.448829)"
"Lopez Foods, Inc.","Cherokee","Cherokee","Under contract - In Performance","High Quality Jobs Program","20-HQJDF-004","2019-12-20T00:00:00.000","87563000","29563000","500000","1855000","171","6","215","392","17.40","171","6","215","392","17.40","0","0","0","0","87563000","2022-12-31T00:00:00.000","0","0","0","0","2022-12-31T00:00:00.000","2024-12-31T00:00:00.000","POINT (-95.551271 42.749674)"
"Claim DOC, LLC","Polk","West Des Moines","Under contract - In Performance","High Quality Jobs Program","21-HQJTC-004","2020-07-17T00:00:00.000","5222000","4456000","0","297800","21","0","33","54","26.67","21","0","33","54","26.67","0","0","0","0","5222000","2023-07-31T00:00:00.000","0","0","0","0","2023-07-31T00:00:00.000","2025-07-31T00:00:00.000","POINT (-93.713031 41.575505)"
"Mid-States Material Handling & Fabrication","Story","Nevada","Under contract - In Performance","High Quality Jobs Program","21-HQJTC-006","2020-08-21T00:00:00.000","3169500","3169500","0","108015","1","0","8","9","27.07","1","0","8","9","27.07","0","0","0","0","3169500","2023-08-31T00:00:00.000","0","0","0","0","2023-08-31T00:00:00.000","2025-08-31T00:00:00.000","POINT (-93.452278 42.019648)"
"Dexter Laundry, Inc.","Jefferson","Fairfield","Under contract - In Maintenance","High Quality Jobs Program","16-HQJTC-056","2016-05-20T00:00:00.000","6750000","6000000","0","116250","0","0","0","0","15.93","0","0","0","0","15.93","0","0","0","0","6750000","2019-05-31T00:00:00.000","0","0","0","0","2019-05-31T00:00:00.000","2021-05-31T00:00:00.000","POINT (-91.965049 41.006634)"
"Probioferm, LLC & Golden K, LLC","Polk","Urbandale","Under contract - In Performance","High Quality Jobs Program","19-HQJTC-002","2018-07-20T00:00:00.000","6087000","5982000","0","190340","1","0","2","3","29.12","1","0","2","3","29.12","0","0","0","0","6087000","2021-07-31T00:00:00.000","0","0","0","0","2021-07-31T00:00:00.000","2023-07-31T00:00:00.000","POINT (-93.736522 41.630343)"
"BAE Systems Information and Electronic Systems Integration, Inc.","Linn","Cedar Rapids","Under contract - In Performance","High Quality Jobs Program","21-HQJTC-001","2020-07-17T00:00:00.000","139100000","115200000","0","7535000","628","0","22","650","22.27","628","0","22","650","22.27","0","0","0","0","139100000","2023-07-31T00:00:00.000","0","0","0","0","2023-07-31T00:00:00.000","2025-07-31T00:00:00.000","POINT (-91.669808 41.978122)"
"M.G. Waldbaum Co dba Michael Foods Egg Products Co.","Warren","Norwalk","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-037","2018-02-16T00:00:00.000","85000000","85000000","0","3892450","17","0","151","168","24.38","17","0","151","168","24.38","0","0","0","0","85000000","2021-02-28T00:00:00.000","0","0","0","0","2021-02-28T00:00:00.000","2023-02-28T00:00:00.000","POINT (-93.674074 41.497011)"
"Power Distributors, LLC","Polk","Ankeny","Under contract - In Maintenance","High Quality Jobs Program","16-HQJTC-052","2016-04-22T00:00:00.000","4428151","2200000","0","59400","1","0","24","25","26.72","1","0","24","25","26.72","1","0","17","18","4428151","2019-04-30T00:00:00.000","1","0","17","18","2019-04-30T00:00:00.000","2021-04-30T00:00:00.000","POINT (-93.600414 41.72508)"
"Schumacher Company LC","Cedar","Durant","Under contract - In Performance","High Quality Jobs Program","17-HQJDF-020","2016-10-21T00:00:00.000","4688000","4640000","50000","117600","7","0","0","7","22.49","7","0","0","7","22.49","0","0","0","0","4688000","2021-10-31T00:00:00.000","0","0","0","0","2021-10-31T00:00:00.000","2023-10-31T00:00:00.000","POINT (-90.90854 41.600302)"
"BoDeans Cone Company LLC","Plymouth","Le Mars","Under contract - In Maintenance","High Quality Jobs Program","15-HQJTC-059","2015-06-19T00:00:00.000","4580000","4470000","0","200000","2","0","0","2","19.87","2","0","0","2","19.87","2","0","0","2","4580000","2018-06-30T00:00:00.000","0","0","0","0","2018-06-30T00:00:00.000","2020-06-30T00:00:00.000","POINT (-96.173749 42.788178)"
"CJ Bio America Inc.","Webster","Fort Dodge","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-027","2017-11-17T00:00:00.000","51047000","46107000","0","901430","18","0","0","18","17.56","18","0","0","18","17.56","0","0","0","0","51047000","2020-11-30T00:00:00.000","0","0","0","0","2020-11-30T00:00:00.000","2022-11-30T00:00:00.000","POINT (-94.169388 42.501169)"
"Crown Holdings, Inc.","Dubuque","Dubuque","Under contract - In Performance","High Quality Jobs Program","20-HQJDF-001","2019-07-19T00:00:00.000","4880670","2675670","250000","239568","42","0","0","42","22.85","42","0","0","42","22.85","0","0","0","0","4880670","2022-07-31T00:00:00.000","0","0","0","0","2022-07-31T00:00:00.000","2024-07-31T00:00:00.000","POINT (-90.667314 42.505512)"
"Innovative Injection Technologies, Inc.","Polk","West Des Moines","Under contract - In Maintenance","High Quality Jobs Program","16-HQJTC-063","2016-06-17T00:00:00.000","10870000","10690000","0","466800","6","0","30","36","26.72","6","0","30","36","26.72","6","0","0","6","10870000","2020-06-30T00:00:00.000","6","0","0","6","2020-06-30T00:00:00.000","2022-06-30T00:00:00.000","POINT (-93.713031 41.575505)"
"Spiber America LLC","Clinton","Clinton","Under contract - In Performance","High Quality Jobs Program","21-HQJDF-003","2020-11-20T00:00:00.000","101400000","101400000","1000000","0","5","0","0","5","17.57","5","0","0","5","17.57","0","0","0","0","101400000","2023-11-30T00:00:00.000","0","0","0","0","2023-11-30T00:00:00.000","2025-11-30T00:00:00.000","POINT (-90.190747 41.838935)"
"Businessolver.com, Inc.","Polk","West Des Moines","Under contract - In Maintenance","High Quality Jobs Program","16-HQJDF-034","2016-02-19T00:00:00.000","7370000","4400000","100000","220000","40","0","0","40","26.72","40","0","0","40","26.72","40","0","0","40","7370000","2019-02-28T00:00:00.000","40","0","0","40","2019-02-28T00:00:00.000","2021-02-28T00:00:00.000","POINT (-93.713031 41.575505)"
"East Penn Manufacturing Co.","Wayne","Corydon","Under contract - In Performance","High Quality Jobs Program","18-HQJDF-052","2018-06-22T00:00:00.000","171477684","171227684","1428000","1092074","204","0","0","204","15.14","204","0","0","204","15.14","0","0","0","0","171477684","2022-06-30T00:00:00.000","0","0","0","0","2022-06-30T00:00:00.000","2024-06-30T00:00:00.000","POINT (-93.318063 40.75842)"
"Archer Daniels Midland Company","Clinton","Clinton","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-034","2018-02-16T00:00:00.000","178400000","178400000","0","8074000","0","42","0","42","12.40","0","42","0","42","15.99","0","0","0","0","178400000","2022-02-28T00:00:00.000","0","0","0","0","2022-02-28T00:00:00.000","2024-02-28T00:00:00.000","POINT (-90.190747 41.838935)"
"Cottingham & Butler Insurance Services, Inc.","Dubuque","Dubuque","Under contract - In Maintenance","High Quality Jobs Program","16-HQJDF-046","2016-04-22T00:00:00.000","2365000","565000","300000","0","75","0","0","75","20.53","75","0","0","75","20.53","75","0","0","75","2365000","2019-04-30T00:00:00.000","75","0","0","75","2019-04-30T00:00:00.000","2021-04-30T00:00:00.000","POINT (-90.667314 42.505512)"
"Lincoln Savings Bank","Black Hawk","Waterloo","Under contract - In Performance","High Quality Jobs Program","20-HQJTC-014","2019-11-22T00:00:00.000","18305000","18305000","0","957500","40","0","9","49","18.49","40","0","9","49","18.49","0","0","0","0","18305000","2022-11-30T00:00:00.000","0","0","0","0","2022-11-30T00:00:00.000","2024-11-30T00:00:00.000","POINT (-92.34364 42.493469)"
"Compressor Controls Corporation","Polk","Urbandale","Under contract - In Performance","High Quality Jobs Program","17-HQJDF-061","2017-06-16T00:00:00.000","5517000","434000","32500","0","0","82","0","82","27.92","0","82","0","82","27.92","0","0","0","0","5517000","2020-06-30T00:00:00.000","0","0","0","0","2020-06-30T00:00:00.000","2022-06-30T00:00:00.000","POINT (-93.736522 41.630343)"
"Weiler, Inc.","Marion","Knoxville","Under contract - In Maintenance","High Quality Jobs Program","16-HQJDF-053","2016-04-22T00:00:00.000","8540000","5865000","500000","433000","117","0","0","117","19.49","117","0","0","117","19.49","117","0","0","117","8540000","2019-04-30T00:00:00.000","117","0","0","117","2019-04-30T00:00:00.000","2021-04-30T00:00:00.000","POINT (-93.109494 41.320727)"
"Rasmussen Mechanical Services","Pottawattamie","Council Bluffs","Under contract - In Maintenance","High Quality Jobs Program","17-HQJTC-033","2017-01-20T00:00:00.000","6550000","6550000","0","382000","11","0","1","12","19.08","11","0","1","12","19.08","11","0","1","12","6550000","2020-01-31T00:00:00.000","11","0","1","12","2020-01-31T00:00:00.000","2022-01-31T00:00:00.000","POINT (-95.85436 41.258963)"
"Frank Millard & Company, Inc.","Des Moines","Burlington","Under contract - In Performance","Targeted Jobs","18-TJWTC-001","2018-03-23T00:00:00.000","2877000","2567500","0","521451","49","0","0","49","19.53","49","0","0","49","19.53","0","0","0","0","2877000","2021-03-31T00:00:00.000","0","0","0","0","2021-03-31T00:00:00.000","2023-03-31T00:00:00.000","POINT (-91.101278 40.81059)"
"Microsoft Corporation","Warren","West Des Moines","Under contract - In Performance","High Quality Jobs Program","17-HQJTC-006","2016-07-22T00:00:00.000","417700000","417700000","0","4725000","11","0","46","57","27.92","11","0","46","57","27.92","0","0","0","0","417700000","2021-07-01T00:00:00.000","0","0","0","0","2021-07-01T00:00:00.000","2023-07-01T00:00:00.000","POINT (-93.713031 41.575505)"
"Rocklin Manufacturing Co.","Woodbury","Sioux City","Under contract - In Maintenance","High Quality Jobs Program","17-HQJTC-026","2016-11-18T00:00:00.000","1396000","1394000","0","90066","0","8","0","8","20.17","0","8","0","8","20.17","0","8","0","8","1396000","2019-11-30T00:00:00.000","0","8","0","8","2019-11-30T00:00:00.000","2021-11-30T00:00:00.000","POINT (-96.406436 42.496323)"
"Novae Corp","Page","Clarinda","Under contract - In Performance","High Quality Jobs Program","17-HQJDF-062","2017-06-16T00:00:00.000","3900000","3650000","300000","218000","73","0","1","74","15.41","73","0","1","74","15.41","0","0","0","0","3900000","2020-10-31T00:00:00.000","0","0","0","0","2020-10-31T00:00:00.000","2022-10-31T00:00:00.000","POINT (-95.032552 40.74215)"
"Hydrite Chemical Company, Inc.","Black Hawk","Waterloo","Under contract - In Maintenance","High Quality Jobs Program","16-HQJTC-050","2016-04-22T00:00:00.000","15896400","15863400","0","791795","11","0","0","11","16.79","11","0","0","11","16.79","11","0","0","11","15896400","2019-04-30T00:00:00.000","11","0","0","11","2019-04-30T00:00:00.000","2021-04-30T00:00:00.000","POINT (-92.34364 42.493469)"
"Tyson Fresh Meats, Inc.","Black Hawk","Waterloo","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-018","2017-09-22T00:00:00.000","28242500","28242500","0","2396535","245","0","0","245","17.29","245","0","0","245","17.29","0","0","0","0","28242500","2021-05-31T00:00:00.000","0","0","0","0","2021-05-31T00:00:00.000","2023-05-31T00:00:00.000","POINT (-92.34364 42.493469)"
"Excell Marketing, LC","Polk","Des Moines","Under contract - In Maintenance","High Quality Jobs Program","16-HQJTC-049","2016-04-22T00:00:00.000","5350000","5350000","0","332000","11","0","47","58","26.72","11","0","47","58","26.72","11","0","47","58","5350000","2019-04-30T00:00:00.000","11","0","47","58","2019-04-30T00:00:00.000","2021-04-30T00:00:00.000","POINT (-93.620309 41.588822)"
