"facility_name","street_address","city","state","zip","phone_number","type","facility_license_id","county","inspection_type","geocoded_column","a9_cert","l3_cert"
"WALKO AUTOMOTIVE SRV LLC","2122 W CAMPLAIN ROAD","HILLSBOROUGH","NJ","08844","(908) 526-6808","Emission Repair & Inspections","ERF003049","SOMERSET","Auto Inspection and Emission Repair","POINT (-74.60550059899998 40.53652061300005)","No","No"
"MATAWAN AUTO INC","777 HWY 34","MATAWAN","NJ","07747","(732) 441-7008","Emission Repair Only","ERF001156","MONMOUTH","Auto Only","POINT (-74.24518397699997 40.415339000000074)","No","No"
"MIKES FOREIGN CAR RPR LLC","601 RT 9","BAYVILLE","NJ","08721","(732) 269-1490","Emission Repair & Inspections","ERF000649","OCEAN","Auto Inspection and Emission Repair","POINT (-74.15524788599998 39.90411771500004)","No","No"
"RAJ SUKH DEEP INC","433 SOUTH 5TH STREET","ELIZABETH","NJ","07206","(908) 355-2829","Inspections Only","PIF000614","UNION","Auto Only","POINT (-74.20560797599995 40.651301731000046)","No","No"
"J&M GULF INC.","471 PIAGET AVENUE","CLIFTON","NJ","07011","(973) 478-3730","Inspections Only","PIF000506","PASSAIC","Auto Only","POINT (-74.15564697899998 40.87827201500005)","No","No"
"LOUIS GARAGE INC","513 STATE ROUTE 173","STEWARTSVILLE","NJ","08886","(908) 479-1050","Emission Repair Only","ERF002911","WARREN","Auto Only","POINT (-75.09525002699996 40.65650001700004)","No","No"
"MATTSSON AUTO TECH INC","495 RARITAN STREET","SAYREVILLE","NJ","08872","(732) 727-5090","Emission Repair & Inspections","ERF001568","MIDDLESEX","Auto Inspection and Emission Repair","POINT (-74.29762501899995 40.48024598500007)","No","No"
"WILLIAM C SCHAPPELL & SONS","27 RT 46 EAST","HACKETTSTOWN","NJ","07840","(908) 852-6410","Inspections Only","PIF000847","WARREN","Diesel Only","POINT (-74.81729634299995 40.84747583600006)","No","No"
"M D AUTO SERVICE INC.","59 JACOBSTOWN RD.","NEW EGYPT","NJ","08533","(609) 758-8661","Inspections Only","PIF010603","OCEAN","Auto Only","POINT (-74.54080498499997 40.06985300200006)","No","No"
"E & A AUTO REPAIR INC","300 BROAD STREET","CLIFTON","NJ","07013","(973) 279-0678","Inspections Only","PIF000066","PASSAIC","Auto Only","POINT (-74.16866097299999 40.88546201200006)","No","No"
"MAINLAND AUTO&CENTER INC","339 JIM LEEDS RD","GALLOWAY","NJ","08205","(609) 652-8444","Emission Repair & Inspections","ERF003287","ATLANTIC","Auto Only","POINT (-74.45853109999996 39.494077900000036)","Yes","Yes"
"REGIONAL TIRE SERVICE","904 W WT HRSE PK POB 685","COLOGNE","NJ","08213","(609) 965-4010","Inspections Only","PIF003682","ATLANTIC","Auto Only","POINT (-74.61083999999994 39.50324000000006)","No","No"
"JOES SRV CTR & TOW LLC","584 MANTOLOKING RD","BRICK","NJ","08723","(732) 477-4434","Emission Repair & Inspections","ERF003314","OCEAN","Auto Inspection and Emission Repair","POINT (-74.10777801399996 40.045624985000075)","No","No"
"AJEYS AUTO REPAIR INC","377 MCBRIDE AVE","PATERSON","NJ","07501","(973) 684-1100","Emission Repair Only","ERF001980","PASSAIC","Auto Only","POINT (-74.19129001599998 40.910290005000036)","No","No"
"RIVERVIEW SRV CENTER LLC","557 RIVER DRIVE","ELMWOOD PARK","NJ","07407","(201) 794-8082","Emission Repair & Inspections","ERF002959","BERGEN","Auto Inspection and Emission Repair","POINT (-74.12699796899994 40.90256298000003)","No","No"
"T & Z AUTO SERVICE","113 WHITEHEAD RD","SOUTH RIVER","NJ","08882","(732) 257-2664","Emission Repair & Inspections","ERF002744","MIDDLESEX","Auto Only","POINT (-74.37308796399998 40.446873983000046)","No","No"
"DELTA AUTO BODY LLC","225 BROAD AVENUE","FAIRVIEW","NJ","07022","(201) 943-2028","Inspections Only","PIF001212","BERGEN","Auto Only","POINT (-74.00880399799996 40.82162501800008)","No","No"
"DW & JC OTTERSTEDT INC","375 CHESTNUT RGE","WOODCLIFF LK","NJ","07677","(201) 391-2494","Emission Repair & Inspections","ERF000627","BERGEN","Auto Inspection and Emission Repair","POINT (-74.074897987 41.039595991000056)","No","No"
"STEVES AUTO REPAIR INC","3220 HWY RTE 42","SICKLERVILLE","NJ","08081","(856) 629-0655","Emission Repair Only","ERF002946","CAMDEN","Auto Only","POINT (-75.02859897699994 39.72689901000007)","No","No"
"MIKE'S AUTO CARE INC","24 HWY 34 & PERRINE RD","SO. AMBOY","NJ","08879","(732) 525-9300","Emission Repair & Inspections","ERF003382","ESSEX","Auto Only","POINT (-74.29937993799996 40.43483002600004)","No","No"
"CONTEMPORARY MOTOR CARS INC","100 OCEANPORT AV","LTL SLVR","NJ","07739","(732) 842-5353","Emission Repair Only","ERF000418","MONMOUTH","Auto Only","POINT (-74.03777392899997 40.32381563500008)","No","No"
"TIRE WORLD INC","4201 RT 9","FREEHOLD","NJ","07728","(732) 431-9080","Emission Repair Only","ERF003118","MONMOUTH","Auto Only","POINT (-74.29364797399995 40.27359100100006)","No","No"
"HALEDON GAS & AUTO INC","351 HALDEON AVENUE","HALEDON","NJ","07508","(973) 653-5115","Inspections Only","PIF001141","PASSAIC","Auto Only","POINT (-74.18048498899998 40.93623199500007)","No","No"
"AUTO DEN","173 S BLACKHORSE PIKE","BLACKWOOD","NJ","08012","(856) 227-5173","Emission Repair Only","ERF000825","CAMDEN","Auto Only","POINT (-75.06378201499996 39.79675500600007)","No","No"
"DEFINIS SERVICE STATION INC","2058 MILLBURN AVE","MAPLEWOOD","NJ","07040","(973) 762-9788","Inspections Only","PIF001029","ESSEX","Auto Only","POINT (-74.27792997799999 40.72028701200003)","No","No"
"DIESEL KRAFT LLC","34 FEDERAL RD","MONROE TWP","NJ","08831","(732) 446-3416","Inspections Only","PIF000889","MIDDLESEX","Diesel Only","POINT (-74.38781798599996 40.301227980000085)","No","No"
"AL'S SUNOCO LLC","105 ROUTE 31 SOUTH","PENNINGTON","NJ","08534","(609) 882-3019","Emission Repair & Inspections","ERF003228","MERCER","Auto Inspection and Emission Repair","POINT (-74.79216099499996 40.31459799500004)","No","No"
"MAJIC INC","200 WHT HRS PK","AUDUBON","NJ","08106","(856) 547-0373","Emission Repair Only","ERF000043","CAMDEN","Auto Only","POINT (-75.06997999999999 39.89118000000008)","No","No"
"J&J AUTO SERVICE","375 MIDDLE RD","HAZLET","NJ","07730","(732) 888-2973","Inspections Only","PIF001195","MONMOUTH","Auto Only","POINT (-74.15829800699998 40.425428003000036)","No","No"
"ADVANCED AUTO EXPERTS DUMON","2 WASHINGTON AVE","DUMONT","NJ","07628","(201) 387-8100","Emission Repair Only","ERF002698","BERGEN","Auto Only","POINT (-73.99242802199996 40.94362198400006)","No","No"
"MORRISTOWN MOTORS INC","169 RIDGEDALE AV","MORRISTOWN","NJ","07960","(973) 540-1111","Emission Repair Only","ERF003439","MORRIS","Auto Only","POINT (-74.46266896799995 40.80438000700008)","No","No"
"SAMS MEDFORD SER CTR INC","108 RT 70 EAST","MEDFORD","NJ","08055","(856) 983-7265","Inspections Only","PIF000240","BURLINGTON","Auto Only","POINT (-74.85883400499995 39.896820011000045)","No","No"
"AA TRUE AUTO INC","1169 WASHINGTON ST","TOMS RIVER","NJ","08753","(732) 270-5600","Emission Repair & Inspections","ERF003327","OCEAN","Auto Inspection and Emission Repair","POINT (-74.16381003099997 39.95352400500008)","No","No"
"CHERRY HILL AUTOS INC","1810 ROUTE 70 WEST","CHERRY HILL","NJ","08002","(856) 665-4050","Emission Repair & Inspections","ERF000044","CAMDEN","Auto Inspection and Emission Repair","POINT (-75.03083765599996 39.91810778400003)","No","No"
"CIPOLLONES INC","2711 MARNE HWY BOX 127","HAINESPORT","NJ","08036","(609) 267-9890","Emission Repair Only","ERF002099","BURLINGTON","Auto Only","POINT (-74.85112600699996 39.98082000800008)","No","No"
"NEWTON EXXON INC","40 SPARTA AVE","NEWTON","NJ","07860","(973) 383-3880","Emission Repair & Inspections","ERF001474","SUSSEX","Auto Inspection and Emission Repair","POINT (-74.74997596599997 41.051020986000026)","No","No"
"JOHNSON & TOWERS INC","2021 BRIGGS RD","MT LAUREL","NJ","08054","(856) 234-6990","Inspections Only","PIF000733","BURLINGTON","Diesel Only","POINT (-74.89955999699998 39.96602200900003)","No","No"
"ON SITE FLEET SERVICE INC*","25 BOROUGH STREET","RUTHERFORD","NJ","07070","(732) 651-1600","Inspections Only","PIF000804","BERGEN","Diesel Only","POINT (-74.10004403199997 40.82011799400004)","No","No"
"PETE'S AUTO REP & SERV LLC","440 BRIDETON PIKE ROUTE 77","MONROEVILLE","NJ","08343","(856) 358-8750","Inspections Only","PIF001217","SALEM","Auto Only","POINT (-75.22859303099995 39.61828400400003)","No","No"
"PINNACLE MOTOR WORKS INC","10 BAY ST","STIRLING","NJ","07980","(908) 647-1799","Emission Repair & Inspections","ERF001727","UNION","Auto Inspection and Emission Repair","POINT (-74.48556002899994 40.66737499100003)","No","No"
"HRAG MEINEKE 2 LLC","1574F RT 23 NORTH","BUTLER","NJ","07405","(973) 283-5708","Inspections Only","PIF001305","MORRIS","Auto Only","POINT (-74.35950841999994 41.00736003000003)","No","No"
"RE & EM ENT INC","38E MT PLEASANT AVE","LIVINGSTON","NJ","07039","(973) 994-3881","Inspections Only","PIF000939","ESSEX","Auto Only","POINT (-74.31367602899996 40.795884990000054)","No","No"
"CLASSIC IMPORTS INC","3400 RT 42 POB 9070","TURNERSVILLE","NJ","08012","(856) 728-5000","Emission Repair Only","ERF002277","CAMDEN","Auto Only","POINT (-75.06059999999997 39.79539500000004)","No","No"
"UNDERTOE SER CTR","12000 LONG BEACH BLVD","HAVEN BEACH","NJ","08008","(609) 492-0020","Inspections Only","PIF011307","OCEAN","Auto Only","POINT (-74.21998495899999 39.591585002000045)","No","No"
"HRAG MEINEKE 1 LLC","36-14 BROADWAY","FAIR LAWN","NJ","07410","(201) 228-9807","Inspections Only","PIF001288","BERGEN","Auto Only","POINT (-74.09984001599997 40.92540002000004)","No","No"
"SAM'S AUTOMOTIVE REPAIR","102 RIDGEDALE AVE","MORRISTOWN","NJ","07960","(973) 538-5551","Emission Repair & Inspections","ERF000574","MORRIS","Auto Inspection and Emission Repair","POINT (-74.46703300599995 40.80110699900007)","No","No"
"DANNY'S UNDER THE HOOD LLC","716 STOKES ROAD","MEDFORD","NJ","08055","(609) 654-2749","Emission Repair & Inspections","ERF003289","BURLINGTON","Auto Inspection and Emission Repair","POINT (-74.80923149499996 39.86742544100008)","No","No"
"WENRAN INC","473 HIGHWAY 27","ISELIN","NJ","08830","(732) 283-2767","Inspections Only","PIF001323","MIDDLESEX","Auto Only","POINT (-74.31922400999997 40.57499900000005)","No","No"
"TETERBORO AUTOMALL INC","469 RT 46E","LITTLE FERRY","NJ","07643","(201) 440-0222","Emission Repair Only","ERF003149","BERGEN","Auto Only","POINT (-74.05058353199996 40.856855067000026)","No","No"
"CARS R US INC","735 GREEN ST","ISELIN","NJ","08830","(732) 855-2277","Emission Repair & Inspections","ERF000692","MIDDLESEX","Auto Inspection and Emission Repair","POINT (-74.30151497699995 40.563641018000055)","No","No"
"K AND M AUTOMOTIVE REPAIR","300 NEW ROAD","NORTHFIELD","NJ","08225","(609) 641-4220","Emission Repair Only","ERF002653","CAPE MAY","Auto Only","POINT (-74.54624500799999 39.38059200500004)","No","No"
"DINMAR AUTO REPAIR","59-61 MALVERN ST","NEWARK","NJ","07105","(973) 589-5151","Emission Repair & Inspections","ERF000800","ESSEX","Auto Inspection and Emission Repair","POINT (-74.16516798299995 40.72220600700007)","No","No"
"46 AUTO REPAIR INC","92 RT 46 WEST","RIDGEFIELD","NJ","07657","(201) 941-9288","Inspections Only","PIF000755","BERGEN","Diesel Only","POINT (-74.00727846299998 40.84394849600005)","No","No"
"MIDTOWN AUTO REPAIR","348 BROADWAY","BAYONNE","NJ","07002","(201) 858-2959","Emission Repair & Inspections","ERF000024","HUDSON","Auto Inspection and Emission Repair","POINT (-74.12214300299996 40.65872801000006)","No","No"
"LIVINGSTON AUTOBAHN INC","16 E NORTHFIELD RD","LIVINGSTON","NJ","07039","(973) 992-9241","Emission Repair & Inspections","ERF002339","ESSEX","Auto Inspection and Emission Repair","POINT (-74.32395601399998 40.77387599800005)","No","No"
"BILLS INEFFABLE AUTO REHAB","33 JERSEY AVENUE","METUCHEN","NJ","08840","(732) 548-4666","Emission Repair Only","ERF001431","MIDDLESEX","Auto Only","POINT (-74.37243400799997 40.54380901600007)","No","No"
"BETTER LIVING LLC","830 RIVER DRIVE","GARFIELD","NJ","07026","(973) 894-3100","Inspections Only","PIF000970","BERGEN","Auto Only","POINT (-74.12459202799994 40.88365399300005)","No","No"
"FRANKS TUNE & LUBE","1458 RT 38","HAINESPORT","NJ","08036","(609) 265-8999","Emission Repair & Inspections","ERF001658","BURLINGTON","Auto Only","POINT (-74.82001104199998 39.97989498100003)","Yes","Yes"
"BENHAM'S SERVICE & GARAGE I","414 SPRINGFIELD AVE","BERKELEY HTS","NJ","07922","(908) 464-1395","Emission Repair & Inspections","ERF000172","UNION","Auto Inspection and Emission Repair","POINT (-74.43846999399995 40.685293991000044)","No","No"
"ARTIE'S SUMMIT CT GARGE INC","15-17 INDUSTRIAL PLACE","SUMMIT","NJ","07901","(908) 277-6555","Inspections Only","PIF010294","UNION","Auto Only","POINT (-74.35502202899994 40.71476501400008)","No","No"
"MAHWAH SALES AND SERVICE IN","55 FRANKLIN TPKE PO BOX 734","MAHWAH","NJ","07430","(201) 529-3200","Inspections Only","PIF000629","BERGEN","Auto Only","POINT (-74.14729198199996 41.104229014000055)","No","No"
"RAYS RUN WON CORP","286 INMAN AVE","COLONIA","NJ","07067","(732) 388-4939","Emission Repair & Inspections","ERF000495","MIDDLESEX","Auto Inspection and Emission Repair","POINT (-74.31476399999997 40.60026499000003)","No","No"
"EAGANS TRUCK PRTS & ACC LLC","1093 RT 130 NORTH","ROBBINSVILLE","NJ","08691","(609) 208-1300","Inspections Only","PIF000748","MERCER","Diesel Only","POINT (-74.62624761599994 40.210687234000034)","No","No"
"GEORGE WALL LINC MERC INC","700 SHREWSBURY AVE","RED BANK","NJ","07701","(732) 747-5400","Emission Repair Only","ERF001106","MONMOUTH","Auto Only","POINT (-74.07383901699995 40.32539698800008)","No","No"
"KRISHNOHAM INC","600 RT 27","ISELIN","NJ","08830","(732) 283-2469","Emission Repair & Inspections","ERF001943","MIDDLESEX","Auto Inspection and Emission Repair","POINT (-74.31561501399995 40.57703701800006)","No","No"
"HACKETTSTOWN MOTOR IMP INC","220 W STIGER ST","HACKETTSTOWN","NJ","07840","(908) 852-0747","Emission Repair Only","ERF000903","WARREN","Auto Only","POINT (-74.83576600199996 40.85282698800006)","Yes","Yes"
"EDGEWATER GAS & AUTO LLC","1139 COOPER STREET","EDGEWATER PK","NJ","08010","(609) 614-6642","Inspections Only","PIF000620","BURLINGTON","Auto Only","POINT (-74.90912802299994 40.05264902000005)","No","No"
"SOMERSET TIRE SERVICE INC","429 HWY 513","CALIFON","NJ","07830","(908) 832-5819","Inspections Only","PIF000371","HUNTERDON","Auto Only","POINT (-74.84599200799994 40.725710020000065)","No","No"
"KLINE CONSTRUCTION CO INC","240 WAVELAND AVE","GALLOWAY","NJ","08205","(609) 652-3000","Inspections Only","PIF001267","ATLANTIC","Diesel Only","POINT (-74.52903696099997 39.44412301700004)","No","No"
"HAWORTH SERVICE CENTER INC","329 HAWORTH AVE","HAWORTH","NJ","07641","(201) 501-8055","Emission Repair & Inspections","ERF002107","BERGEN","Auto Inspection and Emission Repair","POINT (-73.98958395899996 40.96118999200007)","No","No"
"PHLSBURG EST HVY DTY CAR TR","1075 ROUTE 22 WEST","PHILLIPSBURG","NJ","08865","(908) 456-4500","Inspections Only","PIF001205","WARREN","Diesel Only","POINT (-75.15913523199998 40.69429145000004)","No","No"
"FIXACAR CORP","52 BERLIN RD","STRATFORD","NJ","08084","(856) 627-9600","Inspections Only","PIF000149","BURLINGTON","Auto Only","POINT (-75.00595995899994 39.83460001200007)","No","No"
"HI TECH CAR CARE CTR INC","208 SOUTH SALEM ST","RANDOLPH","NJ","07869","(973) 366-4426","Emission Repair & Inspections","ERF000005","MORRIS","Auto Inspection and Emission Repair","POINT (-74.53774600999998 40.87714100300008)","No","No"
"GLOBAL MOTORS CORP","1099 RT 22 - BOX 1305","NO PLAINFIELD","NJ","07060","(908) 757-4000","Emission Repair & Inspections","ERF000632","UNION","Auto Inspection and Emission Repair","POINT (-74.45533999899999 40.61647001700004)","No","No"
"UNION BRAKES PLUS INC","2612 MORRIS AVENUE","UNION","NJ","07083","(908) 851-9890","Emission Repair & Inspections","ERF001541","UNION","Auto Inspection and Emission Repair","POINT (-74.29278002799998 40.70342098900005)","No","No"
"COUNTY OF UNION BUREAU OF MVS","79 WEST GRAND ST","ELIZABETH","NJ","07202","(908) 659-7470","Emission Repair Only","ERF001930","UNION","Auto Only","POINT (-74.21958799199996 40.66627901500004)","Yes","No"
"HI-TECH AUTO CENTER","503 21 ST AVENUE","PATERSON","NJ","07503","(973) 881-1476","Inspections Only","PIF001252","PASSAIC","Auto Only","POINT (-74.15183396699996 40.906174994000025)","No","No"
"SCHUMACHER CHEV INC","8 MAIN STREET","LITTLE FALLS","NJ","07424","(973) 256-1065","Emission Repair Only","ERF003215","PASSAIC","Auto Only","POINT (-74.22490597399997 40.88136301000003)","No","No"
"MAYO CLINIK INC*","165 MONMOUTH STREET","RED BANK","NJ","07701","(732) 842-8471","Emission Repair & Inspections","ERF001055","MONMOUTH","Auto Inspection and Emission Repair","POINT (-74.07349804099994 40.348649016000024)","No","No"
"GREEN VILLAGE GARAGE LLC","526 GREEN VILLAGE RD","GREEN VILLAGE","NJ","07935","(973) 377-1556","Emission Repair & Inspections","ERF003313","MORRIS","Auto Inspection and Emission Repair","POINT (-74.45247001499996 40.73888567800003)","No","No"
"DCH MONMOUTH LLC","4225 US HWY 9","FREEHOLD","NJ","07728","(732) 462-0042","Emission Repair Only","ERF002891","MONMOUTH","Auto Only","POINT (-74.29350698999998 40.27537999200007)","No","No"
"REITHER BROS GARRAGE.","1570 PRINCETON AVE","TRENTON","NJ","08638","(609) 392-3739","Emission Repair Only","ERF000517","MERCER","Auto Only","POINT (-74.75082002299996 40.24146899100003)","No","No"
"SOMERDALE AUTOMOTIVE REPAIR","412 S WARWICK RD","SOMERDALE","NJ","08083","(856) 435-6626","Emission Repair & Inspections","ERF000752","CAMDEN","Auto Inspection and Emission Repair","POINT (-75.02439503299996 39.836874986000055)","No","No"
"W HAGERTHEYS REPAIR SHOP IN","2063 RTE 206 BOX C","SOUTHAMPTON","NJ","08088","(609) 859-3113","Emission Repair & Inspections","ERF001070","BURLINGTON","Auto Inspection and Emission Repair","POINT (-74.74283701499996 39.93022801400008)","No","No"
"SOMERSET TIRE SERVICE INC","3124 STATE ROUTE 35","HAZLET","NJ","07730","(732) 739-3400","Emission Repair Only","ERF001335","MONMOUTH","Auto Inspection and Emission Repair","POINT (-74.18318697899997 40.42005700500005)","No","No"
"ROB AUTO SERVICE OF NJ INC","209 OAKRIDGE RD","OAKRIDGE","NJ","07438","(973) 697-7009","Emission Repair & Inspections","ERF002708","PASSAIC","Auto Only","POINT (-74.47541599799997 41.05103699500006)","No","No"
"WEST ESSEX CAR CARE","78 OLD BLMFLD AVE #4 PO 324","PINE BROOK","NJ","07058","(973) 882-7422","Inspections Only","PIF011241","MORRIS","Auto Only","POINT (-74.33632499999999 40.858735000000024)","No","No"
"HT AUTOMOTIVE LLC","1301 ROUTE 73","MT LAUREL","NJ","08054","(856) 866-2000","Emission Repair Only","ERF002970","BURLINGTON","Auto Only","POINT (-74.94368099399998 39.91816000100005)","No","No"
"EXPRESS AUTOMOTIVE TOWING I","2 PROSPECT ST","METUCHEN","NJ","08840","(732) 494-4455","Emission Repair & Inspections","ERF002792","MIDDLESEX","Auto Inspection and Emission Repair","POINT (-74.37324504099996 40.535757989000054)","No","No"
"LOVE AUTO","620 KRESSON ROAD","CHERRY HILL","NJ","08034","(856) 354-1955","Inspections Only","PIF000916","CAMDEN","Auto Only","POINT (-74.99922400999998 39.88970700200008)","No","No"
"LIN-Z AUTO SERVICE","211 HUDSON ST","HACKENSACK","NJ","07601","(201) 342-0624","Inspections Only","PIF002276","BERGEN","Auto Only","POINT (-74.04166487799995 40.871965749000026)","No","No"
"GLENN'S ESSO INC","75 TAPPAN ROAD","NORWOOD","NJ","07648","(201) 768-1570","Emission Repair & Inspections","ERF003401","BERGEN","Auto Only","POINT (-73.96602200999996 40.993357013000036)","No","No"
"LAWRENCEVILLE VILLAGE MOBIL","2417 MAIN ST","LAWRENCEVILLE","NJ","08648","(609) 896-1520","Emission Repair & Inspections","ERF001783","MERCER","Auto Only","POINT (-74.73372310099995 40.28974145500007)","No","No"
"RALPH MARTINEZ SERVICE INC","264 PARK AVENUE","NEWARK","NJ","07107","(973) 485-3347","Emission Repair & Inspections","ERF003083","ESSEX","Auto Inspection and Emission Repair","POINT (-74.18669002799999 40.75889598600003)","No","No"
"BAKER CHRYSLER JEEP DODGE I","1045 STATE RD RT 206","PRINCETON","NJ","08540","(609) 921-2222","Emission Repair & Inspections","ERF001588","MERCER","Auto Inspection and Emission Repair","POINT (-74.65170301199998 40.39601401900006)","No","No"
"SOLAR TIRE & AUTMTV SRV INC","181 RTE 15","LAFAYETTE","NJ","07848","(973) 579-3355","Inspections Only","PIF010549","SUSSEX","Auto Only","POINT (-74.70213197899994 41.10886600900005)","No","No"
"A&M AUTO REPAIR CENTER LLC","373 E. HAZELWOOD AVENUE","RAHWAY","NJ","07065","(732) 882-0555","Emission Repair Only","ERF003212","UNION","Auto Only","POINT (-74.27505800199998 40.599975982000046)","No","No"
"PETTYS TIRE & AUTO CENTER","420 EAST WASHINGTON AVENUE","WASHINGTON","NJ","07882","(908) 689-3838","Emission Repair & Inspections","ERF002882","WARREN","Auto Inspection and Emission Repair","POINT (-74.95965900899995 40.76274784300006)","No","No"
"POLK-BURNETT CO INC","99 W MAIN ST","RAMSEY","NJ","07446","(201) 327-0110","Inspections Only","PIF009847","BERGEN","Auto Only","POINT (-74.14586898599998 41.05726801800006)","No","No"
"GARDEN STATE TRK AUTO & EQP","2140 ROUTE 130","MONMOUTH JCT","NJ","08852","(732) 297-1000","Emission Repair & Inspections","ERF001785","MIDDLESEX","Auto Only","POINT (-74.50755787599996 40.397680120000075)","No","No"
"BODYMOTION INC","21 CINDY LN","OCEAN","NJ","07712","(732) 493-2700","Emission Repair & Inspections","ERF000878","MONMOUTH","Auto Inspection and Emission Repair","POINT (-74.04797196099997 40.266611013000045)","No","No"
"MIDDLEBUSH SRVC CENTER INC","1873 AMWELL RD","SOMERSET","NJ","08873","(732) 873-8900","Emission Repair & Inspections","ERF003386","SOMERSET","Auto Inspection and Emission Repair","POINT (-74.53976596499997 40.499947020000036)","No","No"
"AJAYS AUTO WORKS INC","4521 TONNELLE AVE","NORTH BERGEN","NJ","07047","(201) 864-0907","Inspections Only","PIF000460","HUDSON","Auto Only","POINT (-74.03347504 40.784815010000045)","No","No"
"JOES TOWING ATO & TRK REP","100 MIDSTREAMS ROAD","BRICK","NJ","08724","(732) 295-0274","Emission Repair & Inspections","ERF003264","OCEAN","Auto Only","POINT (-74.10545496899994 40.07518301300007)","No","No"
"VKVA LLC","3060 QUAKERBRIDGE ROAD","HAMILTON","NJ","08619","(609) 586-2471","Inspections Only","PIF000438","MERCER","Auto Only","POINT (-74.68686212299997 40.24589780800005)","No","No"
"BOB NOVICK CHEVROLET INC","808 N PEARL ST","BRIDGETON","NJ","08302","(856) 451-0095","Emission Repair Only","ERF001575","CUMBERLAND","Auto Only","POINT (-75.21692299099993 39.45031598700007)","No","No"
"KENNY'S PERFECT AUTO REPAIR","958 S. SPRINGFIELD AVE","SPRINGFIELD","NJ","07081","(973) 467-0082","Emission Repair & Inspections","ERF003442","UNION","Auto Inspection and Emission Repair","POINT (-74.33027797999995 40.68359598500007)","Yes","No"
"TOWN GARAGE OF HAWORTH INC","170 SCHRAALENBURGH RD","HAWORTH","NJ","07641","(201) 384-2422","Inspections Only","PIF010736","BERGEN","Auto Only","POINT (-73.98409800299999 40.96016601700006)","No","No"
"NELSON AUTO REPAIR","650-652 FERRY STREET","NEWARK","NJ","07105","(973) 856-6268","Emission Repair & Inspections","ERF003321","ESSEX","Auto Inspection and Emission Repair","POINT (-74.13349201599993 40.73282998600007)","No","No"
"DFFLM LLC","215 ROUTE 202 & 31","FLEMINGTON","NJ","08822","(908) 782-3673","Emission Repair Only","ERF003316","HUNTERDON","Auto Only","POINT (-74.86285142299994 40.487757474000034)","No","No"
"KEITH D SMITH INC","135 EAST MAIN STREET","MARLTON","NJ","08053","(856) 983-0620","Inspections Only","PIF007187","BURLINGTON","Auto Only","POINT (-74.90552598399995 39.884446980000064)","No","No"
"DIRECT DSL EMSNS TSTNG LLC","140 BAEKELAND AVENUE","MIDDLESEX","NJ","08846","(732) 560-8900","Inspections Only","PIF000779","MIDDLESEX","Diesel Only","POINT (-74.51226200699995 40.560134994000066)","No","No"
"VINCE AUTO SALES INC","280 MAIN ST","MADISON","NJ","07940","(973) 822-1600","Emission Repair Only","ERF002807","MORRIS","Auto Only","POINT (-74.40117496699997 40.750663993000046)","No","No"
"BAM RAH & SONS INC","2402 RT 516","OLD BRIDGE","NJ","08857","(732) 679-2400","Emission Repair & Inspections","ERF002588","MIDDLESEX","Auto Inspection and Emission Repair","POINT (-74.32901097199994 40.40554001000004)","No","No"
"EB AUTO REPAIR INC","376 RT 18","E BRUNSWICK","NJ","08816","(732) 238-2000","Emission Repair & Inspections","ERF002839","MIDDLESEX","Auto Inspection and Emission Repair","POINT (-74.39738802399995 40.45066000400004)","No","No"
"TOM'S AUTO SERV CTR INC","452 WHITE HRS PK PO BX423","ATCO","NJ","08004","(856) 767-5589","Emission Repair & Inspections","ERF000147","CAMDEN","Auto Inspection and Emission Repair","POINT (-74.89097999999996 39.76769000000007)","No","No"
"KNEBLES AUTO SERV CTR INC","5473 SOMERS PT MAYSLANDING","MAYS LANDING","NJ","08330","(609) 625-3286","Emission Repair & Inspections","ERF000242","ATLANTIC","Auto Inspection and Emission Repair","POINT (-74.71750980399997 39.446841971000026)","No","No"
"LORUSSO AUTOMOTIVE LLC","2801 BELMAR BLVD","WALL","NJ","07719","(732) 280-3533","Emission Repair Only","ERF003090","MONMOUTH","Auto Only","POINT (-74.06709803899997 40.17905000600007)","No","No"
"SOUTHSIDE GARAGE","171 RIVER RD","CLIFTON","NJ","07014","(973) 594-1103","Emission Repair Only","ERF000703","PASSAIC","Auto Only","POINT (-74.13130702199999 40.827674992000034)","No","No"
"FLEET TECH LLC","3 VAN DYKE RD","BRANCHBURG","NJ","08876","(908) 239-4811","Inspections Only","PIF000778","SOMERSET","Diesel Only","POINT (-74.68769901199994 40.56522100700005)","No","No"
"MAXON HYUNDAI INC","2329 RTE 22","UNION","NJ","07083","(908) 851-5500","Emission Repair Only","ERF002603","UNION","Auto Only","POINT (-74.29271800199996 40.691396017000045)","No","No"
"OZZY'S AUTO REPAIR","401 GOFFLE ROAD","WYCKOFF","NJ","07481","(201) 857-0977","Inspections Only","PIF001157","BERGEN","Auto Only","POINT (-74.14181298299998 40.98256799400008)","No","No"
"DIRECT INSPECT","15 DEERFIELD RD","OXFORD","NJ","07863","(908) 637-8997","Inspections Only","PIF000720","WARREN","Auto and Diesel","POINT (-74.93129295999995 40.848115017000055)","No","No"
"LORINGERS BP LLC","901 BURLINGTON AVE","DELANCO","NJ","08075","(856) 461-2798","Emission Repair & Inspections","ERF003395","BURLINGTON","Auto Inspection and Emission Repair","POINT (-74.95212299499997 40.051122005000025)","No","No"
