Treatment Center,Physical Address,Suite/Floor Number,Phone Number,Service Modalities,Population Served,Payment Method,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,Historical Wards 2003-2015
"Chicago Treatment & Counseling Centers, Inc. III ","1849 Cicero Ave
Cicero, ILLINOIS 60804
(41.85586222796403, -87.74434940624535)",,708-656-9500,Methadone Maintenance,Adults,Self Payment,,,4458,,,
Deer Rehabilitation Services Inc.,"3936 Roosevelt Rd
Chicago, ILLINOIS 60624
(41.86616794070312, -87.72417595940294)",Suite 201 ,773-826-0398,"Level 1 & 2, DUI Services",Adults & Adolescents,Self Payment,57,30,21572,33,14,36
"IJEGBA Community, Inc. ICI","1950 75th St
Chicago, ILLINOIS 60649
(41.75886083616706, -87.57654325507309)",,773-684-8422,Level 1 & 2 ,Adults,Client Fee,24,39,22538,188,35,9
DUI-Metropolitan Services Inc.,"6254 Addison St
Chicago, ILLINOIS 60634
(41.94577099345542, -87.78271261800715)",,773-481-9750,"Level 1 & 2,    DUI Services",Adults & Adolescents,"Self Payment, Sliding Scale",52,17,22254,443,44,25
Healthcare Alternative Systems Inc.,"1866 Milwaukee Ave
Chicago, ILLINOIS 60647
(41.91544179468849, -87.68528028163576)",,773-782-4734,RH ,"Adults, Bilingual Spanish",Sliding Scale,1,23,22535,373,40,24
Haymarket Center-O-Hare Outreach,"66243 Chicago
ILLINOIS 60666
(41.975490000000036, -87.90499)",,773-686-6480,Level 1 & 2,Adults,No Fee,38,75,16197,668,29,34
"Le Penseur Youth and Family Services, Inc.","8036 Western Ave
Chicago, ILLINOIS 60620
(41.747178643006464, -87.68277117317399)",,773-778-4983,Level 1 & 2,Adults & Adolescents,Contact Agency,59,69,21554,243,30,6
Lutheran Social Services of Illinois – Women's Residence,"5517 Kenmore
Chicago, ILLINOIS 60640
(41.982193678773385, -87.65635484233647)",3rd floor ,773-275-7962 ,"Level 3.5,  Residential Extended Care",Adult Women,Sliding Scale Medicaid,15,76,22616,145,16,40
Habilitative Systems Inc.,"415 Kilpatrick St
Chicago, ILLINOIS 60644
(41.888409593720866, -87.74304785078974)",,773-854-1812,Level 1 & 2,Adults & Adolescents,Contact Provider,32,26,22216,695,23,11
"DUI Community Counseling, Inc.","6950 Archer Ave
Chicago, ILLINOIS 60638
(41.79215325043743, -87.79555755681483)",Unit 3 ,,"Level 1 & 2,  DUI Evaluation, DUI Risk Education",Adults,Contract Agency,7,53,22268,588,6,35
HRDI – Women’s Program Essence House,"1223 Marquette Rd
Chicago, ILLINOIS 60636
(41.77225778755886, -87.65520467800908)",,773-651-2720,Level 3.5,Adults ,Sliding Scale,23,65,22257,21,31,17
Alexian Brothers Bonaventure House,"825 Wellington St
Chicago, ILLINOIS 60657
(41.936293838518154, -87.64980291751327)",,773-327-9921 x123,RH,"Adult Women, HIV/AIDS, Gay & Lesbian","Self Payment, Sliding Scale ",22,57,4449,681,25,38
Healthcare Alternative Systems Inc.,"1942 California Ave
Chicago, ILLINOIS 60647
(41.916961648918004, -87.69718730530366)",,773-292-4242,Level 1 & 2,Adults,"Client Fee, Sliding Scale, Third Party",1,23,22535,350,41,15
Healthcare Alternative Systems Inc.,"3026 California Ave
Chicago, ILLINOIS 60608
(41.838739576099925, -87.6951327218215)",,773-869-3590,Level 1 & 2 ,Adults,"Sliding Scale, Medicaid",57,32,14920,124,14,29
A Safe Haven,"2049 Jarvis St
Chicago, ILLINOIS 60645
(42.015078518290736, -87.68244598055738)",,312-372-6707 x122,RH,Adults,Sliding Scale,12,10,22528,52,5,3
The Gate to Recovery  & Alternative Community,"5612 63rd St
Chicago, ILLINOIS 60638
(41.77803438183173, -87.76233419310614)",1st Floor,773-573-0879,"Level 1 & 2,  DUI Evaluation,  DUI Risk Education",Adults & Adolescents,Contact Agency ,7,62,22268,266,15,23
McDermott Center/Haymarket Center MATER Hall,"932 Washington Blvd
Chicago, ILLINOIS 60607
(41.88305720841339, -87.65125892926733)",6th Floor  ,312-226-7984 x520,"RH, Level 3.5","Women & Pregnant Women, Children under age 5","Medicaid, Self Payment, Sliding Scale",44,29,14917,63,26,41
Healthcare Alternative Systems Inc. – Residential,"1949 Humboldt Blvd
Chicago, ILLINOIS 60647
(41.917060574341235, -87.70171988833135)",,773-252-2666,Level 3 Inpatient Sub-acute,"Adult (M only), Primarily Hispanic","Client Fee, Sliding Scale, Third Party",1,23,22535,350,41,15
The Wells Center IYC,"136 Western Ave
Chicago, ILLINOIS 60612
(41.883629912134225, -87.6865608330082)",,312-633-5219,Level 1 & 2,Adolescents,Contact Agency,28,29,21184,37,46,48
DUI-Metropolitan Services Inc.,"7506 Harlem Ave
Chicago, ILLINOIS 60631
(42.017241640932475, -87.80666095539324)",,773-731-5395,"Level 1 & 2,    DUI Services",Adults,"Self Payment, Sliding Scale, Medicaid",17,77,22243,653,29,34
Henry’s Sober Living House,"7143 Harvard Ave
Chicago, ILLINOIS 60621
(41.76412187003848, -87.63339839376539)",,773-488-1716,RH,Adult Men,Sliding Scale,11,67,21559,494,32,31
State of Mind Mental Health & Consultations Services PC,"400 41st St
Chicago, ILLINOIS 60653
(41.82024855788711, -87.614539610811)", Suite 101A ,773-285-0804,DUI Services,Adults,Self Payment,36,4,4301,625,9,12
"Campaign for a Drug-free Westside, Inc.","300 Central Ave
Chicago, ILLINOIS 60644
(41.88592604568686, -87.76505913885495)",,773-261-1421,DUI Services,Adults ,Contact Agency,32,26,22216,674,45,11
Hazelden Chicago,"867 Dearborn St
Chicago, ILLINOIS 60610
(41.89855975752733, -87.62974543802676)",,312-943-3534,"Level 1 & 2,   RH",Adults,"Client Fee, Third Party",54,37,14926,230,11,22
“N” The Spirit Transformational Living,"7225 Yale Ave
Chicago, ILLINOIS 60621
(41.76273691411336, -87.63094324462543)",,773-892-3155,RH,Adults,Client Fee ,11,67,21559,494,32,17
Youth Outreach Services,"5114 Elizabeth St
Chicago, ILLINOIS 60609
(41.801117296742646, -87.65634328760791)", 3rd Floor,773-446-6244,Level 1 & 2 ,Adolescents,Contact Agency,37,59,14924,790,4,19
Southwood Interventions Women’s Short-term & City Women,"5701 Wood St
Chicago, ILLINOIS 60636
(41.79027482889277, -87.66927815924298)",,773-737-4600,Level 3.5,Adult Women,"Homeless Initiative, Medicaid, Third Party",23,65,22257,385,3,44
Garfield Counseling Center Inc.,"4132 Madison St
Chicago, ILLINOIS 60624
(41.88068299825602, -87.72949994581643)",,773-533-0433,Methadone Services,"Adults, Bilingual Spanish",Sliding Scale,30,27,21572,659,23,11
McDermott Center/Haymarket Center IOP,"108 Sangamon St
Chicago, ILLINOIS 60607
(41.88334691324832, -87.65096580330675)",,312-226-7984 x508,Level 1 & 2,Adults,"Medicaid, Sliding Scale, Self Payment",44,29,14917,63,46,41
Komed/Holman Health Center,"4259 Berkeley
Chicago, ILLINOIS 60653
(41.81735944565127, -87.60053927346164)",,773-268-7600,Level 1 & 2,Adults & Adolescents,Medicaid,36,2,4301,220,10,1
Bilingual DUI Counseling & Clinical Services Inc.,"4001 Devon Ave
Chicago, ILLINOIS 60649
(41.99718958035763, -87.72892150039317)",Suite 509,773-725-8140,"Level 1 & 2, DUI Services",Adults,Sliding Scale,18,12,22532,713,38,28
Safer Foundation Crossroads A.T.C.,"3210 Arthington St
Chicago, ILLINOIS 60624
(41.87009657385446, -87.70609804113444)",,773-533-5000,Level 1 & 2 ,Adults,Contact Agency,30,28,21572,36,14,36
"Asian Human Services, Inc.","4753 BRdway
Chicago, ILLINOIS 60640
(41.971839999999986, -87.66115999999994)",Ste 700   ,773-293-8437,Level 1,Adults,Sliding Scale,15,31,22616,633,18,37
South Shore Hospital Medical Detox,"8012 Crandon Ave
Chicago, ILLINOIS 60617
(41.74962249661854, -87.56872445520536)",,773-356-5098,Level 4,Adults,Medicaid,25,42,21202,507,35,9
Ada S. McKinley,"2454 71st St
Chicago, ILLINOIS 60629
(41.76472527925688, -87.68490111154657)",,773-434-5526,Level 1 & 2,Adults & Adolescents,Client Fee,58,64,21867,383,31,44
Gateway Foundation Alcohol & Drug Treatment/Chicago Northwest,"4301 Grand Ave
Chicago, ILLINOIS 60651
(41.90920049980514, -87.73405051528465)",,773-862-2279,"Level 1 & 2, DUI Services",Adults & Adolescents,Sliding Scale,5,24,4299,286,49,27
DUI Rehabilitation Center Inc.,"4108 Sheridan Rd
Chicago, ILLINOIS 60613
(41.95698147922184, -87.65461340043657)",,773-490-4357,"Level 1 & 2,       DUI Services",Adults,Contact Agency,53,31,21186,577,39,37
Indiana Avenue DUI Service,"1525 53rd St
Chicago, ILLINOIS 60615
(41.79956415121319, -87.58825242789453)",Suite 614  ,773-684-8507,"Level 1 & 2,    DUI Services",Adults,Sliding Scale,10,8,21192,500,10,1
Healthcare Alternative Systems Inc.,"4534 Western Ave
Chicago, ILLINOIS 60609
(41.81102151386648, -87.68448887824997)",,773-254-5141 x237,"Level 1 & 2, DUI Services",Adults,"Medicaid, State Funded, Sliding Scale",37,55,14924,687,3,29
Hardin House,"7249 Saint Lawrence Ave
Chicago, ILLINOIS 60619
(41.76253007004664, -87.61032179049357)",,773-874-3774,RH,Adults,Contact Agency,61,67,21546,515,32,31
Louise Landau Health Center      Near North Center,"800 Kedzie Ave
Chicago, ILLINOIS 60651
(41.89560700223869, -87.70662316075853)",Suite 104,773-826-3450,Level 1 & 2,Adults & Adolescents,Contact Agency,5,24,4299,150,46,41
"Sky is the Limit Recovery Facilities Inc., NFP","6857 Halsted St
Chicago, ILLINOIS 60621
(41.76898720221698, -87.64451401404756)",2nd Floor,773-994-8244,Level 1 & 2,"Adults & Adolescents, Criminal Justice","Medicaid, Self Payment",11,66,21559,410,32,31
Safer Foundation/North Lawndale ATC    ,"2839 Fillmore St
Chicago, ILLINOIS 60612
(41.868241993295115, -87.69732954741238)",,773-638-8480,Level 1 & 2,Adults,Client Fee,28,30,21184,35,23,11
Anixter Center Addiction Recovery for the Deaf,"2001 Clybourn Ave
Chicago, ILLINOIS 60614
(41.91773902388309, -87.65893362327762)",Suite 301 & 401 ,773-227-8562,Level 3.5,"Adults, Deaf/Hearing Impaired","Third Party, Sliding Scale, Client Fee, Medicaid",16,68,21190,210,11,51
"Ashunti Residential Management Systems, Inc.","4944 Huron St
Chicago, ILLINOIS 60644
(41.89310263548066, -87.74997750842357)",,773-379-6984,RH,Adults,Contact Agency,32,26,22216,694,45,4
HRDI – BRASS II,"8000 Racine Ave
Chicago, ILLINOIS 60620
(41.74856359893158, -87.65369609196671)",,773-994-2708,Methadone Maintenance,Adults ,Sliding Scale,59,70,21554,575,13,18
Polish American Association Starting Point,"3834 Cicero Ave
Chicago, ILLINOIS 60655
(41.95072611202765, -87.74729334082684)",,773-282-8206 x354,"Level 1 & 2, DUI Services","Adults, Bilingual Polish",Sliding Scale,21,15,22618,360,50,20
"Intervention Instruction, Inc.","2001 Addison
Chicago, ILLINOIS 60618
(41.94680875505363, -87.67857903352147)",,773-248-6628,DUI Risk Education,Adults,Client Fee,39,46,21538,614,18,13
GW & Associates A Wellness Organization,"6924 Glenwood Ave
Chicago, ILLINOIS 60626
(42.00740242766424, -87.66619986921974)",,773-338-9999,"Level 1 & 2, DUI Services",Adults & Adolescents,Sliding Scale,9,10,21853,358,5,3
"DUI Alternatives Treatment Center, Inc.","5935 Pulaski Rd
Chicago, ILLINOIS 60629
(41.7847523173906, -87.72289892212137)",Suite 2     ,773-581-1970,Level 1 & 2,Adults & Adolescents,Client Fee,58,63,21867,339,6,23
HRDI – Chicago Girls Program,"2311 98th St
Chicago, ILLINOIS 60617
(41.7164389525862, -87.56756335223437)",,773-933-5570,Level 3.5,Adolescent Girls,Sliding Scale,25,48,21202,252,47,43
Alliance Behavioral Services Inc.,"5906 Troy St
Chicago, ILLINOIS 60629
(41.78610155401181, -87.70218516474658)",,773-777-8636,"Level 1 & 2, DUI Services",Adults,"Sliding Scale, Client Fee",58,64,21867,183,2,19
"Access Behavioral Services, Inc.","3948 26th St
Chicago, ILLINOIS 60623
(41.84427844250996, -87.72383421703182)",Suite 114 ,312-659-3570,"Level 1 & 2,      DUI Services",Adults,Contact Agency,57,32,21569,771,28,14
Latino Treatment Center Chicago,"2608 Petersen Ave
Chicago, ILLINOIS 60659
(41.99046323837268, -87.69499295955217)",,847-695-9155,Level 1 & 2,Adult Primarily Hispanic,"Medicaid, Self Payment",50,20,4450,15,24,46
Jack Clarks Family Recovering Community Inc.,"2915 2917 W Armitage St
Chicago, ILLINOIS 60647
(41.92115000000007, -87.70218999999997)",Suite 17 ,773-252-2877,RH,Adults,Sliding Scale,1,23,22535,322,41,15
Loretto Hospital,"645 Central Ave
Chicago, ILLINOIS 60644
(41.892437137179, -87.76530195580284)",,773-854-5445,"Level 1, 2, & 4, DUI Services",Adults,"Medicaid, Self Payment",32,26,22216,672,7,52
HRDI – Near West,"2207 18th St
Chicago, ILLINOIS 60608
(41.85758840854362, -87.68122433928357)",,312-226-6989,Level 3 Adult Inpatient Sub-acute ,Adult Men,Sliding Scale,43,33,14920,4,26,8
"Elite House of Sober Living, Inc","1236 72nd Pl
Chicago, ILLINOIS 60636
(41.76229624631901, -87.65547674958475)",,773-994-8353,RH,Adults,Third Party,23,65,22257,408,32,17
Association House of Chicago,"1116 Kedzie Ave
Chicago, ILLINOIS 60651
(41.90152511582621, -87.706795718495)",,773-772-8009,"Level 1 & 2, DUI Services ",Adults & Adolescents Services in English & Spanish,"Sliding Scale, Medicaid",5,24,4299,150,49,10
Mercy Housing Lakefront/South Loop Apartments,"1521 Wabash Ave
Chicago, ILLINOIS 60605
(41.86125169095953, -87.62557641139145)",,312-447-4500,Level 1 & 2 ,Adults,Contact Agency,35,34,14913,374,9,48
Henry’s Sober Living House,"6634 Drexel
Chicago, ILLINOIS 60637
(41.77432293660677, -87.60343650923532)",,773-752-1300,RH,Adult Men,Sliding Scale,60,9,22260,347,33,32
Avance Inc.,"4765 Lincoln Ave
Chicago, ILLINOIS 60625
(41.96799144727349, -87.68805023117436)",Suite 203-204,773-293-1770,"Level 1 & 2, DUI Services",Adults & Adolescents,"Third Party, Client Fee, Sliding Scale",20,6,21849,665,18,13
"Emages, Inc.","110 79th
Chicago, ILLINOIS 60619
(41.7510567153199, -87.621170035909)",1st Floor  ,773-224-7386,"Level 1 & 2, DUI Services",Adults,"Client Fee, Third Party, Medicaid",61,67,21546,475,32,31
DUI Counseling Center At The Diversey Kimball Building,"3411 Diversey Ave
Chicago, ILLINOIS 60647
(41.93191571233773, -87.71296947565615)", Suite 15 ,773-289-4841,"Level 1 & 2, DUI Services ","Adults, Bilingual Spanish",Self Payment,1,23,22535,72,12,15
Wendy Stebbins Counseling Centers,"8 Michigan Ave
Chicago, ILLINOIS 60603
(41.88199849964541, -87.62454995441514)",Suite 1403 ,312-493-3530,"Level 1,          DUI Evaluation, DUI Risk Education",Adults,Client Fee,34,38,14311,367,36,22
Central States Institute of Addiction,"651 Lake St
Chicago, ILLINOIS 60661
(41.88563739917868, -87.64444214580742)",Room 100 A,312-655-7530,DUI Evaluation,Adults,Contact Agency,45,29,4452,784,36,41
Heartland Health Outreach Pathways Home Outpatient,"4750 Sheridan Rd
Chicago, ILLINOIS 60640
(41.968429848654864, -87.65481125128304)",Suite 500  ,773-751-4103,Level 1 & 2,Adults,"Medicaid, Self Payment, Sliding Scale",15,31,22616,19,39,37
American Indian Health Services,"4081 BRdway St
Chicago, ILLINOIS 60613
(41.95436000000001, -87.65913)",,773-883-9100,Level 1,Adults & Adolescents,Sliding Scale,53,57,21186,725,25,38
Woodlawn Organization Substance Abuse Services/Entry House,"1447 65th St
Chicago, ILLINOIS 60637
(41.77687090411069, -87.58939136941076)",,773-493-6116,"Level 1, 2, 3.2 & 3.5",Adults,Sliding Scale,60,9,22260,134,4,53
TCA Health Inc.,"1029 130th St
Chicago, ILLINOIS 60628
(41.65909562521194, -87.60267546778017)",,773-995-6300,Level 1 & 2,Adults,Client Fee,47,51,4460,9,43,30
"Hope House of Chicago, INC.","1207 Central Park Ave
Chicago, ILLINOIS 60623
(41.86607272060229, -87.7153127629121)",,773-521-8442,RH,Adults,Contact Agency,57,30,21572,772,14,36
St. Leonard’s Ministries,"2100 Warren Blvd
Chicago, ILLINOIS 60612
(41.882256032261914, -87.67917724294068)",,312-738-1414,RH,Adults,Client Fee,28,29,21184,37,46,48
McDermott Center/Haymarket Center MISA,"108 Sangamon St
Chicago, ILLINOIS 60607
(41.88334691324832, -87.65096580330675)",,312-226-7984 x411,Level 3.5,"MISA, Adults","Medicaid, Self Payment, Sliding Scale",44,29,14917,63,46,41
McDermott Center/Haymarket,"120 Sangamon St
Chicago, ILLINOIS 60607
(41.87966676436292, -87.65078228859176)","1st, 2nd & 4th Floor",312-226-7984,Detox Medically monitored,Adults,Sliding Scale Medicaid,44,29,14917,91,26,48
Hand-n-Hand Outreach Not for Profit,"4207 Carroll Ave
Chicago, ILLINOIS 60624
(41.88693328635969, -87.73108275258795)",1st Floor,773-722-7148,RH,Adults,No Fee,30,27,21572,619,23,11
Center for Addictive Problems,"609 Wells St
Chicago, ILLINOIS 60610
(41.89664411742152, -87.6341259712158)",,312-266-0404 x200,"Level 1, Methadone Maintenance,  Ambulatory Detox",Adults,"Third Party, Client Fee",54,37,14926,310,11,22
Lutheran Social Services,"1710 Lunt Ave
Chicago, ILLINOIS 60626
(42.00905080426533, -87.67266988863483)",,773-981-0174,RH,Adults,Contact Agency,9,10,21853,49,5,3
Magnolia House Counseling Center,"3717 Ravenswood Ave
Chicago, ILLINOIS 60613
(41.94909423004712, -87.67360873216133)",,773-871-4717,"Level 1 & 2, DUI Services",Adults,Self Payment,53,57,21186,689,18,13
Lutheran Social Services of Illinois – North Kenmore Outpatient,"5517 Kenmore
Chicago, ILLINOIS 60640
(41.982193678773385, -87.65635484233647)", 1st Floor,773-275-7962 x214,Level 1 & 2,Adults,Sliding Scale  Medicaid,15,76,22616,145,16,40
Sundance Methadone Treatment Center,"4545 Broadway
Chicago, ILLINOIS 60640
(41.96440388215173, -87.65662967912286)",3rd Floor ,773-784-1111,Methadone Maintenance,Adults,Self Payment,15,31,22616,241,39,37
Community Counseling Centers of Chgo. Westside Adult,"121 Campbell Ave
Chicago, ILLINOIS 60612
(41.883534381835766, -87.68862294909326)",,312-633-3838,Level 1 & 2 ,Adults,Sliding Scale,28,29,21184,37,46,48
HRDI – Brass I,"340 51st St
Chicago, ILLINOIS 60615
(41.80214606889609, -87.61823296238566)",,773-869-0300,"Level 1 & 2, Methadone Maintenance",Adults & Adolescents,Sliding Scale,10,4,21192,449,9,12
Southwood Interventions,"5701 Wood St
Chicago, ILLINOIS 60636
(41.79027482889277, -87.66927815924298)",,773-737-4600,Level 3.7D ,Adults,Sliding Scale,23,65,22257,385,3,44
Y.A.N.A. House ,"7120 Normal Blvd
Chicago, ILLINOIS 60621
(41.76465247003574, -87.63708561408555)",,773-874-7120,RH,Adults,Contact Agency,11,66,21559,511,32,31
"People Overwhelmed, Inc. ","326 64th St
Chicago, ILLINOIS 60621
(41.778161150374615, -87.6333390385115)", Suite 203,773-851-9361,DUI Evaluation,Adults,Contact Agency,11,66,21559,435,4,53
Women’s Treatment Center,"140 Ashland Ave
Chicago, ILLINOIS 60607
(41.88446015077909, -87.66689813935682)",,312-850-0050,"Level 1, 2 & 3.5, 3.7D, RH, Methadone Maintenance","Adult Women, Children under age of 5",Sliding Scale,28,29,14917,63,46,41
