"outcome","week_end","age_group","unvaccinated_rate","vaccinated_rate","boosted_rate","crude_vaccinated_ratio","crude_boosted_ratio","age_adjusted_unvaccinated_rate","age_adjusted_vaccinated_rate","age_adjusted_boosted_rate","age_adjusted_vaccinated_ratio","age_adjusted_boosted_ratio","population_unvaccinated","population_vaccinated","population_boosted","outcome_unvaccinated","outcome_vaccinated","outcome_boosted","age_group_min","age_group_max"
"Cases","2021-06-26T00:00:00.000","All","15.3","4.2",,"3.6428571429",,"16.810599561","3.2407759452",,"5.1872143723",,"1209695","1301153",,"185","54",,"999","999"
"Cases","2022-06-11T00:00:00.000","0-4","175.8",,,,,,,,,,"162642",,,"286",,,"0","4"
"Cases","2022-08-06T00:00:00.000","65-79","293.1","175.6","214","1.6691343964","1.3696261682",,,,,,"42652","44979","171972","125","79","368","65","79"
"Cases","2021-11-27T00:00:00.000","18-29","274.9","116.3","21","2.3637145314","13.09047619",,,,,,"161498","300088","23820","444","349","5","18","29"
"Cases","2021-09-18T00:00:00.000","5-11","154.4",,,,,,,,,,"210448",,,"325",,,"5","11"
"Cases","2022-01-15T00:00:00.000","0-4","880.5",,,,,,,,,,"162642",,,"1432",,,"0","4"
"Deaths","2021-05-15T00:00:00.000","18-29","0.4","0",,,,,,,,,"270254","155838",,"1","0",,"18","29"
"Hospitalizations","2021-05-29T00:00:00.000","30-49","12.8","0.2",,"64",,,,,,,"305359","407174",,"39","1",,"30","49"
"Hospitalizations","2021-08-28T00:00:00.000","30-49","22.2","0.8",,"27.75",,,,,,,"234431","521114",,"52","4",,"30","49"
"Cases","2021-09-25T00:00:00.000","0-4","57.2",,,,,,,,,,"162642",,,"93",,,"0","4"
"Hospitalizations","2022-01-29T00:00:00.000","80+","128.4","160.7","46.7","0.7990043559","2.7494646681",,,,,,"26471","16805","40643","34","27","19","80","200"
"Deaths","2022-01-01T00:00:00.000","80+","66.8","43","11.1","1.5534883721","6.018018018",,,,,,"26952","20916","36161","18","9","4","80","200"
"Deaths","2022-03-05T00:00:00.000","5-11","1","0",,,,,,,,,"102050","86510",,"1","0",,"5","11"
"Cases","2021-09-25T00:00:00.000","5-11","121.2",,,,,,,,,,"210448",,,"255",,,"5","11"
"Cases","2021-05-22T00:00:00.000","80+","55.3","20.9",,"2.6459330144",,,,,,,"34344","47857",,"19","10",,"80","200"
"Deaths","2022-01-22T00:00:00.000","5-11","0","0",,,,,,,,,"116540","57107",,"0","0",,"5","11"
"Cases","2022-01-29T00:00:00.000","30-49","427.5","218.5","268.4","1.9565217391","1.5927719821",,,,,,"135663","322167","278291","580","704","747","30","49"
"Hospitalizations","2022-06-18T00:00:00.000","5-11","0","2.1","0","0",,,,,,,"96210","94827","4308","0","2","0","5","11"
"Cases","2021-10-02T00:00:00.000","0-4","60.9",,,,,,,,,,"162642",,,"99",,,"0","4"
"Hospitalizations","2022-07-02T00:00:00.000","12-17","0","0","0",,,,,,,,"34302","92773","38108","0","0","0","12","17"
"Deaths","2021-11-27T00:00:00.000","80+","7.2","20.7","0","0.347826087",,,,,,,"27925","33774","22512","2","7","0","80","200"
"Cases","2022-08-06T00:00:00.000","80+","150.5","203.3","221.9","0.7402852927","0.6782334385",,,,,,"25251","11808","47318","38","24","105","80","200"
"Cases","2021-10-02T00:00:00.000","5-11","131.6",,,,,,,,,,"210448",,,"277",,,"5","11"
"Cases","2021-12-04T00:00:00.000","12-17","702.4","105.4",,"6.6641366224",,,,,,,"56520","107237",,"397","113",,"12","17"
"Deaths","2022-03-26T00:00:00.000","50-64","2.4","0","0",,,,,,,,"41100","141177","227872","1","0","0","50","64"
"Hospitalizations","2022-01-15T00:00:00.000","18-29","46.5","14.2","6.7","3.2746478873","6.9402985075",,,,,,"128914","245932","89041","60","35","6","18","29"
"Cases","2022-03-12T00:00:00.000","12-17","68.2","22.6","47.7","3.017699115","1.429769392",,,,,,"36673","97281","29357","25","22","14","12","17"
"Cases","2021-10-09T00:00:00.000","0-4","59",,,,,,,,,,"162642",,,"96",,,"0","4"
"Deaths","2022-06-04T00:00:00.000","50-64","2.6","0","0",,,,,,,,"38372","132920","239486","1","0","0","50","64"
"Cases","2022-04-02T00:00:00.000","50-64","112.7","36.4","69.3","3.0961538462","1.6262626263",,,,,,"40823","139998","229390","46","51","159","50","64"
"Deaths","2021-09-11T00:00:00.000","65-79","11.3","2",,"5.65",,,,,,,"61921","196666",,"7","4",,"65","79"
"Deaths","2021-06-05T00:00:00.000","65-79","17.6","1.1",,"16",,,,,,,"74015","181501",,"13","2",,"65","79"
"Hospitalizations","2022-04-09T00:00:00.000","50-64","7.4","5","2.2","1.48","3.3636363636",,,,,,"40540","139026","230636","3","7","5","50","64"
"Cases","2021-08-07T00:00:00.000","18-29","242.2","104.2",,"2.3243761996",,,,,,,"211823","277231",,"513","289",,"18","29"
"Deaths","2021-10-30T00:00:00.000","18-29","0","0","0",,,,,,,,"171553","307791","7695","0","0","0","18","29"
"Cases","2021-10-16T00:00:00.000","0-4","48.6",,,,,,,,,,"162642",,,"79",,,"0","4"
"Cases","2022-07-30T00:00:00.000","12-17","219.3","78.2","108.6","2.8043478261","2.0193370166",,,,,,"33745","90818","40498","74","71","44","12","17"
"Deaths","2021-10-30T00:00:00.000","12-17","0","0",,,,,,,,,"62243","102304",,"0","0",,"12","17"
"Cases","2022-06-25T00:00:00.000","5-11","70.9","90.4","73.4","0.7842920354","0.9659400545",,,,,,"95953","94033","5449","68","85","4","5","11"
"Cases","2021-10-16T00:00:00.000","5-11","109.3",,,,,,,,,,"210448",,,"230",,,"5","11"
"Deaths","2022-02-26T00:00:00.000","50-64","9.4","2","0.9","4.7","10.444444444",,,,,,"42364","146951","219416","4","3","2","50","64"
"Hospitalizations","2021-09-18T00:00:00.000","All","16.1","3.2",,"5.03125",,"24.899158251","2.4481599896",,"10.170560077",,"1021114","1498278",,"164","48",,"999","999"
"Hospitalizations","2021-10-09T00:00:00.000","65-79","35.7","9.3",,"3.8387096774",,,,,,,"58826","193841",,"21","18",,"65","79"
"Hospitalizations","2021-08-21T00:00:00.000","50-64","56.8","4.3",,"13.209302326",,,,,,,"88084","323462",,"50","14",,"50","64"
"Cases","2021-10-23T00:00:00.000","0-4","54.7",,,,,,,,,,"162642",,,"89",,,"0","4"
"Hospitalizations","2021-09-25T00:00:00.000","18-29","11.4","0.3",,"38",,,,,,,"184700","298911",,"21","1",,"18","29"
"Cases","2021-08-21T00:00:00.000","30-49","298.3","115.6",,"2.580449827",,,,,,,"240063","517156",,"716","598",,"30","49"
"Cases","2022-02-19T00:00:00.000","12-17","107.5","44.3","61.2","2.4266365688","1.7565359477",,,,,,"38142","97106","24513","41","43","15","12","17"
"Hospitalizations","2021-05-22T00:00:00.000","30-49","21.9","1.3",,"16.846153846",,,,,,,"315626","375003",,"69","5",,"30","49"
"Deaths","2022-01-08T00:00:00.000","5-11","0","0",,,,,,,,,"129227","48446",,"0","0",,"5","11"
"Cases","2022-06-25T00:00:00.000","65-79","242","158.3","177.6","1.5287428932","1.3626126126",,,,,,"43392","46747","169449","105","74","301","65","79"
"Hospitalizations","2021-08-07T00:00:00.000","80+","35","16.9",,"2.0710059172",,,,,,,"31444","53369",,"11","9",,"80","200"
"Hospitalizations","2022-06-11T00:00:00.000","5-11","0","0","0",,,,,,,,"96527","96135","2747","0","0","0","5","11"
"Cases","2021-10-30T00:00:00.000","0-4","62.7",,,,,,,,,,"162642",,,"102",,,"0","4"
"Cases","2021-04-03T00:00:00.000","80+","89.4","7.5",,"11.92",,,,,,,"41377","26839",,"37","2",,"80","200"
"Cases","2022-03-05T00:00:00.000","5-11","61.7","70.5",,"0.875177305",,,,,,,"102050","86510",,"63","61",,"5","11"
"Cases","2021-10-30T00:00:00.000","5-11","133",,,,,,,,,,"210448",,,"280",,,"5","11"
"Cases","2022-04-30T00:00:00.000","80+","61.9","157.2","124.5","0.3937659033","0.497188755",,,,,,"25840","13358","44969","16","21","56","80","200"
"Hospitalizations","2022-05-07T00:00:00.000","All","7.8","4.7","6.1","1.6595744681","1.2786885246","10.442353855","6.2364848362","4.1213339509","1.6743973776","2.5337315489","632005","897236","962341","49","42","59","999","999"
"Hospitalizations","2022-05-28T00:00:00.000","65-79","29.6","14.5","15","2.0413793103","1.9733333333",,,,,,"43902","48209","167189","13","7","25","65","79"
"Hospitalizations","2021-11-27T00:00:00.000","5-11","0.6","0",,,,,,,,,"159065","6",,"1","0",,"5","11"
"Cases","2021-11-06T00:00:00.000","0-4","74.4",,,,,,,,,,"162642",,,"121",,,"0","4"
"Hospitalizations","2022-05-14T00:00:00.000","80+","81.6","76.5","48.4","1.0666666667","1.6859504132",,,,,,"25736","13069","45422","21","10","22","80","200"
"Cases","2021-06-19T00:00:00.000","30-49","30.1","5.2",,"5.7884615385",,,,,,,"285436","459119",,"86","24",,"30","49"
"Cases","2021-08-28T00:00:00.000","12-17","247.3","32.3",,"7.6563467492",,,,,,,"76008","77286",,"188","25",,"12","17"
"Deaths","2021-08-21T00:00:00.000","18-29","0.5","0",,,,,,,,,"203583","283038",,"1","0",,"18","29"
"Cases","2021-04-03T00:00:00.000","12-17","137.6",,,,,,,,,,"178746",,,"246",,,"12","17"
"Hospitalizations","2022-03-26T00:00:00.000","50-64","7.3","4.2","0.9","1.7380952381","8.1111111111",,,,,,"41100","141177","227872","3","6","2","50","64"
"Deaths","2021-04-10T00:00:00.000","12-17","0",,,,,,,,,,"177463",,,"0",,,"12","17"
"Deaths","2021-12-18T00:00:00.000","50-64","28.4","1.2","0","23.666666667",,,,,,,"56385","243187","111977","16","3","0","50","64"
"Cases","2021-11-13T00:00:00.000","0-4","97.1",,,,,,,,,,"162642",,,"158",,,"0","4"
"Hospitalizations","2022-01-15T00:00:00.000","12-17","17.3","1.8","0","9.6111111111",,,,,,,"46194","108336","5138","8","2","0","12","17"
"Cases","2022-07-02T00:00:00.000","50-64","517.2","168.9","238.3","3.0621669627","2.1703734788",,,,,,"37509","130841","242509","194","221","578","50","64"
"Cases","2022-06-18T00:00:00.000","30-49","327.2","140.3","274.7","2.3321454027","1.1911175828",,,,,,"118598","285114","343245","388","400","943","30","49"
"Cases","2021-05-01T00:00:00.000","All","201.4","20.9",,"9.6363636364",,"217.47967449","16.087514555",,"13.518537854",,"1460561","718904",,"2942","150",,"999","999"
"Deaths","2022-04-09T00:00:00.000","18-29","0","0","0",,,,,,,,"105639","218657","141632","0","0","0","18","29"
"Deaths","2021-12-25T00:00:00.000","80+","70.1","34.9","2.9","2.0085959885","24.172413793",,,,,,"27090","22930","34001","19","8","1","80","200"
"Deaths","2021-11-13T00:00:00.000","12-17","0","0",,,,,,,,,"59391","104727",,"0","0",,"12","17"
"Deaths","2022-05-07T00:00:00.000","65-79","2.2","2","0","1.1",,,,,,,"44448","49535","165130","1","1","0","65","79"
"Deaths","2022-04-16T00:00:00.000","65-79","0","0","0.6",,"0",,,,,,"44923","50955","162771","0","0","1","65","79"
"Cases","2021-07-03T00:00:00.000","80+","3.1","0",,,,,,,,,"32532","52095",,"1","0",,"80","200"
"Deaths","2021-07-31T00:00:00.000","80+","3.2","1.9",,"1.6842105263",,,,,,,"31711","53127",,"1","1",,"80","200"
"Deaths","2022-03-05T00:00:00.000","80+","15.3","34.2","6.9","0.4473684211","2.2173913043",,,,,,"26169","14641","43206","4","5","3","80","200"
"Deaths","2022-07-30T00:00:00.000","30-49","1.7","0","0",,,,,,,,"116807","281977","347803","2","0","0","30","49"
"Hospitalizations","2021-09-11T00:00:00.000","18-29","12.5","0.3",,"41.666666667",,,,,,,"191444","292667",,"24","1",,"18","29"
"Cases","2022-04-16T00:00:00.000","80+","30.9","80.6","85.5","0.3833746898","0.3614035088",,,,,,"25928","13651","44468","8","11","38","80","200"
"Cases","2022-02-05T00:00:00.000","All","213.8","125.3","132.8","1.7063048683","1.609939759","233.44500413","128.07006793","111.67498533","1.8227912885","2.0903965507","679166","936451","823957","1452","1173","1094","999","999"
"Deaths","2022-04-30T00:00:00.000","All","0.2","0.2","0","1",,"0.1300703274","0.3551118433","0","0.3662798914",,"633564","899376","958349","1","2","0","999","999"
"Cases","2021-11-27T00:00:00.000","0-4","100.2",,,,,,,,,,"162642",,,"163",,,"0","4"
"Cases","2022-02-26T00:00:00.000","18-29","96.8","37.7","72.9","2.5676392573","1.3278463649",,,,,,"109518","219959","131657","106","83","96","18","29"
"Hospitalizations","2021-05-08T00:00:00.000","12-17","1.2",,,,,,,,,,"165350",,,"2",,,"12","17"
"Cases","2022-04-02T00:00:00.000","5-11","62.1","130.8",,"0.4747706422",,,,,,,"99864","94051",,"62","123",,"5","11"
"Hospitalizations","2022-07-23T00:00:00.000","All","12.8","5.7","8","2.2456140351","1.6","15.789235616","8.5087526928","5.3648603644","1.8556463193","2.9430841706","602797","864837","1010561","77","49","81","999","999"
"Hospitalizations","2022-03-19T00:00:00.000","65-79","11","7.6","6.2","1.4473684211","1.7741935484",,,,,,"45607","52891","160170","5","4","10","65","79"
"Deaths","2022-03-26T00:00:00.000","30-49","0","0","0",,,,,,,,"123427","295096","328154","0","0","0","30","49"
"Hospitalizations","2022-04-09T00:00:00.000","18-29","3.8","0","2.1",,"1.8095238095",,,,,,"105639","218657","141632","4","0","3","18","29"
"Deaths","2022-07-09T00:00:00.000","5-11","0","0","0",,,,,,,,"95334","91948","8123","0","0","0","5","11"
"Cases","2021-12-04T00:00:00.000","0-4","182.6",,,,,,,,,,"162642",,,"297",,,"0","4"
"Deaths","2022-02-12T00:00:00.000","5-11","0","0",,,,,,,,,"106169","71515",,"0","0",,"5","11"
"Cases","2022-02-19T00:00:00.000","80+","49.5","91.8","61.2","0.5392156863","0.8088235294",,,,,,"26257","15246","42453","13","14","26","80","200"
"Cases","2022-04-16T00:00:00.000","12-17","67.3","34.2","118.3","1.9678362573","0.5688926458",,,,,,"35658","96405","32980","24","33","39","12","17"
"Hospitalizations","2022-05-21T00:00:00.000","18-29","10.7","1.4","3.4","7.6428571429","3.1470588235",,,,,,"103212","216127","146214","11","3","5","18","29"
"Hospitalizations","2021-07-31T00:00:00.000","80+","22.1","11.3",,"1.9557522124",,,,,,,"31711","53127",,"7","6",,"80","200"
"Hospitalizations","2021-06-26T00:00:00.000","12-17","0","0",,,,,,,,,"109758","40623",,"0","0",,"12","17"
"Deaths","2021-04-03T00:00:00.000","50-64","3.9","0",,,,,,,,,"231489","67885",,"9","0",,"50","64"
"Deaths","2021-11-27T00:00:00.000","18-29","0.6","0","0",,,,,,,,"161498","300088","23820","1","0","0","18","29"
"Deaths","2021-09-18T00:00:00.000","18-29","1.1","0",,,,,,,,,"187745","296046",,"2","0",,"18","29"
"Deaths","2022-06-04T00:00:00.000","30-49","0","0","0",,,,,,,,"119238","286254","341491","0","0","0","30","49"
"Hospitalizations","2022-01-01T00:00:00.000","All","107.4","52","21.2","2.0653846154","5.0660377358","150.46155695","57.735071017","12.83548456","2.6060686218","11.722312177","781801","1111820","592996","840","578","126","999","999"
"Deaths","2022-07-30T00:00:00.000","5-11","0","0","0",,,,,,,,"94063","89629","11251","0","0","0","5","11"
"Hospitalizations","2021-10-16T00:00:00.000","18-29","7.4","0",,,,,,,,,"176362","306623",,"13","0",,"18","29"
"Hospitalizations","2021-04-24T00:00:00.000","All","21.6","2",,"10.8",,"27.854985864","1.14215702",,"24.388052935",,"1519417","602781",,"328","12",,"999","999"
"Hospitalizations","2022-06-11T00:00:00.000","18-29","4.9","2.3","2.7","2.1304347826","1.8148148148",,,,,,"102117","215003","148158","5","5","4","18","29"
"Hospitalizations","2021-11-06T00:00:00.000","18-29","8.3","0.6","0","13.833333333",,,,,,,"169041","307952","9925","14","2","0","18","29"
"Hospitalizations","2022-07-09T00:00:00.000","80+","47.3","123.5","57.7","0.3829959514","0.8197573657",,,,,,"25386","12145","46834","12","15","27","80","200"
"Cases","2022-08-06T00:00:00.000","0-4","177.7","1.2",,"148.08333333",,,,,,,"162642",,,"289","2",,"0","4"
"Hospitalizations","2022-07-16T00:00:00.000","All","8.9","5.2","8","1.7115384615","1.1125","11.782246526","7.4589063531","5.5422001066","1.5796211896","2.1259150337","606301","867336","1006976","54","45","81","999","999"
"Cases","2021-12-18T00:00:00.000","0-4","352.9",,,,,,,,,,"162642",,,"574",,,"0","4"
"Hospitalizations","2021-06-19T00:00:00.000","18-29","1.7","0.8",,"2.125",,,,,,,"237608","239874",,"4","2",,"18","29"
"Hospitalizations","2021-09-25T00:00:00.000","12-17","4.4","0",,,,,,,,,"68047","91866",,"3","0",,"12","17"
"Deaths","2022-06-18T00:00:00.000","30-49","0","0.4","0","0",,,,,,,"118598","285114","343245","0","1","0","30","49"
"Hospitalizations","2022-06-11T00:00:00.000","12-17","0","1.1","2.7","0","0",,,,,,"34634","93896","36641","0","1","1","12","17"
"Hospitalizations","2021-06-26T00:00:00.000","65-79","5.7","0.5",,"11.4",,,,,,,"70741","188503",,"4","1",,"65","79"
"Deaths","2021-10-23T00:00:00.000","80+","10.3","6.2","0","1.6612903226",,,,,,,"29232","48639","6767","3","3","0","80","200"
"Hospitalizations","2021-09-11T00:00:00.000","All","16.6","3.9",,"4.2564102564",,"23.853063289","3.06071959",,"7.7932860519",,"1034881","1486858",,"172","58",,"999","999"
"Deaths","2021-08-21T00:00:00.000","80+","12.9","3.7",,"3.4864864865",,,,,,,"30927","53724",,"4","2",,"80","200"
"Deaths","2021-09-04T00:00:00.000","18-29","0","0",,,,,,,,,"194922","289224",,"0","0",,"18","29"
"Cases","2022-05-14T00:00:00.000","80+","139.9","168.3","240","0.8312537136","0.5829166667",,,,,,"25736","13069","45422","36","22","109","80","200"
"Deaths","2021-11-20T00:00:00.000","80+","14.2","18.7","5.4","0.7593582888","2.6296296296",,,,,,"28096","37410","18668","4","7","1","80","200"
"Hospitalizations","2021-08-21T00:00:00.000","80+","38.8","14.9",,"2.6040268456",,,,,,,"30927","53724",,"12","8",,"80","200"
"Hospitalizations","2021-05-08T00:00:00.000","80+","70.5","2.2",,"32.045454545",,,,,,,"35474","44962",,"25","1",,"80","200"
"Cases","2022-06-11T00:00:00.000","80+","105.9","255.7","179.3","0.4141572155","0.5906302287",,,,,,"25506","12515","46299","27","32","83","80","200"
"Cases","2021-05-15T00:00:00.000","18-29","133.6","10.3",,"12.970873786",,,,,,,"270254","155838",,"361","16",,"18","29"
"Deaths","2021-11-27T00:00:00.000","50-64","8","0.3","0","26.666666667",,,,,,,"62129","287575","64062","5","1","0","50","64"
"Cases","2021-04-03T00:00:00.000","18-29","311.1","46.7",,"6.6616702355",,,,,,,"387972","47080",,"1207","22",,"18","29"
"Hospitalizations","2022-07-02T00:00:00.000","65-79","30","23.7","14.7","1.2658227848","2.0408163265",,,,,,"43289","46467","169869","13","11","25","65","79"
"Cases","2021-09-04T00:00:00.000","80+","68.8","55.7",,"1.2351885099",,,,,,,"30541","53832",,"21","30",,"80","200"
"Deaths","2021-07-10T00:00:00.000","12-17","0","0",,,,,,,,,"103922","54777",,"0","0",,"12","17"
"Deaths","2022-06-25T00:00:00.000","80+","3.9","8.1","2.1","0.4814814815","1.8571428571",,,,,,"25443","12322","46577","1","1","1","80","200"
"Hospitalizations","2021-04-10T00:00:00.000","30-49","17.9","1.6",,"11.1875",,,,,,,"447654","127256",,"80","2",,"30","49"
"Deaths","2021-07-03T00:00:00.000","All","0.7","0",,,,"1.0213331395","0",,,,"1195104","1335264",,"8","0",,"999","999"
"Hospitalizations","2021-10-16T00:00:00.000","30-49","19.4","0.7",,"27.714285714",,,,,,,"201304","544069",,"39","4",,"30","49"
"Hospitalizations","2022-03-12T00:00:00.000","5-11","0","0",,,,,,,,,"101342","89422",,"0","0",,"5","11"
"Cases","2021-07-03T00:00:00.000","All","18.2","6",,"3.0333333333",,"20.103096725","4.916240136",,"4.0891201749",,"1195104","1335264",,"217","80",,"999","999"
"Hospitalizations","2021-04-03T00:00:00.000","80+","38.7","3.7",,"10.459459459",,,,,,,"41377","26839",,"16","1",,"80","200"
"Cases","2022-08-13T00:00:00.000","30-49","290.9","115","172.3","2.5295652174","1.6883343006",,,,,,"116202","280898","349324","338","323","602","30","49"
"Deaths","2022-03-12T00:00:00.000","18-29","0.9","0","0",,,,,,,,"107855","220184","136375","1","0","0","18","29"
"Hospitalizations","2021-08-14T00:00:00.000","50-64","59.6","3.7",,"16.108108108",,,,,,,"90590","321472",,"54","12",,"50","64"
"Hospitalizations","2022-04-02T00:00:00.000","12-17","0","1","0","0",,,,,,,"36006","96823","31889","0","1","0","12","17"
"Cases","2021-11-27T00:00:00.000","12-17","292.9","39.4",,"7.4340101523",,,,,,,"57356","106585",,"168","42",,"12","17"
"Cases","2021-07-31T00:00:00.000","All","112.1","51.3",,"2.1851851852",,"124.76776244","41.632297863",,"2.996898294",,"1135941","1410042",,"1273","724",,"999","999"
"Cases","2021-07-17T00:00:00.000","65-79","36.5","7.8",,"4.6794871795",,,,,,,"68489","192636",,"25","15",,"65","79"
"Cases","2022-02-12T00:00:00.000","5-11","158.2","213.9",,"0.739597943",,,,,,,"106169","71515",,"168","153",,"5","11"
"Deaths","2022-04-02T00:00:00.000","5-11","0","0",,,,,,,,,"99864","94051",,"0","0",,"5","11"
"Hospitalizations","2022-02-19T00:00:00.000","5-11","0","1.3",,"0",,,,,,,"104388","77193",,"0","1",,"5","11"
"Hospitalizations","2022-07-30T00:00:00.000","All","8","3.9","7.1","2.0512820513","1.1267605634","10.582227802","5.2208641913","4.8586726233","2.0269111423","2.1780079915","599690","861344","1015370","48","34","72","999","999"
"Hospitalizations","2021-08-07T00:00:00.000","30-49","15.1","1",,"15.1",,,,,,,"251084","509767",,"38","5",,"30","49"
"Hospitalizations","2022-04-30T00:00:00.000","65-79","24.7","12","9.7","2.0583333333","2.5463917526",,,,,,"44556","49993","164407","11","6","16","65","79"
"Hospitalizations","2022-07-30T00:00:00.000","80+","47.5","58.7","63.6","0.8091993186","0.7468553459",,,,,,"25279","11930","47159","12","7","30","80","200"
"Hospitalizations","2021-09-25T00:00:00.000","50-64","37.5","2.7",,"13.888888889",,,,,,,"77264","331762",,"29","9",,"50","64"
"Hospitalizations","2021-06-05T00:00:00.000","All","7.4","0.7",,"10.571428571",,"10.066975206","0.492775082",,"20.429148253",,"1267232","1168889",,"94","8",,"999","999"
"Deaths","2021-11-06T00:00:00.000","All","1.9","0.3","0","6.3333333333",,"2.9088120762","0.338429244","0","8.5950375973",,"941096","1474668","122396","18","5","0","999","999"
"Deaths","2022-03-19T00:00:00.000","12-17","0","0","0",,,,,,,,"36400","97299","30273","0","0","0","12","17"
"Hospitalizations","2022-02-05T00:00:00.000","80+","60.6","155","33.8","0.3909677419","1.7928994083",,,,,,"26400","16130","41410","16","25","14","80","200"
"Hospitalizations","2022-06-25T00:00:00.000","All","10.3","6","7.5","1.7166666667","1.3733333333","12.32650995","8.1847186941","5.2421835546","1.5060395367","2.3514075427","618819","876540","994202","64","53","75","999","999"
"Cases","2021-12-25T00:00:00.000","65-79","932.8","707.5","339.2","1.3184452297","2.75",,,,,,"49851","87486","121453","465","619","412","65","79"
"Cases","2021-10-23T00:00:00.000","12-17","185.6","15.9",,"11.672955975",,,,,,,"63038","100801",,"117","16",,"12","17"
"Cases","2022-08-06T00:00:00.000","50-64","518.4","158.9","232.5","3.2624292008","2.2296774194",,,,,,"36458","128355","245992","189","204","572","50","64"
"Hospitalizations","2022-03-05T00:00:00.000","18-29","5.5","1.4","0.7","3.9285714286","7.8571428571",,,,,,"108586","220325","134166","6","3","1","18","29"
"Cases","2022-01-22T00:00:00.000","5-11","642.7","856.3",,"0.7505547121",,,,,,,"116540","57107",,"749","489",,"5","11"
"Cases","2022-06-18T00:00:00.000","0-4","167.9",,,,,,,,,,"162642",,,"273",,,"0","4"
"Cases","2021-12-11T00:00:00.000","12-17","771.7","137.3","0","5.6205389658",,,,,,,"55459","107777","450","428","148","0","12","17"
"Hospitalizations","2022-06-18T00:00:00.000","65-79","32.2","31.9","15.4","1.0094043887","2.0909090909",,,,,,"43504","47054","168973","14","15","26","65","79"
"Cases","2021-07-10T00:00:00.000","18-29","34.7","11.8",,"2.9406779661",,,,,,,"227534","262454",,"79","31",,"18","29"
"Deaths","2021-08-07T00:00:00.000","18-29","1.4","0",,,,,,,,,"211823","277231",,"3","0",,"18","29"
"Hospitalizations","2021-07-03T00:00:00.000","All","2.8","0.3",,"9.3333333333",,"3.9834928879","0.2275487712",,"17.506105908",,"1195104","1335264",,"34","4",,"999","999"
"Deaths","2021-07-17T00:00:00.000","50-64","3","0",,,,,,,,,"101387","311538",,"3","0",,"50","64"
"Hospitalizations","2021-07-31T00:00:00.000","65-79","13.5","4.1",,"3.2926829268",,,,,,,"66836","194471",,"9","8",,"65","79"
"Cases","2021-04-24T00:00:00.000","50-64","243.1","21.2",,"11.466981132",,,,,,,"164955","136852",,"401","29",,"50","64"
"Deaths","2021-07-03T00:00:00.000","12-17","0","0",,,,,,,,,"106533","49264",,"0","0",,"12","17"
"Cases","2021-08-28T00:00:00.000","All","213.7","79.6",,"2.6846733668",,"239.81068301","64.871848376",,"3.696683369",,"1064042","1461319",,"2274","1163",,"999","999"
"Cases","2021-08-21T00:00:00.000","12-17","186.4","21.6",,"8.6296296296",,,,,,,"79955","74125",,"149","16",,"12","17"
"Deaths","2021-05-08T00:00:00.000","All","3.2","0.2",,"16",,"4.5303721168","0.1291929828",,"35.066704233",,"1421137","832463",,"45","2",,"999","999"
"Deaths","2021-10-02T00:00:00.000","80+","36.9","1.9",,"19.421052632",,,,,,,"29803","53525",,"11","1",,"80","200"
"Deaths","2022-06-04T00:00:00.000","5-11","0","0","0",,,,,,,,"96816","97639","889","0","0","0","5","11"
"Hospitalizations","2021-05-29T00:00:00.000","65-79","41.2","4.5",,"9.1555555556",,,,,,,"75255","177856",,"31","8",,"65","79"
"Hospitalizations","2022-03-12T00:00:00.000","All","3.5","1.9","2.8","1.8421052632","1.25","4.662950561","2.2728631006","1.9374697663","2.0515756359","2.4067217162","648318","915682","916552","23","17","26","999","999"
"Deaths","2021-11-27T00:00:00.000","30-49","2.2","0.4","0","5.5",,,,,,,"180498","493592","84829","4","2","0","30","49"
"Cases","2022-01-29T00:00:00.000","12-17","478.2","276","129.4","1.7326086957","3.6955177743",,,,,,"41827","102165","13914","200","282","18","12","17"
"Deaths","2022-06-25T00:00:00.000","12-17","0","0","0",,,,,,,,"34412","93241","37530","0","0","0","12","17"
"Cases","2021-06-26T00:00:00.000","12-17","11.8","0",,,,,,,,,"109758","40623",,"13","0",,"12","17"
"Hospitalizations","2021-04-03T00:00:00.000","12-17","1.1",,,,,,,,,,"178746",,,"2",,,"12","17"
"Hospitalizations","2022-01-08T00:00:00.000","65-79","403.6","227.6","50.9","1.7732864675","7.9292730845",,,,,,"48560","74262","135574","196","169","69","65","79"
"Hospitalizations","2021-10-09T00:00:00.000","All","11","2.9",,"3.7931034483",,"16.523313183","2.2629664493",,"7.3016165079",,"986514","1530104",,"109","44",,"999","999"
"Hospitalizations","2022-04-16T00:00:00.000","5-11","0","0",,,,,,,,,"99104","95549",,"0","0",,"5","11"
"Hospitalizations","2022-06-11T00:00:00.000","80+","31.4","111.9","60.5","0.2806076854","0.5190082645",,,,,,"25506","12515","46299","8","14","28","80","200"
"Hospitalizations","2021-12-25T00:00:00.000","5-11","5","0",,,,,,,,,"140694","38776",,"7","0",,"5","11"
"Deaths","2021-04-24T00:00:00.000","50-64","8.5","0.7",,"12.142857143",,,,,,,"164955","136852",,"14","1",,"50","64"
"Cases","2022-04-30T00:00:00.000","65-79","159.4","104","135.6","1.5326923077","1.1755162242",,,,,,"44556","49993","164407","71","52","223","65","79"
"Cases","2021-07-17T00:00:00.000","18-29","63.3","33",,"1.9181818182",,,,,,,"224307","266746",,"142","88",,"18","29"
