SITE TYPE,SITE NAME,HOURS OF OPERATION,ADDRESS,CITY,STATE,ZIP,PHONE,MONDAY-OPEN,MONDAY-CLOSE,TUESDAY-OPEN,TUESDAY-CLOSE,WEDNESDAY-OPEN,WEDNESDAY-CLOSE,THURSDAY-OPEN,THURSDAY-CLOSE,FRIDAY-OPEN,FRIDAY-CLOSE,SATURDAY-OPEN,SATURDAY-CLOSE,SUNDAY-OPEN,SUNDAY-CLOSE,ADDITIONAL NOTES,LOCATION,Community Areas,Zip Codes,Boundaries - ZIP Codes,Census Tracts,Wards,Historical Wards 2003-2015
Library,Near North,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",310 W Division St,Chicago,IL,60610,(312) 744-0991,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"310 Division St
Chicago, IL 60610
(41.90383476841, -87.636911055642)",37,14926,54,290,11,51
Library,Hegewisch,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",3048 E 130th St,Chicago,IL,60633,(312) 747-0046,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"3048 130th St
Chicago, IL 60633
(41.659236250907, -87.549209892972)",52,22250,26,787,47,47
Library,King,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",3436 S King Drive,Chicago,IL,60616,(312) 747-7543,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"3436 King Drive
Chicago, IL 60616
(41.832255136353, -87.617399311871)",1,21194,40,190,10,48
Police Station,District 24,Open Saturday And Sunday,6464 N Clark St,Chicago,IL,60626,(312) 744-5907,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"6464 Clark St
Chicago, IL 60626
(41.999646075962, -87.671190518094)",10,21853,9,242,24,46
Regional Senior Center,Renaissance Court,Mon - Fri 8:30 A.M. To 4:30 P.M. ,78 E Washington St,Chicago,IL,60602,(312) 744-4550,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,CLOSED,CLOSED,CLOSED,CLOSED,Seniors Only At This Location,"78 Washington St
Chicago, IL 60602
(41.883274941225, -87.625222190475)",38,14310,41,580,36,22
Library,Legler,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",115 S Pulaski Rd,Chicago,IL,60624,(312) 746-7730,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"115 Pulaski Rd
Chicago, IL 60624
(41.879308259799, -87.725536764567)",27,21572,30,736,23,11
Police Station,District 25,Open Saturday And Sunday,5555 W Grand Ave,Chicago,IL,60639,(312) 746-8605,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"5555 Grand Ave
Chicago, IL 60639
(41.918443447301, -87.764380709661)",19,22615,2,307,45,52
Community Service Center,Garfield Center,Mon - Fri 9:00 A.M. To 5:00 P.M.,10 S Kedzie Ave,Chicago,IL,60612,311,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,CLOSED,CLOSED,"Emergency shelter requests available 24 hours a day, call 3-1-1 for more information.","10 Kedzie Ave
Chicago, IL 60612
(41.880833513368, -87.706178301057)",28,21572,30,765,23,11
Police Station,District 8,Open Saturday And Sunday,3420 W 63rd St,Chicago,IL,60629,(312) 747-8730,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"3420 63rd St
Chicago, IL 60629
(41.77891571742, -87.708869498464)",64,21867,58,344,6,44
Community Service Center,South Chicago Center,Mon - Fri 9:00 A.M. To 5:00 P.M.,8650 S Commercial Ave,Chicago,IL,60617,311,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,CLOSED,CLOSED,,"8650 Commercial Ave
Chicago, IL 60617
(41.737672809157, -87.551470156896)",42,21202,25,226,47,47
Police Station,District 18,Open Saturday And Sunday,1160 N Larrabee St,Chicago,IL,60610,(312) 742-5870,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"1160 Larrabee St
Chicago, IL 60610
(41.903246987971, -87.643218990325)",37,14926,54,108,46,41
Library,Lincoln Belmont,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",1659 W Melrose St,Chicago,IL,60657,(312) 744-0166,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1659 Melrose St
Chicago, IL 60657
(41.94051995056, -87.670265910762)",57,4449,22,742,18,16
Library,West Chicago Ave,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",4856 W Chicago Ave,Chicago,IL,60651,(312) 743-0260,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"4856 Chicago Ave
Chicago, IL 60651
(41.895009198183, -87.747891081316)",26,4299,5,578,45,4
Library,Bucktown-Wicker Park,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",1701 N Milwaukee Ave,Chicago,IL,60647,(312) 744-6022,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1701 Milwaukee Ave
Chicago, IL 60647
(41.912276181145, -87.680343003695)",25,22535,1,179,40,16
Library,Albany Park,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",5150 N Kimball Ave,Chicago,IL,60625,(312) 744-1933,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"5150 Kimball Ave
Chicago, IL 60625
(41.97484541005, -87.71358529181)",13,21849,20,167,38,28
Library,Archer Heights,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",5055 S Archer Ave,Chicago,IL,60632,(312) 747-9241,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"5055 Archer Ave
Chicago, IL 60632
(41.801151640839, -87.726486375821)",54,22248,56,697,8,49
Library,Austin,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",5615 W. Race Ave,Chicago,IL,60644,(312) 746-5038,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"5615 Race Ave
Chicago, IL 60644
(41.889239714781, -87.765721907108)",26,22216,32,672,7,52
Library,Vodak-East Side,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",3710 E 106th St,Chicago,IL,60617,(312) 747-5500,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"3710 106th St
Chicago, IL 60617
(41.7027701212, -87.533510695971)",49,21202,25,715,47,47
Library,South Chicago,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",9055 S Houston Ave,Chicago,IL,60617,(312) 747-8065,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"9055 Houston Ave
Chicago, IL 60617
(41.730911784724, -87.549776198134)",42,21202,25,175,47,47
Library,Portage-Cragin,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",5108 W Belmont Ave,Chicago,IL,60641,(312) 744-0152,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"5108 Belmont Ave
Chicago, IL 60641
(41.938785132223, -87.754632219387)",15,22618,21,114,17,27
Library,Bezazian,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",1226 W Ainslie St,Chicago,IL,60640,(312) 744-0019,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1226 Ainslie St
Chicago, IL 60640
(41.971507829063, -87.660109414973)",31,22616,15,633,39,40
Library,Edgebrook,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",5331 W Devon Ave,Chicago,IL,60646,(312) 744-8313,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"5331 Devon Ave
Chicago, IL 60646
(41.997244126474, -87.762118355819)",12,22532,18,782,38,20
Police Station,District 1,Open Saturday And Sunday,1718 S State St,Chicago,IL,60616,(312) 745-4290,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"1718 State St
Chicago, IL 60616
(41.858753483297, -87.627369119791)",34,21194,40,330,9,12
Police Station,District 7,Open Saturday And Sunday,1438 W 63rd St,Chicago,IL,60636,(312) 747-8223,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"1438 63rd St
Chicago, IL 60636
(41.779554236061, -87.66086368854)",65,22257,23,277,2,19
Library,West Belmont,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",3104 N Narragansett Ave,Chicago,IL,60634,(312) 746-5142,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"3104 Narragansett Ave
Chicago, IL 60634
(41.936611588053, -87.785949733447)",19,22254,52,137,44,39
Police Station,District 16,Open Saturday And Sunday,5151 N Milwaukee Ave,Chicago,IL,60630,(312) 742-4480,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"5151 Milwaukee Ave
Chicago, IL 60630
(41.974068750644, -87.766223255962)",11,21869,48,780,50,20
Library,"Whitney M. Young, Jr.","M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",7901 S King Drive,Chicago,IL,60619,(312) 747-0039,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"7901 King Drive
Chicago, IL 60619
(41.751087876725, -87.614879554056)",40,21546,61,11,32,31
Library,Roden,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",6083 N Northwest Highway,Chicago,IL,60631,(312) 744-1478,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"6083 Northwest Highway
Chicago, IL 60631
(41.991950843185, -87.798216749286)",36,22243,17,657,29,34
Library,Hall,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",4801 S Michigan Ave,Chicago,IL,60615,(312) 747-2541,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"4801 Michigan Ave
Chicago, IL 60615
(41.807406361742, -87.622729231002)",4,21192,10,448,9,12
Library,Sulzer Regional,"M-th: 9am-9pm; F, Sa: 9am-5pm; Su: 1pm-5pm",4455 N Lincoln Ave,Chicago,IL,60625,(312) 744-7616,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,5:00PM,9:00AM,5:00PM,1:00PM,5:00PM,,"4455 Lincoln Ave
Chicago, IL 60625
(41.962503821186, -87.684481337649)",6,21849,20,667,18,13
Library,Pullman,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",11001 S Indiana Ave,Chicago,IL,60628,(312) 747-2033,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"11001 Indiana Ave
Chicago, IL 60628
(41.694399347866, -87.618214239545)",45,21861,19,237,43,30
Police Station,District 9,Open Saturday And Sunday,3120 S Halsted St,Chicago,IL,60608,(312) 747-8227,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"3120 Halsted St
Chicago, IL 60608
(41.837703129896, -87.64635129661)",58,14920,43,676,48,26
Regional Senior Center,Southeast,Mon - Fri 8:30 A.M. To 4:30 P.M. Sat - Sun 9:00 A.M. To 4:00 P.M,1767 E 79th St,Chicago,IL,60649,(312) 747-0189,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,9:00AM,4:00PM,9:00AM,4:00PM,Seniors Only At This Location,"1767 79th St
Chicago, IL 60649
(41.751485284224, -87.581279114899)",42,22538,25,507,35,9
Library,Dunning,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",7455 W Cornelia Ave,Chicago,IL,60634,(312) 743-0480,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"7455 Cornelia Ave
Chicago, IL 60634
(41.943275230685, -87.813422762481)",17,22254,52,458,19,39
Library,Canaryville,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",642 W 43rd St,Chicago,IL,60609,(312) 747-0644,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"642 43rd St
Chicago, IL 60609
(41.815338259607, -87.642562485244)",59,14924,37,123,48,26
Community Service Center,Englewood Center,Mon - Fri 9:00 A.M. To 5:00 P.M.,1140 W 79th St,Chicago,IL,60620,311,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,CLOSED,CLOSED,,"1140 79th St
Chicago, IL 60620
(41.750524120955, -87.652931668242)",70,21554,59,487,31,17
Police Station,District 14,Open Saturday And Sunday,2150 N California Ave,Chicago,IL,60647,(312) 744-8250,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"2150 California Ave
Chicago, IL 60647
(41.920943814403, -87.697369446149)",23,22535,1,322,41,15
Regional Senior Center,Northwest,Mon - Fri 8:30 A.M. To 4:30 P.M. Sat - Sun 9:00 A.M. To 4:00 P.M,3160 N Milwaukee Ave,Chicago,IL,60618,(312) 744-6681,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,9:00AM,4:00PM,9:00AM,4:00PM,Seniors Only At This Location,"3160 Milwaukee Ave
Chicago, IL 60618
(41.938325732152, -87.722655957667)",22,21538,39,215,21,27
Police Station,District 13,Open Saturday And Sunday,937 N Wood St,Chicago,IL,60622,(312) 746-8357,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"937 Wood St
Chicago, IL 60622
(41.898688275176, -87.672171391149)",25,21560,4,518,41,24
Regional Senior Center,Northeast,Mon - Fri 8:30 A.M. To 4:30 P.M. Sat 9:00 A.M. To 4:00 P.M.,2019 W Lawrence Ave,Chicago,IL,60625,(312) 744-0784,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,9:00AM,4:00PM,CLOSED,CLOSED,Seniors Only At This Location,"2019 Lawrence Ave
Chicago, IL 60625
(41.968694977057, -87.679757685176)",6,21849,20,665,18,13
Library,Budlong Woods,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",5630 N Lincoln Ave,Chicago,IL,60659,(312) 742-9590,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"5630 Lincoln Ave
Chicago, IL 60659
(41.984663209242, -87.697839323351)",20,4450,50,15,24,46
Police Station,District 10,Open Saturday And Sunday,3315 W Ogden Ave,Chicago,IL,60623,(312) 747-7511,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"3315 Ogden Ave
Chicago, IL 60623
(41.856617140752, -87.708617688296)",30,21569,57,202,14,36
Library,Independence,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",3548 W Irving Park Rd,Chicago,IL,60618,(312) 744-0900,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"3548 Irving Park Rd
Chicago, IL 60618
(41.953843708798, -87.716917711174)",16,21538,39,23,12,2
Library,West Town,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",1625 W Chicago Ave,Chicago,IL,60622,(312) 743-0450,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1625 Chicago Ave
Chicago, IL 60622
(41.896034425296, -87.668498932569)",25,21560,4,520,41,24
Library,North Pulaski,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",4300 W North Ave,Chicago,IL,60639,(312) 744-9573,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"4300 North Ave
Chicago, IL 60639
(41.909821032005, -87.734320311893)",24,22615,2,286,49,27
Police Station,District 17,Open Saturday And Sunday,4650 N Pulaski Rd,Chicago,IL,60630,(312) 742-4410,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"4650 Pulaski Rd
Chicago, IL 60630
(41.966172550361, -87.728016064468)",14,21869,48,257,38,28
Library,"Daley, Richard J.-Bridgeport","M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",3400 S Halsted St,Chicago,IL,60608,(312) 747-8990,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"3400 Halsted St
Chicago, IL 60608
(41.832544599344, -87.646223807591)",58,14920,43,171,48,26
Library,Manning,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",6 S Hoyne Ave,Chicago,IL,60612,(312) 746-6800,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"6 Hoyne Ave
Chicago, IL 60612
(41.881177180457, -87.679163444334)",29,21184,28,89,46,48
Library,Brainerd,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",1350 W 89th St,Chicago,IL,60620,(312) 747-6291,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1350 89th St
Chicago, IL 60620
(41.732388466473, -87.657295146602)",70,21554,59,533,13,18
Library,Austin-Irving,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",6100 W Irving Park Rd,Chicago,IL,60634,(312) 744-6222,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"6100 Irving Park Rd
Chicago, IL 60634
(41.953033455513, -87.779448291324)",15,22254,52,131,19,25
Library,West Lawn,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",4020 W 63rd St,Chicago,IL,60629,(312) 747-7381,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"4020 63rd St
Chicago, IL 60629
(41.778718730033, -87.72357170492)",63,21867,58,292,6,23
Community Service Center,Trina Davila Center,Mon - Fri 9:00 A.M. To 5:00 P.M.,4312 W North Ave,Chicago,IL,60639,311,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,CLOSED,CLOSED,,"4312 W North Ave
Chicago, IL 60639
(41.9098432, -87.7364671)",24,22615,2,285,45,4
