"person_id","person_type","crash_record_id","rd_no","vehicle_id","crash_date","seat_no","city","state","zipcode","sex","age","drivers_license_state","drivers_license_class","safety_equipment","airbag_deployed","ejection","injury_classification","hospital","ems_agency","ems_run_no","driver_action","driver_vision","physical_condition","pedpedal_action","pedpedal_visibility","pedpedal_location","bac_result","bac_result_value","cell_phone_use"
"P315061","PASSENGER","1f4569d5a0b7fb620090aacf0d818b8781aaf842a3edaf060aeff997fbf234f09ae630fbbb7af8a5534e21df108149faff728f03004cdf3ca1efdaff24529ab4",,"1347750","2022-09-12T15:33:00.000","6","SKOKIE","IL","60077","M","1",,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1418288","DRIVER","590a13471626b883b870fd8ebef2771042edaf4cb9bfdb9743e45a0a1714df835f53efce241abc9733a7f6e77816b298fee242307c68f336ed76e1b1d84e1208",,"1347804","2022-09-12T15:30:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418152","DRIVER","5d11573c7a155a47c0d20e706eb3db6a25f4d3c58e2a167dba554f2b1e4fc0f3cb2517c4c837d4ce8085211d880f5559f21eeaacc7ae634813e30c8c4ff82020",,"1347675","2022-09-12T15:30:00.000",,"CHICAGO","IL","60644","F","40","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418153","DRIVER","5d11573c7a155a47c0d20e706eb3db6a25f4d3c58e2a167dba554f2b1e4fc0f3cb2517c4c837d4ce8085211d880f5559f21eeaacc7ae634813e30c8c4ff82020",,"1347679","2022-09-12T15:30:00.000",,"MAYWOOD","IL","60153","M","56","IL","A","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418245","DRIVER","819a4ff56151f209430b2d45ef15714058070299490405946a840e0a80f19db97f121e73e64b3465abb389f0d88d0399ffb470efb709dd6fd8bd73d8c6c7e9b6",,"1347762","2022-09-12T15:25:00.000",,"MIDLOTHIAN","IL","60445","M","54","IL","AM","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418246","DRIVER","819a4ff56151f209430b2d45ef15714058070299490405946a840e0a80f19db97f121e73e64b3465abb389f0d88d0399ffb470efb709dd6fd8bd73d8c6c7e9b6",,"1347785","2022-09-12T15:25:00.000",,"NASHVILLE","TN","37217","M","44","TN","A","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418345","DRIVER","2762f2a60204fce9056e402230787ba8880fc9becbd9d516bcb92b421de0f8d4b8a52d7b311f92cb4e5c2bdcbaf3bd967da2eeacad7cb2793705a80dd17f5c2f",,"1347876","2022-09-12T15:20:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1418346","DRIVER","2762f2a60204fce9056e402230787ba8880fc9becbd9d516bcb92b421de0f8d4b8a52d7b311f92cb4e5c2bdcbaf3bd967da2eeacad7cb2793705a80dd17f5c2f",,"1347866","2022-09-12T15:20:00.000",,"CHICAGO","IL","60649","F","61","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418210","DRIVER","b0026213e04ac652f44a3a1d304eca1f4240f84be74fe5bdec94fcc432bbb919a61beb2a15e23a5e455a362b068b28afde9d656cc46cee76caf8876277afef2d",,"1347731","2022-09-12T15:15:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"TOO FAST FOR CONDITIONS","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418211","DRIVER","b0026213e04ac652f44a3a1d304eca1f4240f84be74fe5bdec94fcc432bbb919a61beb2a15e23a5e455a362b068b28afde9d656cc46cee76caf8876277afef2d",,"1347734","2022-09-12T15:15:00.000",,"DOLTON","IL","60419","F","47","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NONINCAPACITATING INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418178","DRIVER","8360df9943a7f336a41853993c4ed7a1a10c4dc2ca2a1329d2ae34062a8d7af7e716eac601eb9bae5d0d815f1e0558f9e9cb41931307f802cd128164959036c9",,"1347689","2022-09-12T15:12:00.000",,"PARK RIDGE","IL","60028","M","75","IL",,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"DISREGARDED CONTROL DEVICES","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1418179","DRIVER","8360df9943a7f336a41853993c4ed7a1a10c4dc2ca2a1329d2ae34062a8d7af7e716eac601eb9bae5d0d815f1e0558f9e9cb41931307f802cd128164959036c9",,"1347698","2022-09-12T15:12:00.000",,"CHICAGO","IL","60631","M","37","IL",,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"DISREGARDED CONTROL DEVICES","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418336","DRIVER","655bdfcb10606b943fd80d762b950fea90b0c1e19193323923ce3a4bba8d0c6a679440f75773279e0b7e4576190130afae93b3d019815e9d5dff16bb3f003c8e",,"1347851","2022-09-12T15:10:00.000",,"CHICAGO","IL","60617","M","47","IL","A","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418167","DRIVER","ee4d50e4a2d8133a167233bcf8abe2e72c35dfcd6683849027bcdaf9c57339eaa89ff350030fdaa33c5fd695fa636383e4cc30249be21c8445877574f25adeba",,"1347681","2022-09-12T15:05:00.000",,"CHICAGO","IL","60623","M","38","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418241","DRIVER","ae0846483f0921d5cb82226298c7da3d643c2bafcfd12bb4cd8dfece85c1b9a200e50d0ce3115974f4fa72d2fa223751223c972900edd80ca49bf7e93f4007e8",,"1347766","2022-09-12T15:02:00.000",,"CHICAGO","IL","60625","M","0","IL","D","SAFETY BELT USED","DEPLOYED, SIDE","NONE","NONINCAPACITATING INJURY","SWEDISH CONVENANT HOSPITAL","32",,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1418242","DRIVER","ae0846483f0921d5cb82226298c7da3d643c2bafcfd12bb4cd8dfece85c1b9a200e50d0ce3115974f4fa72d2fa223751223c972900edd80ca49bf7e93f4007e8",,"1347781","2022-09-12T15:02:00.000",,"CHICAGO","IL","60618","F","36","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY","REFUSED",,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"P315063","PASSENGER","ae0846483f0921d5cb82226298c7da3d643c2bafcfd12bb4cd8dfece85c1b9a200e50d0ce3115974f4fa72d2fa223751223c972900edd80ca49bf7e93f4007e8",,"1347766","2022-09-12T15:02:00.000","3","CHICAGO","IL","60625","F","80",,,"SAFETY BELT USED","DEPLOYED, SIDE","NONE","NONINCAPACITATING INJURY","SWEDISH COVINENT HOSPITAL","CHICAGO FIRE DEPARTMENT","32",,,,,,,,,
"P315064","PASSENGER","ae0846483f0921d5cb82226298c7da3d643c2bafcfd12bb4cd8dfece85c1b9a200e50d0ce3115974f4fa72d2fa223751223c972900edd80ca49bf7e93f4007e8",,"1347766","2022-09-12T15:02:00.000","6","CHICAGO","IL","60625","F","37",,,"SAFETY BELT USED","DEPLOYED, SIDE","NONE","NONINCAPACITATING INJURY","SWEDISH COVINENT HOSPITAL","CHICAGO FIRE DEPARTMENT","32",,,,,,,,,
"O1418131","DRIVER","42672f4ab948ad7801398fc7201f2aa613d9b48dd788a45066a4fe05f4b2b085f520129885f8df3d5a38888fc797d17ccaaa76f1ab895ded9883cc34c55998f0",,"1347655","2022-09-12T15:00:00.000",,"CHICAGO","IL","60624","M",,"IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","DNA","DNA",,"UNKNOWN","OTHER","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418132","DRIVER","42672f4ab948ad7801398fc7201f2aa613d9b48dd788a45066a4fe05f4b2b085f520129885f8df3d5a38888fc797d17ccaaa76f1ab895ded9883cc34c55998f0",,"1347664","2022-09-12T15:00:00.000",,"NORTHLAKE","IL","60164","F","21","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","DNA","DNA",,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1418216","DRIVER","b4e1d4a133dd5d03c12d0b7a63bc3433d6a8fc0e313b2dda3110548d971d762e4bccf4cdd5fabc7063c5f40182ee01d0bde09eef131a9cefde267b732845017e",,"1347748","2022-09-12T14:59:00.000",,"CHICAGO","IL","60649","F","75","IL","D","USAGE UNKNOWN","DEPLOYED, COMBINATION","NONE","NONINCAPACITATING INJURY","TRINITY","09",,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418217","DRIVER","b4e1d4a133dd5d03c12d0b7a63bc3433d6a8fc0e313b2dda3110548d971d762e4bccf4cdd5fabc7063c5f40182ee01d0bde09eef131a9cefde267b732845017e",,"1347760","2022-09-12T14:59:00.000",,"CHICAGO","IL","60617","F","53","IL","D","USAGE UNKNOWN","DEPLOYED, COMBINATION","NONE","INCAPACITATING INJURY","TRINITY","CFD",,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418339","DRIVER","62929ce1aa99bd1d4d21c728d0c8f35c937027f345b52771eed838ffad3302228f5700945b2885baaa21ea3c94c3dba304d738c2af259aec87f0f8cf81cdfdaa",,"1347852","2022-09-12T14:55:00.000",,"CHICAGO","IL","60639","M","21","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"DISREGARDED CONTROL DEVICES","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418340","DRIVER","62929ce1aa99bd1d4d21c728d0c8f35c937027f345b52771eed838ffad3302228f5700945b2885baaa21ea3c94c3dba304d738c2af259aec87f0f8cf81cdfdaa",,"1347859","2022-09-12T14:55:00.000",,"CHICAGO","IL","60639","F","49","IL","D","SAFETY BELT USED","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P315077","PASSENGER","62929ce1aa99bd1d4d21c728d0c8f35c937027f345b52771eed838ffad3302228f5700945b2885baaa21ea3c94c3dba304d738c2af259aec87f0f8cf81cdfdaa",,"1347859","2022-09-12T14:55:00.000","3","CHICAGO","IL","60639","M","41",,,"SAFETY BELT USED","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1418144","DRIVER","33fa97172f3adbac065ab7e14b37fc400f416400cb650a6fefbfdaa361a06eeccecbf0e1fc65fa69df8f02d51538544a83f506998d56a73a2a9b72c0a492a5e6",,"1347665","2022-09-12T14:54:00.000",,,,,"F",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418145","DRIVER","33fa97172f3adbac065ab7e14b37fc400f416400cb650a6fefbfdaa361a06eeccecbf0e1fc65fa69df8f02d51538544a83f506998d56a73a2a9b72c0a492a5e6",,"1347670","2022-09-12T14:54:00.000",,"CHICAGO","IL","60660","F","33","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"P315048","PASSENGER","33fa97172f3adbac065ab7e14b37fc400f416400cb650a6fefbfdaa361a06eeccecbf0e1fc65fa69df8f02d51538544a83f506998d56a73a2a9b72c0a492a5e6",,"1347670","2022-09-12T14:54:00.000","6",,"IL",,,"5",,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P315049","PASSENGER","33fa97172f3adbac065ab7e14b37fc400f416400cb650a6fefbfdaa361a06eeccecbf0e1fc65fa69df8f02d51538544a83f506998d56a73a2a9b72c0a492a5e6",,"1347670","2022-09-12T14:54:00.000","4",,"IL",,,"4",,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1418164","DRIVER","55c210a7ae9ed32e922576d3bcad9dbdb2fef67f0d1985f59ce047a2fce379239079261c0f86465e88ab25a6d89cd371fcea5e9b8c5dd092deaf1b1b2a78a05a",,"1347683","2022-09-12T14:50:00.000",,"CHICAGO","IL","60617","M","59","XX",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418165","DRIVER","55c210a7ae9ed32e922576d3bcad9dbdb2fef67f0d1985f59ce047a2fce379239079261c0f86465e88ab25a6d89cd371fcea5e9b8c5dd092deaf1b1b2a78a05a",,"1347694","2022-09-12T14:50:00.000",,"CRETE","IL","60417","M","59","IL","AM","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418134","DRIVER","b62fd7ff2fafadb36c5014698483eb1e14d32dc7d5ed0d139f2b2c5d813dea169fda04f2684164e96dc99fc0c4d6afb683d40b43ad38fc2736f2bbae04b0ef51",,"1347658","2022-09-12T14:50:00.000",,"CHICAGO","IL","60631","F","41","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"IMPROPER PASSING","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418135","DRIVER","b62fd7ff2fafadb36c5014698483eb1e14d32dc7d5ed0d139f2b2c5d813dea169fda04f2684164e96dc99fc0c4d6afb683d40b43ad38fc2736f2bbae04b0ef51",,"1347659","2022-09-12T14:50:00.000",,"STREAMWOOD","IL","60107","F","56","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418180","DRIVER","720e0ca0b079d30e117fc6c0ac32a699d9ed1180a9887e18a2b63eb023ce3a293e03fe45a50d414a54923dee31002796e30dc61a097cdb70b4fb2c40fcaa5f16",,"1347707","2022-09-12T14:48:00.000",,"CHICAGO","IL","60632","M","60","IL","B","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1418181","DRIVER","720e0ca0b079d30e117fc6c0ac32a699d9ed1180a9887e18a2b63eb023ce3a293e03fe45a50d414a54923dee31002796e30dc61a097cdb70b4fb2c40fcaa5f16",,"1347715","2022-09-12T14:48:00.000",,"CHICAGO","IL","60623","M","26","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1418146","DRIVER","b4fdad38a11768dcdc6994daf0383110a742832f0e2b2530b068f763eea3ee36cc8ed3c9d654d88936d66405c87a7a0b8b8ce8ce4beebb7b829cc3b060d121bb",,"1347672","2022-09-12T14:40:00.000",,"CHICAGO","IL","60641","M","35","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1418147","DRIVER","b4fdad38a11768dcdc6994daf0383110a742832f0e2b2530b068f763eea3ee36cc8ed3c9d654d88936d66405c87a7a0b8b8ce8ce4beebb7b829cc3b060d121bb",,"1347685","2022-09-12T14:40:00.000",,"CHICAGO","IL","60647","M","26","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1418168","DRIVER","cf1984f5adde97cdf152a8d1861f2a32cf24a75a017299bf7717355126279b0a76a9592f05fabec8d6928eb4c2defa72980c1d729e63a03062e2048476394e5c",,"1347682","2022-09-12T14:37:00.000",,"CHICAGO","IL","60621","F","47","IL",,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418169","DRIVER","cf1984f5adde97cdf152a8d1861f2a32cf24a75a017299bf7717355126279b0a76a9592f05fabec8d6928eb4c2defa72980c1d729e63a03062e2048476394e5c",,"1347695","2022-09-12T14:37:00.000",,"CHICAGO","IL","60643","F","33","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P315051","PASSENGER","cf1984f5adde97cdf152a8d1861f2a32cf24a75a017299bf7717355126279b0a76a9592f05fabec8d6928eb4c2defa72980c1d729e63a03062e2048476394e5c",,"1347695","2022-09-12T14:37:00.000","3","CHICAGO","IL","60615","M","33",,,"NONE PRESENT","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1418186","DRIVER","2f6e0ef912d140241217bec24b471c7867ea974e38d8e6c777d4cbdb6aecd0a49e09ec8b2e662dcf23ebf3743ab9f8ac52fd5e551266a0e09a56e72283f8682a",,"1347702","2022-09-12T14:30:00.000",,"CHICAGO","IL","60625","M","68","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418187","DRIVER","2f6e0ef912d140241217bec24b471c7867ea974e38d8e6c777d4cbdb6aecd0a49e09ec8b2e662dcf23ebf3743ab9f8ac52fd5e551266a0e09a56e72283f8682a",,"1347709","2022-09-12T14:30:00.000",,"CHICAGO","IL","60641","M","53","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418156","DRIVER","9f8f3943a9b01204bcf254cf0531e842344e431a2ec2abc23da79c50cd7aa22f4dc0c08379670afaaeacc1f1d0b71ff73408f3e7e882615214ee110d678ceb2c",,"1347686","2022-09-12T14:30:00.000",,"SPRINGFIELD","IL","62704","M","32","IL","D","USAGE UNKNOWN","NOT APPLICABLE","UNKNOWN","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418157","DRIVER","9f8f3943a9b01204bcf254cf0531e842344e431a2ec2abc23da79c50cd7aa22f4dc0c08379670afaaeacc1f1d0b71ff73408f3e7e882615214ee110d678ceb2c",,"1347737","2022-09-12T14:30:00.000",,"CHICAGO","IL","60615","M","39","IL","D","USAGE UNKNOWN","NOT APPLICABLE","UNKNOWN","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418125","DRIVER","fede1b2d1bafa1b89ec793f7d837c1d429f98e22ed3f888a5f0a4cf1fc1d71e53e6e3f9d2a6e204941f933b823ca8a30edb0850b712663f9dd8f0e82b079b031",,"1347650","2022-09-12T14:30:00.000",,"CHICAGO","IL","60647","F","26","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1418126","DRIVER","fede1b2d1bafa1b89ec793f7d837c1d429f98e22ed3f888a5f0a4cf1fc1d71e53e6e3f9d2a6e204941f933b823ca8a30edb0850b712663f9dd8f0e82b079b031",,"1347654","2022-09-12T14:30:00.000",,"CHICAGO","IL","60634","F","31","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1418112","DRIVER","404f966780c9064ccd2371952910fab5f289f97eecb41094f3189a8657d68fd5815f6e14aac819bb9ba6a345c9fafa164f0b885bad44ded0376e62f62742d9fa",,"1347640","2022-09-12T14:16:00.000",,"BOCA RATON","FL","33487","M","64","FL","E","SAFETY BELT USED","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"DISREGARDED CONTROL DEVICES","MOVING VEHICLES","NORMAL",,,,"TEST NOT OFFERED",,
"O1418113","DRIVER","404f966780c9064ccd2371952910fab5f289f97eecb41094f3189a8657d68fd5815f6e14aac819bb9ba6a345c9fafa164f0b885bad44ded0376e62f62742d9fa",,"1347647","2022-09-12T14:16:00.000",,"CHICAGO","IL","60652","M","43","IL","D","SAFETY BELT USED","DEPLOYED, SIDE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418199","DRIVER","192ebab19a05ef2f4341bd44d66e610afc52ab79803bf443ce5f8b15daf4272d8971f2dae88bea7beef14b32693d5a1366d5d2e114c6b2a535a74e9b04ed5215",,"1347710","2022-09-12T14:15:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418200","DRIVER","192ebab19a05ef2f4341bd44d66e610afc52ab79803bf443ce5f8b15daf4272d8971f2dae88bea7beef14b32693d5a1366d5d2e114c6b2a535a74e9b04ed5215",,"1347720","2022-09-12T14:15:00.000",,"CHICAGO","IL","60647","F","27","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418127","DRIVER","b956041f9b4f4e457dba5797a6c0bf50d938eef3b12113298e54e4ba92a71f0d257603214969f7af917138df33ae6751e709cc9b46bc5f83bcf8fcdcb7701be6",,"1347653","2022-09-12T14:15:00.000",,"CHICAGO","IL","60638","M","61","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418128","DRIVER","b956041f9b4f4e457dba5797a6c0bf50d938eef3b12113298e54e4ba92a71f0d257603214969f7af917138df33ae6751e709cc9b46bc5f83bcf8fcdcb7701be6",,"1347656","2022-09-12T14:15:00.000",,"CHICAGO","IL","60638","F","18","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P315047","PASSENGER","b956041f9b4f4e457dba5797a6c0bf50d938eef3b12113298e54e4ba92a71f0d257603214969f7af917138df33ae6751e709cc9b46bc5f83bcf8fcdcb7701be6",,"1347656","2022-09-12T14:15:00.000","3",,,,"F",,,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1418133","DRIVER","0e416d3f66e2c277f274167e950d047dc9ccd7cc218b0aabcad60d0344e3fd33c5c9892747f19c14763ec884ebba56ba08738b6d30e05d265a3b0d4b1977ae29",,"1347657","2022-09-12T14:10:00.000",,"UNK",,,"F","29",,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418154","DRIVER","2b225c7257e46c1ea3f52ce9c082a4feb9a6203654b150e6051ffccf0633a98ada8878699b1c4f88c890da4c1d4d4b67d5d08136cbb65191cfd92098a4cf13d5",,"1347676","2022-09-12T14:10:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418155","DRIVER","2b225c7257e46c1ea3f52ce9c082a4feb9a6203654b150e6051ffccf0633a98ada8878699b1c4f88c890da4c1d4d4b67d5d08136cbb65191cfd92098a4cf13d5",,"1347678","2022-09-12T14:10:00.000",,"CHICAGO","IL","60623","M","59","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418139","DRIVER","9a1da11621e67bc1ebf545fba30da126d0382ca0d7a030e608831c7aef800329a4e34b6af9685c73253acc85ea618ab8cda64e5d948b7c624ffe54b573af0a6f",,"1347662","2022-09-12T14:00:00.000",,"CHICAGO","IL","60632","M","45","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1418106","DRIVER","9e08ffc84b76d369a55f4e7cf459a4e72e8611fe868cd271a2402de6063a1195b0e2f2f7e960de9259758390d6339114f093a15021ec096bdc3be41ea9207918",,"1347636","2022-09-12T14:00:00.000",,"MONEE","IL","60449","M","60","IL","BM","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1418107","DRIVER","9e08ffc84b76d369a55f4e7cf459a4e72e8611fe868cd271a2402de6063a1195b0e2f2f7e960de9259758390d6339114f093a15021ec096bdc3be41ea9207918",,"1347641","2022-09-12T14:00:00.000",,"ADDISON","IL","60101","M","28","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418291","DRIVER","dccfc4aa1f91d7d25ca804b5b9882dc9618a881e4d98bf760abd0917819e718123c37b7d421e08d6e2b05bbe3c4af5f346cb219df9b736204cbfc22f9e8f1ef4",,"1347810","2022-09-12T14:00:00.000",,"CHICAGO","IL","60620","F","36","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1418292","DRIVER","dccfc4aa1f91d7d25ca804b5b9882dc9618a881e4d98bf760abd0917819e718123c37b7d421e08d6e2b05bbe3c4af5f346cb219df9b736204cbfc22f9e8f1ef4",,"1347821","2022-09-12T14:00:00.000",,"CHICAGO","IL","60659","M","48","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NONINCAPACITATING INJURY","SWEDISH","CFD",,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
