"organization_name","address","apt_suite","city","zipcode","telephone","email_address","website","youth_family_enrichment","support_services","civic_engagement","early_childhood_education","government_agencies","schools","higher_education","workforce_development","mission","geospatial_data","neighborhood"
"CHARTER OAK CULTURAL CENTER","21 CHARTER OAK",,"Hartford","6106","(860) 310-2580","Tianna.Glass@charteroakcenter.org","http://www.charteroakcenter.org","Youth and Family Enrichment",,,,,,,,"Doing the work of social justice through the arts, providing wide access to the magic of the arts for all regardless of income and 
celebrating the heritage of our historic building and to preserve it in perpetuity.","21 CHARTER OAK AV
HARTFORD, Connecticut 06106
(41.759629, -72.674296)","SOUTH END"
"CHARTER OAK HEALTH CENTER","21 GRAND ST",,"Hartford","6106","(860) 550-7500","jdamato@thecharteroak.org.","http://www.thecharteroak.org",,"Support Services",,,,,,,"Promotes healthier communities by providing quality, safe, patient-centered health care services in medically underserved areas, regardless of ability to pay.","21 GRAND ST
HARTFORD, Connecticut 06106
(41.759422, -72.685508)","FROG HOLLOW"
"CHILDREN'S LAW CENTER","30 ARBOR ST","NORTH","Hartford","6106","(860) 232-9993","clc@clcct.org","http://www.clcct.org",,"Support Services",,,,,,,"Protecting poor children in family court cases and advocate for systemic changes to the adversarial system and for other policies that advance the well-being of children involved in family transitions.","30 ARBOR ST
HARTFORD, Connecticut 06106
(41.760069, -72.703081)","PARKVILLE"
"CHRIST CHURCH CATHEDRAL - CHURCH STREET EATS PROGRAM","45 CHURCH ST",,"Hartford","6103","(860) 527-7232","office@cccathedral.org","http://www.cccathedral.org",,"Support Services",,,,,,,"Visits the sick, welcomes strangers, reaches out to the poor, provides clothing to the needy, feeds the hungry, encourages the discouraged, and heals the broken-hearted.","45 CHURCH ST
HARTFORD, Connecticut 06103
(41.768864, -72.67565)","DOWNTOWN"
"CHRYSALIS CENTER","255 HOMESTEAD AV",,"Hartford","6112","(860) 263-4400","info@chrysalis.org","http://www.chrysaliscenterct.org",,"Support Services",,,,,,,"Provides social services and develop affordable housing and help people living in poverty who struggle with mental illness, substance abuse, HIV/AIDS, release from incarceration, and homelessness.","255 HOMESTEAD AV
HARTFORD, Connecticut 06112
(41.77873, -72.697856)","UPPER ALBANY"
"CLASSICAL MAGNET SCHOOL (9-12)","85 WOODLAND ST",,"Hartford","6105","(860) 695-9100","Unlisted/Unavailable","http://www.classicalmagnet.org",,,,,,"Schools",,,"Prepares students for acceptance into competitive colleges and universities.","85 WOODLAND ST
HARTFORD, Connecticut 06105
(41.772856, -72.700469)","ASYLUM HILL"
"COMMISSION ON CHILDREN: STATE OF CONNECTICUT","20 TRINITY ST",,"Hartford","6106","(860) 240-0290","Elaine.zimmerman@cga.ct.gov","http://www.cga.ct.gov",,,"Civic Engagement",,"Government Agency",,,,"Promotes public policies in the best interests of children.","20 TRINITY ST
HARTFORD, Connecticut 06106
(41.76347, -72.680761)","DOWNTOWN"
"COMMISSION ON HUMAN RIGHTS AND OPPORTUNITIES: STATE OF CONNECTICUT","450 COLUMBUS BLVD",,"Hartford","6103","(860) 541-3400","Unlisted/Unavailable","http://www.ct.gov/chro",,,"Civic Engagement",,"Government Agency",,,,"Eliminates discrimination through civil and human rights law enforcement and to establish equal opportunity and justice for all persons within the state through advocacy and education.","450 COLUMBUS BLVD","DOWNTOWN"
"COMMUNITY HEALTH SERVICES","500 ALBANY AV",,"Hartford","6120","(860) 249-9625","Gregory.Stanton@chshartford.org","http://www.chshartford.org",,"Support Services",,,,,,,"Cares for each person from Greater Hartford who enters our doors, regardless of their income or ability to pay for services and whether or not they have insurance.","500 ALBANY AV
HARTFORD, Connecticut 06120
(41.777711, -72.684976)","CLAY-ARSENAL"
"COMMUNITY PARTNERS IN ACTION  (Administrative Offices)","110 BARTHOLOMEW AV","Suite 3010","Hartford","6106","(860) 566-2030","Please visit agency website for a complete listing of services and program email contacts.","http://www.cpa-ct.org/programs/",,"Support Services",,,,,,,"Community Partners in Action’s employment, basic needs and recovery services work together to reduce recidivism and enhance public safety as advocates for criminal justice reform and work in partnership with the State of Connecticut.","110 BARTHOLOMEW AV
HARTFORD, Connecticut 06106
(41.7547, -72.703668)","PARKVILLE"
"COMMUNITY RENEWAL TEAM (CRT)","555 WINDSOR ST",,"Hartford","6120","(860) 560-5600","info@crtct.org","http://www.crtct.org",,"Support Services",,,,,,"Workforce Development","Helps individuals and families access resources that will help them meet immediate and longer-term needs, improve job skills, maintain or increase their independence, stabilize living situations, and achieve educational goals.","555 WINDSOR ST
HARTFORD, Connecticut 06120
(41.781051, -72.671776)","CLAY-ARSENAL"
"COMMUNITY RENEWAL TEAM (CRT) ENERGY ASSISTANCE PROGRAM","395 WETHERSFIELD AV",,"Hartford","6114","(860) 560-5800","Energy@crtct.org","http://www.crtct.org",,"Support Services",,,,,,,"Helps people pay for utility or fuel bills including oil, natural gas, electricity, propane, kerosene, or wood.","395 WETHERSFIELD AV
HARTFORD, Connecticut 06114
(41.745084, -72.673114)","BARRY SQUARE"
"COMMUNITY RENEWAL TEAM, INC. (CRT) - CHILDREN'S LEARNING CENTER","211 LAUREL ST",,"Hartford","6105","(860) 560-5401","ECE@crtct.org","http://www.crtct.org",,,,"Early Childhood Education",,,,,"Offers Head Start and School Readiness for preschool children; Infant/toddler day care; after school programs; breakfast and lunch for  children during the summer months; and a food subsidy for home day care providers.","211 LAUREL ST
HARTFORD, Connecticut 06105
(41.764977, -72.697061)","ASYLUM HILL"
"COMMUNITY RENEWAL TEAM, INC. (CRT) - DOUGLAS ST ECE CENTER","170 DOUGLAS ST",,"Hartford","6114","(860) 560-5401","ECE@crtct.org","http://www.crtct.org",,,,"Early Childhood Education",,,,,"Offers Head Start and School Readiness for preschool children; Infant/toddler day care; after school programs; breakfast and lunch for  children during the summer months; and a food subsidy for home day care providers.","170 DOUGLAS ST
HARTFORD, Connecticut 06114
(41.736449, -72.685357)","SOUTH END"
"COMMUNITY RENEWAL TEAM, INC. (CRT) - GRACE STREET ECE CENTER","37 GRACE ST",,"Hartford","6106","(860) 560-5401","ECE@crtct.org","http://www.crtct.org",,,,"Early Childhood Education",,,,,"Offers Head Start and School Readiness for preschool children; Infant/toddler day care; after school programs; breakfast and lunch for  children during the summer months; and a food subsidy for home day care providers.","37 GRACE ST
HARTFORD, Connecticut 06106
(41.755506, -72.708585)","PARKVILLE"
"COMMUNITY RENEWAL TEAM, INC. (CRT) - HERITAGE CHILD DEVELOPMENT CENTER","175 ENFIELD ST",,"Hartford","6112","(860) 560-5437","ECE@crtct.org","http://www.crtct.org",,,,"Early Childhood Education",,,,,"Offers Head Start and School Readiness for preschool children; Infant/toddler day care; after school programs; breakfast and lunch for  children during the summer months; and a food subsidy for home day care providers.","175 ENFIELD ST
HARTFORD, Connecticut 06112
(41.786552, -72.683727)","NORTH EAST"
"COMMUNITY RENEWAL TEAM, INC. (CRT) - JOB CORPS EARLY CARE CENTER","100 WILLIAM SHORTY WAY",,"Hartford","6106","(860) 560-5401","ECE@crtct.org","http://www.crtct.org",,,,"Early Childhood Education",,,,,"Offers Head Start and School Readiness for preschool children; Infant/toddler day care; after school programs; breakfast and lunch for  children during the summer months; and a food subsidy for home day care providers.","100 WILLIAM SHORTY CAMPBELL ST
HARTFORD, Connecticut 06106
(41.739175, -72.710021)","BEHIND THE ROCKS"
"COMMUNITY RENEWAL TEAM RYAN WHITE BEHAVIORAL HEALTH OUTREACH","1921 PARK ST",,"Hartford","6106","(860) 761-7900","BHS@crt.ct.org","http://www.crtct.org",,"Support Services",,,,,,,"Provides physciatric counseling and recovery services for mental illness or drug/alcohol abuse through  intensive outpatient, partial hospitalization and/or medication management.","1921 PARK ST
HARTFORD, Connecticut 06106
(41.756431, -72.710824)","PARKVILLE"
"COMMUNITY SCHOOL AT BURR SCHOOL (managed by THE VILLAGE FOR FAMILIES & CHILDREN)","400 WETHERSFIELD AV",,"Hartford","6114","(860) 695-3080","vita@thevillage.org","http://www.villageforchildren.org","Youth and Family Enrichment",,,,,,,,"To build a community of strong healthy families who protect and nurture children.","400 WETHERSFIELD AV
HARTFORD, Connecticut 06114
(41.744899, -72.67309)","BARRY SQUARE"
"COMMUNITY SCHOOL AT HARTFORD MAGNET TRINITY COLLEGE ACADEMY (managed by COMPASS YOUTH COLLABORATIVE)","53 VERNON ST",,"Hartford","6106","(860) 695-7275","jessicawhite@compassyc.org","http://www.compassyc.org","Youth and Family Enrichment",,,,,,,,"Raising the expectations of youth, inspire families, and build peace in the community.","53 VERNON ST
HARTFORD, Connecticut 06106
(41.751262, -72.686491)","BARRY SQUARE"
"COMMUNITY SCHOOL AT WEST MIDDLE (managed by BOYS & GIRLS CLUB OF HARTFORD)","44 NILES ST",,"Hartford","6112","(860) 695-5510","jbumpers@bgchartford.org","http://www.bgchartford.org","Youth and Family Enrichment",,,,,,,,"Provides a safe, supportive atmosphere where children and teens can learn and grow and reach their full potential as productive, caring and responsible citizens.","44 NILES ST
HARTFORD, Connecticut 06112
(41.769666, -72.696476)","ASYLUM HILL"
"COMMUNITY SCHOOL AT WISH SCHOOL (managed by THE VILLAGE FOR FAMILIES & CHILDREN)","1680 ALBANY AVENUE",,"Hartford","6120","(860) 840-4213","adelgado@thevillage.org","http://www.villageforchildren.org","Youth and Family Enrichment",,,,,,,,"To build a community of strong healthy families who protect and nurture children.","37 CLARK ST
HARTFORD, Connecticut 06120
(41.786036, -72.677628)","BLUE HILLS"
"COMMUNITY SCHOOL LATINO STUDIES ACADEMY AT BURNS (managed by COMPASS YOUTH COLLABORATIVE)","195 PUTNAM ST",,"Hartford","6106","(860) 695-2980","anthonydaddona@compassyc.org","http://www.compassyc.org","Youth and Family Enrichment",,,,,,,,"Raises the expectations of youth, inspire families, and build peace in the community.","195 PUTNAM ST
HARTFORD, Connecticut 06106
(41.761181, -72.690452)","FROG HOLLOW"
"COMMUNITY SCHOOLS AT BELLIZZI ASIAN STUDIES ACADEMY (managed by COMPASS YOUTH COLLABORATIVE)","215 SOUTH ST",,"Hartford","6114","(860) 695-2400","Damionmorgan@compassyc.org","http://www.compassyc.org","Youth and Family Enrichment",,,,,,,,"Raises the expectations of youth, inspire families, and build peace in the community.","215 SOUTH ST
HARTFORD, Connecticut 06114
(41.734532, -72.6809)","SOUTH END"
"COMMUNITY SCHOOLS AT MILNER JUMOKE ACADEMY HONORS (managed by CATHOLIC CHARITIES)","104 VINE ST",,"Hartford","6112","(860) 695-4457","tfeliz@ccaoh.org","http://www.ccaoh.org","Youth and Family Enrichment",,,,,,,,"Promotes the dignity, self-sufficiency and potential of those in need.","104 VINE ST
HARTFORD, Connecticut 06112
(41.782572, -72.688205)","UPPER ALBANY"
"COMMUNITY SUBSTANCE ABUSE CENTER","55 FISHFRY ST",,"Hartford","6120","(860) 247-8300","info@csachelp.com","http://www.csacmethadone.com",,"Support Services",,,,,,,"Provides high-quality, cost-effective care that treats all individuals with the utmost dignity and respect and foster a work environment that supports the diversity, health, and growth of each employee.","55 FISHFRY ST
HARTFORD, Connecticut 06120
(41.793571, -72.659046)","NORTH MEADOWS"
"COMPASS YOUTH COLLABORATIVE, INC.","55 AIRPORT RD","Suite 201","Hartford","6114","(860) 296-2855","jacquelynsantiago@compassyc.org","http://www.compassyc.org","Youth and Family Enrichment",,,,,,,,"Raises the expectations of youth, inspire families, and build peace in the community through focused work in the schools and in the community with our Peacebuilders Program. The schools target youth ages 7-17 and Peacebuilders 13-18.","55 AIRPORT RD
HARTFORD, Connecticut 06114
(41.738078, -72.668503)","SOUTH MEADOWS"
"CONNECTICUT CENTER FOR NON-VIOLENCE - NORTHEND CHURCH OF CHRIST","687 ALBANY AV",,"Hartford","6112","(860) 567-3441","info@ctnonviolence.org","http://www.ctnonviolence.org","Youth and Family Enrichment",,"Civic Engagement",,,,,,"Brings people from diverse communities together in dialogue and creative expression to explore the root causes of violence and to learn constructive methods of developing and applying alternative solutions.","687 ALBANY AV
HARTFORD, Connecticut 06112
(41.778816, -72.688239)","UPPER ALBANY"
"CONNECTICUT CHILDREN'S MEDICAL CENTER","282 WASHINGTON ST",,"Hartford","6106","(860) 545-9000","Unlisted/Unavailable","http://www.connecticutchildrens.org",,"Support Services",,,,,,,"Improves the physical and emotional health of children through family-centered care, research, education, and advocacy.","282 WASHINGTON ST
HARTFORD, Connecticut 06106
(41.753482, -72.682812)","SOUTH GREEN"
"CONNECTICUT FAIR HOUSING CENTER","221 MAIN ST","4th Floor","Hartford","6106","(860) 247-4400","info@ctfairhousing.og","http://www.ctfairhousing.org",,"Support Services","Civic Engagement",,,,,,"Provides free investigative and legal services to residents who believe they have been the victims of housing discrimination and also conducts statewide education and outreach to ensure that residents understand their fair housing rights.","221 MAIN ST
HARTFORD, Connecticut 06106
(41.758407, -72.675439)","SOUTH GREEN"
"CONNECTICUT HISTORICAL SOCIETY","1 ELIZABETH ST",,"Hartford","6105","(860) 236-5621","Ask_us@chs.org","http://www.chs.org","Youth and Family Enrichment",,,,,,,,"Promotes intentional thinking about 
how the CHS's exhibitions, programs, collections, and daily operations affect the natural environment and the health of our community.","1 ELIZABETH ST
HARTFORD, Connecticut 06105
(41.773467, -72.705514)","WEST END"
"CONNECTICUT OFFICE OF EARLY CHILDHOOD: STATE OF CONNECTICUT","450 COLUMBUS BLVD",,"Hartford","6103","(860) 500-4412","Unlisted/Unavailable","http://www.ct.gov/oec",,,"Civic Engagement",,"Government Agency",,,,"Supports all young children in their development by ensuring that early childhood policy, funding and services strengthen the critical role families, providers, educators and communities play in a child's life.","450 COLUMBUS BLVD
HARTFORD, Connecticut 06103
(41.767017, -72.6694)","DOWNTOWN"
"CONNECTICUT PUBLIC BROADCASTING NETWORK","1049 ASYLUM AV",,"Hartford","6105","(860) 275-7550","audiencecare@cpbn.org","http://www.cpbn.org","Youth and Family Enrichment",,"Civic Engagement",,,,,,"Informs, educates, entertains and inspires our audiences in Connecticut and beyond.","1049 ASYLUM AV
HARTFORD, Connecticut 06105
(41.772144, -72.699901)","ASYLUM HILL"
"CONNECTICUT SCIENCE CENTER","250 COLUMBUS BLVD",,"Hartford","6103","(860) 724-3623","outreach@ctsciencecenter.org","http://www.ctsciencecenter.org","Youth and Family Enrichment",,,,,,,,"Connecticut's premier destination for informal science learning, and is well on its way to becoming the state's foremost Science, Technology, Engineering and Mathematics (STEM) resource.","250 COLUMBUS BLVD
HARTFORD, Connecticut 06103
(41.764834, -72.669635)","DOWNTOWN"
"CONNECTIKID, INC","814 ASYLUM AV",,"Hartford","6105","(860) 522-8710","awilliams@ct-kids.org","http://www.ct-kids.org","Youth and Family Enrichment",,,,,,,,"Provides successful mentors, individualized tutoring, enriching activities, and stimulating environments for Hartford's children.","814 ASYLUM AV
HARTFORD, Connecticut 06105
(41.769609, -72.691763)","ASYLUM HILL"
"COUNCIL ON DEVELOPMENTAL DISABILITIES: STATE OF CONNECTICUT","460 CAPITOL AV",,"Hartford","6106","(800) 418-6160","Unlisted/Unavailable","http://www.ct.gov/ctcdd",,,,,"Government Agency",,,,"The mission of the CT Council on Developmental Disabilities is to promote the full inclusion of all people with disabilities in community life.","460 CAPITOL AV
HARTFORD, Connecticut 06106
(41.76359, -72.69128)","FROG HOLLOW"
"COVENANT PREP MIDDLE SCHOOL (6-8)","135 BROAD ST",,"Hartford","6105","(860) 547-0289","Unlisted/Unavailable","http://www.covenantprep.org",,,,,,"Schools",,,"Provides young men from families with limited resources the foundation required to successfully pursue higher education, to develop the strength of their character, and to live with integrity as leaders committed to their communities.","135 BROAD ST
HARTFORD, Connecticut 06105
(41.767378, -72.686185)","ASYLUM HILL"
"COVENANT TO CARE FOR CHILDREN","1477 PARK ST",,"Hartford","6106","(860) 243-1806","dsantis@covenanttocare.org","http://www.covenanttocare.org",,"Support Services",,,,,,,"Encourages caring and faithful people to advocate for and provide direct assistance to Connecticut's children who are neglected, abused and/or impoverished.","1477 PARK ST
HARTFORD, Connecticut 06106
(41.757856, -72.70292)","PARKVILLE"
"CRAYONS & NUMBERS, LLC","691 BLUE HILLS AV",,"Hartford","6112","(860) 293-2577","Unlisted/Unavailable","Unlisted/Unavailable",,,,"Early Childhood Education",,,,,"Our small classroom sizes allow us to give each child individual attention. We provide breakfast, lunch and afternoon snack each day and offer many activities such as art, computer, reading, gardening, and much more.","691 BLUE HILLS AV
HARTFORD, Connecticut 06112
(41.806366, -72.695627)","BLUE HILLS"
"CRRA TRASH MUSEUM","211 MURPHY RD",,"Hartford","6114","(860) 757-7765","education@crra.org","http://www.crra.org","Youth and Family Enrichment",,,,,,,,"Develops and implements environmentally sound solutions and best practices for solid waste disposal and recycling management on behalf of the municipalities and residents of the State of Connecticut.","211 MURPHY RD
HARTFORD, Connecticut 06114
(41.736675, -72.654263)","SOUTH MEADOWS"
"CT PARENT POWER","110 BARTHOLOMEW AV","Suite 4030","Hartford","6106","(860) 951-2212 ext. 273","info@ctparentpower.org","http://www.ctparentpower.org/",,,"Civic Engagement",,,,,,"Engages, educates and mobilizes parents to act on children's issues.","110 BARTHOLOMEW AV
HARTFORD, Connecticut 06106
(41.7547, -72.703668)","PARKVILLE"
"CULINARY ARTS ACADEMY (9-12)","415 GRANBY ST",,"Hartford","6112","(860) 695-1733","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Engages 400 students grades 9-12 students in a learning environment that combines rigorous academic courses with a related sequence of career pathway courses focused on Culinary Arts and Hospitality Management.","415 GRANBY ST
HARTFORD, Connecticut 06112
(41.800405, -72.706535)","BLUE HILLS"
"CULTURAL DANCE TROUPE OF THE WEST INDIES, INC.","2998 MAIN ST",,"Hartford","6120","(860) 249-8915","v.coleman@culturaldance.org","http://www.culturaldance.org","Youth and Family Enrichment",,,,,,,,"Through dance and music, brings the rich cultural heritage of the West Indies to the Hartford community.","2998 MAIN ST
HARTFORD, Connecticut 06120
(41.793199, -72.666485)","NORTH EAST"
"DEPARTMENT OF CHILDREN AND FAMILIES: STATE OF CONNECTICUT","505 HUDSON ST",,"Hartford","6106","(860) 550-6300","DCF.WEBMASTER@CT.GOV","http://www.ct.gov/dcf",,,"Civic Engagement",,"Government Agency",,,,"Working together with families and communities for children who are healthy, safe, smart and strong.","505 HUDSON ST
HARTFORD, Connecticut 06106
(41.756984, -72.678703)","SOUTH GREEN"
"DEPARTMENT OF CHILDREN AND FAMILIES: STATE OF CONNECTICUT","250 HAMILTON ST",,"Hartford","6106","(860) 418-8000","Commissioner.dcf@ct.gov","http://www.ct.gov/dcf",,,,,"Government Agency",,,,"Working together with families and communities for children who are healthy, safe, smart and strong.","250 HAMILTON ST
HARTFORD, Connecticut 06106
(41.754504, -72.704883)","PARKVILLE"
"DEPARTMENT OF DEVELOPMENTAL SERVICES: STATE OF CONNECTICUT","460 CAPITOL AV",,"Hartford","6106","(860) 418-6000","ddsct.co@ct.gov","http://www.ct.gov/dds",,,,,"Government Agency",,,,"Creates and promotes meaningful opportunities for individuals to fully participate as valued members of their communities.","460 CAPITOL AV
HARTFORD, Connecticut 06106
(41.76359, -72.69128)","FROG HOLLOW"
"DEPARTMENT OF EDUCATION: STATE OF CONNECTICUT","450 COLUMBUS BLVD",,"Hartford","6103","(860) 713-6543","Unlisted/Unavailable","http://www.sde.ct.gov",,,,,"Government Agency",,,,"Ensures equal opportunity and excellence in education for all Connecticut students through leadership, curriculum, research, planning, evaluation, assessment, data analyses, and other assistance.","450 COLUMBUS BLVD
HARTFORD, Connecticut 06103
(41.767017, -72.6694)","DOWNTOWN"
"DEPARTMENT OF FAMILIES, CHILDREN, YOUTH, AND RECREATION: CITY OF HARTFORD","550 MAIN ST",,"Hartford","6103","(860) 757-9595","dfcyr@hartford.gov","http://www.hartford.gov/dfcyr",,,,,"Government Agency",,,,"Promotes the safety, permanency and well-being of  children, youth and families.","550 MAIN ST
HARTFORD, Connecticut 06103
(41.762809, -72.674277)","DOWNTOWN"
"DEPARTMENT OF HEALTH AND HUMAN SERVICES: CITY OF HARTFORD","131 COVENTRY ST",,"Hartford","6112","(860) 757-4700","Unlisted/Unavailable","http://www.hartford.gov/hhs",,"Support Services","Civic Engagement",,,,,,"Protects the well-being of the people in Hartford; promote an environment conducive to healthy lifestyles; prevent adverse health outcomes; and reduce health disparities.","131 COVENTRY ST
HARTFORD, Connecticut 06112
(41.80037, -72.690054)","BLUE HILLS"
"DEPARTMENT OF HOUSING: STATE OF CONNECTICUT","505 HUDSON ST",,"Hartford","6106","(860) 270-8262","Unlisted/Unavailable","http://www.ct.gov/doh/site/default.asp",,,,,"Government Agency",,,,"Works toward increasing accessability across the state to affordable housing in strong, vibrant, and inclusive communities and to end homelessness.","505 HUDSON ST
HARTFORD, Connecticut 06106
(41.756984, -72.678703)","SOUTH GREEN"
"DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES: STATE OF CONNECTICUT","410 CAPITOL AV","4th Floor","Hartford","6106","(860) 418-7000","Unlisted/Unavailable","http://www.ct.gov/dmhas",,"Support Services",,,"Government Agency",,,,"Improves the quality of life of the people of Connecticut by providing an integrated network of comprehensive, effective and efficient mental health and addiction services that foster self-sufficiency, dignity and respect.","410 CAPITOL AV
HARTFORD, Connecticut 06106
(41.763725, -72.689632)","FROG HOLLOW"
"DEPARTMENT OF REHABILITATION SERVICES: STATE OF CONNECTICUT","67 PROSPECT AV","12th Floor","Hartford","6106","(860) 424-5055","Unlisted/Unavailable","http://www.ct.gov/dors",,,,,"Government Agency",,,,"Maximizes opportunities for people in Connecticut with disabilities to live, learn and work independently.","67 PROSPECT AV
HARTFORD, Connecticut 06106
(41.747267, -72.715231)","SOUTH END"
"DEPARTMENT OF SOCIAL SERVICES:  STATE OF CONNECTICUT","55 FARMINGTON AV",,"Hartford","6105","(800) 842-4524","commis.dss@ct.gov","http://www.ct.gov/dss",,"Support Services",,,"Government Agency",,,,"State agency administers state and federal cash assistance, food stamp and medical insurance programs for low income individuals, individuals who are elderly or disabled, and refugees.","55 FARMINGTON AV
HARTFORD, Connecticut 06105
(41.76808, -72.68776)","ASYLUM HILL"
"DEPARTMENT ON AGING: STATE OF CONNECTICUT","55 FaRMINGTON AV","12th Floor","Hartford","6105","(866) 218-6631","aging.sda@ct.gov","http://www.ct.gov/agingservices",,,,,"Government Agency",,,,"Informs Connecticut's older adult residents about programs and services available to assist them, their families, and their communities.","55 FaRMINGTON AV
HARTFORD, Connecticut 06105
(41.76808, -72.68776)","ASYLUM HILL"
"DISCOVERY ACADEMY (PK-5)","417 FRANKLIN AV",,"Hartford","6114","(860) 296-2090","Unlisted/Unavailable","http://www.crecschools.org",,,,,,"Schools",,,"Develops strong foundational knowledge for students in four interrelated domains of STEM literacy: Science, Technology, Engineering and Mathematics.","417 FRANKLIN AV
HARTFORD, Connecticut 06114
(41.738289, -72.675492)","SOUTH END"
"DIVISION OF PUBLIC DEFENDER SERVICES: STATE OF CONNECTICUT","30 TRINITY ST","4th Floor","Hartford","6106","(860) 509-6400","Unlisted/Unavailable","http://www.ct.gov/ocpd",,"Support Services",,,"Government Agency",,,,"Provides counsel in accordance with both the United States and Connecticut Constitutions to any indigent person charged with the commission of a crime that carries a risk of incarceration.","30 TRINITY ST
HARTFORD, Connecticut 06106
(41.763814, -72.68063)","DOWNTOWN"
"DR. JAMES H. NAYLOR/CCSU LEADERSHIP ACADEMY (PK 3-8)","639 FRANKLIN AV",,"Hartford","6114","(860) 695-4620","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Increases student achievement through teacher preparation, professional development, technology, and grants. Collaboration is a critical area of focus.","639 FRANKLIN AV
HARTFORD, Connecticut 06114
(41.730999, -72.67424)","SOUTH END"
"DR. JOSEPH S. RENZULLI GIFTED AND TALENTED ACADEMY (4-8)","110 WASHINGTON ST",,"Hartford","6106","(860) 695-2140","welcomecenter@hartfordschools.org","https://www.hartfordschools.org",,,,,,"Schools",,,"Offers high quality and distinctive programs specific to those needed to accommodate Hartford's identified gifted and talented youth.","110 WASHINGTON ST
HARTFORD, Connecticut 06106
(41.759391, -72.682156)","SOUTH GREEN"
"DR. MICHAEL D. FOX SCHOOL (PK 4-8)","470 MAPLE AV",,"Hartford","6114","(860) 695-7790","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Students are challenged academically, nurtured emotionally and practice social skills daily. A career-focused curriculum that prepares students holistically to enter high school.","470 MAPLE AV
HARTFORD, Connecticut 06114
(41.746596, -72.680861)","BARRY SQUARE"
"E.B. KENNELLY ELEMENTARY SCHOOL (PK 4-8)","180 WHITE ST",,"Hartford","6114","(860) 695-3860","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Provides a dynamic learning community, with teachers and parents partnering to create a positive, high- achieving environment, where differences are valued.","180 WHITE ST
HARTFORD, Connecticut 06114
(41.73482, -72.695022)","SOUTH WEST"
"EBONY HORSEWOMEN EQUESTRIAN CENTER","337 VINE ST",,"Hartford","6112","(860) 293-2914","info@ebonyhorsewomen.us","http://www.ebonyhorsewomen.us","Youth and Family Enrichment",,,,,,,,"Empowers youth toward successful lives through the use of equine assisted growth, learning programs, and activities.","337 VINE ST
HARTFORD, Connecticut 06112
(41.790345, -72.686824)","NORTH EAST"
"EMERGENCY SERVICES & TELECOMMUNICATIONS: CITY OF HARTFORD","253 HIGH ST",,"Hartford","6103","(860) 757-4050                                       (860) 757-4050","Unlisted/Unavailable","http://www.hartford.gov/emergency-services",,"Support Services",,,"Government Agency",,,,"Provides leadership for an organized effort to mitigate against, prepare for, and recover from, an emergency by conducting local and regional emergency operations planning and providing quality emergency call intake and dispatch.","253 HIGH ST
HARTFORD, Connecticut 06103
(41.772289, -72.677876)","DOWNTOWN"
"END HUNGER CONNECTICUT!","65 HUNGERFORD ST",,"Hartford","6106","(860) 560-2100","endhunger@endhungerct.org","http://www.endhungerct.org",,"Support Services","Civic Engagement",,,,,,"Focus on advocacy, outreach, education and research to serve as a comprehensive anti-hunger resource for policymakers, community organizations, and low-income families to improve the levels of food security and nutrition among Connecticut families.","65 HUNGERFORD ST
HARTFORD, Connecticut 06106
(41.761539, -72.685465)","FROG HOLLOW"
"ENVIRONMENTAL SCIENCES MAGNET SCHOOL AT MARY HOOKER (PK 3-8)","440 BROADVIEW TER",,"Hartford","6106","(860) 695-3760","welcomecenter@hartfordschools.org","http://www.environmentalsciencesmagnet.org",,,,,,"Schools",,,"Serves students from Pre-Kindergarten (age 4) through Grade 8 and ensure that all students attain high academic achievement through theme-based instruction in a safe, responsive learning community.","440 BROADVIEW TER
HARTFORD, Connecticut 06106
(41.741112, -72.700528)","BEHIND THE ROCKS"
"EXPEDITIONARY LEARNING ACADEMY AT MOYLAN (PK 4-5)","101 CATHERINE ST",,"Hartford","6106","(860) 695-4500","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Provides a project-based research approach where critical thinking and problem-solving skills are mastered through participation in learning expeditions, case studies, field work, and exhibitions of student work.","101 CATHERINE ST
HARTFORD, Connecticut 06106
(41.746325, -72.69866)","BEHIND THE ROCKS"
"FAMILIES IN CRISIS","60 POPIELUSZKO CT",,"Hartford","6106","(860) 727-5800","info@familiesincrisis.org","http://www.familiesincrisis.org/",,"Support Services",,,,,,,"Strengthens communities by helping offenders rebuild their lives and re-enter society; and promote systemic change by educating the public and policymakers about the impact of incarceration on families.","60 POPIELUSZKO CT
HARTFORD, Connecticut 06106
(41.758056, -72.672277)","SHELDON-CHARTER OAK"
"FAMILY INSTITUTE OF CONNECTICUT","77 BUCKINGHAM ST",,"Hartford","6106","(860) 548-0066","info@ctfamily.org","http://www.ctfamily.org","Youth and Family Enrichment",,,,,,,,"Fosters partnerships that engage families in a participatory process leading to self-efficacy.","77 BUCKINGHAM ST
HARTFORD, Connecticut 06106
(41.760182, -72.676645)","SOUTH GREEN"
