"fiscal_year","service","department","project_id","project","fund","fund_type","approved_amount","actual_amount"
"2016","Public Works","Public Works","W7568","Traffic Calming ","CAPITAL PROJECTS CITY         ","Local Funds","200000","200000"
"2017","Public Works","Public Works","W7568","Traffic Calming ","CAPITAL PROJECTS CITY         ","Local Funds","200000","0"
"2018","Public Works","Public Works","W7568","Traffic Calming ","CAPITAL PROJECTS CITY         ","Local Funds","200000","0"
"2019","Public Works","Public Works","W7568","Traffic Calming ","CAPITAL PROJECTS CITY         ","Local Funds","200000","0"
"2020","Public Works","Public Works","W7568","Traffic Calming ","CAPITAL PROJECTS CITY         ","Local Funds","200000","0"
"2016","Public Works","Public Works","W8282","Burgdorf Environmental ","CAPITAL PROJECTS CITY","Local Funds","0","0"
"2017","Public Works","Public Works","W8282","Burgdorf Environmental ","CAPITAL PROJECTS CITY","Local Funds","3500000","0"
"2018","Public Works","Public Works","W8282","Burgdorf Environmental ","CAPITAL PROJECTS CITY","Local Funds","0","0"
"2019","Public Works","Public Works","W8282","Burgdorf Environmental ","CAPITAL PROJECTS CITY","Local Funds","0","0"
"2020","Public Works","Public Works","W8282","Burgdorf Environmental ","CAPITAL PROJECTS CITY","Local Funds","0","0"
"2016","Public Works","Public Works","W8556","Milling and Paving ","LOCIP & MISC PROJECTS         ","Local Funds","3000000","2000000"
"2017","Public Works","Public Works","W8556","Milling and Paving ","LOCIP & MISC PROJECTS         ","Local Funds","3000000","0"
"2018","Public Works","Public Works","W8556","Milling and Paving ","LOCIP & MISC PROJECTS         ","Local Funds","3000000","0"
"2019","Public Works","Public Works","W8556","Milling and Paving ","LOCIP & MISC PROJECTS         ","Local Funds","3000000","0"
"2020","Public Works","Public Works","W8556","Milling and Paving ","LOCIP & MISC PROJECTS         ","Local Funds","3000000","0"
"2016","Public Works","Public Works","W8564","Sidewalks ","CAPITAL PROJECTS CITY         ","Local Funds","1000000","1000000"
"2017","Public Works","Public Works","W8564","Sidewalks ","CAPITAL PROJECTS CITY         ","Local Funds","1000000","0"
"2018","Public Works","Public Works","W8564","Sidewalks ","CAPITAL PROJECTS CITY         ","Local Funds","1000000","0"
"2019","Public Works","Public Works","W8564","Sidewalks ","CAPITAL PROJECTS CITY         ","Local Funds","1000000","0"
"2020","Public Works","Public Works","W8564","Sidewalks ","CAPITAL PROJECTS CITY         ","Local Funds","1000000","0"
"2016","Public Works","Public Works","W9120","50 Jennings Road Ext Improvements ","CAPITAL PROJECTS CITY","Local Funds","0","0"
"2017","Public Works","Public Works","W9120","50 Jennings Road Ext Improvements ","CAPITAL PROJECTS CITY","Local Funds","250000","0"
"2018","Public Works","Public Works","W9120","50 Jennings Road Ext Improvements ","CAPITAL PROJECTS CITY","Local Funds","350000","0"
"2019","Public Works","Public Works","W9120","50 Jennings Road Ext Improvements ","CAPITAL PROJECTS CITY","Local Funds","0","0"
"2020","Public Works","Public Works","W9120","50 Jennings Road Ext Improvements ","CAPITAL PROJECTS CITY","Local Funds","0","0"
"2016","Public Works","Public Works","W9282","Burgdorf Redevelopment ","CAPITAL PROJECTS CITY","Local Funds","0","0"
"2017","Public Works","Public Works","W9282","Burgdorf Redevelopment ","CAPITAL PROJECTS CITY","Local Funds","5000000","0"
"2018","Public Works","Public Works","W9282","Burgdorf Redevelopment ","CAPITAL PROJECTS CITY","Local Funds","7500000","0"
"2019","Public Works","Public Works","W9282","Burgdorf Redevelopment ","CAPITAL PROJECTS CITY","Local Funds","7500000","0"
"2020","Public Works","Public Works","W9282","Burgdorf Redevelopment ","CAPITAL PROJECTS CITY","Local Funds","10000000","0"
"2016","Public Works","Public Works","W9519","Streetscapes ","LOCIP & MISC PROJECTS         ","Local Funds","4000000","2250000"
"2017","Public Works","Public Works","W9519","Streetscapes ","LOCIP & MISC PROJECTS         ","Local Funds","4000000","0"
"2018","Public Works","Public Works","W9519","Streetscapes ","LOCIP & MISC PROJECTS         ","Local Funds","4000000","0"
"2019","Public Works","Public Works","W9519","Streetscapes ","LOCIP & MISC PROJECTS         ","Local Funds","4000000","0"
"2020","Public Works","Public Works","W9519","Streetscapes ","LOCIP & MISC PROJECTS         ","Local Funds","4000000","0"
"2016","Development","Development","W9990","Participatory Budgeting","CAPITAL PROJECTS CITY","Local Funds","0","0"
"2017","Development","Development","W9990","Participatory Budgeting","CAPITAL PROJECTS CITY","Local Funds","1250000","0"
"2018","Development","Development","W9990","Participatory Budgeting","CAPITAL PROJECTS CITY","Local Funds","0","0"
"2019","Development","Development","W9990","Participatory Budgeting","CAPITAL PROJECTS CITY","Local Funds","0","0"
"2020","Development","Development","W9990","Participatory Budgeting","CAPITAL PROJECTS CITY","Local Funds","0","0"
