"organization_name","apt_suite","address","zipcode","telephone","email_address","website","category_1","category_2","category_3","category_4","category_5","category_6","category_7","category_8","mission","geospatial_data"
"HARTFORD PUBLIC LIBRARY - DOWNTOWN",,,"06103","(860) 695-6300","reference@hplct.org","http://www.hplct.org","Youth and Family Enrichment","Support Services",,,,,,,"Provide free resources that inspire reading, guide learning, and encourage individual exploration.","500 MAIN ST
HARTFORD, Connecticut 06103
(41.762214, -72.674442)"
"MUTUAL HOUSING ASSOCIATION OF GREATER HARTFORD, INC.",,,"06105","(860) 296-1797","info@mutualhousing.org","http://www.mutualhousing.org",,"Support Services",,,,,,,"Develop and manage affordable housing in Greater Hartford while engaging residents in leadership and educational opportunities.","95 NILES ST
HARTFORD, Connecticut 06105
(41.770522, -72.700411)"
"JUDAH HOUSE",,,"06112","(860) 241-9440","info@judahhouseinc.org","http://www.judahhouseinc.org",,"Support Services",,,,,,,"Empower those in our community by providing access to opportunities for healing, education and employment.","84 VINE ST
HARTFORD, Connecticut 06112
(41.781955, -72.688285)"
"PEQUENIN CHILDREN'S MULTICULTURAL - READINESS ACADEMY",,,"06106","(860) 951-0400","Peqenin2008@yahoo.com","http://www.healthy.hartford.gov/dfcyr/",,,,"Early Childhood Education",,,,,"Provide students with an educational program of the highest quality that helps children develop, grow, and learn in a multicultural environment that is nurturing, inclusive, safe, and supportive.","1400 PARK ST
HARTFORD, Connecticut 06106
(41.758101, -72.701655)"
"SHILOH BAPTIST CHURCH SOUP KITCHEN AND FOOD PANTRY - HARTFORD",,,"06120","(860) 247-3767",,"Unlisted/Unavailable",,"Support Services",,,,,,,"Offers an emergency food pantry on third and fourth Tuesdays of the month, 10-11am for anyone in need. The soup kitchen serves lunch to anyone in need T,Th: 12noon-1:30pm. The church also gives away used clothing after the lunch.","350 ALBANY AV
HARTFORD, Connecticut 06120
(41.77691, -72.682417)"
"HARTFORD HEARING VOICES NETWORK GROUP",,,"06114","(860) 995-9172",,"https://www.cthvn.org/",,"Support Services",,,,,,,"The Hearing Voices Network USA represents a partnership between individuals who hear voices or have other extreme or unusual experiences, professionals and allies in the community, all of whom are working together to change the assumptions made about thes","399 FRANKLIN AV
HARTFORD, Connecticut 06114
(41.738813, -72.675579)"
"HARTFORD CONSORTIUM FOR HIGHER EDUCATION","5TH FLOOR",,"06103","(860) 702-3802","mestey@metrohartford.com","http://www.hartfordconsortium.org",,,"Civic Engagement",,,,,,"Foster collaborative endeavors among member institutions to  explore new academic directions, serve as a catalyst for innovative educational initiatives, encourage educational excellence across the lifespan, and assert the role of higher education in the ","31 PRATT ST
HARTFORD, Connecticut 06103
(41.767586, -72.673852)"
"SAMUEL V. ARROYO RECREATION CENTER, DEPARTMENT OF FAMILIES CHILDREN YOUTH AND RECREATION: CITY OF HARTFORD",,,"06106","(860) 757-0530","nasha001@hartford.gov","http://dfcyr.hartford.gov","Youth and Family Enrichment",,,,,,,,"Provide life-long recreational opportunities that promote healthy and active living.","30 POPE PARK DR
HARTFORD, Connecticut 06106
(41.754495, -72.697542)"
"SALVATION ARMY - FAMILY THRIFT STORES",,,"06106","(860) 543 -84132",,"http://ctri.salvationarmy.org/",,"Support Services",,,,,,,"Sell used clothing, furniture, and household items. Thrift store proceeds benefit the Salvation Army Adult Rehabilitation Centers.","217 WASHINGTON ST
HARTFORD, Connecticut 06106
(41.755752, -72.682551)"
"GREATER HARTFORD ACADEMY OF THE ARTS MAGNET MIDDLE SCHOOL (6-8)",,,"06106","(860) 724-0685",,"http://www.crecschools.org",,,,,,"Schools",,,"Provide an integrated learning environment for students in Grades 6-8 that combines a rigorous core curriculum enhanced by an art-themed focus which gives students the opportunity to further explore vocal and instrumental music, visual art, dance, theatre","75 VAN DYKE AV
HARTFORD, Connecticut 06106
(41.753383, -72.65935)"
"MOUNT OLIVE CHILD DEVELOPMENT CENTER AT WARBURTON CENTER",,,"06106","(860) 549-4380",,"Unlisted/Unavailable",,,,"Early Childhood Education",,,,,"Provide learning and play experiences for young children ranging anywhere from 2-5 years old.","420 BROOKFIELD ST
HARTFORD, Connecticut 06106
(41.742372, -72.708456)"
"THE VILLAGE FOR FAMILIES & CHILDREN AT CLARK SCHOOL",,,"06120","(860) 924-8868",,"http://www.villageforchildren.org",,"Support Services",,,,,,,"To build a community of strong healthy families who protect and nurture children.","75 CLARK ST
HARTFORD, Connecticut 06120
(41.786704, -72.677438)"
"BOYS AND GIRLS CLUBS OF HARTFORD",,,"06105","(860) 929-7694","mkiernan-gonzalez@bgchartford.org","http://www.bgchartfordorg","Youth and Family Enrichment",,,,,,,,"Provide a safe, supportive atmosphere where children and teens can learn and grow and reach their full potential as productive, caring and responsible citizens.","170 SIGOURNEY ST
HARTFORD, Connecticut 06105
(41.771168, -72.693454)"
"R.J. KINSELLA MAGNET SCHOOL OF PERFORMING ARTS (PK 4-12)",,,"06106","(860) 695-4140","welcomecenter@hartfordschools.org","http://www.kinsellamagnet.org/",,,,,,"Schools",,,"Provide comprehensive training, cultural exposure, and arts integration as a means to develop a child socially, linguistically, and cognitively through a broad variety of hands-on experiences. All students can have the experience of playing a musical inst","65 VAN BLOCK AV
HARTFORD, Connecticut 06106
(41.755048, -72.664934)"
"HELPING HAND FOOD PANTRY",,,"06112","(860) 243-9787",,"Unlisted/Unavailable",,"Support Services",,,,,,,"Distribute food to Greater Hartford residents in need.","344 BLUE HILLS AV
HARTFORD, Connecticut 06112
(41.794579, -72.696964)"
"ASYLUM HILL NEIGHBORHOOD ASSOCIATION",,,"06105","(860) 278-9398","chair@asylumhill.org","http://www.asylumhill.org",,,"Civic Engagement",,,,,,"Serve as the umbrella organization that empowers residents and supports connection and collaborations among all stakeholders to improve the quality of life in our neighborhood.","814 ASYLUM AV
HARTFORD, Connecticut 06105
(41.769609, -72.691763)"
"UPPER ALBANY NEIGHBORHOOD COLLABORATIVE",,,"06112","(860) 724-6703",,"http://www.uanchartford.org/",,,"Civic Engagement",,,,,,"Improve their area's economic stability and quality of life and work with agencies and businesses that are planning project development in the Upper Albany neighborhood to ensure that project employment plans are responsive to the needs of the community.","1229 ALBANY AV
HARTFORD, Connecticut 06112
(41.782485, -72.697041)"
"THREE ANGELS ADVENTIST COMMUNITY SERVICE FOOD PANTRY AND SOUP KITCHEN",,,"06112","(860) 524-5176",,"Unlisted/Unavailable",,"Support Services",,,,,,,"Serves anyone in need. Soup kitchen serves lunch on Sun: 12:30-1:30pm. Food pantry is open T: 11am-1pm. Clothing is also distributed, as available, to people in need.","500 WOODLAND ST
HARTFORD, Connecticut 06112
(41.784283, -72.695252)"
"CAPITOL CHILD DEVELOPMENT CENTER",,,"06106","(860) 240-0330","bjwarner@capitolchild.org","http://www.cga.ct.gov/ccdc",,,,"Early Childhood Education",,,,,"Provide quality child care services for children 8-weeks through 5-years of age through full-year, full-day early care and education for up to 70 children from Hartford and its surrounding areas.","450 BROAD ST
HARTFORD, Connecticut 06106
(41.763273, -72.68666)"
"LEGAL ASSISTANCE RESOURCE CENTER OF CONNECTICUT","3RD FLOOR",,"06106","(860) 278-5688","larccmail@larcc.org","http://www.larcc.org",,"Support Services",,,,,,,"Provide community education and public policy advocacy that addresses issues of importance to low-income Connecticut residents.","363 MAIN ST
HARTFORD, Connecticut 06106
(41.760287, -72.675022)"
"TRUE COLORS INC",,,"06106","(860) 232-0050","director@ourtruecolors.org","http://www.ourtruecolors.org",,"Support Services",,,,,,,"Works with other social service agencies, schools, organizations, and within communities to ensure that the needs of sexual and gender minority youth are both recognized and competently met.","30 ARBOR ST
HARTFORD, Connecticut 06106
(41.760069, -72.703081)"
"MARTIN LUTHER KING, JR. ELEMENTARY SCHOOL (PK 4-8)",,,"06112","(860) 695-3980",,"http://www.hartfordschools.org",,,,,,"Schools",,,"Serves students in grades Pre-K through 8 with an emphasis on high academic expectations for all students, where cultural diversity is celebrated, and the key to student success is parent and community participation.","296 GREENFIELD ST
HARTFORD, Connecticut 06112
(41.78451, -72.695147)"
"SALVATION ARMY - GREATER HARTFORD SOUTH END COMPLEX",,,"06106","(860) 543-8413",,"http://ctri.salvationarmy.org/",,"Support Services",,,,,,,"Houses the Human Services Bureau, the Hartford Citadel Corps Community Center, the Hartford New Hope Recovery Corps, the Hartford Temple Corps Community Center, and the New Life Center","217 WASHINGTON ST
HARTFORD, Connecticut 06106
(41.755752, -72.682551)"
"GREATER HARTFORD TRANSIT DISTRICT (GHTD)",,,"06103","(860) 247-5329","vshotland@ghtd.org","http://www.hartfordtransit.org",,"Support Services",,,,,,,"Provide the highest quality transportation and transit- related support services and secure capital items crucial to viable transportation systems within the Greater Hartford region and statewide.","1 UNION PL
HARTFORD, Connecticut 06103
(41.769395, -72.681249)"
"DEPARTMENT OF CHILDREN AND FAMILIES: STATE OF CONNECTICUT",,,"06106","(860) 550-6300","DCF.WEBMASTER@CT.GOV","http://www.ct.gov/dcf",,,"Civic Engagement",,"Government Agency",,,,"Working together with families and communities for children who are healthy, safe, smart and strong.","505 HUDSON ST
HARTFORD, Connecticut 06106
(41.756984, -72.678703)"
"HPHS ACADEMY OF ENGINEERING & GREEN TECHNOLOGY (9-12)",,,"06105","(860) 695-1315","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Graduate Hartford students with 21st Century skills who are prepared to succeed in post-secondary education and careers in engineering and green technologies.","55 FOREST ST
HARTFORD, Connecticut 06105
(41.765472, -72.700221)"
"CHARTER OAK CULTURAL CENTER",,,"06106","(860) 310-2580","Tianna.Glass@charteroakcenter.org","http://www.charteroakcenter.org","Youth and Family Enrichment",,,,,,,,"1) Provide wide access to the arts for all who wish to engage in them, regardless of income 2) Do the work of social justice through the arts 3) Celebrate the heritage of our historic building and to preserve it in perpetuity. At Charter Oak, we support a","21 CHARTER OAK AV
HARTFORD, Connecticut 06106
(41.759629, -72.674296)"
"HYLAND EARLY LEARNING CENTER, DEPARTMENT OF FAMILIES CHILDREN YOUTH AND RECREATION: CITY OF HARTFORD",,,"06106","(860) 757-0700","colot001@hartford.gov","http://www.dfcyr.hartford.gov",,,,"Early Childhood Education",,,,,"Engage children in effective instructional practices that support each child's growth and development based on established State of Connecticut early learning standards. Acknowledges parents as the most important people in their children's lives, therefor","355 NEW BRITAIN AV
HARTFORD, Connecticut 06106
(41.741248, -72.694126)"
"JOURNEY HOME","2nd Floor",,"06106","(860) 808-0336","info@journeyhomect.org","http://www.journeyhomect.org",,"Support Services",,,,,,,"Accelerate progress towards ending chronic homelessness in the Greater Hartford region with housing, employment, and support services, rather than managing it with emergency shelter.","255 MAIN ST
HARTFORD, Connecticut 06106
(41.759173, -72.675341)"
"BREAKTHROUGH MAGNET SCHOOL (PK3-8)",,,"06106","(860) 695-5700","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"For staff, families, and community members of diverse backgrounds to work in partnership to develop students as models of outstanding character.","290 BROOKFIELD ST
HARTFORD, Connecticut 06106
(41.747153, -72.706594)"
"DR. MICHAEL D. FOX SCHOOL (PK 4-8)",,,"06114","(860) 695-7790","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Ensure quality services by hiring skilled staff, maintaining a well-equipped facility, and ongoing communication with parents. Staff is provided professional development via workshops and conferences to continue their education.  The center believes that ","470 MAPLE AV
HARTFORD, Connecticut 06114
(41.746596, -72.680861)"
"LATTER RAIN CHRISTIAN FELLOWSHIP COMMUNITY FOOD PANTRY",,,"06120","(860) 560-6700",,"http://www.latterrainchristianfellowship.org",,"Support Services",,,,,,,"Distribute food to those in need.","3200 MAIN ST
HARTFORD, Connecticut 06120
(41.795254, -72.663565)"
"THE FAMILY RESOURCE CENTER AT RAMON E. BETANCES SCHOOL",,,"06106","(860) 695-2840","richard.gruber@micasainc.org","http://www.hartfordschools.org",,"Support Services",,,,,,,"We seek to satisfy families beyond their expectations by linking students, parents, principals, teachers, employees, and the community to available resources and ensure accurate information and quality assistance for all.","42 CHARTER OAK AV
HARTFORD, Connecticut 06106
(41.759238, -72.672398)"
"CAPITAL PREPARATORY MAGNET SCHOOL(PK 3-12)",,,"06103","(860) 695-9800",,"http://www.capitalprep.org",,,,,,"Schools",,,"Create a community of lifelong learners, students who will be assets to their community by working towards social justice.","1304 MAIN ST
HARTFORD, Connecticut 06103
(41.772348, -72.676044)"
"CHILDREN'S LAW CENTER","NORTH",,"06106","(860) 232-9993","clc@clcct.org","http://www.clcct.org",,"Support Services",,,,,,,"Protect poor children in family court cases and advocate for systemic changes to the adversarial system and for other policies that advance the well-being of children involved in family transitions.","30 ARBOR ST
HARTFORD, Connecticut 06106
(41.760069, -72.703081)"
"DR. FRANK T. SIMPSON-WAVERLY (PK 4-8)",,,"06112","(860) 695-5161","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Integrates the Arts into the curriculum. In addition to the various artists that assist students with dramatic performances and dances, students are exposed to  cultural events at the Wadsworth Athenaeum and performances at the Bushnell","55 WAVERLY ST
HARTFORD, Connecticut 06112
(41.795136, -72.681593)"
"COMMUNITY SCHOOL AT HARTFORD MAGNET TRINITY COLLEGE ACADEMY (managed by COMPASS YOUTH COLLABORATIVE)",,,"06106","(860) 695-7275","christinamorales@compassyc.org","http://www.compassyc.org","Youth and Family Enrichment",,,,,,,,"Raise the expectations of youth, inspire families, and build peace in the community.","53 VERNON ST
HARTFORD, Connecticut 06106
(41.751262, -72.686491)"
"BRIGHTER FUTURES FAMILY CENTER at EL CENTRO DE DESARROLLO Y REAFIRMACION FAMILIAR (managed by CATHOLIC CHARITIES)",,,"06106","(860) 524-6853","cdosal@ccaoh.org","http://www.ccaoh.org","Youth and Family Enrichment","Support Services",,,,,,,"Brighter Futures Family Centers provide programs and services that support parents in their role as a child’s first nurturer, teacher and advocate.","45 WADSWORTH ST
HARTFORD, Connecticut 06106
(41.758879, -72.679432)"
"BLUE HILLS CIVIC ASSOCIATION",,,"06105","(860) 560-7670","bhca@bluehillscivic.org","http://www.bluehillscivic.org","Youth and Family Enrichment",,"Civic Engagement",,,,,,"Empower residents and neighborhoods to become self-sufficient through advocacy, organizing and services for the betterment of Hartford.","846 ASYLUM AV
HARTFORD, Connecticut 06105
(41.76993, -72.69281)"
"DEPARTMENT OF REHABILITATION SERVICES: STATE OF CONNECTICUT","12th Floor",,"06106","(860) 424-5055",,"http://www.ct.gov/dors",,,,,"Government Agency",,,,"Maximize opportunities for people in Connecticut with disabilities to live, learn and work independently.","67 PROSPECT AV
HARTFORD, Connecticut 06106
(41.747267, -72.715231)"
"MARKETING, EVENTS & CULTURAL AFFAIRS DIVISION, DEVELOPMENT SERVICES: CITY OF HARTFORD","4th Floor",,"06103","(860) 757-9525","dillk001@hartford.gov","http://www.hartford.gov/meca","Youth and Family Enrichment",,,,"Government Agency",,,,"The mission of the Marketing, Events & Cultural Affairs Division (MECA) is to enhance the quality of life in Hartford and to support the cultural development of the City by assisting, promoting and encouraging artists, arts and cultural organizations and ","250 CONSTITUTION PLAZA
HARTFORD, Connecticut 06103
(41.766541, -72.669436)"
"CAPITAL WORKFORCE PARTNERS",,,"06103","(860) 522-1111",,"http://www.capitalworkforce.org",,,,,,,,"Workforce Development","Leverage public and private resources to produce skilled workers for a competitive regional economy.","1 UNION PL
HARTFORD, Connecticut 06103
(41.769395, -72.681249)"
"BRIGHTER FUTURES FAMILY CENTERS at PARKER MEMORIAL COMMUNITY FAMILY CENTER (managed by CATHOLIC CHARITIES)",,,"06120","(860) 757-0827","drobinson@ccaoh.org","http://www.ccaoh.org","Youth and Family Enrichment","Support Services",,,,,,,"Brighter Futures Family Centers provide programs and services that support parents in their role as a child’s first nurturer, teacher and advocate.","2621 MAIN ST
HARTFORD, Connecticut 06120
(41.789326, -72.671631)"
"SOUTH BAY MENTAL HEALTH","SUITE 205",,"06106","(860) 578-1300",,"https://www.southbaycommunityservices.com",,"Support Services",,,,,,,"Provides outpatient mental health services for children, adolescents, adults, families and groups. Services include assessments, testing, evaluations and diagnoses. Services are coordinated with DCF, DMHAS, DSS, courts, day care centers, pediatricians, an","237 HAMILTON ST
HARTFORD, Connecticut 06106
(41.754228, -72.704047)"
"APPELLATE COURT: STATE OF CONNECTICUT",,,"06106","(860) 757-2200","co.webmaster@jud.ct.gov","http://www.jud.ct.gov/",,,,,"Government Agency",,,,"Serve the interests of justice and the public by resolving matters brought before it in a fair, timely, efficient and open manner.","231 Capitol AV
HARTFORD, Connecticut 06106
(41.762935, -72.682838)"
"AFRICAN AMERICAN PARENTS OF CHILDREN WITH DISABILITIES, INC. (AFCAMP)","Suite 520",,"06105","(860) 548-9959","info@afcamp.org","http://www.afcamp.org",,,"Civic Engagement",,,,,,"Educate, empower, and engage parents and community to improve quality of life for children with special needs and others at risk of education inequity or system involvement.","43 Woodland Street
HARTFORD, Connecticut 06105
(41.770184, -72.701608)"
"THE FAMILY RESOURCE CENTER AT MARIA C. SANCHEZ SCHOOL",,,"06106","(860) 695-4983","yeseniaC@hispanichealth.com","http://www.hartfordschools.org",,"Support Services",,,,,,,"We seek to satisfy families beyond their expectations by linking students, parents, principals, teachers, employees, and the community to available resources and ensure accurate information and quality assistance for all.","176 BABCOCK ST
HARTFORD, Connecticut 06106
(41.758918, -72.689238)"
"ASIAN STUDIES ACADEMY AT BELLIZZI SCHOOL (PK 4-8)",,,"06114","(860) 695-2400","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Provide our students with an intensive, comprehensive education focusing on Chinese Mandarin language and East Asian cultures.","215 SOUTH ST
HARTFORD, Connecticut 06114
(41.734532, -72.6809)"
"HARFORD PUBLIC SCHOOLS - FAMILY SERVICES WELCOME CENTER","1st Floor",,"06103","(860) 695-8400","fagaj001@hartfordschools.org","http://www.hartfordschools.org",,"Support Services",,,,,,,"Link students, parents, principals, teachers, employees, and the community to available resources and ensure accurate information and quality assistance for all.","960 MAIN ST
HARTFORD, Connecticut 06103
(41.768459, -72.673034)"
"FIRST CHURCH OF THE LIVING GOD FOOD PANTRY",,,"06105","(860) 232-4461",,"Unlisted/Unavailable",,"Support Services",,,,,,,"Provide a food pantry is for Greater Hartford area residents.","70 WHITNEY ST
HARTFORD, Connecticut 06105
(41.76895, -72.711723)"
"BOYS & GIRLS CLUBS OF HARTFORD (CAPITAL PREPARATORY MAGNET SCHOOL)",,,"06103","(860) 724-0700","sswain@bgchartford.org","http://www.bgchartford.com","Youth and Family Enrichment",,,,,,,,"Provide a safe, supportive atmosphere where children and teens can learn and grow and reach their full potential as productive, caring and responsible citizens.","1304 MAIN ST
HARTFORD, Connecticut 06103
(41.772348, -72.676044)"
"CONNECTICUT PUBLIC BROADCASTING NETWORK",,,"06105","(860) 275-7550","audiencecare@cpbn.org","http://www.cpbn.org","Youth and Family Enrichment",,"Civic Engagement",,,,,,"Inform, educate, entertain and inspire our audiences in Connecticut and beyond.","1049 ASYLUM AV
HARTFORD, Connecticut 06105
(41.772144, -72.699901)"
"CENTRO RENACER OF CONNECTICUT",,,"06106","(860) 232-7353",,"http://www.thefix.com",,"Support Services",,,,,,,"Improve the lives of adults, youth and their families by providing successful bilingual treatment, education and holistic support services that assists in recovery from substance abuse problems and re-integration into the community.","164 BARTHOLOMEW AV
HARTFORD, Connecticut 06106
(41.752455, -72.704413)"
"MUSEUM ACADEMY AT WISH  (PK 4-8)",,,"06120","(860) 695-5601",,"http://www.hartfordschools.org",,,,,,"Schools",,,"They LEARN to be critical thinkers, creative problem solvers and independent learners; EXPLORE the world through museum-related activities; ACHIEVE positive results through hard work and persistence; and DISCOVER their dreams and goals.","350 BARBOUR ST
HARTFORD, Connecticut 06120
(41.795041, -72.676727)"
"HARTFORD NEIGHBORHOOD CENTERS",,,"06106","(860) 251-6517","jsantos-seda@hnci.org","http://www.hnci.org","Youth and Family Enrichment",,,,,,,,"Povide an educational, cultural, social, and recreational ""safe haven"" of opportunity for the diverse, ethnic population of Hartford by adhering to the Connecticut Early Learning And Development Standards and the Connecticut Preschool Assessment Framework","38 LAWRENCE ST
HARTFORD, Connecticut 06106
(41.757193, -72.688038)"
"SAINT MICHAEL'S CHURCH FOOD PANTRY - HARTFORD",,,"06120","(860) 522-6184",,"Unlisted/Unavailable",,"Support Services",,,,,,,"Church food pantry for Northend Hartford residents is open Sat: 9-10am","7 CLARK ST
HARTFORD, Connecticut 06120
(41.78511, -72.677914)"
"CRAYONS & NUMBERS, LLC",,,"06112","(860) 293-2577",,"Unlisted/Unavailable",,,,"Early Childhood Education",,,,,"Crayons and Numbers Day Care Services, LLC is a Private Preschool located in Hartford, CT. Preschool is an educational setting that provides learning and play experiences for young children, ranging anywhere from 2-5 years old. These programs offer opport","691 BLUE HILLS AV
HARTFORD, Connecticut 06112
(41.806366, -72.695627)"
"UNITED CEREBRAL PALSY ASSOCIATION OF GREATER HARTFORD",,,"06105","(860) 236-6201 ext. 324",,"http://www.ucphartford.org",,"Support Services","Civic Engagement",,,,,,"Provides information about cerebral palsy and offers services to people with cerebral palsy and other disabilities. Services include in-home and companion supports, information and referral to community resources, and overnight summer camping programs for","80 WHITNEY ST
HARTFORD, Connecticut 06105
(41.769288, -72.711817)"
"HARTFORD YOUTH SCHOLARS",,,"06106","(860) 297-5116",,"http://www.hartfordyouthscholars.org","Youth and Family Enrichment",,,,,,,,"An exceptional academic enrichment program prepares gifted middle school students for a rigorous high school education; assists them in gaining acceptance and financial assistance at top college preparatory schools; and supports them through the college application process, college experience, and beyond.","129 ALLEN PL
HARTFORD, Connecticut 06106
(41.752259, -72.688983)"
"OFFICE OF PROTECTION AND ADVOCACY FOR PERSONS WITH DISABILITIES: STATE OF CONNECTICUT (P&A)","B",,"06120","(800) 297-4300",,"http://www.ct.gov/opapd",,,"Civic Engagement",,"Government Agency",,,,"Safeguard and advance the civil and human rights of people with disabilities in Connecticut.","60 WESTON ST
HARTFORD, Connecticut 06120
(41.785324, -72.664181)"
"FAMILY MEDICINE CENTER AT ASYLUM HILL",,,"06105","(860) 714-4212",,"http://www.asylumhillfamilymedicine.org",,"Support Services",,,,,,,"Deliver quality patient and family-centered healthcare that strengthens the long-term healing relationships between patients, their physicians and healthcare teams and prioritizes continuity of care, patient access, and disease management.","99 WOODLAND ST
HARTFORD, Connecticut 06105
(41.774252, -72.699832)"
"HARTFORD GAY AND LESBIAN HEALTH COLLECTIVE (HGLHC)",,,"06114","(860) 278-4163",,"http://www.hglhc.org",,"Support Services","Civic Engagement",,,,,,"Empower individuals of diverse sexual orientations, gender identities and gender expressions to lead healthy lives through the provision of health and support services, education and advocacy","1841 BROAD ST
HARTFORD, Connecticut 06114
(41.742412, -72.687158)"
"ACHIEVE HARTFORD!","3rd Floor",,"06106","(860) 244-3333","info@achievehartford.org","http://www.achievehartford.org",,,"Civic Engagement",,,,,,"Independently research, evaluate, and engage the community in creating urgency and shared responsibility for closing the educational achievement gap in Hartford.","221 MAIN ST
HARTFORD, Connecticut 06106
(41.758407, -72.675439)"
"HARTFORD GUIDES",,,"06103","(860) 522-0855",,"http://www.hartfordguides.org",,"Support Services",,,,,,,"Improve public perception of the city, stimulate economic development, and create better human relations.","523 MAIN ST
HARTFORD, Connecticut 06103
(41.762421, -72.674392)"
"SOUTH PARK INN",,,"06106","(860) 724-0071","info@southparkinn.org","http://www.southparkinn.org",,"Support Services",,,,,,,"Help the homeless help themselves.  The South Park Inn provides an 85 bed shelter for 45 men and 40 women and children. Other services include a wide range of clinical services for our residents and support groups.","75 MAIN ST
HARTFORD, Connecticut 06106
(41.756456, -72.675957)"
"311: CITY OF HARTFORD","Suite 203",,"06103","(860) 757-9311",,"http://www.hartford.gov/hartford-311",,"Support Services",,,"Government Agency",,,,"Provides a streamlined, integrated and secure way to report, track, and resolve problems or issues resident may have with non-emergency city services and centralizes the process of collecting and sharing that data.  311 staff members answer questions and ","550 Main ST
HARTFORD, Connecticut 06103
(41.762809, -72.674277)"
"COMMUNITY SCHOOL AT BURR SCHOOL (managed by THE VILLAGE FOR FAMILIES & CHILDREN)",,,"06114","(860) 695-3080","vita@thevillage.org","http://www.villageforchildren.org","Youth and Family Enrichment",,,,,,,,"To build a community of strong healthy families who protect and nurture children.","400 WETHERSFIELD AV
HARTFORD, Connecticut 06114
(41.744899, -72.67309)"
"CAPITOL REGION MENTAL HEALTH CENTER",,,"06112","(860) 297-0800",,"http://www.ct.gov/dmhas",,"Support Services",,,,,,,"Partnering with persons in recovery to ensure access to quality behavioral healthcare services.","500 VINE ST
HARTFORD, Connecticut 06112
(41.795957, -72.68765)"
"BIRTH TO THREE INTERAGENCY COORDINATING COUNCIL",,,"06106","(860) 888-4188","Lynn.S.Johnson@ct.gov","http://www.birth23.org",,,"Civic Engagement",,,,,,"Advise and assist the lead agency (Department of Developmental Services) in the implementation of the Birth to Three System.","460 CAPITOL AV
HARTFORD, Connecticut 06106
(41.76359, -72.69128)"
"COMMUNITY RENEWAL TEAM, INC. (CRT) - CLARK SCHOOL EARLY CARE CENTER","CMTY",,"06120","(860) 695-4879","ECE@crtct.org","http://www.crtct.org/en/",,,,"Early Childhood Education",,,,,"Rawson offers affordable, high quality, licensed childcare and education for children three to five years of age.  Centerâ€™s use the nationally-respected Creative Curriculum, so that all children enter kindergarten ready to learn and succeed. All childre","260 HOLCOMB ST
HARTFORD, Connecticut 06120
(41.795753, -72.700253)"
"FOOD AND DRUG ADMINISTRATION UNITED STATES: HARTFORD OFFICE","Room 230",,"06103","(860) 240-4289",,"http://www.fda.gov",,"Support Services",,,,,,,"Protecting and Promoting Your Health","135 HIGH ST
HARTFORD, Connecticut 06103
(41.769661, -72.679888)"
"AFRICAN-AMERICAN AFFAIRS COMMISSION: STATE OF CONNECTICUT ","Room 509",,"06106","(860) 240-8555","aaac@cga.ct.gov","http://aaac.cga.ct.gov/AAAC/",,,"Civic Engagement",,"Government Agency",,,,"Improve and promote the economic development, education, health, and political well being of the African-American community in the State of Connecticut.","210 CAPITOL AV
HARTFORD, Connecticut 06106
(41.762879, -72.682508)"
"BREAKTHROUGH II ELEMETARY SCHOOL (PK 3-6)",,,"06112","(860) 695-6380","info@breakthroughnorth.org","http://www.hartfordschools.org",,,,,,"Schools",,,"For staff, families, and community members of diverse backgrounds to work in partnership to develop students as models of outstanding character.","395 LYME ST
HARTFORD, Connecticut 06112
(41.804787, -72.704285)"
"URBAN LEAGUE OF GREATER HARTFORD",,,"06105","(860) 527-0147",,"http://www.ulgh.org","Youth and Family Enrichment","Support Services",,,,,,"Workforce Development","Promote the self-empowerment of individuals in the Connecticut Capital Region to achieve educational, occupational and economic equality for themselves and their families.","140 WOODLAND ST
HARTFORD, Connecticut 06105
(41.776682, -72.69871)"
"SCIENCE, TECHNOLOGY, ENGINEERING AND MATH (STEM) MAGNET SCHOOL AT ANNIE FISHER (K-8)",,,"06112","(860) 695-3511",,"https://anniefisherstem.hartfordschools.org/",,,,,,"Schools",,,"Provides an advanced academic program focused on Science, Technology, Engineering, and Mathematics (STEM). Students participate in an academically challenging curriculum with rigorous science and math instruction.","280 PLAINFIELD ST
HARTFORD, Connecticut 06112
(41.791455, -72.70817)"
"TRINITY COLLEGE VISION ACADEMIC MENTORING PROGRAM",,,"06106","(860) 297-2000",,"http://www.trincoll.edu","Youth and Family Enrichment",,,,,,,,"Provides weekly homework help, mentoring, enrichment activities, and field trips  to middle school  students.","300 SUMMIT ST
HARTFORD, Connecticut 06106
(41.745838, -72.692773)"
