"title","artist_s","materials","date_made","acquisition_date"
"KNEELING LADY","FRILLI-FIRENZE, A.","Cararra marble",,
"THREE GRACES","FRILLI-FIRENZE, Antonio","Marble","Late 4th Quarter 19th-1st Quarter 20th Century.",
"LANGSTON HUGHES","GAFFORD, Alice Taylor","Oil on canvas",,
"FREEDOM","GALE, Wesley","Watercolor",,
"UNTITLED","GALLEGOS, Kathy","Print",,
"IVANHOE (frieze)","GARNSEY, Julian & A.W. Parson","Oil","1933",
"Unknown","GEIGER, Dick","Resin, acrylic, wood, glass","1971",
"VILLAGE SQUARE","GERMAIN, Frank","Acrylic on panel",,
"TOUCH & EXPERIENCE","GERSON, Helen Waller","Fiberglass","1977",
"BLACK BOY W/ PALM LEAVES, BELIZE","GLEATON, Tony","gelatin silver print","1992",
"LAS CARAS DE MIS AMADOS","GLEATON, Tony","gelatin silver print","1988-89",
"STRUCTURE SEVEN","GLENN, Ken","Wood","1958",
"BIRD OF PARADISE","GLETT, Clarice Allen","Oil on canvas","1956",
"7TH REGIMENT MONUMENT (SPAN. AM. WAR MEMORIAL)","GODDARD, Samuel M.","Granite, stone","1900",
"MARIANHA","GOIS, Walter","Oil on untempered masonite","1962",
"ROMAN LANDSCAPE","GOLDIN, Leon","Watercolor and mixed media on paper","1958",
"BARNSDALL BEVERLY HILLS","GOORMAN, David and Jeffrey Manpearl","Birch, plywood, & plexiglass","1992",
"OLYMPIC GATES","GRAHAM, Robert","Bronze","1984",
"UNTITLED","GRANT, Lowell","Terra cotta","1960",
"MINDSCAPE RETRO #1","GREEN, Beverly J.","Watercolor",,
"THE THIRD STAGE","GREEN, Beverly J.","Watercolor",,
"NATURAL LADY","GREEN, Diane","Oil on linen","1970",
"FOREVER YOUNG","GREEN, Lucille B.","Watercolor on paper","1972",
"CATCHER #2","GREEN, Phyllis","Cement, sand, cloth, wire, acrylic","1991",
"LOS ANGELES 1984 OLYMPIC GAMES COMMEMORATIVE PRINT","GREIMAN, April","Lithograph","1983",
"CHARLES ENNIS RESIDENCE","GREY, Martha and Harvey Watts, Jr.","Balsa wood","1987",
"STILL-LIFE (Melon and fruit)","GUEDEL, Vivian","Oil on untempered masonite","1953",
"VENUSTIANO CARRANZA","GUTIERREZ, Victor","Bronze","1980",
"OLYMPIC COMMEMORATIVE RUG","HAKA, Charlotte","Wool","1984",
"MY MASSES","HALE, Kenneth J.","Lithograph on paper","1971",
"MAYOR BENJAMIN WILSON","HALL, Norman","Oil on canvas","1963",
"COMPOTERIE","HAMAGUCHI, Yozo","Aquatint",,
"UPTOWN ROCKER","HAMROL, Lloyd","Reinforced concrete, steel plate","1986",
"HALF DOME","HANSEN, Robert","Oil","1964",
"MAN-MEN 132","HANSEN, Robert","Lacquer","1964",
"MUDRA 3","HANSEN, Robert","Bronze","1965",
"FLAG RAISING AT IWO JIMA","HARBY, Thornton","Oil on canvas","1953",
"A NATURAL DEVELOPMENT OF PERSONALITY...","HARDEN , Marvin","Pencil, ink, gouache","1973",
"FREEWAY KID","HARGER, Stephen","Acrylic on canvas","1973-74","1977-12-27T00:00:00.000"
"INCOMING TIDE","HARVEY, Hazel","Oil on canvas",,
"ELLIPSE, METALLIC ON WHITE","HARWOOD, June","Acrylic","1968",
"SARUIWA AT SHIBOBARA","HASUI, Kawase","Woodblock",,
"LEGEND 412","HAWKINS, Eugene","Oil on canvas","1963",
"YAMATO E. PAINTING (YUMI-NAGASHI)","HAYASHI, Unpo",,"1975",
"BUDDHA","*daniel*","Oil on canvas","1975",
"GENESIS","HEHMAN, Margaret","Acrylic on cut canvas","1975",
"AUSTRALIAN LANDSCAPE","HELLIER, Dermont","Oil on canvas","1960",
"MOTHER AND CHILD (GORILLA)","HENRY, Eda Martinek","Plastic","1982",
"MARIA KANNON","HENRY, Motoko K.","Ink on rice paper","1973",
"CLOCKTOWER MONUMENT TO THE Unknown","HERMS, George","Cor-ten steel, coffee filters,glass","1987",
"MARTIN LUTHER KING MEMORIAL","HERSCHLER, David Elijah","Stainless steel","1972",
"INTERIOR AND SLEEPING DOG","HERTEL, Susan","Oil on canvas","1962",
"TREES","HERTEL, Susan","Oil on canvas","1963",
"FIESTA AT A MISSION (mural)","HERTER, Albert","Oil on canvas","1930",
"FINDING OF GOLD IN '49 (mural)","HERTER, Albert","Oil on canvas","1928",
"JOSE GASPAR DE PORTOLA (mural)","HERTER, Albert","Oil on canvas","1928",
"JUAN BAUTISTA DE ANZA (mural)","HERTER, Albert","Oil on canvas","1928",
"RAISING THE FLAG AT MONTEREY (mural)","HERTER, Albert","Oil on canvas","1928",
"RELIEF SHIP AT SAN DIEGO (mural)","HERTER, Albert","Oil on canvas","1928",
"THE BUILDING OF A MISSION (mural)","HERTER, Albert","Oil on canvas","1928",
"THE LANDING OF CABRILLO AT CATALINA ISLAND (mural)","HERTER, Albert","Oil on canvas","1928",
"THE ROCK","HESSOVA, Boza","Oil on canvas","1947",
"THE BREAKFAST ROOM","HIGGINS, Gaye M.","Etching",,
"BLUE SKIES","HINLEIN, Beatrice","Watercolor",,
"SOUL OF TREES","HIRAKAWA, Toshio","Mixed media on board",,
"Still-Life With Fish","HIRAKAWA, Toshio","Oil on linen","1960","1969-12-22T00:00:00.000"
"ERUPTING VOLCANO","HIROAKA, Naohisa","Oil on paper","1975",
"PORTRAIT OF LADY","HIROYOSHI, Ho","Oil on canvas",,
"GEORGE WASHINGTON","HIRSCHINGER, Rosalie","Needlework on canvas","1881",
"GARDEN OF VOICES","HOLLIS, Doug; and TURNER, Richard","Concrete, stone, speakers","1986",
"THE GREAT EASTER BUFFALO","HOOK, Walter","Watercolor",,
"MAYOR NORRIS POULSON","HOOWIJ, Jan","Oil on masonite",,
"MOURNING - C","HOSHINO, Shingo","Oil on canvas",,
"UNTITLED","HOSOI, Ivan","Acrylic","1967",
"BUST OF BENJAMIN FRANKLIN","HOUDON, Jean-Antoine","Bronze","1778",
"Unknown","HOYES","Print on paper","1991",
"REFINERY","HUME, Dorothy","Oil on untempered masonite","1957",
"MIXED FLOWERS IN A BLUE JAR","HUNT, Edna","Oil on canvas","1963",
"JEANETTE MACDONALD","HURRELL, George","Photograph","1935",
"JOAN CRAWFORD","HURRELL, George","Photograph","1930",
"JOAN CRAWFORD","HURRELL, George","Photograph","1935",
"NORMA SHEARER","HURRELL, George","Photograph","1933",
"NORMA SHEARER","HURRELL, George","Photograph","1933",
"RITA HAYWORTH","HURRELL, George","Photograph","1942",
"ROSALIND RUSSELL","HURRELL, George","Photograph","1935",
"UNTITLED (IN MEMORY OF ANNA RAGAN)","HYLAND, Flaven","Mixed media sculpture: glazed and unglazed ceramic tile, grout, cement, steel and plywood","1971",
"PORTSIDE GLANCE","ICHIKAWA, Akira","Oil on linen",,
"LIVES FROM EARTH NO. 1","INABA, Minoru","Oil on linen",,
"UNTITLED (Mt. Fuji)","Unknown","Ink on paper",,
"TOY BOX DREAM","INGLE, Asta","Watercolor",,
"ECHO IN A JEWEL EYE","INGRAM, Marcilette","Serigraph","1971",
"CUSTOM #2","ITO, Toshiko","Oil on canvas","1965",
"CUSTOM #3","ITO, Toshiko","Oil, graphite on canvas","1965",
"JOHN JAY, FIRST CHIEF JUSTICE OF THE U.S.","IVANOV, Vera","PENCIL ON PAPER","1976",
"UNTITLED #TWO","IWAMASA, Ken","Serigraph / lithograph","1970",
"PASADENA LAGOON","JAMES, Eleanore Taylor","Watercolor",,
"SUGARBEET FACTORY","JAMES, Eleanore Taylor","Watercolor",,
"SUNSET HOUR","JARRETT, Mary","Oil on canvas","1962",
"SNOW TO RAIN","JARVAISE, James","Oil on canvas","1974",
"VASE, SEVRES","JAULMES, Gustave Louis","Porcelain",,
"A.W. ROSS","JENSEN, Helen Webster","Bronze, black marble","1956",
"JUNI JINSHO-I (#2) (Twelve Guardian Generals - Boar)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"ENKU","JINSHO, Juni & Yakushi Sanzon","Block print",,
"THE REDWOODS","JOHNSTON, Alfred W.","Oil on canvas",,
"BAY OF BENGAL","JOHNSTON, Ynez","Casein on artboard","1967","1977-12-27T00:00:00.000"
"WINTER IN THE REDWOODS","JOHNSTON(E), A.W.","Oil on canvas",,
"MEMORIAL WINDOW","JUDSON STUDIOS","Glass, wood","1930",
"Unknown","KAMINSKI","Pencil on Paper",,
"HEKEBEKE 65","KATO, Kin-Ichiro","Oil on canvas","1965",
"HEKEBEKE 65","KATO, Kin-Ichiro","Oil on canvas","1965",
"JAMES DEAN","KENDALL, Kenneth","Bronze","1955-56",
"MAYOR JOHN C. PORTER","KENDEE, Geza","Oil on canvas",,
"UNTITLED","KENT, Claude","Wood, glass","1973",
"HAPPY 60TH BIRTHDAY MICKEY MOUSE","KENT, Melanie Taylor","Lithograph","1988",
"WALT DISNEY WORLD","KENT, Melanie Taylor","Serigraph","1987",
"UNTITLED","KENT, Nancy","Mixed media","1973",
"AGONY OF DULCINEA","KINNEY, Joy","Etching","1967",
"BUST OF MAYOR SAM YORTY","KIRKWOOD, Lee","Hollow cast bronze","1972",
"STANDING BEAR","KLIEM, Hildebert","Bronze","1941",
"MAYOR FRANK L. SHAW","KLINKER, Orpha","Oil on canvas","1938",
"MADONNA - IN GROTTO","KNAPP, Frank, Sr.","Painted plaster","1934",
"SPANISH PADRE AND INDIAN BOY","KNAPP, Frank, Sr.","Cast cement polychrome","1934",
"SUNDIAL","KNIPE, C.C.","Stone, tile, concrete, metal","1920",
"BIRD ON THE MOON","KOHN, Edmund","Oil on masonite",,
"RED AND GREEN NO. 2","KOMOTO, Akira","Oil on canvas",,
"RED AND GREEN NO. 3","KOMOTO, Akira","Oil on canvas",,
"MAYOR FLETCHER BOWRON","KOSA, Emil","Oil on canvas",,
"INLET OF ASHIGO #2","KOSAKA, Gajin","Ink on paper","1941",
"MOUNTAIN","KOSAKA, Gajin","Ink on paper","1939",
"THE HORSE DRAWN CAR (L.A. 1897)","KRAMER, Albert","Silkscreen print",,
"CITY OF THE ANGELS","KRIM, Herman","Acrylic on canvas","1983",
"BATTLEMENTS AND TOWERS","KRISTENSON, Bengt","Lithograph",,
"COLONEL JOHN C. FREMONT, CIVILIAN ELDER YEARS","LA MONK, Charles","Oil on canvas","1968",
"L'ELEVE","LOAHS, James R.","Oil on canvas",,
"MARLENE DIETRICH","LACY, Madison","Photograph","1941",
"UNTITLED","LANDESS, Steve","Photograph",,
"ENCLOSURE","LANE, William","Oil on canvas","1966",
"STILL-LIFE","LANZ, Emil","Oil on linen glued to masonite",,
"OLVERA STREET","LARSEN, Alice Pike","Oil on canvas",,
"MAYOR TOM BRADLEY","LAWRENCE, Kathy","Oil on canvas",,
"CIVILIZATION","LAWRIE, Lee","Marble, metal","1932",
"LOTUS SHAFT FOUNTAIN","LAWRIE, Lee","Sienna marble","1932",
"FLOWER STREET ENTRANCE","LAWRIE, Lee","concrete","1926",
"SOUTH ENTRANCE FAÇADE AND TOWER","LAWRIE, Lee","Concrete","1926",
"STORYLAND (5 panels)","LAWRIE, Lee","Sandstone","1933",
"IN MEMORY OF THE LATE E.R. PERRY","LAWRIE, Lee","Marble Bas-relief","Post 1933",
"SPHINXES","LAWRIE, Lee","Marble, bronze","1932",
"SCULPTURAL FRIEZE OVER 5TH STREET ENTRANCE","LAWRIE, Lee","Concrete","1926",
"GRAND STREET ENTRANCE","LAWRIE, Lee","Sandstone","1926",
"SOUTH DOORWAY","LAWRIE, Lee","Concrete","1926",
"FRIEZE TO THE HISTORY OF PRINTING","LAWRIE, Lee","Sandstone","1926",
"OVER 5TH STREET, 2ND FLOOR ENTRANCE","LAWRIE, Lee","Concrete","1926",
"INDIAN MAID","LEE, Candy","Intaglio","1974",
"UNTITLED - Gary Leonard Series","LEE, Linda","Photograph","1990",
"OL' SALT","LEEWITT, Brian","Plaster","1970",
"A BLACKFOOT SUN DANCE BUSTLE","LEIGHTON, Kathryn","Oil on canvas",,
"MEDICINE MAN OF THE SIOUX INDIAN","LEIGHTON, Kathryn","Oil on canvas",,
"SUMMER BOUQUET","LEMOHN, Blessing","Oil on Cotton Duck",,
"PAINTING","LEVI, Linda","Oil on canvas","1958","1977-12-27T00:00:00.000"
"AQUEOUS","LIASHKOV, Peter","Oil on canvas","1967",
"LOS ANGELES 1984 OLYMPIC GAMES COMMEMORATIVE PRINT","LICHTENSTEIN, Roy","Lithograph","1983",
"MAYOR JOHN BRYSON","LINCOLN, Thomas","Oil on canvas",,
"ATLANTIC MORNING","LIND, Axel","Oil on canvas","1976",
"BRONZE DOORS OF THE LOS ANGELES CITY HALL (WEST DOORS)","LION, Henry","Bronze","1928",
"DON FELIPE DE NEVE","LION, Henry","Bronze, stone","1931",
"JUAN BAUTISTA DE ANZA","LION, Henry","Bronze, with stone base.","1927",
"JUAN RODRIGUES CABRILLO","LION, Henry","Plaster over concrete","1936",
"MINER'S STATUE (aka Daniel O. McCarthy, Pioneer, Ftn.)","LION, Henry","Bronze, concrete","1924-25",
"PIONEER STATUE","Unknown","Bronze","1926",
"POWER OF WATER (Fountain)","LION, Henry; and HERNON, Jason; and PETICOLAS, Sherry","Concrete","1934",
"CLAUDETTE COLBERT","LIPPMAN, Irving","Photograph","1932",
"POISE","LLOYD, Caroline A.","Bronze","1946",
"REPOSE","LLOYD, Caroline A.","Bronze","1946",
"POET","LONGACRE, Michael","Ink & acrylic on plywood","1965",
"GRIFFITH OBSERVATORY","LOPATIN, Boris","Oil on canvas","1935",
"KOALA","LOPER","Bronze","1982",
"BUST OF JOSE MARTI","LOPEZ-MESA, Sergio","Bronze","1975","1975-12-01T00:00:00.000"
"MEXICAN PORT, ACAPULCO","LORAN, Erle","Oil on masonite","1948",
"ENFORCER #3","LOVELAND, Reed C.","Mixed media","1975",
"RESIDENCE AT 818 BONNIE BRAE","LUITJENS, Helen","Watercolor","1967",
"UNTITLED","LUMBERT, Donald","Oil on wood",,
"SPEAKING OF TIME","M., O. (Unknown)","Paint,stiching,yarn,fabric-Collage",,
"UNTITLED","MAC KURTH, Phyllis","Ink on paper","1960",
"THE MEMORIAL GATEWAY (Panel #1)","MAKO, Bartolo","Concrete","1932",
"THE MEMORIAL GATEWAY (Panel #2)","MAKO, Bartolo","Concrete","1931",
"IN MEMORIAM LOS ANGELES FIRE DEPT.","MALTBY, W.E.","Black and white marble, granite and cement",,
"LATE AFTERNOON IN ARROYO SECO","MANNHEIM, Jean","Oil on canvas","Unknown","1936-06-03T00:00:00.000"
"GIRL AND ROSES","MARCUS, Alexandrea","Oil on canvas",,
"MIKE STEWART","MARLOW, Constance","Oil on canvas","1972",
"COOL BLUE LINE","MARSHALL, Elsie","Oil on cotton duck","1968",
"JOSE MARIA MORELOS Y PAVON","MARTINEZ, Julian","Bronze","1980",
"BIRD","MASON, E.","Welded steel","1964",
"BOILING SURF","MATSON, Victor","Oil on canvas",,
"CARMEL VISTA","MATSON, Victor","Oil on canvas","1951",
"PACIFIC SHORES","MATSON, Victor","Oil on artist's board",,
"TIDE'S IN","MATSON, Victor","Oil on linen",,
"WIND","MATSON, Victor","Oil on linen",,
"TIBERIAS","MATUSOVSKY, Moshe","Watercolor",,
"Roses","MAURASI, S.","Oil on linen",,"1969-12-22T00:00:00.000"
"BEFORE THE SHOWER","MAYER, Joyce","Pastel",,
"ROSEBUSH","McALLISTER, Patrick","Acrylic on canvas","1975",
"BAPTISM","McCALL, W. Sherrod","Oil on canvas",,
"EUROPA & THE BULL","McFARLAND, Thomas","Etching","1959",
"10th OUTDOOR ART FESTIVAL","MEADOR, Joshua","Intaglio print","1962",
"ALL CITY OUTDOOR ART FESTIVAL","MEADOR, Joshua","Oil on canvas","1953",
"PLAYGROUND","Meador, Joshua","Oil on canvas","1957",
"AIR WITH WINGS","MENDES, Roger","Collograph","1971",
"PORTRAIT OF DR. MARY MCLEOD BETHUNE","MEO, Yvonne Cole","Oil on canvas",,
"EUROPEAN VILLAGE STREET SCENE","MERIDA, M. M.","Oil on canvas","1977",
"MIRALESTE (PT. FERMIN FROM PALOS VERDES)","MERRITT, Frank","Oil on canvas",,
"SCULPTURE AMERICANA #5","MESCHES, Arnold","Acrylic on canvas","1969",
"THE YOUNG MUSICIANS","MILLER, John Brooks","Watercolor and collage on board","Before 1977","1977-12-27T00:00:00.000"
"AFTERGLOW-GORMAN","MILLIER, Arthur","Etching","1963",
"BEYOND CHINO","MILLIER, Arthur","Etching","1965",
"BIG SUR COAST NO. 1","MILLIER, Arthur","Etching","1930","1978-10-12T00:00:00.000"
"BRIGGS TERRACE-LA CANADA","MILLIER, Arthur","Etching","1920",
"BUELLTON","MILLIER, Arthur","Etching","1930",
"BUSGIO (Bishop) Rock, No.2","MILLIER, Arthur","Etching","1961",
"COWBARN NEAR LOMPOC","MILLIER, Arthur","Etching","1959",
"EAST OF FRESNO","MILLIER, Arthur","Etching","1967",
"GARAPITOS, BIG SUR COAST","MILLIER, Arthur","Etching","1934-61",
"JUNK MAN OF CALABASAS, NO. 2","MILLIER, Arthur","Etching","1963",
"LOS ANGELES STREET","MILLIER, Arthur","Etching","1924","1978-10-12T00:00:00.000"
"MALIBU SPRINGS","MILLIER, Arthur","Etching","1960","1978-10-12T00:00:00.000"
"MONO LAKE, NO. 1","MILLIER, Arthur","Etching","1924",
"MORNING SONG-BUELLTON","MILLIER, Arthur","Etching","1931",
"MORNING, BAKERSFIELD","MILLIER, Arthur","Etching","1966","1978-10-12T00:00:00.000"
"NORTH MAIN STREET","MILLIER, Arthur","Etching","1924",
"NOTTLEIGHS LANDING, BIG SUR","MILLIER, Arthur","Etching","1928",
"OLD BARN, PASO ROBLES","MILLIER, Arthur","Etching","1959","1978-10-12T00:00:00.000"
"PASTURE, SAN LUIS OBISPO","MILLIER, Arthur","Etching","1968","1978-10-12T00:00:00.000"
"PLAZA CHURCH","MILLIER, Arthur","Etching","1922","1978-10-12T00:00:00.000"
"PLAZA PEOPLE","MILLIER, Arthur","Etching","1923","1978-10-12T00:00:00.000"
"PLAZA TWILIGHT","MILLIER, Arthur","Etching","1924",
"POINT SUR","MILLIER, Arthur","Etching","1928",
"ROAD TO LOMPOC, NO. 3","MILLIER, Arthur","Etching","1962",
"ROAD TO SAN LUIS OBISPO","MILLIER, Arthur","Etching","1962",
"SANTA YNEZ RIVER","MILLIER, Arthur","Etching","1963",
"SPRING IN THE PLAZA, NO. 2","MILLIER, Arthur","Etching","1963","1978-10-12T00:00:00.000"
"SPRING PLOWING, SANTA YNEZ","MILLIER, Arthur","Etching","1962","1978-10-12T00:00:00.000"
"TACQUITZ WALL, PALM SPRINGS","MILLIER, Arthur","Etching","1927",
"THE GATEWAY, MALIBU MOUNTAINS","MILLIER, Arthur","Etching","1963",
"THE LAGOON, TIBURON","MILLIER, Arthur","Etching","1920",
"VIEW FROM ANDREAS CANYON","MILLIER, Arthur","Etching","1929",
"YORK MOUNTAIN (BETWEEN PASO ROBLES & CAMBRIA)","MILLIER, Arthur","Etching ""Ed. 32 pr""","1963",
"UNTITLED","MILTON",,"1991",
"UNTITLED","MIRANDA, Judy","Photograph","1985",
"PLATE 11","MIRO, Joan","Aquatint","1972",
"PLATE 2","MIRO, Joan","Aquatint","1972",
"PLATE 4","MIRO, Joan","Aquatint","1972",
"COUNTRY STORE","MITCHELL, Lloyd","Oil on canvas","1966",
"UNTITLED (City scene)","MIYOSHI","Print",,
"MAYOR HENRY MELLUS","MIZEN, Frederic","Oil on canvas","1963",
"PLUM BLOSSOMS","MIZUSHIMA, Yutaka","Oil on canvas",,
"BIRCHES, ADIRONDACKS","MODRA, Theodore","Watercolor",,
"PRAYER FOR PEACE","MOFFITT, John C.","Oil on canvas",,
"UNTITLED","MONTOYA, Norma","Mural","1979",
"UNTITLED-Pink Road with Blue Sky","MORGON, Thomas V.","Oil on canvas","1971","1905-05-30T00:00:00.000"
"LIFE GOES ON","MORRISH, Margaret","Watercolor",,
,"MUBAYI, Syvester","Stone","1971",
"GEORGE WASHINGTON","MURRY, Jerre","Oil on canvas",,
"VERNAL FALLS","NAKAGAWA, Pauline","Oil on canvas",,
"STILL-LIFE WITH LAMP","NARITA, K.","Oil on canvas",,
"PALM LINE","NEILSON, Margaret","Oil on canvas","1978",
"SILENT FIGURES","NICHOLAS, EleanorE","Oil on canvas","1964",
"LITERATE FENCE","NIEMI, Reis","Iron","1993",
"NATIVE OF THE CALIFORNIA DESERT","NIMMO, Louise Everett","Oil on canvas","Unknown","1939-09-20T00:00:00.000"
"TASSEL FORM","NISHIMURA, Hideko","Fiber/macrame","1971",
"WORK 165-C","NISHIO, Ichizo","Mixed media collage",,
"VIOLET","NIWA, Kazuko","Oil on canvas w/ collage",,
"Unknown","NORTE, C.F.","Colored pencil on paper",,
"PORTRAIT OF A YOUNG WOMAN","NORUNDZAIAN, Haig","Oil on canvas","1963","1977-12-27T00:00:00.000"
"SILENCE THERE REIGNS","O'HAGAN, John L.","Oil on canvas",,
"PORTRAIT OF A LADY","OFF, Louise A.","Oil on canvas",,
"VIOLETS","OFF, Louise A.","Oil on canvas",,
"GREEN TABLEAU NO. 2","OKADA, Tetsu","Oil on canvas","Before 1966","1965-11-27T00:00:00.000"
"CITYSCAPE","OKAMURA, N.","Oil on canvas",,
"MAYOR J. R. TOBERMAN","OPLIGER, Curt","Oil on canvas","1960",
"THE HERITAGE ARTPIECE '76","OPTIMIST CLUB OF HIGHLAND PARK","Marble (bas-relief)","1976",
"SNAKE","ORR, Eric","Stone and iron sculpture",,
"CIDADE BRASIL #2","OSWALD, Henrique Carlos Bicalho","Oil on canvas",,
"UNTITLED","OVERHOUSER, Ken","Acrylic on canvas","1974",
"HAYM SALOMEN","PAINE, Robert","Bronze, concrete","1943",
"WHITE HOUSE","PALMERSTON, Carole","Watercolor on paper","1961",
"VERTICAL STRUCTURE","PALUZZI, Rinaldo","Oil on canvas","1960",
"GENERAL DOUGLAS MACARTHUR","PARKER, Paul E.","Oil on canvas",,
"20TH CENTURY FOX, MOTOR AVE.","PARKER, Robert Miles","Ink on paper",,
"324 10TH ST., SAN PEDRO","PARKER, Robert Miles","Ink on paper","1983",
"430 UNION AVE.","PARKER, Robert Miles","Ink on paper","1983",
"4541 EAGLE ROCK BLVD.","PARKER, Robert Miles","Ink on paper","1983",
"5675 FIRESTONE BLVD.","PARKER, Robert Miles","Ink on paper","1983",
"633 15TH ST.","PARKER, Robert Miles","Ink on paper",,
"9000 BLOCK, BOLSA AVE., WHITTIER","PARKER, Robert Miles","Ink on paper","1983",
"940 HIGHLAND","PARKER, Robert Miles","Ink on paper","1982",
"ANAHEIM CONVENTION CENTER","PARKER, Robert Miles","Ink on paper","1983",
"AT FERNWOOD, LONG BEACH","PARKER, Robert Miles","Ink on paper","1983",
"AZTEC HOTEL, 311 FOOTHILL BLVD.","PARKER, Robert Miles","Ink on paper",,
"AZUZA","PARKER, Robert Miles","Ink on paper","1983",
"BALDWIN HILLS","PARKER, Robert Miles","Ink on paper",,
"BASSETT VIEW","PARKER, Robert Miles","Ink on paper","1983",
"BEACH BOULEVARD","PARKER, Robert Miles","Ink on paper",,
"BELLA VISTA, WILSHIRE DISTRICT (3 VIEWS)","PARKER, Robert Miles","Ink on paper","1982",
"BETWEEN THE RIVER & GREGG RD., PICO RIVERA","PARKER, Robert Miles","Ink on paper","1983",
"BEVERLY BETWEEN LA CIENEGA & HUNTLEY","PARKER, Robert Miles","Ink on paper","1981",
"BILTMORE HOTEL","PARKER, Robert Miles","Ink on paper",,
"BIRTHPLACE OF NIXON (YORBA LINDA)","PARKER, Robert Miles","Ink on paper",,
"BONAVENTURE HOTEL","PARKER, Robert Miles","Ink on paper",,
"CALABASAS","PARKER, Robert Miles","Ink on paper","1983",
"CALIFORNIA FEDERAL, 270 Vermont , corner of Vermont and Beverly","PARKER, Robert Miles","Ink on paper","1982",
"CAR SON TIEN POST","PARKER, Robert Miles","Ink on paper","1983",
"CHATSWORTH METHODIST CHURCH","PARKER, Robert Miles","Ink on paper","1983",
"CHICAGO & MICHIGAN (5 VIEWS)","PARKER, Robert Miles","Ink on paper","1979",
"CORNER OF CENTRAL & BUENA VISTA","PARKER, Robert Miles","Ink on paper","1983",
"CORNER OF GLENDORA AND FOOTHILL","PARKER, Robert Miles","Ink on paper","1983",
"CORNER OF MAIN & COLLEGE","PARKER, Robert Miles","Ink on paper","1982",
"CORNER OF SAN VICENTE & WEST HOLLYWOOD","PARKER, Robert Miles","Ink on paper",,
"CORNER OF SATICOY & RESEDA","PARKER, Robert Miles","Ink on paper","1983",
"COUNCIL & BEVERLY TEMPLE","PARKER, Robert Miles","Ink on paper",,
"DONUT HOLE","PARKER, Robert Miles","Ink on paper",,
"DOWNTOWN (4 VIEWS)","PARKER, Robert Miles","Ink on paper","1983",
"DOWNTOWN WITH HOLLYWOOD HILLS","PARKER, Robert Miles","Ink on paper",,
"ELWOOD & WESTERN","PARKER, Robert Miles","Ink on paper",,
"FIGUEROA NEAR CYPRESS, HIGHLAND PARK","PARKER, Robert Miles","Ink on paper","1983",
"FOREST LAWN, GLENDALE","PARKER, Robert Miles","Ink on paper","1983",
"FULLERTON TRAIN STATION","PARKER, Robert Miles","Ink on paper","1983",
"GARFIELD & VALLEY, ALHAMBRA","PARKER, Robert Miles","Ink on paper","1983",
"GILL TRAIN STATION, RANDY'S DONUTS (3 VIEWS)","PARKER, Robert Miles","Ink on paper","1982",
"GRIFFITH OBSERVATORY","PARKER, Robert Miles","Ink on paper",,
"HARBOR BLVD.","PARKER, Robert Miles","Ink on paper","1983",
"HERALD EXAMINER","PARKER, Robert Miles","Ink on paper","1983",
"HOLLYWOOD","PARKER, Robert Miles","Ink on paper",,
"HOLLYWOOD BUILDINGS","PARKER, Robert Miles","Ink on paper",,
"HOLLYWOOD, 1141 N. GORDON","PARKER, Robert Miles","Ink on paper","1982",
"HOTEL BEL AIR, STONE CANYON ROAD","PARKER, Robert Miles","Ink on paper","1983",
"HUNTINGTON PARK","PARKER, Robert Miles","Ink on paper",,
"IRWINDALE AVEUE AND JUAREZ STREET","PARKER, Robert Miles","Ink on paper","1983",
"J.J. NEWBERRY'S & HOLLYWOOD TOWER (2 VIEWS)","PARKER, Robert Miles","Ink on paper","1982",
"HOBIT HOUSE","PARKER, Robert Miles","Ink on paper",,
"LONG BEACH (4 VIEWS)","PARKER, Robert Miles","Ink on paper",,
"MAILING HOUSE","PARKER, Robert Miles","Ink on paper","1982",
"MAIN ST. & 3RD W. SANTA ANA (6 VIEWS)","PARKER, Robert Miles","Ink on paper",,
"WESTMINSTER THE MCCOY - HARE HOUSE","PARKER, Robert Miles","Ink on paper","1987",
"MID WILSHIRE","PARKER, Robert Miles","Lithographic facsimile of ink on paper drawings",,
"MISSION SAN FERNANDO","PARKER, Robert Miles","Ink on paper",,
"NORTH GORDON STREET, HOLLYWOOD","PARKER, Robert Miles","Ink on paper","1983",
"OVIATT BUILDING","PARKER, Robert Miles","Ink on paper","1982-83",
"PACIFIC ASIA MUSEUM, PASADENA","PARKER, Robert Miles","Ink on paper",,
"PACIFIC DESIGN CENTER","PARKER, Robert Miles","Ink on paper","1983",
"PATTON QUADRANGLE, FORT MACARTHUR","PARKER, Robert Miles","Ink on paper","1983",
"PETER ADAMS' HOUSE, PASADENA","PARKER, Robert Miles","Ink on paper","1983",
"PICO HOUSE","PARKER, Robert Miles","Ink on paper",,
"PICO RIVERA, ROSEMEAD BLVD","PARKER, Robert Miles","Ink on paper","1983",
"PIONEER, NORWALK","PARKER, Robert Miles","Ink on paper","1983",
"PITZER HOUSE","PARKER, Robert Miles","Ink on paper",,
"SAN DIMAS","PARKER, Robert Miles","Ink on paper","1953",
"SAN MARINO & ARCADIA (4 VIEWS)","PARKER, Robert Miles","Ink on paper","1983",
