"fiscal_year","department_name","revenue_source_name","revenue_budget","revenue_collected","revenue_collected_pct","fund_name","revenue_class_name","fund","revenue_source_code","revenue_class_code"
"2022","LOS ANGELES HOUSING","PROG INC-CALHOME REUSE HOMEOWN",,"0",,"CITY OF LA AFFORDABLE HOUSING","PROGRAM INCOME","44G","4990","497"
"2013","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,"398635443.66",,"PWR SYST RB 2012 B CONST FUND","MISCELLANEOUS REVENUES","J5Y","5166","516"
"2016","ZOO","MISCELLANEOUS (REC & PARKS)",,"144.7",,"ZOO ENTERPRISE TRUST FUND","RECREATION & PARKS REVENUES","40E","4515","451"
"2018","PUBLIC WORKS - STREET SERVICES","OVERLOAD INSPECTION FEES","800","6285.75","785.72","GENERAL FUND (GENERAL BUDGET)","STREET SIDEWALK & CURB REPAIRS","100","4282","428"
"2015","PUBLIC WORKS - SANITATION","INTERFD OPER TRANS-SEWER CONS","111151827","105701254.16","95.1","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5615","561"
"2013","CITY CLERK","INTEREST INCOME-OTHER",,"5620.75",,"HOLLYWOOD ENTERTAINMENT BID","INVESTMENT EARNINGS","45J","4903","490"
"2012","CULTURAL AFFAIRS","DONATIONS & CONTRIBUTIONS",,"190789.5",,"CULTURAL AFFAIRS DEPT TRUST","DONATIONS & CONTRIBUTIONS","844","5102","510"
"2018","CITY CLERK","DONATIONS & CONTRIBUTIONS",,"1750000",,"COUNC DIST9 PUB BENEFIT TR FD","DONATIONS & CONTRIBUTIONS","48X","5102","510"
"2016","CITY CLERK","BUSINESS IMPROV DIST ASSMNT",,"1117.69",,"ENCINO BUSINESS IMPROVEMENT DI","ASSESSMENTS","44M","3182","317"
"2015","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,"177712721.36",,"WATER AND POWER ACTIVE EMPLOYEE HEALTHCARE BENEFITS FUND","MISCELLANEOUS REVENUES","922","5166","516"
"2016","COUNCIL","REIMB OF RELATED COST-PR YR",,"168.97",,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5331","530"
"2018","CULTURAL AFFAIRS","DONATIONS & CONTRIBUTIONS",,"60000",,"CULTURAL AFFAIRS GRANT","DONATIONS & CONTRIBUTIONS","337","5102","510"
"2012","NON-DEPARTMENTAL - GENERAL","DOCUMENTARY TRANSFER TAX","107000000","103236897.58","96.48","GENERAL FUND (GENERAL BUDGET)","OTHER TAXES","100","3111","311"
"2021","BUILDING AND SAFETY","E PERMITS",,"0",,"BLDG & SAFETY PERMIT ENTERPRIS","STREETS AND CURB PERMITS","48R","3243","324"
"2013","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SEWER SERVICE CHARGE-CAPITAL",,"207048927.04",,"SEWER CONSTRUCTION&MAINTENANCE","SEWER SERVICE REVENUES","208","4392","439"
"2017","PUBLIC WORKS - STREET SERVICES","MISCELLANEOUS REVENUE-OTHERS","4000","939.75","23.49","GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5188","516"
"2015","CITY EMPLOYEES RETIREMENT SYSTEM","RETIREMENT CONTRIBUTION-EMPLOYER",,"557556",,"EXCESS BENEFIT PLAN","RETIREMENT CONTRIBUTIONS","901","5502","550"
"2015","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","REIMB OF PRIOR YEAR SALARY",,"19.37",,"GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5168","516"
"2017","OFFICE OF FINANCE","REIM FR US TREAS-INT BUILD AMERICA BD",,"961896.96",,"GOB SER 2009 DEBT SERVICE","REIMB FROM OTHER AGENGIES","A68","3813","381"
"2017","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX UNSEC",,"181040.98",,"GOB SER 2006A DEBT SERVICE","VOTER APRVD DEBT-PROPERTY TAX","A66","3032","303"
"2015","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,"267620668.72",,"POWER SYSTEM REVENUE BONDS 2014 SERIES E, CONSTRUCTION FUND","MISCELLANEOUS REVENUES","J6W","5166","516"
"2018","CITY CLERK","INTERFD OPER TRANS-GENERAL  FUND",,"4032000",,"NEIGHBORHOOD COUNCIL FUND","INTERFUND OPERATING TRANSFER","59B","5624","561"
"2014","NON-DEPARTMENTAL - GENERAL","TELEPHONE USER'S TAX","233081000","223052154.48","95.7","GENERAL FUND (GENERAL BUDGET)","UTILITY USERS TAXES","100","3101","310"
"2013","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,"33089337.5",,"PWR SYST RB 2008 A BD SER FUND","INTERFUND OPERATING TRANSFER","J2B","5654","561"
"2015","DISABILITY","REIMB FROM OTHER FUNDS",,"254638.67",,"COMPUTERIZED INFOR CTR FOR DIS","REIMB FROM OTHER FUNDS","473","5301","530"
"2016","PUBLIC WORKS - BOARD OF PUBLIC WORKS","COLLECTION FEE","5000","28688.74","573.77","GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5175","516"
"2017","TRANSPORTATION","BIKEWAY PROJECTS",,"550000",,"BICYCLE PLAN TRUST FUND","REIMB FROM OTHER FUNDS","55C","5306","530"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","ONE-STOP PERMIT CENTER FEES",,"1.8",,"GEN OBLIG BDS ELEC89 LIB-CONST","OTHER CURRENT SERVICE CHARGES","154","4659","465"
"2017","NON-DEPARTMENTAL - GENERAL","PROPERTY TAX-CURRENT-UNSECUR","48105000","46874325.95","97.44","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3012","301"
"2016","EMERGENCY MANAGEMENT","EMERGENCY MANAGEMENT ASSISTNCE","639204","639204","100","GENERAL FUND (GENERAL BUDGET)","OTHER INTERGOVTL-FEDERAL","100","3685","368"
"2015","MAYOR","INTEREST INCOME-OTHER",,"13.09",,"EDA GRANTS FUND","INVESTMENT EARNINGS","45N","4903","490"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","FINES AND PENALTIES-OTHERS",,"1354.71",,"SEWER CONSTRUCTION&MAINTENANCE","OTHER FINES","208","4815","481"
"2018","MAYOR","INTEREST INCOME-OTHER",,"4319.11",,"2015 CALGRIP GRANT FUND","INVESTMENT EARNINGS","57M","4903","490"
"2018","TRANSPORTATION","BOOTING FEE",,"0",,"GENERAL FUND (GENERAL BUDGET)","OTHER CURRENT SERVICE CHARGES","100","4661","465"
"2017","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX PR UNSEC",,"172916.77",,"GOB REFUNDNG SER2012A DEBT SER","VOTER APRVD DEBT-PROPERTY TAX","A71","3034","303"
"2021","AGING","DONATIONS & CONTRIBUTIONS",,"680",,"FUND FOR SENIOR SERVICES","DONATIONS & CONTRIBUTIONS","597","5102","510"
"2015","CITY PLANNING","PLANNING AND LAND USE FEES",,"22921464.36",,"PLANNING CASE PROCESSING SPREV","ZONING AND SUBDIVISION FEE","52D","4047","404"
"2013","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SOLID WASTE FEE",,"291125302.47",,"SOLID WASTE RESOURCES FUND","SOLID WASTE REVENUE","508","4421","442"
"2019","LOS ANGELES HOUSING","INTEREST ON POOLED INVEST-GEN FUND",,"172798.42",,"HOUSING PRODUCTION REVOLVING","INVESTMENT EARNINGS","240","4902","490"
"2014","OFFICE OF FINANCE","INTERFD OPER TRANS-OTHER FUNDS",,"400000000",,"TX REV ANTICIP NOTE DEBT","INTERFUND OPERATING TRANSFER","P15","5654","561"
"2015","PUBLIC WORKS - STREET SERVICES","STATE HIGHWAY AGREEMENTS","80000",,,"GENERAL FUND (GENERAL BUDGET)","STATE GRANTS/AGREEMENTS","100","3364","336"
"2015","PUBLIC WORKS - STREET LIGHTING","SEISMIC BOND FUND","33000",,,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5317","530"
"2018","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","REIMB OF RELATED COST-PR YR",,"222137.33",,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5331","530"
"2022","CITY CLERK","INTEREST INCOME-OTHER",,"856.44",,"HIGHLAND PARK BUSINESS IMPROV","INVESTMENT EARNINGS","45K","4903","490"
"2013","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SEWER SERVICE CHARGE O&M",,"311887787.86",,"SEWER CONSTRUCTION&MAINTENANCE","SEWER SERVICE REVENUES","208","4391","439"
"2012","PUBLIC WORKS - ENGINEERING","BLUEPRINTS PHOTOCOPY MIMEO ETC","5000","3349.34","66.99","GENERAL FUND (GENERAL BUDGET)","ENGR INSPECTION & OTHER CHARGES","100","4237","420"
"2014","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SOLID WASTE FEE",,"267594618.01",,"SOLID WASTE RESOURCES FUND","SOLID WASTE REVENUE","508","4421","442"
"2018","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","REIMBURSEMENT OF EXPENDITURES",,"4233026",,"SOLID WASTE RESOURCES FUND","MISCELLANEOUS REVENUES","508","5161","516"
"2018","NON-DEPARTMENTAL - GENERAL","FRANCHISE INCOME-TELEPHONE","195000","245635.43","125.97","GENERAL FUND (GENERAL BUDGET)","FRANCHISES INCOME","100","3066","306"
"2014","OFFICE OF FINANCE","INTERFD OPER TRANS-GENERAL  FUND",,"946559146.95",,"TX REV ANTICIP NOTE DEBT","INTERFUND OPERATING TRANSFER","P15","5624","561"
"2013","PENSION","RETIREMENT CONTRIBUTION-EMPLOYEES",,"108707473.06",,"FIRE & POLICE TIER 5 SERVICE P","RETIREMENT CONTRIBUTIONS","915","5503","550"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","DAMAGE CLAIMS & SETTLEMENTS",,,,"SEWER OPERATIONS & MAINTENANCE","DAMAGE SETTLEMENTS","760","5121","512"
"2015","PENSION","RETIREMENT CONTRIBUTION-EMPLOYEES",,"109178250.95",,"FIRE & POLICE TIER 5 SERVICE P","RETIREMENT CONTRIBUTIONS","915","5503","550"
"2017","PUBLIC WORKS - SANITATION","HOUSEHOLD HAZARD WASTE REL COST","363729","272796.75","75","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5356","530"
"2014","NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS","EMPLOYEE/EMPLOYER & MISC CONTR",,"225095874.36",,"IRS SEC501 EMPLOYEE BENEF TRUS","RETIREMENT CONTRIBUTIONS","899","5501","550"
"2013","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTERMITTNT XTRA CAPACITY TAGS",,"7949.5",,"SOLID WASTE RESOURCES FUND","SOLID WASTE REVENUE","508","4424","442"
"2020","TRANSPORTATION","ADDL INTERFD TRANS-OTHER FUNDS",,"95000",,"PROPOSITION A LOCAL TRANSIT","ADDL INTERFD OPERATING TRANSFER","385","5693","569"
"2013","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,"334672786.45",,"PWR SYST RB 2012 C CONST FUND","MISCELLANEOUS REVENUES","J6C","5166","516"
"2015","INFORMATION TECHNOLOGY AGENCY","REIMB OF RELATED COST-PR YR",,"288058.75",,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5331","530"
"2021","FIRE","MISCELLANEOUS REVENUE-OTHERS","200000","72754.18","36.38","GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5188","516"
"2018","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","DISASTER COST REIMB STATE GOVT",,"483793",,"LANDFILL CLOSURE & POSTCLOSURE","REIMB FROM GRANTS","488","5426","542"
"2013","NON-DEPARTMENTAL - GENERAL","PROPERTY TAX-CURRENT-SECURED","929937000","954889207.67","102.68","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3011","301"
"2015","PUBLIC WORKS - STREET SERVICES","TEMPORARY STREET CLOSURES","300",,,"GENERAL FUND (GENERAL BUDGET)","STREET SIDEWALK & CURB REPAIRS","100","4284","428"
"2012","NON-DEPARTMENTAL - GENERAL","PROPERTY TAX-CURRENT-SECURED","913851000","874970702.15","95.75","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3011","301"
"2018","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","REFUNDS/REIMB(R/P)",,"665",,"SEWER CONSTRUCTION&MAINTENANCE","RECREATION & PARKS REVENUES","208","4514","451"
"2018","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","EQUIPMENT & TRAINING SURCHARGE",,"2323577.14",,"BU OF ENGR EQUIP & TRAINING TR","OTHER GEN GOVT SERVICES","568","4356","432"
"2012","CITY CLERK","INTEREST INCOME-OTHER",,"1962.51",,"HIGHLAND PARK BUSINESS IMPROV","INVESTMENT EARNINGS","45K","4903","490"
"2019","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","INTEREST INCOME-OTHER",,"13.84",,"NEIGHBORHOOD FAC MTCH CRACONTR","INVESTMENT EARNINGS","358","4903","490"
"2013","NON-DEPARTMENTAL - GENERAL","PARKING FINES","153437755","156877993.18","102.24","GENERAL FUND (GENERAL BUDGET)","VEHICLE CODE FINES","100","4801","480"
"2019","ANIMAL SERVICES","DOG LICENSES","1858425","1741102.97","93.69","GENERAL FUND (GENERAL BUDGET)","ANIMAL LICENSES","100","3201","320"
"2020","CITY ADMINISTRATIVE OFFICER","INTEREST ON POOLED INVEST-BOND FDS",,"2096.43",,"LANDSCAPNG & LT ASSES SER 2001","INVESTMENT EARNINGS","44S","4904","490"
"2019","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","MISCELLANEOUS REVENUE-OTHERS",,"10.37",,"LA COUNTY WIOA FUND","MISCELLANEOUS REVENUES","59Q","5188","516"
"2019","EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY","CIVIC CENTER COMMERCIALPARKING",,"2982439.92",,"EL PUEBLO DE LA HISTOR MONUMEN","PARKING REVENUES","737","4492","449"
"2019","FIRE","REIMB FROM OTHER AGENCIES",,"853043.35",,"LAFD REVOLVING TRAINING FUND","REIMB FROM OTHER AGENGIES","40K","3811","381"
"2018","PUBLIC WORKS - BOARD OF PUBLIC WORKS","REIMB OF ACCOUNTING SERVICES","332000","239349.910000001","72.09","GENERAL FUND (GENERAL BUDGET)","OTHER GEN GOVT SERVICES","100","4340","432"
"2022","CITY CLERK","INTEREST INCOME-OTHER",,"2104.69",,"COUNC DIST 6 PUB BENEFIT TR FD","INVESTMENT EARNINGS","50C","4903","490"
"2012","GENERAL SERVICES","FIGUEROA PLAZA REVENUE","9209429","9565829.17","103.87","GENERAL FUND (GENERAL BUDGET)","RENTS AND CONCESSIONS","100","4933","493"
"2019","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTERFD OPER TRANS-SEWER CONS",,"6403163.9",,"WSRB DEBT SERVICE FUND, REFUNDING SERIES 2015-D","INTERFUND OPERATING TRANSFER","W84","5615","561"
"2018","BUILDING AND SAFETY","ELEVATOR INSPECTION RECEIPTS",,"4566441.14",,"BLDG & SAFETY PERMIT ENTERPRIS","ENGR INSPECTION & OTHER CHARGES","48R","4216","420"
"2020","MAYOR","STATE GRANTS - OTHERS",,"41425",,"FY18 KU GRANT FUND","STATE GRANTS/AGREEMENTS","62C","3361","336"
"2019","CITY CLERK","ELECTION FILING FEES",,"9000",,"GENERAL FUND (GENERAL BUDGET)","OTHER GEN GOVT SERVICES","100","4323","432"
"2019","TRANSPORTATION","REIMB-METRO RAIL PROJECT","2294418","1837964.73","80.11","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5311","530"
"2015","PUBLIC WORKS - SANITATION","REIMB PROP O STORM WATER CLEAN","1033837",,,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5323","530"
"2017","MAYOR","PHOTO COPIES",,"20",,"GENERAL FUND (GENERAL BUDGET)","OTHER GEN GOVT SERVICES","100","4342","432"
"2014","NON-DEPARTMENTAL - GENERAL","PARKING FINES","156557000","161146213.93","102.93","GENERAL FUND (GENERAL BUDGET)","VEHICLE CODE FINES","100","4801","480"
"2018","WATER AND POWER","MISCELLANEOUS REVENUE-OTHERS",,"31232",,"WATER/POWER EMP DEATH BENEFITS","MISCELLANEOUS REVENUES","807","5188","516"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","ONE-STOP PERMIT CENTER FEES",,,,"SEWER CONSTRUCTION&MAINTENANCE","OTHER CURRENT SERVICE CHARGES","208","4659","465"
"2012","NON-DEPARTMENTAL - GENERAL","ELECTRICITY USER'S TAX","306832000","303765052.49","99","GENERAL FUND (GENERAL BUDGET)","UTILITY USERS TAXES","100","3102","310"
"2018","COUNCIL","MISCELLANEOUS REVENUE-OTHERS","100000","150000","150","GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5188","516"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","NON-COMPLIANCE INSPECTION FEES",,"22000",,"SEWER CONSTRUCTION&MAINTENANCE","FIRE DEPT SERVICES","208","4119","411"
"2015","NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS","EMPLOYEE/EMPLOYER & MISC CONTR",,"227973673.36",,"IRS SEC501 EMPLOYEE BENEF TRUS","RETIREMENT CONTRIBUTIONS","899","5501","550"
"2016","GENERAL SERVICES","DONATIONS & CONTRIBUTIONS",,"12500",,"GENERAL SERVICE DEPT TRUST","DONATIONS & CONTRIBUTIONS","843","5102","510"
"2015","NON-DEPARTMENTAL - GENERAL","DOCUMENTARY TRANSFER TAX","191520000","180986097.82","94.5","GENERAL FUND (GENERAL BUDGET)","OTHER TAXES","100","3111","311"
"2016","CITY ETHICS COMMISSION","MISCELLANEOUS REVENUE-OTHERS","10000","1400","14","GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5188","516"
"2015","CITY ADMINISTRATIVE OFFICER","INTEREST ON POOLED INVEST-BOND FDS",,"1053.96",,"GOB 2002A COST ISSU / PRJ PREM","INVESTMENT EARNINGS","15P","4904","490"
"2012","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SALE OF SURPLUS PROPERTY",,"3165365",,"SEWER CONSTRUCTION&MAINTENANCE","SALE OF FIXED ASSETS","208","5141","514"
"2017","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","STATE GRANTS - OTHERS",,"254379.65",,"ENVIRONMENTAL AFFAIRS TRUST","STATE GRANTS/AGREEMENTS","537","3361","336"
"2016","CITY CLERK","DONATIONS & CONTRIBUTIONS",,"1514",,"COUNC DIST9 PUB BENEFIT TR FD","DONATIONS & CONTRIBUTIONS","48X","5102","510"
"2018","TRANSPORTATION","MISCELLANEOUS REVENUE-OTHERS",,"38450",,"DEPT TRANSPORTATION TRUST","MISCELLANEOUS REVENUES","840","5188","516"
"2012","PUBLIC WORKS - SANITATION","MISCELLANEOUS REVENUE-OTHERS",,"209.28",,"GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5188","516"
"2017","NON-DEPARTMENTAL - UNAPPROPRIATED BALANCE","INTERFD OPER TRANS-OTHER FUNDS","200000","0","0","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5654","561"
"2015","CITY ADMINISTRATIVE OFFICER","INTEREST ON POOLED INVEST-BOND FDS",,"118.88",,"GOB 2008A COSTS OF ISSUANCE","INVESTMENT EARNINGS","16R","4904","490"
"2013","CITY CLERK","BUSINESS IMPROV DIST ASSMNT",,"6377586.18",,"DOWNTOWN CTR BUS IMPROV DISTR","ASSESSMENTS","40Q","3182","317"
"2017","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX PR UNSEC",,"61472.85",,"GOB SER 2009 DEBT SERVICE","VOTER APRVD DEBT-PROPERTY TAX","A68","3034","303"
"2018","TRANSPORTATION","MISCELLANEOUS DEPOSITS",,"3017.08",,"LOCAL TRANSPORTATION","OTHER FINANCING SOURCES","207","5742","574"
"2017","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,"9598012.5",,"WW REF RB ISS OF 98 BOND SERVI","MISCELLANEOUS REVENUES","M88","5166","516"
"2018","AGING","REIMB OF RELATED COST-PR YR",,"32074.41",,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5331","530"
"2013","PUBLIC WORKS - ENGINEERING","GEOGRAPHIC INFORMATION SYSTEMS","50","204","408","GENERAL FUND (GENERAL BUDGET)","OTHER GEN GOVT SERVICES","100","4321","432"
"2012","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SOLID WASTE FEE",,"281709907.98",,"SOLID WASTE RESOURCES FUND","SOLID WASTE REVENUE","508","4421","442"
"2015","PUBLIC WORKS - CONTRACT ADMINISTRATION","PROP C ANTIGRIDLOCK REL COST","368223",,,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5340","530"
"2016","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,"301443329.57",,"WATER SYSTEM REVENUE BONDS 2016 SERIES A, CONSTRUCTION FUND","MISCELLANEOUS REVENUES","M1L","5166","516"
"2015","NON-DEPARTMENTAL - GENERAL","TELEPHONE USER'S TAX","209650000","207032336.31","98.75","GENERAL FUND (GENERAL BUDGET)","UTILITY USERS TAXES","100","3101","310"
"2013","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTERFD OPER TRANS-SEWER CONS",,"102805482.44",,"SEWER CAPITAL FUND","INTERFUND OPERATING TRANSFER","761","5615","561"
"2012","NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS","EMPLOYEE/EMPLOYER & MISC CONTR",,"198736243.29",,"IRS SEC501 EMPLOYEE BENEF TRUS","RETIREMENT CONTRIBUTIONS","899","5501","550"
"2014","NON-DEPARTMENTAL - GENERAL","SALES & USE TAX","352790000","356502613.11","101.05","GENERAL FUND (GENERAL BUDGET)","SALES AND USE TAXES","100","3051","305"
"2013","NON-DEPARTMENTAL - GENERAL","PROP TAX-SALES TAX REPLACEMENT","120232000","116458164.65","96.86","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3017","301"
"2015","PUBLIC WORKS - STREET SERVICES","REIMB OF PRIOR YEAR SALARY","2000","4896.11","244.81","GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5168","516"
"2022","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,"12500000",,"POWER SYSTEM REVENUE BONDS 2017 SERIES A, BOND SERVICE FUND","INTERFUND OPERATING TRANSFER","J7G","5654","561"
"2015","PUBLIC WORKS - STREET SERVICES","CANOPY RENEWALS","2000","1008","50.4","GENERAL FUND (GENERAL BUDGET)","STREETS AND CURB PERMITS","100","3248","324"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","FRANCHISE INCOME-OTHERS",,"1000",,"CITYWIDE RECYCLING TRUST FUND","FRANCHISES INCOME","46D","3069","306"
"2012","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SEWER SERVICE CHARGE-CAPITAL",,"182192225.81",,"SEWER CONSTRUCTION&MAINTENANCE","SEWER SERVICE REVENUES","208","4392","439"
"2014","PENSION","RETIREMENT CONTRIBUTION-EMPLOYEES",,"109444163.62",,"FIRE & POLICE TIER 5 SERVICE P","RETIREMENT CONTRIBUTIONS","915","5503","550"
"2013","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,"2315618461.77",,"WATER REVENUE","MISCELLANEOUS REVENUES","705","5166","516"
"2016","PUBLIC WORKS - BOARD OF PUBLIC WORKS","REIMB FROM GRANTS",,"159152",,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM GRANTS","100","5427","542"
"2015","MAYOR","INTEREST INCOME-OTHER",,"706.11",,"1994 EDA PLANNING GRANT","INVESTMENT EARNINGS","592","4903","490"
"2016","CITY CLERK","COLLECTION FEE",,"857.64",,"LITTLE TOKYO BID FUND","MISCELLANEOUS REVENUES","46W","5175","516"
"2018","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","DISASTER COST REIMB STATE GOVT",,"142383",,"SOLID WASTE RESOURCES FUND","REIMB FROM GRANTS","508","5426","542"
"2017","TRANSPORTATION","REIMB FROM OTHER FUNDS",,"0",,"DEPT TRANSPORTATION TRUST","REIMB FROM OTHER FUNDS","840","5301","530"
"2015","NON-DEPARTMENTAL - GENERAL","ELECTRICITY USER'S TAX","352000000","363716274.05","103.33","GENERAL FUND (GENERAL BUDGET)","UTILITY USERS TAXES","100","3102","310"
"2015","PUBLIC WORKS - ENGINEERING","PROPOSITION C PROJECTS","427000",,,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5314","530"
"2018","TRANSPORTATION","TRANSPORTATION IMPACT ASSMT FEE",,"72000",,"VENICE COASTAL PARKING IMPACT","ASSESSMENTS","864","3178","317"
"2020","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","INTEREST INCOME-OTHER",,"118.45",,"JTPA TRUST","INVESTMENT EARNINGS","443","4903","490"
"2014","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTERFD OPER TRANS-SEWER CONS",,"279774396.46",,"SEWER OPERATIONS & MAINTENANCE","INTERFUND OPERATING TRANSFER","760","5615","561"
"2017","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX UNSEC",,"1579110.28",,"GOB REFUNDNG SER2011B DEBT SER","VOTER APRVD DEBT-PROPERTY TAX","A70","3032","303"
"2016","CITY ADMINISTRATIVE OFFICER","REIMB OF RELATED COST-PR YR",,"23391.63",,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5331","530"
"2018","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,"2806700",,"WW REF RB ISS OF 98 BOND SERVI","MISCELLANEOUS REVENUES","M88","5166","516"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","RECYCLE/LITTER RED PROG",,"1004476",,"INTEGRATED SOLID WASTE MGMT  D","STATE GRANTS/AGREEMENTS","556","3362","336"
"2017","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX UNSEC",,"1133551.51",,"GOB REFUNDNG SER2012A DEBT SER","VOTER APRVD DEBT-PROPERTY TAX","A71","3032","303"
"2017","ZOO","SALVAGE RECEIPTS",,"496.89",,"ZOO ENTERPRISE TRUST FUND","SALE OF FIXED ASSETS","40E","5142","514"
"2014","CITY CLERK","INTEREST INCOME-OTHER",,"1626.43",,"CENTURY CITY BUS IMPROV DIST","INVESTMENT EARNINGS","50Q","4903","490"
"2015","MAYOR","INTEREST INCOME-OTHER",,"0",,"ARRA-JUSTICE ASSISTANCE GRANT","INVESTMENT EARNINGS","51V","4903","490"
