"fiscal_year","department_name","revenue_source_name","adopted_revenue_budget","amended_revenue_budget","revenue_budget","revenue_collected","revenue_collected_pct","fund_name","revenue_class_name","fund","revenue_source_code","revenue_class_code","department"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","WASTEWATER SVC CONTR-CAPITAL",,,,"17703040.6",,"SEWER CAPITAL FUND","SEWER SERVICE REVENUES","761","4395","439","50"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"17500000",,"PWR SYST RB 2012B BD SER FUND","INTERFUND OPERATING TRANSFER","J5X","5654","561","98"
"2015","NON-DEPARTMENTAL - GENERAL","AB63 PROGRAM",,,,"17477246.35",,"GENERAL FUND (GENERAL BUDGET)","BUSINESS TAX","100","3087","308","62"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTERFD OPER TRANS-SEWER CONS",,,,"17359751.2",,"WSRB DEBT SERV REF 2013-B","INTERFUND OPERATING TRANSFER","W80","5615","561","50"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SEWER FACILITY CHARGE",,,,"17193757.96",,"SEWER CONSTRUCTION&MAINTENANCE","SEWER SERVICE REVENUES","208","4396","439","50"
"2015","FIRE","SERVICE TO HARBOR","17162000",,"17162000","17131349","99.82","GENERAL FUND (GENERAL BUDGET)","QUASI-EXTERNAL TRANSACTION","100","4597","459","38"
"2015","NON-DEPARTMENTAL - GENERAL","PROPERTY TAX-REDEMP PRIOR SECURED","24351000",,"24351000","17065110.71","70.08","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3019","301","62"
"2015","RECREATION AND PARKS - SPECIAL ACCOUNTS","PARTICIPANT FEES",,,,"17024838.26",,"RECREATION AND PARKS GOLF SPE","RECREATION & PARKS REVENUES","52H","4511","451","89"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"16997395.58",,"POWER SYSTEM REVENUE BONDS 2014 SERIES B, BOND SERVICE FUND","INTERFUND OPERATING TRANSFER","J6P","5654","561","98"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"16471185",,"WS RB 2007 SERIES A BOND SERVC","INTERFUND OPERATING TRANSFER","M8B","5654","561","98"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"16100000",,"WS RB 2012 SERIES B BOND SERVC","INTERFUND OPERATING TRANSFER","M9T","5654","561","98"
"2015","GENERAL SERVICES","SANIT EQUIP CHG ACQ FD REL COST","15718614",,"15718614","15718620","100","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5345","530","40"
"2015","NON-DEPARTMENTAL - GENERAL","CORPORATE DOCUMENTARY TRANSFER TAX","5280000",,"5280000","15694599.76","297.25","GENERAL FUND (GENERAL BUDGET)","OTHER TAXES","100","3110","311","62"
"2015","OFFICE OF FINANCE","INTEREST ON POOLED INVEST-GEN FUND","13291000",,"13291000","15619233.61","117.52","GENERAL FUND (GENERAL BUDGET)","INVESTMENT EARNINGS","100","4902","490","39"
"2015","OFFICE OF FINANCE","TRANSIENT OCCUPANCY TAX",,,,"15612206.27",,"GREATER LOS ANGELES VISITORS","OTHER TAXES","429","3112","311","39"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"15518575",,"WS RB 2011 SERIES A BOND SERVC","INTERFUND OPERATING TRANSFER","M9P","5654","561","98"
"2015","POLICE","SERVICE TO AIRPORTS","19764685",,"19764685","15459336.55","78.22","GENERAL FUND (GENERAL BUDGET)","QUASI-EXTERNAL TRANSACTION","100","4595","459","70"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"15405174.44",,"POWER SYSTEM REVENUE BONDS 2014 SERIES D, BOND SERVICE FUND","INTERFUND OPERATING TRANSFER","J6S","5654","561","98"
"2015","CITY PLANNING","INTERFD OPER TRANS-PLANNING CASE PROC","18698403","-39447.2","18658955.8","15172392.66","81.31","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5660","561","68"
"2015","CULTURAL AFFAIRS","INTERFD OPER TRANS-GENERAL  FUND",,,,"14931000",,"ARTS AND CULTURAL FACIL & SERV","INTERFUND OPERATING TRANSFER","480","5624","561","30"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"14619450",,"WS RB 2009 SERIES B BOND SERVC","INTERFUND OPERATING TRANSFER","M9E","5654","561","98"
"2015","TRANSPORTATION","MISCELLANEOUS SERVICE CHARGES",,,,"14556513.57",,"PROPOSITION A LOCAL TRANSIT","OTHER CURRENT SERVICE CHARGES","385","4651","465","94"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","STATE GASOLINE TAX SECT 2106",,,,"14314279.57",,"SPECIAL GAS TAX ST IMPROV","STATE GASOLINE TAX","206","3332","333","50"
"2015","BUILDING AND SAFETY","PLAN APPROVAL FEE",,,,"14019856.88",,"BLDG & SAFETY PERMIT ENTERPRIS","ZONING AND SUBDIVISION FEE","48R","4044","404","8"
"2015","PUBLIC WORKS - STREET SERVICES","INTERFD OPER TRANS-MEASURE R LOCAL RET","19772452",,"19772452","14008710.72","70.85","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5659","561","86"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"13956300",,"PWR SYST RB 2012 C BD SER FUND","INTERFUND OPERATING TRANSFER","J6B","5654","561","98"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","REIMB FROM OTHER FUNDS",,,,"13919066.89",,"SOLID WASTE RESOURCES FUND","REIMB FROM OTHER FUNDS","508","5301","530","50"
"2015","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","WORKFORCE INVEST-YOUTH",,,,"13842924.71",,"WORKFORCE INVEST ACT TRS","WORKFORCE INVESTMENT ACT (WIA)","44A","3642","364","22"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"13838250",,"WS RB 2012 SERIES A BOND SERVC","INTERFUND OPERATING TRANSFER","M9R","5654","561","98"
"2015","LOS ANGELES HOUSING","RENTAL REGIS FEES & PENALTIES",,,,"13766275.49",,"RENT STABILIZATION TRUST","RENT STABILIZATION REVENUE","440","4621","462","43"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTERMODAL SURFACE TRANSP",,,,"13760275.67",,"SPECIAL GAS TAX ST IMPROV","OTHER INTERGOVTL-FEDERAL","206","3681","368","50"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTERFD OPER TRANS-SEWER CONS",,,,"13663772.02",,"WSSRB DEBT SERV REF 2012-B","INTERFUND OPERATING TRANSFER","W73","5615","561","50"
"2015","WATER AND POWER","INTEREST INCOME-OTHER",,,,"13345495.88",,"POWER REVENUE","INVESTMENT EARNINGS","704","4903","490","98"
"2015","GENERAL SERVICES","ADDL INTERFD TRANS-OTHER FUNDS",,"31590325.32","31590325.32","13224187.85","41.86","GENERAL FUND (GENERAL BUDGET)","ADDL INTERFD OPERATING TRANSFER","100","5693","569","40"
"2015","ZOO","REC & PARK FEES-OTHERS",,,,"13170771.27",,"ZOO ENTERPRISE TRUST FUND","RECREATION & PARKS REVENUES","40E","4516","451","87"
"2015","MAYOR","OTHER FEDERAL GRANTS",,,,"13087802",,"FY12 UASI HOMELAND SECURITY GR","OTHER INTERGOVTL-FEDERAL","55E","3684","368","46"
"2015","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","WORKFORCE INVEST ACT-ADULT",,,,"13044160.98",,"WORKFORCE INVEST ACT TRS","WORKFORCE INVESTMENT ACT (WIA)","44A","3641","364","22"
"2015","NON-DEPARTMENTAL - GENERAL","DAMAGE CLAIMS & SETTLEMENTS",,,,"12895344.38",,"GENERAL FUND (GENERAL BUDGET)","DAMAGE SETTLEMENTS","100","5121","512","62"
"2015","LOS ANGELES HOUSING","REVENUE FROM COMM REDEV AGENCY",,,,"12827191.89",,"LOW AND MODERATE INCOME HOUSING FUND","REVENUE FROM OTHER AGENCIES","55J","3851","385","43"
"2015","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX SEC",,,,"12788590.61",,"GOB SER 2009 DEBT SERVICE","VOTER APRVD DEBT-PROPERTY TAX","A68","3031","303","39"
"2015","COUNCIL","PROPERTY TAX-STATE AB1290",,,,"12669650.97",,"STATE AB1290 CITY FUND","PROPERTY TAXES-SECURED & UNSEC","53P","3025","301","28"
"2015","INFORMATION TECHNOLOGY AGENCY","FRANCHISE INCOME-TELEVISION",,,,"12611923.86",,"TELECOM LIQ DMGE &LOST FR FEES","FRANCHISES INCOME","342","3067","306","32"
"2015","LOS ANGELES HOUSING","CONTRIBUTION FR NON-GOV'T SOURCES",,,,"12500000",,"CITY OF LA AFFORDABLE HOUSING","DONATIONS & CONTRIBUTIONS","44G","5101","510","43"
"2015","POLICE","ADDL INTERFD TRANS-OTHER FUNDS",,"17458395.67","17458395.67","12465303.52","71.4","GENERAL FUND (GENERAL BUDGET)","ADDL INTERFD OPERATING TRANSFER","100","5693","569","70"
"2015","TRANSPORTATION","HOLLYWOOD/HIGHLAND LOT 745",,,,"12384889.85",,"SPECIAL PARKING REVENUE","PARKING REVENUES","363","4491","449","94"
"2015","RECREATION AND PARKS - SPECIAL ACCOUNTS","MISCELLANEOUS (REC & PARKS)",,,,"12288356.82",,"RECREATION AND PARKS","RECREATION & PARKS REVENUES","302","4515","451","89"
"2015","BUILDING AND SAFETY","COMB INSPEC BUILDING PERMIT",,,,"12150212",,"BLDG & SAFETY PERMIT ENTERPRIS","ENGR INSPECTION & OTHER CHARGES","48R","4202","420","8"
"2015","CITY EMPLOYEES RETIREMENT SYSTEM","MISCELLANEOUS DEPOSITS",,,,"11500000",,"CITY EMPLOYEES RETIREMENT","OTHER FINANCING SOURCES","800","5742","574","16"
"2015","PENSION","RETIREMENT CONTRIBUTION-EMPLOYER",,,,"11270434",,"FIRE & POLICE TIER 6 GENERAL PENSION FD","RETIREMENT CONTRIBUTIONS","921","5502","550","64"
"2015","LOS ANGELES HOUSING","OTHER FEDERAL GRANTS",,,,"10990488.08",,"HOUSING OPPOR FOR PERSON W/AID","OTHER INTERGOVTL-FEDERAL","569","3684","368","43"
"2015","AGING","OLDER AMERICAN ACTS GRANT",,,,"10879994",,"AREA PLAN FOR THE AGING TIT 7","OLDER AMERICAN ACT","395","3621","362","2"
"2015","POLICE","IMPOUND FEE","10500000",,"10500000","10778993.16","102.66","GENERAL FUND (GENERAL BUDGET)","OTHER CURRENT SERVICE CHARGES","100","4662","465","70"
"2015","LOS ANGELES HOUSING","PROGRAM INCOME- HOME",,,,"10766460.23",,"HOME INVESTMENT PARTSHIP PROGR","PROGRAM INCOME","561","4984","497","43"
"2015","NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM","ADDL INTERFD TRANS-RES FD NON REIM",,"27105783.71","27105783.71","10540080.89","38.88","GENERAL FUND (GENERAL BUDGET)","ADDL INTERFD OPERATING TRANSFER","100","5692","569","54"
"2015","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","WORKFORCE INVEST-DISL WORKERS",,,,"10246261.61",,"WORKFORCE INVEST ACT TRS","WORKFORCE INVESTMENT ACT (WIA)","44A","3643","364","22"
"2015","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX SEC",,,,"10158503.04",,"GOB REFUNDING SER98A DEBT SERV","VOTER APRVD DEBT-PROPERTY TAX","A53","3031","303","39"
"2015","AIRPORTS","INTEREST INCOME-OTHER",,,,"10144181.07",,"AIRPORT REVENUE","INVESTMENT EARNINGS","700","4903","490","4"
"2015","LOS ANGELES HOUSING","INTRFD OPER TRANS-COM DEV TRUST","12490984","-66440","12424544","10096297.58","81.26","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5626","561","43"
"2015","PUBLIC WORKS - ENGINEERING","SEWER CONS & MAIN RELATED COST","10088222",,"10088222","10088221","100","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5328","530","78"
"2015","LOS ANGELES HOUSING","ADDL INTERFUND TRANS - GENERAL FD",,,,"9984500",,"CITY OF LA AFFORDABLE HOUSING","ADDL INTERFD OPERATING TRANSFER","44G","5691","569","43"
"2015","LOS ANGELES HOUSING","PROGRAM INCOME- CDBG",,,,"9647090.5",,"COMMUNITY DEVELOPMENT TRUST","PROGRAM INCOME","424","4983","497","43"
"2015","MAYOR","OTHER FEDERAL GRANTS",,,,"9518133",,"FY10 UASI GRANT FUND","OTHER INTERGOVTL-FEDERAL","53V","3684","368","46"
"2015","PUBLIC WORKS - SANITATION","INTERFD OPER TRANS-STORMWTR POL","9680153",,"9680153","9436419.11","97.48","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5635","561","82"
"2015","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX SEC",,,,"9387062.22",,"GOB SER 2011A DEBT SERVICE","VOTER APRVD DEBT-PROPERTY TAX","A69","3031","303","39"
"2015","BUILDING AND SAFETY","SYSTEMS DEVELOPMENT FEE",,,,"9336951.37",,"BLDG & SAFETY PERMIT ENTERPRIS","SP BLDG & SAFETY SERVICES","48R","4001","400","8"
"2015","COUNCIL","ADDL INTERFD TRANS-RES FD NON REIM",,"9324710.2","9324710.2","9324710.2","100","GENERAL FUND (GENERAL BUDGET)","ADDL INTERFD OPERATING TRANSFER","100","5692","569","28"
"2015","CITY ATTORNEY","DAMAGE CLAIMS & SETTLEMENTS","150000",,"150000","9062856.32","6041.9","GENERAL FUND (GENERAL BUDGET)","DAMAGE SETTLEMENTS","100","5121","512","12"
"2015","NON-DEPARTMENTAL - GENERAL","TOBACCO SETTLEMENT","9106000",,"9106000","9020828.36","99.06","GENERAL FUND (GENERAL BUDGET)","DAMAGE SETTLEMENTS","100","5124","512","62"
"2015","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,,,"8956780.19",,"WATER/POWER EMP DEATH BENEFITS","MISCELLANEOUS REVENUES","807","5166","516","98"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"8749749.45",,"POWER SYSTEM REVENUE BONDS 2014 SERIES C, BOND SERVICE FUND","INTERFUND OPERATING TRANSFER","J6R","5654","561","98"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","DEBT PROCEEDS - LONG TERM",,,,"8720325",,"WSRB DEBT SERVICE RESERVE FUND","DEBT PROCEEDS","W56","5602","560","50"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"8680400",,"PWR SYST RB 2009 B BD SER FUND","INTERFUND OPERATING TRANSFER","J4B","5654","561","98"
"2015","CULTURAL AFFAIRS","INTERFD OPER TRANS-ARTS/CULTURAL","9829408","-211698","9617710","8615433.17","89.58","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5633","561","30"
"2015","PERSONNEL","WORKERS COMPENSATION","7000000",,"7000000","8603920.88","122.91","GENERAL FUND (GENERAL BUDGET)","QUASI-EXTERNAL TRANSACTION","100","4593","459","66"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTERFD OPER TRANS-SEWER CONS",,,,"8582870.19",,"WSSRB DEBT SERV REF 2012-A","INTERFUND OPERATING TRANSFER","W71","5615","561","50"
"2015","CITY ADMINISTRATIVE OFFICER","DISASTER COST REIMB FEDERAL GV",,,,"8490371.58",,"DISASTER ASSISTANCE TRUST FUND","REIMB FROM GRANTS","872","5425","542","10"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTERFD OPER TRANS-SEWER CONS",,,,"8478598.72",,"WSRB DEBT SERVICE FD 2010-A","INTERFUND OPERATING TRANSFER","W59","5615","561","50"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","OTHER FINANCING SOURCES",,,,"8457938.64",,"ST LIGHTING MAINTENANCE ASSESS","OTHER FINANCING SOURCES","347","5741","574","50"
"2015","CITY ATTORNEY","SERVICE TO WATER & POWER","9871820",,"9871820","8453175.42","85.63","GENERAL FUND (GENERAL BUDGET)","QUASI-EXTERNAL TRANSACTION","100","4596","459","12"
"2015","TRANSPORTATION","COUNTY GRANTS - OTHERS",,,,"8314655.89",,"TRANSPORTATION GRANTS FUND","COUNTY GRANTS/AGREEMENTS","655","3513","351","94"
"2015","NON-DEPARTMENTAL - LIABILITY CLAIMS","ADDL INTERFD TRANS-RES FD NON REIM",,"8300000","8300000","8300000","100","GENERAL FUND (GENERAL BUDGET)","ADDL INTERFD OPERATING TRANSFER","100","5692","569","59"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"8298580.69",,"WS RB 2014 SERIES A BOND SERVICE FUND","INTERFUND OPERATING TRANSFER","M1C","5654","561","98"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"8177968.76",,"PWR SYST RB 2009 A BD SER FUND","INTERFUND OPERATING TRANSFER","J3B","5654","561","98"
"2015","NON-DEPARTMENTAL - GENERAL","PROP TAX-HOMEOWNER RELIEF-STATE","7874000",,"7874000","8163390.44","103.68","GENERAL FUND (GENERAL BUDGET)","STATE HOMEOWNER TAX RELIEF","100","3341","334","62"
"2015","LOS ANGELES HOUSING","CODE ENFORCEMENT REL COST","12083416",,"12083416","8138381.2","67.35","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5351","530","43"
"2015","BUILDING AND SAFETY","ELECTRICAL PERMIT REG-INSPECTION",,,,"8030188.13000001",,"BLDG & SAFETY PERMIT ENTERPRIS","CONSTRUCTION PERMITS","48R","3226","322","8"
"2015","PENSION","RETIREMENT CONTRIBUTION-EMPLOYEES",,,,"8017707.53",,"FIRE & POLICE TIER 3 SERVICE P","RETIREMENT CONTRIBUTIONS","805","5503","550","64"
"2015","AIRPORTS","INTEREST INCOME-OTHER",,,,"7983557.92",,"PASSENGER FACILITY CHARGE -LAX","INVESTMENT EARNINGS","71R","4903","490","4"
"2015","POLICE","EXCESSIVE FALSE ALARM FEES","6700000",,"6700000","7928846.31000001","118.34","GENERAL FUND (GENERAL BUDGET)","POLICE DEPT SERVICES","100","4078","407","70"
"2015","BUILDING AND SAFETY","MECHANICAL PLAN CHECK",,,,"7904690.36",,"BLDG & SAFETY PERMIT ENTERPRIS","PLAN CHECKING FEES","48R","4155","415","8"
"2015","CITY EMPLOYEES RETIREMENT SYSTEM","RETIREMENT CONTRIBUTION-EMPLOYEES",,,,"7796556.86",,"CITY EMPLOYEES RETIREMENT","RETIREMENT CONTRIBUTIONS","800","5503","550","16"
"2015","BUILDING AND SAFETY","PLUMBING PERMITS-INSPECTION",,,,"7756763.24",,"BLDG & SAFETY PERMIT ENTERPRIS","CONSTRUCTION PERMITS","48R","3228","322","8"
"2015","LOS ANGELES HOUSING","INTERFD OPER TRANS-RENT STAB","10078892","-6720","10072172","7741559.25","76.86","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5618","561","43"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"7709989",,"PWR SYST RB 2010 C BD SER FUND","INTERFUND OPERATING TRANSFER","J5J","5654","561","98"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"7622181.32",,"WS RB 2009 SERIES A BOND SERVC","INTERFUND OPERATING TRANSFER","M9B","5654","561","98"
"2015","TRANSPORTATION","REIMB-METRO RAIL PROJECT",,,,"7583855.83999999",,"PROPOSITION C ANTIGRIDLOCK IMP","REIMB FROM OTHER FUNDS","540","5311","530","94"
"2015","LOS ANGELES HOUSING","PROGRAM INCOME - CRA",,,,"7579480.25",,"LOW AND MODERATE INCOME HOUSING FUND","PROGRAM INCOME","55J","4977","497","43"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTERFD OPER TRANS-SEWER CONS",,,,"7491007.24",,"WSRB DEBT SERVICE FD 2013-A","INTERFUND OPERATING TRANSFER","W79","5615","561","50"
"2015","GENERAL SERVICES","COST REIMBURSEMENT FROM LIBRARY","7339253",,"7339253","7484311.16","101.98","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5370","530","40"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTERFD OPER TRANS-SEWER CONS",,,,"7451004.4",,"WSRB DEBT SERVICE FD 2005-A","INTERFUND OPERATING TRANSFER","W51","5615","561","50"
"2015","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX SEC",,,,"7434003",,"GOB SER 2008A DEBT SERVICE","VOTER APRVD DEBT-PROPERTY TAX","A67","3031","303","39"
"2015","TRANSPORTATION","PARKING FACILITIES REVENUE",,,,"7335076.76",,"SPECIAL PARKING REVENUE","PARKING REVENUES","363","4495","449","94"
"2015","NON-DEPARTMENTAL - CAPITAL FINANCE ADMINISTRATION","INTERFD OPER TRANS-ST LIGHT ASMNT","7180677",,"7180677","7180677","100","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5621","561","53"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTERFD OPER TRANS-SEWER CONS",,,,"7113428.44",,"WSSRB DEBT SERV REF 2012-C","INTERFUND OPERATING TRANSFER","W75","5615","561","50"
"2015","INFORMATION TECHNOLOGY AGENCY","INTERFD OPER TRANS-TELECOM DEV","6995544","-50106","6945438","6945438","100","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5630","561","32"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","TRENCH REPLACING",,,,"6936000.63999999",,"ST DAMAGE RESTORATION FEE SPEC","STREET SIDEWALK & CURB REPAIRS","41A","4286","428","50"
"2015","CITY ATTORNEY","MISCELLANEOUS SERVICE CHARGES",,,,"6926356.13",,"CITY ATTY CONSUMER PROTEC PROC","OTHER CURRENT SERVICE CHARGES","550","4651","465","12"
"2015","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","INTERFD OPER TRANS-WIA","11334362","-4415455","6918907","6918907","100","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5651","561","22"
"2015","PUBLIC WORKS - CONTRACT ADMINISTRATION","INTERFD OPER TRANS-SEWER CONS","7399143",,"7399143","6864025.81","92.77","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5615","561","76"
"2015","NON-DEPARTMENTAL - GENERAL","MUNICIPAL COURT FINES",,,,"6846338.87",,"TRAFFIC SAFETY","VEHICLE CODE FINES","306","4802","480","62"
"2015","POLICE","STATE GRANTS - OTHERS",,,,"6790112.91",,"POLICE DEPT GRANT","STATE GRANTS/AGREEMENTS","339","3361","336","70"
"2015","POLICE","OTHER FEDERAL GRANTS",,,,"6765332.5",,"POLICE DEPT GRANT","OTHER INTERGOVTL-FEDERAL","339","3684","368","70"
"2015","GENERAL SERVICES","FIGUEROA PLAZA REVENUE","7780729",,"7780729","6695588.89","86.05","GENERAL FUND (GENERAL BUDGET)","RENTS AND CONCESSIONS","100","4933","493","40"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","MULTI-FAM BULKY ITEM FEE (BIF)",,,,"6694802.75",,"MULTI-FAMILY BULKY ITEM FEE","OTHER CURRENT SERVICE CHARGES","50D","4669","465","50"
"2015","MAYOR","COUNTY GRANTS - OTHERS",,,,"6653668.62",,"SUPP LAW ENFORCEMENT SERVICES","COUNTY GRANTS/AGREEMENTS","667","3513","351","46"
"2015","CITY PLANNING","DEVELOPMENT SURCHARGE",,,,"6509459.02000003",,"CITY PLANNING SYSTEM DEVE FUND","OTHER CURRENT SERVICE CHARGES","588","4665","465","68"
"2015","GENERAL SERVICES","INTERFD OPER TRANS-SEWER CONS","8117436",,"8117436","6508054.14","80.17","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5615","561","40"
"2015","CITY ADMINISTRATIVE OFFICER","INTERFD OPER TRANS-GENERAL  FUND",,,,"6491550",,"JUDGMT OBLI BD 2010A DEBT SERV","INTERFUND OPERATING TRANSFER","B07","5624","561","10"
"2015","CITY ATTORNEY","SERVICE TO AIRPORTS","5824823",,"5824823","6469210.46","111.06","GENERAL FUND (GENERAL BUDGET)","QUASI-EXTERNAL TRANSACTION","100","4595","459","12"
"2015","LOS ANGELES HOUSING","COMMUNITY SERVICE BLOCK GRANT",,,,"6414090.59",,"COMMUNITY SER BL GRANT TRUST","COMMUNITY BLOCK GRANT","428","3612","361","43"
"2015","PUBLIC WORKS - ENGINEERING","ADDL INTERFD TRANS-OTHER FUNDS",,"7937333.8","7937333.8","6412400.4","80.79","GENERAL FUND (GENERAL BUDGET)","ADDL INTERFD OPERATING TRANSFER","100","5693","569","78"
"2015","CITY ADMINISTRATIVE OFFICER","SPECIAL ASSESSEMENTS -OTHERS",,,,"6378440.36",,"COMM FACI DIST 4 PLAYA VISTA I","ASSESSMENTS","46K","3171","317","10"
"2015","INFORMATION TECHNOLOGY AGENCY","FRANCHISE INCOME-PUBLIC EDUC & GOVT",,,,"6349743.41",,"TELECOM LIQ DMGE &LOST FR FEES","FRANCHISES INCOME","342","3071","306","32"
"2015","CITY PLANNING","INTERFD OPER TRANS-OTHER FUNDS","7065839","-288927","6776912","6310780.4","93.12","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5654","561","68"
"2015","PUBLIC WORKS - STREET SERVICES","ADDL INTERFD TRANS-OTHER FUNDS",,"15613863.62","15613863.62","6267771.27","40.14","GENERAL FUND (GENERAL BUDGET)","ADDL INTERFD OPERATING TRANSFER","100","5693","569","86"
"2015","BUILDING AND SAFETY","ELECTRICAL PLAN CHECK",,,,"6266079.21",,"BLDG & SAFETY PERMIT ENTERPRIS","PLAN CHECKING FEES","48R","4154","415","8"
"2015","LOS ANGELES HOUSING","CODE ENFORCE MISC FEES",,,,"6251750",,"FORECLOSURE REGISTRY PROGRAM FUND","OTHER CURRENT SERVICE CHARGES","56V","4671","465","43"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"6152128.76",,"PWR SYST RB 2010 B BD SER FUND","INTERFUND OPERATING TRANSFER","J5E","5654","561","98"
"2015","CITY PLANNING","RELATED COST REIMB-OTHERS","6553546",,"6553546","6101651.97","93.1","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5361","530","68"
"2015","CITY EMPLOYEES RETIREMENT SYSTEM","RETIREMENT CONTRIBUTION-LACERS/LAFPP",,,,"6084662",,"CITY EMPLOYEES RETIREMENT","RETIREMENT CONTRIBUTIONS","800","5514","550","16"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","PRIVATE TRANSFER STATION FEES",,,,"6051455.06",,"CENTRAL LA RECYCLING TRFR STAT","SOLID WASTE REVENUE","47R","4423","442","50"
"2015","FIRE","CONS PLAN CHECKING","6000000",,"6000000","6039610.02","100.66","GENERAL FUND (GENERAL BUDGET)","PLAN CHECKING FEES","100","4152","415","38"
