"fiscal_year","fiscal_month_name","expenditures","fund_name","fiscal_month_number","fund"
"2012","AUGUST","641163.59","RECREATION AND PARKS GOLF SPE","2","52H"
"2012","AUGUST","4708168.61","ARRA-NEIGHBORHOOD STABIL PROG2","2","52J"
"2012","AUGUST","2211.96","ARRA-TEEN & RETAIL EDUC TABACO","2","52K"
"2012","AUGUST","281923.6","ARRA-ENERGY COMM RECOVERY ACT","2","52L"
"2012","AUGUST","45012.02","ARRA-LACCD WIA","2","52M"
"2012","AUGUST","300985.52","ARRA-EECBG FUND - LAHD","2","52P"
"2012","AUGUST","40000","LOPEZ CANYON COMMU AMENITIES","2","531"
"2012","AUGUST","169280","CITY ETHICS COMMISSION FUND","2","534"
"2012","AUGUST","18895.18","2010 CSGP NEWTON GRYD ZONE","2","53F"
"2012","AUGUST","21541.05","2010 CALGRIP GRANT FUND","2","53K"
"2012","AUGUST","90420.52","2009 BOYLE HEIGHTS GRYD ZONE","2","53N"
"2012","AUGUST","426824","STATE AB1290 CITY FUND","2","53P"
"2012","AUGUST","710045.21","WESTWOOD BUSINESS IMPROV DIST","2","53S"
"2012","AUGUST","1850883.81","PROPOSITION C ANTIGRIDLOCK IMP","2","540"
"2012","AUGUST","56870.77","CITY ATTY CONSUMER PROTEC PROC","2","550"
"2012","AUGUST","139815","GENERAL FUND- VARIOUS PROGRAM","2","551"
"2012","AUGUST","33360","SP POLICE COMMUNIC/911 SYST TX","2","554"
"2012","AUGUST","244500.11","INTEGRATED SOLID WASTE MGMT  D","2","556"
"2012","AUGUST","397490","LANDFILL MAINTENANCE SPEC TRUS","2","558"
"2012","AUGUST","3923385.20","HOME INVESTMENT PARTSHIP PROGR","2","561"
"2012","AUGUST","157140","HOUSEHOLD HAZARDOUS WASTE SP","2","567"
"2012","AUGUST","3301677.93","HOUSING OPPOR FOR PERSON W/AID","2","569"
"2012","AUGUST","2930335","LOCAL PUBLIC SAFETY FUND","2","574"
"2012","AUGUST","2453.5","MINORITY BUSINESSDEV MBDA/MBOC","2","575"
"2012","AUGUST","146442.79","USED OIL COLLECTION TRUST FUND","2","586"
"2012","AUGUST","265990","CITY PLANNING SYSTEM DEVE FUND","2","588"
"2012","AUGUST","27380.38","TRANSP REGULATION &ENFORCEMENT","2","596"
"2012","AUGUST","253474","SENIOR CITYRIDE PROGRAM FUND","2","599"
"2012","AUGUST","678872.60","SEISMIC BOND REIMB FUND","2","608"
"2012","AUGUST","804342.77","FIRE SAF IMP ASSESS DIST 1 ADM","2","645"
"2012","AUGUST","126509.22","WILSHIRE CENTER BUS IMPRV DIST","2","648"
"2012","AUGUST","6394881.24","TRANSPORTATION GRANTS FUND","2","655"
"2012","AUGUST","15276.58","BUSINESS IMPROVEMENT TRUST FND","2","659"
"2012","AUGUST","132298.41","LAPD REVOLVING TRAINING FUND","2","670"
"2012","AUGUST","10837.61","ENGINEERING SPECIAL SERVICE FD","2","682"
"2012","AUGUST","10000","SUNSHINE CYN COMMUNI AMENITIES","2","699"
"2012","AUGUST","101622284.46","AIRPORT REVENUE","2","700"
"2012","AUGUST","141484.5","COLISEUM","2","701"
"2012","AUGUST","50033297.80","HARBOR REVENUE","2","702"
"2012","AUGUST","376632578.85","POWER REVENUE","2","704"
"2012","AUGUST","155235149.02","WATER REVENUE","2","705"
"2012","AUGUST","476039.19","PRINTING REVOLVING","2","706"
"2012","AUGUST","3256022.92","STORES REVOLVING","2","707"
"2012","AUGUST","4827781.73","WASTEWATER SYS REV BD CONS/10B","2","70Q"
"2012","AUGUST","99944.19","WW SYST COMM PAPER A CONST FND","2","70W"
"2012","AUGUST","3465593.71","WW SYST COMM PAPER B CONST FND","2","70X"
"2012","AUGUST","838715.48","PASSENGER FACILITY CHARGE -LAX","2","71R"
"2012","AUGUST","4908487.03","AIRPORT REVENUE FUND-ONTARIO","2","723"
"2012","AUGUST","800000","LA CONVENTION CENTER REVENUE","2","725"
"2012","AUGUST","23117541.07","SEWER OPERATIONS & MAINTENANCE","2","760"
"2012","AUGUST","21386236.81","SEWER CAPITAL FUND","2","761"
"2012","AUGUST","211056.33","DWP FLEXIBLE SPEND ACCTS (FSA)","2","776"
"2012","AUGUST","65903716.59","CITY EMPLOYEES RETIREMENT","2","800"
"2012","AUGUST","285862.02","FIRE & POLICE TIER 1 SERVICE P","2","801"
"2012","AUGUST","1606810.56","FIRE & POLICE TIER 1 GENERAL P","2","802"
"2012","AUGUST","25257505.95","FIRE & POLICE TIER 2 SERVICE P","2","803"
"2012","AUGUST","28841269.59","FIRE & POLICE TIER 2 GENERAL P","2","804"
"2012","AUGUST","357284.07","FIRE & POLICE TIER 3 SERVICE P","2","805"
"2012","AUGUST","1137939.45","FIRE & POLICE TIER 3 GENERAL P","2","806"
"2012","AUGUST","1025845.08","WATER/POWER EMP DEATH BENEFITS","2","807"
"2012","AUGUST","1720820.79","WATER/POWER EMPLOYEES DISABIL","2","808"
"2012","AUGUST","58594429.92","WATER/POWER RETIREMENT","2","809"
"2012","AUGUST","109021.18","MUNICIPAL HOUSING FINANCE FUND","2","815"
"2012","AUGUST","45539.93","LIBRARY TRUST","2","831"
"2012","AUGUST","268777.17","PUBLIC WORKS TRUST","2","834"
"2012","AUGUST","98632","ANIMAL STERILIZATION","2","842"
"2012","AUGUST","20050","CULTURAL AFFAIRS DEPT TRUST","2","844"
"2012","AUGUST","5320675.34","DWP RETIREE HEALTH BENEFITS","2","850"
"2012","AUGUST","21828.95","ANIMAL WELFARE TRUST","2","859"
"2012","AUGUST","39961.2","NARCOTICS ANALYSIS LABORATORY","2","863"
"2012","AUGUST","7000","VANDALISM & GRAFFITI REWARD TR","2","870"
"2012","AUGUST","22915","DISASTER ASSISTANCE TRUST FUND","2","872"
"2012","AUGUST","526","CITY ATTY FORFEITED ASSETS TRU","2","874"
"2012","AUGUST","47895","PERSHING SQUARE SPECIAL TRUST","2","876"
"2012","AUGUST","1500","RE DOMESTIC VIOLENCE TRUST FND","2","880"
"2012","AUGUST","415602.36","PENSION SAVINGS INVESTMENT FND","2","881"
"2012","AUGUST","859.67","DEFERRED COMPENSATN PLAN TRUST","2","896"
"2012","AUGUST","23316399.28","IRS SEC501 EMPLOYEE BENEF TRUS","2","899"
"2012","AUGUST","34654.55","EXCESS BENEFIT PLAN","2","901"
"2012","AUGUST","321125","STAPLES CENTER TRUST FUND","2","908"
"2012","AUGUST","819215.71","FIRE & POLICE TIER 4 SERVICE P","2","909"
"2012","AUGUST","216397.57","FIRE & POLICE TIER 4 GENERAL P","2","910"
"2012","AUGUST","21647596","FIRE & POLICE TIER 5 SERVICE P","2","915"
"2012","AUGUST","3237169.65","FIRE & POLICE TIER 5 GENERAL P","2","916"
"2012","AUGUST","61762.33","F&P PEN EXCESS BENEFIT PLAN FD","2","918"
"2012","AUGUST","4646893.75","ELEC PL REF REVBD ISS94 RES FD","2","J13"
"2012","AUGUST","137668.75","ELEC PL REVBDS ISS94,RESERVE","2","J15"
"2012","AUGUST","4098","PWR SYST RB 2001 SERI C BD SER","2","J78"
"2012","AUGUST","151070.13","PWR SYST RB COMM PAPER BD SVC","2","J88"
"2012","AUGUST","309799.72","WS RB 2004 SERIES C BOND SERVC","2","M6F"
"2012","AUGUST","2126029.3","WS RB 2001 SERIES A BOND SERVC","2","M99"
"2012","AUGUST","37069000","WS RB 2010 SERIES A CONSTRU FD","2","M9M"
"2012","AUGUST","833795.96","WSSRB DEBT SERV REF 2006-A-D","2","W53"
"2012","AUGUST","88652.78","WSSRB DEBT SERV REF 2008-A-H","2","W55"
"2012","SEPTEMBER","354151673.24","GENERAL FUND (GENERAL BUDGET)","3","100"
"2012","SEPTEMBER","704914.95","GOB SERIES 2001A FIRE/PR CONST","3","15H"
"2012","SEPTEMBER","587834.96","GOB SERIES 2002A ZOO IMP CONST","3","15K"
"2012","SEPTEMBER","22382.83","GOB SERIES 2002A ANIM SH CONST","3","15L"
"2012","SEPTEMBER","54226.19","GOB SERIES 2002A FIRE/PR CONST","3","15M"
"2012","SEPTEMBER","3970.32","GOB SERIES 2002A 911/P/F CONST","3","15N"
"2012","SEPTEMBER","688151.14","GOB SERIES 2003A ANIM SH CONST","3","15S"
"2012","SEPTEMBER","52307.94","GOB SERIES 2003A FIRE/PR CONST","3","15T"
"2012","SEPTEMBER","17597","GOB SERIES 2003A 911/P/F CONST","3","15U"
"2012","SEPTEMBER","99935.26","GOB SERIES 2004A 911/P/F CONST","3","16A"
"2012","SEPTEMBER","35573.54","GOB SERIES 2005A FIRE/PARA CON","3","16D"
"2012","SEPTEMBER","32800","GOB SERIES 2006A FIRE/PARA CON","3","16J"
"2012","SEPTEMBER","1364866.45","GOB 2008A CLEAN WATER CLEANUP","3","16Q"
"2012","SEPTEMBER","2752280.30","GOB 2009 CLEAN WATER CLEANUP","3","16T"
"2012","SEPTEMBER","209038.24","GOB SER 95A P.W. PROJ CONSTRUC","3","189"
"2012","SEPTEMBER","1271.52","GOB SER99B ZOO IMPR CONSTRUCTN","3","199"
"2012","SEPTEMBER","906010.42","RECREATION & PARKS GRANT","3","205"
"2012","SEPTEMBER","6498151.02","SPECIAL GAS TAX ST IMPROV","3","206"
"2012","SEPTEMBER","33302.01","LOCAL TRANSPORTATION","3","207"
"2012","SEPTEMBER","37867948.35","SEWER CONSTRUCTION&MAINTENANCE","3","208"
"2012","SEPTEMBER","98686.02","HOUSING PRODUCTION REVOLVING","3","240"
"2012","SEPTEMBER","262366.74","MICLA REV BDS 2009-D CONST FD","3","26G"
"2012","SEPTEMBER","1994824.94","MICLA LEASE REV COM PAPER NTES","3","298"
"2012","SEPTEMBER","1218863.08","ARRA-MICLA CP SPECIAL FUNDNTES","3","299"
"2012","SEPTEMBER","4764255.84","LIBRARY","3","300"
"2012","SEPTEMBER","4038404.50","MUNICIPAL SPORTS ACCOUNT","3","301"
"2012","SEPTEMBER","12375629.91","RECREATION AND PARKS","3","302"
"2012","SEPTEMBER","893592.16","SUBVENTIONS AND GRANTS","3","305"
"2012","SEPTEMBER","911011.32","TRAFFIC SAFETY","3","306"
"2012","SEPTEMBER","1234447.47","RENTAL HOUSING PRODUCTION","3","307"
"2012","SEPTEMBER","69236.42","FIRE DEPT GRANT","3","335"
"2012","SEPTEMBER","71772","FIRE HYDRANT INSTAL&MAIN REPLA","3","336"
"2012","SEPTEMBER","3000","CULTURAL AFFAIRS GRANT","3","337"
"2012","SEPTEMBER","629127.35","POLICE DEPT GRANT","3","339"
"2012","SEPTEMBER","1052832.93","TELECOM LIQ DMGE &LOST FR FEES","3","342"
"2012","SEPTEMBER","50783.43","REPAIR & DEMOLITION","3","346"
"2012","SEPTEMBER","3748054.31","ST LIGHTING MAINTENANCE ASSESS","3","347"
"2012","SEPTEMBER","10031","UDAG REVENUE FUND","3","356"
"2012","SEPTEMBER","2472680.37","SPECIAL PARKING REVENUE","3","363"
"2012","SEPTEMBER","38940.20","CITY ATTORNEY GRANTS","3","368"
"2012","SEPTEMBER","6337240.51","PROPOSITION A LOCAL TRANSIT","3","385"
"2012","SEPTEMBER","44420.07","EMERGENCY OPERATIONS FUND","3","392"
"2012","SEPTEMBER","968389","AREA PLAN FOR THE AGING TIT 7","3","395"
"2012","SEPTEMBER","1837662.1","ZOO ENTERPRISE TRUST FUND","3","40E"
"2012","SEPTEMBER","80801.17","LAFD SPECIAL TRAINING FUND","3","40J"
"2012","SEPTEMBER","10580.04","LAFD REVOLVING TRAINING FUND","3","40K"
"2012","SEPTEMBER","194313.31","DOWNTOWN CTR BUS IMPROV DISTR","3","40Q"
"2012","SEPTEMBER","58725.48","CENTURY CORRIDOR BUS IMPROVE","3","40R"
"2012","SEPTEMBER","471907.21","FIGUEROA CORRIDOR BUS IMPROVE","3","40S"
"2012","SEPTEMBER","12000","LARCHMONT VILLAGE BUS IMPROVE","3","40T"
"2012","SEPTEMBER","80026","OTHER PROGRAMS FOR THE AGING","3","410"
"2012","SEPTEMBER","776890","ST DAMAGE RESTORATION FEE SPEC","3","41A"
"2012","SEPTEMBER","432478.77","SYSTEMATIC CODE ENFORCEMNT FEE","3","41M"
"2012","SEPTEMBER","144006.94","LA DOWNTOWN INDUSTR BUS IMPROV","3","41T"
"2012","SEPTEMBER","7480564.94","COMMUNITY DEVELOPMENT TRUST","3","424"
"2012","SEPTEMBER","581648","COMMUNITY SER BL GRANT TRUST","3","428"
"2012","SEPTEMBER","2474241.75","GREATER LOS ANGELES VISITORS","3","429"
"2012","SEPTEMBER","174987.39","SENIOR HUMAN SERVICES PROGRAM","3","42J"
"2012","SEPTEMBER","55032.26","HOLLYWOOD MEDIA DP & BUS IMPRO","3","42X"
"2012","SEPTEMBER","37396","STREET FURNITURE REVENUE FUND","3","43D"
"2012","SEPTEMBER","688854.69","PROPOSITION K PROJECTS FUND","3","43K"
"2012","SEPTEMBER","79347.5","PROPOSITION K MAINTENANCE FUND","3","43L"
"2012","SEPTEMBER","12320","BUS BENCH ADVERTISING PROGRA","3","43S"
"2012","SEPTEMBER","145721.22","RENT STABILIZATION TRUST","3","440"
"2012","SEPTEMBER","470.02","COASTAL TRANSP CORRIDOR TRUST","3","447"
"2012","SEPTEMBER","3253903.95","WORKFORCE INVEST ACT TRS","3","44A"
"2012","SEPTEMBER","426120.43","DEPT OF NEIGHBORHOOD EMPOWERE","3","44B"
"2012","SEPTEMBER","134155.77","US DEPT OF JUSTICE ASSET FORFE","3","44D"
"2012","SEPTEMBER","14354.47","CALIF STATE ASSET FORFEITURE","3","44F"
"2012","SEPTEMBER","2573731.60","CITY OF LA AFFORDABLE HOUSING","3","44G"
"2012","SEPTEMBER","34649.26","WILMINGTON COMMERCIAL BID","3","44J"
"2012","SEPTEMBER","30287.71","LA CHINATOWN BUSINESS IMPR DIS","3","44K"
"2012","SEPTEMBER","37898.84","LINCOLN HEIGHTS INDUS ZONE BID","3","44L"
"2012","SEPTEMBER","37015.3","ENCINO BUSINESS IMPROVEMENT DI","3","44M"
"2012","SEPTEMBER","23283.75","TARGETED DESTIN AMBULANCE SERV","3","44R"
"2012","SEPTEMBER","35808.72","HIGH RISK/HIGH NEED SERVICES PROGRAM FUND","3","45D"
"2012","SEPTEMBER","36691","ENERGY CONSERVATION LOAN PROGR","3","45E"
"2012","SEPTEMBER","2346925.17","CITYWIDE RECYCLING TRUST FUND","3","46D"
"2012","SEPTEMBER","186696.15","SUNSET & VINE BUSINESS IMPROV","3","46H"
"2012","SEPTEMBER","9801.45","BRENTWOOD WILLAGE BID FUND","3","46J"
"2012","SEPTEMBER","52931.98","INSURANCE PREMIUMS SPECIAL FD","3","46S"
"2012","SEPTEMBER","61080.29","ATTORNEY CONFLICTS PANEL SP FD","3","46T"
"2012","SEPTEMBER","0","OMBUDSMAN INITIATIVE PROGRAM F","3","46V"
"2012","SEPTEMBER","174072.96","LITTLE TOKYO BID FUND","3","46W"
"2012","SEPTEMBER","615488","CALHOME TRUST FUND","3","46X"
"2012","SEPTEMBER","133370.02","COMPUTERIZED INFOR CTR FOR DIS","3","473"
"2012","SEPTEMBER","767291.97","CDD-EDI/BEDI GRANTS","3","47F"
"2012","SEPTEMBER","975.14","NEIGHBORHOOD TRAFFIC MGMT","3","47H"
"2012","SEPTEMBER","347608.74","HOMELAND SECURITY ASSISTANCE","3","47N"
"2012","SEPTEMBER","69254.25","CENTRAL LA RECYCLING TRFR STAT","3","47R"
"2012","SEPTEMBER","232988.91","PROPOSITION 40 PER CAPITA TRUS","3","47T"
"2012","SEPTEMBER","5783.91","PROP 40 ROBERTI-Z'BERG-HARRIS","3","47W"
"2012","SEPTEMBER","156917.64","HUD CONNECTIONS GRANT","3","47X"
"2012","SEPTEMBER","63184","HEALTH INS COUNS ADV (HICAP)","3","47Y"
"2012","SEPTEMBER","661930","ARTS AND CULTURAL FACIL & SERV","3","480"
"2012","SEPTEMBER","23599.1","ATSAC TRUST","3","484"
"2012","SEPTEMBER","50058.45","LANDFILL CLOSURE & POSTCLOSURE","3","488"
"2012","SEPTEMBER","109615.12","SOUTH PARK BUSINESS IMPROV","3","48A"
"2012","SEPTEMBER","9501062.83","BLDG & SAFETY PERMIT ENTERPRIS","3","48R"
"2012","SEPTEMBER","135508.30","LEAD GRANT FUNDS","3","49E"
"2012","SEPTEMBER","26924.17","COUNC DIST8 PUB BENEFIT TR FD","3","49F"
"2012","SEPTEMBER","56123.06","SO LA IND TRACT(GOODYEAR) BID","3","49H"
"2012","SEPTEMBER","68347.65","ARTS DISTRICT BUSINESS IMP DIS","3","49J"
"2012","SEPTEMBER","21231.35","NORTH HOLLYWOOD TRANSIT BID","3","49R"
"2012","SEPTEMBER","34654.85","SYLMAR PROPERTY BUS IMPROV DIS","3","49W"
"2012","SEPTEMBER","111587.37","WESTCHESTER BUS IMPROV DIST","3","49X"
"2012","SEPTEMBER","36011.41","CAPITAL PROJECTS BD RESERVE FD","3","49Y"
"2012","SEPTEMBER","28940413.57","SOLID WASTE RESOURCES FUND","3","508"
"2012","SEPTEMBER","480000","MULTI-FAMILY BULKY ITEM FEE","3","50D"
"2012","SEPTEMBER","453615.68","FY07 UASI HOMELAND SECURITY GR","3","50G"
"2012","SEPTEMBER","211028","GANG REDUCTION & YOUTH DEVELOP","3","50K"
"2012","SEPTEMBER","426.2","JUSTICE ASSISTANCE GRANT FUND","3","50P"
"2012","SEPTEMBER","45551.66","CENTURY CITY BUS IMPROV DIST","3","50Q"
"2012","SEPTEMBER","199374.87","NEIGHBORHOOD STABILIZATION PG","3","50T"
"2012","SEPTEMBER","14744.89","FY08 UASI HOMELAND SECURITY GR","3","50X"
"2012","SEPTEMBER","153989.17","STORMWATER POLLUTION ABATE FND","3","511"
"2012","SEPTEMBER","22150","ARTS DEVELOPMENT FEE TRUST FND","3","516"
"2012","SEPTEMBER","160558.22","FEDERAL EMERGENCY SHELTER GRNT","3","517"
"2012","SEPTEMBER","95681.01","PANORAMA CITY BUS IMPROV DIST","3","51D"
"2012","SEPTEMBER","1972281.75","ARRA-WORKFORCE INVESTMENT ACT","3","51G"
"2012","SEPTEMBER","37723.24","ARRA-COMMUNITY SVC BLOCK GRANT","3","51H"
"2012","SEPTEMBER","887.66","DEPT OF EDUCATION - YOUTH PROG","3","51J"
"2012","SEPTEMBER","595141.28","ARRA-COMMUNITY DEV BLOCK GRANT","3","51N"
"2012","SEPTEMBER","1821885","ARRA-HOMELESSNESS PREV & REHSE","3","51P"
"2012","SEPTEMBER","557000","MEASURE R LOCAL RETURN FUND","3","51Q"
"2012","SEPTEMBER","786511.36","MEASURE R BUS OPERATIONS FUND","3","51R"
"2012","SEPTEMBER","956618.74","ARRA-ENERGY EFFICIENCY CONSERV","3","51S"
"2012","SEPTEMBER","179096.24","REG CATASTROPHIC PREPARE GRANT","3","51T"
"2012","SEPTEMBER","33063.39","ARRA-JUSTICE ASSISTANCE GRANT","3","51V"
"2012","SEPTEMBER","931991.01","SOLID WASTE RES RB2009A ACQUIS","3","51W"
"2012","SEPTEMBER","249435.81","CITY EMPLOYEES RIDESHARING FND","3","525"
"2012","SEPTEMBER","925","LOCAL ENFORCE AGENCY LANDFILL","3","527"
"2012","SEPTEMBER","29521.18","FY09 JUSTICE ASSISTANCE GRANT","3","52A"
"2012","SEPTEMBER","56389.61","ARRA-BTOP PUBLIC COMPUTER CTR","3","52B"
"2012","SEPTEMBER","258533.3","FY09 ARREST POLICIES GRANT FD","3","52E"
"2012","SEPTEMBER","6901354.71","RECREATION AND PARKS GOLF SPE","3","52H"
"2012","SEPTEMBER","10924790.15","ARRA-NEIGHBORHOOD STABIL PROG2","3","52J"
"2012","SEPTEMBER","770.7","ARRA-TEEN & RETAIL EDUC TABACO","3","52K"
"2012","SEPTEMBER","161981","ARRA-ENERGY COMM RECOVERY ACT","3","52L"
"2012","SEPTEMBER","129893.57","ARRA-EECBG FUND - LAHD","3","52P"
"2012","SEPTEMBER","-10238.46","ARRA-LA COUNTY TANF SUMMER PRO","3","52Q"
"2012","SEPTEMBER","65000","LOPEZ CANYON COMMU AMENITIES","3","531"
"2012","SEPTEMBER","169280","CITY ETHICS COMMISSION FUND","3","534"
"2012","SEPTEMBER","-33.57","ENVIRONMENTAL AFFAIRS TRUST","3","537"
"2012","SEPTEMBER","609.82","FY09 UASI GRANT FUND","3","53A"
"2012","SEPTEMBER","28916.53","FY10 DART CONGRESSIONAL SELECT","3","53C"
"2012","SEPTEMBER","15982.57","2010 CSGP NEWTON GRYD ZONE","3","53F"
"2012","SEPTEMBER","103548","FY10 JUVENILE ACCOUNT BLOCK GR","3","53L"
"2012","SEPTEMBER","44074.75","2009 BOYLE HEIGHTS GRYD ZONE","3","53N"
"2012","SEPTEMBER","16665","STATE AB1290 CITY FUND","3","53P"
"2012","SEPTEMBER","2030","LEAD GRANT NINE","3","53Q"
"2012","SEPTEMBER","5573272.44","PROPOSITION C ANTIGRIDLOCK IMP","3","540"
"2012","SEPTEMBER","41997.41","CITY ATTY CONSUMER PROTEC PROC","3","550"
"2012","SEPTEMBER","253676.59","GENERAL FUND- VARIOUS PROGRAM","3","551"
"2012","SEPTEMBER","126.21","RESIDENTIAL PROPERTY MAINT FND","3","553"
"2012","SEPTEMBER","33360","SP POLICE COMMUNIC/911 SYST TX","3","554"
"2012","SEPTEMBER","11928","INTEGRATED SOLID WASTE MGMT  D","3","556"
"2012","SEPTEMBER","397490","LANDFILL MAINTENANCE SPEC TRUS","3","558"
"2012","SEPTEMBER","3238789.79","HOME INVESTMENT PARTSHIP PROGR","3","561"
"2012","SEPTEMBER","26009","TITLE VII OLDER AMERICANS ACT","3","564"
"2012","SEPTEMBER","316858","HOUSEHOLD HAZARDOUS WASTE SP","3","567"
"2012","SEPTEMBER","1056508.64","HOUSING OPPOR FOR PERSON W/AID","3","569"
"2012","SEPTEMBER","2930335","LOCAL PUBLIC SAFETY FUND","3","574"
"2012","SEPTEMBER","12155.96","MINORITY BUSINESSDEV MBDA/MBOC","3","575"
"2012","SEPTEMBER","281994.46","USED OIL COLLECTION TRUST FUND","3","586"
"2012","SEPTEMBER","265990","CITY PLANNING SYSTEM DEVE FUND","3","588"
"2012","SEPTEMBER","10056.5","TRANSP REGULATION &ENFORCEMENT","3","596"
"2012","SEPTEMBER","161813","SENIOR CITYRIDE PROGRAM FUND","3","599"
"2012","SEPTEMBER","788875.25","SEISMIC BOND REIMB FUND","3","608"
"2012","SEPTEMBER","186915.2","DOWNTOWN PROP OWNERS MGMT DIST","3","647"
"2012","SEPTEMBER","3510636.64","TRANSPORTATION GRANTS FUND","3","655"
"2012","SEPTEMBER","13889.06","BUSINESS IMPROVEMENT TRUST FND","3","659"
"2012","SEPTEMBER","77692.73","LAPD REVOLVING TRAINING FUND","3","670"
"2012","SEPTEMBER","73443.52","WEST LA TRANSP IMPROV & MITIGA","3","681"
"2012","SEPTEMBER","21702.98","ENGINEERING SPECIAL SERVICE FD","3","682"
"2012","SEPTEMBER","2500","COUNCIL DIST 1 REAL PROP TRUST","3","683"
"2012","SEPTEMBER","20000","COUNCIL DIST 5 REAL PROP TRUST","3","687"
"2012","SEPTEMBER","193874166.01","AIRPORT REVENUE","3","700"
"2012","SEPTEMBER","150365.25","COLISEUM","3","701"
"2012","SEPTEMBER","22528239.19","HARBOR REVENUE","3","702"
"2012","SEPTEMBER","333775360.84","POWER REVENUE","3","704"
"2012","SEPTEMBER","121592511.06","WATER REVENUE","3","705"
"2012","SEPTEMBER","487768.95","PRINTING REVOLVING","3","706"
"2012","SEPTEMBER","2565667.96","STORES REVOLVING","3","707"
"2012","SEPTEMBER","93019","WASTEWATER SYS REV BD CONS/10A","3","70K"
"2012","SEPTEMBER","1318764.72","WASTEWATER SYS REV BD CONS/10B","3","70Q"
"2012","SEPTEMBER","658077.46","WW SYST COMM PAPER A CONST FND","3","70W"
"2012","SEPTEMBER","2183753.32","WW SYST COMM PAPER B CONST FND","3","70X"
"2012","SEPTEMBER","1462529.88","PASSENGER FACILITY CHARGE -LAX","3","71R"
"2012","SEPTEMBER","4730800.64","AIRPORT REVENUE FUND-ONTARIO","3","723"
"2012","SEPTEMBER","1300000","LA CONVENTION CENTER REVENUE","3","725"
"2012","SEPTEMBER","95672.46","EL PUEBLO DE LA HISTOR MONUMEN","3","737"
"2012","SEPTEMBER","20357522.57","SEWER OPERATIONS & MAINTENANCE","3","760"
"2012","SEPTEMBER","9765247.56","SEWER CAPITAL FUND","3","761"
"2012","SEPTEMBER","211426.8","DWP FLEXIBLE SPEND ACCTS (FSA)","3","776"
"2012","SEPTEMBER","65424565.37","CITY EMPLOYEES RETIREMENT","3","800"
"2012","SEPTEMBER","286840.24","FIRE & POLICE TIER 1 SERVICE P","3","801"
"2012","SEPTEMBER","1548795.35","FIRE & POLICE TIER 1 GENERAL P","3","802"
"2012","SEPTEMBER","25059334.53","FIRE & POLICE TIER 2 SERVICE P","3","803"
"2012","SEPTEMBER","23039834.27","FIRE & POLICE TIER 2 GENERAL P","3","804"
"2012","SEPTEMBER","356809.67","FIRE & POLICE TIER 3 SERVICE P","3","805"
"2012","SEPTEMBER","1128826.01","FIRE & POLICE TIER 3 GENERAL P","3","806"
"2012","SEPTEMBER","329500.75","WATER/POWER EMP DEATH BENEFITS","3","807"
"2012","SEPTEMBER","1876738.22","WATER/POWER EMPLOYEES DISABIL","3","808"
"2012","SEPTEMBER","101383068.5","WATER/POWER RETIREMENT","3","809"
"2012","SEPTEMBER","56431.83","MUNICIPAL HOUSING FINANCE FUND","3","815"
"2012","SEPTEMBER","65426.91","LIBRARY TRUST","3","831"
"2012","SEPTEMBER","224382.27","PUBLIC WORKS TRUST","3","834"
"2012","SEPTEMBER","157126","ANIMAL STERILIZATION","3","842"
"2012","SEPTEMBER","8990.22","CULTURAL AFFAIRS DEPT TRUST","3","844"
"2012","SEPTEMBER","953.25","MAYORS OFF FOR HANDICAP TRUST","3","849"
"2012","SEPTEMBER","5043201.45","DWP RETIREE HEALTH BENEFITS","3","850"
"2012","SEPTEMBER","2871.83","ANIMAL WELFARE TRUST","3","859"
"2012","SEPTEMBER","919.4","NARCOTICS ANALYSIS LABORATORY","3","863"
"2012","SEPTEMBER","22915","DISASTER ASSISTANCE TRUST FUND","3","872"
"2012","SEPTEMBER","351692","MATCHING CAMPAIGN FUND TRUST","3","875"
"2012","SEPTEMBER","47895","PERSHING SQUARE SPECIAL TRUST","3","876"
"2012","SEPTEMBER","339006.17","PENSION SAVINGS INVESTMENT FND","3","881"
"2012","SEPTEMBER","19271.59","POLICE DEPARTMENT TRUST FUND","3","885"
"2012","SEPTEMBER","268.46","VOLUNTEER TRUST FUND","3","892"
"2012","SEPTEMBER","10458.9","DEFERRED COMPENSATN PLAN TRUST","3","896"
"2012","SEPTEMBER","22897970.68","IRS SEC501 EMPLOYEE BENEF TRUS","3","899"
"2012","SEPTEMBER","34654.55","EXCESS BENEFIT PLAN","3","901"
"2012","SEPTEMBER","20000","CD 13 PUBLIC BENEFIT TRUST FD","3","904"
"2012","SEPTEMBER","321125","STAPLES CENTER TRUST FUND","3","908"
"2012","SEPTEMBER","1005051.4","FIRE & POLICE TIER 4 SERVICE P","3","909"
"2012","SEPTEMBER","212887.03","FIRE & POLICE TIER 4 GENERAL P","3","910"
"2012","SEPTEMBER","21081474.11","FIRE & POLICE TIER 5 SERVICE P","3","915"
"2012","SEPTEMBER","3129799.82","FIRE & POLICE TIER 5 GENERAL P","3","916"
"2012","SEPTEMBER","61762.33","F&P PEN EXCESS BENEFIT PLAN FD","3","918"
"2012","SEPTEMBER","14166081.25","GOB REFUNDING SER98A DEBT SERV","3","A53"
"2012","SEPTEMBER","5554570","GOB REFUNDING SER99A DEBT SERV","3","A54"
"2012","SEPTEMBER","10266300","GOB SERIES 2001A DEBT SERVICE","3","A58"
