"fiscal_year","department_name","vendor_name","dollar_amount","expenditure_type","authority_name"
"2012","WATER AND POWER","LOS ANGELES TRUCK CENTERS LLC LOS ANGELES FREIGHTLINER","19805562.04","393","393"
"2015","WATER AND POWER","POWEREX C/O OFFICE OF THE TREASURER","19784346.26","18","18"
"2020","WATER AND POWER","MACQUARIE COOK ENERGY LLC C/O OFFICE OF THE TREASURER","19714802.62","14","14"
"2014","WATER AND POWER","WELLS FARGO INSURANCE SERVICES USA INC","19681983.65","38","38"
"2015","WATER AND POWER","WELLS FARGO INSURANCE SERVICES USA INC","19551693.31","15","15"
"2019","WATER AND POWER","NORTHWEST EXCAVATING, INC.","19381683.19","391","391"
"2016","WATER AND POWER","TAIHAN ELECTRIC USA LTD","19247503.62","37","37"
"2019","WATER AND POWER","ULTRA RESOURCES, INC","19141198.19","12","12"
"2013","WATER AND POWER","ULTRA RESOURCES, INC","19128174.82","11","11"
"2016","WATER AND POWER","STATE BOARD OF EQUALIZATION SPECIAL TAXES REMIT PROCESSING","19087308.22","5","5"
"2019","WATER AND POWER","UNITED STATES DEPARTMENT OF ENERGY-FRC","18915762.5","23","23"
"2021","WATER AND POWER","SO CALIFORNIA GAS COMPANY C/O OFFICE OF THE TREASURER","18868447.97","6","6"
"2018","WATER AND POWER","NORTHWEST EXCAVATING, INC.","18745130.83","382","382"
"2015","WATER AND POWER","SOUTHERN CALIFORNIA EDISON C/O OFFICE OF THE TREASURER","18742240","12","12"
"2017","WATER AND POWER","CITY TREASURER, CITY OF LA FICA AND MEDICARE ACCOUNTS","18699112.19","133","133"
"2012","WATER AND POWER","WELLS FARGO INSURANCE SERVICES USA INC","18672557.66","47","47"
"2017","WATER AND POWER","URS CORPORATION A NEVADA CORPORATION","18655702.95","300","300"
"2019","WATER AND POWER","BP ENERGY COMPANY C/O OFFICE OF THE TREASURER","18643810.09","12","12"
"2020","WATER AND POWER","STEVE P. RADOS, INC","18638660.25","11","11"
"2013","WATER AND POWER","US DEPT OF ENERGY-WAPA C/O OFFICE OF THE TREASURER","18630135.50","24","24"
"2021","WATER AND POWER","FRONTIER-KEMPER CONSTRUCTORS, INC","18573339.23","7","7"
"2016","WATER AND POWER","SO CALIFORNIA GAS COMPANY C/O OFFICE OF THE TREASURER","18464754.51","13","13"
"2012","WATER AND POWER","US DEPT OF ENERGY-WAPA C/O OFFICE OF THE TREASURER","18398223.31","25","25"
"2020","WATER AND POWER","CITY TREASURER, CITY OF LA FICA AND MEDICARE ACCOUNTS","18348155.21","87","87"
"2018","WATER AND POWER","GE INTERNATIONAL, INC.","18327354.08","72","72"
"2015","WATER AND POWER","USS CAL BUILDERS INC","18221567.70","13","13"
"2015","WATER AND POWER","SO CALIFORNIA GAS COMPANY C/O OFFICE OF THE TREASURER","18142265.68","12","12"
"2016","WATER AND POWER","PACIFICORP WHOLESALE C/O OFFICE OF THE TREASURER","18090397.82","14","14"
"2013","WATER AND POWER","BARNARD CONST. CO C/O OFFICE OF THE TREASURER","17977490.95","5","5"
"2014","WATER AND POWER","US DEPT OF ENERGY-WAPA C/O OFFICE OF THE TREASURER","17976784.12","24","24"
"2019","WATER AND POWER","SE PIPE LINE CONSTRUCTION COMPANY","17931748.87","654","654"
"2014","WATER AND POWER","LA DEPT OF WATER AND POWER LA KRETZ FUNDING ACCOUNT","17926425","2","2"
"2022","WATER AND POWER","W.A. RASIC CONSTRUCTION CO","17842059.97","860","860"
"2014","WATER AND POWER","SOUTHERN CALIFORNIA EDISON C/O OFFICE OF THE TREASURER","17825920","12","12"
"2020","WATER AND POWER","ORACLE CORPORATION","17740734.13","53","53"
"2015","WATER AND POWER","ORACLE AMERICA, INC","17726558.37","139","139"
"2013","WATER AND POWER","SOUTHERN CALIFORNIA EDISON C/O OFFICE OF THE TREASURER","17649280","12","12"
"2015","WATER AND POWER","LOS ANGELES COUNTY FLOOD CONTROL DISTRICT","17610000","4","4"
"2022","WATER AND POWER","MACQUARIE ENERGY LLC","17603490.44","3","3"
"2019","WATER AND POWER","SOFTWARE ONE, INC.","17442675.28","215","215"
"2021","WATER AND POWER","AON RISK INS SERVICES WEST INC DBA AON RISK SERVICES OF","17420364.21","32","32"
"2016","WATER AND POWER","CITY TREASURER, CITY OF LA FICA AND MEDICARE ACCOUNTS","17328506.17","133","133"
"2014","WATER AND POWER","SOUTHERN CALIFORNIA PUBLIC POWER AUTHORITY","17291550","12","12"
"2015","WATER AND POWER","NORTHWEST EXCAVATING, INC.","17238806.94","45","45"
"2018","WATER AND POWER","ULTRA RESOURCES, INC","17207445.00","12","12"
"2019","WATER AND POWER","BARNARD CONSTRUCTION COMPANY, INC.","17163517.84","10","10"
"2022","WATER AND POWER","HARTREE PARTNERS, LP","17154519.46","6","6"
"2022","WATER AND POWER","AON CORPORATION ASPN INSURANCE AGENCY LLC","17077550","2","2"
"2017","WATER AND POWER","KERN RIVER GAS TRANSM CO C/O OFFICE OF THE TREASURER","17050415.34","12","12"
"2020","WATER AND POWER","SEL ENGINEERING SERVICES, INC","17047398.38","7","7"
"2015","WATER AND POWER","NATIONAL EWP, INC","16951828.43","20","20"
"2021","WATER AND POWER","SRPAI&PD ELEC.SYS.REVENUE FUND C/O OFFICE OF THE TREASURER","16887102.29","15","15"
"2016","WATER AND POWER","ALTEC INDUSTRIES, INC.","16597188.07","125","125"
"2013","WATER AND POWER","SOUTHERN CALIFORNIA PUBLIC POWER AUTHORITY","16578265","10","10"
"2012","WATER AND POWER","SO CALIFORNIA GAS COMPANY C/O OFFICE OF THE TREASURER","16563428.83","11","11"
"2022","WATER AND POWER","SOUTHERN CALIFORNIA EDISON C/O OFFICE OF THE TREASURER","16560000","7","7"
"2015","WATER AND POWER","CITY TREASURER, CITY OF LA FICA AND MEDICARE ACCOUNTS","16422354.12","134","134"
"2014","WATER AND POWER","ARTISAN SCREEN PRINTING INC","16381611.24","61","61"
"2014","WATER AND POWER","ULTRA RESOURCES, INC","16337119.19","11","11"
"2022","WATER AND POWER","SOFTWARE ONE, INC.","16299768.67","139","139"
"2018","WATER AND POWER","US DEPT OF ENERGY-WAPA C/O OFFICE OF THE TREASURER","16255302.14","21","21"
"2014","WATER AND POWER","VOITH HYDRO INC","16229027.70","8","8"
"2017","WATER AND POWER","STEVE P. RADOS, INC","16214492.35","25","25"
"2012","WATER AND POWER","STATE BOARD OF EQUALIZATION","15970756.70","35","35"
"2022","WATER AND POWER","U.S. BANK CORPORATE PAYMENT SYSTEM","15877984.40","24","24"
"2019","WATER AND POWER","AVENTADOR UTILITY SOLUTIONS, LLC","15866825","9","9"
"2014","WATER AND POWER","LOS ANGELES COUNTY FLOOD CONTROL DISTRICT","15830000","4","4"
"2013","WATER AND POWER","U.S. BANK CORPORATE PAYMENT SYSTEM","15801980.66","24","24"
"2019","WATER AND POWER","US DEPT OF ENERGY-WAPA C/O OFFICE OF THE TREASURER","15671486.29","22","22"
"2014","WATER AND POWER","STATE BOARD OF EQUALIZATION","15635560.51","56","56"
"2021","WATER AND POWER","W.A. RASIC CONSTRUCTION CO","15625335.41","403","403"
"2012","WATER AND POWER","UNITED HEALTHCARE","15600209.21","113","113"
"2012","WATER AND POWER","SOUTHERN CALIFORNIA PUBLIC POWER AUTHORITY","15597278","10","10"
"2017","WATER AND POWER","PETRELLI ELECTRIC, INC.","15566083.40","155","155"
"2012","WATER AND POWER","PACIFICARE OF CALIFORNIA C/O OFFICE OF THE TREASURER","15437485.96","36","36"
"2013","WATER AND POWER","GE INTERNATIONAL, INC.","15427385.67","15","15"
"2017","WATER AND POWER","US DEPT OF ENERGY-WAPA C/O OFFICE OF THE TREASURER","15407456.47","24","24"
"2014","WATER AND POWER","ITRON, INC","15370068.40","103","103"
"2015","WATER AND POWER","US DEPT OF ENERGY-WAPA C/O OFFICE OF THE TREASURER","15277726.15","27","27"
"2019","WATER AND POWER","ONESOURCE DISTRIBUTORS","15256461.66","737","737"
"2018","WATER AND POWER","PAVECO CONSTRUCTION, INC.","15228312.39","892","892"
"2019","WATER AND POWER","FALCON FUELS, INC.","15101921.02","1273","1273"
"2018","WATER AND POWER","UNITED STATES DEPARTMENT OF ENERGY-FRC","15072872","24","24"
"2016","WATER AND POWER","NATIONAL EWP, INC","15040575.46","20","20"
"2016","WATER AND POWER","EDISON POWER CONSTRUCTORS","15034979.22","49","49"
"2015","WATER AND POWER","STEWART TITLE OF CALIF. INC","15000000","2","2"
"2017","WATER AND POWER","GENERAL ELECTRIC COMPANY","14900000","3","3"
"2018","WATER AND POWER","STEVE P. RADOS, INC","14880002.63","24","24"
"2022","WATER AND POWER","KOCH ENERGY SERVICES, LLC","14768571.37","6","6"
"2018","WATER AND POWER","DOOSAN GRIDTECH CA, LLC","14706428.45","14","14"
"2012","WATER AND POWER","REYNOLDS BUICK, INC.","14684141.11","440","440"
"2014","WATER AND POWER","CITY TREASURER, CITY OF LA FICA AND MEDICARE ACCOUNTS","14599405.60","136","136"
"2014","WATER AND POWER","LOS ANGELES TRUCK CENTERS LLC LOS ANGELES FREIGHTLINER","14596129.27","120","120"
"2019","WATER AND POWER","WESCO DISTRIBUTION INC.","14580476.33","659","659"
"2021","WATER AND POWER","TREE SERVICE KINGS, INC","14530757.19","128","128"
"2013","WATER AND POWER","HPD INC","14493759.14","1085","1085"
"2015","WATER AND POWER","ITRON, INC","14456587.98","137","137"
"2017","WATER AND POWER","MOAPA SOUTHERN PAIUTE SOLAR, LLC","14455717.59","7","7"
"2019","WATER AND POWER","STEVE P. RADOS, INC","14434684.93","12","12"
"2018","WATER AND POWER","GENERAL ELECTRIC COMPANY","14358500","4","4"
"2012","WATER AND POWER","SOUTHERN CALIFORNIA EDISON C/O OFFICE OF THE TREASURER","14329686.43","12","12"
"2016","WATER AND POWER","US DEPT OF ENERGY-WAPA C/O OFFICE OF THE TREASURER","14329276.76","24","24"
"2017","WATER AND POWER","ITRON, INC","14317382.40","139","139"
"2020","WATER AND POWER","WEBCOR/OBAYASHI/LYLES AJV","14295489.13","14","14"
"2020","WATER AND POWER","GE INTERNATIONAL, INC.","14183411.95","53","53"
"2014","WATER AND POWER","TENASKA POWER SERVICES CO.","14183156.32","7","7"
"2019","WATER AND POWER","LOS ANGELES COUNTY FLOOD CONTROL DISTRICT","14045000","2","2"
"2019","WATER AND POWER","SEL ENGINEERING SERVICES, INC","14005323.81","13","13"
"2012","WATER AND POWER","U.S. BANK CORPORATE PAYMENT SYSTEM","13979075.35","26","26"
"2021","WATER AND POWER","CIMA ENERGY LP","13913706.65","6","6"
"2015","WATER AND POWER","STATE BOARD OF EQUALIZATION","13873253.47","53","53"
"2015","WATER AND POWER","SOUTHERN CALIFORNIA PUBLIC POWER AUTHORITY","13864955","10","10"
"2021","WATER AND POWER","SOFTWARE ONE, INC.","13840122.31","128","128"
"2021","WATER AND POWER","GE INTERNATIONAL, INC.","13821850.70","105","105"
"2020","WATER AND POWER","NORTHWEST EXCAVATING, INC.","13804892.64","241","241"
"2013","WATER AND POWER","CITY TREASURER, CITY OF LA FICA AND MEDICARE ACCOUNTS","13764148.03","136","136"
"2021","WATER AND POWER","U.S. BANK CORPORATE PAYMENT SYSTEM","13748568.24","24","24"
"2018","WATER AND POWER","KERN RIVER GAS TRANSM CO C/O OFFICE OF THE TREASURER","13734400.12","11","11"
"2013","WATER AND POWER","PRICEWATERHOUSECOOPERS","13628531.50","113","113"
"2019","WATER AND POWER","ASSOCIATED READY MIXED CONCRETE, INC","13578603.97","6570","6570"
"2016","WATER AND POWER","MLADEN BUNTICH CONSTRUCTION COMPANY, INC","13469949.62","12","12"
"2014","WATER AND POWER","ONESOURCE DISTRIBUTORS","13461061.35","711","711"
"2016","WATER AND POWER","ITRON, INC","13374321.29","168","168"
"2020","WATER AND POWER","PAVECO CONSTRUCTION, INC.","13323673.08","360","360"
"2017","WATER AND POWER","STATE BOARD OF EQUALIZATION","13307063.82","52","52"
"2018","WATER AND POWER","LOS ANGELES TRUCK CENTERS LLC LOS ANGELES FREIGHTLINER","13278148.14","168","168"
"2015","WATER AND POWER","ARTISAN SCREEN PRINTING INC","13195444.18","44","44"
"2019","WATER AND POWER","STATE BOARD OF EQUALIZATION","13170316.42","32","32"
"2021","WATER AND POWER","SOUTHERN CALIFORNIA EDISON C/O OFFICE OF THE TREASURER","13115520","7","7"
"2018","WATER AND POWER","STATE BOARD OF EQUALIZATION","13106832.65","54","54"
"2020","WATER AND POWER","WESCO DISTRIBUTION INC.","13071353.28","434","434"
"2022","WATER AND POWER","U.S. BANK NATIONAL ASSOCIATION","13031682.97","7","7"
"2014","WATER AND POWER","ALSTOM POWER, INC","13002144.02","10","10"
"2019","WATER AND POWER","PAVECO CONSTRUCTION, INC.","13000063.54","376","376"
"2015","WATER AND POWER","TBEA USA CO.","12912669.86","26","26"
"2012","WATER AND POWER","W.A. RASIC CONSTRUCTION CO","12864563.85","41","41"
"2022","WATER AND POWER","WEBCOR/OBAYASHI/LYLES AJV","12859226.63","12","12"
"2018","WATER AND POWER","CIMA ENERGY LP","12858764.98","6","6"
"2012","WATER AND POWER","CITY TREASURER, CITY OF LA FICA AND MEDICARE ACCOUNTS","12755970.26","136","136"
"2012","WATER AND POWER","PRICEWATERHOUSECOOPERS","12753801.26","75","75"
"2020","WATER AND POWER","FRONTIER-KEMPER CONSTRUCTORS, INC","12727889.56","3","3"
"2014","WATER AND POWER","IDAHO POWER ELECTRIC TRADING","12726603.49","13","13"
"2018","WATER AND POWER","SALT RIVER PROJECT C/O OFFICE OF THE TREASURER","12709519.95","24","24"
"2012","WATER AND POWER","STEVE P. RADOS, INC","12696623.39","14","14"
"2019","WATER AND POWER","KIEWIT INFRASTRUCTURE WEST CO KIEWIT FINANCE GROUP INC.","12676371.14","14","14"
"2018","WATER AND POWER","FALCON FUELS, INC.","12663707.13","1270","1270"
"2022","WATER AND POWER","CITY TREASURER, CITY OF LA FICA AND MEDICARE ACCOUNTS","12571521.09","40","40"
"2013","WATER AND POWER","STEVE P. RADOS, INC","12563728.03","17","17"
"2014","WATER AND POWER","HPD INC","12556953.29","1208","1208"
"2016","WATER AND POWER","URS CORPORATION A NEVADA CORPORATION","12539756.16","193","193"
"2016","WATER AND POWER","CIMA ENERGY LTD","12526754.75","12","12"
"2021","WATER AND POWER","TAIHAN ELECTRIC USA LTD","12500695.86","15","15"
"2018","WATER AND POWER","KIEWIT INFRASTRUCTURE WEST CO KIEWIT FINANCE GROUP INC.","12412278.09","12","12"
"2021","WATER AND POWER","CITY TREASURER, CITY OF LA FICA AND MEDICARE ACCOUNTS","12259010.70","41","41"
"2014","WATER AND POWER","NORTHWEST EXCAVATING, INC.","12218933.85","87","87"
"2021","WATER AND POWER","AON CORPORATION ASPN INSURANCE AGENCY LLC","12209312.5","2","2"
"2017","WATER AND POWER","GE INTERNATIONAL, INC.","12179082.39","29","29"
"2016","WATER AND POWER","LOS ANGELES TRUCK CENTERS LLC LOS ANGELES FREIGHTLINER","12132515.04","110","110"
"2018","WATER AND POWER","SOFTWARE ONE, INC.","12114462.45","158","158"
"2018","WATER AND POWER","HAZEN AND SAWYER, PC","12107469.51","337","337"
"2013","WATER AND POWER","UNITED STATES DEPARTMENT OF ENERGY-FRC","12084222","24","24"
"2019","WATER AND POWER","ANIXTER, INC","11982496.16","565","565"
"2022","WATER AND POWER","WHITE ROCK USA LTD.","11982357.99","4","4"
"2022","WATER AND POWER","ITRON, INC","11944557.84","68","68"
"2018","WATER AND POWER","REYNOLDS BUICK, INC.","11929715.52","297","297"
"2017","WATER AND POWER","ORACLE AMERICA, INC","11865799.82","62","62"
"2022","WATER AND POWER","ONESOURCE DISTRIBUTORS","11826319.41","398","398"
"2014","WATER AND POWER","UNITED STATES DEPARTMENT OF ENERGY-FRC","11777014.5","23","23"
"2018","WATER AND POWER","ORACLE CORPORATION","11758867.66","19","19"
"2013","WATER AND POWER","POWEREX C/O OFFICE OF THE TREASURER","11752381.91","20","20"
"2015","WATER AND POWER","HPD INC","11690441.55","1043","1043"
"2013","WATER AND POWER","SPINIELLO COMPANIES","11668054.31","11","11"
"2012","WATER AND POWER","ONESOURCE DISTRIBUTORS","11657628.07","890","890"
"2022","WATER AND POWER","PAVECO CONSTRUCTION, INC.","11657484.05","453","453"
"2015","WATER AND POWER","DEFINITI HEALTHCARE MANAGEMENT","11611082.39","144","144"
"2012","WATER AND POWER","UNITED STATES DEPARTMENT OF ENERGY-FRC","11586011","24","24"
"2016","WATER AND POWER","NOBLE AMERICAS GAS & POWER","11520485.47","12","12"
"2016","WATER AND POWER","PETRELLI ELECTRIC, INC.","11467378.39","79","79"
"2015","WATER AND POWER","QUINN COMPANY","11413308.61","570","570"
"2017","WATER AND POWER","UNITED STATES DEPARTMENT OF ENERGY-FRC","11340083.2","23","23"
"2015","WATER AND POWER","PRICEWATERHOUSECOOPERS","11294136.72","39","39"
"2018","WATER AND POWER","NORTHWEST PIPE CO","11283369.45","20","20"
"2012","WATER AND POWER","HPD INC","11246058.57","979","979"
"2013","WATER AND POWER","WEBCOR/OBAYASHI/LYLES AJV","11241762.94","6","6"
"2015","WATER AND POWER","UNITED STATES DEPARTMENT OF ENERGY-FRC","11233610","27","27"
"2016","WATER AND POWER","STATE BOARD OF EQUALIZATION","11158611.61","52","52"
"2020","WATER AND POWER","ANIXTER, INC","11156082.54","456","456"
"2012","WATER AND POWER","COMPUCOM SYSTEMS, INC.","11079452.61","158","158"
"2020","WATER AND POWER","US DEPT OF ENERGY-WAPA C/O OFFICE OF THE TREASURER","11036859.15","16","16"
"2018","WATER AND POWER","MARSH USA INC","11034448.52","4","4"
"2018","WATER AND POWER","RE BARREN RIDGE 1 LLC","10985932.68","11","11"
"2018","WATER AND POWER","ASSOCIATED READY MIXED CONCRETE, INC","10902517.35","5947","5947"
"2016","WATER AND POWER","HPD INC","10854192.85","953","953"
"2020","WATER AND POWER","SALT RIVER PROJECT C/O OFFICE OF THE TREASURER","10836775.05","11","11"
"2017","WATER AND POWER","ULTRA RESOURCES, INC","10828183.93","7","7"
"2020","WATER AND POWER","SE PIPE LINE CONSTRUCTION COMPANY","10784314.26","371","371"
"2015","WATER AND POWER","GE INTERNATIONAL, INC.","10755815.98","42","42"
"2022","WATER AND POWER","GENERAL ELECTRIC PACKAGED POWER, LLC","10724453.48","40","40"
"2015","WATER AND POWER","GE PACKAGED POWER INC","10690210","2","2"
"2015","WATER AND POWER","FALCON FUELS, INC.","10672522.59","990","990"
"2016","WATER AND POWER","WEBCOR/OBAYASHI/LYLES AJV","10615283.99","52","52"
"2016","WATER AND POWER","UNITED STATES DEPARTMENT OF ENERGY-FRC","10544204","21","21"
"2017","WATER AND POWER","SOFTWARE ONE, INC.","10493644.28","144","144"
"2017","WATER AND POWER","FIRST AMERICAN TITLE INSURANCE COMPANY","10450000","2","2"
"2016","WATER AND POWER","ASSOCIATED READY MIXED CONCRETE, INC","10438834.39","5799","5799"
"2018","WATER AND POWER","WORLEY PARSONS GROUP, INC","10427053.11","161","161"
"2020","WATER AND POWER","BARNARD CONST. CO C/O OFFICE OF THE TREASURER","10357737.15","3","3"
"2017","WATER AND POWER","PAVECO CONSTRUCTION, INC.","10321545.65","1420","1420"
"2019","WATER AND POWER","UTILITY TREE SERVICE, LLC","10233656.06","621","621"
"2015","WATER AND POWER","ALTEC INDUSTRIES, INC.","10223209.62","27","27"
"2020","WATER AND POWER","AON (BERMUDA) LTD","10160000","7","7"
"2021","WATER AND POWER","PAVECO CONSTRUCTION, INC.","10130024.57","367","367"
"2013","WATER AND POWER","FALCON FUELS, INC.","10129527.06","549","549"
"2016","WATER AND POWER","COMPUCOM SYSTEMS","10129031.56","149","149"
"2018","WATER AND POWER","TRC SOLUTIONS, INC.","10097966.81","10","10"
"2014","WATER AND POWER","DEFINITI HEALTHCARE MANAGEMENT","10096441.41","131","131"
"2014","WATER AND POWER","FALCON FUELS, INC.","10088250.10","565","565"
"2021","WATER AND POWER","ITRON, INC","10042273.90","52","52"
"2019","WATER AND POWER","CHEVROLET OF WATSONVILLE","10020955.15","285","285"
"2013","WATER AND POWER","SEMPRA ENERGY TRADING CORP C/O OFFICE OF THE TREASURER","10019217.06","12","12"
"2017","WATER AND POWER","SO CAL GAS CO","10017704.26","60","60"
"2012","WATER AND POWER","SEMPRA ENERGY TRADING CORP C/O OFFICE OF THE TREASURER","10002889.80","12","12"
"2012","WATER AND POWER","FALCON FUELS, INC.","9966344.27","536","536"
"2020","WATER AND POWER","STATE BOARD OF EQUALIZATION","9920207.92","23","23"
"2020","WATER AND POWER","SOUTHERN CALIFORNIA EDISON C/O OFFICE OF THE TREASURER","9847680","5","5"
"2012","WATER AND POWER","GE INTERNATIONAL, INC.","9823787.33","26","26"
"2015","WATER AND POWER","AON RISK INS SERVICES WEST INC DBA AON RISK SERVICES OF","9806465.02","10","10"
"2017","WATER AND POWER","ALTEC INDUSTRIES, INC.","9785581.38","101","101"
"2022","WATER AND POWER","SRPAI&PD ELEC.SYS.REVENUE FUND C/O OFFICE OF THE TREASURER","9707430.11","5","5"
"2019","WATER AND POWER","LOS ANGELES TRUCK CENTERS LLC LOS ANGELES FREIGHTLINER","9644041.66","98","98"
"2020","WATER AND POWER","INTERNATIONAL BUSINESS MACHINES","9609674.52","18","18"
"2019","WATER AND POWER","FRONTIER-KEMPER CONSTRUCTORS, INC.","9549774.00","5","5"
"2015","WATER AND POWER","ASSOCIATED READY MIXED CONCRETE, INC","9506216.37","4779","4779"
"2018","WATER AND POWER","UTILITY TREE SERVICE INC","9478362.77","824","824"
"2013","WATER AND POWER","ETHOSENERGY FIELD SERVICES, LLC","9447330.56","8","8"
"2016","WATER AND POWER","HENKELS & MC COY, INC","9423928.56","134","134"
"2012","WATER AND POWER","VOITH HYDRO INC","9374843.02","11","11"
"2017","WATER AND POWER","WORLEY PARSONS GROUP, INC","9371103.51","136","136"
"2015","WATER AND POWER","HERTZ EQUIPMENT RENTAL CORP","9365691.87","4229","4229"
"2018","WATER AND POWER","WESCO DISTRIBUTION INC.","9352399.63","466","466"
"2019","WATER AND POWER","BARNARD CONST. CO C/O OFFICE OF THE TREASURER","9317204.03","2","2"
"2016","WATER AND POWER","DEFINITI HEALTHCARE MANAGEMENT","9315416.34","135","135"
"2012","WATER AND POWER","DAVEY TREE SURGERY COMPANY","9274113.85","489","489"
"2013","WATER AND POWER","LOS ANGELES UNIFIED SCHOOL DISTRICT","9261680.70","59","59"
"2015","WATER AND POWER","COMPUCOM SYSTEMS","9257692.50","171","171"
"2018","WATER AND POWER","KIEWIT INFRASTRUCTURE WEST CO","9239392.44","1","1"
"2016","WATER AND POWER","ULTRA RESOURCES, INC","9202141.05","10","10"
"2017","WATER AND POWER","ABB, INC.","9191079","4","4"
"2019","WATER AND POWER","KERN RIVER GAS TRANSM CO C/O OFFICE OF THE TREASURER","9185358.82","12","12"
"2012","WATER AND POWER","TAIHAN ELECTRIC USA LTD","9165215.08","23","23"
"2017","WATER AND POWER","ASSOCIATED READY MIXED CONCRETE, INC","9160122.04","5051","5051"
"2016","WATER AND POWER","STEVE P. RADOS, INC","9158260.53","19","19"
"2020","WATER AND POWER","TAIHAN ELECTRIC USA LTD","9150219.52","10","10"
"2017","WATER AND POWER","ORACLE CORPORATION","9128585.16","9","9"
"2016","WATER AND POWER","FALCON FUELS, INC.","9089723.69","1017","1017"
"2016","WATER AND POWER","WORLEY PARSONS GROUP, INC","9057848.71","112","112"
"2020","WATER AND POWER","UNION BANK, BAKERSFIELD, CA C/O OFFICE OF THE TREASURER","9025731.51","2","2"
"2022","WATER AND POWER","FALCON FUELS, INC.","8985252.10","622","622"
"2021","WATER AND POWER","WESCO DISTRIBUTION INC.","8972954.66","373","373"
"2017","WATER AND POWER","KIEWIT POWER CONSTRUCTORS CO","8908629","8","8"
"2017","WATER AND POWER","DEFINITI HEALTHCARE MANAGEMENT","8885946.72","147","147"
"2012","WATER AND POWER","GENEX SERVICES INC","8847776.54","103","103"
"2021","WATER AND POWER","PCS ENERGY LLC","8845000","104","104"
"2018","WATER AND POWER","SEL ENGINEERING SERVICES, INC","8837945.25","5","5"
"2022","WATER AND POWER","W.A. RASIC CONSTRUCTION CO.","8778038.56","6","6"
"2019","WATER AND POWER","CITADEL ENERGY MARKETING LLC","8736070","8","8"
"2018","WATER AND POWER","L-3 COMMUNICATIONS MARIPRO INC","8727135.84","2","2"
"2019","WATER AND POWER","RE BARREN RIDGE 1 LLC","8693540.33","10","10"
"2022","WATER AND POWER","WESCO DISTRIBUTION INC.","8657842.36","402","402"
"2014","WATER AND POWER","HERTZ EQUIPMENT RENTAL CORP","8638179.72","5393","5393"
"2018","WATER AND POWER","DEFINITI HEALTHCARE MANAGEMENT","8606241.67","148","148"
"2013","WATER AND POWER","ALSTOM POWER, INC","8595597.79","11","11"
"2022","WATER AND POWER","UNITED STATES DEPARTMENT OF ENERGY-FRC","8589538","12","12"
"2017","WATER AND POWER","RE BARREN RIDGE 1 LLC","8572912.43","13","13"
"2020","WATER AND POWER","UNITED STATES DEPARTMENT OF ENERGY-FRC","8565008","16","16"
"2022","WATER AND POWER","ASSOCIATED READY MIXED CONCRETE, INC","8554020.24","4711","4711"
"2019","WATER AND POWER","KUBOTA CORPORATION","8540742.70","6","6"
"2016","WATER AND POWER","PARKIA INC","8505144.67","11","11"
"2016","WATER AND POWER","SUMITOMO ELECTRIC USA, INC.","8473959.59","11","11"
"2019","WATER AND POWER","MARSH USA INC","8462331.86","3","3"
"2017","WATER AND POWER","ANIXTER, INC","8447190.16","372","372"
"2022","WATER AND POWER","CA. ARB AUCTION & RESERVE SALE FINANCIAL SVCS ADMINISTRATOR","8445637.1","2","2"
"2012","WATER AND POWER","LOS ANGELES COMMUNITY COLLEGE DISTRICT","8437572.63","5","5"
"2013","WATER AND POWER","DAVEY TREE SURGERY COMPANY","8423286.26","497","497"
"2019","WATER AND POWER","DEFINITI HEALTHCARE MANAGEMENT","8411048.97","146","146"
"2017","WATER AND POWER","NORTHWEST EXCAVATING, INC.","8374496.36","104","104"
"2014","WATER AND POWER","MOTOROLA SOLUTIONS, INC","8349514.23","4","4"
"2022","WATER AND POWER","TRC SOLUTIONS, INC.","8346074.58","7","7"
"2020","WATER AND POWER","K2 COMMODITIES, LLC","8296490.67","8","8"
"2012","WATER AND POWER","ASPLUNDH CONSTRUCTION CORP","8293951.90","53","53"
"2015","WATER AND POWER","BARNARD CONSTRUCTION CO-ESCROW C/O OFFICE OF THE TREASURER","8291478.01","15","15"
"2022","WATER AND POWER","ORACLE CORPORATION","8234841.59","57","57"
"2017","WATER AND POWER","KDG CONSTRUCTION CONSULTING","8220459.88","26","26"
"2022","WATER AND POWER","VELOCITY TRUCK CENTERS LOS ANGELES TRUCK CENTERS LLC","8184576.63","239","239"
"2020","WATER AND POWER","FALCON FUELS, INC.","8183644.36","881","881"
"2022","WATER AND POWER","PCS ENERGY LLC","8113000","100","100"
"2022","WATER AND POWER","US DEPT OF ENERGY-WAPA C/O OFFICE OF THE TREASURER","8050194.71","11","11"
"2014","WATER AND POWER","ASSOCIATED READY MIXED CONCRETE, INC","8029708.93","4443","4443"
"2018","WATER AND POWER","BEACON SOLAR 1, LLC","8020943.82","13","13"
"2020","WATER AND POWER","SO. CAL. EDISON COMPANY","8007575.55","286","286"
"2018","WATER AND POWER","W.A. RASIC / SAK JOINT VENTURE","7990028.46","10","10"
"2013","WATER AND POWER","HERTZ EQUIPMENT RENTAL CORP","7976585.12","5034","5034"
"2017","WATER AND POWER","MLADEN BUNTICH CONSTRUCTION COMPANY, INC","7969164.74","11","11"
"2013","WATER AND POWER","ITRON, INC","7902385.23","78","78"
"2016","WATER AND POWER","LOS ANGELES UNIFIED SCHOOL DISTRICT - LAUSD","7892440.82","22","22"
