"fiscal_year","change_type","activity_type","activity","amount_in_thousands","absolute_amount_in_thousands"
"2011","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Motor Vehicle In-Lieu Taxes","7631","7631"
"2012","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Motor Vehicle In-Lieu Taxes","2026","2026"
"2013","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Motor Vehicle In-Lieu Taxes","2099","2099"
"2014","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Motor Vehicle In-Lieu Taxes","1737","1737"
"2005","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Other Grants and Contributions","16059","16059"
"2006","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Other Grants and Contributions","14297","14297"
"2007","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Other Grants and Contributions","33525","33525"
"2008","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Other Grants and Contributions","32064","32064"
"2009","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Other Grants and Contributions","19703","19703"
"2010","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Other Grants and Contributions","44552","44552"
"2011","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Other Grants and Contributions","45073","45073"
"2012","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Other Grants and Contributions","43403","43403"
"2013","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Other Grants and Contributions","18726","18726"
"2014","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Other Grants and Contributions","53412","53412"
"2005","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Investment Earnings","29828","29828"
"2006","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Investment Earnings","21555","21555"
"2007","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Investment Earnings","72559","72559"
"2008","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Investment Earnings","80538","80538"
"2009","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Investment Earnings","46772","46772"
"2010","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Investment Earnings","27372","27372"
"2011","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Investment Earnings","18814","18814"
"2012","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Investment Earnings","21879","21879"
"2013","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Investment Earnings","-298","298"
"2014","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Investment Earnings","19935","19935"
"2005","General Revenues and Other Change in Net Position","Governmental Activities","Other General Revenues","30687","30687"
"2006","General Revenues and Other Change in Net Position","Governmental Activities","Other General Revenues","38795","38795"
"2007","General Revenues and Other Change in Net Position","Governmental Activities","Other General Revenues","34367","34367"
"2008","General Revenues and Other Change in Net Position","Governmental Activities","Other General Revenues","64285","64285"
"2009","General Revenues and Other Change in Net Position","Governmental Activities","Other General Revenues","60879","60879"
"2010","General Revenues and Other Change in Net Position","Governmental Activities","Other General Revenues","54005","54005"
"2011","General Revenues and Other Change in Net Position","Governmental Activities","Other General Revenues","75838","75838"
"2012","General Revenues and Other Change in Net Position","Governmental Activities","Other General Revenues","91735","91735"
"2013","General Revenues and Other Change in Net Position","Governmental Activities","Other General Revenues","105850","105850"
"2014","General Revenues and Other Change in Net Position","Governmental Activities","Other General Revenues","117579","117579"
"2005","General Revenues and Other Change in Net Position","Governmental Activities","Transfers","190198","190198"
"2006","General Revenues and Other Change in Net Position","Governmental Activities","Transfers","185888","185888"
"2007","General Revenues and Other Change in Net Position","Governmental Activities","Transfers","204667","204667"
"2008","General Revenues and Other Change in Net Position","Governmental Activities","Transfers","215407","215407"
"2009","General Revenues and Other Change in Net Position","Governmental Activities","Transfers","159150","159150"
"2010","General Revenues and Other Change in Net Position","Governmental Activities","Transfers","220475","220475"
"2011","General Revenues and Other Change in Net Position","Governmental Activities","Transfers","258815","258815"
"2012","General Revenues and Other Change in Net Position","Governmental Activities","Transfers","250077","250077"
"2013","General Revenues and Other Change in Net Position","Governmental Activities","Transfers","246534","246534"
"2014","General Revenues and Other Change in Net Position","Governmental Activities","Transfers","253000","253000"
"2005","General Revenues and Other Change in Net Position","Extraordinary Items","Gain (Loss) on Loan Settlement","0","0"
"2006","General Revenues and Other Change in Net Position","Extraordinary Items","Gain (Loss) on Loan Settlement","0","0"
"2007","General Revenues and Other Change in Net Position","Extraordinary Items","Gain (Loss) on Loan Settlement","0","0"
"2008","General Revenues and Other Change in Net Position","Extraordinary Items","Gain (Loss) on Loan Settlement","0","0"
"2009","General Revenues and Other Change in Net Position","Extraordinary Items","Gain (Loss) on Loan Settlement","0","0"
"2010","General Revenues and Other Change in Net Position","Extraordinary Items","Gain (Loss) on Loan Settlement","0","0"
"2011","General Revenues and Other Change in Net Position","Extraordinary Items","Gain (Loss) on Loan Settlement","-47007","47007"
"2012","General Revenues and Other Change in Net Position","Extraordinary Items","Gain (Loss) on Loan Settlement","0","0"
"2013","General Revenues and Other Change in Net Position","Extraordinary Items","Gain (Loss) on Loan Settlement","0","0"
"2014","General Revenues and Other Change in Net Position","Extraordinary Items","Gain (Loss) on Loan Settlement","0","0"
"2005","General Revenues and Other Change in Net Position","Extraordinary Items","Transfer of Properties from CRA","0","0"
"2006","General Revenues and Other Change in Net Position","Extraordinary Items","Transfer of Properties from CRA","0","0"
"2007","General Revenues and Other Change in Net Position","Extraordinary Items","Transfer of Properties from CRA","0","0"
"2008","General Revenues and Other Change in Net Position","Extraordinary Items","Transfer of Properties from CRA","0","0"
"2009","General Revenues and Other Change in Net Position","Extraordinary Items","Transfer of Properties from CRA","0","0"
"2010","General Revenues and Other Change in Net Position","Extraordinary Items","Transfer of Properties from CRA","0","0"
"2011","General Revenues and Other Change in Net Position","Extraordinary Items","Transfer of Properties from CRA","93410","93410"
"2012","General Revenues and Other Change in Net Position","Extraordinary Items","Transfer of Properties from CRA","0","0"
"2013","General Revenues and Other Change in Net Position","Extraordinary Items","Transfer of Properties from CRA","0","0"
"2014","General Revenues and Other Change in Net Position","Extraordinary Items","Transfer of Properties from CRA","0","0"
"2005","General Revenues and Other Change in Net Position","Extraordinary Items","Return of Properties to CRA","0","0"
"2006","General Revenues and Other Change in Net Position","Extraordinary Items","Return of Properties to CRA","0","0"
"2007","General Revenues and Other Change in Net Position","Extraordinary Items","Return of Properties to CRA","0","0"
"2008","General Revenues and Other Change in Net Position","Extraordinary Items","Return of Properties to CRA","0","0"
"2009","General Revenues and Other Change in Net Position","Extraordinary Items","Return of Properties to CRA","0","0"
"2010","General Revenues and Other Change in Net Position","Extraordinary Items","Return of Properties to CRA","0","0"
"2011","General Revenues and Other Change in Net Position","Extraordinary Items","Return of Properties to CRA","0","0"
"2012","General Revenues and Other Change in Net Position","Extraordinary Items","Return of Properties to CRA","0","0"
"2013","General Revenues and Other Change in Net Position","Extraordinary Items","Return of Properties to CRA","-93191","93191"
"2014","General Revenues and Other Change in Net Position","Extraordinary Items","Return of Properties to CRA","0","0"
"2005","General Revenues and Other Change in Net Position","Extraordinary Items","Transfer of Assets from CRA","0","0"
"2006","General Revenues and Other Change in Net Position","Extraordinary Items","Transfer of Assets from CRA","0","0"
"2007","General Revenues and Other Change in Net Position","Extraordinary Items","Transfer of Assets from CRA","0","0"
"2008","General Revenues and Other Change in Net Position","Extraordinary Items","Transfer of Assets from CRA","0","0"
"2009","General Revenues and Other Change in Net Position","Extraordinary Items","Transfer of Assets from CRA","0","0"
"2010","General Revenues and Other Change in Net Position","Extraordinary Items","Transfer of Assets from CRA","0","0"
"2011","General Revenues and Other Change in Net Position","Extraordinary Items","Transfer of Assets from CRA","0","0"
"2012","General Revenues and Other Change in Net Position","Extraordinary Items","Transfer of Assets from CRA","0","0"
"2013","General Revenues and Other Change in Net Position","Extraordinary Items","Transfer of Assets from CRA","205265","205265"
"2014","General Revenues and Other Change in Net Position","Extraordinary Items","Transfer of Assets from CRA","44155","44155"
"2005","General Revenues and Other Change in Net Position","Business-type Activities","Unrestricted Investment Earnings","0","0"
"2006","General Revenues and Other Change in Net Position","Business-type Activities","Unrestricted Investment Earnings","0","0"
"2007","General Revenues and Other Change in Net Position","Business-type Activities","Unrestricted Investment Earnings","0","0"
"2008","General Revenues and Other Change in Net Position","Business-type Activities","Unrestricted Investment Earnings","0","0"
"2009","General Revenues and Other Change in Net Position","Business-type Activities","Unrestricted Investment Earnings","0","0"
"2010","General Revenues and Other Change in Net Position","Business-type Activities","Unrestricted Investment Earnings","0","0"
"2011","General Revenues and Other Change in Net Position","Business-type Activities","Unrestricted Investment Earnings","0","0"
"2012","General Revenues and Other Change in Net Position","Business-type Activities","Unrestricted Investment Earnings","0","0"
"2013","General Revenues and Other Change in Net Position","Business-type Activities","Unrestricted Investment Earnings","0","0"
"2014","General Revenues and Other Change in Net Position","Business-type Activities","Unrestricted Investment Earnings","98264","98264"
"2005","General Revenues and Other Change in Net Position","Business-type Activities","Other General Revenues","0","0"
"2006","General Revenues and Other Change in Net Position","Business-type Activities","Other General Revenues","0","0"
"2007","General Revenues and Other Change in Net Position","Business-type Activities","Other General Revenues","0","0"
"2008","General Revenues and Other Change in Net Position","Business-type Activities","Other General Revenues","0","0"
"2009","General Revenues and Other Change in Net Position","Business-type Activities","Other General Revenues","0","0"
"2010","General Revenues and Other Change in Net Position","Business-type Activities","Other General Revenues","0","0"
"2011","General Revenues and Other Change in Net Position","Business-type Activities","Other General Revenues","0","0"
"2012","General Revenues and Other Change in Net Position","Business-type Activities","Other General Revenues","0","0"
"2013","General Revenues and Other Change in Net Position","Business-type Activities","Other General Revenues","0","0"
"2014","General Revenues and Other Change in Net Position","Business-type Activities","Other General Revenues","122160","122160"
"2005","General Revenues and Other Change in Net Position","Business-type Activities","Transfers","-190198","190198"
"2006","General Revenues and Other Change in Net Position","Business-type Activities","Transfers","-185888","185888"
"2007","General Revenues and Other Change in Net Position","Business-type Activities","Transfers","-204667","204667"
"2008","General Revenues and Other Change in Net Position","Business-type Activities","Transfers","-215407","215407"
"2009","General Revenues and Other Change in Net Position","Business-type Activities","Transfers","-159150","159150"
"2010","General Revenues and Other Change in Net Position","Business-type Activities","Transfers","-220475","220475"
"2011","General Revenues and Other Change in Net Position","Business-type Activities","Transfers","-258815","258815"
"2012","General Revenues and Other Change in Net Position","Business-type Activities","Transfers","-250077","250077"
"2013","General Revenues and Other Change in Net Position","Business-type Activities","Transfers","-246534","246534"
"2014","General Revenues and Other Change in Net Position","Business-type Activities","Transfers","-253000","253000"
"2005","General Revenues and Other Change in Net Position","Business-type Activities","Pollution Remediation Liabilities Adjustment","0","0"
"2006","General Revenues and Other Change in Net Position","Business-type Activities","Pollution Remediation Liabilities Adjustment","0","0"
"2007","General Revenues and Other Change in Net Position","Business-type Activities","Pollution Remediation Liabilities Adjustment","0","0"
"2008","General Revenues and Other Change in Net Position","Business-type Activities","Pollution Remediation Liabilities Adjustment","0","0"
"2009","General Revenues and Other Change in Net Position","Business-type Activities","Pollution Remediation Liabilities Adjustment","0","0"
"2010","General Revenues and Other Change in Net Position","Business-type Activities","Pollution Remediation Liabilities Adjustment","0","0"
"2011","General Revenues and Other Change in Net Position","Business-type Activities","Pollution Remediation Liabilities Adjustment","0","0"
"2012","General Revenues and Other Change in Net Position","Business-type Activities","Pollution Remediation Liabilities Adjustment","0","0"
"2013","General Revenues and Other Change in Net Position","Business-type Activities","Pollution Remediation Liabilities Adjustment","13387","13387"
"2014","General Revenues and Other Change in Net Position","Business-type Activities","Pollution Remediation Liabilities Adjustment","15002","15002"
