"study_id","study_class","treatment_focus_study","total_n_randomized","outcome_measure","outcome_measure_definition","arm","arm_n_randomized","treatment_name","ncptsd_treatment_name","treatment_focus_arm","treatment_focus_subclass","psychotherapy","psychotherapy_subclass","pharmacotherapy","pharmacotherapy_subclass","cih","cih_subclass","nonpharmacologic_biologic","nonpharmacologic_cognitive","control","other","collaborative_care","format","delivery_method","analysis_type","assessment_point_bucket","assessment_point","outcome_measure_score","outcome_measure_comments","military_status","active_duty_military","veteran","community","female_percent","female_percent_detail","male_percent","trauma_type","trauma_detail","risk_of_bias_rating_study_level","citation","ptsdpubs_id","year_added_to_ptsd_repository"
"mithoefer2018_Columbia_B_0_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Positive ideation","Score ≥ 1 on suicidal ideation","B","7","MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In Person","ITT","End of Treatment","0","0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_B_0_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Serious ideation","Score of 4 or 5 on suicidal ideation","B","7","MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In Person","ITT","End of Treatment","0","0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_B_0_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Positive behavior","Score ≥ 1 on suicidal behavior","B","7","MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In Person","ITT","End of Treatment","0","0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_B_4_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Positive ideation","Score ≥ 1 on suicidal ideation","B","7","MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In Person","ITT","Assessment at <3 Months","4","0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_B_4_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Serious ideation","Score of 4 or 5 on suicidal ideation","B","7","MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In Person","ITT","Assessment at <3 Months","4","0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_B_4_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Positive behavior","Score ≥ 1 on suicidal behavior","B","7","MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In Person","ITT","Assessment at <3 Months","4","0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_B_Baseline_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Positive ideation","Score ≥ 1 on suicidal ideation","B","7","MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In Person","ITT","Baseline",,"0.143","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_B_Baseline_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Serious ideation","Score of 4 or 5 on suicidal ideation","B","7","MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In Person","ITT","Baseline",,"0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_B_Baseline_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Positive behavior","Score ≥ 1 on suicidal behavior","B","7","MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In Person","ITT","Baseline",,"0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_C_0_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Positive ideation","Score ≥ 1 on suicidal ideation","C","7","Low-dose MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","ITT","End of Treatment","0","0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_C_0_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Serious ideation","Score of 4 or 5 on suicidal ideation","C","7","Low-dose MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","ITT","End of Treatment","0","0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_C_0_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Positive behavior","Score ≥ 1 on suicidal behavior","C","7","Low-dose MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","ITT","End of Treatment","0","0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_C_4_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Positive ideation","Score ≥ 1 on suicidal ideation","C","7","Low-dose MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","ITT","Assessment at <3 Months","4","0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_C_4_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Serious ideation","Score of 4 or 5 on suicidal ideation","C","7","Low-dose MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","ITT","Assessment at <3 Months","4","0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_C_4_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Positive behavior","Score ≥ 1 on suicidal behavior","C","7","Low-dose MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","ITT","Assessment at <3 Months","4","0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_C_Baseline_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Positive ideation","Score ≥ 1 on suicidal ideation","C","7","Low-dose MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","ITT","Baseline",,"0.286","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_C_Baseline_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Serious ideation","Score of 4 or 5 on suicidal ideation","C","7","Low-dose MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","ITT","Baseline",,"0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_C_Baseline_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Positive behavior","Score ≥ 1 on suicidal behavior","C","7","Low-dose MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","ITT","Baseline",,"0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"otalora2018_Columbia_A_0_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","28","Columbia Suicide Severity Rating Scale (C-SSRS): Positive ideation",">0","A","13","Psychotherapy + higher-dose MDMA","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","End of Treatment","0","0.5","""There  were  no  reports  of  suicidal  behavior  during the study or long-term follow-up."" This is reflected in the data entered for Suicide harms (0 attempted suicides and 0 completed suicides).","Community","0","0","1","0.679",,"0.321","Mixed","Combat-related; Child physical abuse; Child sexual abuse; Accidents; Community/school violence; Other (ritual abuse, witnessing a crime)","Medium","Ot'alora GM, Grigsby J, Poulter B, et al. 3,4-methylenedioxymethamphetamine-assisted psychotherapy for treatment of chronic posttraumatic stress disorder: a randomized phase 2 controlled trial. J Psychopharmacol. 2018 Dec;32(12):1295-307. doi: 10.1177/0269881118806297. PMID: 30371148.",,"2020"
"otalora2018_Columbia_A_0_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","28","Columbia Suicide Severity Rating Scale (C-SSRS): Serious ideation","4 or 5","A","13","Psychotherapy + higher-dose MDMA","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","End of Treatment","0","0.083","""There  were  no  reports  of  suicidal  behavior  during the study or long-term follow-up."" This is reflected in the data entered for Suicide harms (0 attempted suicides and 0 completed suicides).","Community","0","0","1","0.679",,"0.321","Mixed","Combat-related; Child physical abuse; Child sexual abuse; Accidents; Community/school violence; Other (ritual abuse, witnessing a crime)","Medium","Ot'alora GM, Grigsby J, Poulter B, et al. 3,4-methylenedioxymethamphetamine-assisted psychotherapy for treatment of chronic posttraumatic stress disorder: a randomized phase 2 controlled trial. J Psychopharmacol. 2018 Dec;32(12):1295-307. doi: 10.1177/0269881118806297. PMID: 30371148.",,"2020"
"otalora2018_Columbia_A_0_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","28","Columbia Suicide Severity Rating Scale (C-SSRS): Positive behavior",">0","A","13","Psychotherapy + higher-dose MDMA","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","End of Treatment","0","0","""There  were  no  reports  of  suicidal  behavior  during the study or long-term follow-up."" This is reflected in the data entered for Suicide harms (0 attempted suicides and 0 completed suicides).","Community","0","0","1","0.679",,"0.321","Mixed","Combat-related; Child physical abuse; Child sexual abuse; Accidents; Community/school violence; Other (ritual abuse, witnessing a crime)","Medium","Ot'alora GM, Grigsby J, Poulter B, et al. 3,4-methylenedioxymethamphetamine-assisted psychotherapy for treatment of chronic posttraumatic stress disorder: a randomized phase 2 controlled trial. J Psychopharmacol. 2018 Dec;32(12):1295-307. doi: 10.1177/0269881118806297. PMID: 30371148.",,"2020"
"otalora2018_Columbia_A_Baseline_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","28","Columbia Suicide Severity Rating Scale (C-SSRS): Positive ideation",">0","A","13","Psychotherapy + higher-dose MDMA","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","Baseline",,"0.538","""There  were  no  reports  of  suicidal  behavior  during the study or long-term follow-up."" This is reflected in the data entered for Suicide harms (0 attempted suicides and 0 completed suicides).","Community","0","0","1","0.679",,"0.321","Mixed","Combat-related; Child physical abuse; Child sexual abuse; Accidents; Community/school violence; Other (ritual abuse, witnessing a crime)","Medium","Ot'alora GM, Grigsby J, Poulter B, et al. 3,4-methylenedioxymethamphetamine-assisted psychotherapy for treatment of chronic posttraumatic stress disorder: a randomized phase 2 controlled trial. J Psychopharmacol. 2018 Dec;32(12):1295-307. doi: 10.1177/0269881118806297. PMID: 30371148.",,"2020"
"otalora2018_Columbia_A_Baseline_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","28","Columbia Suicide Severity Rating Scale (C-SSRS): Serious ideation","4 or 5","A","13","Psychotherapy + higher-dose MDMA","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","Baseline",,"0","""There  were  no  reports  of  suicidal  behavior  during the study or long-term follow-up."" This is reflected in the data entered for Suicide harms (0 attempted suicides and 0 completed suicides).","Community","0","0","1","0.679",,"0.321","Mixed","Combat-related; Child physical abuse; Child sexual abuse; Accidents; Community/school violence; Other (ritual abuse, witnessing a crime)","Medium","Ot'alora GM, Grigsby J, Poulter B, et al. 3,4-methylenedioxymethamphetamine-assisted psychotherapy for treatment of chronic posttraumatic stress disorder: a randomized phase 2 controlled trial. J Psychopharmacol. 2018 Dec;32(12):1295-307. doi: 10.1177/0269881118806297. PMID: 30371148.",,"2020"
"otalora2018_Columbia_A_Baseline_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","28","Columbia Suicide Severity Rating Scale (C-SSRS): Positive behavior",">0","A","13","Psychotherapy + higher-dose MDMA","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","Baseline",,"0","""There  were  no  reports  of  suicidal  behavior  during the study or long-term follow-up."" This is reflected in the data entered for Suicide harms (0 attempted suicides and 0 completed suicides).","Community","0","0","1","0.679",,"0.321","Mixed","Combat-related; Child physical abuse; Child sexual abuse; Accidents; Community/school violence; Other (ritual abuse, witnessing a crime)","Medium","Ot'alora GM, Grigsby J, Poulter B, et al. 3,4-methylenedioxymethamphetamine-assisted psychotherapy for treatment of chronic posttraumatic stress disorder: a randomized phase 2 controlled trial. J Psychopharmacol. 2018 Dec;32(12):1295-307. doi: 10.1177/0269881118806297. PMID: 30371148.",,"2020"
"otalora2018_Columbia_B_0_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","28","Columbia Suicide Severity Rating Scale (C-SSRS): Positive ideation",">0","B","9","Psychotherapy + lower-dose MDMA","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","End of Treatment","0","0.444","""There  were  no  reports  of  suicidal  behavior  during the study or long-term follow-up."" This is reflected in the data entered for Suicide harms (0 attempted suicides and 0 completed suicides).","Community","0","0","1","0.679",,"0.321","Mixed","Combat-related; Child physical abuse; Child sexual abuse; Accidents; Community/school violence; Other (ritual abuse, witnessing a crime)","Medium","Ot'alora GM, Grigsby J, Poulter B, et al. 3,4-methylenedioxymethamphetamine-assisted psychotherapy for treatment of chronic posttraumatic stress disorder: a randomized phase 2 controlled trial. J Psychopharmacol. 2018 Dec;32(12):1295-307. doi: 10.1177/0269881118806297. PMID: 30371148.",,"2020"
"otalora2018_Columbia_B_0_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","28","Columbia Suicide Severity Rating Scale (C-SSRS): Serious ideation","4 or 5","B","9","Psychotherapy + lower-dose MDMA","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","End of Treatment","0","0","""There  were  no  reports  of  suicidal  behavior  during the study or long-term follow-up."" This is reflected in the data entered for Suicide harms (0 attempted suicides and 0 completed suicides).","Community","0","0","1","0.679",,"0.321","Mixed","Combat-related; Child physical abuse; Child sexual abuse; Accidents; Community/school violence; Other (ritual abuse, witnessing a crime)","Medium","Ot'alora GM, Grigsby J, Poulter B, et al. 3,4-methylenedioxymethamphetamine-assisted psychotherapy for treatment of chronic posttraumatic stress disorder: a randomized phase 2 controlled trial. J Psychopharmacol. 2018 Dec;32(12):1295-307. doi: 10.1177/0269881118806297. PMID: 30371148.",,"2020"
"otalora2018_Columbia_B_0_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","28","Columbia Suicide Severity Rating Scale (C-SSRS): Positive behavior",">0","B","9","Psychotherapy + lower-dose MDMA","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","End of Treatment","0","0","""There  were  no  reports  of  suicidal  behavior  during the study or long-term follow-up."" This is reflected in the data entered for Suicide harms (0 attempted suicides and 0 completed suicides).","Community","0","0","1","0.679",,"0.321","Mixed","Combat-related; Child physical abuse; Child sexual abuse; Accidents; Community/school violence; Other (ritual abuse, witnessing a crime)","Medium","Ot'alora GM, Grigsby J, Poulter B, et al. 3,4-methylenedioxymethamphetamine-assisted psychotherapy for treatment of chronic posttraumatic stress disorder: a randomized phase 2 controlled trial. J Psychopharmacol. 2018 Dec;32(12):1295-307. doi: 10.1177/0269881118806297. PMID: 30371148.",,"2020"
