"study_id","study_class","treatment_focus_study_level","total_n_randomized","intervention_group","treatment_focus_arm_level","treatment_focus_subclass_arm_level","n_completed_outcome_measure","n_completed_outcome_measure_detail","publication_treatment_name","ncptsd_treatment_name","psychotherapy","psychotherapy_subclass","pharmacotherapy","pharmacotherapy_subclass","cih","cih_subclass","nonpharm_biologic","nonpharm_cognitive_therapy","control","other","collaborative_care","format","delivery_method","arm_n_randomized","outcome_assessment_type","ptsd_outcome_measure_simple","ptsd_outcome_measure_detail","analysis_type","method_for_handling_missing","statistical_analysis_method","assessment_point_category","assessment_point","measure_score_detail","measure_score_mean","measure_score_sd","measure_score_type_of_variance_measure","measure_score_variance_value_or_lower_bound","measure_score_variance_upper_bound","score_difference_from_baseline_detail","score_difference_baseline","score_difference_baseline_sd","score_difference_from_baseline_95_ci_lower_bound","score_difference_from_baseline_95_ci_upper_bound","effect_size_1_detail","effect_size_1_type","effect_size_1_value","effect_size_1_type_of_variance_measure","effect_size_1_variance_value_or_lower_bound","effect_size_1_variance_upper_bound","effect_size_1_p_value","effect_size_2_detail","effect_size_2_type","effect_size_2_value","effect_size_2_type_of_variance_measure","effect_size_2_variance_value_or_lower_bound","effect_size_2_variance_upper_bound","effect_size_2_p_value","def_dc_1","per_dc_change_1","additional_definitions_diag_change","def_cm_1","per_cm_response_1","additional_definitions_clinic_resp","military_status","percent_active_duty_military","percent_veteran","percent_community","female_percent","female_percent_qual","male_percent","trauma_type","trauma_detail","risk_of_bias_rating_study_level","citation","ptsdpubs_id","year_added_to_ptsd_repository"
"bomyea2015_CAPS_A_0_ITT","Nonpharmacologic cognitive","PTSD","42","A","PTSD",,"22",,"High Interference Control Training","Interference control training","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","Yes","No","No","No","Individual","In Person","22","Structured Clinical Interview","CAPS","CAPS","ITT","LOCF","Mixed-model ANOVA","End of Treatment","0",,"45.32","19.92",,,,,"-16.09",,,,,"Cohen's d","0.92",,,,"p<0.00",,,,,,,,"Not meeting criteria for PTSD according to CAPS","0.45",,"≥80% reduction in total PTSD symptoms","0.5",,"Community",,,"1","1",,"0","Rape/sexual assault",,"Medium","Bomyea J, Stein MB, Lang AJ. Interference control training for PTSD: A randomized controlled trial of a novel computer-based intervention. J Anxiety Disord. 2015 Aug;34:33-42. doi: 10.1016/j.janxdis.2015.05.010. PMID: 26114901.","44517","2019"
"bomyea2015_CAPS_A_Baseline_Comp","Nonpharmacologic cognitive","PTSD","42","A","PTSD",,"13",,"High Interference Control Training","Interference control training","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","Yes","No","No","No","Individual","In Person","22","Structured Clinical Interview","CAPS","CAPS","Completer",,"Mixed-model ANOVA","Baseline",,,"61","13.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","1",,"0","Rape/sexual assault",,"Medium","Bomyea J, Stein MB, Lang AJ. Interference control training for PTSD: A randomized controlled trial of a novel computer-based intervention. J Anxiety Disord. 2015 Aug;34:33-42. doi: 10.1016/j.janxdis.2015.05.010. PMID: 26114901.","44517","2019"
"bomyea2015_CAPS_A_Baseline_ITT","Nonpharmacologic cognitive","PTSD","42","A","PTSD",,"22",,"High Interference Control Training","Interference control training","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","Yes","No","No","No","Individual","In Person","22","Structured Clinical Interview","CAPS","CAPS","ITT","LOCF","Mixed-model ANOVA","Baseline",,,"61.41","12.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","1",,"0","Rape/sexual assault",,"Medium","Bomyea J, Stein MB, Lang AJ. Interference control training for PTSD: A randomized controlled trial of a novel computer-based intervention. J Anxiety Disord. 2015 Aug;34:33-42. doi: 10.1016/j.janxdis.2015.05.010. PMID: 26114901.","44517","2019"
"bomyea2015_CAPS_B_0_Comp","Nonpharmacologic cognitive","PTSD","42","B","Control",,"8",,"Low Interference Control Training","Interference control training","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","20","Structured Clinical Interview","CAPS","CAPS","Completer",,"Mixed-model ANOVA","End of Treatment","0",,"45.88","20.55",,,,,"-22.12",,,,,"Cohen's d","1.1",,,,"p<0.01",,,,,,,,"Not meeting criteria for PTSD according to CAPS","0.63",,"≥80% reduction in total PTSD symptoms","0.75",,"Community",,,"1","1",,"0","Rape/sexual assault",,"Medium","Bomyea J, Stein MB, Lang AJ. Interference control training for PTSD: A randomized controlled trial of a novel computer-based intervention. J Anxiety Disord. 2015 Aug;34:33-42. doi: 10.1016/j.janxdis.2015.05.010. PMID: 26114901.","44517","2019"
"bomyea2015_CAPS_B_0_ITT","Nonpharmacologic cognitive","PTSD","42","B","Control",,"20",,"Low Interference Control Training","Interference control training","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","20","Structured Clinical Interview","CAPS","CAPS","ITT","LOCF","Mixed-model ANOVA","End of Treatment","0",,"58.5","18.61",,,,,"-8.85",,,,,"Cohen's d","0.52",,,,"p<0.05",,,,,,,,"Not meeting criteria for PTSD according to CAPS","0.3",,"≥80% reduction in total PTSD symptoms","0.3",,"Community",,,"1","1",,"0","Rape/sexual assault",,"Medium","Bomyea J, Stein MB, Lang AJ. Interference control training for PTSD: A randomized controlled trial of a novel computer-based intervention. J Anxiety Disord. 2015 Aug;34:33-42. doi: 10.1016/j.janxdis.2015.05.010. PMID: 26114901.","44517","2019"
"bomyea2015_CAPS_B_Baseline_Comp","Nonpharmacologic cognitive","PTSD","42","B","Control",,"8",,"Low Interference Control Training","Interference control training","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","20","Structured Clinical Interview","CAPS","CAPS","Completer",,"Mixed-model ANOVA","Baseline",,,"68","19.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","1",,"0","Rape/sexual assault",,"Medium","Bomyea J, Stein MB, Lang AJ. Interference control training for PTSD: A randomized controlled trial of a novel computer-based intervention. J Anxiety Disord. 2015 Aug;34:33-42. doi: 10.1016/j.janxdis.2015.05.010. PMID: 26114901.","44517","2019"
"bomyea2015_CAPS_B_Baseline_ITT","Nonpharmacologic cognitive","PTSD","42","B","Control",,"20",,"Low Interference Control Training","Interference control training","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","20","Structured Clinical Interview","CAPS","CAPS","ITT","LOCF","Mixed-model ANOVA","Baseline",,,"67.35","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","1",,"0","Rape/sexual assault",,"Medium","Bomyea J, Stein MB, Lang AJ. Interference control training for PTSD: A randomized controlled trial of a novel computer-based intervention. J Anxiety Disord. 2015 Aug;34:33-42. doi: 10.1016/j.janxdis.2015.05.010. PMID: 26114901.","44517","2019"
"bormann2008_CAPS_A_0_ITT","Complementary and integrative health (CIH)","PTSD","29","A","PTSD",,"14",,"Mantram","Mantram Repetition","No","Not Applicable","No","Not Applicable","Yes","Meditation","No","No","No","No","No","Group","In Person","14","Structured Clinical Interview","CAPS","CAPS","ITT",,"Mixed-model ANOVA","End of Treatment","0",,,,,,,,"-4.79","7.45",,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0",,"1","Combat-related",,"Medium","Bormann JE, Thorp S, Wetherell JL, et al. A spiritually based group intervention for combat veterans with posttraumatic stress disorder: feasibility study. J Holist Nurs. 2008 Jun;26(2):109-16. doi: 10.1177/0898010107311276. PMID: 18356284.","30929","2019"
"bormann2008_CAPS_A_Baseline_ITT","Complementary and integrative health (CIH)","PTSD","29","A","PTSD",,"14",,"Mantram","Mantram Repetition","No","Not Applicable","No","Not Applicable","Yes","Meditation","No","No","No","No","No","Group","In Person","14","Structured Clinical Interview","CAPS","CAPS","ITT",,"Mixed-model ANOVA","Baseline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0",,"1","Combat-related",,"Medium","Bormann JE, Thorp S, Wetherell JL, et al. A spiritually based group intervention for combat veterans with posttraumatic stress disorder: feasibility study. J Holist Nurs. 2008 Jun;26(2):109-16. doi: 10.1177/0898010107311276. PMID: 18356284.","30929","2019"
"bormann2008_CAPS_B_0_ITT","Complementary and integrative health (CIH)","PTSD","29","B","Control",,"15",,"Usual care delayed-treatment","Treatment as usual (TAU)","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,"In Person","15","Structured Clinical Interview","CAPS","CAPS","ITT",,"Mixed-model ANOVA","End of Treatment","0",,,,,,,,"-2.64","5.44",,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0",,"1","Combat-related",,"Medium","Bormann JE, Thorp S, Wetherell JL, et al. A spiritually based group intervention for combat veterans with posttraumatic stress disorder: feasibility study. J Holist Nurs. 2008 Jun;26(2):109-16. doi: 10.1177/0898010107311276. PMID: 18356284.","30929","2019"
"bormann2008_CAPS_B_Baseline_ITT","Complementary and integrative health (CIH)","PTSD","29","B","Control",,"15",,"Usual care delayed-treatment","Treatment as usual (TAU)","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,"In Person","15","Structured Clinical Interview","CAPS","CAPS","ITT",,"Mixed-model ANOVA","Baseline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0",,"1","Combat-related",,"Medium","Bormann JE, Thorp S, Wetherell JL, et al. A spiritually based group intervention for combat veterans with posttraumatic stress disorder: feasibility study. J Holist Nurs. 2008 Jun;26(2):109-16. doi: 10.1177/0898010107311276. PMID: 18356284.","30929","2019"
"bormann2013_CAPS_A_0_ITT","Complementary and integrative health (CIH)","PTSD","146","A","PTSD",,"66",,"Mantram Repetition Program + TAU","Mantram Repetition","No","Not Applicable","No","Not Applicable","Yes","Meditation","No","No","No","No","No","Group","In Person","71","Structured Clinical Interview","CAPS","CAPS","ITT","Imputed","Mixed-model ANOVA","End of Treatment","0",,"66.16","23.58",,,,,"-16.92",,,,,,,,,,,,,,,,,,,,,"≥10-point reduction on CAPS and CAPS score ≤45","0.24",,"Veteran",,"1",,"0.0274",,"0.9726","Combat-related",,"Low","Bormann JE, Thorp SR, Wetherell JL, et al. Meditation-based mantram intervention for veterans with posttraumatic stress disorder: A randomized trial. Psychol Trauma. 2013 May;5(3):259-67. doi: 10.1037/a0027522.","38465","2019"
"bormann2013_CAPS_A_6_ITT","Complementary and integrative health (CIH)","PTSD","146","A","PTSD",,"66",,"Mantram Repetition Program + TAU","Mantram Repetition","No","Not Applicable","No","Not Applicable","Yes","Meditation","No","No","No","No","No","Group","In Person","71","Structured Clinical Interview","CAPS","CAPS","ITT","Imputed","Mixed-model ANOVA","Assessment at <3 Months","6",,"61.82","23.53",,,,,"-21.26",,,,,,,,,,,,,,,,,,,,,"≥10-point reduction on CAPS and CAPS score ≤45",,,"Veteran",,"1",,"0.0274",,"0.9726","Combat-related",,"Low","Bormann JE, Thorp SR, Wetherell JL, et al. Meditation-based mantram intervention for veterans with posttraumatic stress disorder: A randomized trial. Psychol Trauma. 2013 May;5(3):259-67. doi: 10.1037/a0027522.","38465","2019"
"bormann2013_CAPS_A_Baseline_ITT","Complementary and integrative health (CIH)","PTSD","146","A","PTSD",,"69",,"Mantram Repetition Program + TAU","Mantram Repetition","No","Not Applicable","No","Not Applicable","Yes","Meditation","No","No","No","No","No","Group","In Person","71","Structured Clinical Interview","CAPS","CAPS","ITT","Imputed","Mixed-model ANOVA","Baseline",,,"83.08","16.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0.0274",,"0.9726","Combat-related",,"Low","Bormann JE, Thorp SR, Wetherell JL, et al. Meditation-based mantram intervention for veterans with posttraumatic stress disorder: A randomized trial. Psychol Trauma. 2013 May;5(3):259-67. doi: 10.1037/a0027522.","38465","2019"
"bormann2013_CAPS_B_0_ITT","Complementary and integrative health (CIH)","PTSD","146","B","Control",,"70",,"TAU","Treatment as usual (TAU)","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,"In Person","75","Structured Clinical Interview","CAPS","CAPS","ITT","Imputed","Mixed-model ANOVA","End of Treatment","0",,"72.59","24.97",,,,,"-10.24",,,,,,,,,,,,,,,,,,,,,"≥10-point reduction on CAPS and CAPS score ≤45","0.12",,"Veteran",,"1",,"0.0274",,"0.9726","Combat-related",,"Low","Bormann JE, Thorp SR, Wetherell JL, et al. Meditation-based mantram intervention for veterans with posttraumatic stress disorder: A randomized trial. Psychol Trauma. 2013 May;5(3):259-67. doi: 10.1037/a0027522.","38465","2019"
"bormann2013_CAPS_B_Baseline_ITT","Complementary and integrative health (CIH)","PTSD","146","B","Control",,"73",,"TAU","Treatment as usual (TAU)","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,"In Person","75","Structured Clinical Interview","CAPS","CAPS","ITT","Imputed","Mixed-model ANOVA","Baseline",,,"82.83","19.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0.0274",,"0.9726","Combat-related",,"Low","Bormann JE, Thorp SR, Wetherell JL, et al. Meditation-based mantram intervention for veterans with posttraumatic stress disorder: A randomized trial. Psychol Trauma. 2013 May;5(3):259-67. doi: 10.1037/a0027522.","38465","2019"
"bormann2013_PCL_A_0_NA","Complementary and integrative health (CIH)","PTSD","146","A","PTSD",,,,"Mantram Repetition Program + TAU","Mantram Repetition","No","Not Applicable","No","Not Applicable","Yes","Meditation","No","No","No","No","No","Group","In Person","71","Self report","PCL","PCL",,,"Mixed-model ANOVA","End of Treatment","0",,"55.77","14.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0.0274",,"0.9726","Combat-related",,"Low","Bormann JE, Thorp SR, Wetherell JL, et al. Meditation-based mantram intervention for veterans with posttraumatic stress disorder: A randomized trial. Psychol Trauma. 2013 May;5(3):259-67. doi: 10.1037/a0027522.","38465","2019"
"bormann2013_PCL_A_Baseline_NA","Complementary and integrative health (CIH)","PTSD","146","A","PTSD",,,,"Mantram Repetition Program + TAU","Mantram Repetition","No","Not Applicable","No","Not Applicable","Yes","Meditation","No","No","No","No","No","Group","In Person","71","Self report","PCL","PCL",,,"Mixed-model ANOVA","Baseline",,,"61.39","11.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0.0274",,"0.9726","Combat-related",,"Low","Bormann JE, Thorp SR, Wetherell JL, et al. Meditation-based mantram intervention for veterans with posttraumatic stress disorder: A randomized trial. Psychol Trauma. 2013 May;5(3):259-67. doi: 10.1037/a0027522.","38465","2019"
"bormann2013_PCL_B_0_NA","Complementary and integrative health (CIH)","PTSD","146","B","Control",,,,"TAU","Treatment as usual (TAU)","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,"In Person","75","Self report","PCL","PCL",,,"Mixed-model ANOVA","End of Treatment","0",,"60.23","12.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0.0274",,"0.9726","Combat-related",,"Low","Bormann JE, Thorp SR, Wetherell JL, et al. Meditation-based mantram intervention for veterans with posttraumatic stress disorder: A randomized trial. Psychol Trauma. 2013 May;5(3):259-67. doi: 10.1037/a0027522.","38465","2019"
"bormann2013_PCL_B_Baseline_NA","Complementary and integrative health (CIH)","PTSD","146","B","Control",,,,"TAU","Treatment as usual (TAU)","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,"In Person","75","Self report","PCL","PCL",,,"Mixed-model ANOVA","Baseline",,,"62.70","10.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0.0274",,"0.9726","Combat-related",,"Low","Bormann JE, Thorp SR, Wetherell JL, et al. Meditation-based mantram intervention for veterans with posttraumatic stress disorder: A randomized trial. Psychol Trauma. 2013 May;5(3):259-67. doi: 10.1037/a0027522.","38465","2019"
"bradshaw2014_CAPS_A_0_ITT","Psychotherapy","PTSD","10","A","PTSD",,"5",,"Observed and  Experiential Integration - Switching component","Observed and  Experiential Integration - Switching component","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","5","Structured Clinical Interview","CAPS","CAPS","ITT",,"Mixed-model ANOVA","End of Treatment","0",,"21","7.38",,,,,"-50.4",,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.8",,"0.2","Mixed","rape/sexual assault, intimate partner violence, accidents, community/school violence","High","Bradshaw RA, McDonald MJ, Grace R, et al. A randomized clinical trial of Observed and Experiential Integration (OEI): a simple, innovative intervention for affect regulation in clients with PTSD. Traumatology (Tallahass Fla). 2014 Sep;20(3):161-71. doi: 10.1037/h0099401.","45231","2019"
"bradshaw2014_CAPS_A_Baseline_ITT","Psychotherapy","PTSD","10","A","PTSD",,"5",,"Observed and  Experiential Integration - Switching component","Observed and  Experiential Integration - Switching component","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","5","Structured Clinical Interview","CAPS","CAPS","ITT",,"Mixed-model ANOVA","Baseline",,,"71.4","18.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.8",,"0.2","Mixed","rape/sexual assault, intimate partner violence, accidents, community/school violence","High","Bradshaw RA, McDonald MJ, Grace R, et al. A randomized clinical trial of Observed and Experiential Integration (OEI): a simple, innovative intervention for affect regulation in clients with PTSD. Traumatology (Tallahass Fla). 2014 Sep;20(3):161-71. doi: 10.1037/h0099401.","45231","2019"
"bradshaw2014_CAPS_B_0_ITT","Psychotherapy","PTSD","10","B","Control",,"5",,"Waitlist","Waitlist","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"5","Structured Clinical Interview","CAPS","CAPS","ITT",,"Mixed-model ANOVA","End of Treatment","0",,"85.2","27.67",,,,,"-2.2",,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.8",,"0.2","Mixed","rape/sexual assault, intimate partner violence, accidents, community/school violence","High","Bradshaw RA, McDonald MJ, Grace R, et al. A randomized clinical trial of Observed and Experiential Integration (OEI): a simple, innovative intervention for affect regulation in clients with PTSD. Traumatology (Tallahass Fla). 2014 Sep;20(3):161-71. doi: 10.1037/h0099401.","45231","2019"
"bradshaw2014_CAPS_B_Baseline_ITT","Psychotherapy","PTSD","10","B","Control",,"5",,"Waitlist","Waitlist","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"5","Structured Clinical Interview","CAPS","CAPS","ITT",,"Mixed-model ANOVA","Baseline",,,"87.4","16.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.8",,"0.2","Mixed","rape/sexual assault, intimate partner violence, accidents, community/school violence","High","Bradshaw RA, McDonald MJ, Grace R, et al. A randomized clinical trial of Observed and Experiential Integration (OEI): a simple, innovative intervention for affect regulation in clients with PTSD. Traumatology (Tallahass Fla). 2014 Sep;20(3):161-71. doi: 10.1037/h0099401.","45231","2019"
"brady2000_CAPS_A_0_ITT","Pharmacotherapy","PTSD","187","A","PTSD",,"93",,"Sertraline","Sertraline","No","Not Applicable","Yes","Antidepressant: SSRI","No","Not Applicable","No","No","No","No","No","Individual","In Person","94","Structured Clinical Interview","CAPS","CAPS-2","ITT","LOCF","Mixed-model ANOVA","End of Treatment","0",,"43.4","28.1",,,,"SEM 2.8","-33.0",,,,,,,,,,,,,,,,,,,,,"≥30% decrease in CAPS-2 score and CGI-I score of 1 or 2","0.53",,"Community",,,"1","0.733",,"0.267","Mixed","combat-related, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (seeing someone hurt or die, kidnapping)","Medium","Brady K, Pearlstein T, Asnis GM, et al. Efficacy and safety of sertraline treatment of posttraumatic stress disorder: a randomized controlled trial. JAMA. 2000 Apr;283(14):1837-44. doi: 10.1001/jama.283.14.1837. PMID: 10770145.","22232","2019"
"brady2000_CAPS_A_Baseline_ITT","Pharmacotherapy","PTSD","187","A","PTSD",,"93",,"Sertraline","Sertraline","No","Not Applicable","Yes","Antidepressant: SSRI","No","Not Applicable","No","No","No","No","No","Individual","In Person","94","Structured Clinical Interview","CAPS","CAPS-2","ITT","LOCF","Mixed-model ANOVA","Baseline",,,"76.6","17.5",,,,,,,,,,,,,,,,,,,,,,,,,,"≥30% decrease in CAPS-2 score and CGI-I score of 1 or 2",,,"Community",,,"1","0.733",,"0.267","Mixed","combat-related, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (seeing someone hurt or die, kidnapping)","Medium","Brady K, Pearlstein T, Asnis GM, et al. Efficacy and safety of sertraline treatment of posttraumatic stress disorder: a randomized controlled trial. JAMA. 2000 Apr;283(14):1837-44. doi: 10.1001/jama.283.14.1837. PMID: 10770145.","22232","2019"
"brady2000_CAPS_B_0_ITT","Pharmacotherapy","PTSD","187","B","Control",,"90",,"Placebo","Placebo","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","93","Structured Clinical Interview","CAPS","CAPS-2","ITT","LOCF","Mixed-model ANOVA","End of Treatment","0",,"51.9","28.7",,,,"SEM 2.9","-23.2",,,,,,,,,,,,,,,,,,,,,"≥30% decrease in CAPS-2 score and CGI-I score of 1 or 2","0.32",,"Community",,,"1","0.733",,"0.267","Mixed","combat-related, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (seeing someone hurt or die, kidnapping)","Medium","Brady K, Pearlstein T, Asnis GM, et al. Efficacy and safety of sertraline treatment of posttraumatic stress disorder: a randomized controlled trial. JAMA. 2000 Apr;283(14):1837-44. doi: 10.1001/jama.283.14.1837. PMID: 10770145.","22232","2019"
"brady2000_CAPS_B_Baseline_ITT","Pharmacotherapy","PTSD","187","B","Control",,"90",,"Placebo","Placebo","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","93","Structured Clinical Interview","CAPS","CAPS-2","ITT","LOCF","Mixed-model ANOVA","Baseline",,,"75.1","17.7",,,,,,,,,,,,,,,,,,,,,,,,,,"≥30% decrease in CAPS-2 score and CGI-I score of 1 or 2",,,"Community",,,"1","0.733",,"0.267","Mixed","combat-related, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (seeing someone hurt or die, kidnapping)","Medium","Brady K, Pearlstein T, Asnis GM, et al. Efficacy and safety of sertraline treatment of posttraumatic stress disorder: a randomized controlled trial. JAMA. 2000 Apr;283(14):1837-44. doi: 10.1001/jama.283.14.1837. PMID: 10770145.","22232","2019"
"brady2000_DTS_A_0_NA","Pharmacotherapy","PTSD","187","A","PTSD",,,,"Sertraline","Sertraline","No","Not Applicable","Yes","Antidepressant: SSRI","No","Not Applicable","No","No","No","No","No","Individual","In Person","94","Self report","DTS","DTS",,,"Mixed-model ANOVA","End of Treatment","0",,"43.2","29.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.733",,"0.267","Mixed","combat-related, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (seeing someone hurt or die, kidnapping)","Medium","Brady K, Pearlstein T, Asnis GM, et al. Efficacy and safety of sertraline treatment of posttraumatic stress disorder: a randomized controlled trial. JAMA. 2000 Apr;283(14):1837-44. doi: 10.1001/jama.283.14.1837. PMID: 10770145.","22232","2019"
"brady2000_DTS_A_Baseline_NA","Pharmacotherapy","PTSD","187","A","PTSD",,,,"Sertraline","Sertraline","No","Not Applicable","Yes","Antidepressant: SSRI","No","Not Applicable","No","No","No","No","No","Individual","In Person","94","Self report","DTS","DTS",,,"Mixed-model ANOVA","Baseline",,,"71.9","24.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.733",,"0.267","Mixed","combat-related, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (seeing someone hurt or die, kidnapping)","Medium","Brady K, Pearlstein T, Asnis GM, et al. Efficacy and safety of sertraline treatment of posttraumatic stress disorder: a randomized controlled trial. JAMA. 2000 Apr;283(14):1837-44. doi: 10.1001/jama.283.14.1837. PMID: 10770145.","22232","2019"
"brady2000_DTS_B_0_NA","Pharmacotherapy","PTSD","187","B","Control",,,,"Placebo","Placebo","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","93","Self report","DTS","DTS",,,"Mixed-model ANOVA","End of Treatment","0",,"52.2","31.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.733",,"0.267","Mixed","combat-related, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (seeing someone hurt or die, kidnapping)","Medium","Brady K, Pearlstein T, Asnis GM, et al. Efficacy and safety of sertraline treatment of posttraumatic stress disorder: a randomized controlled trial. JAMA. 2000 Apr;283(14):1837-44. doi: 10.1001/jama.283.14.1837. PMID: 10770145.","22232","2019"
"brady2000_DTS_B_Baseline_NA","Pharmacotherapy","PTSD","187","B","Control",,,,"Placebo","Placebo","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","93","Self report","DTS","DTS",,,"Mixed-model ANOVA","Baseline",,,"68.5","27.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.733",,"0.267","Mixed","combat-related, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (seeing someone hurt or die, kidnapping)","Medium","Brady K, Pearlstein T, Asnis GM, et al. Efficacy and safety of sertraline treatment of posttraumatic stress disorder: a randomized controlled trial. JAMA. 2000 Apr;283(14):1837-44. doi: 10.1001/jama.283.14.1837. PMID: 10770145.","22232","2019"
"brady2000_IES_A_0_NA","Pharmacotherapy","PTSD","187","A","PTSD",,,,"Sertraline","Sertraline","No","Not Applicable","Yes","Antidepressant: SSRI","No","Not Applicable","No","No","No","No","No","Individual","In Person","94","Self report","IES","IES",,,"Mixed-model ANOVA","End of Treatment","0",,"21.0","17.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.733",,"0.267","Mixed","combat-related, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (seeing someone hurt or die, kidnapping)","Medium","Brady K, Pearlstein T, Asnis GM, et al. Efficacy and safety of sertraline treatment of posttraumatic stress disorder: a randomized controlled trial. JAMA. 2000 Apr;283(14):1837-44. doi: 10.1001/jama.283.14.1837. PMID: 10770145.","22232","2019"
"brady2000_IES_A_Baseline_NA","Pharmacotherapy","PTSD","187","A","PTSD",,,,"Sertraline","Sertraline","No","Not Applicable","Yes","Antidepressant: SSRI","No","Not Applicable","No","No","No","No","No","Individual","In Person","94","Self report","IES","IES",,,"Mixed-model ANOVA","Baseline",,,"37.7","15.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.733",,"0.267","Mixed","combat-related, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (seeing someone hurt or die, kidnapping)","Medium","Brady K, Pearlstein T, Asnis GM, et al. Efficacy and safety of sertraline treatment of posttraumatic stress disorder: a randomized controlled trial. JAMA. 2000 Apr;283(14):1837-44. doi: 10.1001/jama.283.14.1837. PMID: 10770145.","22232","2019"
